wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
sym19,1,antireflect,2.896022560606815e-20,250.04913635070233,4651695.181112301,0.5144927536231884,121.10897169014406,101,smoothed,1.2483813762709458e-10,,5.969673751418922,156564.23768667734,0.9971934880263393,0.0002552608750658992,1.0,481.39999999999054,,,,[],[],8,143.1250000002862,31.800000000073567,541.2000000002289,"[17, 27, 38, 50, 66, 74, 86, 93]","[119.00000000027705, 68.20000000026903, 75.00000000027683, 541.2000000002289, 39.20000000022236, 203.20000000046946, 31.800000000073567, 67.40000000047246]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.680004936,541.2000000001412,-541.2000000001412,0.0,,,,DWT,mdp.39015035518102,4.928559064865112e-06,,0.0,29.0,3.0,0.0,29,,1.411990524502471e-10,37.943181818468005,11.999999997710574,37.94318181846801,,0.0,37.943181818468005,,,29.60000000007352,0.0,29.0,2.2885160433361307e-10,1.411990524502471e-10,,9.43600753089413e-12,0.16881873622410182,0.7643391148263272,0.7664000937440106,0.09900471451021364,0.8859672203554898,,,,,,,0.29166666666666663,1.0,1.0,0.3458333333333333,0.5560399829859635,12,1.2606496199659114,0.6307145166029342,69,0,0.763888888888889,0.805813953488372,4,0,0.5369059759320287,0.6585626339026124,49,30.730007050655445,0.9588621056885469,33.5,10.862650602409639,0.9570080274091999,1,sym,434.2923976608187,485.0,232.08121524862,171,0.9544887860677335,0.9379294513705096,0.05047901434143368,6,2.25
sym19,1,antisymmetric,2.481111500338785e-20,250.72069294088524,4595777.1314683035,0.5217391304347826,92.52222737238704,101,smoothed,1.2152799338917534e-10,,5.946028775276507,150416.62506318864,0.9973978830909678,0.00025526087506630045,1.0,481.39999999999054,,,,[],[],8,143.1250000002886,31.80000000007385,541.200000000248,"[17, 27, 38, 50, 66, 74, 86, 93]","[119.00000000027711, 68.20000000026886, 75.00000000027683, 541.200000000248, 39.20000000022242, 203.20000000046946, 31.80000000007385, 67.40000000047218]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.680004545,541.2000000001412,-541.2000000001412,0.0,,,,DWT,mdp.39015035518102,4.537403583526611e-06,,0.0,29.0,3.0,0.0,29,,1.411990524502471e-10,37.94318181847039,11.999999997691475,37.94318181847039,,0.0,37.94318181847039,,,29.600000000073805,0.0,29.0,2.4795099307084456e-10,1.411990524502471e-10,,9.43600753089413e-12,0.17654083999087822,0.7228320067527696,0.7197553354170915,0.19067574646411664,0.8475933497760146,,,,,,,0.2685185185185185,1.0,1.0,0.33425925925925926,0.5374308804763931,13,1.24252581357551,0.6216470107666683,73,0,0.7561728395061729,0.7976744186046512,5,0,0.5314794556801742,0.6519065271908487,52,32.22188697143605,0.9568649438133386,35.75,12.909369154905628,0.9545034223752101,2,sym,434.2923976608187,485.0,232.08121524862,171,0.9544887860677335,0.9379294513705096,0.05047901434143368,6,3.0
sym18,1,antireflect,2.870192343645021e-20,250.08804574244488,4587464.794413408,0.5147058823529411,164.5923354859639,101,smoothed,1.150230801694405e-10,,5.950368565760407,151616.5285134164,0.9963297023744345,0.0002552608750646969,1.0,481.39999999999486,,,,[],[],8,143.12500000033083,31.80000000021556,541.2000000004356,"[17, 27, 38, 50, 66, 74, 86, 93]","[119.00000000041888, 68.20000000025794, 75.00000000036835, 541.2000000004356, 39.20000000016631, 203.20000000052175, 31.80000000021556, 67.40000000026225]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.680002764,541.2000000000555,-541.2000000000555,0.0,,,,DWT,mdp.39015035518102,2.7567148208618164e-06,,0.0,29.0,3.0,0.0,29,,5.547917680814862e-11,37.94318181851263,11.999999997353598,37.94318181851264,,0.0,37.94318181851263,,,29.600000000215516,0.0,29.0,4.35534275311511e-10,5.547917680814862e-11,,5.115907697472721e-12,0.16926614805049212,0.7304502065575346,0.7128214928470098,0.10170092133238719,0.8550832393521695,,,,,,,0.16313932980599646,1.0,1.0,0.2815696649029983,0.45271515667092027,25,1.20590920280639,0.6033273860310437,82,0,0.7210464432686656,0.7606201550387598,11,0,0.5138644016279187,0.6303001064896216,57,31.951786595848855,0.9572265239680738,43.75,24.899147170067167,0.9493294601098736,3,sym,434.2923976608187,485.0,232.08121524862,171,0.9544887860677335,0.9379294513705096,0.05047901434143368,6,3.75
sym17,1,antireflect,2.238884999786852e-21,261.16683789213033,4522913.612984383,0.5074626865671642,132.56127280636505,101,smoothed,3.251964154506003e-11,,5.925493435726752,146030.4413369804,0.9964689736719661,0.00025526087506653957,1.0,481.3999999999973,,,,[],[],8,143.12500000009132,31.800000000059413,541.2000000000936,"[17, 27, 38, 50, 66, 74, 86, 93]","[119.00000000011698, 68.20000000007809, 75.00000000010556, 541.2000000000936, 39.20000000005871, 203.20000000015136, 31.800000000059413, 67.40000000006677]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.680000722,541.2000000000072,-541.2000000000072,0.0,,,,DWT,mdp.39015035518102,7.152557373046875e-07,,0.0,29.0,3.0,0.0,29,,7.16227077646181e-12,37.94318181827312,11.999999999269676,37.94318181827312,,0.0,37.94318181827312,,,29.600000000059367,0.0,29.0,9.356426744488999e-11,7.16227077646181e-12,,2.6716406864579767e-12,0.296659109181461,0.6867836490430783,0.6589752969112891,0.01007013127135381,0.8202144537791818,,,,,,,0.042328042328042326,1.0,1.0,0.22116402116402117,0.35559336452573376,51,1.1829887725062747,0.5918600854519507,88,0,0.6807760141093475,0.718139534883721,36,0,0.4945405280372728,0.6065976675905844,67,22.27853974867593,0.9701759842721875,60.5,54.29277320533847,0.9445926775443936,4,sym,434.2923976608187,485.0,232.08121524862,171,0.9544887860677335,0.9379294513705096,0.05047901434143368,6,4.5
db23,1,symmetric,1.722809732970593e-26,312.3047825921784,4764301.197702117,0.5068493150684932,95.93336997757518,101,smoothed,1.0236036440900455e-13,-1.0740643929807457e-10,6.036749166226629,17516.79614869674,0.9776777184406968,0.00025526087506728273,1.0,481.4,,,,[],[],8,143.12500000000009,31.800000000000068,541.2000000000002,"[17, 27, 38, 50, 66, 74, 86, 93]","[119.0, 68.20000000000005, 75.0, 541.2000000000002, 39.200000000000045, 203.2000000000001, 31.800000000000068, 67.40000000000032]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.680000015,541.2000000000002,-541.2000000000002,0.0,,,,DWT,mdp.39015035518102,7.450580596923828e-09,,0.0,29.0,3.0,0.0,29,,1.1368683772161603e-13,37.943181818181884,11.999999999999545,37.9431818181819,,0.0,37.943181818181884,,,29.600000000000023,0.0,29.0,1.1368683772161603e-13,1.1368683772161603e-13,,0.0,0.8846847814273135,0.8820853318126923,0.8603318467902816,0.002310612312262539,0.01802240132139867,,,,,,,0.0004409171075837742,1.0,1.0,0.2002204585537919,0.32191975046079685,91,1.4101526636113393,0.7055122545390652,47,0,0.6668136390358613,0.7034108527131783,81,0,0.5294869947327897,0.6494625977352679,54,21.093047827819163,0.9717629881823037,68.25,63.36151436867012,0.9401987631674571,5,db,340.0622222222222,331.0,212.37068679813393,225,0.7473894993894994,0.8582716250531893,0.21934586291139363,3,4.5
sym17,1,antisymmetric,2.465729066015432e-21,260.74770221190295,4453651.348451925,0.5074626865671642,97.00830743104703,101,smoothed,3.464835019555478e-11,,5.902179700440781,138606.94387509287,0.9962682453497372,0.0002552608750667221,1.0,481.3999999999973,,,,[],[],8,143.12500000009155,31.800000000059413,541.2000000000955,"[17, 27, 38, 50, 66, 74, 86, 93]","[119.00000000011687, 68.20000000007798, 75.00000000010556, 541.2000000000955, 39.20000000005871, 203.20000000015148, 31.800000000059413, 67.40000000006677]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.680000696,541.2000000000072,-541.2000000000072,0.0,,,,DWT,mdp.39015035518102,6.891787052154541e-07,,0.0,29.0,3.0,0.0,29,,7.16227077646181e-12,37.943181818273345,11.999999999267857,37.943181818273345,,0.0,37.943181818273345,,,29.600000000059367,0.0,29.0,9.549694368615746e-11,7.16227077646181e-12,,2.6716406864579767e-12,0.29183954629966025,0.6458580112126707,0.6011992905795226,0.01007013127135381,0.7738764119576925,,,,,,,0.040784832451499116,1.0,1.0,0.22039241622574957,0.3543527576917624,52,1.1122109959675115,0.5564493175360538,105,0,0.6802616108171664,0.7175968992248062,37,0,0.46456867826418,0.569834544782653,87,31.234329404252197,0.9581869753624469,70.25,59.45669189452506,0.9320720686718527,6,sym,434.2923976608187,485.0,232.08121524862,171,0.9544887860677335,0.9379294513705096,0.05047901434143368,6,6.0
db19,1,antireflect,9.21139601169755e-27,315.0239012217627,4583703.046026062,0.5217391304347826,163.96936641523243,101,smoothed,7.154672893742794e-14,-9.615483964608992e-11,5.974820182139127,152514.12498153877,0.9967329242138779,0.000255260875067283,1.0,481.40000000000003,,,,[],[],8,143.12499999999997,31.799999999999955,541.2,"[17, 27, 38, 50, 66, 74, 86, 93]","[118.99999999999994, 68.20000000000016, 74.99999999999983, 541.2, 39.199999999999875, 203.20000000000005, 31.799999999999955, 67.40000000000003]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.68,541.2,-541.2,0.0,,,,DWT,mdp.39015035518102,7.450580596923828e-09,,0.0,29.0,3.0,0.0,29,,0.0,37.94318181818177,12.000000000000455,37.9431818181818,,0.0,37.94318181818177,,,29.59999999999991,0.0,29.0,0.0,0.0,,5.684341886080802e-14,0.9159514185488482,0.7733733153605138,0.7096835821807483,0.19067574646411664,0.8606861055068646,,,,,,,0.0004409171075837742,1.0,1.0,0.2002204585537919,0.32191975046079685,113,1.7116440406883326,0.8563511435859763,15,0,0.6668136390358613,0.7034108527131783,80,0,0.6900740336122185,0.8464367944025191,16,48.66894971813822,0.9348474568699622,56.0,26.575208231259186,0.9299404620360521,7,db,340.0622222222222,331.0,212.37068679813393,225,0.7473894993894994,0.8582716250531893,0.21934586291139363,3,6.0
sym18,1,antisymmetric,3.5215068687237895e-20,249.19987036027567,4522866.675386253,0.5073529411764706,68.0716265249396,101,smoothed,1.2507038309307758e-10,,5.923915516745549,144572.63280304315,0.9967487761749143,0.00025526087506510983,1.0,481.399999999995,,,,[],[],8,143.12500000033089,31.800000000217665,541.2000000004334,"[17, 27, 38, 50, 66, 74, 86, 93]","[119.00000000041905, 68.20000000025789, 75.00000000036835, 541.2000000004334, 39.20000000016631, 203.20000000052175, 31.800000000217665, 67.40000000026276]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.680002727,541.2000000000555,-541.2000000000555,0.0,,,,DWT,mdp.39015035518102,2.7194619178771973e-06,,0.0,29.0,3.0,0.0,29,,5.547917680814862e-11,37.943181818512684,11.999999997353143,37.9431818185127,,0.0,37.943181818512684,,,29.60000000021762,0.0,29.0,4.333742253948003e-10,5.547917680814862e-11,,5.002220859751105e-12,0.15905318526452827,0.6840137222184689,0.658936143311778,0.008681785967398131,0.8111147008446489,,,,,,,0.1609347442680776,1.0,1.0,0.28046737213403883,0.4509428611938183,26,1.0948254386486593,0.547751164451671,109,0,0.7203115814226926,0.7598449612403101,12,0,0.4643599075213645,0.5695784690143927,88,47.04164821375487,0.9370259060056829,58.75,28.1031458352897,0.9291889904861079,8,sym,434.2923976608187,485.0,232.08121524862,171,0.9544887860677335,0.9379294513705096,0.05047901434143368,6,7.5
db19,1,reflect,1.007255094205446e-26,314.6357610333534,4592333.260861553,0.5072463768115942,115.52163507977119,101,smoothed,7.713961482781682e-14,-9.603551287540323e-11,5.963591906914692,15751.972616290757,0.978489394276807,0.0002552608750672832,1.0,481.4,,,,[],[],8,143.12499999999997,31.800000000000125,541.2,"[17, 27, 38, 50, 66, 74, 86, 93]","[118.99999999999994, 68.20000000000016, 74.99999999999983, 541.2, 39.19999999999982, 203.20000000000016, 31.800000000000125, 67.39999999999986]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.68,541.2,-541.2,0.0,,,,DWT,mdp.39015035518102,7.450580596923828e-09,,0.0,29.0,3.0,0.0,29,,0.0,37.94318181818177,12.000000000000455,37.9431818181818,,0.0,37.94318181818177,,,29.60000000000008,0.0,29.0,0.0,0.0,,0.0,0.9114882670367228,0.7536628605724344,0.7168825865786795,0.00733368255631206,0.007006237165348268,,,,,,,0.0004409171075837742,1.0,1.0,0.2002204585537919,0.32191975046079685,114,1.2879016516862547,0.6443489569269704,64,0,0.6668136390358613,0.7034108527131783,99,0,0.4792747267818994,0.5878728130833862,77,22.30844384233617,0.9701359520182916,88.5,84.2372110458578,0.9258310282179811,9,db,340.0622222222222,331.0,212.37068679813393,225,0.7473894993894994,0.8582716250531893,0.21934586291139363,3,7.5
db18,1,reflect,9.678151731460001e-27,314.80923149273104,4546919.9636865035,0.5147058823529411,134.07833898291668,101,smoothed,7.720996559373365e-14,-9.646963228249218e-11,5.944820599712123,15980.475184481262,0.9761814179773008,0.000255260875067283,1.0,481.40000000000003,,,,[],[],8,143.12499999999994,31.80000000000001,541.1999999999999,"[17, 27, 38, 50, 66, 74, 86, 93]","[118.99999999999977, 68.20000000000005, 75.0, 541.1999999999999, 39.19999999999999, 203.19999999999987, 31.80000000000001, 67.39999999999998]","[1, 20, 33, 1, 59, 59, 79, 79]","[33, 33, 41, 99, 70, 99, 88, 99]",20813045.68,541.1999999999999,-541.1999999999999,0.0,,,,DWT,mdp.39015035518102,7.450580596923828e-09,,0.0,29.0,3.0,0.0,29,,1.1368683772161603e-13,37.94318181818174,12.000000000000682,37.94318181818179,,0.0,37.94318181818174,,,29.599999999999966,0.0,29.0,1.1368683772161603e-13,1.1368683772161603e-13,,5.684341886080802e-14,0.9134829714404421,0.7207111387332505,0.6790005022598435,0.10170092133238719,0.008432567761605655,,,,,,,0.0004409171075837742,1.0,1.0,0.2002204585537919,0.32191975046079685,115,1.2919989989984093,0.6463988972025323,63,0,0.6668136390358613,0.7034108527131783,100,0,0.48466562030550575,0.5944852204640859,72,24.172987679087857,0.9676399093988114,87.5,82.5464644306772,0.925252350951079,10,db,340.0622222222222,331.0,212.37068679813393,225,0.7473894993894994,0.8582716250531893,0.21934586291139363,3,8.25
