signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,mexh,8254506869.455001,0.5993059592383166,1305.0064996549447,-45.36238736531019,447,127,133087.17903309414,,False,14.68293202597132,429863.9475839518,0.022729278336520296,5.121551884674071e-06,0.3681139763006189,133913.14763840308,,,,[],[],4,79871.82188960163,22479.503615748225,177977.1685101966,"[61, 159, 318, 374]","[94753.38136808925, 22479.503615748225, 24277.23406437243, 177977.1685101966]","[0, 122, 0, 0]","[231, 231, 335, 446]",8649322053356.622,185167.56083019477,-185167.56083019477,0.0,,,,CWT,mdp.39015035518110,8649218577390.262,,0.0,-50.0,48.0,0.0,-45.5,,184419.76083019478,79768.87958190932,314134.28755840653,79768.87958190932,,0.0,79768.87958190932,,,22475.903615748226,0.0,-50.0,177229.36851019663,184419.76083019478,,133430.54763840308,0.9999999999999999,0.2396554327853473,0.16018216657587836,1.0,0.7113844515588238,0.04795737122557653,0.6474637153394622,0.07472187859184622,,0.20198512479331998,0.697284661030237,0.697284661030237,0.6972846610302369,,1.0,0.7267167699056781,1.0,,,,,0.3333333333333333,,0.6041460708927976,0.18181818181818182,0.18181818181818182,0.27498703139401115,0.27498703139401115,1.0,2.833274935019021,0.9928901650680206,2,1.6317553416232973,0.9404797836196321,3,0,0.5622604077457307,0.8870556111813521,3,0,0.48517062700961683,0.9191249491325365,2,0.5773502691896257,0.9422649730810374,2.5,2.4000000000000004,0.8461324865405186,1,mexh,1.0,1.0,,1,0.1568627450980392,,,2,1.25,1
smoothed,gaus4,1864683784.8372018,0.6471489721502933,529.0983900246994,-38.56621101506788,447,127,45988.689947181374,,False,14.447697206991528,404709.64340925263,0.014150569319228633,9.417981732155872e-06,0.30945180232903263,1297.283390149958,,,,[],[],4,99406.08166611526,46406.199684119725,177625.62284040416,"[37, 187, 317, 428]","[177625.62284040416, 57760.607043377044, 46406.199684119725, 115831.89709656007]","[0, 121, 121, 121]","[121, 232, 335, 446]",1810011545726.7173,141964.1741296184,-141964.1741296184,0.0,,,,CWT,mdp.39015035518110,1809908069760.3572,,0.0,-50.0,48.0,0.0,-45.5,,141216.3741296184,99303.13935842295,392271.32666446106,99303.13935842295,,0.0,99303.13935842295,,,46402.59968411973,0.0,-50.0,176877.82284040417,141216.3741296184,,814.683390149958,0.13570587456411537,0.6395352079256363,0.6849786259512304,0.5888303453861369,0.0881077477971478,0.7371225577264654,0.5175175272571422,0.06482837609521944,,0.5135798544962777,0.9851598556647352,0.9851598556647352,0.985159855664735,,0.0038836189235445205,0.9499447040769504,0.9975440087006915,,,,,0.3333333333333333,,0.08384709936070847,0.18181818181818182,0.18181818181818182,0.14191211798864894,0.14191211798864894,1.0,2.484789358870522,0.8707672122443177,3,1.509815931340837,0.870198689835642,6,0,0.5346480561070984,0.8434927155523252,4,0,0.4320782828378867,0.8185448739599286,6,1.5,0.85,4.75,4.363636363636364,0.6875,2,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,1.75,2
smoothed,morl,961404523.1384184,0.6350120664447145,427.25916217218236,-34.48664688332931,447,127,32313.048418719234,,False,14.552095735464444,239883.01178845463,0.018814470424492465,2.546621071609318e-06,0.5272609675840578,12122.533125709437,,,,[],[],4,99465.779192164,83757.3673181021,125751.9966020619,"[29, 164, 315, 431]","[125751.9966020619, 91749.2124072956, 83757.3673181021, 96604.54044119643]","[0, 118, 233, 118]","[118, 233, 336, 446]",707844562764.2792,95891.74804969002,-95891.74804969002,0.0,,,,CWT,mdp.39015035518110,707741086797.9192,,0.0,-50.0,48.0,0.0,-45.5,,95143.94804969002,99362.83688447169,392510.116768656,99362.8368844717,,0.0,99362.83688447169,,,83753.7673181021,0.0,-45.5,125004.1966020619,95143.94804969002,,11639.933125709436,0.0,0.0,0.9999999999999999,0.7713097380227013,0.0,0.5622938340522705,1.0,0.0,,0.9999999999999999,0.9860396144642541,0.9860396144642541,0.9860396144642543,,0.0851952225688558,0.9506268981077177,0.6351410959293208,,,,,0.3333333333333333,,0.0,0.18181818181818182,1.0000000000000002,0.0,0.0,1.0,2.4744324128359274,0.8671377339572697,4,1.6105724026322585,0.928270768352122,4,0,0.5817309696535838,0.9177735329046003,2,0,0.41670044650937144,0.7894125393824379,7,2.0615528128088303,0.793844718719117,4.25,3.5,0.6844223593595584,3,morl,3.0,3.0,,1,0.47058823529411764,,,3,3.0,3
smoothed,gaus6,1473064324.393903,0.6653983688280576,515.7890649491488,-37.22518178894233,447,127,39343.75655055084,,False,14.48285311218941,348277.6404003208,0.013199504040095122,7.754778889530786e-06,0.38736201125757064,5651.904210536938,,,,[],[],5,81653.16042763772,7153.657486026743,163470.11859888674,"[33, 188, 252, 315, 429]","[163470.11859888674, 70094.99952109728, 7153.657486026743, 57435.84650778196, 110111.18002439587]","[0, 120, 232, 232, 120]","[120, 335, 287, 335, 446]",1328678730637.247,123197.25130627991,-123197.25130627991,0.0,,,,CWT,mdp.39015035518110,1328575254670.887,,0.0,-49.5,47.0,0.0,-49.5,,122449.45130627991,81550.2181199454,402912.80213818856,81550.21811994542,,0.0,81550.2181199454,,,7150.0574860267425,0.0,-49.5,162722.31859888675,122449.45130627991,,5169.304210536938,0.0697669936616522,0.4847366420625343,0.7885320585758068,0.6502797577671023,0.049908366812466715,0.9999999999999998,0.6901012209310998,0.04263296338250847,,0.002398317295383867,0.7235361383943101,0.7235361383943101,0.7235361383943102,,0.036592444199862864,0.9803460939134689,0.898649901215266,,,,,0.0,,0.04722981632080113,0.2727272727272727,0.2727272727272727,0.08410631107565597,0.08410631107565597,0.2727272727272727,1.776044581089365,0.6223953685151788,6,1.6826580618779676,0.9698181152368819,2,0,0.36587281631863183,0.5772228138833075,6,0,0.4719947503991464,0.8941640874373062,4,1.9148542155126762,0.8085145784487324,4.5,3.6923076923076925,0.6792572892243662,4,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,3.25,4
smoothed,gaus2,3625400176.1377954,0.5959766774119678,691.2713139168993,-41.970695360856496,447,127,79534.50998020188,,False,14.576925037518903,329945.931505643,0.01105462491654801,1.2787006947529882e-05,0.3257969542448129,70905.91211187154,,,,[],[],4,97420.22219479535,33019.417889443605,177483.44398011226,"[48, 160, 318, 402]","[177483.44398011226, 34761.08644266831, 33019.417889443605, 144416.94046695725]","[0, 123, 232, 232]","[232, 232, 334, 446]",3969726224638.0396,169448.78415520687,-169448.78415520687,0.0,,,,CWT,mdp.39015035518110,3969622748671.6797,,0.0,-45.5,48.0,0.0,-45.5,,168700.98415520688,97317.27988710304,384327.8887791814,97317.27988710307,,0.0,97317.27988710304,,,33015.817889443606,0.0,-50.0,176735.64398011228,168700.98415520688,,70423.31211187154,0.46858713911590666,0.9530990489261681,0.4220864879911882,0.8147091616042583,0.25985170597821033,0.0,0.5537246781566444,0.035422872955942375,,0.33924526843453884,0.9558943657837046,0.9558943657837046,0.9558943657837049,,0.5267343029425892,0.9272512766111098,0.9965507094686781,,,,,0.3333333333333333,,0.24814689609997415,1.0000000000000002,0.18181818181818182,0.22657011307787517,0.22657011307787517,1.0,2.8535632990431727,1.0,1,1.4526972034436045,0.8372776951968396,7,0,0.6338502351582337,1.0,1,0,0.4384351368410398,0.8305875302689125,5,3.0,0.7,3.5,1.7073170731707317,0.675,5,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,4.0,5
smoothed,gaus8,1301002823.227993,0.6563441314802093,508.5418726445561,-36.39692329724552,447,127,37600.75299033796,,False,14.551658671118162,317973.5834626261,0.01470135379473681,6.747969027715601e-06,0.44659944571616556,8339.992832811047,,,,[],[],5,83029.0617315415,6969.495805702842,152129.61588994425,"[31, 188, 252, 315, 430]","[152129.61588994425, 90908.10574726484, 6969.495805702842, 58429.203988690475, 106708.88722610509]","[0, 119, 232, 232, 119]","[119, 336, 287, 336, 446]",1097896575305.0978,110946.84835915563,-110946.84835915563,0.0,,,,CWT,mdp.39015035518110,1097793099338.7378,,0.0,-49.5,47.0,0.0,-49.5,,110199.04835915563,82926.11942384919,409792.3086577075,82926.11942384919,,0.0,82926.11942384919,,,6965.895805702841,0.0,-49.5,151381.81588994426,110199.04835915563,,7857.392832811047,0.05247085278118453,0.39103025898551214,0.8524896578918628,0.7705457882082797,0.03312512823593441,0.8695762496828219,0.8213217038848879,0.030713998703987874,,0.0,0.7438127119727665,0.7438127119727665,0.7438127119727664,,0.05678346075441322,1.0,0.8194221411367812,,,,,0.0,,0.02967311701122597,0.2727272727272727,0.2727272727272727,0.04637266480695709,0.04637266480695709,0.2727272727272727,1.7500107752403922,0.613272106431698,7,1.735024367395913,1.0,1,0,0.36058885732974677,0.5688865244953798,7,0,0.4776592047968089,0.9048950366545018,3,3.0,0.7,4.5,2.4705882352941178,0.625,6,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,4.75,6
smoothed,gaus7,1390973362.6636052,0.6438373055717028,500.949134769854,-37.047229642113166,447,127,39938.420305940934,,False,14.53161655483707,355686.5827529267,0.013860675906859833,6.372224468938119e-06,0.10074199482290931,0.0,,,,[],[],3,100413.08483960538,65017.5500852735,143399.77840556655,"[91, 223, 326]","[143399.77840556655, 65017.5500852735, 92821.9260279761]","[7, 134, 134]","[382, 240, 382]",1266147392744.756,152251.98469289858,-152251.98469289858,0.0,,,,CWT,mdp.39015035518110,1266043916778.396,,0.0,-50.5,49.0,0.0,-46.0,,151504.1846928986,100310.14253191306,295886.25451881613,100310.14253191306,,0.0,100310.14253191306,,,65013.9500852735,0.0,-50.5,142651.97840556657,151504.1846928986,,482.6,0.07566795010518285,0.3560587465884944,0.802273411327911,0.7355139418822679,0.04190104276635092,0.6894189292057844,0.05519160128733497,0.04554699309105423,,0.7559534225427436,1.0,1.0,1.0,,0.0013892438599960102,0.6745843783443853,0.7584331808157324,,,,,0.6666666666666666,,0.04247275919381549,0.09090909090909091,0.09090909090909091,0.17360059438813957,0.17360059438813957,0.9090909090909092,2.40133271229171,0.841520744641235,5,1.3156525575628284,0.7582905360213948,8,0,0.5241149950791938,0.8268751291830858,5,0,0.3501965770317975,0.663425181022674,8,1.7320508075688772,0.8267949192431123,6.5,6.153846153846153,0.5883974596215562,7,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,5.5,7
smoothed,gaus5,1648477998.5307295,0.6353115256566083,518.4335924338918,-38.03217061076004,447,127,42808.335123320154,,False,14.478757056702488,420106.4805948611,0.01548080640628713,7.181537225232694e-06,0.07741384473482829,0.0,,,,[],[],4,67782.98714086902,8065.853835106567,156510.34877710824,"[92, 223, 282, 326]","[156510.34877710824, 51919.8319111459, 8065.853835106567, 54635.91404011537]","[7, 135, 240, 240]","[367, 367, 300, 367]",1588540772199.532,174784.38090663764,-174784.38090663764,0.0,,,,CWT,mdp.39015035518110,1588437296233.1719,,0.0,-50.0,48.0,0.0,-50.0,,174036.58090663765,67680.04483317671,265778.9485634761,67680.04483317671,,0.0,67680.04483317671,,,8062.253835106567,0.0,-50.0,155762.54877710826,174036.58090663765,,482.6,0.10414663605248528,0.4313835661465107,0.7262168897779397,0.6431202151146104,0.0670185833494345,0.566607460035523,0.00351598182552193,0.07088414476518683,,0.014277749959857783,0.519132240820292,0.519132240820292,0.519132240820292,,0.0013892438599960102,0.5885714990650599,0.850027103108923,,,,,0.3333333333333333,,0.06699876127720436,0.18181818181818182,0.18181818181818182,0.24300479864045654,0.24300479864045654,0.18181818181818188,1.5282581708986,0.5355613353350317,8,1.207861628408978,0.696164071875169,9,0,0.31738989684290786,0.5007332635345241,8,0,0.3266116846334015,0.618745099791082,9,0.5773502691896257,0.9422649730810374,8.5,8.470588235294118,0.5461324865405187,8,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,6.25,8
smoothed,gaus1,11213388988.550257,0.602001092145361,704.5436646959362,-47.436765408007574,447,127,131130.56282339874,,False,14.11082069348326,2782390.499230402,0.02308427288657192,1.3290925021401462e-05,0.1460370401886364,0.0,,,,[],[],2,32556.388116168033,30273.60250715322,34839.173725182845,"[109, 224]","[30273.60250715322, 34839.173725182845]","[7, 7]","[130, 239]",13852807135899.201,420546.37749869557,-420546.37749869557,0.0,,,,CWT,mdp.39015035518110,13852703659932.842,,0.0,-51.0,50.0,0.0,-51.0,,419798.5774986956,32453.445808475724,59759.776232336066,32453.445808475724,,0.0,32453.445808475724,,,30270.00250715322,0.0,-51.0,34091.37372518284,419798.5774986956,,482.6,0.9805841420038376,1.0,0.0,0.0,0.9999999999999999,0.08678000507485384,0.15552744099117738,1.0,,0.30348681689513124,0.0,0.0,0.0,,0.0013892438599960102,0.0,0.0,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.3917406669985373,0.4877202715163884,9,1.591098221027564,0.91704661382689,5,0,0.30749114719679493,0.48511640469776457,9,0,0.5278614485087336,1.0,1,3.8297084310253524,0.6170291568974647,6.0,2.8125,0.5085145784487324,9,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,7.0,9
smoothed,gaus3,2301282509.607215,0.6358752135848791,580.0582804567443,-39.85341568666,447,127,49957.30589359913,,False,14.300645624965755,579344.5980968842,0.017067695438659564,8.717613139927142e-06,0.07582660973722266,780.2459337433494,,,,[],[],4,51898.17357515785,9695.568701049622,134413.54759464925,"[94, 207, 256, 326]","[134413.54759464925, 18193.6684266267, 9695.568701049622, 45289.909578305815]","[7, 135, 241, 241]","[241, 241, 299, 349]",2416297262639.4893,223941.81010468557,-223941.81010468557,0.0,,,,CWT,mdp.39015035518110,2416193786673.1294,,0.0,-50.0,48.0,0.0,-50.0,,223194.01010468559,51795.23126746555,202239.6943006314,51795.23126746554,,0.0,51795.23126746555,,,9691.968701049622,0.0,-50.0,133665.74759464926,223194.01010468559,,297.64593374334936,0.17508717135350838,0.5743501018916359,0.5855814915436053,0.3317971882447482,0.13069450026863375,0.5747272265922354,0.0,0.13351448834865248,,0.03550134730465329,0.28503871235908945,0.28503871235908945,0.2850387123590894,,0.0,0.40704764520330045,0.6956529887052156,,,,,0.3333333333333333,,0.12997014562573714,0.18181818181818182,0.18181818181818182,0.39441933192919015,0.39441933192919015,0.18181818181818188,1.247348973913985,0.4371197843525087,10,1.0907226071327525,0.628649734049448,10,0,0.27077962904017394,0.42719812034553684,10,0,0.3132190210303774,0.5933735489023785,10,0.0,1.0,10.0,10.0,0.5,10,gaus,6.375,6.5,2.669269563007828,8,1.0,1.0,0.0,1,7.75,10
