wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
bior2.8,1,reflect,5.399231044259129e-29,339.1886647812529,148036.6418534451,0.6063829787234043,10.679752330358664,77,smoothed,2.2564922513485326e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000218, 3.400000000000035, 18.73333333333329, 11.066666666666663, 1.466666666666697, 20.666666666666693, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 14.46666666666664, 4.533333333333298, 22.800000000000015, 0.26666666666665195, 21.400000000000095, 15.333333333333371, 23.066666666666663, 2.133333333333324, 362.00000000000006]",19,3.4580680092426817,5218.013692433239,0.7306842678572492,5.6821195254701876e-05,1.0,17,31.419607843137246,0.26666666666665195,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.26666666666671, 0.26666666666665195, 3.400000000000035, 23.866666666666617, 0.9333333333332803, 32.60000000000002, 15.0, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 21.599999999999966, 44.59999999999998, 0.26666666666665195, 17.666666666666686, 46.400000000000034, 4.333333333333314]","[2, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777782,362.00000000000006,-362.00000000000006,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000109,0.0,28.772984749455322,5.684341886080802e-14,0.0,28.772984749455322,7.599999999999909,28.891503267973867,0.0,5.684341886080802e-14,0.0,-12.5,0.0,-12.5,8.0,0.9229592377097745,0.5417989640920078,0.7010091324277588,0.41982890984865107,0.7100264936737424,,0,,43,1.6271217522947055,0.8872015787471846,19,0,0,0.659124547550387,0.8766241599715094,19,13.856406460551018,0.9791945848940675,27.0,23.342857142857145,0.9693270221767635,1,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,2.0,1
bior2.8,1,antireflect,5.400278526919764e-29,339.1878223060685,148116.64752850038,0.574468085106383,9.992024314600318,77,smoothed,2.270207885766588e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000218, 3.400000000000035, 18.73333333333329, 11.066666666666663, 1.466666666666697, 20.666666666666693, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 14.46666666666664, 4.533333333333298, 22.800000000000015, 0.26666666666665195, 21.400000000000095, 15.333333333333371, 23.066666666666663, 2.133333333333324, 362.00000000000006]",19,3.455011262925517,5442.405963208541,0.7002137001413514,5.6821195254701876e-05,1.0,17,31.419607843137246,0.26666666666665195,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.26666666666671, 0.26666666666665195, 3.400000000000035, 23.866666666666617, 0.9333333333332803, 32.60000000000002, 15.0, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 21.599999999999966, 44.59999999999998, 0.26666666666665195, 17.666666666666686, 46.400000000000034, 4.333333333333314]","[2, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777782,362.00000000000006,-362.00000000000006,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000109,0.0,28.772984749455322,5.684341886080802e-14,0.0,28.772984749455322,7.599999999999909,28.891503267973867,0.0,5.684341886080802e-14,0.0,-12.5,0.0,-12.5,8.0,0.9229509317122587,0.5404824946730891,0.7016574718640312,0.2382101338012723,0.7592310727256044,,0,,45,1.573817024906666,0.8581367357342623,26,0,0,0.6325064209552512,0.8412225155430073,30,10.016652800877813,0.9849599807794628,33.666666666666664,31.90909090909091,0.967204715114456,2,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,2.75,2
bior2.8,1,periodic,5.396158560695901e-29,339.1911368785872,143988.236668868,0.5638297872340425,8.677590174073728,77,smoothed,2.2453179286980844e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000218, 3.400000000000035, 18.73333333333329, 11.066666666666663, 1.466666666666697, 20.666666666666693, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 14.46666666666664, 4.533333333333298, 22.800000000000015, 0.26666666666665195, 21.400000000000095, 15.333333333333371, 23.066666666666663, 2.133333333333324, 362.00000000000006]",19,3.465790460239621,5307.1172045332005,0.6717856739063506,5.6821195254701876e-05,1.0,17,31.419607843137246,0.26666666666665195,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.26666666666671, 0.26666666666665195, 3.400000000000035, 23.866666666666617, 0.9333333333332803, 32.60000000000002, 15.0, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 21.599999999999966, 44.59999999999998, 0.26666666666665195, 17.666666666666686, 46.400000000000034, 4.333333333333314]","[2, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777782,362.00000000000006,-362.00000000000006,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000109,0.0,28.772984749455322,5.684341886080802e-14,0.0,28.772984749455322,7.599999999999909,28.891503267973867,0.0,5.684341886080802e-14,0.0,-12.5,0.0,-12.5,8.0,0.922983610219134,0.545124843809105,0.6682022005025264,0.17767054178547895,0.7295650490338392,,0,,40,1.5233479246150234,0.8306180418236511,38,0,0,0.6087092490700168,0.8095726917105904,46,4.163331998932266,0.9937487507523539,41.333333333333336,41.06499608457322,0.965843344345146,3,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,3.5,3
bior3.5,1,reflect,2.9396274130068217e-29,341.82906101685444,168309.34371190987,0.5681818181818182,8.848238180167332,77,smoothed,2.3156080227896123e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.600000000000021, 3.4000000000000323, 18.73333333333329, 11.066666666666666, 1.466666666666697, 20.666666666666686, 2.866666666666675, 4.799999999999954, 0.9999999999999458, 14.466666666666637, 4.533333333333305, 22.80000000000001, 0.2666666666666546, 21.40000000000009, 15.333333333333368, 23.066666666666684, 2.1333333333333178, 362.0]",19,2.9208812026110818,5418.243308850079,0.8064140672527299,5.682119525470189e-05,1.0,17,31.419607843137243,0.26666666666665173,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666707, 0.26666666666665173, 3.4000000000000323, 23.86666666666661, 0.9333333333332803, 32.60000000000002, 14.999999999999996, 2.866666666666675, 4.799999999999954, 0.9999999999999458, 21.599999999999966, 44.599999999999966, 0.2666666666666546, 17.666666666666682, 46.400000000000034, 4.333333333333284]","[4, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777776,362.0,-362.0,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000111,0.0,28.772984749455325,0.0,0.0,28.772984749455325,7.600000000000023,28.89150326797387,0.0,0.0,0.0,-12.5,0.0,-12.5,8.0,0.9489910128636585,0.3104451225232692,0.8652923796543226,0.20243673851921282,0.7539327029004054,,0,,70,1.5398111353748383,0.8395947435097766,34,0,0,0.6162195912921739,0.8195613159638749,39,19.5021366350801,0.9707175125599398,47.666666666666664,43.266003729024234,0.9495729704941841,4,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,4.25,4
bior3.5,1,antireflect,2.938843034265835e-29,341.83021999643597,168309.34371190987,0.5681818181818182,8.848238180167332,77,smoothed,2.305515086202111e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.600000000000021, 3.4000000000000323, 18.73333333333329, 11.066666666666666, 1.466666666666697, 20.666666666666686, 2.866666666666675, 4.799999999999954, 0.9999999999999458, 14.466666666666637, 4.533333333333305, 22.80000000000001, 0.2666666666666546, 21.40000000000009, 15.333333333333368, 23.066666666666684, 2.1333333333333178, 362.0]",19,2.9208812026110818,5525.412084102605,0.7907731690503076,5.682119525470189e-05,1.0,17,31.419607843137243,0.26666666666665173,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666707, 0.26666666666665173, 3.4000000000000323, 23.86666666666661, 0.9333333333332803, 32.60000000000002, 14.999999999999996, 2.866666666666675, 4.799999999999954, 0.9999999999999458, 21.599999999999966, 44.599999999999966, 0.2666666666666546, 17.666666666666682, 46.400000000000034, 4.333333333333284]","[4, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777776,362.0,-362.0,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000111,0.0,28.772984749455325,0.0,0.0,28.772984749455325,7.600000000000023,28.89150326797387,0.0,0.0,0.0,-12.5,0.0,-12.5,8.0,0.9490024392910512,0.3104451225232692,0.8652923796543226,0.20243673851921282,0.7774325964376678,,0,,72,1.5492179486461788,0.8447238861652314,31,0,0,0.6209218552851048,0.8258152451159405,37,22.143471573656498,0.9667515441836989,46.666666666666664,40.99817971206354,0.9483407370568144,5,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,5.0,5
bior3.7,1,periodic,7.1755767611943e-29,337.9534157565952,182570.6999417536,0.5869565217391305,9.609934709715837,77,smoothed,2.9168586737879113e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000214, 3.400000000000033, 18.73333333333329, 11.066666666666661, 1.4666666666666952, 20.666666666666686, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 14.466666666666637, 4.533333333333306, 22.80000000000001, 0.2666666666666515, 21.40000000000009, 15.333333333333371, 23.066666666666688, 2.133333333333316, 362.0]",19,3.2781312771989883,6496.22044156622,0.7838710424930725,5.6821195254701876e-05,1.0,17,31.419607843137243,0.2666666666666515,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666705, 0.2666666666666525, 3.400000000000033, 23.866666666666617, 0.9333333333332821, 32.60000000000002, 14.999999999999996, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 21.599999999999966, 44.599999999999966, 0.2666666666666515, 17.666666666666686, 46.400000000000034, 4.33333333333328]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777776,362.0,-362.0,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000114,0.0,28.772984749455325,0.0,0.0,28.772984749455325,7.600000000000023,28.89150326797387,0.0,0.0,0.0,-12.5,0.0,-12.5,8.0,0.9107808667382606,0.4643044059909519,0.980861677109129,0.30927835051546404,0.9903107691304346,,0,,76,1.7888872094513562,0.9754055307708968,8,0,0,0.7311072138968481,0.9723598515839541,8,39.25981830489455,0.9410513238665247,30.666666666666668,11.4,0.9475026389102393,6,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,5.75,6
bior2.8,1,symmetric,5.396161562145165e-29,339.19113446295677,144156.6467429073,0.5425531914893617,8.1349048585251,77,smoothed,2.2456783907190666e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000218, 3.400000000000035, 18.73333333333329, 11.066666666666663, 1.466666666666697, 20.666666666666693, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 14.46666666666664, 4.533333333333298, 22.800000000000015, 0.26666666666665195, 21.400000000000095, 15.333333333333371, 23.066666666666663, 2.133333333333324, 362.00000000000006]",19,3.3928948520489453,5195.420005954924,0.6862571472178572,5.6821195254701876e-05,1.0,17,31.419607843137246,0.26666666666665195,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.26666666666671, 0.26666666666665195, 3.400000000000035, 23.866666666666617, 0.9333333333332803, 32.60000000000002, 15.0, 2.8666666666666742, 4.799999999999955, 0.9999999999999445, 21.599999999999966, 44.59999999999998, 0.26666666666665195, 17.666666666666686, 46.400000000000034, 4.333333333333314]","[2, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777782,362.00000000000006,-362.00000000000006,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000109,0.0,28.772984749455322,5.684341886080802e-14,0.0,28.772984749455322,7.599999999999909,28.891503267973867,0.0,5.684341886080802e-14,0.0,-12.5,0.0,-12.5,8.0,0.9229835864033341,0.5137304037740799,0.6695669398462016,0.0565913577538929,0.7050721660199682,,0,,39,1.4501042331616856,0.7906813139180534,61,0,0,0.5735888907594955,0.7628632272910368,67,14.742229591663987,0.9778645201326367,55.666666666666664,52.66868597863201,0.9471404682745266,7,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,6.5,7
bior3.7,1,symmetric,7.174632867930971e-29,337.9539870759654,164973.8076220979,0.5869565217391305,9.609934709715837,77,smoothed,2.9156871722197193e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000214, 3.400000000000033, 18.73333333333329, 11.066666666666661, 1.4666666666666952, 20.666666666666686, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 14.466666666666637, 4.533333333333306, 22.80000000000001, 0.2666666666666515, 21.40000000000009, 15.333333333333371, 23.066666666666688, 2.133333333333316, 362.0]",19,2.8951727511899774,5149.51478205039,0.7683044989823595,5.6821195254701876e-05,1.0,17,31.419607843137243,0.2666666666666515,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666705, 0.2666666666666525, 3.400000000000033, 23.866666666666617, 0.9333333333332821, 32.60000000000002, 14.999999999999996, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 21.599999999999966, 44.599999999999966, 0.2666666666666515, 17.666666666666686, 46.400000000000034, 4.33333333333328]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777776,362.0,-362.0,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000114,0.0,28.772984749455325,0.0,0.0,28.772984749455325,7.600000000000023,28.89150326797387,0.0,0.0,0.0,-12.5,0.0,-12.5,8.0,0.9107864993994448,0.2993730914837305,0.83826230226743,0.30927835051546404,0.6950061008622878,,0,,75,1.5170033770663478,0.8271586248539724,40,0,0,0.6105412689056714,0.8120092461606567,43,19.39931270260195,0.970871902848946,52.666666666666664,48.709880427942096,0.9458964118849335,8,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,7.25,8
bior3.7,1,reflect,7.168431561100623e-29,337.9577424708019,181764.29740849722,0.5978260869565217,10.292910653711582,77,smoothed,2.914515670651527e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000214, 3.400000000000033, 18.73333333333329, 11.066666666666661, 1.4666666666666952, 20.666666666666686, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 14.466666666666637, 4.533333333333306, 22.80000000000001, 0.2666666666666515, 21.40000000000009, 15.333333333333371, 23.066666666666688, 2.133333333333316, 362.0]",19,3.313666401295012,6331.52640820759,0.8045079392475342,5.6821195254701876e-05,1.0,17,31.419607843137243,0.2666666666666515,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666705, 0.2666666666666525, 3.400000000000033, 23.866666666666617, 0.9333333333332821, 32.60000000000002, 14.999999999999996, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 21.599999999999966, 44.599999999999966, 0.2666666666666515, 17.666666666666686, 46.400000000000034, 4.33333333333328]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777776,362.0,-362.0,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000114,0.0,28.772984749455325,0.0,0.0,28.772984749455325,7.600000000000023,28.89150326797387,0.0,0.0,0.0,-12.5,0.0,-12.5,8.0,0.9108235239916934,0.4796085559975156,0.9743268586295797,0.37113402061855644,0.954196777522054,,0,,79,1.8035941409648077,0.9834246066875327,6,0,0,0.7380179473518799,0.9815510066278968,6,42.146569650842686,0.9367168623861221,30.333333333333332,8.670731707317074,0.9455856584202882,9,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,8.0,9
bior3.7,1,antireflect,7.152749739058643e-29,337.9672536017042,181841.0314440222,0.5978260869565217,10.128175009793036,77,smoothed,2.876486927437906e-15,,"[7, 13, 16, 19, 22, 24, 28, 30, 32, 34, 36, 39, 43, 45, 48, 51, 63, 67, 70]","[307.06666666666666, 1.6000000000000214, 3.400000000000033, 18.73333333333329, 11.066666666666661, 1.4666666666666952, 20.666666666666686, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 14.466666666666637, 4.533333333333306, 22.80000000000001, 0.2666666666666515, 21.40000000000009, 15.333333333333371, 23.066666666666688, 2.133333333333316, 362.0]",19,3.311233717996263,6540.407152615944,0.7785018089264912,5.6821195254701876e-05,1.0,17,31.419607843137243,0.2666666666666515,307.26666666666665,"[7, 11, 14, 16, 19, 21, 24, 29, 31, 33, 35, 37, 43, 45, 51, 63, 68]","[307.26666666666665, 7.266666666666705, 0.2666666666666525, 3.400000000000033, 23.866666666666617, 0.9333333333332821, 32.60000000000002, 14.999999999999996, 2.8666666666666747, 4.7999999999999545, 0.9999999999999449, 21.599999999999966, 44.599999999999966, 0.2666666666666515, 17.666666666666686, 46.400000000000034, 4.33333333333328]","[3, 10, 13, 10, 10, 20, 22, 28, 30, 32, 34, 28, 28, 44, 48, 48, 67]","[70, 13, 15, 17, 28, 22, 28, 36, 36, 36, 36, 39, 48, 48, 58, 70, 70]",0.05,30,230882.81777777776,362.0,-362.0,DWT,inu.32000013032836,0.0,-12.5,6599064.484444444,0.8000000000000114,0.0,28.772984749455325,0.0,0.0,28.772984749455325,7.600000000000023,28.89150326797387,0.0,0.0,0.0,-12.5,0.0,-12.5,8.0,0.9109172946226954,0.47856085598043074,0.9749486857849758,0.37113402061855644,1.0,,0,,81,1.8217587559037431,0.993329013059355,5,0,0,0.7471121714013318,0.9936461661050731,5,43.87862045841156,0.9341161854978806,30.333333333333332,7.275449101796407,0.9442853199761675,10,bior,271.6296296296296,233.0,226.7915322835785,135,0.5173836874345981,1.0,0.3378314187957813,5,8.75,10
