signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus8,13.724927312300807,0.6873449131513648,70.67353370508074,-3.936084229603876,65,31,987.16595125954,,False,9.989425532955341,4524.128436810763,0.04541082751820267,9.620812881145948e-06,0.49756364759812866,4,1921.7299978685423,11.798552601579559,4113.397678069508,"[8, 35, 45, 48]","[4113.397678069508, 2989.1508285020045, 11.798552601579559, 572.5729323010765]","[0, 20, 41, 41]","[59, 59, 46, 59]",0.05,20,118424521.11080958,3819.531418572881,-3819.531418572881,CWT,inu.32000013032927,1836.233701572246,3702.664344736175,3394.998085239548,0.0,-7.0,0.0,2.0,1836.233701572246,6917.453324807503,1836.233701572246,3394.998085239548,0.0,-7.0,,0.0,5.0,11.465219268246244,0.0,0.20269721983457498,0.10494616922565657,0.9075847770838739,0.31590011362304327,0.9685807172063242,0.1564102564102568,0.9461486023925151,0.607892594904545,,0.01412244327504726,0.6606750120876923,0.6606750120876923,0.6606750120876921,0.9665116618262903,0.9618013886687936,0.8333333333333335,,0.7647058823529411,0.0,0.04761904761904761,0.0,0.7760867835640157,0.7760867835640157,0.0,0.025000000000000022,2.2930013088651178,0.7671674158827845,2,1.9632648798660042,0.7787577360263552,5,0,0,0.47648615736443745,0.7687296943626952,3,1,0.11111111111111112,0.5207145007795431,0.7123597696233865,4,1.2909944487358056,0.9077861108045853,3.5,3.116883116883117,0.8288930554022926,2,gaus,8.0,8.5,4.105745103771404,8,0.6153846153846154,1.0,0.26923076923076916,1,1.75,1
smoothed,morl,13.675462056856475,0.684863523573201,72.44761138472762,-3.052625880852789,65,31,858.4654737220237,,False,10.061023337617605,4335.812410499305,0.04510014812487146,8.13779864001343e-06,0.5203795580766549,3,2618.4480742594355,808.4162532220016,4198.81103179915,"[8, 35, 49]","[4198.81103179915, 2848.116937757155, 808.4162532220016]","[0, 20, 42]","[59, 59, 59]",0.05,10,97427521.90504213,3627.3319970966427,-3627.3319970966427,CWT,inu.32000013032927,2532.951777963139,3788.077698465817,3202.7986637633094,0.0,-7.5,0.0,1.5,2532.951777963139,7085.877556111641,2532.9517779631396,3202.7986637633094,0.0,-3.0,,0.0,6.0,808.0829198886684,10.0,0.04365383528050526,0.07118948024590287,1.0,0.42171473531511705,0.9592122878976145,0.14358974358974386,1.0,0.5654875288302977,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.7058823529411764,0.0,0.0,0.0,0.6833270530381763,0.6833270530381763,0.0,0.22500000000000003,2.9889190565093884,1.0,1,2.0085474152323046,0.79671971613665,3,0,0,0.619835763934502,1.0,1,1,0.11111111111111112,0.520050395839342,0.711451245582863,5,1.9148542155126762,0.8632246988919516,2.5,1.5789473684210524,0.8423266351602615,1,morl,1.0,1.0,,1,0.07692307692307693,,,6,2.25,2
smoothed,cgau8,8.715521651016244,0.850620347394541,93.97847935496989,-9.975119124843832,65,31,1177.8019398780193,-4206.200891640601,True,10.45231099482307,4797.542671569895,0.04489580334115491,1.8115469715200785e-05,0.3820293167371375,3,1972.4768802815404,534.0957429722383,3171.2098830460936,"[8, 35, 48]","[3171.2098830460936, 2212.125014826289, 534.0957429722383]","[0, 20, 41]","[59, 59, 59]",0.05,10,122170776.40751113,2957.3109315966835,-2957.3109315966835,CWT,inu.32000013032927,1886.980583985244,2760.47654971276,2532.7775982633502,0.0,-7.5,0.0,1.5,1886.980583985244,5147.963974177955,1886.9805839852438,2532.7775982633502,0.0,-7.5,,0.0,6.0,533.762409638905,10.0,0.43827826372663015,0.2983033742906246,0.2758642700211148,1.0,0.01982866094311042,1.0,0.6734579642360565,0.6694601041478904,0.4202411568258305,0.6605066216907435,0.6853904398121724,0.6853904398121724,0.685390439812172,0.6146783341048511,0.5404355973544118,1.0,,0.7058823529411764,0.0,0.0,0.0,0.3599599325492331,0.3599599325492331,0.0,0.0,2.0071325563816202,0.6715245606970874,4,2.0016710739733115,0.7939921147793826,4,0,0,0.4198396060417444,0.6773400801798666,6,0,0.0,0.5328259771323619,0.7289287887146099,3,1.2583057392117916,0.9101210186277292,4.25,4.0,0.8032747950281502,3,cgau,3.0,3.0,,1,0.23076923076923078,,,2,2.75,3
smoothed,gaus6,13.66166426765208,0.6923076923076923,66.5511325918697,-3.849263916415156,65,31,955.5269729205884,,False,9.89382982994125,4206.606616812033,0.04793249573983545,1.0709929756619564e-05,0.5020181244995473,4,1773.7988329623993,22.887305023876024,3954.033333462944,"[8, 35, 44, 48]","[3954.033333462944, 2683.4258773098545, 22.887305023876024, 434.84881605292213]","[0, 20, 41, 41]","[59, 59, 46, 59]",0.05,20,116199019.29820466,3830.0398269045236,-3830.0398269045236,CWT,inu.32000013032927,1688.302536666103,3543.3000001296105,3405.5064935711903,0.0,-7.0,0.0,2.0,1688.302536666103,6325.728665182931,1688.302536666103,3405.5064935711903,0.0,-2.5,,0.0,5.0,22.55397169054271,0.0,0.16359891736407375,0.12973688168697997,0.9166667203450656,0.17461892214602057,0.9565990675348222,0.18205128205128207,0.9566623097888262,0.5363929247979115,,0.02784565346320572,0.588627590835674,0.588627590835674,0.5886275908356738,0.8488571215395799,0.8905303708025794,0.8333333333333335,,0.7647058823529411,0.0,0.04761904761904761,0.0,0.7811583759632631,0.7811583759632631,0.0,0.25,2.184841450677985,0.7309804679787997,3,1.8736523734179846,0.7432116243647083,7,0,0,0.466072728902949,0.7519293916576889,4,1,0.11111111111111112,0.4964853226588172,0.6792132148061015,7,2.0615528128088303,0.8527462276565121,5.25,4.602739726027398,0.738873113828256,4,gaus,8.0,8.5,4.105745103771404,8,0.6153846153846154,1.0,0.26923076923076916,1,3.25,4
smoothed,gaus4,13.658489894780802,0.6883374689826303,67.93889958142536,-4.0986059433310364,65,31,920.1442993238766,,False,9.91894261315971,4204.716826522808,0.04731958764960598,1.2341573023188594e-05,0.5021224811942612,4,1514.9271475003502,41.979759820718456,3781.3507116802148,"[8, 35, 44, 48]","[3781.3507116802148, 2002.4275139617826, 233.95060453868382, 41.979759820718456]","[0, 20, 41, 46]","[59, 59, 59, 59]",0.05,20,122887542.07230912,3959.596763220403,-3959.596763220403,CWT,inu.32000013032927,1429.4308512040539,3370.617378346881,3535.0634298870696,0.0,-7.0,0.0,2.0,1429.4308512040539,5290.241923334735,1429.4308512040534,3535.0634298870696,0.0,-2.5,,0.0,5.0,41.64642648738514,0.0,0.11987429200864269,0.16687669649645784,0.8905839977895937,0.21173318379735334,0.9559978599280501,0.1615384615384616,0.9569086183402788,0.535967381185662,,0.05147407983677616,0.4625484283783402,0.4625484283783402,0.46254842837833987,0.6429679218864345,0.8133031450222734,0.8333333333333335,,0.7647058823529411,0.0,0.04761904761904761,0.0,0.8436854450257474,0.8436854450257474,0.0,0.25,1.9619113472867242,0.6563949408445822,5,1.866007001513749,0.7401789757515327,8,0,0,0.4318946390158215,0.6967888336650735,5,1,0.11111111111111112,0.49437950583000695,0.6763323670693964,8,1.7320508075688772,0.8762820851736516,6.5,6.153846153846153,0.7059981854439686,5,gaus,8.0,8.5,4.105745103771404,8,0.6153846153846154,1.0,0.26923076923076916,1,4.0,5
smoothed,fbsp,9.987381767345717,0.7607940446650124,89.55999122077463,-12.612288465369774,65,31,1518.5952209888546,-4589.897383972646,True,10.103349318341216,6265.432371712932,0.046020844627648286,1.3845030697663948e-05,0.3878516709574019,5,1181.8083911382666,27.107851642978673,3529.9516850518744,"[8, 27, 36, 45, 48]","[3529.9516850518744, 27.107851642978673, 1959.5369712715737, 73.55363230568332, 318.8918154192222]","[0, 21, 21, 41, 41]","[59, 28, 59, 47, 59]",0.05,20,221429637.31271595,3999.320053996728,-3999.320053996728,CWT,inu.32000013032927,1096.3120948419703,3119.2183517185413,3574.7867206633946,0.0,-6.5,0.0,2.5,1096.3120948419703,5139.575289024667,1096.31209484197,3574.7867206633946,0.0,-6.5,,0.0,4.0,26.77451830964536,0.0,0.8594182462519799,0.20109872330095516,0.0,0.48426843593682584,0.2607115085776397,0.535897435897436,0.6872002127613641,1.0,0.0,0.03306891448997434,0.300308461013824,0.300308461013824,0.30030846101382386,0.6130103845285292,0.7008723214110599,0.6666666666666667,,0.8235294117647058,0.0,0.09523809523809522,0.0,0.8628567917431829,0.8628567917431829,0.0,0.05000000000000002,1.6508257762934484,0.5523153170368443,8,1.5798841225866331,0.6266841500131781,11,0,0,0.3739349840417913,0.6032807491910147,7,0,0.0,0.44762161808068884,0.6123655712622592,11,2.0615528128088303,0.8527462276565121,9.25,8.895306859205776,0.5960159709711133,7,fbsp,7.0,7.0,,1,0.5384615384615384,,,4,6.25,6
smoothed,gaus2,13.83863455834534,0.6570719602977667,79.01882243400115,-5.890450537433958,65,31,1206.4185035214907,,False,10.027413175951065,5090.8834504068645,0.041139335814317064,1.5652054681102404e-05,0.44416029840980104,6,725.1465453749194,0.9178120347726235,3424.9740199938797,"[8, 27, 31, 35, 43, 51]","[3424.9740199938797, 22.526667296803424, 35.06760621888145, 828.811460929819, 38.581705775360774, 0.9178120347726235]","[0, 20, 20, 20, 41, 50]","[59, 28, 32, 59, 59, 59]",0.05,20,182932915.69288728,4283.4826441307405,-4283.4826441307405,CWT,inu.32000013032927,639.6502490786231,3014.240686660546,3858.949310797407,0.0,-6.0,0.0,3.0,639.6502490786231,3581.4126055828497,640.6741958895743,3858.949310797407,0.0,-6.0,,0.0,3.0,0.5844787014393091,0.0,0.4736415756835569,0.2422305916917165,0.7031459393580098,0.3720421712116413,0.9901162028090444,0.0,0.8201030083138277,0.735514679281499,,0.0006566642482854455,0.0778988802313649,0.0778988802313649,0.07839757654917642,0.3031958259658236,0.6539241470225358,0.5,,0.8823529411764706,0.0,0.14285714285714282,0.0,1.0,1.0,0.0,0.07500000000000001,1.2665365952755985,0.4237440262951531,11,1.9399754758758616,0.7695196532231807,6,0,0,0.31947880388547767,0.5154249278188423,10,1,0.11111111111111112,0.5365437154881064,0.7340148142327267,2,4.112987559751022,0.7062151743034984,7.25,4.6643109540636045,0.5941790157231778,8,gaus,8.0,8.5,4.105745103771404,8,0.6153846153846154,1.0,0.26923076923076916,1,6.25,7
smoothed,shan,8.610826429827124,0.8377171215880893,87.92309847934477,-8.110684154855884,65,31,945.9960997627479,-4040.170725441603,True,10.393404228591422,4403.734174844953,0.04625105623470838,1.6474368642793634e-05,0.4186220564119742,4,1490.7462107232295,126.86225715076694,3191.872299217144,"[8, 30, 34, 52]","[3191.872299217144, 126.86225715076694, 1018.3244966879406, 1625.9257898370674]","[0, 19, 19, 19]","[59, 32, 41, 59]",0.05,20,80705802.90173206,2569.1710900625835,-2569.1710900625835,CWT,inu.32000013032927,1405.2499144269332,2781.1389658838107,2144.63775672925,0.0,-7.0,0.0,2.0,1405.2499144269332,5193.518176226252,1405.2499144269334,2144.63775672925,0.0,-7.0,,0.0,5.0,126.52892381743362,0.0,0.1518210098241688,0.2609482788713904,0.4708957320109578,0.9129415040962761,0.0,0.9333333333333331,0.7598262104487803,0.5807821745456497,0.6020846464219559,0.15652289937880481,0.4507715040273761,0.4507715040273761,0.4507715040273761,0.6237360243885733,0.5496762555187065,0.8333333333333335,,0.7647058823529411,0.0,0.04761904761904761,0.0,0.1726349820862773,0.1726349820862773,0.0,0.025000000000000022,1.5279771825569628,0.5112139718970551,9,2.0132495237632684,0.7985848762745799,2,0,0,0.31321186125640604,0.5053142775567612,11,0,0.0,0.5191814321725012,0.710262466018255,6,3.9157800414902435,0.7203014256078397,7.0,4.604651162790698,0.6101507128039199,6,shan,6.0,6.0,,1,0.46153846153846156,,,7,6.25,8
smoothed,gaus1,13.764414267265764,0.7042183622828784,78.33087283828237,-6.202435197897826,65,31,1632.3562484667418,,False,10.083641917984664,3212.970167141578,0.06291608414788202,1.7073269910943772e-05,0.0966967663164833,9,600.4725628995234,18.598411770232588,4133.823125184104,"[14, 16, 24, 31, 33, 39, 44, 50, 52]","[4133.823125184104, 62.08575581035075, 18.598411770232588, 22.164096245551946, 26.77208889304552, 867.8866420722568, 78.41359854159168, 117.14283418616674, 77.36651339241007]","[1, 15, 23, 25, 25, 25, 43, 47, 51]","[64, 64, 25, 32, 34, 64, 64, 64, 64]",0.05,30,187524667.97506502,2426.6927272425455,-2426.6927272425455,CWT,inu.32000013032927,514.976266603227,3723.089791850771,2002.1593939092122,0.0,3.0,0.0,-4.5,514.976266603227,4634.786399429045,514.9762666032273,2002.1593939092122,0.1111111111111111,7.5,,0.0,0.0,18.265078436899273,10.0,1.0,0.27458059829071396,0.6705104087934517,0.4551428066930308,0.9760593149186463,0.2435897435897435,0.0,0.31264553522434324,,0.022537808057984342,0.017178484091236845,0.017178484091236845,0.017178484091236956,0.5126415663946133,0.9709360693894008,0.0,,0.0,0.0,0.9999999999999999,0.0,0.10387174419805395,0.10387174419805395,0.3333333333333333,0.7500000000000001,1.1222261603374037,0.37546221196367774,12,1.7227755970947585,0.6833641437962943,10,0,0,0.2565818478563434,0.41395134451044097,13,1,0.11111111111111112,0.48601049538318564,0.6648832018455583,9,1.8257418583505538,0.8695898672606748,11.0,10.771001150747987,0.5419377907731946,9,gaus,8.0,8.5,4.105745103771404,8,0.6153846153846154,1.0,0.26923076923076916,1,7.0,9
smoothed,gaus3,13.609544451893573,0.7389578163771712,65.58616361711945,-4.0679647525096145,65,31,1123.8748724359127,,False,9.815615906045776,3656.6704634419193,0.058193446327969495,7.707351694600996e-06,0.13728150399072805,9,697.4729134918912,0.44870459170056165,4183.010572493738,"[14, 16, 26, 28, 39, 45, 50, 54, 56]","[4183.010572493738, 0.44870459170056165, 8.500845506353883, 78.13627361827065, 445.6573144678722, 30.27236731056189, 126.55044204016008, 41.79972450001446, 1362.879976898349]","[3, 15, 25, 25, 29, 43, 29, 29, 29]","[64, 64, 27, 29, 43, 47, 51, 55, 64]",0.05,30,113646366.71161366,2238.168955455739,-2238.168955455739,CWT,inu.32000013032927,611.9766171955948,3772.277239160405,1813.6356221224055,0.1111111111111111,0.0,0.1111111111111111,3.0,611.9766171955948,5507.789554760355,612.3393922682571,1813.6356221224055,0.3333333333333333,12.0,,0.0,0.0,0.11537125836724726,10.0,0.37163714871935993,0.06139155433557836,0.8937892564010274,0.059026316938473544,0.9467278800693887,0.4230769230769229,0.09579038484342806,0.412558117017358,,7.610659879161638e-05,0.06442089663598913,0.06442089663598913,0.06459758022052264,0.6862236256154011,0.9929337091039371,0.0,,0.8823529411764706,1.0,0.7142857142857142,1.0,0.012885964249590431,0.012885964249590431,1.0,0.9750000000000001,1.6574515626331117,0.5545321005008305,7,1.5416294332361125,0.611509867838357,12,0,0,0.49800555991813306,0.8034476048251343,2,1,0.11111111111111112,0.4024441421196365,0.5505608465626362,12,4.7871355387816905,0.6580617472298793,8.25,4.9411764705882355,0.5343880164720824,10,gaus,8.0,8.5,4.105745103771404,8,0.6153846153846154,1.0,0.26923076923076916,1,7.75,10
