amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,spectral_magnitude_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
128655.8655765126,,23667.89150702533,23525.58241611624,127233.7067487855,0.46569868514320856,0.038834951456310676,,14564.59771790186,14271.997717901859,32092.206772858815,0.48543689320388345,,inu.32000013032935,False,,-43307.420755979634,42870.22075597964,120466295890.2865,120458120932.2865,4.0,,"[3330718.2740528826, 662837.5363667475, 352326.9120465576, 245117.52197461022, 104454.08815908234, 128655.8655765126, 32972.23067861639, 44691.244063632665, 39935.073431741344, 22982.57806398378, 19934.806315258757, 10543.182827338918, 6769.833165049903, 13224.397118420517, 5270.071422703352, 7385.250526779813, 5017.201422971487, 4754.497763931103, 3474.1765809651356, 3285.365126526248, 3018.1577013910546, 2499.2903544011565, 2269.0575565443482, 2285.571964021524, 1535.0177711278768, 1954.3071259443377, 1415.7683023809693, 1960.817740472731, 1223.8192564273495, 1126.6656783792391, 971.2534750849519, 1085.6784738233773, 963.1156724191216, 911.7102814252003, 1015.436285601101, 761.4451279758388, 793.3212449931625, 666.8125848867643, 670.564364252001, 731.2306614286491, 445.3996286059027, 340.21440302492744, 458.2489932258852, 102.71705164151341, 186.5663654679877, 450.98469153907246, 211.09563815617517, 109.1365464828145, 116.49893831846795, 118.23860151216317, 194.96648763541302]","[0.0, 0.009708737864077669, 0.019417475728155338, 0.029126213592233007, 0.038834951456310676, 0.04854368932038834, 0.058252427184466014, 0.06796116504854369, 0.07766990291262135, 0.08737864077669902, 0.09708737864077668, 0.10679611650485436, 0.11650485436893203, 0.1262135922330097, 0.13592233009708737, 0.14563106796116504, 0.1553398058252427, 0.16504854368932037, 0.17475728155339804, 0.1844660194174757, 0.19417475728155337, 0.20388349514563106, 0.21359223300970873, 0.2233009708737864, 0.23300970873786406, 0.24271844660194172, 0.2524271844660194, 0.2621359223300971, 0.27184466019417475, 0.2815533980582524, 0.2912621359223301, 0.30097087378640774, 0.3106796116504854, 0.3203883495145631, 0.33009708737864074, 0.3398058252427184, 0.3495145631067961, 0.35922330097087374, 0.3689320388349514, 0.37864077669902907, 0.38834951456310673, 0.39805825242718446, 0.4077669902912621, 0.4174757281553398, 0.42718446601941745, 0.4368932038834951, 0.4466019417475728, 0.45631067961165045, 0.4660194174757281, 0.4757281553398058, 0.48543689320388345]",43710.691588402326,43273.49158840233,3625.0914256483375,3618.6914256483374,"[0, 61]",0.0,-5.5,2,9.0,"[51, 69]",0.0,-10.0,"[43710.691588402326, 3625.0914256483375]",23525.58241611624,45770.38301405066,23525.58241611624,"[102, 102]",0.0,-10.0,50,103,smoothed,3.089009994455954e-05,0.030496587122382016,,0.011688436682511193,,5074943.2156529045,5074943.2156529045,43307.420755979634,42870.22075597964,0.043360887031146315,mexh,840.2344605507598,344341117.5958987,11.232599981771452,-37.798938794244215,0.6809708737864077,CWT,1.0,1.0,0.00471461018710484,0.41206468194980717,0.9999999999999999,0.9198606271776997,0.7326637936466718,0.1379417427069446,,0.5415066466933987,1.0,1.0,1.0,,0.9999999999999999,0.6780150315135783,0.8440748357161779,1.0,,,,,0.5,,1.0000000000000002,0.0,0.8,0.6245456941572045,0.6245456941572045,0.0,3.9533152052857794,1.0,1,2.025047572499693,1.0,1,0.0,0.7075125268158377,1.0,1,0,0.6509056819585285,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,1.0,1.0,,1,0.16666666666666666,,,2,1.25
,,17368.63590608171,17226.32681517262,72415.53921990446,0.46200681701776863,,,1106.3017379642788,813.7017379642788,7820.687411911408,,,inu.32000013032935,False,,-17262.037180229912,16824.83718022991,9193287226.43219,9185112268.43219,,,[],[],23896.399944194334,23459.199944194334,6035.725272396447,6029.325272396447,"[0, 39, 61]",0.0,-5.0,3,8.0,"[13, 51, 91]",0.0,-9.5,"[22173.78250165435, 6035.725272396447, 23896.399944194334]",17226.32681517262,50540.50771824513,17226.32681517262,"[61, 61, 102]",0.0,-0.5,50,103,smoothed,9.066972709113876e-06,,,,,0.0,0.0,17262.037180229912,16824.83718022991,0.043537010054214585,gaus8,294.51731272645657,35618913.15901862,11.377285442656222,-26.577981140685214,0.681747572815534,CWT,0.09099951986050253,0.04868906447834441,0.787891778713575,0.7979925118764044,0.04069794922125425,0.9268292682926826,0.7283230406866632,0.04385490131597407,,1.0,0.6512809935243742,0.6512809935243742,0.6512809935243742,,0.0,0.03855346729467352,0.9759819598784091,0.41611069038627535,,,,,0.25,,0.03951512425393976,0.6551724137931034,0.9,0.09118686153879202,0.09118686153879202,0.034482758620689655,1.920122052797551,0.48569920512036385,3,1.6135897571967563,0.7968157287312326,4,0.0,0.42973554119185325,0.6073893039404962,3,0,0.43315975430567505,0.6654723815013082,6,1.4142135623730951,0.8585786437626906,4.0,3.6923076923076925,0.7292893218813452,2,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,1.75
,,17654.23404094129,17511.9249500322,56508.43813921904,0.5449614043181086,,,6794.907146335823,6502.307146335823,8456.302280446125,,,inu.32000013032935,False,,-19238.547579286816,18801.347579286816,12187189387.84953,12179014429.84953,,,[],[],24793.035033696542,24355.83503369654,4637.780632498076,4631.380632498076,"[0, 40, 60]",0.0,-9.5,3,8.0,"[14, 51, 89]",0.0,-9.5,"[24793.035033696542, 4637.780632498076, 23531.886456629247]",17511.9249500322,51397.302122823865,17511.9249500322,"[102, 60, 102]",0.0,-9.5,50,103,smoothed,1.2169107121853409e-05,,,,,0.0,0.0,19238.547579286816,18801.347579286816,0.036659865708800754,gaus4,317.46177765475085,40441065.97626016,11.433940526197835,-27.7452947527689,0.6761165048543689,CWT,0.11480413678990223,0.18391690595396598,0.7064180402217323,0.9491118663147791,0.05568197375938594,0.8763066202090587,0.8258577732760971,0.01655284136331197,,0.7341162671599346,0.6670913533746089,0.6670913533746089,0.6670913533746089,,0.0,0.30884359303451925,0.9996746918119985,0.442532813002903,,,,,0.25,,0.06535784909830625,0.03448275862068966,0.0,0.1316619528743896,0.1316619528743896,0.034482758620689655,1.8918311803949548,0.4785429651208895,4,1.7033509509326694,0.841141202836077,2,0.0,0.34227257981477643,0.48376893248120323,6,0,0.46608126973602915,0.7160503935587473,2,1.9148542155126762,0.8085145784487324,3.5,2.823529411764706,0.7292572892243663,3,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,2.5
,,12335.201220182656,12192.892129273565,71136.45509074941,0.6930716842760457,,,21341.18797673047,21048.587976730472,20182.31823299212,,,inu.32000013032935,False,,-29238.16331076043,28800.963310760428,47571582235.585,47563407277.585,,,[],[],33632.921873359235,33195.72187335924,871.3928652291761,864.9928652291761,"[0, 24, 39, 0]",0.0,-9.0,4,7.0,"[17, 29, 51, 78]",0.0,4.5,"[9317.521420637026, 871.3928652291761, 5518.968721505189, 33632.921873359235]",12192.892129273565,47775.404880730624,12192.892129273565,"[60, 39, 60, 102]",0.0,-4.5,50,103,smoothed,1.7039267975280123e-05,,,,,0.0,0.0,29238.16331076043,28800.963310760428,0.0566239042245637,gaus2,539.9698986086627,146835338.62737134,11.233454690996368,-33.72095169784052,0.6254368932038835,CWT,0.5539589326836379,0.39621632700528153,0.2893415097847466,0.4143444968971613,0.38628418661768243,0.4216027874564459,1.0,0.04165955274796303,,0.017763694745181136,0.3726362688105942,0.3726362688105942,0.3726362688105942,,0.0,1.0,0.8995192286234708,0.7030273851307383,,,,,0.0,,0.3707883805075552,0.37931034482758624,0.1,0.3364346473390345,0.3364346473390345,0.9999999999999999,2.209874140902344,0.558992649497726,2,1.4442767616167094,0.7132063370905961,6,0.0,0.4174124756629589,0.5899718518646236,4,0,0.4379259741491148,0.6727948246379214,5,1.707825127659933,0.8292174872340067,4.25,3.582089552238806,0.7021087436170033,4,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,3.25
,,17658.155387454146,17515.846296545056,69026.10179440567,0.4481987899138938,,,2989.7456354378382,2697.1456354378383,8527.87546520219,,,inu.32000013032935,False,,-18464.13396065739,18026.93396065739,10769815804.094852,10761640846.094852,,,[],[],24979.20959536593,24542.00959536593,4914.331505185425,4907.9315051854255,"[0, 40, 60]",0.0,-9.5,3,8.0,"[14, 51, 91]",0.0,-9.5,"[23080.92506181108, 4914.331505185425, 24979.20959536593]",17515.846296545056,51409.06616236243,17515.846296545056,"[60, 60, 102]",0.0,-9.5,50,103,smoothed,1.0161698058869899e-05,,,,,0.0,0.0,18464.13396065739,18026.93396065739,0.03929527279662654,gaus6,304.785014685727,35923719.73815724,11.421400472231024,-27.258200691688224,0.6899029126213593,CWT,0.1174846471584891,0.09641019011629452,0.7404152229347628,0.9156630609892176,0.04164508412848221,1.0,0.7120881069115352,0.038037460204147215,,0.7867151872113293,0.6673084342722002,0.6673084342722002,0.6673084342722002,,0.0,0.12804399288516355,1.0000000000000002,0.44801902155543294,,,,,0.25,,0.05312338265558676,0.03448275862068966,0.0,0.11580346715100925,0.11580346715100925,0.034482758620689655,1.8078515600030811,0.45730013068168546,5,1.6871218843484157,0.8331270372408358,3,0.0,0.3312266225778341,0.4681565485045481,7,0,0.4577179715553661,0.7032016838109717,3,1.9148542155126762,0.8085145784487324,4.5,3.9622641509433962,0.6792572892243662,5,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,4.0
,,12179.64909649422,12037.340005585129,46864.19440100689,0.5833346445377131,,,1073.2253668649796,780.6253668649796,5390.879445482003,,,inu.32000013032935,False,,-12809.131105370192,12371.931105370191,4615425695.768778,4607250737.768778,,,[],[],20316.26228149687,19879.06228149687,777.996170408609,771.596170408609,"[0, 25, 39, 61]",0.0,-4.5,4,7.0,"[13, 29, 50, 92]",0.0,4.5,"[18599.455010650607, 777.996170408609, 9024.882923420795, 20316.26228149687]",12037.340005585129,47153.19638597688,12037.340005585129,"[61, 39, 61, 102]",0.0,4.5,50,103,smoothed,8.36104011187161e-06,,,,,0.0,0.0,12809.131105370192,12371.931105370191,0.05908780109070695,morl,226.176625118237,22521515.327494882,11.326407127710594,-23.53900418288559,0.6646601941747573,CWT,0.0,0.017916142144509276,0.9999999999999998,0.6622818637075043,0.0,0.773519163763066,0.8709755159496707,0.0,,0.0,0.364025095449145,0.364025095449145,0.364025095449145,,0.0,0.03698186654868214,0.8823134450723389,0.3106108751150304,,,,,0.0,,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,1.3425756792722563,0.33960754697150525,6,1.5943136463821994,0.7872968852846253,5,0.0,0.35479876487223244,0.5014734742139555,5,0,0.41558658569559376,0.6384743553706945,7,0.9574271077563381,0.9042572892243662,5.75,5.63758389261745,0.6646286446121832,6,morl,6.0,6.0,,1,1.0,,,3,5.25
,,,,629497.9263709049,-0.03896935287494658,,,0.0,292.6,28275.945184645192,,,inu.32000013032935,False,,-61641.890559048705,61204.69055904871,120415054224.09955,120406879266.09955,,,[],[],,,,,[],,,0,11.0,[],,,[],,,,[],,,50,103,smoothed,1.87067482791557e-05,,,,,0.0,0.0,61641.890559048705,61204.69055904871,0.045953031184312376,gaus1,628.4349114330759,289749654.0898377,11.18990110304835,-37.86648729206633,0.5784466019417476,CWT,0.8570759595047989,0.46890491240963705,0.0,0.2981715132434503,0.8303662576136965,0.0,0.13929501518089904,1.0,,,,,,,0.0,0.01379368099092684,,,,,,,1.0,,0.9995576928675556,,,0.9999999999999998,0.9999999999999998,,1.306675686929241,0.33052656291665045,7,1.4177811530752638,0.7001223933347762,7,0.6,0.6388918956430804,0.9030114258448756,2,0,0.4492267072440602,0.6901563770228112,4,2.449489742783178,0.7550510257216823,5.0,3.862068965517242,0.6275255128608411,7,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,5.5
,,10683.907255630877,10541.598164721785,86474.10475091731,-0.15744161594011286,,,383.9324038763009,91.33240387630087,8617.579982377076,,,inu.32000013032935,False,,-21989.158309868493,21551.958309868493,11805249500.710684,11797074542.710684,,,[],[],25909.18281379781,25471.982813797807,2934.2131241430793,2927.813124143079,"[2, 47, 2]",0.0,-9.5,3,8.0,"[21, 53, 99]",0.0,-9.5,"[25909.18281379781, 2934.2131241430793, 3208.32582895174]",10541.598164721785,30486.321766892626,10541.598164721785,"[66, 66, 102]",0.0,-9.5,50,103,smoothed,7.950042787034219e-06,,,,,0.0,0.0,21989.158309868493,21551.958309868493,0.03973375243176924,gaus7,322.5219454736471,38902965.01675148,11.453018634861863,-27.788511329149642,0.6714563106796116,CWT,0.12084419989064527,0.0,0.7034016991064493,1.0,0.05090258509360207,0.8344947735191633,0.0,0.06798423808382738,,0.4101042316766091,0.2812226753327499,0.2812226753327499,0.2812226753327499,,0.0,0.004230591277660158,0.42142832442911565,0.47542355512240353,,,,,0.25,,0.06206102546204391,0.03448275862068966,0.0,0.1879891144223835,0.1879891144223835,0.034482758620689655,1.0432438988032295,0.2638908977984757,8,1.3447371766190606,0.6640521412339633,8,0.0,0.19412396667014856,0.2743753068851008,8,0,0.3472034369617109,0.5334158950909764,8,0.0,1.0,8.0,8.0,0.6,8,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,6.25
,,7323.773321440758,7181.464230531667,90428.72986087305,-0.14922114706231782,,,294.8941367297209,2.29413672972089,8868.449289069067,,,inu.32000013032935,False,,-25496.348761965008,25059.148761965007,13669509834.11644,13661334876.11644,,,[],[],22733.215718303305,22296.015718303304,1311.3746208969396,1304.9746208969395,"[2, 27, 48, 2]",0.0,-9.0,4,7.0,"[21, 32, 53, 99]",0.0,-9.0,"[22733.215718303305, 1311.3746208969396, 2323.1503339819046, 2927.3526125808858]",7181.464230531667,27729.69328576303,7181.464230531667,"[66, 66, 66, 102]",0.0,-9.0,50,103,smoothed,9.134606108848615e-06,,,,,0.0,0.0,25496.348761965008,25059.148761965007,0.03443335665997911,gaus5,313.6158923954765,40943022.97353094,11.378873144096051,-28.42439666911526,0.6681553398058252,CWT,0.1302395870044078,0.05163733087848074,0.6590194907925442,0.8022274790078479,0.05724172025628246,0.804878048780487,0.009665303147764814,0.07477173577398867,,0.10144654472339998,0.0952098126414363,0.0952098126414363,0.0952098126414363,,0.0,0.0,0.3451999325361811,0.381833874096069,,,,,0.0,,0.07815292300476928,0.06896551724137932,0.1,0.25980955814363876,0.25980955814363876,0.06896551724137931,0.6533296380426917,0.1652612058783366,9,1.2354354045533544,0.6100772255085093,9,0.0,0.129987524203651,0.18372469642150405,9,0,0.3237100869552254,0.497322570577668,9,0.0,1.0,9.0,9.0,0.55,9,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,7.0
,,5603.904503254386,5461.595412345296,162611.38650358006,-0.10470891883443888,,,0.0,292.6,10057.113377560936,,,inu.32000013032935,False,,-34679.19963791816,34241.99963791816,23711539757.86553,23703364799.86553,,,[],[],9775.678019963729,9338.478019963728,2728.42183869944,2722.0218386994397,"[2, 43, 2]",0.0,-9.5,3,8.0,"[35, 55, 99]",0.0,-9.5,"[9775.678019963729, 4307.6136510999895, 2728.42183869944]",5461.595412345296,15246.313509763158,5461.595412345296,"[65, 65, 102]",0.0,-9.5,50,103,smoothed,1.150082285645293e-05,,,,,0.0,0.0,34679.19963791816,34241.99963791816,0.06325080279245386,gaus3,332.6574763201652,75606674.31922008,11.078115739384518,-30.813490354051886,0.656504854368932,CWT,0.17475662819558235,0.1547851448248856,0.492270476556698,0.0,0.16495315579767306,0.7003484320557486,0.062001025842008395,0.19866201654893761,,0.37096351494287055,0.0,0.0,0.0,,0.0,0.01379368099092684,0.0,0.0,,,,,0.25,,0.16483358329578104,0.03448275862068966,0.0,0.4478564958691991,0.4478564958691991,0.034482758620689655,0.49009011256010165,0.12396939963320576,10,0.8611059855176737,0.4252275340152802,10,0.0,0.1176179525472904,0.16624151246710836,10,0,0.24347210997769173,0.3740512899581728,10,0.0,1.0,10.0,10.0,0.5,10,gaus,6.0,6.0,2.9277002188455996,8,1.0,1.0,0.0,1,7.75
