wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
db14,1,reflect,1.7663196704778623e-26,319.1562531016009,19412314.570844285,0.590625,566.2364871259978,294,raw,9.698062458916133e-14,-3.1172031622617236e-10,7.200282525736023,71016.62595521007,0.7454057406055797,4.5086579588937924e-06,1.0,631.0000000000002,,,,[],[],16,800.0,304.0000000000001,1199.0,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[304.0000000000001, 826.0, 987.0000000000002, 1013.9999999999999, 861.0, 947.0000000000001, 447.0, 635.0, 919.0000000000002, 1199.0, 865.0000000000002, 1051.0, 368.00000000000006, 1196.0, 829.0000000000001, 352.00000000000017]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.0,1213.0000000000002,-1213.0000000000002,0.0,,,,DWT,uc1.c2693406,0.0,,0.0,34.0,30.0,0.0,34.0,,2.2737367544323206e-13,298.95652173913044,10248.0,298.95652173913055,,0.0,298.95652173913044,,,303.0000000000001,0.0,34.0,0.0,2.2737367544323206e-13,,2.2737367544323206e-13,6.995380924411172e-14,4.952884399568209e-27,0.9729804905084477,0.902836093152436,0.000887797995219357,0.3053125956535046,0.0002147696966849059,0.9779573929916439,0.9999999999942355,0.999999999920368,0.999999999920368,0.9999999999202017,,9.190827001091239e-12,0.999999999981732,0.0,,,,,1.0,,0.0,0.8888888888888888,0.47368421052631576,1.7844812569560491e-13,1.7844812569560491e-13,0.0,2.2362573098636047,0.996127666248872,130,1.5490441432156508,0.7606191574425641,99,0,0.5258980785115471,0.9999999964157809,129,0,0.39502364249975075,0.7343286977273822,101,17.05627939108253,0.9821213004286347,114.75,112.8469292319433,0.9309191407803551,1,db,369.6608187134503,331.5,260.8172619852343,342,0.572245910395336,0.8528686184850767,0.34356727717774177,2,1.25
db14,1,antireflect,1.8452615715674078e-26,318.96636678155755,19162155.248667713,0.590625,560.6936820600768,294,raw,9.695645646889739e-14,-3.111285673540471e-10,7.19144981794115,164670.57114178123,0.889959596696513,4.5086579588937924e-06,1.0,631.0000000000002,,,,[],[],16,800.0,304.00000000000017,1199.0,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[304.00000000000017, 825.9999999999999, 987.0000000000002, 1013.9999999999999, 861.0, 947.0000000000001, 447.0, 635.0, 919.0000000000002, 1199.0, 865.0000000000002, 1051.0, 368.00000000000006, 1196.0000000000002, 829.0, 352.0000000000001]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.0,1213.0000000000002,-1213.0000000000002,0.0,,,,DWT,uc1.c2693406,0.0,,0.0,34.0,30.0,0.0,34.0,,2.2737367544323206e-13,298.95652173913044,10248.0,298.95652173913055,,0.0,298.95652173913044,,,303.00000000000017,0.0,34.0,0.0,2.2737367544323206e-13,,2.2737367544323206e-13,6.992902709576556e-14,5.2251822928024e-27,0.9722757248490477,0.9000105734791244,0.0007525658933364177,0.3053125956535046,0.0045691769903466765,0.9779573929916485,0.9999999999942357,0.999999999920368,0.999999999920368,0.9999999999202017,,9.190827001091239e-12,0.999999999981732,0.0,,,,,1.0,,0.0,0.8888888888888888,0.47368421052631576,1.7844812569560491e-13,1.7844812569560491e-13,0.0,2.2362573098636047,0.996127666248872,132,1.54888267084988,0.7605398704994898,101,0,0.5258980785115471,0.9999999964157809,131,0,0.3951097537321348,0.7344887740932831,99,18.20942979154848,0.980912547388314,115.75,113.59974849449017,0.9297906552455197,2,db,369.6608187134503,331.5,260.8172619852343,342,0.572245910395336,0.8528686184850767,0.34356727717774177,2,2.0
coif10,1,antireflect,4.774044525418667e-26,314.83808150444554,20071380.785429835,0.5823863636363636,553.573821204644,294,raw,1.565127468293336e-13,-3.138022064419495e-10,7.337339077086586,239518.2586156844,0.9280045146985659,4.508657958893792e-06,1.0,630.9999999999998,,,,[],[],16,800.0,304.0,1199.0000000000002,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[304.0, 826.0, 987.0, 1014.0000000000001, 861.0, 947.0000000000002, 446.9999999999999, 635.0000000000002, 919.0, 1199.0000000000002, 865.0000000000005, 1051.0000000000002, 367.9999999999999, 1196.0, 829.0, 352.00000000000034]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.0,1213.0,-1213.0,0.0,,,,DWT,uc1.c2693406,0.0,,0.0,34.0,30.0,0.0,34.0,,0.0,298.95652173913044,10248.0,298.9565217391305,,0.0,298.95652173913044,,,303.0,0.0,34.0,2.2737367544323206e-13,0.0,,2.2737367544323206e-13,1.3099843615778026e-13,1.532756666747415e-26,0.9569535378960783,0.9466794978241079,0.0012440785795404445,0.26255843559562586,0.008049193935717317,0.9779573929916273,0.9999999999942351,0.999999999920368,0.999999999920368,0.9999999999202004,,9.190827001091239e-12,0.999999999981732,7.197778329248444e-14,,,,,1.0,,0.0,0.8888888888888888,0.47368421052631576,0.0,0.0,0.0,2.236257309863569,0.9961276662488562,140,1.5475599199486987,0.7598903669457213,108,0,0.5258980785115267,0.999999996415742,137,0,0.3941802671028535,0.7327609061061521,109,17.368553960150702,0.9817939685952298,123.5,121.6704190166005,0.9261695209852459,3,coif,458.562091503268,519.0,286.89471363443823,153,0.7098677172180624,0.9381415026200502,0.2216501471613412,4,3.25
coif11,1,periodic,7.492800507895797e-26,312.88050445731824,20779662.66003817,0.5837988826815642,560.281375781526,294,raw,2.0489732359775946e-13,-3.420592697978016e-10,7.3508505065045835,72467.18959367026,0.7650955899719899,4.508657958893792e-06,1.0,631.0000000000002,,,,[],[],16,800.0000000000002,303.99999999999966,1199.0000000000002,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[303.99999999999966, 826.0000000000006, 987.0000000000005, 1014.0000000000002, 860.9999999999998, 947.0000000000003, 447.00000000000057, 635.0000000000002, 919.0000000000001, 1199.0000000000002, 865.0, 1051.0000000000005, 367.99999999999966, 1196.0000000000007, 829.0000000000005, 351.9999999999998]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.00000001,1213.0000000000007,-1213.0000000000007,0.0,,,,DWT,uc1.c2693406,1.4901161193847656e-08,,0.0,34.0,30.0,0.0,34.0,,6.821210263296962e-13,298.95652173913066,10247.999999999996,298.9565217391306,,0.0,298.95652173913066,,,302.99999999999966,0.0,34.0,2.2737367544323206e-13,6.821210263296962e-13,,2.2737367544323206e-13,1.8061229714678446e-13,2.4705495448371174e-26,0.9496879640615324,0.9510017068818186,0.0016269643572739904,0.26988866145798596,0.00028221314367102735,0.9779573929914034,0.9999999999942336,0.9999999999203734,0.9999999999203734,0.999999999920203,,9.190827001091239e-12,0.9999999999816942,7.197778329248444e-14,,,,,1.0,,7.161176255906176e-14,0.8888888888888888,0.47368421052631576,5.353443770868147e-13,5.353443770868147e-13,0.0,2.236257309863804,0.9961276662489608,106,1.5453784210937442,0.7588191968126528,115,0,0.5258980785116064,0.9999999964158935,104,0,0.39380561286173327,0.7320644430812079,152,22.351360883251232,0.9765709005416654,119.25,116.53671611174008,0.9257854502708327,4,coif,458.562091503268,519.0,286.89471363443823,153,0.7098677172180624,0.9381415026200502,0.2216501471613412,4,4.0
db31,1,antireflect,3.927977788567342e-26,315.6852559227999,20415353.808701985,0.5847457627118644,540.2827327281641,294,raw,1.4195145437030435e-13,-2.9845104165815506e-10,7.331424085273668,248629.16899379742,0.9255237917425077,4.508657958893794e-06,1.0,630.9999999999998,,,,[],[],16,800.0,303.9999999999999,1199.0,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[303.9999999999999, 826.0, 987.0000000000001, 1013.9999999999994, 861.0, 946.9999999999997, 447.00000000000034, 635.0, 918.9999999999999, 1199.0, 865.0, 1051.0000000000002, 367.9999999999997, 1196.0, 828.9999999999997, 351.9999999999998]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.0,1213.0,-1213.0,0.0,,,,DWT,uc1.c2693406,0.0,,0.0,34.0,30.0,0.0,34.0,,0.0,298.95652173913044,10248.0,298.9565217391303,,0.0,298.95652173913044,,,302.9999999999999,0.0,34.0,0.0,0.0,,2.2737367544323206e-13,1.1606719177922134e-13,1.2409190155122181e-26,0.9600978372718423,0.9447873345008089,0.0014300248577898277,0.2748024674064736,0.008472802514334276,0.977957392991749,0.9999999999942345,0.999999999920368,0.999999999920368,0.9999999999201964,,9.190827001091239e-12,0.999999999981732,0.0,,,,,1.0,,0.0,0.8888888888888888,0.47368421052631576,0.0,0.0,0.0,2.236257309863532,0.9961276662488395,143,1.5536604472074622,0.7628858773860394,89,0,0.5258980785115211,0.9999999964157315,142,0,0.39594348244288924,0.7360386330195792,93,29.78114616106416,0.9687828656592619,116.75,111.03738308341194,0.9232017053663186,5,db,369.6608187134503,331.5,260.8172619852343,342,0.572245910395336,0.8528686184850767,0.34356727717774177,2,4.25
coif16,1,reflect,8.662372125657328e-26,312.25057779016544,21977717.33424867,0.5773195876288659,538.5907814777222,294,raw,2.1763996500692665e-13,-3.3167424362545794e-10,7.482916708705596,71047.25021163624,0.7550201419661589,4.508657958893792e-06,1.0,631.0,,,,[],[],16,800.0000000000002,304.0,1199.0000000000007,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[304.0, 825.9999999999998, 987.0000000000007, 1014.0000000000005, 860.9999999999995, 947.0000000000002, 447.00000000000034, 635.0, 919.0, 1199.0000000000007, 865.0000000000008, 1051.0000000000005, 368.00000000000034, 1196.0000000000005, 829.0000000000002, 351.9999999999999]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.00000001,1213.000000000001,-1213.000000000001,0.0,,,,DWT,uc1.c2693406,1.4901161193847656e-08,,0.0,34.0,30.0,0.0,34.0,,9.094947017729282e-13,298.95652173913066,10247.999999999996,298.95652173913066,,0.0,298.95652173913066,,,303.0,0.0,34.0,6.821210263296962e-13,9.094947017729282e-13,,0.0,1.9367868486229527e-13,2.873975207390796e-26,0.9473499826690429,0.9932487347655101,0.0022746134248942222,0.23626455116614428,0.00021619356073333937,0.9779573929914857,0.9999999999942351,0.9999999999203734,0.9999999999203734,0.9999999999202044,,0.0,0.9999999999816942,2.1593334987745333e-13,,,,,1.0,,7.161176255906176e-14,0.8888888888888888,0.47368421052631576,7.137925027824197e-13,7.137925027824197e-13,0.0,2.2362573098593526,0.9961276662469779,159,1.5519469187840313,0.7620444923607048,95,0,0.5258980785109858,0.9999999964147135,158,0,0.3946639335722505,0.7336600172741803,106,33.78855822118882,0.9645822240868042,129.5,122.77960695544809,0.9144189946429828,6,coif,458.562091503268,519.0,286.89471363443823,153,0.7098677172180624,0.9381415026200502,0.2216501471613412,4,5.5
coif16,1,antireflect,8.4227687733782e-26,312.3723973725132,21220984.84246997,0.5902061855670103,554.42780088671,294,raw,2.1434101659089765e-13,-3.334287290712731e-10,7.467210482060074,292863.57700651797,0.9406133614675882,4.508657958893792e-06,1.0,631.0,,,,[],[],16,800.0000000000005,303.9999999999998,1199.0000000000007,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[303.9999999999998, 826.0000000000001, 987.0000000000006, 1014.0000000000005, 860.9999999999995, 947.0000000000002, 447.00000000000034, 635.0, 919.0, 1199.0000000000007, 865.0000000000008, 1051.0000000000005, 368.0000000000004, 1196.0000000000011, 829.0000000000005, 352.0000000000004]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.00000001,1213.0000000000011,-1213.0000000000011,0.0,,,,DWT,uc1.c2693406,1.4901161193847656e-08,,0.0,34.0,30.0,0.0,34.0,,1.1368683772161603e-12,298.9565217391309,10247.999999999993,298.95652173913084,,0.0,298.9565217391309,,,302.9999999999998,0.0,34.0,6.821210263296962e-13,1.1368683772161603e-12,,0.0,1.9029592161304504e-13,2.791327732302188e-26,0.9478021177057405,0.9882244258660161,0.001865536023596677,0.3031391705243628,0.0105294657814042,0.9779573929914718,0.9999999999942341,0.9999999999203787,0.9999999999203787,0.9999999999202084,,0.0,0.9999999999816567,2.1593334987745333e-13,,,,,1.0,,7.161176255906176e-14,0.8888888888888888,0.47368421052631576,8.922406284780246e-13,8.922406284780246e-13,0.0,2.2362573098594094,0.9961276662470032,157,1.5803766632872034,0.7760042031959432,57,0,0.5258980785110097,0.9999999964147588,156,0,0.4036897636115978,0.7504385725443419,59,56.87632782332793,0.9403812077323607,107.25,84.61544174922972,0.9139799120422809,7,coif,458.562091503268,519.0,286.89471363443823,153,0.7098677172180624,0.9381415026200502,0.2216501471613412,4,6.25
db31,1,antisymmetric,4.18055065809639e-26,315.4146112521557,20985869.144079193,0.5790960451977402,528.2826640152499,294,raw,1.4296651542139018e-13,-2.9876356943958693e-10,7.336173593872996,268540.49933637923,0.9309981329102789,4.508657958893794e-06,1.0,630.9999999999998,,,,[],[],16,800.0,304.00000000000006,1199.0,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[304.00000000000006, 826.0000000000001, 987.0000000000003, 1013.9999999999994, 861.0, 946.9999999999997, 447.00000000000034, 635.0, 918.9999999999999, 1199.0, 865.0, 1051.0000000000002, 367.9999999999998, 1196.0000000000007, 828.9999999999993, 352.0]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.0,1213.0000000000007,-1213.0000000000007,0.0,,,,DWT,uc1.c2693406,0.0,,0.0,34.0,30.0,0.0,34.0,,6.821210263296962e-13,298.95652173913044,10248.0,298.95652173913044,,0.0,298.95652173913044,,,303.00000000000006,0.0,34.0,0.0,6.821210263296962e-13,,2.2737367544323206e-13,1.1710804200975984e-13,1.328040125229174e-26,0.9590933358958287,0.9463066681295916,0.0017384362625227408,0.2454834252471647,0.009398572826492778,0.9779573929917466,0.9999999999942353,0.999999999920368,0.999999999920368,0.9999999999201991,,9.190827001091239e-12,0.999999999981732,0.0,,,,,1.0,,0.0,0.8888888888888888,0.47368421052631576,5.353443770868147e-13,5.353443770868147e-13,0.0,2.2362573098637473,0.9961276662489355,107,1.5426143101597511,0.7574619496748616,158,0,0.5258980785115978,0.9999999964158771,105,0,0.39249722891918304,0.7296322244155595,162,31.23032714099123,0.9672638080283111,133.0,127.5040303486584,0.9139254050623736,8,db,369.6608187134503,331.5,260.8172619852343,342,0.572245910395336,0.8528686184850767,0.34356727717774177,2,6.5
db31,1,symmetric,4.345127435248213e-26,315.2469209751322,20981589.18342204,0.5790960451977402,525.3593034721057,294,raw,1.4686966684401797e-13,-2.976319191105865e-10,7.337670074148219,74923.73443331153,0.7507029727284894,4.508657958893794e-06,1.0,630.9999999999998,,,,[],[],16,800.0,304.0000000000001,1199.0,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[304.0000000000001, 825.9999999999999, 987.0000000000006, 1013.9999999999994, 861.0, 946.9999999999997, 447.00000000000034, 635.0, 918.9999999999999, 1199.0, 865.0, 1051.0000000000002, 367.9999999999998, 1196.0000000000002, 828.9999999999995, 351.9999999999999]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.0,1213.0000000000002,-1213.0000000000002,0.0,,,,DWT,uc1.c2693406,0.0,,0.0,34.0,30.0,0.0,34.0,,2.2737367544323206e-13,298.95652173913044,10248.0,298.9565217391304,,0.0,298.95652173913044,,,303.0000000000001,0.0,34.0,0.0,2.2737367544323206e-13,,2.2737367544323206e-13,1.2111035896766407e-13,1.3848083422029216e-26,0.9584709511519752,0.9467853814026403,0.001736122584700914,0.2454834252471647,0.0003964293333428205,0.9779573929917555,0.9999999999942355,0.999999999920368,0.999999999920368,0.9999999999201977,,9.190827001091239e-12,0.999999999981732,0.0,,,,,1.0,,0.0,0.8888888888888888,0.47368421052631576,1.7844812569560491e-13,1.7844812569560491e-13,0.0,2.236257309863604,0.9961276662488716,135,1.5388782217137975,0.7556274374317223,167,0,0.5258980785115469,0.9999999964157804,132,0,0.39135371283896264,0.7275064866528658,173,21.250490190424628,0.9777248530498693,151.75,149.52412588471233,0.9093288835479955,9,db,369.6608187134503,331.5,260.8172619852343,342,0.572245910395336,0.8528686184850767,0.34356727717774177,2,7.25
db28,1,symmetric,3.1450671484599974e-26,316.65064693364553,20817452.418401007,0.5804597701149425,570.3561761687804,294,raw,1.3003657108017756e-13,-2.915131469549699e-10,7.320840109847927,72805.85509146393,0.7508494087642132,4.508657958893793e-06,1.0,631.0,,,,[],[],16,800.0,304.00000000000006,1198.9999999999995,"[5, 20, 39, 69, 86, 104, 118, 147, 173, 194, 212, 226, 243, 259, 278, 292]","[304.00000000000006, 825.9999999999997, 986.9999999999998, 1014.0000000000003, 860.9999999999998, 947.0000000000002, 446.99999999999994, 635.0, 919.0, 1198.9999999999995, 865.0, 1051.0, 368.00000000000017, 1196.0000000000002, 829.0000000000002, 351.99999999999994]","[0, 0, 31, 50, 82, 82, 116, 128, 128, 50, 202, 202, 242, 229, 262, 291]","[7, 31, 50, 128, 95, 128, 128, 160, 189, 229, 214, 229, 246, 293, 293, 293]",129678948.0,1213.0000000000002,-1213.0000000000002,0.0,,,,DWT,uc1.c2693406,0.0,,0.0,34.0,30.0,0.0,34.0,,2.2737367544323206e-13,298.95652173913044,10248.0,298.95652173913044,,0.0,298.95652173913044,,,303.00000000000006,0.0,34.0,4.547473508864641e-13,2.2737367544323206e-13,,0.0,1.0384959264456651e-13,9.708660842431305e-27,0.9636808991384487,0.9414015969125421,0.001647392892211608,0.2525604354235495,0.000297959277064197,0.9779573929918041,0.9999999999942353,0.999999999920368,0.999999999920368,0.9999999999201991,,0.0,0.999999999981732,1.439555665849689e-13,,,,,1.0,,0.0,0.8888888888888888,0.47368421052631576,1.7844812569560491e-13,1.7844812569560491e-13,0.0,2.2362573098590808,0.9961276662468568,172,1.5420593494624444,0.7571894501855165,159,0,0.5258980785109008,0.9999999964145517,172,0,0.39219320957946546,0.7290670680507252,165,6.27162924074226,0.9934259651564546,167.0,166.82082848111796,0.9091867771274935,10,db,369.6608187134503,331.5,260.8172619852343,342,0.572245910395336,0.8528686184850767,0.34356727717774177,2,8.0
