signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
raw,gaus4,3717994239.371071,0.6485958189307683,574.5837744980233,-33.59241596889022,713,127,49973.847997714925,,False,14.918891749524889,563265.5772497357,0.015472428579196604,3.043155422280561e-07,0.1699045920192746,7654.805877135041,,,,[],[],10,76777.44031597511,11418.056776817686,169641.69306175126,"[49, 118, 212, 256, 321, 429, 481, 532, 599, 678]","[169641.69306175126, 17492.244577821235, 75825.18916363992, 11418.056776817686, 150211.78971142927, 84062.14234235545, 33496.02412520796, 24751.509899518944, 44258.066450742335, 156617.68705046712]","[0, 110, 158, 248, 158, 386, 469, 522, 550, 158]","[158, 158, 276, 276, 550, 550, 550, 550, 609, 712]",3351396158288.522,174769.44798231943,-174769.44798231943,0.0,,,,CWT,inu.32000013025061,3351000699480.522,,0.0,-79.5,88.0,0.0,-75.0,,173341.44798231943,76089.72603026082,700378.4031597511,76089.72603026083,,0.0,76089.72603026082,,,11415.056776817686,0.0,-75.0,168213.69306175126,173341.44798231943,,6934.805877135041,0.2116961426321961,0.6481661962463662,0.6210483385641796,0.09660368277560527,0.669432918395575,0.5045350624998255,0.08281450276104683,,0.15621792089357509,0.8982271786722087,0.8982271786722087,0.8982271786722087,,0.06797630885695194,0.8262117859695055,0.572012118361326,,,,,0.4,,0.09484274909685922,0.6,0.5121951219512195,0.1318706242113108,0.1318706242113108,0.46153846153846156,2.0520667724027204,0.7654839564762974,3,1.3139475646699499,0.6915513498262896,4,0,0.47495837507908206,0.9197621724773548,3,0,0.4048995491249707,0.7085742109686987,6,1.4142135623730951,0.8585786437626906,4.0,3.6923076923076925,0.7292893218813452,2,gaus,0.8392857142857143,1.0,0.11249999999999998,1,1.75,0.2106556788034264,0.6678369146860005,0.6210483385641797,0.10399789558450669,0.6621972910110826,0.4406358615605692,0.09125360517507485,,0.1709348566468056,0.9259998793525134,0.9259998793525134,0.9259998793525138,,0.06831259902734466,0.8262117859695055,0.5592728727929215,,,,,0.8285714285714286,,0.09498263888476777,0.3707865168539327,0.4077669902912622,0.13986395922522898,0.13986395922522898,0.4242424242424242,2.2091482874302404,0.769393575728517,5,1.3040566726256624,0.7036180056031611,7,1.4142135623730951,0.9292893218813453,6.0,5.833333333333333,0.8146446609406726,1,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,1.25
raw,gaus8,2511385580.1202908,0.668198032048238,572.7419325516578,-30.701791616245767,713,127,38480.2544657069,,False,15.227614393210295,412339.8927374153,0.016765982869501334,1.875812854428604e-07,0.276648220861525,5972.427378928337,,,,[],[],11,76214.11893642296,7851.9139989508985,149346.57214455376,"[18, 60, 121, 212, 254, 321, 429, 481, 531, 588, 695]","[129899.76597829773, 7851.9139989508985, 40783.83493903093, 116361.18966734021, 11629.003567442265, 149346.57214455376, 106105.72940253635, 44500.82983969679, 28508.21647147263, 89770.89479656982, 113597.35749476106]","[0, 54, 109, 109, 249, 109, 386, 469, 523, 551, 551]","[551, 109, 158, 277, 277, 551, 551, 551, 551, 617, 712]",1725079563314.0137,131352.32008824663,-131352.32008824663,0.0,,,,CWT,inu.32000013025061,1724684104506.0137,,0.0,-79.0,87.0,0.0,-74.5,,129924.32008824663,75526.40465070868,770959.3083006525,75526.40465070866,,0.0,75526.40465070868,,,7848.9139989508985,0.0,-74.5,147918.57214455376,129924.32008824663,,5252.427378928337,0.07650231191210222,0.8642808082058836,0.8977996041173083,0.029994527175943614,0.9149377593361001,0.7828811846726833,0.02931111961250906,,0.05999785834761396,0.8759137581606192,0.8759137581606192,0.875913758160618,,0.049574787929461045,0.931975070594457,0.45074034028843724,,,,,0.30000000000000004,,0.025151496436406705,0.6181818181818182,0.524390243902439,0.03798131807178631,0.03798131807178631,0.4725274725274725,1.8789978154158566,0.7009239179243302,6,1.696268269592304,0.8927727734696339,2,0,0.43830307134525265,0.8487787693750709,4,0,0.5136724735760759,0.8989268287581328,2,1.9148542155126762,0.8085145784487324,3.5,2.823529411764706,0.7292572892243663,3,gaus,0.8392857142857143,1.0,0.11249999999999998,1,2.5,0.07856481762154832,0.8718687488191916,0.8977996041173085,0.03793392957897394,0.9050485702558487,0.6724185860813401,0.038242511243109636,,0.07639302893626589,0.9118412132466999,0.9118412132466999,0.9118412132466995,,0.049917717684949084,0.931975070594457,0.4508125149920099,,,,,0.8,,0.02582805253162579,0.38202247191011246,0.41747572815533984,0.046839142526020644,0.046839142526020644,0.4343434343434343,2.0783958423900706,0.7238556225738538,8,1.6608413284582402,0.8961250593505034,3,3.5355339059327378,0.8232233047033631,5.5,4.363636363636364,0.7741116523516816,2,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,2.0
raw,gaus7,2654912537.419007,0.6545593091186183,567.3010605137316,-31.23276229675045,713,127,38954.03545706409,,False,15.183869185034728,445128.6476589749,0.01487069341801094,1.793788833609294e-07,-0.02296539282380635,2976.871369715572,,,,[],[],9,79346.78220963538,5957.776081972864,189869.3010188993,"[75, 127, 245, 285, 355, 411, 462, 519, 604]","[189869.3010188993, 19889.047954899874, 111923.16873129547, 5957.776081972864, 152484.2860575312, 23322.728862854758, 86279.97181843311, 25686.265539791013, 98708.49382104076]","[2, 116, 170, 280, 170, 398, 398, 500, 560]","[170, 170, 307, 307, 644, 422, 560, 560, 644]",1929626805151.196,197298.396797762,-197298.396797762,0.0,,,,CWT,inu.32000013025061,1929231346343.196,,0.0,-93.5,89.0,0.0,-89.0,,195870.396797762,78659.06792392109,646725.0398867184,78659.0679239211,,0.0,78659.06792392109,,,5954.776081972864,0.0,-93.5,188441.3010188993,195870.396797762,,2256.871369715572,0.08207517882840352,0.8245833212341944,0.8585846583655157,0.03791773355952153,0.7441217150760726,0.0016046960987870507,0.040934782763021385,,0.008891079905241926,1.0,1.0,1.0,,0.016809992937277782,0.7458138947891148,0.6928804784530378,,,,,0.5,,0.03391679684342691,0.09090909090909094,0.060975609756097546,0.18058935515766458,0.18058935515766458,0.15384615384615385,1.9655713483818165,0.7332185057185272,4,1.2822882199267087,0.6748885368035311,6,0,0.4046587005539123,0.7836260713822742,5,0,0.3699745837036452,0.6474555214813791,8,1.707825127659933,0.8292174872340067,5.75,5.393258426966292,0.6271087436170033,5,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.0,0.08400977606606726,0.8343907134199499,0.8585846583655159,0.04579228527297962,0.7360788069503352,0.02183868321773652,0.04975922407217812,,0.026177636070235433,0.9905783869407329,0.9905783869407329,0.9905783869407333,,0.017164744794065934,0.7458138947891148,0.6673724305851493,,,,,0.8571428571428572,,0.034525854634019124,0.056179775280899014,0.04854368932038833,0.1881341105603314,0.1881341105603314,0.14141414141414144,2.0886782632931373,0.7274367441449,7,1.301096518387138,0.7020208220870531,9,1.4142135623730951,0.9292893218813453,8.0,7.875,0.7646446609406726,3,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,2.75
raw,gaus1,20082798886.49313,0.5951452772470762,561.5406034170554,-42.26191302160054,713,127,116992.02529204992,,False,14.226097501394682,3150519.706792478,0.023451655137070867,2.9236995468806065e-07,0.05363034628388244,0.0,,,,[],[],4,54100.92717546179,42690.61353764371,73914.10258090644,"[130, 273, 355, 463]","[53965.86506037062, 42690.61353764371, 73914.10258090644, 45833.12752292637]","[2, 2, 2, 398]","[170, 307, 558, 558]",24474165544820.66,576217.5541298637,-576217.5541298637,0.0,,,,CWT,inu.32000013025061,24473770086012.66,,0.0,-96.0,94.0,0.0,-96.0,,574789.5541298637,53413.212889747505,149007.70870184715,53413.212889747505,,0.0,53413.212889747505,,,42687.61353764371,0.0,-96.0,72486.10258090644,574789.5541298637,,720.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.20133677553836415,0.9999999999999999,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.5999999999999999,0.596849160482246,8,1.2805347102153455,0.6739656369554452,7,0,0.35714285714285726,0.6916111124807305,9,0,0.45733382507690923,0.800334193884591,4,2.160246899469287,0.7839753100530713,7.0,6.359621451104101,0.5419876550265357,8,gaus,0.8392857142857143,1.0,0.11249999999999998,1,6.25,0.9808663817481211,0.05590912024305772,0.0,1.0,0.0,0.18815839044166016,1.0,,1.0,0.35604249861919224,0.35604249861919224,0.35604249861919224,,0.0003608171912242719,0.0,0.04768938643026521,,,,,1.0,,0.9931696118716213,0.0,0.0,1.0,1.0,0.0,1.9410481565038282,0.6760207045815549,11,1.3030687428469352,0.703084957312258,8,2.1213203435596424,0.8939339828220179,9.5,9.263157894736842,0.709466991411009,4,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,3.5
raw,mexh,11884501740.649467,0.6064979956046869,902.9584977068656,-39.55990670084204,713,127,112165.531785227,,False,15.081182814586313,756332.9141995618,0.010978066083540943,3.0151280199323025e-08,0.07674314689569926,92866.05683714543,,,,[],[],9,71861.9819092391,7943.8827661307005,241266.48447638235,"[65, 211, 252, 320, 419, 454, 511, 598, 654]","[238417.30159313176, 42026.0527812403, 10080.040874670245, 51528.82757336834, 9679.553386208452, 21810.15564544042, 7943.8827661307005, 24005.53808657927, 241266.48447638235]","[0, 163, 249, 300, 385, 385, 385, 385, 385]","[385, 385, 300, 385, 421, 467, 521, 609, 712]",13244131583678.04,258698.8917088423,-258698.8917088423,0.0,,,,CWT,inu.32000013025061,13243736124870.04,,0.0,-89.0,89.0,0.0,-75.5,,257270.8917088423,71174.26762352481,579361.8371831519,71174.26762352481,,0.0,71174.26762352481,,,7940.8827661307005,0.0,-93.5,239838.48447638235,257270.8917088423,,92146.05683714543,0.943228186701061,0.2020127751946298,0.7665325087809995,0.5474243897944167,0.14218533886583706,0.26160602525968585,0.15125716535802286,,0.06247931831193119,0.7035235966353836,0.7035235966353836,0.7035235966353831,,1.0,0.6448722368922264,0.9999999999999999,,,,,0.5,,0.5187682788272108,0.2545454545454545,0.060975609756097546,0.31336759599131814,0.31336759599131814,0.45054945054945056,2.6807443252617156,1.0,1,1.2831739822082227,0.6753547274780121,5,0,0.516392595055083,1.0,1,0,0.43060662713637904,0.7535615974886632,5,2.309401076758503,0.7690598923241497,3.0,1.6666666666666665,0.7345299461620749,1,mexh,0.14285714285714285,,,2,1.25,0.9253975954168893,0.2466275388986972,0.7665325087809998,0.5511286780565829,0.1406485155288003,0.23834544099649219,0.15906652096414406,,0.07883120819129413,0.8024534689653906,0.8024534689653906,0.8024534689653906,,0.9999999999999999,0.6448722368922264,0.942047163024609,,,,,0.8571428571428572,,0.5156436764452985,0.1573033707865169,0.04854368932038833,0.31968979057397134,0.31968979057397134,0.41414141414141414,2.8712850706330117,1.0,1,1.299650586378851,0.7012406536961655,10,6.363961030678928,0.6818019484660536,5.5,1.8181818181818181,0.7034009742330267,5,7.0,7.0,2.8284271247461903,2,0.45161290322580644,0.46397281198980284,0.5446791241449945,1,4.0
smoothed,gaus4,3604808465.975031,0.6473699903921547,543.7442562194802,-34.3185151281352,713,127,48747.71433202522,,False,14.86863500026936,543286.6865648273,0.01526502943586608,1.2075739538463976e-06,0.2065340853380371,4660.972858786314,,,,[],[],10,77077.3993485358,10479.69525702412,181268.80106602024,"[48, 120, 212, 257, 321, 431, 480, 532, 589, 677]","[173317.623053085, 18496.614612083948, 63073.969356281596, 10479.69525702412, 144555.59921634637, 80497.70772972435, 29801.845780000738, 21688.994500548986, 47593.142914242526, 181268.80106602024]","[0, 110, 158, 248, 158, 386, 469, 522, 551, 158]","[158, 158, 276, 276, 551, 551, 551, 551, 609, 712]",3321680291413.413,176939.14197259344,-176939.14197259344,0.0,,,,CWT,inu.32000013025061,3321338702856.893,,0.0,-65.0,60.0,0.0,-56.0,,175631.34197259345,76624.45363425008,739067.793485358,76624.4536342501,,0.0,76624.45363425008,,,10477.29525702412,0.0,-51.5,179961.00106602025,175631.34197259345,,3973.9728587863137,0.19656425897254348,0.6480747632334938,0.592534396212614,0.09797398906874899,0.6443341604631925,0.5201730091292086,0.08426892914834665,,0.34574011499217683,0.939439862064451,0.939439862064451,0.9394398620644514,,0.03683533588063689,0.919404824296979,0.6220523573073931,,,,,0.16666666666666669,,0.09372134504244087,0.15625,0.6956521739130435,0.14719845512226037,0.14719845512226037,0.5476190476190476,2.1054849172500685,0.7822592266395773,4,1.2925787677688398,0.6803046146151789,4,0,0.47833274015401855,0.7965243066960165,3,0,0.39770335803259266,0.6959808765570371,6,1.2583057392117916,0.8741694260788209,4.25,4.000000000000001,0.7245847130394104,1,gaus,1.0,1.0,0.0,1,1.0,0.19656425897254345,0.6165859304175706,0.5759961882164822,0.09780077356932994,0.6470105349569023,0.5201730091292086,0.0842362253687392,,0.14607390924218963,0.939439862064451,0.939439862064451,0.9394398620644513,,0.03593928225871813,0.8841866304802732,0.622052357307393,,,,,0.028571428571428525,,0.0937213450424409,0.6966292134831462,0.8640776699029128,0.14477024803423472,0.14477024803423472,0.8080808080808081,2.0942913767721087,0.7293916574819216,6,1.2663872246171515,0.6832930439383019,12,4.242640687119285,0.7878679656440357,9.0,8.0,0.6689339828220179,6,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,5.0
raw,gaus6,2907723334.929842,0.6560612251659286,567.0517431560634,-31.860315621508125,713,127,42003.95814692582,,False,15.106612679707872,466155.25156256533,0.014733596413582267,2.310676235007065e-07,0.22985354922154594,5562.025681248576,,,,[],[],12,67470.00103481238,6498.4808954127075,158509.0141956716,"[21, 60, 121, 212, 254, 321, 429, 481, 531, 589, 629, 678]","[139524.52071074318, 6498.4808954127075, 28856.67166600605, 98295.95383381215, 11269.642244711229, 158509.0141956716, 99670.99862306839, 39119.683740160006, 24795.514669676406, 63915.24898585444, 13606.422342897897, 125577.86050973438]","[0, 54, 109, 158, 248, 158, 386, 469, 523, 551, 617, 158]","[158, 158, 158, 276, 276, 551, 551, 551, 551, 617, 633, 712]",2250665409805.8364,143409.78318371912,-143409.78318371912,0.0,,,,CWT,inu.32000013025061,2250269950997.8364,,0.0,-74.0,86.0,0.0,-65.0,,141981.78318371912,66782.28674909809,742244.0124177485,66782.28674909809,,0.0,66782.28674909809,,,6495.4808954127075,0.0,-74.0,157081.0141956716,141981.78318371912,,4842.025681248576,0.11795001037645308,0.7776649303544401,0.7893288520333865,0.05187380259613025,0.762932226832642,0.660858769558903,0.048388745609713006,,0.023480134300648263,0.5295552018837858,0.5295552018837858,0.5295552018837855,,0.04508589590154828,0.8889460954702298,0.5054897376220256,,,,,0.2,,0.047674009049145295,0.8,0.5365853658536586,0.06405551732786796,0.06405551732786796,0.6813186813186813,1.6027860707873254,0.597888450488783,7,1.5114571854408616,0.79550378181098,3,0,0.3889540399873594,0.7532138216386898,7,0,0.4584281910516669,0.8022493343404169,3,2.309401076758503,0.7690598923241497,5.0,4.2,0.6345299461620748,4,gaus,0.8392857142857143,1.0,0.11249999999999998,1,3.25,0.11906120828524733,0.7900954884975023,0.7893288520333867,0.05963412521382508,0.7546860035572577,0.5708088075549036,0.057144602367497147,,0.04051223356076775,0.692064279061813,0.692064279061813,0.692064279061813,,0.04543044532644954,0.8889460954702298,0.4997780642611583,,,,,0.7714285714285715,,0.048177127686809644,0.4943820224719102,0.4271844660194175,0.07267326257768167,0.07267326257768167,0.6262626262626262,1.9312272953003449,0.6726003332279998,12,1.4873129095995448,0.8024959076764532,5,4.949747468305833,0.7525126265847084,8.5,7.0588235294117645,0.6637563132923542,7,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,5.75
smoothed,gaus6,2817116973.952586,0.6446974633079701,530.1620057603212,-32.62828843308182,713,127,41556.71914166721,,False,15.04954715047834,449263.1907605984,0.014756637320243333,9.599650350596877e-07,0.28154747410159714,4932.8758013508605,,,,[],[],11,73238.32755261373,7073.055956454674,152961.75089744493,"[20, 121, 212, 256, 321, 431, 481, 531, 588, 628, 678]","[143489.84826492443, 30636.70668106216, 85544.44389142038, 9934.296054270055, 152270.06647193938, 95798.27274286289, 34702.520282054844, 21270.952046524264, 71939.68978979293, 7073.055956454674, 152961.75089744493]","[0, 110, 158, 249, 158, 386, 469, 522, 551, 609, 158]","[158, 158, 276, 276, 551, 551, 551, 551, 609, 633, 712]",2251965968529.0415,147440.07014548712,-147440.07014548712,0.0,,,,CWT,inu.32000013025061,2251624379972.5215,,0.0,-64.5,59.0,0.0,-46.5,,146132.27014548713,72785.38183832802,773915.403078751,72785.381838328,,0.0,72785.38183832802,,,7070.655956454674,0.0,-51.0,151653.95089744494,146132.27014548713,,4245.8758013508605,0.11392128531909947,0.7734704887050503,0.7623976893575126,0.054770098239134146,0.6109732561345458,0.6830568066141955,0.0512313220727689,,0.13197908210997517,0.8429476327833236,0.8429476327833236,0.8429476327833233,,0.039882405828149864,0.9753906111258326,0.47077497383684475,,,,,0.0,,0.04823472100890846,0.1875,0.717391304347826,0.08293412025647035,0.08293412025647035,1.0,1.889050728575222,0.7018465674635244,6,1.4449471265456877,0.7604984876556251,3,0,0.4475617312228892,0.7452841249193879,5,0,0.43568870663461534,0.7624552366105768,4,1.2909944487358056,0.8709005551264195,4.5,4.2105263157894735,0.7104502775632098,2,gaus,1.0,1.0,0.0,1,1.75,0.11392128531909945,0.7358888942831909,0.7381730403144849,0.05467326611042429,0.6139006704063478,0.6830568066141955,0.051211439799634564,,0.055760670012029785,0.8429476327833236,0.8429476327833236,0.8429476327833233,,0.03891222941089252,0.9364046864058471,0.47077497383684463,,,,,0.0,,0.04823472100890848,0.7078651685393259,0.8737864077669903,0.08156602696718501,0.08156602696718501,1.0,1.9133359442573517,0.6663692030535763,13,1.41140044210617,0.7615365075987269,6,4.949747468305833,0.7525126265847084,9.5,8.210526315789474,0.6387563132923542,8,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,6.5
smoothed,mexh,11403249313.837473,0.6025223354794536,877.1460511208509,-40.16136909686888,713,127,111099.6576087197,,False,15.092067707299668,698376.7133752839,0.010471305191105543,6.704358914967597e-07,0.08745787093445653,90608.23067018011,,,,[],[],10,64777.85612294474,8451.97929216089,251990.42935804627,"[64, 117, 184, 233, 321, 434, 482, 542, 600, 653]","[231178.75286656342, 8674.360638729151, 33578.57313535253, 13857.78581515685, 48242.54670835697, 15610.212191716295, 9355.955905922208, 8451.97929216089, 26837.96531744275, 251990.42935804627]","[0, 111, 164, 223, 276, 387, 387, 387, 0, 0]","[387, 387, 387, 276, 387, 441, 495, 550, 609, 712]",12759878099550.553,251788.75735819314,-251788.75735819314,0.0,,,,CWT,inu.32000013025061,12759536510994.033,,0.0,-51.5,60.0,0.0,-56.0,,250480.95735819315,64324.91040865902,616072.3612294474,64324.910408659016,,0.0,64324.91040865902,,,8449.57929216089,0.0,-56.0,250682.62935804628,250480.95735819315,,89921.23067018011,0.9131479680488876,0.2146010082762732,0.8023213860228964,0.5257086928766931,0.08450510063413263,0.2616113535116227,0.1387638543080451,,0.2185042614727155,0.6302999428169076,0.6302999428169076,0.6302999428169074,,1.0,0.721801713737922,1.0,,,,,0.16666666666666669,,0.49505443563362783,1.0,0.5,0.31025988213623756,0.31025988213623756,0.5476190476190476,2.691543730707777,1.0,1,1.260672158211745,0.663511662216708,6,0,0.5829332655609414,0.9707061135967129,2,0,0.4200941948112217,0.7351648409196379,5,2.3804761428476167,0.7619523857152384,3.5,2.142857142857143,0.7059761928576191,3,mexh,0.5,,,2,2.75,0.9131479680488874,0.20417391613334784,0.7762901598488645,0.5247792533933046,0.09139417156929808,0.2616113535116227,0.13871000168935596,,0.09231723562109458,0.6302999428169076,0.6302999428169076,0.6302999428169074,,0.9756740748931305,0.6998818120129839,1.0,,,,,0.028571428571428525,,0.49505443563362794,1.0,0.7766990291262137,0.30514179007265246,0.30514179007265246,0.8080808080808081,2.6530416324778314,0.923991023953931,2,1.2436696574238701,0.6710355326995393,13,7.7781745930520225,0.6110912703473989,7.5,3.466666666666667,0.6180456351736994,9,7.0,7.0,2.8284271247461903,2,0.45161290322580644,0.46397281198980284,0.5446791241449945,1,7.0
raw,gaus5,3172386658.339792,0.648021556912679,564.9786141008163,-32.582254605559534,713,127,44159.37208508192,,False,15.046570854139253,527104.1890563993,0.01564971639782036,1.918075238791311e-07,-0.023580781619009894,2339.413881762665,,,,[],[],10,67624.6875916637,6344.416061559428,188174.74392280693,"[97, 189, 245, 285, 355, 411, 462, 514, 604, 658]","[188174.74392280693, 21033.985999588036, 93876.24968646032, 6344.416061559428, 147182.94092538796, 21392.33024771096, 80615.27811485046, 18683.884566779503, 86464.43817150561, 12478.608219987676]","[2, 170, 170, 280, 170, 398, 398, 505, 560, 640]","[640, 198, 307, 307, 640, 422, 640, 640, 640, 662]",2633424879527.0776,232601.97383506357,-232601.97383506357,0.0,,,,CWT,inu.32000013025061,2633029420719.0776,,0.0,-88.5,88.0,0.0,-88.5,,231173.97383506357,66936.9733059494,608850.8759166369,66936.97330594939,,0.0,66936.9733059494,,,6341.416061559428,0.0,-93.0,186746.74392280693,231173.97383506357,,1619.413881762665,0.14330314873786315,0.7236898909294853,0.7355049698138226,0.06648417386719613,0.6622406639004152,0.0,0.06999523602097682,,0.01932322615846692,0.5356824079792787,0.5356824079792787,0.5356824079792777,,0.009837609898945596,0.6890606415416083,0.6827547958849178,,,,,0.4,,0.06407609643788154,0.2727272727272727,0.07317073170731707,0.25693315109834447,0.25693315109834447,0.16483516483516486,1.5411058007603973,0.5748798146238516,9,1.1710938109881162,0.616365163677956,9,0,0.3211927903804357,0.6219934086122487,10,0,0.3430311547528228,0.6003045208174398,9,0.5,0.95,9.25,9.230769230769232,0.5125,9,gaus,0.8392857142857143,1.0,0.11249999999999998,1,7.0,0.1438324412770514,0.7391381460418812,0.7355049698138229,0.07412491198766029,0.6550827746613762,0.020502430242838765,0.07855228960760607,,0.03642782867692221,0.6959522112245458,0.6959522112245458,0.6959522112245454,,0.010194877511397776,0.6890606415416084,0.6583164476370255,,,,,0.8285714285714286,,0.06445290872668478,0.16853932584269676,0.058252427184466105,0.26377496802869704,0.26377496802869704,0.15151515151515144,1.8382185406593226,0.6402076058069928,16,1.1931025587137143,0.6437515028790106,16,0.0,1.0,16.0,16.0,0.6,10,10.3125,10.5,6.096105314050931,16,0.6653225806451613,1.0,0.2342741935483871,2,8.0
