wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antireflect,0.7836317994448778,63.389706148879824,44710712.57489111,0.5180878552971576,162.71263067206095,713,smoothed,0.6823762683611978,,8.256078509804762,186857.4576464457,0.993181824657065,6.499668093896392e-05,0.999997861589675,687.2351505506809,,,,[],[],13,941.2295375221657,147.63820969533901,1311.1587361782153,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[147.63820969533901, 1084.555104109329, 794.6524771200295, 746.9440486964924, 1132.428193931422, 1079.5775820997364, 1248.972381238829, 999.8535670238022, 1011.4741103239232, 887.3428013920776, 1311.1587361782153, 664.1376334521301, 1127.2491425268292]","[1, 1, 77, 107, 107, 219, 107, 386, 386, 522, 107, 660, 605]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 712]",341907399.8000599,1309.2830187296263,-1309.2830187296263,0.0,,,,DWT,inu.32000013025061,318843.28005993366,,0.0,-9.5,57.0,0.0,-5,,1.4830187296263375,488.28382323645144,19470.216012211844,488.28382323645144,,0.0,488.28382323645144,,,145.23820969533904,0.0,-32.0,3.358736178215395,1.4830187296263375,,0.2351505506809417,1.0,0.9999999999999999,0.0,0.5339322262773513,0.672348849489698,0.0960858088173813,0.6737134400255337,0.040943952509845116,0.8965219102843182,0.8965219102843182,0.8965219102717575,,1.0,0.10347808971554362,0.9918947251374884,,,,,,1.0,0.8,0.25,0.9999999999998468,0.9999999999998468,2.871839312431527,0.9398162950128204,5,1.8110602374206906,0.9496926197540153,4,0,0.7396568748502471,0.9451367121186142,6,0,0.5680114749442807,1.0,1,2.160246899469287,0.9977355902521287,4.0,2.4742268041237114,0.9967713590673641,1,dmey,13.444444444444445,13.0,8.442616761275959,9,0.020288755140582804,0.029294227571580816,0.9770096031301176,1,1.0,1
dmey,1,antisymmetric,0.7721614273260308,63.45374563038788,44649196.23295848,0.5193798449612403,156.64967556898367,713,smoothed,0.679236317302012,,8.256504435069372,185006.4164514716,0.9928710091303811,6.500155211085348e-05,0.9999979059525703,687.2351505506809,,,,[],[],13,941.207467285451,147.5991157105476,1311.1587361782153,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[147.5991157105476, 1084.512967917092, 794.6524771200295, 746.9440486964924, 1132.428193931422, 1079.5775820997364, 1248.972381238829, 999.8535670238022, 1011.4741103239232, 887.3428013920776, 1311.1587361782153, 664.137632971278, 1127.0434601074155]","[0, 0, 77, 107, 107, 219, 107, 386, 386, 522, 107, 660, 605]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 712]",341903628.29626596,1309.2830187296263,-1309.2830187296263,0.0,,,,DWT,inu.32000013025061,315071.7762659788,,0.0,-9.5,57.0,0.0,-5,,1.4830187296263375,488.2617529997367,19470.50292528914,488.26175299973653,,0.0,488.2617529997367,,,145.19911571054763,0.0,-41.0,3.358736178215395,1.4830187296263375,,0.2351505506809417,0.9953985048941886,0.9853625489330925,0.00024429300828654466,0.5353943496951812,0.6613003844958969,0.11342673881105127,0.6634895981163339,0.0,0.8871967952580954,0.8871967952580954,0.8871967952443242,,1.0,0.11280320474191141,0.9918947251374884,,,,,,0.9881712928268525,0.8,0.0,0.9999999999998468,0.9999999999998468,2.82491172708122,0.9244591302832652,6,1.7990975584995772,0.9434195717078341,6,0,0.7128716340388718,0.9109104170694481,7,0,0.5649452025648617,0.9946017421924094,2,2.217355782608345,0.9976757276911862,5.25,4.097560975609756,0.9960862915185491,2,dmey,13.444444444444445,13.0,8.442616761275959,9,0.020288755140582804,0.029294227571580816,0.9770096031301176,1,1.75,2
rbio3.1,1,antireflect,3.207535436710103e-26,317.2691120291373,42198597.95789572,0.5782122905027933,517.940535636554,713,smoothed,1.391836622579726e-13,-6.067148783373005e-10,8.391846829652556,93126.13044215321,0.7129020567916063,6.528647327999118e-05,0.9999999999999998,686.9999999999999,,,,[],[],13,939.107692307692,148.0,1307.7999999999993,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[148.0, 1083.3999999999999, 792.9999999999998, 744.5999999999998, 1129.9999999999998, 1077.1999999999998, 1246.7999999999997, 996.7999999999995, 1007.9999999999998, 884.7999999999998, 1307.7999999999993, 662.9999999999998, 1124.9999999999995]","[1, 1, 77, 111, 111, 223, 223, 386, 386, 522, 223, 660, 609]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 710]",341588556.51999986,1307.7999999999993,-1307.7999999999993,0.0,,,,DWT,inu.32000013025061,1.1920928955078125e-07,,0.0,-5.0,57.0,0.0,-5,,6.821210263296962e-13,486.1619780219777,19497.800000000003,486.16197802197763,,0.0,486.1619780219777,,,145.60000000000002,0.0,-5.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,1.4281048781841418e-13,3.4825194265146614e-26,0.968480105459717,1.0,0.22116775623345714,0.9030687520982,0.1560079054982093,0.4198545478763679,3.947272469160523e-09,3.947272469160523e-09,3.825239665150453e-09,,4.834640505514667e-13,0.9999999960526794,2.014425105223033e-13,,,,,,3.738805143654689e-13,1.0,1.0,4.599544245145571e-13,4.599544245145571e-13,0.8259563659058989,0.2702961994731881,12,1.6153026044311654,0.847040275304424,18,0,0.2849878796375675,0.3641587291524056,10,0,0.4641035027556753,0.8170671249224353,19,4.425306015783918,0.9953613144488638,14.75,13.721163490471415,0.9899500492579749,3,rbio,532.4444444444445,592.0,256.85731757541936,135,0.8035017738320066,0.8912446137544384,0.17017537419126383,6,3.75,3
rbio3.1,1,reflect,3.207535436710103e-26,317.2691120291373,42198597.95789572,0.5782122905027933,517.940535636554,713,smoothed,1.391836622579726e-13,-6.067148783373005e-10,8.391846829652556,91994.37342044665,0.7094417658326164,6.528647327999118e-05,0.9999999999999998,686.9999999999999,,,,[],[],13,939.107692307692,148.0,1307.7999999999993,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[148.0, 1083.3999999999999, 792.9999999999998, 744.5999999999998, 1129.9999999999998, 1077.1999999999998, 1246.7999999999997, 996.7999999999995, 1007.9999999999998, 884.7999999999998, 1307.7999999999993, 662.9999999999998, 1124.9999999999995]","[1, 1, 77, 111, 111, 223, 223, 386, 386, 522, 223, 660, 609]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 710]",341588556.51999986,1307.7999999999993,-1307.7999999999993,0.0,,,,DWT,inu.32000013025061,1.1920928955078125e-07,,0.0,-5.0,57.0,0.0,-5,,6.821210263296962e-13,486.1619780219777,19497.800000000003,486.16197802197763,,0.0,486.1619780219777,,,145.60000000000002,0.0,-5.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,1.4281048781841418e-13,3.4825194265146614e-26,0.968480105459717,1.0,0.22116775623345714,0.9030687520982,0.14975688045296895,0.4198545478763679,3.947272469160523e-09,3.947272469160523e-09,3.825239665150453e-09,,4.834640505514667e-13,0.9999999960526794,2.014425105223033e-13,,,,,,3.738805143654689e-13,1.0,1.0,4.599544245145571e-13,4.599544245145571e-13,0.8259563659058989,0.2702961994731881,17,1.6128021944130693,0.8457290980771405,19,0,0.2849878796375675,0.3641587291524056,16,0,0.46321049917778384,0.8154949672860441,20,1.8257418583505538,0.9980862244671378,18.0,17.860722308622776,0.989609149969418,4,rbio,532.4444444444445,592.0,256.85731757541936,135,0.8035017738320066,0.8912446137544384,0.17017537419126383,6,4.5,4
rbio3.1,1,periodic,3.207535436710103e-26,317.2691120291373,42192453.039217286,0.5782122905027933,517.940535636554,713,smoothed,1.391836622579726e-13,-6.067148783373005e-10,8.389907258052062,92218.77850241194,0.7117496815787497,6.528647327999118e-05,0.9999999999999998,686.9999999999999,,,,[],[],13,939.107692307692,148.0,1307.7999999999993,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[148.0, 1083.3999999999999, 792.9999999999998, 744.5999999999998, 1129.9999999999998, 1077.1999999999998, 1246.7999999999997, 996.7999999999995, 1007.9999999999998, 884.7999999999998, 1307.7999999999993, 662.9999999999998, 1124.9999999999995]","[1, 1, 77, 111, 111, 223, 223, 386, 386, 522, 223, 660, 609]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 710]",341588556.51999986,1307.7999999999993,-1307.7999999999993,0.0,,,,DWT,inu.32000013025061,1.1920928955078125e-07,,0.0,-5.0,57.0,0.0,-5,,6.821210263296962e-13,486.1619780219777,19497.800000000003,486.16197802197763,,0.0,486.1619780219777,,,145.60000000000002,0.0,-5.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,1.4281048781841418e-13,3.4825194265146614e-26,0.968480105459717,0.9933418059615747,0.22006411585473032,0.9030687520982,0.1509963353542772,0.4198545478763679,3.947272469160523e-09,3.947272469160523e-09,3.825239665150453e-09,,4.834640505514667e-13,0.9999999960526794,2.014425105223033e-13,,,,,,3.738805143654689e-13,1.0,1.0,4.599544245145571e-13,4.599544245145571e-13,0.8259563659058989,0.2702961994731881,15,1.6094170591650165,0.8439539843092387,20,0,0.2849878796375675,0.3641587291524056,15,0,0.46227873067552044,0.8138545629221097,22,3.559026084010437,0.9962693646918129,18.0,17.48344370860927,0.9887007200817555,5,rbio,532.4444444444445,592.0,256.85731757541936,135,0.8035017738320066,0.8912446137544384,0.17017537419126383,6,5.25,5
rbio3.1,1,smooth,3.207535436710103e-26,317.2691120291373,42192343.20745799,0.5782122905027933,517.940535636554,713,smoothed,1.391836622579726e-13,-6.067148783373005e-10,8.389484217362245,92348.07913109375,0.712358300567256,6.528647327999118e-05,0.9999999999999998,686.9999999999999,,,,[],[],13,939.107692307692,148.0,1307.7999999999993,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[148.0, 1083.3999999999999, 792.9999999999998, 744.5999999999998, 1129.9999999999998, 1077.1999999999998, 1246.7999999999997, 996.7999999999995, 1007.9999999999998, 884.7999999999998, 1307.7999999999993, 662.9999999999998, 1124.9999999999995]","[1, 1, 77, 111, 111, 223, 223, 386, 386, 522, 223, 660, 609]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 710]",341588556.51999986,1307.7999999999993,-1307.7999999999993,0.0,,,,DWT,inu.32000013025061,1.1920928955078125e-07,,0.0,-5.0,57.0,0.0,-5,,6.821210263296962e-13,486.1619780219777,19497.800000000003,486.16197802197763,,0.0,486.1619780219777,,,145.60000000000002,0.0,-5.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,1.4281048781841418e-13,3.4825194265146614e-26,0.968480105459717,0.9918895847606474,0.22004438983868857,0.9030687520982,0.15171050054411325,0.4198545478763679,3.947272469160523e-09,3.947272469160523e-09,3.825239665150453e-09,,4.834640505514667e-13,0.9999999960526794,2.014425105223033e-13,,,,,,3.738805143654689e-13,1.0,1.0,4.599544245145571e-13,4.599544245145571e-13,0.8259563659058989,0.2702961994731881,16,1.6089667516324664,0.8437178498442186,23,0,0.2849878796375675,0.3641587291524056,12,0,0.46217047610021567,0.813663977731352,23,5.446711546122731,0.9942906587566848,18.5,17.18287937743191,0.987449312606854,6,rbio,532.4444444444445,592.0,256.85731757541936,135,0.8035017738320066,0.8912446137544384,0.17017537419126383,6,6.0,6
rbio3.1,1,symmetric,3.207535436710103e-26,317.2691120291373,42192343.20745799,0.5782122905027933,517.940535636554,713,smoothed,1.391836622579726e-13,-6.067148783373005e-10,8.389484217362245,92348.07913109375,0.712358300567256,6.528647327999118e-05,0.9999999999999998,686.9999999999999,,,,[],[],13,939.107692307692,148.0,1307.7999999999993,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[148.0, 1083.3999999999999, 792.9999999999998, 744.5999999999998, 1129.9999999999998, 1077.1999999999998, 1246.7999999999997, 996.7999999999995, 1007.9999999999998, 884.7999999999998, 1307.7999999999993, 662.9999999999998, 1124.9999999999995]","[1, 1, 77, 111, 111, 223, 223, 386, 386, 522, 223, 660, 609]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 710]",341588556.51999986,1307.7999999999993,-1307.7999999999993,0.0,,,,DWT,inu.32000013025061,1.1920928955078125e-07,,0.0,-5.0,57.0,0.0,-5,,6.821210263296962e-13,486.1619780219777,19497.800000000003,486.16197802197763,,0.0,486.1619780219777,,,145.60000000000002,0.0,-5.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,1.4281048781841418e-13,3.4825194265146614e-26,0.968480105459717,0.9918895847606474,0.22004438983868857,0.9030687520982,0.15171050054411325,0.4198545478763679,3.947272469160523e-09,3.947272469160523e-09,3.825239665150453e-09,,4.834640505514667e-13,0.9999999960526794,2.014425105223033e-13,,,,,,3.738805143654689e-13,1.0,1.0,4.599544245145571e-13,4.599544245145571e-13,0.8259563659058989,0.2702961994731881,11,1.6089667516324664,0.8437178498442186,22,0,0.2849878796375675,0.3641587291524056,13,0,0.46217047610021567,0.813663977731352,25,6.800735254367722,0.9928713466935348,17.75,15.7923799006074,0.9871327383362852,7,rbio,532.4444444444445,592.0,256.85731757541936,135,0.8035017738320066,0.8912446137544384,0.17017537419126383,6,6.75,7
rbio3.1,1,constant,3.207535436710103e-26,317.2691120291373,42192343.20745799,0.5782122905027933,517.940535636554,713,smoothed,1.391836622579726e-13,-6.067148783373005e-10,8.389484217362245,92348.07913109375,0.712358300567256,6.528647327999118e-05,0.9999999999999998,686.9999999999999,,,,[],[],13,939.107692307692,148.0,1307.7999999999993,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[148.0, 1083.3999999999999, 792.9999999999998, 744.5999999999998, 1129.9999999999998, 1077.1999999999998, 1246.7999999999997, 996.7999999999995, 1007.9999999999998, 884.7999999999998, 1307.7999999999993, 662.9999999999998, 1124.9999999999995]","[1, 1, 77, 111, 111, 223, 223, 386, 386, 522, 223, 660, 609]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 710]",341588556.51999986,1307.7999999999993,-1307.7999999999993,0.0,,,,DWT,inu.32000013025061,1.1920928955078125e-07,,0.0,-5.0,57.0,0.0,-5,,6.821210263296962e-13,486.1619780219777,19497.800000000003,486.16197802197763,,0.0,486.1619780219777,,,145.60000000000002,0.0,-5.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,1.4281048781841418e-13,3.4825194265146614e-26,0.968480105459717,0.9918895847606474,0.22004438983868857,0.9030687520982,0.15171050054411325,0.4198545478763679,3.947272469160523e-09,3.947272469160523e-09,3.825239665150453e-09,,4.834640505514667e-13,0.9999999960526794,2.014425105223033e-13,,,,,,3.738805143654689e-13,1.0,1.0,4.599544245145571e-13,4.599544245145571e-13,0.8259563659058989,0.2702961994731881,14,1.6089667516324664,0.8437178498442186,24,0,0.2849878796375675,0.3641587291524056,11,0,0.46217047610021567,0.813663977731352,24,6.751543033509698,0.992922910866342,18.25,16.28193832599119,0.9868964659153513,8,rbio,532.4444444444445,592.0,256.85731757541936,135,0.8035017738320066,0.8912446137544384,0.17017537419126383,6,7.5,8
rbio3.1,1,antisymmetric,3.207535436710103e-26,317.2691120291373,42192343.20745799,0.5782122905027933,517.940535636554,713,smoothed,1.391836622579726e-13,-6.067148783373005e-10,8.389484217362245,92348.07913109375,0.712358300567256,6.528647327999118e-05,0.9999999999999998,686.9999999999999,,,,[],[],13,939.107692307692,148.0,1307.7999999999993,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[148.0, 1083.3999999999999, 792.9999999999998, 744.5999999999998, 1129.9999999999998, 1077.1999999999998, 1246.7999999999997, 996.7999999999995, 1007.9999999999998, 884.7999999999998, 1307.7999999999993, 662.9999999999998, 1124.9999999999995]","[1, 1, 77, 111, 111, 223, 223, 386, 386, 522, 223, 660, 609]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 605, 686, 710]",341588556.51999986,1307.7999999999993,-1307.7999999999993,0.0,,,,DWT,inu.32000013025061,1.1920928955078125e-07,,0.0,-5.0,57.0,0.0,-5,,6.821210263296962e-13,486.1619780219777,19497.800000000003,486.16197802197763,,0.0,486.1619780219777,,,145.60000000000002,0.0,-5.0,6.821210263296962e-13,6.821210263296962e-13,,1.1368683772161603e-13,1.4281048781841418e-13,3.4825194265146614e-26,0.968480105459717,0.9918895847606474,0.22004438983868857,0.9030687520982,0.15171050054411325,0.4198545478763679,3.947272469160523e-09,3.947272469160523e-09,3.825239665150453e-09,,4.834640505514667e-13,0.9999999960526794,2.014425105223033e-13,,,,,,3.738805143654689e-13,1.0,1.0,4.599544245145571e-13,4.599544245145571e-13,0.8259563659058989,0.2702961994731881,10,1.6089667516324664,0.8437178498442186,21,0,0.2849878796375675,0.3641587291524056,14,0,0.46217047610021567,0.813663977731352,27,7.52772652709081,0.9921093013342863,18.0,15.619834710743802,0.9866206884029922,9,rbio,532.4444444444445,592.0,256.85731757541936,135,0.8035017738320066,0.8912446137544384,0.17017537419126383,6,8.25,9
dmey,1,symmetric,0.7347272500702633,63.66956518497559,44651689.89779321,0.5193798449612403,152.25196985801347,713,smoothed,0.6656912902747795,,8.255212352125273,75068.29967501329,0.9826213914914277,6.499111061174568e-05,0.9999984989803585,686.9292068951911,,,,[],[],13,941.4391807883621,147.9924791529197,1311.1701220705318,"[6, 48, 101, 175, 214, 270, 324, 400, 481, 530, 599, 666, 708]","[147.9924791529197, 1086.2650919440755, 794.6524771200295, 746.9440486964924, 1132.428193931422, 1079.5775820997364, 1248.972381238829, 999.8535670238022, 1011.4741103239232, 887.3428013920776, 1311.1701220705318, 664.1376326063157, 1127.8988626485489]","[1, 1, 77, 107, 107, 219, 107, 386, 386, 522, 107, 660, 605]","[9, 107, 107, 193, 219, 275, 550, 441, 550, 550, 711, 686, 711]",341866496.87352294,1309.2830187296263,-1309.2830187296263,0.0,,,,DWT,inu.32000013025061,277940.3535229564,,0.0,-14.0,57.0,0.0,-5,,1.4830187296263375,488.49346650264783,19467.490649751293,488.49346650264755,,0.0,488.49346650264783,,,145.59247915291974,0.0,-32.0,3.3701220705318065,1.4830187296263375,,0.07079310480889944,0.9755487128435898,0.9375924389371917,0.0010675852491939253,0.5309588656154169,0.6617482519692742,0.11342673881105127,0.05626922464788617,0.4119778065482049,0.9851003699094848,0.9851003699094848,0.9851003699076178,,0.30105438666377327,0.014899630090438931,0.9952571823030383,,,,,,0.8717146350731033,0.6000000000000001,0.25,0.9999999999998468,0.9999999999998468,2.586646591947553,0.8464862940027915,8,1.5200925725408287,0.797113573395506,37,0,0.7000170625337367,0.8944847907268055,8,0,0.46808740258194353,0.824080891372592,14,13.793114224133722,0.9855418089893776,16.75,11.4792243767313,0.9839920784988816,11,dmey,13.444444444444445,13.0,8.442616761275959,9,0.020288755140582804,0.029294227571580816,0.9770096031301176,1,8.5,10
