signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,gaus4,3652685012.9052424,0.6658014701070953,567.7702392813507,-33.52153660359633,722,127,46007.88265606827,,False,14.903827503030765,541268.5618890906,0.01634769793207501,2.99209968527346e-07,0.17643940485677354,1.0,,,,[],[],10,84865.16093681919,13690.126682265154,216447.5347604851,"[48, 127, 215, 272, 323, 407, 454, 546, 601, 675]","[216447.5347604851, 13690.126682265154, 39939.13496908387, 77789.69633347371, 51744.65218812971, 17000.299093724912, 158131.8455295236, 43533.436532890126, 25289.01271041592, 205085.87056819978]","[0, 119, 169, 169, 308, 388, 388, 502, 556, 388]","[388, 169, 255, 388, 388, 418, 502, 611, 611, 721]",3234330028520.1455,184886.55762133191,-184886.55762133191,0.0,,,,CWT,inu.32000013025079,3233910232888.1455,,0.0,-89.0,93.0,0.0,-89.0,,183480.55762133191,84230.05414070268,783235.6093681919,84230.05414070269,,0.0,84230.05414070268,,,13689.126682265154,0.0,-89.0,215042.5347604851,183480.55762133191,,733.0,0.1534330522511715,0.682111574608155,0.6300550367832103,0.07481387106071175,1.0,0.5396806456305479,0.06268110138915876,,0.31440372024745505,0.5693871305093029,0.5693871305093029,0.5693871305093031,,0.0029952010753806838,0.9063638477048493,0.4491008176805816,,,,,0.4444444444444444,,0.06980338142071343,1.0,0.7419354838709676,0.19243499935693872,0.19243499935693872,0.5111111111111111,1.8520687056032439,0.5863695143203483,3,1.4486760131700882,0.767100527287348,4,0,0.4666563855569493,0.7605008018882441,3,0,0.4489678973889937,0.7913775475563724,5,0.9574271077563381,0.9042572892243662,3.75,3.582089552238806,0.764628644612183,1,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,1.0
raw,gaus6,2815847986.3262916,0.6555608872990599,571.5885150189313,-31.782112628219252,722,127,40678.99249016834,,False,15.148331156316312,446614.21105687274,0.015386761910380773,2.584991553943072e-07,0.2213766649369915,73.9342744046755,,,,[],[],11,79566.7323757009,9079.903549441206,174434.8098198627,"[47, 103, 159, 215, 272, 323, 407, 454, 546, 596, 680]","[174434.8098198627, 13799.202197283967, 37329.41414742326, 47233.20877712762, 95158.37071777822, 58914.001849348366, 21699.552309767543, 163228.7112656177, 83418.22446935606, 9079.903549441206, 170938.65702970308]","[0, 97, 114, 169, 169, 308, 390, 390, 502, 585, 611]","[611, 169, 169, 255, 390, 390, 419, 611, 611, 611, 721]",2167323784017.2507,152003.36947651347,-152003.36947651347,0.0,,,,CWT,inu.32000013025079,2166903988385.2507,,0.0,-97.5,92.0,0.0,-88.5,,150597.36947651347,78931.62557958439,809818.0561327098,78931.62557958438,,0.0,78931.62557958439,,,9078.903549441206,0.0,-88.5,173029.8098198627,150597.36947651347,,660.0657255953245,0.1001925393640676,0.8018171453849121,0.8719105206241473,0.03860501398059091,0.8281793229643185,0.6585925451758565,0.036226979001361834,,0.13723693956130248,0.4612922131523335,0.4612922131523335,0.4612922131523331,,0.002366679885398521,0.9490922482653004,0.19325789326136966,,,,,0.33333333333333326,,0.03458771630242573,0.19047619047619044,0.7741935483870968,0.12495905905077422,0.12495905905077422,0.5333333333333332,1.4324369400693762,0.45351306369027333,5,1.5756053551991516,0.8343119426166213,3,0,0.34154804574030706,0.5566141827436054,5,0,0.4765034380707508,0.839913331032418,3,1.1547005383792515,0.8845299461620748,4.0,3.75,0.7422649730810373,2,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,1.75
raw,mexh,15631779292.225801,0.6077169716666303,943.5350856171337,-40.92016592218866,722,127,128701.45198508647,,False,15.023747764093653,1177592.7656536857,0.014643383468160262,2.8006252917321376e-08,0.12421379510457901,117160.50842349514,,,,[],[],7,105972.27292951368,14722.344880895223,306912.32236147264,"[71, 270, 322, 455, 550, 601, 650]","[306912.32236147264, 22152.962036871002, 31298.836977075458, 40821.78029404285, 14722.344880895223, 27615.49672772421, 298282.1672285144]","[0, 257, 308, 363, 363, 363, 363]","[363, 363, 363, 500, 556, 611, 721]",17737627602084.875,280292.8619685245,-280292.8619685245,0.0,,,,CWT,inu.32000013025079,17737207806452.875,,0.0,-99.5,96.0,0.0,-99.5,,278886.8619685245,105337.16613339717,676389.9105065957,105337.16613339719,,0.0,105337.16613339717,,,14721.344880895223,0.0,-95.0,305507.32236147264,278886.8619685245,,116426.50842349514,0.9796178499253981,0.17294465608517184,0.7486764658373772,0.5931338054479475,0.025434583714546655,0.4014824900362932,0.24052182626555174,,0.3540709489147432,1.0,1.0,0.9999999999999999,,1.0,0.7346209731846078,1.0,,,,,0.7777777777777777,,0.5484728110447913,0.0,0.3548387096774194,0.38820768625735225,0.38820768625735225,0.04444444444444445,3.158535122259805,1.0,1,1.3355328442779415,0.7071891435638039,7,0,0.6136172169684637,1.0,1,0,0.45168738247318385,0.7961710738843314,4,2.8722813232690143,0.7127718676730985,3.25,1.671641791044776,0.6938859338365493,3,mexh,3.0,3.0,,1,0.375,,,2,2.75
raw,gaus8,2433284109.5328364,0.6589307915457936,559.227799702795,-30.617068155676584,722,127,36000.92345654089,,False,15.2451831298671,395086.66801393585,0.01936661817666947,2.1920140606633075e-07,0.266800659020694,1119.4336480442391,,,,[],[],11,81335.67572137588,5508.732300558597,161339.57870462953,"[47, 103, 159, 215, 271, 323, 377, 454, 549, 595, 679]","[145474.8615591872, 23768.317178369478, 50066.77455460083, 62368.84907857987, 60725.7029319916, 102957.0435733528, 30172.640065155658, 161339.57870462953, 104319.40756544491, 5508.732300558597, 147990.52542326425]","[0, 85, 114, 114, 255, 114, 364, 390, 502, 590, 611]","[611, 114, 169, 255, 307, 390, 390, 611, 611, 611, 721]",1658399219931.9539,128967.51723497684,-128967.51723497684,0.0,,,,CWT,inu.32000013025079,1657979424299.9539,,0.0,-97.5,92.0,0.0,-88.5,,127561.51723497684,80700.56892525937,829276.4329351347,80700.56892525939,,0.0,80700.56892525937,,,5507.732300558597,0.0,-88.5,159934.57870462953,127561.51723497684,,385.43364804423913,0.05345432804468632,0.8819944428927224,0.9677135101063501,0.022051969243242278,0.8847209515096062,0.7787924285640678,0.021825993541997636,,0.0,0.4973809859939816,0.4973809859939816,0.49738098599398184,,0.0,0.9803694788993134,0.11351247733793679,,,,,0.33333333333333326,,0.017791078877264214,0.19047619047619044,0.7741935483870968,0.07768974368189685,0.07768974368189685,0.5333333333333332,1.371022276310928,0.4340690298640772,6,1.7142514532701043,0.9077275952329901,2,0,0.3278951347135863,0.5343643001634326,6,0,0.5157933748432391,0.9091681129165602,2,2.309401076758503,0.7690598923241497,4.0,3.0,0.6845299461620749,4,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,3.25
raw,gaus2,7880584944.530205,0.6474905664492769,725.3758576680018,-37.75442820638869,722,127,83732.00610285674,,False,14.88075423465484,796512.3765781606,0.017868311278293844,3.3345161018353253e-07,0.14444969674207297,71209.21573955889,,,,[],[],9,91221.58677072631,8565.403853622183,280690.800413642,"[48, 215, 272, 323, 410, 454, 549, 601, 675]","[280690.800413642, 31249.022333528927, 36405.75425389135, 42353.60074825833, 8565.403853622183, 107787.11456323137, 20412.12725653284, 29679.24284996846, 263851.2146638612]","[0, 198, 255, 307, 364, 364, 502, 364, 364]","[364, 364, 364, 364, 418, 502, 556, 611, 721]",8572272739255.356,249001.10087334545,-249001.10087334545,0.0,,,,CWT,inu.32000013025079,8571852943623.356,,0.0,-89.5,94.0,0.0,-89.5,,247595.10087334545,90586.4799746098,755578.2809365367,90586.47997460979,,0.0,90586.4799746098,,,8564.403853622183,0.0,-85.0,279285.800413642,247595.10087334545,,70475.21573955889,0.5303317343399319,0.3908078369794051,0.6072316702941449,0.2577496393298253,0.6927721866422689,0.4550302474747961,0.1340169782204489,,0.11746517317470971,0.6990665849505793,0.6990665849505793,0.6990665849505788,,0.604008384334118,0.8619076914251682,0.8403200252462331,,,,,0.5555555555555555,,0.24597779829062902,0.9523809523809522,0.9999999999999999,0.32399733674883685,0.32399733674883685,0.4888888888888888,2.585343457993638,0.8185261071733559,2,1.3388026422366133,0.7089205615726736,6,0,0.600835635546119,0.9791701062667516,2,0,0.4382771847544031,0.7725334609399478,7,2.6299556396765835,0.7370044360323417,4.25,3.0545454545454547,0.6560022180161709,5,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,4.0
raw,gaus1,25035022695.104736,0.6062010600475495,668.1701853829477,-43.433199185852786,722,127,130741.51946758345,,False,14.26687374941743,3895048.7618213706,0.022517666956476487,2.5410010039890696e-07,0.0012677436830254502,1.0,,,,[],[],5,56955.82802469995,31530.67114806109,154595.0089018275,"[166, 220, 276, 331, 497]","[32849.83628507295, 154595.0089018275, 31530.67114806109, 34070.51897009593, 31733.10481844226]","[3, 3, 259, 317, 3]","[201, 425, 425, 425, 516]",31418537179108.7,578438.862855234,-578438.862855234,0.0,,,,CWT,inu.32000013025079,31418117383476.7,,0.0,-96.0,98.0,0.0,-100.5,,577032.862855234,56320.72122858345,219363.14012349973,56320.72122858344,,0.0,56320.72122858345,,,31529.67114806109,0.0,-100.5,153190.0089018275,577032.862855234,,733.0,1.0,0.0,0.0,1.0,0.0,0.07614559833363344,1.0,,1.0,0.0,0.0,0.0,,0.0029952010753806838,0.0,0.07244038632891175,,,,,0.9999999999999999,,0.9999999999999999,0.33333333333333326,0.0,1.0,1.0,0.0,1.6710511270354793,0.5290589030524724,4,1.2304582393334536,0.6515502124814523,8,0,0.3863406371955448,0.6296117946367864,4,0,0.43944937119051913,0.774599626544409,6,1.9148542155126762,0.8085145784487324,5.5,5.052631578947369,0.6292572892243662,6,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,4.75
raw,gaus7,2716233965.1749244,0.6641546884201802,575.3088546573438,-31.56619935317356,722,127,38953.87951554915,,False,15.207232811994965,450447.8932205168,0.016250226127345474,1.6051597671638523e-07,-0.026601291056110452,2987.722322192774,,,,[],[],11,67416.28504315398,6580.375777688605,202855.80896017895,"[28, 82, 166, 249, 304, 355, 410, 470, 553, 607, 665]","[6580.375777688605, 172930.43017576588, 45249.7532842173, 46678.66576370783, 55343.07327826724, 94091.86257376382, 12507.443620689475, 202855.80896017895, 67210.10757280124, 25947.121252575565, 12184.49321503796]","[2, 2, 146, 201, 201, 201, 394, 2, 531, 592, 644]","[31, 426, 201, 258, 317, 426, 426, 644, 644, 644, 669]",2042622918417.0896,183366.29807072878,-183366.29807072878,0.0,,,,CWT,inu.32000013025079,2042203122785.0896,,0.0,-97.5,92.0,0.0,-97.5,,181960.29807072878,66781.17824703747,676163.1354746938,66781.17824703747,,0.0,66781.17824703747,,,6579.375777688605,0.0,-97.5,201450.80896017895,181960.29807072878,,2253.722322192774,0.08295707443655728,0.8166760999546401,0.9301742244247444,0.03429484397079665,0.9723696248856368,0.002399227206220156,0.03729842153159188,,0.04118230710671511,0.2134070930433134,0.2134070930433134,0.21340709304331346,,0.01610023586703095,0.7342564569124207,0.36633192131480197,,,,,0.33333333333333326,,0.030472066609127275,0.19047619047619044,0.1935483870967742,0.18931544348435714,0.18931544348435714,0.1333333333333333,1.0521300513737264,0.3331069659345658,8,1.4019542259509012,0.7423604837677363,5,0,0.21842045701059876,0.35595555497886927,9,0,0.41088135948716975,0.7242439481722194,8,1.7320508075688772,0.8267949192431123,7.5,7.128712871287129,0.5383974596215562,7,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,5.5
raw,morl,1923632442.5141392,0.664089253386263,506.95451741882613,-28.90234682793715,722,127,30650.6323418376,,False,15.27782313705402,316992.02477833343,0.025561228638313012,1.8998763045714865e-08,0.3503958434163674,1794.6603596346336,,,,[],[],14,64778.934965134875,5565.174301393185,142699.35834851302,"[48, 103, 158, 215, 270, 325, 376, 412, 454, 493, 550, 593, 634, 676]","[104445.503368459, 47727.03590008735, 58837.13024547025, 79175.29385959078, 61758.054054951106, 101778.16982364227, 35584.64310507422, 6161.798067043939, 142699.35834851302, 5565.174301393185, 136243.73594540465, 8875.932854833745, 6999.658613743719, 111053.601023681]","[0, 86, 113, 113, 255, 113, 365, 411, 390, 492, 501, 592, 627, 501]","[390, 113, 171, 255, 307, 390, 390, 419, 501, 501, 627, 627, 635, 721]",1119343882066.8062,91106.81537853836,-91106.81537853836,0.0,,,,CWT,inu.32000013025079,1118924086434.8062,,0.0,-96.0,89.0,0.0,-78.0,,89700.81537853836,64143.82816901837,841489.0895118882,64143.828169018365,,0.0,64143.82816901837,,,5564.174301393185,0.0,-87.0,141294.35834851302,89700.81537853836,,1060.6603596346336,0.0,1.0,0.9999999999999999,0.0,0.9712717291857276,0.9999999999999998,0.0,,0.0021690159663104724,0.15960167971436554,0.15960167971436554,0.15960167971436548,,0.00581885951071217,1.0,0.0,,,,,0.0,,0.0,0.33333333333333326,0.8709677419354838,0.0,0.0,0.9999999999999998,0.9676317538150598,0.30635459678623367,10,1.8885086916742908,1.0,1,0,0.2636495707063527,0.42966455864601777,8,0,0.5673245327408183,1.0,1,4.69041575982343,0.530958424017657,5.0,1.797752808988764,0.5154792120088285,8,morl,8.0,8.0,,1,1.0,,,3,6.75
raw,gaus5,3297723203.8290954,0.6488865138395097,559.1467805054635,-32.99109033309341,722,127,44727.90485541206,,False,15.027370324803364,540426.5029192116,0.015857504954390075,1.517371242777366e-07,-0.02147456075466,1.0,,,,[],[],11,63447.33131721367,7252.673818069088,223989.51003738816,"[55, 109, 166, 220, 276, 332, 382, 470, 553, 607, 665]","[16738.6281786541, 223989.51003738816, 33288.824626106536, 44142.16470379011, 24938.217315147824, 83948.38303636675, 18130.713796881144, 170163.19794075942, 52162.49481857476, 23165.83621761263, 7252.673818069088]","[3, 3, 147, 201, 201, 201, 372, 426, 531, 593, 643]","[63, 643, 426, 258, 287, 426, 426, 643, 643, 643, 669]",2836415177508.7827,217231.416876715,-217231.416876715,0.0,,,,CWT,inu.32000013025079,2835995381876.7827,,0.0,-97.5,92.0,0.0,-97.5,,215825.416876715,62812.22452109717,632504.6444893504,62812.22452109718,,0.0,62812.22452109717,,,7251.673818069088,0.0,-97.5,222584.51003738816,215825.416876715,,733.0,0.1406448970313246,0.718616402916727,0.7522597913272719,0.05945513213602249,0.7161939615736507,0.015965457935768645,0.062445761641423285,,0.06701812373515241,0.13243521240921763,0.13243521240921763,0.13243521240921804,,0.0029952010753806838,0.6640801670015689,0.49502883147800525,,,,,0.33333333333333326,,0.05667052843976588,0.19047619047619044,0.1935483870967742,0.2588062947044498,0.2588062947044498,0.1333333333333333,1.0506094679252784,0.3326255454691951,9,1.1970628450514178,0.6338667385163795,9,0,0.21795730875757557,0.35520077131208866,10,0,0.3522259149374556,0.6208543692545897,9,0.5,0.95,9.25,9.230769230769232,0.5125,9,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,7.0
raw,gaus3,5224536550.620733,0.6337164918097149,650.7634249944734,-35.61776886442444,722,127,58576.27328576963,,False,14.778566963145291,842024.3130141998,0.020865941978541823,1.66993425786079e-07,-0.027507968162184007,8292.738693788684,,,,[],[],9,66344.3676820239,12618.601266845932,219223.91887615045,"[110, 166, 220, 276, 332, 382, 470, 553, 607]","[219223.91887615045, 31988.956947226485, 38969.252474539615, 43392.45483685822, 52116.31151516412, 12618.601266845932, 124383.8112544292, 29623.346888495056, 44782.655078506126]","[3, 147, 201, 259, 317, 375, 426, 531, 531]","[426, 426, 426, 317, 426, 426, 643, 591, 643]",5194471223190.636,289013.1872119031,-289013.1872119031,0.0,,,,CWT,inu.32000013025079,5194051427558.636,,0.0,-94.0,94.0,0.0,-98.5,,287607.1872119031,65709.2608859074,531683.3091382151,65709.26088590741,,0.0,65709.2608859074,,,12617.601266845932,0.0,-98.5,217818.91887615045,287607.1872119031,,7558.738693788684,0.2790028317847616,0.537850783211001,0.5061511683825283,0.14282585651620805,0.4616651418115274,0.0,0.1467367140381797,,0.27322595014743567,0.19153856783281184,0.19153856783281184,0.1915385678328122,,0.061816947659485116,0.5020208035394715,0.46600803406482655,,,,,0.5555555555555555,,0.13449623233109917,0.5238095238095237,0.12903225806451613,0.4061016977194152,0.4061016977194152,0.0888888888888889,1.3042483621663727,0.4129282441644136,7,0.97426057425128,0.5158888484582679,10,0,0.2944052352141478,0.4797864647094452,7,0,0.29631892796345805,0.5223093853035103,10,1.7320508075688772,0.8267949192431123,8.5,8.23529411764706,0.4883974596215562,10,gaus,5.5,5.5,3.1622776601683795,8,0.6875,1.0,0.21875,1,7.75
