wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antisymmetric,1.3955407262909652,61.50610133386428,52871788.72545875,0.5690537084398977,484.09795159390734,722,raw,0.8956109611105956,,8.406284586631132,234051.99164911386,0.8905867209183084,3.124891558969547e-06,0.999997791162425,733.9203302290132,,,,[],[],14,1197.0404606563227,181.6542668004821,1409.3345149420927,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1080.6054930597186, 1354.0536171784743, 1373.390165971596, 1317.4224724035882, 1381.1512477360368, 1409.3345149420927, 1184.3672966134607, 1126.3316031455122, 181.6542668004821, 1336.825762952602, 1306.6018428781097, 1251.5517960321106, 1344.0340862666694, 1111.2422832080663]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",420325574.7929772,1408.4971141722442,-1408.4971141722442,0.0,,,,DWT,inu.32000013025079,529942.7929772139,,0.0,-37.5,89.0,0.0,-37.5,,2.49711417224421,561.9336645398179,48657.43355081148,561.933664539818,,0.0,561.9336645398179,,,180.6542668004821,0.0,-42.0,4.33451494209271,2.49711417224421,,0.07966977098681127,0.9978297784726565,0.9962621439819838,6.141255592317929e-05,0.6472961331965603,0.5527578036082554,0.17510931441300148,0.6162005740174139,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,,,,,,0.9960042422712165,0.6666666666666666,0.75,0.9999999999999999,0.9999999999999999,2.9396687878022756,1.0,1,1.8136939912391155,0.934980085383626,14,0,0.7843892424114902,1.0,1,0,0.5693595943208278,1.0,1,6.5,0.9931865828092243,4.25,1.3023255813953487,0.9943658280922432,1,dmey,8.88888888888889,5.0,10.30102476024163,9,0.013480196527075683,0.035130250028152114,0.9800247874226014,1,1.0,1
dmey,1,antireflect,1.40077662763848,61.489837616748815,52664809.62652564,0.5703324808184144,480.4502327936047,722,raw,0.8975588626764337,,8.401852591865872,230055.99795740703,0.8881916152926949,3.1246726416034514e-06,0.9999977932428651,733.9203302290132,,,,[],[],14,1196.974992967417,181.6542668004821,1409.3345149420927,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1080.145941266006, 1354.053617178438, 1373.390163301456, 1317.4224724035882, 1381.1512477360368, 1409.3345149420927, 1184.3672966134607, 1126.3316031455122, 181.6542668004821, 1336.825762952602, 1306.6018428781097, 1251.5517960321106, 1344.0340862666696, 1110.7852900272774]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",420327700.8110412,1408.4971141722442,-1408.4971141722442,0.0,,,,DWT,inu.32000013025079,532068.8110411763,,0.0,-37.5,89.0,0.0,-37.5,,2.49711417224421,561.8681968509121,48658.35009845616,561.8681968509125,,0.0,561.8681968509121,,,180.6542668004821,0.0,-42.0,4.33451494209271,2.49711417224421,,0.07966977098681127,0.9999999999999999,1.0,0.0,0.6380132415919391,0.5214374189807853,0.1900008250144379,0.594181587790436,0.0,0.9798854715039025,0.9798854715039025,0.9798854715023788,,1.0,0.020114528496078532,1.0,,,,,,1.0,0.6666666666666666,0.75,0.9999999999999999,0.9999999999999999,2.9336208552677614,0.9979426483148002,2,1.7933982954083119,0.9245174210574127,17,0,0.7813698008060773,0.9961505825906918,2,0,0.563376153339657,0.9894909279814484,3,7.3484692283495345,0.9922972020667196,6.0,2.8732394366197185,0.9930039469453095,2,dmey,8.88888888888889,5.0,10.30102476024163,9,0.013480196527075683,0.035130250028152114,0.9800247874226014,1,1.75,2
dmey,1,reflect,1.2863904171373743,61.859798523078126,52891045.0908722,0.5741687979539642,492.9009199949959,722,raw,0.8693264176554105,,8.40474947382221,131127.2326496724,0.8049796214806901,3.1249268983840366e-06,0.9999982469607684,733.9203302290132,,,,[],[],14,1196.8623044213127,181.6542668004821,1409.3345149420927,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1079.9109500928857, 1354.0536171785207, 1373.390159155281, 1317.4224724035882, 1381.1512477360368, 1409.3345149420927, 1184.3672966134607, 1126.3316031455122, 181.6542668004821, 1336.825762952602, 1306.6018428781097, 1251.5517960321106, 1344.0340862666694, 1109.4426457010277]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",420270430.05106175,1408.4971141722442,-1408.4971141722442,0.0,,,,DWT,inu.32000013025079,474798.05106174946,,0.0,-37.5,89.0,0.0,-37.5,,2.49711417224421,561.7555083048079,48659.92773810162,561.7555083048079,,0.0,561.7555083048079,,,180.6542668004821,0.0,-42.0,4.33451494209271,2.49711417224421,,0.07966977098681127,0.9685452997067648,0.9183408630297141,0.001396989672658333,0.644080812204355,0.5556717054195262,0.23467535681874463,0.0490578241359179,0.0,0.9452626367944026,0.9452626367944026,0.9452626367900314,,1.0,0.054737363205609735,1.0,,,,,,0.8923621178483346,0.6666666666666666,0.75,0.9999999999999999,0.9999999999999999,2.865952780307291,0.9749237030372746,8,1.5557758327272586,0.8020203121075118,46,0,0.7666295048416205,0.9773585146128854,8,0,0.4816812644268116,0.8460053527356378,23,17.95132307101624,0.9811830995062722,21.25,12.689655172413795,0.9794542331912912,3,dmey,8.88888888888889,5.0,10.30102476024163,9,0.013480196527075683,0.035130250028152114,0.9800247874226014,1,2.5,3
dmey,1,periodic,1.2978728378006474,61.8212050497535,52887083.833590575,0.571611253196931,484.09795159390734,722,raw,0.877019668649853,,8.402231744270457,131416.6475518584,0.8066221081037486,3.1248369094704803e-06,0.9999982285312169,733.9203302290132,,,,[],[],14,1196.862719707438,181.6542668004821,1409.3345149420927,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1079.7751784513803, 1354.0536171784825, 1373.3901555578325, 1317.4224724035882, 1381.1512477360368, 1409.3345149420927, 1184.3672966134607, 1126.3316031455122, 181.6542668004821, 1336.825762952602, 1306.6018428781097, 1251.5517960321106, 1344.0340862666694, 1109.5842349457716]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",420274352.74464655,1408.4971141722442,-1408.4971141722442,0.0,,,,DWT,inu.32000013025079,478720.7446465492,,0.0,-37.5,89.0,0.0,-37.5,,2.49711417224421,561.7559235909331,48659.92192409587,561.7559235909331,,0.0,561.7559235909331,,,180.6542668004821,0.0,-42.0,4.33451494209271,2.49711417224421,,0.07966977098681127,0.9771166049596618,0.9265380448192411,0.0012512589136940422,0.6388073830248187,0.5550722820849558,0.20489233561587306,0.05065257709019336,0.0,0.945390230798999,0.945390230798999,0.9453902307946379,,1.0,0.05460976920103322,1.0,,,,,,0.8997346484372328,0.6666666666666666,0.75,0.9999999999999999,0.9999999999999999,2.8696900832035914,0.9761950377236203,7,1.5489663613649736,0.798509951403622,47,0,0.7672651480581306,0.9781688816884917,7,0,0.47919006950120546,0.8416299194410117,27,19.148542155126762,0.9799281528772256,22.0,11.626963350785342,0.9784336781157617,4,dmey,8.88888888888889,5.0,10.30102476024163,9,0.013480196527075683,0.035130250028152114,0.9800247874226014,1,3.25,4
dmey,1,symmetric,1.2924620934468218,61.83934833929592,52874922.16056353,0.5677749360613811,480.4502327936047,722,raw,0.8727836308475836,,8.404811929882124,132596.10946870712,0.8054850279592154,3.124709413562695e-06,0.9999982440166966,733.9203302290132,,,,[],[],14,1196.7994235066737,181.6542668004821,1409.3345149420927,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1079.451898384077, 1354.053617178485, 1373.390156599408, 1317.4224724035882, 1381.1512477360368, 1409.3345149420927, 1184.3672966134607, 1126.3316031455122, 181.6542668004821, 1336.825762952602, 1306.6018428781097, 1251.5517960321106, 1344.0340862666694, 1109.0213671607985]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",420273974.3064559,1408.4971141722442,-1408.4971141722442,0.0,,,,DWT,inu.32000013025079,478342.3064559102,,0.0,-37.5,89.0,0.0,-37.5,,2.49711417224421,561.6926273901689,48660.80807090657,561.692627390169,,0.0,561.6926273901689,,,180.6542668004821,0.0,-42.0,4.33451494209271,2.49711417224421,,0.07966977098681127,0.9723970952111444,0.9226753701807104,0.0013197688229443783,0.6442116275290413,0.553231959661658,0.16021780381156633,0.05715172541373441,0.0,0.9259428781393009,0.9259428781393009,0.9259428781334341,,1.0,0.07405712186074209,1.0,,,,,,0.8990233904518259,0.6666666666666666,0.75,0.9999999999999999,0.9999999999999999,2.861555513146562,0.973427865418093,9,1.5317858172510062,0.7896531835694629,51,0,0.763964651115939,0.973961153224439,9,0,0.4730293358043999,0.8308094577183028,29,20.024984394500787,0.9790094503202298,24.5,14.476345840130506,0.9766640543005761,5,dmey,8.88888888888889,5.0,10.30102476024163,9,0.013480196527075683,0.035130250028152114,0.9800247874226014,1,4.0,5
dmey,1,smooth,1.3151046458976894,61.763923364718536,50717130.49856457,0.5831202046035806,424.1441090229604,722,raw,0.8799209206073252,,8.317454805494819,158696.70377546648,0.849922448506735,3.124799694045195e-06,0.9999981229169091,733.9203302290132,,,,[],[],14,1196.905901858399,181.6542668004821,1409.3345149420927,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1079.9340426044225, 1354.0536171784781, 1373.3901614562367, 1317.4224724035882, 1381.1512477360368, 1409.3345149420927, 1184.3672966134607, 1126.3316031455122, 181.6542668004821, 1336.825762952602, 1306.6018428781097, 1251.5517960321106, 1344.0340862666694, 1110.029915007781]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",420299946.36673146,1408.4971141722442,-1408.4971141722442,0.0,,,,DWT,inu.32000013025079,504314.36673146486,,0.0,-37.5,89.0,0.0,-37.5,,2.49711417224421,561.7991057418941,48659.31737398241,561.7991057418939,,0.0,561.7991057418941,,,180.6542668004821,0.0,-42.0,4.33451494209271,2.49711417224421,,0.07966977098681127,0.9803489856737477,0.9388396550524818,0.0010349605939059536,0.46124058186467093,0.22671172091234915,0.33891593102879325,0.20097293007409367,0.0,0.9586576703641598,0.9586576703641598,0.95865767036078,,1.0,0.0413423296357921,1.0,,,,,,0.9478367389071344,0.6666666666666666,0.75,0.9999999999999999,0.9999999999999999,2.899048104264861,0.9861818842633006,5,1.4179611609196217,0.7309752657897546,79,0,0.773484895524891,0.9860982962322693,5,0,0.4497235378857204,0.7898761035583887,48,36.06822239405023,0.9621926389999473,34.25,9.227399926998418,0.9631455857473531,6,dmey,8.88888888888889,5.0,10.30102476024163,9,0.013480196527075683,0.035130250028152114,0.9800247874226014,1,4.75,6
coif13,1,reflect,1.1429502594398784e-25,312.3732531793017,54543865.915171295,0.5714285714285714,496.11770610645806,722,raw,2.4897228015775435e-13,-8.525430361672284e-10,8.43597300201063,129729.76681132545,0.8064175026361388,3.1388884779996667e-06,1.0,734.0000000000007,,,,[],[],14,1193.7857142857144,183.00000000000057,1405.0000000000005,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1077.0000000000005, 1351.0000000000005, 1369.0000000000005, 1314.0, 1376.9999999999995, 1405.0000000000005, 1182.0000000000002, 1122.0, 183.00000000000057, 1332.9999999999995, 1305.0000000000007, 1248.0000000000011, 1341.0000000000005, 1106.0000000000005]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[28, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",419795632.0,1406.0000000000005,-1406.0000000000005,0.0,,,,DWT,inu.32000013025079,0.0,,0.0,-33.0,89.0,0.0,-37.5,,4.547473508864641e-13,558.6789181692096,48703.0,558.6789181692097,,0.0,558.6789181692096,,,182.00000000000057,0.0,-42.0,4.547473508864641e-13,4.547473508864641e-13,,6.821210263296962e-13,2.39551706506747e-13,7.830342734007002e-26,0.9473475023606472,0.7094790455142918,0.805779007094803,0.2027649769585246,0.041357416322188256,0.9999999997683574,4.37751135293279e-09,4.37751135293279e-09,4.298291126114485e-09,,8.561854990679164e-12,0.9999999956225885,1.0491308876810825e-13,,,,,,0.0,1.0,0.75,1.821091546157751e-13,1.821091546157751e-13,0.9750000016622018,0.3316700186455771,42,1.4236864850332929,0.733926736133984,75,0,0.3125000007044408,0.39839914140549043,42,0,0.3866754211786707,0.679140959484356,91,24.55605831561735,0.9742598969437973,62.5,55.60081466395112,0.9543731350547079,7,coif,446.0261437908497,432.0,277.17633917096174,153,0.6764085083828668,0.9452723708175392,0.24293233288673144,5,6.5,7
coif13,1,antisymmetric,1.1343760188153076e-25,312.4059561171361,54414756.62068439,0.5676691729323309,493.7537628873534,722,raw,2.4703846232427975e-13,-8.506916282513635e-10,8.436285130158819,276401.31282082654,0.90929636594217,3.1388884779996667e-06,1.0,734.0000000000007,,,,[],[],14,1193.7857142857144,183.00000000000057,1405.0000000000005,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1077.0, 1351.0000000000002, 1369.0000000000005, 1314.0, 1376.9999999999995, 1405.0000000000005, 1182.0000000000002, 1122.0, 183.00000000000057, 1332.9999999999995, 1305.0000000000007, 1248.0000000000011, 1341.0000000000002, 1106.0000000000007]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",419795632.0,1406.0000000000005,-1406.0000000000005,0.0,,,,DWT,inu.32000013025079,0.0,,0.0,-37.5,89.0,0.0,-37.5,,4.547473508864641e-13,558.6789181692096,48703.0,558.6789181692097,,0.0,558.6789181692096,,,182.00000000000057,0.0,-42.0,4.547473508864641e-13,4.547473508864641e-13,,6.821210263296962e-13,2.373971761312035e-13,7.769132113731122e-26,0.9474709901823026,0.7101328034539656,0.7862419969176644,0.1589861751152076,0.8495565779413107,0.9999999997683574,4.37751135293279e-09,4.37751135293279e-09,4.298291126114485e-09,,8.561854990679164e-12,0.9999999956225885,1.0491308876810825e-13,,,,,,0.0,0.6666666666666666,0.75,1.821091546157751e-13,1.821091546157751e-13,0.9416666683288684,0.3203308727283074,86,1.7200870955178749,0.8867246554286822,20,0,0.284722222926663,0.36298588447149793,88,0,0.49319836337295553,0.8662335162038979,21,38.40464381642755,0.9597435599408516,53.75,33.16458337680766,0.9517009204316418,8,coif,446.0261437908497,432.0,277.17633917096174,153,0.6764085083828668,0.9452723708175392,0.24293233288673144,5,7.25,8
coif13,1,periodic,1.1636705979777676e-25,312.2952258717728,54441703.170494325,0.5701754385964912,494.8500982033489,722,raw,2.511078448898864e-13,-8.543152851814374e-10,8.44114903628485,130173.25710526993,0.8030191748322129,3.1388884779996667e-06,1.0,734.0000000000007,,,,[],[],14,1193.7857142857144,183.00000000000057,1405.0000000000005,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1077.0, 1351.0000000000007, 1369.0000000000005, 1314.0, 1376.9999999999995, 1405.0000000000005, 1182.0000000000002, 1122.0, 183.00000000000057, 1332.9999999999995, 1305.0000000000007, 1248.0000000000011, 1341.0000000000002, 1106.0000000000002]","[0, 29, 29, 112, 168, 168, 316, 333, 406, 389, 502, 554, 389, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",419795632.0,1406.0000000000005,-1406.0000000000005,0.0,,,,DWT,inu.32000013025079,0.0,,0.0,-37.5,89.0,0.0,-37.5,,4.547473508864641e-13,558.6789181692096,48703.0,558.6789181692097,,0.0,558.6789181692096,,,182.00000000000057,0.0,-42.0,4.547473508864641e-13,4.547473508864641e-13,,6.821210263296962e-13,2.4193100977134183e-13,7.978263095676806e-26,0.9470528676007621,0.7203203410604877,0.7903195888522159,0.18817204301075227,0.04380116559397227,0.9999999997683574,4.37751135293279e-09,4.37751135293279e-09,4.298291126114485e-09,,8.561854990679164e-12,0.9999999956225885,1.0491308876810825e-13,,,,,,0.0,0.6666666666666666,0.75,1.821091546157751e-13,1.821091546157751e-13,0.9416666683288684,0.3203308727283074,89,1.4163409689587716,0.7301400382236873,82,0,0.284722222926663,0.36298588447149793,87,0,0.38423800087406174,0.6748599737436722,93,4.573474244670748,0.9952060018399678,87.75,87.56947368772293,0.9516124348822481,9,coif,446.0261437908497,432.0,277.17633917096174,153,0.6764085083828668,0.9452723708175392,0.24293233288673144,5,8.0,9
coif16,1,reflect,1.127351220648853e-25,312.43293409076034,55185218.95714272,0.5747549019607843,493.33521761156703,722,raw,2.515808429541174e-13,-8.374807514144414e-10,8.45860697052774,131791.7167560855,0.8101246196792498,3.1388884779996667e-06,1.0,734.0000000000003,,,,[],[],14,1193.7857142857144,182.99999999999955,1405.0000000000005,"[7, 47, 101, 163, 209, 273, 318, 372, 409, 459, 552, 603, 662, 716]","[1077.0000000000002, 1351.0, 1369.0000000000007, 1314.0000000000011, 1377.0000000000002, 1405.0000000000005, 1182.0000000000005, 1122.0000000000002, 182.99999999999955, 1333.0, 1305.0, 1248.0000000000005, 1341.0000000000007, 1106.0000000000005]","[0, 29, 29, 110, 168, 168, 316, 333, 406, 389, 502, 554, 502, 692]","[29, 57, 168, 168, 223, 389, 389, 389, 418, 502, 626, 626, 666, 719]",419795632.00000006,1406.0000000000005,-1406.0000000000005,0.0,,,,DWT,inu.32000013025079,5.960464477539063e-08,,0.0,-37.5,89.0,0.0,-37.5,,4.547473508864641e-13,558.6789181692096,48703.0,558.6789181692096,,0.0,558.6789181692096,,,181.99999999999955,0.0,-42.0,4.547473508864641e-13,4.547473508864641e-13,,3.410605131648481e-13,2.424579925508563e-13,7.718982803499572e-26,0.9475728602715405,0.7568862938200949,0.9028295018553141,0.2415006325110681,0.05271930799099026,0.999999999767597,4.37751135293279e-09,4.37751135293279e-09,4.298256196561061e-09,,4.280927495339582e-12,0.9999999956225885,1.0491308876810825e-13,,,,,,1.1202431628862733e-13,0.6666666666666666,0.75,1.821091546157751e-13,1.821091546157751e-13,0.9416666683265453,0.32033087272751715,93,1.516089590201525,0.7815615982315756,53,0,0.2847222229262493,0.3629858844709706,94,0,0.4145012280641788,0.7280130732821408,61,21.328775554791388,0.9776427929195058,75.25,70.6060697282406,0.9493821931054552,10,coif,446.0261437908497,432.0,277.17633917096174,153,0.6764085083828668,0.9452723708175392,0.24293233288673144,5,8.75,10
