signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,gaus8,2656830443.3815217,0.6712203596326963,632.147003399818,-30.956904868577077,698,127,37011.30731362465,,False,15.320347864505562,451130.6894461098,0.021197437558476123,2.0561081699223654e-07,0.42643595613876634,5845.062595182354,,,,[],[],12,90474.76233296709,39626.95144990766,161576.01874468298,"[25, 84, 146, 203, 260, 309, 366, 405, 483, 573, 634, 670]","[161340.4164127775, 39626.95144990766, 75354.8611385234, 77268.84188209944, 161576.01874468298, 42333.026742133356, 44094.96901521641, 100967.79605379977, 111543.0545787848, 75537.56952114041, 44538.30557190078, 151515.33688463853]","[0, 55, 108, 165, 165, 275, 329, 329, 329, 540, 593, 593]","[593, 165, 165, 216, 593, 329, 383, 437, 593, 593, 647, 697]",1656060122428.473,145558.808231809,-145558.808231809,0.0,,,,CWT,mdp.39015056038063,1655805446771.473,,0.0,-88.5,87.0,0.0,-84.0,,144185.808231809,89845.08556529033,1023359.1479956051,89845.08556529033,,2785186.04267586,89845.08556529033,,,39615.95144990766,0.0,-88.5,160203.01874468298,144185.808231809,,5816.062595182354,0.08336816453378501,0.8498096232738906,0.9787296475215721,0.04774515017776088,0.7369453667370967,0.8310596693261129,0.05022225533235958,,0.9999999999999999,1.0,1.0,1.0,,0.06705982604614705,0.8981872561249493,0.18475487944130395,,,,,0.25,,0.03605917257874676,0.5263157894736843,0.5454545454545454,0.0914227144001927,0.0914227144001927,0.7,2.176776686348474,1.0,1,1.6954245387323639,0.9862171998721447,2,0,0.5279054927085547,1.0,1,0,0.5111256967003683,0.9874103878854801,2,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,1.0
raw,gaus6,2920965834.8853016,0.6814633486000496,664.8099144316482,-32.11334827856661,698,127,42904.32585620574,,False,15.307796445611585,489521.1152296316,0.017508769532744897,2.5173153337425917e-07,0.3707159907072342,4108.0628706054895,,,,[],[],12,84538.39519923549,14697.850963884553,171711.05678790016,"[30, 72, 146, 203, 260, 309, 370, 405, 483, 573, 635, 670]","[171711.05678790016, 33662.37071327544, 48358.312635544884, 66153.09570555866, 166736.6148750059, 14697.850963884553, 38224.72534294961, 85881.62423437052, 112759.94464055137, 75459.4311856686, 38396.033946705895, 162419.68135941026]","[0, 55, 109, 165, 165, 300, 329, 329, 329, 541, 165, 165]","[165, 165, 165, 216, 541, 329, 383, 437, 541, 593, 646, 697]",2158658866377.6577,162577.65660130445,-162577.65660130445,0.0,,,,CWT,mdp.39015056038063,2158404190720.6577,,0.0,-84.0,87.0,0.0,-84.0,,161204.65660130445,83908.71843155872,952122.7423908258,83908.71843155872,,2785186.04267586,83908.71843155872,,,14686.850963884553,0.0,-88.5,170338.05678790016,161204.65660130445,,4079.0628706054895,0.16426451166930683,0.7514615071493134,0.9670669213159011,0.07152419211787518,0.873981285843647,0.7232410893440928,0.07195880774827966,,0.16580341462250966,0.850387874579483,0.850387874579483,0.8503878745794828,,0.04693166992955343,0.7963883614726899,0.26906014583297,,,,,0.25,,0.06897962919167668,1.0,0.5454545454545454,0.1407728182927404,0.1407728182927404,0.7,1.8566245965842831,0.8529237786438978,4,1.6871242876816759,0.9813889989334196,3,0,0.47680907334484823,0.9032091537795086,2,0,0.5176426164554881,1.0,1,1.2909944487358056,0.8709005551264195,2.5,1.9200000000000004,0.8104502775632098,2,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,1.75
raw,gaus4,3325062778.377183,0.6809669923064775,647.6087296223221,-33.455603718492696,698,127,47925.78899808765,,False,15.148481796397254,530085.0556250226,0.01398187071304705,3.3649298274884466e-07,0.3173598043843865,4841.38897345259,,,,[],[],12,78637.41489077381,10622.901050142038,187761.5657676063,"[31, 72, 123, 203, 259, 308, 370, 405, 483, 574, 635, 670]","[187761.5657676063, 31867.707682763517, 21870.934915539096, 57638.082827316, 155294.23098373367, 10622.901050142038, 32800.51679373486, 70576.79028657482, 111415.10479467614, 53493.32721296839, 35084.88496607829, 175222.93140815254]","[0, 55, 109, 165, 165, 300, 335, 335, 335, 541, 165, 165]","[165, 165, 165, 216, 541, 335, 383, 438, 541, 593, 647, 697]",2938881627940.0166,183085.14594422845,-183085.14594422845,0.0,,,,CWT,mdp.39015056038063,2938626952283.0166,,0.0,-88.5,87.0,0.0,-84.0,,181712.14594422845,78007.73812309705,881310.9786892858,78007.73812309705,,2785186.04267586,78007.73812309705,,,10611.901050142038,0.0,-88.5,186388.5657676063,181712.14594422845,,4812.38897345259,0.2331965916413457,0.6373112662171688,0.819032412226989,0.10790340700634247,0.8673407787503786,0.6199964408947957,0.09492599809861783,,0.02944433076650848,0.7016675905867703,0.7016675905867703,0.7016675905867702,,0.05542936977005013,0.6951962924456963,0.4025714784481977,,,,,0.25,,0.12008459091245428,0.5263157894736843,0.5454545454545454,0.20023904701022543,0.20023904701022543,0.7,1.704247648843158,0.7829225935445038,5,1.5487189339368876,0.9008795234013764,4,0,0.41642694736085,0.7888285935883421,6,0,0.48281527069080554,0.9327193228348165,5,0.816496580927726,0.9183503419072274,5.0,4.8979591836734695,0.7091751709536137,3,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,2.5
raw,morl,2126481745.2981448,0.6663470432958057,546.0804076147327,-29.190865230474135,698,127,30938.225439661783,,False,15.236522524894662,362429.69725905516,0.027600819819502142,1.8520900963184685e-08,0.5137432587086052,8439.315639311242,,,,[],[],13,88995.6342270542,10945.754380852148,139365.09632011753,"[25, 85, 146, 202, 259, 309, 368, 404, 482, 518, 574, 629, 670]","[139365.09632011753, 61927.95506872397, 110786.03362159492, 95703.67180712559, 120790.7923233349, 68381.29673044792, 58060.697827190976, 96623.5603262487, 116432.47896810742, 10945.754380852148, 87807.71084779917, 62899.1305373783, 127219.06619278298]","[0, 57, 108, 165, 108, 277, 327, 327, 437, 511, 540, 595, 595]","[595, 108, 165, 217, 595, 327, 384, 595, 595, 540, 595, 647, 697]",1105542398479.0771,114030.82366479932,-114030.82366479932,0.0,,,,CWT,mdp.39015056038063,1105287722822.0771,,0.0,-88.0,86.0,0.0,-88.0,,112657.82366479932,88365.95745937743,1094605.2449517045,88365.95745937743,,2785186.04267586,88365.95745937743,,,10934.754380852148,0.0,-83.5,137992.09632011753,112657.82366479932,,8410.315639311242,0.0,1.0,0.9008394907801369,0.0,0.6717476607304558,0.9999999999999999,0.0,,0.04024789530776112,0.962722066423856,0.962722066423856,0.9627220664238558,,0.09712173655732735,1.0,0.0,,,,,0.0,,0.0,0.5789473684210527,0.9999999999999999,0.0,0.0,0.43333333333333335,1.6716465001612344,0.7679457937255881,6,1.7191188096822507,1.0,1,0,0.4312726094922174,0.8169504114826738,5,0,0.5103695930729418,0.9859497206154553,3,2.217355782608345,0.7782644217391654,3.75,2.3529411764705883,0.7016322108695827,4,morl,4.0,4.0,,1,0.6956521739130435,,,3,3.75
raw,mexh,9702621655.381533,0.6161360918710376,876.7878878205775,-39.184478873451106,698,127,103784.75994027143,,False,15.127490662502305,831922.7114459442,0.01275757758997043,2.847048616347609e-08,0.1895310804715827,86355.01173397023,,,,[],[],11,59139.00068492001,9742.987737994119,259583.42284946796,"[41, 87, 124, 202, 239, 292, 372, 483, 527, 582, 629]","[14393.723124284268, 259583.42284946796, 10989.617958037212, 24976.35965220003, 38024.21596770045, 9742.987737994119, 20732.68807501038, 13504.110772648215, 23155.1041134611, 24237.68634888431, 211189.09093443202]","[0, 0, 110, 179, 217, 280, 336, 336, 336, 336, 336]","[51, 336, 336, 336, 336, 336, 382, 489, 540, 591, 697]",10977290273879.137,239097.29925827263,-239097.29925827263,0.0,,,,CWT,mdp.39015056038063,10977035598222.137,,0.0,-93.5,88.0,0.0,-89.0,,237724.29925827263,58509.32391724324,588191.0075341201,58509.32391724323,,2785186.04267586,58509.32391724324,,,9731.987737994119,0.0,-84.5,258210.42284946796,237724.29925827263,,86326.01173397023,1.0,0.15010707262143197,0.7995275379628659,0.6820492613291794,0.0,0.37264683494201195,0.2658256402085011,,0.0,0.2102560713949576,0.2102560713949576,0.21025607139495728,,1.0,0.27631933184149543,1.0,,,,,0.5,,0.6466041778623068,0.0,0.909090909090909,0.3626592957415054,0.3626592957415054,0.3666666666666667,2.159998361646389,0.992292124034905,2,1.3862416332790872,0.8063675561407591,6,0,0.43248342079494745,0.8192440252439508,4,0,0.46716519243771304,0.9024859576604902,6,1.9148542155126762,0.8085145784487324,4.5,3.6923076923076925,0.6792572892243662,5,mexh,5.0,5.0,,1,0.8695652173913043,,,2,4.25
raw,gaus2,5576371620.189223,0.6655912280305936,711.499261237069,-36.60191101625845,698,127,70396.59067300295,,False,15.038513779392819,645376.4612588728,0.013881590907318168,3.844245874600883e-07,0.2528838425192612,41903.11802466608,,,,[],[],12,70660.48937026736,12223.162921854542,218212.68243749655,"[39, 77, 123, 202, 258, 292, 371, 420, 483, 582, 634, 669]","[37118.6352227008, 218212.68243749655, 12223.162921854542, 56433.39011190164, 89450.38721778525, 18680.879919145693, 26246.582603476745, 48696.22719950508, 73029.58854926153, 36617.75897553857, 37969.810136290005, 193246.76714825188]","[0, 0, 109, 165, 165, 277, 334, 334, 334, 334, 334, 334]","[54, 334, 334, 217, 334, 334, 383, 436, 539, 592, 647, 697]",6064859353490.28,212789.78472361615,-212789.78472361615,0.0,,,,CWT,mdp.39015056038063,6064604677833.28,,0.0,-93.0,87.0,0.0,-79.5,,211416.78472361615,70030.8126025906,785587.8724432082,70030.8126025906,,2785186.04267586,70030.8126025906,,,12212.162921854542,0.0,-84.0,216839.68243749655,211416.78472361615,,41874.11802466608,0.5416642741325045,0.3697379523728957,0.7168505884398239,0.31057964461622206,0.6616359794747964,0.4952349375910141,0.16020367164661342,,0.08299351477500544,0.5006280061812257,0.5006280061812257,0.5006280061812256,,0.4848964892743098,0.5584051906796392,0.6558699359213669,,,,,0.25,,0.3248376177074583,0.05263157894736842,0.9545454545454545,0.28637454678240204,0.28637454678240204,1.0,2.002735398849235,0.9200463287801967,3,1.4248870056764813,0.828847312734509,5,0,0.45991520671136327,0.8712074662297037,3,0,0.4651295783248387,0.8985534875582157,7,1.9148542155126762,0.8085145784487324,4.5,3.9622641509433962,0.6792572892243662,6,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,4.75
raw,gaus5,3082688380.877591,0.6791282178552895,664.7536826405851,-32.91875466786064,698,127,45341.62727289076,,False,15.282020892948239,531124.0075878383,0.015477271637116223,1.9075784818174476e-07,0.010178810014472902,0.0,,,,[],[],12,76457.10465902805,9904.062908011958,221485.4060471,"[48, 101, 156, 210, 267, 322, 378, 427, 487, 532, 585, 641]","[40347.70823379399, 221485.4060471, 53923.01660051152, 65603.1016388698, 152761.15012984487, 54575.45106934216, 38813.40173044632, 83866.72818666798, 9904.062908011958, 114081.59482620952, 47998.56228551968, 34125.07225201874]","[7, 7, 119, 194, 228, 284, 363, 395, 395, 395, 556, 610]","[61, 610, 610, 228, 610, 610, 395, 451, 495, 610, 610, 654]",2575538878659.563,207070.589636084,-207070.589636084,0.0,,,,CWT,mdp.39015056038063,2575284203002.563,,0.0,-93.0,87.0,0.0,-88.5,,205697.589636084,75827.42789135128,855147.2559083365,75827.42789135127,,2785186.04267586,75827.42789135128,,,9893.062908011958,0.0,-93.0,220112.4060471,205697.589636084,,29.0,0.1977225400215632,0.6829668446197544,0.9431163850417357,0.08608341942141388,0.842740718382131,0.025598753209110703,0.09551424981337375,,0.005390020265404905,0.6467180161249674,0.6467180161249674,0.6467180161249669,,0.0,0.6578075719385784,0.6830931031711991,,,,,0.25,,0.09628546813844432,0.05263157894736842,0.13636363636363635,0.269790412202688,0.269790412202688,0.4,1.609071978628379,0.7391993807723036,8,1.3692382595717427,0.7964768065243976,7,0,0.340093303686065,0.6442314171446275,7,0,0.4105347015012976,0.7930852067636887,9,0.9574271077563381,0.9042572892243662,7.75,7.665399239543728,0.5646286446121831,7,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,5.5
raw,gaus3,3902232557.266037,0.6908828373530672,717.3095677936324,-34.670958339494064,698,127,52045.2452139928,,False,15.108345073395895,664462.097778121,0.015422962292485024,2.2976963338970156e-07,0.02597322641894692,0.0,,,,[],[],12,65447.72017857414,10147.505642316399,212468.3462891,"[50, 101, 156, 210, 267, 322, 377, 427, 485, 532, 586, 642]","[21509.24625895734, 53436.72732884724, 212468.3462891, 55686.947329906514, 134550.79769605878, 41651.50844884779, 28956.327912747223, 72235.15450448396, 10147.505642316399, 86948.48290870429, 49944.55499156539, 17837.04283135466]","[7, 7, 7, 194, 227, 289, 363, 395, 451, 451, 556, 609]","[61, 120, 609, 227, 609, 609, 395, 451, 495, 609, 609, 652]",3856199700387.3115,259686.14273078638,-259686.14273078638,0.0,,,,CWT,mdp.39015056038063,3855945024730.3115,,0.0,-84.0,87.0,0.0,-93.0,,258313.14273078638,64818.04341089737,723034.6421428897,64818.043410897364,,2785186.04267586,64818.04341089737,,,10136.505642316399,0.0,-93.0,211095.3462891,258313.14273078638,,29.0,0.28974638147205717,0.5339531283556147,0.78173753623633,0.15986366988754047,1.0,0.05616107562238726,0.17100990601690022,,0.013536286826670671,0.3692524593986983,0.3692524593986983,0.369252459398698,,0.0,0.4690148059818265,0.6080874029729142,,,,,0.25,,0.18016936065734424,1.0,0.13636363636363635,0.42236142965422907,0.42236142965422907,0.10000000000000003,1.3676048198109272,0.628270611490733,10,1.3689647871726363,0.7963177294451601,8,0,0.3364036950219247,0.6372422709525509,9,0,0.42749595679869,0.8258515493294014,8,0.9574271077563381,0.9042572892243662,8.75,8.674698795180722,0.514628644612183,8,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,6.25
raw,gaus7,2816554354.94283,0.6655686663808857,652.4494267357383,-31.759815343971706,698,127,40274.0096687569,,False,15.34323900498775,487322.2053528174,0.01899186202824684,1.9019348652444008e-07,-0.00305046497820305,2322.5038190118403,,,,[],[],12,83406.29705712904,10518.281464158637,192678.43174525225,"[48, 101, 156, 210, 267, 322, 378, 427, 486, 532, 586, 641]","[59908.75599292208, 192678.43174525225, 70546.67926766677, 75284.93311404758, 156048.45822124628, 58644.14140934036, 46050.929515133015, 94245.78585792231, 10518.281464158637, 123379.10739443454, 62346.23333218466, 51223.827371240004]","[8, 8, 119, 194, 227, 289, 363, 395, 451, 451, 553, 612]","[64, 612, 227, 227, 612, 451, 395, 451, 495, 612, 612, 654]",1971992036781.962,179245.60177585398,-179245.60177585398,0.0,,,,CWT,mdp.39015056038063,1971737361124.962,,0.0,-93.0,87.0,0.0,-93.0,,177872.60177585398,82776.62028945227,938537.5646855484,82776.62028945227,,2785186.04267586,82776.62028945227,,,10507.281464158637,0.0,-93.0,191305.43174525225,177872.60177585398,,2293.5038190118403,0.12815687517732213,0.7815272222591578,1.0,0.06212444849985305,0.6613341382432842,0.0,0.07071379108540711,,0.025943470338756956,0.8218560123463102,0.8218560123463102,0.8218560123463101,,0.026240813830178476,0.7769747475724545,0.4434709495986759,,,,,0.25,,0.056752863130757926,0.05263157894736842,0.13636363636363635,0.1891053968656638,0.1891053968656638,0.10000000000000003,1.6137148195567057,0.741332277985621,7,1.3312447918900945,0.7743762585764227,10,0,0.3365826350394349,0.6375812331720803,8,0,0.38626521075214637,0.7462005609141363,10,1.5,0.85,8.75,8.549618320610687,0.4875,9,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,7.0
raw,gaus1,13234388959.095264,0.6495611759131827,583.0568368029283,-40.94953896576634,698,127,95216.8146497003,,False,14.267039609354645,2128598.731286927,0.020955767911695164,3.2133516057500007e-07,0.028144491312824066,321.5779235676699,,,,[],[],9,50796.37986867041,15597.057760736905,152246.35158409824,"[102, 156, 210, 267, 321, 377, 427, 533, 587]","[15597.057760736905, 64004.19785889036, 46677.98746117786, 152246.35158409824, 27395.816888110923, 17717.586092856935, 50103.2129774372, 50459.125510147096, 32966.08268457821]","[6, 6, 193, 6, 289, 363, 395, 451, 451]","[111, 193, 226, 451, 451, 451, 451, 552, 606]",16372607186146.176,458890.2469914734,-458890.2469914734,0.0,,,,CWT,mdp.39015056038063,16372352510489.176,,0.0,-90.0,90.0,0.0,-94.5,,457517.2469914734,50166.70310099364,394829.4188180337,50166.70310099365,,2785186.04267586,50166.70310099364,,,15586.057760736905,0.0,-94.5,150873.35158409824,457517.2469914734,,292.5779235676699,0.8823836253940204,0.0,0.0,1.0,0.4471777844853609,0.06036249060550147,0.9999999999999999,,0.19589335869823057,0.0,0.0,0.0,,0.003054311131655489,0.0,0.1071488485645809,,,,,1.0,,1.0,0.368421052631579,0.0,1.0,1.0,0.0,1.4507116927207453,0.6664494809315066,9,1.367731197654551,0.7956001586111157,9,0,0.33389411221614623,0.632488422317822,10,0,0.4842748429264119,0.9355389752150641,4,2.70801280154532,0.729198719845468,8.0,6.990291262135923,0.464599359922734,10,gaus,5.75,6.5,3.370036032024414,8,1.0,1.0,0.0,1,7.75
