signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,morl,2265907046.282258,0.6351214091623332,378.0816268823421,-30.13730271227633,907,127,25998.34093541199,,False,15.289497693969805,298065.82047872624,0.03402659830695986,4.1132124227729425e-07,0.5451512368097768,2560.355119842895,,,,[],[],13,74144.24572978173,24273.504522709456,136630.62468264007,"[16, 89, 163, 259, 339, 400, 475, 548, 615, 683, 751, 826, 890]","[131884.73348473522, 39275.81558979464, 74547.939174523, 61487.90344476892, 35605.99125106825, 87248.98118341289, 55692.98125060849, 96866.8277607635, 69890.38130733215, 117368.30451221939, 33101.20632258658, 24273.504522709456, 136630.62468264007]","[0, 71, 140, 211, 318, 318, 456, 318, 595, 318, 731, 799, 799]","[799, 105, 318, 318, 353, 526, 526, 664, 664, 799, 799, 835, 906]",1248789742434.6626,135184.32783551808,-135184.32783551808,0.0,,,,CWT,mdp.39015056038071,1248371860942.1025,,0.0,-78.0,76.0,0.0,-69.0,,134036.32783551808,73807.22550506263,933880.3944871625,73807.22550506263,,0.0,73807.22550506263,,,24272.104522709455,0.0,-78.0,135482.62468264007,134036.32783551808,,1860.155119842895,0.0,1.0,0.9672700175769058,0.0,0.30016611295680945,0.9999999999999999,0.0,,1.0000000000000002,0.7411845803343058,0.7411845803343058,0.7411845803343052,,0.015908454393251573,0.9999999999999999,0.04227874070799281,,,,,0.0,,0.0,0.3953488372093023,1.0,0.0,0.0,1.0,1.8356946035724273,0.5997755573691975,2,1.6037014539711765,1.0,1,0,0.4769349838081047,0.7647832135751352,2,0,0.46677659007624506,0.8347818828592694,4,1.2583057392117916,0.8741694260788209,2.25,1.7777777777777777,0.8245847130394104,1,morl,1.0,1.0,,1,0.14285714285714285,,,3,1.5
smoothed,gaus1,18708733017.16183,0.6672078063009489,588.8767791041018,-42.78007413287647,907,127,97358.61320091333,,False,14.335144850167364,2328049.630380538,0.02338986175122765,2.4201041699964497e-06,-0.036122672615262516,0.0,,,,[],[],5,62610.53735443505,23412.2227352209,132109.64081785994,"[136, 206, 277, 451, 587]","[23412.2227352209, 83968.7091666989, 23774.57788914128, 132109.64081785994, 49787.53616325426]","[2, 2, 252, 2, 536]","[145, 326, 326, 672, 672]",22670879149821.13,549457.1630454762,-549457.1630454762,0.0,,,,CWT,mdp.39015056038071,22670461268328.57,,0.0,-86.5,84.0,0.0,-86.5,,548309.1630454762,62273.51712971595,283057.88677217526,62273.517129715954,,0.0,62273.51712971595,,,23410.8227352209,0.0,-86.5,130961.64081785994,548309.1630454762,,700.2,1.0000000000000002,0.0,0.0,1.0,0.9141196013289035,0.0,1.0,,0.9527077788181884,0.23683228225051317,0.23683228225051317,0.23683228225051334,,0.0,0.0,0.0,,,,,1.0,,0.9999999999999999,0.0,0.0,0.9999999999999999,0.9999999999999999,0.0,1.7989613876709183,0.5877737325567178,3,1.5656478405315615,0.9762713855840285,4,0,0.4045146161121234,0.6486544257630211,3,0,0.5591599430469864,1.0,1,1.2583057392117916,0.8741694260788209,2.75,2.0869565217391304,0.7995847130394105,2,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,1.75
smoothed,gaus8,2849474009.160648,0.6431430084469871,451.7026445080127,-32.163606923579266,907,127,32750.05993290605,,False,15.321790591749613,372931.6321346205,0.02568038479396345,1.1302670483826051e-06,0.4307413044855335,2343.1186676801767,,,,[],[],13,73413.74010526482,10631.416724820983,153459.73753149042,"[18, 87, 194, 258, 339, 400, 475, 549, 615, 682, 749, 828, 887]","[145377.50007138916, 19866.286378365134, 47554.82748574778, 88555.3934887778, 26807.684996112377, 99787.53700392084, 47620.192316355155, 109612.97046661153, 58377.734622199394, 134122.71302984864, 12604.62725280338, 10631.416724820983, 153459.73753149042]","[0, 71, 140, 140, 318, 318, 457, 318, 595, 318, 731, 798, 798]","[798, 140, 211, 318, 353, 491, 491, 629, 629, 798, 798, 834, 906]",1985402124155.39,160712.45230942254,-160712.45230942254,0.0,,,,CWT,mdp.39015056038071,1984984242662.8298,,0.0,-73.5,76.0,0.0,-73.5,,159564.45230942254,73076.71988054572,924383.8213684426,73076.71988054572,,0.0,73076.71988054572,,,10630.016724820984,0.0,-82.5,152311.73753149042,159564.45230942254,,1642.9186676801767,0.09461453527494645,0.8397262638157585,1.0,0.03549067319157263,0.45365448504983347,0.8031738041753659,0.0368800043087612,,0.2509250248972558,0.7092406314760388,0.7092406314760388,0.7092406314760382,,0.01292911826837594,0.9854083517300869,0.1996590189312807,,,,,0.0,,0.03438564594295544,0.6046511627906976,0.47058823529411764,0.061621526453614836,0.061621526453614836,0.7428571428571429,1.6105291221953166,0.5262073549947703,4,1.5674487728813098,0.9773943703797887,3,0,0.3965977605748042,0.6359594496660754,4,0,0.4662199665451769,0.8337864189710033,5,0.816496580927726,0.9183503419072274,4.0,3.8709677419354844,0.7591751709536136,3,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,2.5
smoothed,gaus6,3016853940.117328,0.6542725433852191,463.30193312745314,-32.94401243874753,907,127,35368.69123373418,,False,15.254936622263243,388758.7638545717,0.021939534121711356,1.2976267308794974e-06,0.3727802405529078,2218.1960025883927,,,,[],[],13,70606.31256627709,6061.59216237823,159103.508535635,"[19, 86, 194, 258, 339, 400, 474, 549, 614, 682, 749, 829, 885]","[151601.15982090545, 11621.815618928897, 42475.13559500793, 81467.5999436938, 21317.828391185387, 110398.62280444121, 40828.13032372243, 101841.2822346908, 53983.47180425172, 130018.22682883043, 7163.689297930926, 6061.59216237823, 159103.508535635]","[0, 71, 140, 140, 318, 318, 457, 491, 595, 318, 731, 798, 798]","[798, 318, 211, 318, 352, 629, 491, 629, 629, 798, 798, 834, 906]",2375210379561.483,174180.22490600735,-174180.22490600735,0.0,,,,CWT,mdp.39015056038071,2374792498068.923,,0.0,-69.0,76.0,0.0,-73.5,,173032.22490600735,70269.29234155799,887887.2633616022,70269.29234155799,,0.0,70269.29234155799,,,6060.19216237823,0.0,-82.5,157955.508535635,173032.22490600735,,1517.9960025883927,0.1313104617014224,0.7779988553856204,0.932241161473865,0.04567018438101853,0.6666112956810635,0.7034599464005395,0.044676683101345614,,0.0,0.5864759069908294,0.5864759069908294,0.586475906990829,,0.01121583946448114,0.9293307613360816,0.25243769234314,,,,,0.0,,0.05258220221685862,0.8139534883720929,0.47058823529411764,0.0941309537004175,0.0941309537004175,0.7428571428571429,1.4652895463902438,0.47875330280056155,7,1.5610472947424203,0.9734026809521601,5,0,0.37290392787551707,0.5979654963414787,5,0,0.4717097983035537,0.8436044179651041,3,1.632993161855452,0.8367006838144548,5.0,4.565217391304348,0.6683503419072274,4,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,3.25
smoothed,gaus2,6349365996.347473,0.6457908307216835,542.4990747755062,-37.572679163244715,907,127,64146.26658530255,,False,15.078089789216728,583198.45727267,0.014950669922653209,2.1687718734931576e-06,0.17642575649831904,41623.04488158179,,,,[],[],12,62729.74211292716,8567.620492569717,183218.62461868423,"[58, 113, 189, 258, 341, 400, 473, 549, 615, 683, 777, 858]","[182482.18610188094, 10414.857413488222, 21476.793683663393, 22942.420833630746, 8567.620492569717, 135409.2151618321, 19822.160749759714, 67750.65566280934, 41953.64027840856, 32846.24406884167, 25872.486289557317, 183218.62461868423]","[0, 106, 177, 247, 283, 283, 457, 526, 595, 526, 765, 526]","[526, 526, 283, 283, 352, 526, 526, 595, 629, 797, 797, 906]",6898992270770.381,206085.1088928446,-206085.1088928446,0.0,,,,CWT,mdp.39015056038071,6898574389277.821,,0.0,-65.0,77.0,0.0,-78.5,,204937.1088928446,62392.721888208056,722762.1053551259,62392.72188820806,,0.0,62392.721888208056,,,8566.220492569717,0.0,-83.0,182070.62461868423,204937.1088928446,,40922.84488158179,0.53458212025815,0.4118871405953622,0.7530007050533957,0.24834289174482937,0.5043189368770765,0.365659675528567,0.14046054722364282,,0.13760379912930293,0.24204493302435515,0.24204493302435515,0.2420449330243553,,0.5516421288448328,0.6756131101346435,0.47795425478014575,,,,,0.125,,0.26375590265193716,1.0,0.4117647058823529,0.17114513680674528,0.17114513680674528,0.45714285714285713,1.5946673744059954,0.5210248542657953,5,1.312354382685489,0.8183283612019948,6,0,0.36920727366090217,0.5920377720484191,6,0,0.42260743104014636,0.755789888555437,7,0.816496580927726,0.9183503419072274,6.0,5.915492957746478,0.6591751709536138,5,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,4.0
smoothed,gaus4,3602675555.8221846,0.6716960820911719,485.4881055481475,-34.22014279380202,907,127,41370.62364653637,,False,15.157344355506451,446311.0768150769,0.016382138529509538,1.5938447478735706e-06,0.291964979001178,1585.3140282086763,,,,[],[],12,71661.51838209752,7315.387177985816,166935.5947913279,"[21, 85, 157, 258, 340, 400, 474, 549, 614, 682, 750, 884]","[161958.5146834804, 7315.387177985816, 48090.832494656504, 40827.73734153992, 14767.572651279364, 131235.5416796883, 31685.045492389796, 87641.66283861583, 49869.63759140543, 110310.44112674761, 9300.252716053152, 166935.5947913279]","[0, 71, 140, 211, 318, 318, 457, 492, 595, 629, 731, 318]","[318, 318, 318, 318, 352, 798, 492, 629, 629, 798, 798, 906]",3185843061232.1406,188408.9078367649,-188408.9078367649,0.0,,,,CWT,mdp.39015056038071,3185425179739.5806,,0.0,-74.0,77.0,0.0,-78.5,,187260.9078367649,71324.49815737842,829943.4205851702,71324.4981573784,,0.0,71324.49815737842,,,7313.987177985817,0.0,-83.0,165787.5947913279,187260.9078367649,,885.1140282086762,0.21541793806406218,0.6770613067580179,0.8333279825650034,0.08129797833458545,1.0,0.5644286562611502,0.07302780229735979,,0.06884477537562583,0.6326185231244215,0.6326185231244215,0.6326185231244204,,0.002536043277974914,0.8402990482506343,0.3256807637433025,,,,,0.125,,0.09042317404060363,0.5813953488372092,0.4117647058823529,0.12847711816361795,0.12847711816361795,0.45714285714285713,1.5116150422468992,0.49388920832850614,6,1.5831577293472279,0.9871898073216326,2,0,0.3612783230179329,0.5793234009939181,7,0,0.49208023775431137,0.8800348520547756,2,2.6299556396765835,0.7370044360323417,4.25,3.0545454545454547,0.6560022180161709,6,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,4.75
smoothed,mexh,11228134988.250927,0.6194341473578207,690.5614741468843,-40.233394989882015,907,127,90732.57102784594,,False,15.219985672195737,770947.196533911,0.0128549402821779,7.692244187745031e-07,0.08742195095570952,74314.78194869215,,,,[],[],8,80062.92912789156,10349.129129088493,239042.43467766963,"[87, 153, 399, 466, 549, 721, 779, 856]","[239042.43467766963, 11509.444034446584, 102425.99878181992, 10349.129129088493, 42217.301413392976, 11206.276034183058, 17548.624696630868, 206204.22425590098]","[0, 142, 283, 458, 527, 527, 527, 527]","[527, 527, 527, 527, 595, 730, 797, 906]",12714472404442.727,242735.18044756496,-242735.18044756496,0.0,,,,CWT,mdp.39015056038071,12714054522950.166,,0.0,-80.5,81.0,0.0,-71.5,,241587.18044756496,79725.90890317246,610508.6330231325,79725.90890317247,,0.0,79725.90890317246,,,10347.729129088493,0.0,-85.0,237894.43467766963,241587.18044756496,,73614.58194869215,0.9071466242671458,0.20143361437705787,0.8968171500029837,0.5450539924123063,0.0,0.21254114724188258,0.2329483485279903,,0.23542486268763732,1.0,1.0,1.0,,1.0,0.5031337152131141,0.9999999999999999,,,,,0.625,,0.5352270940506216,0.27906976744186046,0.1764705882352941,0.25961357702234783,0.25961357702234783,0.8571428571428571,3.060635901243385,1.0,1,1.2921355254219726,0.8057207419886746,7,0,0.62362114562972,1.0,1,0,0.42799155383276677,0.7654188379456262,6,3.2015621187164243,0.6798437881283576,3.75,1.731958762886598,0.6524218940641788,7,mexh,7.0,7.0,,1,1.0,,,2,5.75
smoothed,gaus7,2787295745.2273655,0.6419189332314718,440.815948644111,-32.29752890440912,907,127,33320.95876253608,,False,15.3161271530746,370560.658533583,0.024713662178416754,1.1416588541566143e-06,-0.029865041864582005,3768.2363131429274,,,,[],[],11,70493.14289779654,9926.911169549916,171813.91022397514,"[62, 132, 206, 277, 348, 417, 484, 588, 694, 758, 830]","[171813.91022397514, 27194.310858580233, 40504.33216116855, 84770.17022017139, 30779.516465467736, 102912.0716028355, 33889.484434803235, 120530.84568814616, 22117.783218249206, 130985.2358328148, 9926.911169549916]","[2, 110, 183, 147, 326, 326, 462, 531, 672, 672, 823]","[844, 147, 217, 326, 360, 531, 531, 844, 702, 844, 844]",2027381643368.6018,207806.68622987813,-207806.68622987813,0.0,,,,CWT,mdp.39015056038071,2026963761876.0417,,0.0,-83.5,78.0,0.0,-83.5,,206658.68622987813,70156.12267307744,745429.7718757619,70156.12267307744,,0.0,70156.12267307744,,,9925.511169549916,0.0,-83.5,170665.91022397514,206658.68622987813,,3068.0363131429276,0.10261476861915174,0.829133492944995,0.9942599066348468,0.03170919037083362,0.43023255813953437,0.010765373517056975,0.03571202770250826,,0.21224124796421912,0.5815271619286124,0.5815271619286124,0.581527161928612,,0.03247420124618362,0.7104423704197885,0.3713011506850557,,,,,0.25,,0.03634528295197367,0.13953488372093023,0.3529411764705882,0.17530079749871655,0.17530079749871655,0.17142857142857143,1.4159819620808705,0.46264306104023256,8,1.2319330585992225,0.7681810448875257,9,0,0.31227799754789864,0.5007495331681973,8,0,0.34777533113270387,0.6219603808484547,9,0.5773502691896257,0.9422649730810374,8.5,8.470588235294118,0.5461324865405187,8,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,6.25
smoothed,gaus5,3034753528.449172,0.6230195591592947,434.2704117829069,-33.13918944829982,907,127,34485.937617037474,,False,15.238758019407177,401404.14953067835,0.02011403376308652,1.2825097255279057e-06,-0.013799013429299326,3692.527123389706,,,,[],[],11,64471.6808344923,10764.922331138188,179869.06720330624,"[97, 171, 277, 383, 451, 519, 588, 658, 727, 782, 831]","[179869.06720330624, 44321.88531237004, 53896.06568501536, 30034.966574559712, 117549.56693208974, 22385.50252312087, 108660.33304702445, 12820.499914584518, 115475.02225387728, 10764.922331138188, 13410.65740232887]","[2, 148, 217, 326, 326, 501, 532, 650, 672, 772, 809]","[843, 217, 326, 392, 843, 532, 843, 672, 843, 843, 843]",2461274731032.8076,233665.5278754018,-233665.5278754018,0.0,,,,CWT,mdp.39015056038071,2460856849540.2476,,0.0,-83.5,78.0,0.0,-83.5,,232517.5278754018,64134.66060977319,679193.6891794152,64134.66060977321,,0.0,64134.66060977319,,,10763.522331138189,0.0,-83.5,178721.06720330624,232517.5278754018,,2992.327123389706,0.11894008265616943,0.7625610211434963,0.9158435810919535,0.04675878000098947,0.06860465116279058,0.03840471561512948,0.050905986810284215,,0.2582556996597813,0.3182173806666438,0.3182173806666438,0.3182173806666442,,0.03143587125243155,0.6086694877810196,0.4466303054613867,,,,,0.25,,0.05659975390542776,0.13953488372093023,0.3529411764705882,0.23772063159770623,0.23772063159770623,0.17142857142857143,1.2141616346419957,0.3967024088519454,9,1.0376859594647019,0.6470568177731117,10,0,0.26754208249110584,0.42901380808847855,9,0,0.28600268835440185,0.5114863679181127,10,0.5773502691896257,0.9422649730810374,9.5,9.473684210526317,0.4961324865405187,9,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,7.0
smoothed,gaus3,4188289733.386718,0.6563647570514546,548.4577368255974,-35.15232614842979,907,127,43905.6587714257,,False,15.100107317338786,548970.2988220133,0.018237887100856734,1.53559837178452e-06,-0.004246407285921421,0.0,,,,[],[],11,57194.57218936428,10157.049178181675,175017.5676297513,"[132, 202, 276, 383, 451, 519, 587, 658, 727, 785, 832]","[175017.5676297513, 28066.955446504617, 30947.798391842785, 23025.905537785227, 137188.6507347076, 16265.36560773674, 81908.31787779971, 10157.049178181675, 97822.421315496, 13467.350392930723, 15272.91197027071]","[2, 184, 252, 327, 327, 502, 533, 650, 672, 771, 808]","[808, 327, 327, 392, 808, 533, 808, 672, 808, 808, 841]",3913519745051.862,290945.62039236474,-290945.62039236474,0.0,,,,CWT,mdp.39015056038071,3913101863559.302,,0.0,-83.5,78.0,0.0,-83.5,,289797.62039236474,56857.55196464517,599145.494083007,56857.55196464517,,0.0,56857.55196464517,,,10155.649178181675,0.0,-83.5,173869.5676297513,289797.62039236474,,700.2,0.25094239788475253,0.6033287900798413,0.775316240603926,0.11691315656499807,0.706644518272425,0.05483863082874496,0.12359925094940688,,0.2248779224703539,0.0,0.0,0.0,,0.0,0.4856740563884355,0.40126069153438776,,,,,0.25,,0.12439169457010968,0.13953488372093023,0.3529411764705882,0.3759872222321917,0.3759872222321917,0.17142857142857143,0.9070548071853155,0.29636155245281676,10,1.2374276520180234,0.7716072395855443,8,0,0.20729167436055437,0.33240000890482224,10,0,0.37594042645487075,0.672330754607149,8,1.1547005383792515,0.8845299461620748,9.0,8.88888888888889,0.4922649730810374,10,gaus,5.875,5.5,2.900123150094541,8,0.8392857142857143,1.0,0.11249999999999998,1,7.75
