wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,max_autocorrelation_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
sym8,1,antireflect,8.835783696627209e-22,272.0158246322834,410343.92209726205,0.6744186046511628,34.49953968453402,71,smoothed,1.611233368947751e-11,,3.6123070630480916,17233.73468230141,0.6661618048999709,1.7208017008188113e-05,1.0,20,61.51333333333154,1.9999999999886455,544.6666666666732,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666732, 33.73333333335081, 11.333333333329609, 10.466666666654845, 41.266666666664136, 10.0666666666503, 52.73333333330962, 1.9999999999886455, 41.13333333331069, 52.86666666665798, 66.39999999998943, 10.533333333308882, 5.733333333355041, 134.93333333331788, 16.86666666665363, 96.33333333330577, 34.60000000000089, 2.9333333333216363, 19.466666666673945, 42.200000000113654]","[4, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644443341,640.8666666666263,-640.8666666666263,DWT,mdp.39015056038089,62.020000000001765,285.26666666666006,4.035882739117369e-11,0.0,-14.5,0.0,-14.5,62.020000000001765,128.6000000000356,78.46787878788322,4.035882739117369e-11,0.0,-14.5,26936165.226666775,0.0,9.0,1.5999999999886683,0.0,0.260699644314189,0.5288751915074716,0.5499654606499242,0.6087551299589603,0.6501664427833398,,0.7476525821596244,0.3738262910798122,0.7476525821596244,107,1.1994087417641315,0.6798725359036308,168,0,0,0.7476525821596244,0.7476525821596244,103,0,0,0.5196923738427771,0.7154331135248961,92,34.25881881598761,0.9471314524444636,117.5,111.49366313109331,0.8829021459753182,1,sym,476.90849673202615,536.0,193.69103039706815,153,1.0,1.0,0.0,6,2.25
sym8,1,reflect,9.075291200313948e-22,271.899669696545,410343.27766416926,0.6744186046511628,34.49953968453402,71,smoothed,1.7175456675053742e-11,,3.6123127360792795,17210.370323132323,0.66712883199087,1.720801700818811e-05,1.0,20,61.513333333331445,1.9999999999886455,544.6666666666715,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666715, 33.73333333335081, 11.333333333329609, 10.466666666654845, 41.266666666664136, 10.0666666666503, 52.73333333330962, 1.9999999999886455, 41.13333333331069, 52.86666666665798, 66.39999999998943, 10.533333333308882, 5.733333333355041, 134.93333333331788, 16.86666666665363, 96.33333333330577, 34.60000000000089, 2.9333333333216363, 19.466666666673945, 42.200000000113654]","[4, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644443335,640.8666666666261,-640.8666666666261,DWT,mdp.39015056038089,62.02000000000186,285.26666666666176,4.058620106661692e-11,0.0,-14.5,0.0,-14.5,62.02000000000186,128.60000000003743,78.46787878788331,4.058620106661692e-11,0.0,-14.5,26936165.226666775,0.0,9.0,1.5999999999886683,0.0,0.25956843623711123,0.528877600941355,0.5499637978109473,0.6087551299589603,0.6486415619421328,,0.7476525821596244,0.3738262910798122,0.7476525821596244,105,1.1981204378788552,0.6791422740679459,169,0,0,0.7476525821596244,0.7476525821596244,105,0,0,0.5191613053781015,0.7147020195464174,94,34.22839951463307,0.9471783958107515,118.25,112.34984087426541,0.8823469139547584,2,sym,476.90849673202615,536.0,193.69103039706815,153,1.0,1.0,0.0,6,3.0
bior6.8,1,reflect,4.248355135028382e-22,275.1960672506008,441938.98854319187,0.6363636363636364,33.47451724800934,71,smoothed,9.561053044743738e-12,,3.5681735321811487,17904.676515978696,0.7043321198047041,1.7208017008189936e-05,0.9999999999999999,20,61.51333333332094,1.999999999995616,544.6666666665716,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666665716, 33.73333333332375, 11.333333333325672, 10.46666666666048, 41.26666666665784, 10.066666666666872, 52.73333333331654, 1.999999999995616, 41.13333333332153, 52.8666666666508, 66.39999999998076, 10.533333333330619, 5.733333333336155, 134.93333333330935, 16.866666666665928, 96.33333333330923, 34.59999999999119, 2.933333333333369, 19.46666666666052, 42.20000000001098]","[1, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644441893,640.8666666665541,-640.8666666665541,DWT,mdp.39015056038089,62.02000000001236,285.2666666667617,1.1254996934439987e-10,0.0,-14.5,0.0,-14.5,62.02000000001236,128.60000000024752,78.46787878788426,1.1254996934439987e-10,0.0,-14.5,26936165.22666692,0.0,9.0,1.5999999999956387,0.0,0.29167134701488195,0.5101309221487696,0.6314906159388947,0.41176470588235303,0.6939556321351479,,0.7629107981220657,0.3814553990610329,0.7629107981220657,74,1.1881017124597617,0.6734632623849205,183,0,0,0.7629107981220657,0.7629107981220657,64,0,0,0.5078026446240095,0.6990651496637904,111,53.932056021133356,0.9167715184859053,108.0,91.71786867030002,0.8750524259096193,3,bior,260.962962962963,240.0,156.7999203951694,135,0.547197134777822,0.8095363015712619,0.37410111518414607,2,2.75
bior6.8,1,antireflect,4.2959481080006385e-22,275.14768512107867,442493.87826249085,0.6363636363636364,33.47451724800934,71,smoothed,9.724728672001344e-12,,3.560639002931886,17899.468717198677,0.7036774187433167,1.7208017008189933e-05,0.9999999999999998,20,61.51333333332093,1.999999999995616,544.6666666665714,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666665714, 33.73333333332375, 11.333333333325672, 10.46666666666048, 41.26666666665784, 10.066666666666872, 52.73333333331654, 1.999999999995616, 41.13333333332153, 52.8666666666508, 66.39999999998076, 10.533333333330619, 5.733333333336155, 134.93333333330935, 16.866666666665928, 96.33333333330923, 34.59999999999119, 2.933333333333369, 19.46666666666052, 42.20000000001098]","[0, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644441895,640.8666666665542,-640.8666666665542,DWT,mdp.39015056038089,62.020000000012374,285.2666666667619,1.1243628250667825e-10,0.0,-14.5,0.0,-14.5,62.020000000012374,128.60000000024775,78.46787878788427,1.1243628250667825e-10,0.0,-14.5,26936165.22666692,0.0,9.0,1.5999999999956387,0.0,0.29120016380296154,0.5069308780334464,0.6329224050003774,0.41176470588235303,0.6936157438237656,,0.7629107981220657,0.3814553990610329,0.7629107981220657,69,1.1867989196811364,0.6727247876687381,185,0,0,0.7629107981220657,0.7629107981220657,65,0,0,0.5072867793085809,0.6983549850599738,112,55.721779105361186,0.9140096001460476,107.75,90.4745133594173,0.8738643679742584,4,bior,260.962962962963,240.0,156.7999203951694,135,0.547197134777822,0.8095363015712619,0.37410111518414607,2,3.5
sym13,1,reflect,9.282879315014911e-23,281.8014483455409,389957.7273868865,0.6458333333333334,40.84377667187949,71,smoothed,4.506191194834194e-12,,3.8386819906594667,15574.310432062724,0.5621141311644846,1.720801700818723e-05,0.9999999999999998,20,61.513333333327765,1.9999999999983658,544.6666666666199,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666199, 33.73333333332913, 11.333333333332025, 10.466666666664178, 41.2666666666623, 10.066666666666404, 52.73333333332606, 1.9999999999983658, 41.13333333332825, 52.8666666666595, 66.39999999999145, 10.533333333332372, 5.73333333333418, 134.93333333332225, 16.86666666666619, 96.33333333332226, 34.59999999999586, 2.9333333333335556, 19.466666666665844, 42.20000000000535]","[1, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644443198,640.8666666666122,-640.8666666666122,DWT,mdp.39015056038089,62.02000000000554,285.2666666667134,5.445599526865408e-11,0.0,-14.5,0.0,-14.5,62.02000000000554,128.6000000001111,78.46787878788169,5.445599526865408e-11,0.0,-14.5,26936165.22666679,0.0,9.0,1.5999999999983885,0.0,0.3559997408043798,0.6250205153882438,0.4973627009007464,0.46078431372549056,0.5418636972078795,,0.7492175273865415,0.37460876369327073,0.7492175273865415,95,1.175850657000471,0.6665188773287025,193,0,0,0.7492175273865415,0.7492175273865415,95,0,0,0.496206193605348,0.6831009264507905,150,47.528061886286366,0.926654225484126,133.25,121.57816212631927,0.8605107547173716,5,sym,476.90849673202615,536.0,193.69103039706815,153,1.0,1.0,0.0,6,5.25
sym13,1,symmetric,9.174748622765297e-23,281.852333649292,392867.01525895356,0.6458333333333334,38.95391090601076,71,smoothed,4.423441268986799e-12,,3.809984647612905,15590.00696766903,0.5712981802820302,1.7208017008187233e-05,0.9999999999999994,20,61.51333333332775,1.9999999999983658,544.6666666666196,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666196, 33.73333333332911, 11.333333333332025, 10.466666666664178, 41.2666666666623, 10.066666666666404, 52.73333333332606, 1.9999999999983658, 41.13333333332825, 52.8666666666595, 66.39999999999145, 10.533333333332372, 5.73333333333418, 134.93333333332225, 16.86666666666619, 96.33333333332226, 34.59999999999586, 2.9333333333335574, 19.46666666666584, 42.20000000000534]","[1, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644443197,640.8666666666121,-640.8666666666121,DWT,mdp.39015056038089,62.02000000000555,285.2666666667137,5.4569682106375694e-11,0.0,-14.5,0.0,-14.5,62.02000000000555,128.60000000011132,78.4678787878817,5.4569682106375694e-11,0.0,-14.5,26936165.22666679,0.0,9.0,1.5999999999983885,0.0,0.3564953018947621,0.6128322603953323,0.5048695737207951,0.46078431372549056,0.5428881355948327,,0.7492175273865415,0.37460876369327073,0.7492175273865415,99,1.1742170779230503,0.6655928997938618,194,0,0,0.7492175273865415,0.7492175273865415,97,0,0,0.4955739170662426,0.6822305046479148,152,46.57968083474453,0.9281177764895918,135.5,124.44050384705555,0.8595064191089934,6,sym,476.90849673202615,536.0,193.69103039706815,153,1.0,1.0,0.0,6,6.0
sym13,1,antisymmetric,9.182978371452197e-23,281.8484397743229,392842.3739899871,0.6458333333333334,39.09539045385198,71,smoothed,4.393984393863011e-12,,3.8102236311408437,15574.455970465478,0.5701566322050516,1.7208017008187236e-05,0.9999999999999994,20,61.513333333327786,1.9999999999983658,544.6666666666204,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666204, 33.73333333332914, 11.333333333332025, 10.466666666664178, 41.2666666666623, 10.066666666666404, 52.73333333332606, 1.9999999999983658, 41.13333333332825, 52.8666666666595, 66.39999999999145, 10.533333333332372, 5.73333333333418, 134.93333333332225, 16.86666666666619, 96.33333333332226, 34.59999999999586, 2.9333333333335547, 19.466666666665844, 42.20000000000535]","[1, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644443196,640.8666666666121,-640.8666666666121,DWT,mdp.39015056038089,62.02000000000552,285.2666666667129,5.4569682106375694e-11,0.0,-14.5,0.0,-14.5,62.02000000000552,128.60000000011064,78.46787878788166,5.4569682106375694e-11,0.0,-14.5,26936165.22666679,0.0,9.0,1.5999999999983885,0.0,0.3564573802792218,0.6129337608085551,0.504805991538354,0.46078431372549056,0.5418731958087362,,0.7492175273865415,0.37460876369327073,0.7492175273865415,97,1.1738073081546783,0.6653606260060704,195,0,0,0.7492175273865415,0.7492175273865415,98,0,0,0.49537092843207153,0.6819510608887515,153,47.38055156566528,0.9268818648678006,135.75,124.31041584551596,0.8586955620635299,7,sym,476.90849673202615,536.0,193.69103039706815,153,1.0,1.0,0.0,6,6.75
rbio3.7,1,antireflect,3.0030709878822383e-28,336.70261940502553,514795.63323605293,0.6511627906976745,39.47138631755697,71,smoothed,6.646483050942574e-15,,3.574450754342248,21378.708107540446,0.6886273846380302,1.7208017008184552e-05,0.9999999999999999,20,61.51333333333331,1.9999999999998792,544.6666666666666,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666666, 33.73333333333322, 11.33333333333325, 10.466666666666697, 41.266666666666765, 10.06666666666661, 52.73333333333334, 1.9999999999998792, 41.133333333333276, 52.8666666666666, 66.39999999999996, 10.533333333333308, 5.733333333333292, 134.93333333333328, 16.86666666666667, 96.33333333333337, 34.60000000000013, 2.933333333333276, 19.466666666666583, 42.20000000000008]","[2, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644444442,640.8666666666666,-640.8666666666666,DWT,mdp.39015056038089,62.019999999999996,285.26666666666665,1.1368683772161603e-13,0.0,-14.5,0.0,-14.5,62.019999999999996,128.60000000000014,78.46787878787876,1.1368683772161603e-13,0.0,-14.5,26936165.226666667,0.0,9.0,1.599999999999902,0.0,0.8906705040286954,0.5127969663265354,0.8194835509303009,0.4883720930232562,0.9206891871786551,,0.7363067292644757,0.36815336463223786,0.7363067292644757,216,1.7641670731263996,1.0,1,0,0,0.7363067292644757,0.7363067292644757,141,0,0,0.7264024602974887,1.0,1,106.9559878330023,0.8349444632206755,89.75,1.9883464721147726,0.8482206884004613,8,rbio,285.8222222222222,269.0,179.12631525245078,135,0.599322981621829,0.9248043901942202,0.30303259580645364,5,7.25
sym13,1,antireflect,9.103567027271022e-23,281.8861594470363,389816.0756050963,0.6354166666666666,40.84377667187949,71,smoothed,4.298370736026773e-12,,3.8400768950200908,15591.866320625271,0.5604537140229953,1.7208017008187236e-05,0.9999999999999994,20,61.513333333327786,1.9999999999983658,544.6666666666202,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666202, 33.733333333329114, 11.33333333333203, 10.466666666664176, 41.2666666666623, 10.066666666666404, 52.73333333332606, 1.9999999999983658, 41.13333333332825, 52.8666666666595, 66.39999999999145, 10.533333333332372, 5.73333333333418, 134.93333333332225, 16.86666666666619, 96.33333333332226, 34.59999999999586, 2.9333333333335574, 19.466666666665844, 42.200000000005346]","[0, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644443198,640.8666666666122,-640.8666666666122,DWT,mdp.39015056038089,62.02000000000552,285.26666666671304,5.445599526865408e-11,0.0,-14.5,0.0,-14.5,62.02000000000552,128.60000000011064,78.46787878788166,5.445599526865408e-11,0.0,-14.5,26936165.22666679,0.0,9.0,1.5999999999983885,0.0,0.3568247241046637,0.6256129552531617,0.4969971949909181,0.40686274509803916,0.5430094867382345,,0.7492175273865415,0.37460876369327073,0.7492175273865415,98,1.1553488023193474,0.6548976114103954,217,0,0,0.7492175273865415,0.7492175273865415,92,0,0,0.48586142123700343,0.6688598232968886,164,59.281109976112965,0.9085168055924182,142.75,125.86729347670882,0.8441117978579376,9,sym,476.90849673202615,536.0,193.69103039706815,153,1.0,1.0,0.0,6,8.25
sym13,1,periodic,9.16778658417771e-23,281.8556304401145,390045.4998130021,0.6354166666666666,41.16233784260799,71,smoothed,4.392304986076466e-12,,3.836194594935375,15584.803614016335,0.5709522137097736,1.7208017008187233e-05,0.9999999999999994,20,61.51333333332779,1.9999999999983658,544.6666666666206,"[6, 11, 14, 17, 20, 23, 25, 28, 31, 33, 36, 39, 41, 44, 47, 50, 53, 55, 57, 61]","[544.6666666666206, 33.7333333333291, 11.333333333332028, 10.466666666664176, 41.2666666666623, 10.066666666666404, 52.73333333332606, 1.9999999999983658, 41.13333333332825, 52.8666666666595, 66.39999999999145, 10.533333333332372, 5.73333333333418, 134.93333333332225, 16.86666666666619, 96.33333333332226, 34.59999999999586, 2.9333333333335556, 19.466666666665844, 42.200000000005346]","[1, 9, 13, 16, 19, 21, 21, 27, 27, 27, 27, 38, 38, 27, 46, 46, 51, 54, 56, 60]","[64, 27, 21, 21, 21, 24, 27, 29, 32, 35, 38, 40, 42, 64, 48, 64, 64, 56, 64, 64]",0.05,30,771405.1644443197,640.8666666666121,-640.8666666666121,DWT,mdp.39015056038089,62.02000000000551,285.2666666667127,5.4569682106375694e-11,0.0,-14.5,0.0,-14.5,62.02000000000551,128.6000000001104,78.46787878788165,5.4569682106375694e-11,0.0,-14.5,26936165.22666679,0.0,9.0,1.5999999999983885,0.0,0.35652740863549715,0.623964075657767,0.4975891812179001,0.40686274509803916,0.5425485373958154,,0.7492175273865415,0.37460876369327073,0.7492175273865415,92,1.1544575866166737,0.6543924349357578,218,0,0,0.7492175273865415,0.7492175273865415,93,0,0,0.48549838960100383,0.6683600567682195,166,61.24472766423789,0.9054865313823489,142.25,124.09447586862257,0.8429824632220386,10,sym,476.90849673202615,536.0,193.69103039706815,153,1.0,1.0,0.0,6,9.0
