signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,mexh,13929894815.93998,0.5975503062117236,1692.1537156060313,-42.404916979771784,459,127,170850.59878586952,,False,14.769740786709455,718853.4217701651,0.017864413820563696,2.4212495587417314e-08,0.18426180813270457,171913.9974109952,,,,[],[],9,59744.54071641117,5448.477871996234,263265.3993441294,"[45, 72, 128, 152, 175, 226, 330, 386, 418]","[17951.335865130735, 263265.3993441294, 22320.658875860943, 5448.477871996234, 19568.244674305417, 39133.96266606246, 19261.54193689616, 140022.9672141237, 10728.277999195416]","[0, 0, 109, 151, 158, 206, 264, 264, 407]","[51, 458, 264, 264, 206, 264, 349, 458, 458]",14782660049229.916,268255.3001401444,-268255.3001401444,0.0,,,,CWT,mdp.39015056038212,14782436643459.916,,0.0,-40.5,54.0,0.0,-45.0,,266899.3001401444,59089.747065617514,496448.86644770054,59089.747065617514,,0.0,59089.747065617514,,,5442.477871996234,0.0,-45.0,261909.39934412937,266899.3001401444,,171258.9974109952,1.0,0.1502533622531821,1.0,0.7058732070583014,0.12203512583740761,0.5179573540828064,0.07004267765841192,,0.0,0.3950084502214271,0.3950084502214271,0.3950084502214269,,1.0,0.7323699603136823,1.0,,,,,0.0,,0.6159468132872633,1.0,1.0,0.3549378392924877,0.3549378392924877,1.0,2.571641127716753,0.858950557675132,2,1.5271026839125104,0.8046039044435602,4,0,0.5888012716321575,0.9264898879767871,2,0,0.5094516752700157,0.8924525871188301,3,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,1,mexh,0.16326530612244897,,,2,1.25,1.0,0.28022956098525115,0.994465247692762,0.7063029874485658,0.12203512583740761,0.4039081159477631,0.07135533006157738,,0.0,0.3950084502214271,0.3950084502214271,0.3950084502214269,,0.9975700076810677,0.7380415027492937,0.9865933527939428,,,,,0.6666666666666666,,0.6159468132872633,1.0000000000000002,0.4571428571428572,0.35493783929248773,0.35493783929248773,0.6037735849056605,2.699694248534148,0.9323942284708497,2,1.5574412829005138,0.8677409464659034,5,2.1213203435596424,0.8939339828220179,3.5,2.857142857142857,0.8594669914110089,1,1.5,1.5,0.7071067811865476,2,0.12834224598930483,0.12533500076413878,0.872559927578245,1,1.0,1
smoothed,mexh,13449522962.948483,0.6003636800301924,1673.3164269850788,-44.6961924978483,459,127,168186.0713812873,,False,14.76972249226415,676014.0366116677,0.020261740162010017,5.683182691052659e-07,0.2650285705235515,172328.16706054794,,,,[],[],7,70532.71577854971,11586.398082571657,265890.9775830846,"[45, 72, 126, 175, 230, 325, 375]","[11586.398082571657, 265890.9775830846, 20337.12769719248, 16668.747698350315, 36563.098550877854, 27735.53917921544, 114947.12165855555]","[0, 0, 108, 158, 208, 262, 262]","[51, 458, 262, 208, 262, 350, 458]",14149688007688.852,260246.98929379572,-260246.98929379572,0.0,,,,CWT,mdp.39015056038212,14149494418652.572,,0.0,-44.0,45.0,0.0,-44.0,,259227.98929379572,70220.09654778049,477472.810449848,70220.09654778047,,0.0,70220.09654778049,,,11579.798082571657,0.0,-44.0,264871.9775830846,259227.98929379572,,171675.96706054793,1.0,0.16141451984335453,0.994062812425262,0.6900830191067754,0.13965381589299863,0.5610826774930536,0.06186997839489876,,0.08552965695841631,0.5770994629610132,0.5770994629610132,0.5770994629610131,,1.0,0.7054685930180391,1.0,,,,,0.16666666666666666,,0.5964988483334429,0.9090909090909092,0.27999999999999997,0.34207953651170314,0.34207953651170314,0.4242424242424243,2.6032881914571013,1.0,1,1.543964216384412,0.81261274546548,4,0,0.5416396114440248,0.9964139476146074,2,0,0.5154524033080491,0.9020417057890858,3,1.2909944487358056,0.8709005551264195,2.5,1.92,0.8104502775632098,2,mexh,0.32653061224489793,,,2,2.0,0.9800819046078002,0.13516399176644583,0.9944401152492868,0.6785447735163131,0.1517291327177266,0.5610826774930535,0.061054439557334965,,0.1895333565053052,0.5685095135113339,0.5685095135113339,0.5685095135113335,,1.0,0.7054685930180391,1.0,,,,,0.06666666666666671,,0.5874908103366465,0.8292682926829269,0.48571428571428577,0.33729476032260236,0.33729476032260236,0.6415094339622642,2.636382986217016,0.9105283984370413,3,1.5211619107322536,0.847527602253115,6,2.1213203435596424,0.8939339828220179,4.5,4.0,0.834466991411009,2,1.5,1.5,0.7071067811865476,2,0.12834224598930483,0.12533500076413878,0.872559927578245,1,1.75,2
raw,gaus6,2715533366.068966,0.666220643988129,731.0192918655281,-34.25463073047776,459,127,51855.1707388728,,False,14.625862357992496,633454.5310283882,0.013995479014590582,2.738135509105279e-07,0.2465532050518622,4070.2171948020855,,,,[],[],7,89285.10927558204,16748.618041535432,202286.17613389692,"[30, 61, 141, 192, 227, 323, 425]","[202286.17613389692, 16748.618041535432, 42985.91858641203, 32868.486572225425, 114662.8208690836, 69480.92087201662, 145962.82385390432]","[0, 53, 107, 107, 107, 265, 107]","[107, 107, 156, 208, 265, 349, 458]",2265428942473.592,161651.74975749713,-161651.74975749713,0.0,,,,CWT,mdp.39015056038212,2265205536703.592,,0.0,-55.0,56.0,0.0,-50.5,,160295.74975749713,88630.31562478839,583743.7649290743,88630.3156247884,,0.0,88630.31562478839,,,16742.618041535432,0.0,-55.0,200930.17613389692,160295.74975749713,,3415.2171948020855,0.1104755451192827,0.7594469766477163,0.8012434069802636,0.05690477091646982,0.846822379141771,0.6888602271490611,0.04947916895869507,,0.6239986433835375,0.8554899529287914,0.8554899529287914,0.8554899529287912,,0.01617908863033589,0.8921667241510244,0.7189560552019292,,,,,0.4,,0.053193450741688575,0.29268292682926833,0.37500000000000006,0.1097626801126966,0.1097626801126966,0.65625,2.1993115747414684,0.7345892408023533,4,1.5519496485725923,0.8176953389552545,3,0,0.4867444362821109,0.7659015358344343,3,0,0.4733189249876086,0.8291555796997031,4,0.5773502691896257,0.9422649730810374,3.5,3.428571428571429,0.7961324865405187,2,gaus,1.0,1.0,0.0,1,1.75,0.11047554511928272,0.7962416707129281,0.7968087231848203,0.05828282910545088,0.846822379141771,0.5251290576939905,0.05082084714451068,,0.34897209560985026,0.8554899529287914,0.8554899529287914,0.8554899529287912,,0.019419446498953472,0.8878855403382744,0.7106421823812068,,,,,0.8,,0.05319345074168856,0.29268292682926833,0.17142857142857146,0.10976268011269658,0.10976268011269658,0.3962264150943397,2.19976440118866,0.7597333041612391,6,1.507542355700786,0.83993935754482,7,0.7071067811865476,0.9646446609406726,6.5,6.461538461538462,0.8198223304703363,3,11.6875,12.5,5.641734366900542,16,1.0,1.0,0.0,3,3.0,3
smoothed,gaus8,2318916768.4899874,0.6728938294477896,732.9545707306826,-35.61985380718396,459,127,45367.60667434423,,False,14.737795251136712,561121.8750281376,0.013020104716790161,1.22996189910012e-06,0.40060388760185883,10297.781243568552,,,,[],[],7,91902.17301630203,20993.05695962841,186297.3666468112,"[24, 62, 141, 178, 229, 323, 438]","[186297.3666468112, 20993.05695962841, 40173.17091274048, 37982.34381394806, 143304.22165505364, 75049.42232001144, 139515.6288059209]","[0, 53, 107, 107, 107, 263, 107]","[107, 107, 156, 209, 351, 351, 458]",1752354241647.817,141372.05756143294,-141372.05756143294,0.0,,,,CWT,mdp.39015056038212,1752160652611.5369,,0.0,-48.5,45.0,0.0,-39.5,,140353.05756143294,91589.5537855328,627059.0111141142,91589.55378553279,,0.0,91589.5537855328,,,20986.456959628413,0.0,-26.0,185278.3666468112,140353.05756143294,,9645.581243568551,0.06113810029858019,0.8476597117110072,0.9472255135471745,0.035965750115208917,0.9712824547600316,0.8249163435626194,0.03387470859301953,,0.4133053514254875,1.0,1.0,1.0,,0.05572841238866376,0.9622373236662768,0.6398125633788821,,,,,0.16666666666666666,,0.029658844959603158,0.09090909090909094,0.9999999999999999,0.06480232589904186,0.06480232589904186,0.696969696969697,2.208782623135492,0.848458741672854,4,1.7505622917136385,0.9213485745861255,2,0,0.5132066144401753,0.9441078861882861,3,0,0.5317232260839488,0.9305156456469104,2,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,1,gaus,1.0,1.0,0.0,1,1.0,0.06197917023566667,0.7098064684988834,0.9505792837497247,0.0353643997759242,0.9172551149737462,0.8249163435626192,0.03342818927645483,,0.48003076731285266,0.9016188699264137,0.9016188699264137,0.9016188699264129,,0.05572841238866377,0.9622373236662768,0.6398125633788821,,,,,0.06666666666666671,,0.0301278277458992,0.6097560975609757,1.0,0.06389692126983243,0.06389692126983243,0.8113207547169812,2.1748844725915824,0.751140515610729,8,1.6476893330579825,0.9180233740091744,4,2.8284271247461903,0.8585786437626906,6.0,5.333333333333333,0.7792893218813453,4,11.6875,12.5,5.641734366900542,16,1.0,1.0,0.0,3,3.75,4
raw,gaus4,3506219427.6070914,0.6597704698677371,760.2894087824432,-35.85639632889305,459,127,61871.51691775919,,False,14.536353059995971,753228.7654898748,0.015140417877664708,3.3735354863587446e-07,0.19681237840255272,2988.1689929797635,,,,[],[],7,89356.85420126395,15944.604651162663,225018.56091319557,"[35, 61, 136, 176, 230, 323, 424]","[225018.56091319557, 15944.604651162663, 50689.580253502514, 31948.83714173129, 89952.10025359789, 42592.81913823031, 169351.47705742734]","[0, 53, 108, 108, 108, 263, 263]","[263, 263, 156, 208, 263, 349, 458]",3275255290322.566,191473.3094035201,-191473.3094035201,0.0,,,,CWT,mdp.39015056038212,3275031884552.566,,0.0,-55.0,56.0,0.0,-55.0,,190117.3094035201,88702.0605504703,584245.9794088476,88702.06055047028,,0.0,88702.0605504703,,,15938.604651162663,0.0,-55.0,223662.56091319557,190117.3094035201,,2333.1689929797635,0.18535056360446003,0.639722914882897,0.6775934389341466,0.10266130365614205,0.7787434365381134,0.5523911382620355,0.07832004137468562,,0.5796006750992853,0.8566083204078553,0.8566083204078553,0.8566083204078546,,0.009836633481318463,0.8930860476168413,0.8237261515840303,,,,,0.4,,0.09859352109210257,0.29268292682926833,0.37500000000000006,0.178348628769745,0.178348628769745,0.375,2.2305566119748264,0.7450253556501514,3,1.3933481357761544,0.7341309540641725,5,0,0.4838605838904217,0.761363739793486,4,0,0.43068326246464006,0.7544668326227965,5,0.9574271077563381,0.9042572892243662,4.25,4.067796610169492,0.7396286446121831,3,gaus,1.0,1.0,0.0,1,2.5,0.18535056360446006,0.6948304539229555,0.6738431270846363,0.10397250203850256,0.7787434365381134,0.42833190515155434,0.0796210101219316,,0.3241424710629711,0.8566083204078553,0.8566083204078553,0.8566083204078546,,0.013113546724321907,0.8887476049800122,0.8135137483979333,,,,,0.8,,0.09859352109210254,0.29268292682926833,0.17142857142857146,0.17834862876974497,0.17834862876974497,0.2264150943396227,2.2582080604847525,0.7799180086506387,4,1.3760897967213204,0.766699506260171,10,4.242640687119285,0.7878679656440357,7.0,5.714285714285714,0.7189339828220178,6,11.6875,12.5,5.641734366900542,16,1.0,1.0,0.0,3,5.25,5
smoothed,morl,1706915495.9385788,0.6753984183349631,645.8257141571277,-33.60498788297795,459,127,37369.74499079021,,False,14.773769651768605,422100.58604584873,0.015646947044253325,3.4344601968059344e-07,0.4905735362458211,11073.28002916451,,,,[],[],8,83164.33479500607,9996.444332706462,158874.54989471726,"[23, 71, 141, 177, 230, 323, 401, 438]","[158874.54989471726, 33509.985148882464, 50771.04466811773, 62743.14432388047, 119696.14647757733, 108401.40976635562, 9996.444332706462, 121321.95374781122]","[0, 53, 106, 106, 106, 264, 352, 106]","[106, 106, 156, 208, 352, 352, 405, 458]",1103686896557.5542,113589.85342599085,-113589.85342599085,0.0,,,,CWT,mdp.39015056038212,1103493307521.2742,,0.0,-43.5,44.0,0.0,-34.5,,112570.85342599085,82851.71556423685,649058.4783600486,82851.71556423683,,0.0,82851.71556423685,,,9989.844332706462,0.0,-34.5,157855.54989471726,112570.85342599085,,10421.08002916451,0.0,1.0,0.9999999999999999,0.0,1.0,1.0000000000000002,0.0,,0.030127605991766393,0.8270785993657499,0.8270785993657499,0.8270785993657499,,0.060247820682195224,1.0,0.5157152400550835,,,,,0.0,,0.0,1.0,0.66,0.0,0.0,1.0,1.9073905515953444,0.7326851317708886,6,1.9000000000000001,1.0,1,0,0.48195189034473546,0.8866109041368524,5,0,0.5714285714285715,1.0,1,2.6299556396765835,0.7370044360323417,3.25,1.6901408450704225,0.7060022180161709,4,morl,0.6530612244897959,,,3,3.75,0.002192893812802743,0.837371953264281,1.0,0.0,0.9436900235379324,1.0,0.0,,0.14043224061748144,0.7654125248624466,0.7654125248624466,0.7654125248624459,,0.06024782068219523,1.0,0.5157152400550835,,,,,0.0,,0.000964850206399942,0.853658536585366,0.7571428571428571,1.2414653328685077e-06,1.2414653328685077e-06,1.0,1.880545535992241,0.649484587037156,11,1.7805570495175824,0.9920516916743493,2,6.363961030678928,0.6818019484660536,6.5,3.3846153846153846,0.6784009742330268,9,10.0,10.0,1.4142135623730951,2,0.8556149732620321,0.25067000152827756,0.32586851825809426,2,7.25,6
raw,gaus7,2542311438.7392087,0.6683649837887911,733.5844793417596,-33.96294009073351,459,127,49305.778522438486,,False,14.698993006788816,640863.7915276012,0.013588933157389117,2.056836234976371e-07,0.009078372138267777,0.0,,,,[],[],6,77062.17721761235,11938.249632401341,208315.66552577098,"[98, 148, 205, 254, 332, 387]","[208315.66552577098, 33572.18511865268, 40371.24710706171, 108362.343769136, 59813.37215265144, 11938.249632401341]","[6, 132, 162, 162, 276, 368]","[409, 162, 214, 409, 409, 409]",2101064867794.744,206607.5622200198,-206607.5622200198,0.0,,,,CWT,mdp.39015056038212,2100841462024.744,,0.0,-60.0,57.0,0.0,-60.0,,205251.5622200198,76407.3835668187,421121.0633056741,76407.38356681871,,0.0,76407.3835668187,,,11932.249632401341,0.0,-60.0,206959.66552577098,205251.5622200198,,655.0,0.09141811779774525,0.7812494102893867,0.9022675752985978,0.046880520870029634,0.869455006337135,0.03732352652676074,0.05126327167256675,,0.3583680125736631,0.6649575970511469,0.6649575970511469,0.6649575970511468,,0.0,0.5944794377461973,0.7467450527424235,,,,,0.6000000000000001,,0.04580392226543574,0.04878048780487809,0.06250000000000006,0.2131555637173498,0.2131555637173498,0.0625,1.7483767217625872,0.583973068403035,6,1.3539658514118542,0.7133811118307488,6,0,0.35288291655148135,0.5552679139405036,8,0,0.39712248982746035,0.6956753911187847,7,0.9574271077563381,0.9042572892243662,6.75,6.653465346534655,0.6146286446121831,6,gaus,1.0,1.0,0.0,1,4.75,0.09141811779774527,0.8147092309676714,0.8972737477544677,0.04827322657226162,0.869455006337135,0.06299585294062993,0.05260243156355463,,0.20041780166259213,0.6649575970511469,0.6649575970511469,0.6649575970511468,,0.0033336076635641955,0.6087393056922966,0.7379276177653628,,,,,0.8666666666666667,,0.045803922265435726,0.04878048780487809,0.02857142857142858,0.2131555637173498,0.2131555637173498,0.03773584905660382,1.8037006581406976,0.622944648066204,13,1.383045777419819,0.7705750868943716,9,2.8284271247461903,0.8585786437626906,11.0,10.636363636363637,0.6542893218813453,10,11.6875,12.5,5.641734366900542,16,1.0,1.0,0.0,3,8.25,7
smoothed,gaus1,18723139836.90152,0.5881838299624311,809.9380283640363,-46.831074999104196,459,127,161801.58247212134,,False,14.092106919454752,4526085.380499153,0.023083461594761802,2.489255148653866e-06,-0.023293094567548182,0.0,,,,[],[],2,41371.479942761944,37830.29204842345,44912.66783710044,"[100, 256]","[44912.66783710044, 37830.29204842345]","[5, 5]","[118, 274]",22974644648748.523,542312.1832189847,-542312.1832189847,0.0,,,,CWT,mdp.39015056038212,22974451059712.242,,0.0,-46.5,50.0,0.0,-51.0,,541293.1832189847,41058.86071199271,66486.75988552389,41058.86071199271,,0.0,41058.86071199271,,,37823.69204842345,0.0,-51.0,43893.66783710044,541293.1832189847,,652.2,0.9511950145266443,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,,0.0033172899807297,0.0,0.0,,,,,1.0,,0.9999999999999999,0.4545454545454546,0.0,1.0000000000000002,1.0000000000000002,0.0,1.6471131904449106,0.6327048983090096,7,1.1853585043579935,0.6238728970305228,9,0,0.38984733889472756,0.7171730385071533,7,0,0.4215992877895207,0.7377987536316611,5,1.632993161855452,0.8367006838144548,7.0,6.702127659574468,0.5683503419072274,8,gaus,1.0,1.0,0.0,1,6.25,0.9323560456413963,0.0,0.06354908267175352,0.9832799166607564,0.023175810248053375,0.0,0.9868185045684282,,1.0,0.11394108936031655,0.11394108936031655,0.11394108936031644,,0.0033172899807297034,0.0,0.0,,,,,0.4,,0.9842458100421823,0.7073170731707318,0.28571428571428575,0.986010291573275,0.986010291573275,0.3773584905660378,1.62550748106676,0.5614020159896879,16,1.2071190392852666,0.6725560887249958,16,0.0,1.0,16.0,16.0,0.6,13,11.6875,12.5,5.641734366900542,16,1.0,1.0,0.0,3,10.5,8
smoothed,gaus2,6121555418.550894,0.6116514847408779,941.2801867874682,-41.41380881527006,459,127,100277.75096527406,,False,14.631506424376594,572045.6846210684,0.009708059401243528,2.311156767092409e-06,0.2549817134300821,80690.13608052954,,,,[],[],8,76817.45351798955,9166.956885036197,230704.44887206182,"[41, 63, 136, 177, 229, 325, 400, 423]","[230704.44887206182, 23463.830102947628, 29980.84083079025, 31624.89050637021, 50910.81663870537, 36186.28841603741, 9166.956885036197, 202501.55589196755]","[0, 52, 109, 157, 209, 263, 263, 263]","[263, 263, 263, 209, 263, 350, 406, 458]",6659329426848.013,226340.9981252497,-226340.9981252497,0.0,,,,CWT,mdp.39015056038212,6659135837811.732,,0.0,-48.0,44.0,0.0,-39.0,,225321.9981252497,76504.83428722032,598283.4281439164,76504.83428722032,,0.0,76504.83428722032,,,9160.356885036197,0.0,-48.0,229685.44887206182,225321.9981252497,,80037.93608052954,0.48088803370535316,0.4095894829869219,0.7912996843628095,0.25943710156576916,0.2690794649881981,0.5415311898287022,0.03653646543181065,,0.0012240571583989335,0.701474122344634,0.701474122344634,0.7014741223446342,,0.4659570267467013,0.9128432627160693,0.8407693101125179,,,,,0.0,,0.25401916977019035,0.18181818181818185,0.11999999999999998,0.2629934035712581,0.2629934035712581,0.7272727272727274,2.1493220369952963,0.8256181716832077,5,1.254247340967533,0.6601301794565962,7,0,0.4381652078408005,0.8060598139933979,6,0,0.3983373461242236,0.6970903557173912,8,1.2909944487358056,0.8709005551264195,6.5,6.303939962476548,0.6104502775632097,6,gaus,1.0,1.0,0.0,1,4.75,0.472448017396082,0.3429787454052658,0.8045623979748585,0.25509929160629763,0.2708672822741261,0.5415311898287021,0.03605486017963546,,0.1148159236025959,0.6664766691732887,0.6664766691732887,0.6664766691732884,,0.4659570267467014,0.9128432627160693,0.8407693101125179,,,,,0.0,,0.2507370632747213,0.6341463414634148,0.37142857142857144,0.25931511750528374,0.25931511750528374,0.8301886792452831,2.239748384902112,0.7735425848477233,5,1.2167338301655477,0.6779130468524888,15,7.0710678118654755,0.6464466094067263,10.0,7.5,0.5732233047033631,14,11.6875,12.5,5.641734366900542,16,1.0,1.0,0.0,3,11.25,9
raw,gaus5,3045056120.3296924,0.6497349596006382,736.2281510450941,-35.15752013044625,459,127,54337.212725004756,,False,14.59098300348512,762021.7795803436,0.0159106676087836,1.9994961414390128e-07,0.002255415716873932,0.0,,,,[],[],8,56891.49273262927,9746.555340473358,232786.12690627496,"[48, 99, 147, 195, 254, 288, 332, 404]","[18359.639200892154, 232786.12690627496, 25345.448978531982, 33651.6572935005, 81212.0456297758, 13804.117387854378, 40226.351123730994, 9746.555340473358]","[6, 6, 132, 171, 214, 276, 276, 367]","[55, 367, 214, 214, 367, 293, 367, 409]",2766568733498.8027,239675.55703894267,-239675.55703894267,0.0,,,,CWT,mdp.39015056038212,2766345327728.8027,,0.0,-59.0,55.0,0.0,-59.0,,238319.55703894267,56236.69908183561,413879.94186103414,56236.69908183561,,0.0,56236.69908183561,,,9740.555340473358,0.0,-59.0,231430.12690627496,238319.55703894267,,655.0,0.12902951043493419,0.6919604565254368,0.7530603559806488,0.07597405697984995,0.6728227412638065,0.018604041768128854,0.08043734313558115,,0.2373417027796428,0.3505348369178591,0.3505348369178591,0.3505348369178589,,0.0,0.5812242785841353,0.8595256792468895,,,,,0.2,,0.07572384105721143,0.09756097560975613,0.12500000000000006,0.2892079171744785,0.2892079171744785,0.125,1.387860027934851,0.4635573494767058,10,1.1771479839929981,0.6202188457962887,9,0,0.2808140587414408,0.4418662091276895,10,0,0.34598407229834094,0.6060915988958295,9,0.5773502691896257,0.9422649730810374,9.5,9.473684210526315,0.4961324865405187,9,gaus,1.0,1.0,0.0,1,7.0,0.1290295104349342,0.7390778055580257,0.7488923534378953,0.07732425097759424,0.6728227412638064,0.049718173456764214,0.08173532327122325,,0.13273367221683818,0.3505348369178591,0.3505348369178591,0.3505348369178589,,0.0033336076635641955,0.5963097262688378,0.8486645557419131,,,,,0.7333333333333333,,0.07572384105721142,0.09756097560975607,0.05714285714285716,0.2892079171744785,0.2892079171744785,0.07547169811320759,1.5568985433579154,0.5377065261852492,17,1.216974333869758,0.6780470454270812,14,2.1213203435596424,0.8939339828220179,15.5,15.354838709677422,0.5594669914110089,15,11.6875,12.5,5.641734366900542,16,1.0,1.0,0.0,3,12.0,10
