wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antireflect,0.47767856901155165,63.37212610859305,28304097.892367307,0.5211538461538462,145.74630343468212,459,smoothed,0.5148140179627084,,7.771547483398589,209225.35770892873,0.993935064913556,6.461463307360432e-05,0.9999981372868466,652.0217188306951,,,,[],[],16,644.8749663100309,177.88972353727365,1019.6540582684934,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[278.17723838795735, 1019.6540582684934, 976.3780956588721, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.2390443455189, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602047, 488.0037436906839, 400.8882166604393, 955.0550691061734]","[1, 1, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 104, 104, 104, 155, 208, 208, 352, 264, 290, 316, 352, 404, 404, 432, 456]",193744293.19669914,1019.6322861970102,-1019.6322861970102,0.0,,,,DWT,mdp.39015056038212,155256.91669917107,,0.0,5.5,36.0,0.0,28,,0.6322861970102167,332.2557355408002,5938.200539039504,332.2557355408003,,0.0,332.2557355408002,,,171.28972353727374,0.0,5.5,0.6540582684933725,0.6322861970102167,,0.17828116930490978,0.9999999999999999,1.0,0.0,0.6648999641320491,0.6208505978998318,0.1859728506787339,0.6979043132871944,0.9999999999997679,0.9375492078586564,0.9375492078586564,0.9375492078471499,,1.0,0.06245079214134375,0.2713162137624331,,,,,,0.9999999999999999,0.375,0.4444444444444444,0.9999999999136948,0.9999999999136948,2.7926222344310796,0.9038359138910897,8,1.8964261466023116,0.9320915149732569,5,0,0.7471549228116535,0.9309155332676848,8,0,0.5956611037139729,1.0,1,3.3166247903554,0.99652345409816,5.5,2.7586206896551726,0.9953791274683672,1,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,1.0,1
dmey,1,antisymmetric,0.47288557190524133,63.41592304446841,28199603.38859869,0.5211538461538462,135.1600650807847,459,smoothed,0.5121305782922958,,7.767385249212699,205003.56532963397,0.9937144202055657,6.461654834911456e-05,0.9999981932551637,652.0217188306951,,,,[],[],16,644.8785365377149,177.88972353727365,1019.6589288582392,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[278.1748075572126, 1019.6589288582392, 976.3780956588716, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.2390443455189, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602047, 488.0037436906839, 400.8882164583631, 955.1097531921912]","[0, 0, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 104, 104, 104, 155, 208, 208, 352, 264, 290, 316, 352, 404, 404, 432, 456]",193742847.54144573,1019.6322861970118,-1019.6322861970118,0.0,,,,DWT,mdp.39015056038212,153811.26144576073,,0.0,5.5,36.0,0.0,28,,0.6322861970118083,332.2593057684842,5938.14341539656,332.2593057684841,,0.0,332.2593057684842,,,171.28972353727374,0.0,-3.5,0.6589288582391646,0.6322861970118083,,0.17828116930490978,0.9947875551620912,0.9899660620818129,0.00016813362823608902,0.6518461160805764,0.6008036420379684,0.1859728506787339,0.6793500048581435,0.9999999999997679,0.9397623243435215,0.9397623243435215,0.9397623243323233,,1.0,0.06023767565647864,0.27333663003461395,,,,,,0.9906886257685287,0.375,0.2222222222222222,0.999999999916212,0.999999999916212,2.767639779824258,0.8957503091098905,9,1.8649708052486802,0.9166312468110422,7,0,0.7283976772111168,0.9075449969067028,9,0,0.5861277663610804,0.9839953670074282,3,2.8284271247461903,0.9970351916931381,7.0,5.7272727272727275,0.9948488327438437,2,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,1.75,2
dmey,1,reflect,0.45974884659318443,63.538277196488906,28298708.447403952,0.5211538461538462,142.5071404611136,459,smoothed,0.5100703387116388,,7.771979133591626,55267.64260296416,0.9770833142020836,6.461235963011152e-05,0.999998979491649,652.0217188306951,,,,[],[],16,644.9725176330164,177.88972353727365,1021.389428668879,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[277.9565276813288, 1021.389428668879, 976.378095658872, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.257129641089, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602045, 488.0037436906839, 400.88821367728406, 955.0831482677677]","[0, 0, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 104, 104, 104, 155, 208, 208, 456, 264, 290, 316, 352, 404, 404, 432, 456]",193714615.78247875,1019.6322861970232,-1019.6322861970232,0.0,,,,DWT,mdp.39015056038212,125579.50247877836,,0.0,5.5,36.0,0.0,28,,0.632286197023177,332.3532868637857,5936.639717871736,332.3532868637857,,0.0,332.3532868637857,,,171.28972353727374,0.0,-3.5,2.3894286688789634,0.632286197023177,,0.17828116930490978,0.9907856447463448,0.9624648799809697,0.0006378433715731324,0.666253731310839,0.6198166491139746,0.1859728506787339,0.021277261441216964,0.9999999999997679,0.9980194243623981,0.9980194243623981,0.9980194243621333,,1.0,0.001980575637602011,0.9911819339720188,,,,,,0.8088496483677036,0.375,0.2222222222222222,0.9999999999341923,0.9999999999341923,3.0589457831105706,0.9900318859218304,2,1.6010325624958164,0.7869058699553907,34,0,0.7827743877628857,0.9752955034685166,2,0,0.492458408663379,0.8267425984219541,16,15.17673658377628,0.9840914710861883,13.5,3.6632996632996635,0.9849702638449809,3,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,2.5,3
dmey,1,symmetric,0.45934827800198474,63.54206275375247,28200659.3536348,0.5211538461538462,134.17684958156508,459,smoothed,0.5103910642022106,,7.766144698034482,56660.56056123403,0.9774605706435763,6.46104449817344e-05,0.9999989631540877,652.0217188306951,,,,[],[],16,644.9705804166047,177.88972353727365,1021.4106862594879,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[277.95895851207376, 1021.4106862594879, 976.3780956588723, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.2390443455189, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602045, 488.0037436906839, 400.88821387936014, 955.0465494773194]","[1, 1, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 104, 104, 104, 155, 208, 208, 352, 264, 290, 316, 352, 404, 404, 432, 456]",193716059.05388543,1019.6322861970212,-1019.6322861970212,0.0,,,,DWT,mdp.39015056038212,127022.77388545871,,0.0,5.5,36.0,0.0,28,,0.6322861970212443,332.3513496473739,5936.670713334324,332.3513496473739,,0.0,332.3513496473739,,,171.28972353727374,0.0,5.5,2.410686259487875,0.6322861970212443,,0.17828116930490978,0.991408637670743,0.9616263064773927,0.0006523758831494808,0.6479554252022449,0.6010062257500977,0.1859728506787339,0.02739898110248094,0.9999999999997679,0.9968185806193439,0.9968185806193439,0.9968185806188544,,1.0,0.003181419380656192,1.0,,,,,,0.8181456683928652,0.375,0.4444444444444444,0.9999999999311358,0.9999999999311358,3.0897447108608525,1.0,1,1.5846193589062054,0.7788387971475124,41,0,0.8026022728281289,1.0,1,0,0.48800297182354907,0.8192627800956439,17,18.90326250501043,0.9801852594287103,15.0,1.9201101928374658,0.9822309944942293,4,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,3.25,4
dmey,1,periodic,0.44787242591127785,63.65194042882762,28197564.675596904,0.5211538461538462,129.0087644469653,459,smoothed,0.5007917492675326,,7.7668900765450575,56654.83294846042,0.9771435006953735,6.461280837206077e-05,0.9999989211532625,652.0217188306951,,,,[],[],16,644.9728974375462,177.88972353727365,1021.1396251840031,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[278.28336583500163, 1021.1396251840031, 976.378095658874, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.4778771617233, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602047, 488.0037436906839, 400.88821328135884, 954.7914433467346]","[0, 0, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 456, 104, 104, 155, 208, 208, 456, 264, 290, 316, 352, 404, 404, 432, 456]",193713051.48701334,1019.6322861970648,-1019.6322861970648,0.0,,,,DWT,mdp.39015056038212,124015.2070133686,,0.0,5.5,36.0,0.0,28,,0.6322861970647864,332.35366666831544,5936.63364099926,332.3536666683153,,0.0,332.35366666831544,,,171.28972353727374,0.0,-3.5,2.13962518400308,0.6322861970647864,,0.17828116930490978,0.9727624574974323,0.9376020926332305,0.0010741892315789814,0.6502931259137682,0.6004125210881782,0.1859728506787339,0.027373808880728642,0.9999999999997679,0.9982548579930309,0.9982548579930309,0.9982548579927397,,1.0,0.0017451420069691803,0.887558542959307,,,,,,0.7987741200198053,0.375,0.2222222222222222,1.0,1.0,3.002190496908834,0.9716629617831357,4,1.5657259936928736,0.7695527274335988,44,0,0.7733387167655725,0.9635391562505294,4,0,0.48221300656052163,0.8095425461791992,23,19.06786126793808,0.9800127240378007,18.75,7.064572425828971,0.9801793179937431,5,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,4.0,5
dmey,1,smooth,0.4358738309582264,63.76987572433115,25512664.19404866,0.5615384615384615,95.93661322300471,459,smoothed,0.5018866656262855,,7.590706181919387,86867.97523446496,0.9874829282728489,6.461351375745583e-05,0.9999988266216493,652.0217188306951,,,,[],[],16,644.92306159429,177.88972353727365,1020.5108574329445,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[278.0668830346426, 1020.5108574329445, 976.378095658872, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.2390443455189, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602047, 488.0037436906839, 400.88821516886173, 955.0781513347556]","[0, 0, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 104, 104, 104, 155, 208, 208, 352, 264, 290, 316, 352, 404, 404, 432, 456]",193729439.41608542,1019.6322861970166,-1019.6322861970166,0.0,,,,DWT,mdp.39015056038212,140403.13608545065,,0.0,5.5,36.0,0.0,28,,0.6322861970165832,332.3038308250592,5937.43101449136,332.3038308250591,,0.0,332.3038308250592,,,171.28972353727374,0.0,-3.5,1.5108574329444764,0.6322861970165832,,0.17828116930490978,0.9748892767380698,0.9124835385857256,0.0015269352681176462,0.09773464725893553,0.08532244930529151,0.8432717865746868,0.16015721228413685,0.9999999999997679,0.9673625631566137,0.9673625631566137,0.9673625631505435,,1.0,0.03263743684338638,0.6267333324683414,,,,,,0.9043277366991551,0.375,0.2222222222222222,0.9999999999237638,0.9999999999237638,2.9121977820362313,0.9425366994883038,7,1.3337732151593698,0.6555481735874593,105,0,0.7552507014620142,0.9410024454587426,5,0,0.43934083514499495,0.7375684468998995,44,46.743092181269596,0.9510030480280193,40.25,10.663589151759954,0.9544061361733387,6,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,4.75,6
dmey,1,zero,0.4358738309582264,63.76987572433115,25512664.19404866,0.5615384615384615,95.93661322300471,459,smoothed,0.5018866656262855,,7.590706181919387,86867.97523446496,0.9874829282728489,6.461351375745583e-05,0.9999988266216493,652.0217188306951,,,,[],[],16,644.92306159429,177.88972353727365,1020.5108574329445,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[278.0668830346426, 1020.5108574329445, 976.378095658872, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.2390443455189, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602047, 488.0037436906839, 400.88821516886173, 955.0781513347556]","[0, 0, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 104, 104, 104, 155, 208, 208, 352, 264, 290, 316, 352, 404, 404, 432, 456]",193729439.41608542,1019.6322861970166,-1019.6322861970166,0.0,,,,DWT,mdp.39015056038212,140403.13608545065,,0.0,5.5,36.0,0.0,28,,0.6322861970165832,332.3038308250592,5937.43101449136,332.3038308250591,,0.0,332.3038308250592,,,171.28972353727374,0.0,-3.5,1.5108574329444764,0.6322861970165832,,0.17828116930490978,0.9748892767380698,0.9124835385857256,0.0015269352681176462,0.09773464725893553,0.08532244930529151,0.8432717865746868,0.16015721228413685,0.9999999999997679,0.9673625631566137,0.9673625631566137,0.9673625631505435,,1.0,0.03263743684338638,0.6267333324683414,,,,,,0.9043277366991551,0.375,0.2222222222222222,0.9999999999237638,0.9999999999237638,2.9121977820362313,0.9425366994883038,5,1.3337732151593698,0.6555481735874593,106,0,0.7552507014620142,0.9410024454587426,6,0,0.43934083514499495,0.7375684468998995,45,47.47279922931306,0.9502381559441163,40.5,10.042105263157895,0.9538926628777185,7,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,5.5,7
dmey,1,constant,0.4358738309582264,63.76987572433115,25512664.19404866,0.5615384615384615,95.93661322300471,459,smoothed,0.5018866656262855,,7.590706181919387,86867.97523446496,0.9874829282728489,6.461351375745583e-05,0.9999988266216493,652.0217188306951,,,,[],[],16,644.92306159429,177.88972353727365,1020.5108574329445,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[278.0668830346426, 1020.5108574329445, 976.378095658872, 586.8230769365935, 837.9066145641059, 773.3190021018199, 296.75309452778026, 998.2390443455189, 177.88972353727365, 608.875507117623, 198.13570561467054, 897.0306637822872, 824.8706066602047, 488.0037436906839, 400.88821516886173, 955.0781513347556]","[0, 0, 50, 79, 104, 104, 199, 104, 246, 264, 307, 264, 352, 392, 352, 352]","[28, 104, 104, 104, 155, 208, 208, 352, 264, 290, 316, 352, 404, 404, 432, 456]",193729439.41608542,1019.6322861970166,-1019.6322861970166,0.0,,,,DWT,mdp.39015056038212,140403.13608545065,,0.0,5.5,36.0,0.0,28,,0.6322861970165832,332.3038308250592,5937.43101449136,332.3038308250591,,0.0,332.3038308250592,,,171.28972353727374,0.0,-3.5,1.5108574329444764,0.6322861970165832,,0.17828116930490978,0.9748892767380698,0.9124835385857256,0.0015269352681176462,0.09773464725893553,0.08532244930529151,0.8432717865746868,0.16015721228413685,0.9999999999997679,0.9673625631566137,0.9673625631566137,0.9673625631505435,,1.0,0.03263743684338638,0.6267333324683414,,,,,,0.9043277366991551,0.375,0.2222222222222222,0.9999999999237638,0.9999999999237638,2.9121977820362313,0.9425366994883038,6,1.3337732151593698,0.6555481735874593,107,0,0.7552507014620142,0.9410024454587426,7,0,0.43934083514499495,0.7375684468998995,46,47.47279922931306,0.9502381559441163,41.5,11.743680054536158,0.9533685538630434,8,dmey,7.777777777777778,5.0,10.096754153907305,9,0.011763457218163485,0.03695968448145177,0.9806776746028499,1,6.25,8
db21,1,antireflect,2.0343994467199812e-26,317.07912138956925,27489079.50012807,0.524,162.85015482325625,459,smoothed,1.0455446723844657e-13,-4.272906473090647e-10,7.71745068116699,169361.52828562201,0.992567974877224,6.493147229030239e-05,0.9999999999999999,652.1999999999998,,,,[],[],16,643.3625,177.4000000000001,1018.9999999999997,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[276.2000000000003, 1018.9999999999997, 974.2, 584.6000000000001, 835.8, 771.1999999999998, 295.99999999999994, 995.5999999999997, 177.4000000000001, 607.8000000000002, 197.80000000000007, 895.0, 822.6000000000001, 488.19999999999965, 399.4000000000001, 953.0000000000003]","[1, 1, 53, 79, 107, 107, 199, 53, 246, 264, 307, 264, 348, 392, 348, 348]","[28, 348, 103, 103, 155, 208, 208, 348, 264, 290, 316, 348, 406, 406, 432, 456]",193589036.27999997,1018.9999999999997,-1018.9999999999997,0.0,,,,DWT,mdp.39015056038212,0.0,,0.0,14.5,36.0,0.0,28,,3.410605131648481e-13,330.7432692307692,5962.4,330.7432692307693,,0.0,330.7432692307692,,,170.80000000000018,0.0,10.0,3.410605131648481e-13,3.410605131648481e-13,,2.2737367544323206e-13,1.30120407171374e-13,3.3653881459563816e-26,0.9739648852804175,0.4952383341363392,0.4644917737840123,0.2322967756847342,0.5227072121908429,5.775998043223611e-09,3.776893320734619e-09,3.776893320734619e-09,3.589965502373302e-09,,1.2753656279556962e-12,0.9999999962231068,1.4147859839600316e-13,,,,,,0.0,0.625,0.5555555555555556,5.394084431197884e-13,5.394084431197884e-13,0.6180555587439582,0.20003450659577568,59,1.3662455802786964,0.6715083078922228,92,0,0.18171296405840903,0.22640474642329037,60,0,0.3840998544394967,0.6448295046371458,81,16.22754859285078,0.9829899909928189,73.0,70.38404277458498,0.9532350374251306,9,db,406.7426900584795,424.5,248.16002875784463,342,0.6151757442818985,0.9084024651871441,0.29685623944652784,4,7.75,9
db32,1,symmetric,3.4503748014363706e-26,314.78482094575946,28307279.81572276,0.5306513409961686,170.39861076330752,459,smoothed,1.3963104456259108e-13,-4.5076151700129683e-10,7.766698743233919,60330.31214402781,0.9761184025120483,6.493147229030237e-05,1.0,652.1999999999998,,,,[],[],16,643.3625000000001,177.39999999999986,1019.0000000000001,"[13, 45, 73, 96, 134, 177, 202, 226, 251, 284, 311, 343, 373, 400, 424, 453]","[276.20000000000016, 1019.0000000000001, 974.1999999999999, 584.6000000000001, 835.7999999999996, 771.2000000000004, 296.0000000000001, 995.6000000000001, 177.39999999999986, 607.7999999999998, 197.8000000000004, 894.9999999999999, 822.6000000000003, 488.20000000000016, 399.40000000000015, 953.0000000000007]","[1, 1, 51, 79, 103, 103, 199, 51, 246, 264, 307, 264, 352, 392, 404, 404]","[28, 456, 103, 103, 155, 208, 208, 456, 264, 290, 316, 404, 404, 404, 432, 456]",193589036.27999997,1019.0000000000001,-1019.0000000000001,0.0,,,,DWT,mdp.39015056038212,0.0,,0.0,14.5,36.0,0.0,28,,1.1368683772161603e-13,330.74326923076933,5962.399999999998,330.7432692307693,,0.0,330.74326923076933,,,170.79999999999995,0.0,1.0,1.1368683772161603e-13,1.1368683772161603e-13,,2.2737367544323206e-13,1.982548714638516e-13,6.329673015688829e-26,0.9651572130044549,0.6496930549280323,0.6214610403131843,0.3405538264805737,0.04352713156745669,5.775533753360404e-09,3.776963793050937e-09,3.776963793050937e-09,3.589965502373302e-09,,1.2753656279556962e-12,0.9999999962230363,4.7159532798667715e-14,,,,,,0.0,0.625,0.3333333333333333,1.798028143732628e-13,1.798028143732628e-13,0.5958333365214127,0.19284225471022942,130,1.3683037586425528,0.6725199004568418,90,0,0.16319444553978987,0.20333165138536397,130,0,0.37434175232770006,0.6284475350054972,97,21.266170318136737,0.977708416857299,111.75,108.68087143883169,0.9302850260387123,10,db,406.7426900584795,424.5,248.16002875784463,342,0.6151757442818985,0.9084024651871441,0.29685623944652784,4,8.5,10
