wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,antireflect,0.6659710299149628,61.36733290024491,31098853.37633926,0.5301369863013699,103.45003196883714,670,smoothed,0.6667378969574452,,8.11472881218724,140741.5043218982,0.9962677076561375,0.00013386001631417556,0.9999985263831079,609.2837732212142,,,,[],[],13,786.1660142891458,171.38432099918072,956.5712638775417,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[814.821751021352, 836.6234018001664, 813.428997993343, 901.8841432241873, 868.9945042137356, 801.7300327047797, 768.3262434690196, 748.0156410008988, 869.4813949887111, 171.38432099918072, 803.4813101644578, 956.5712638775417, 865.4151803015187]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 343, 397, 449, 502, 514, 559, 669, 669]",234009915.67573366,956.5712638775417,-956.5712638775417,0.0,,,,DWT,mdp.39015056038238,259938.59573373199,,0.0,-18.5,57.0,0.0,-5,,1.3712638775416508,484.9260142891457,10866.641814241108,484.92601428914554,,0.0,484.9260142891457,,,166.78432099918072,0.0,-5.0,1.3712638775416508,1.3712638775416508,,0.68377322121421,0.971022699554381,0.9744250988537021,0.0004282427384710852,0.6071790123068321,0.6495326198936876,0.1094178082191775,0.6712251102371127,0.0,0.9517619392815694,0.9517619392815694,0.951761939279119,,1.0,0.04823806071843406,0.5089149066017938,,,,,,1.0,0.0,1.0,1.0000000000000002,1.0000000000000002,2.6351622290127916,1.0,1,1.8168317983043942,0.9026746973665362,11,0,0.7010365654302072,0.9537558217263676,4,0,0.5690329416861949,0.9785533334142346,3,4.349329450233296,0.9954409544546821,4.75,2.389140271493213,0.9952309594076345,1,dmey,6.888888888888889,5.0,4.85912657903775,9,0.0100327042311099,0.016997849974592836,0.9878777520458452,1,1.0
dmey,1,antisymmetric,0.6612576743538987,61.39817902209448,31076839.403223783,0.5287671232876713,99.71009661826251,670,smoothed,0.6659517453909722,,8.110761473884107,139372.7826238271,0.9963266914688347,0.00013386466704903624,0.9999985517233277,609.2837732212142,,,,[],[],13,786.1626713879828,171.38432099918072,956.523387290172,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[814.8219431137054, 836.6234018001664, 813.428997993343, 901.8841432241873, 868.9945042137356, 801.7300327047797, 768.3262434690196, 748.0156410008988, 869.4813949887111, 171.38432099918072, 803.4813101644578, 956.523387290172, 865.4194070814168]","[0, 0, 115, 0, 233, 288, 343, 397, 288, 502, 502, 0, 614]","[58, 174, 174, 502, 502, 343, 397, 449, 502, 514, 559, 669, 669]",234008228.84078744,956.5712638775417,-956.5712638775417,0.0,,,,DWT,mdp.39015056038238,258251.76078751683,,0.0,-18.5,57.0,0.0,-5,,1.3712638775416508,484.9226713879827,10866.685271956227,484.9226713879826,,0.0,484.9226713879827,,,166.78432099918072,0.0,-23.0,1.3233872901719224,1.3712638775416508,,0.68377322121421,0.969877765360871,0.9675286848173302,0.0005456455991065257,0.5895660990589867,0.6435793952629772,0.09023972602739752,0.6603328091009112,0.0,0.9501807363838577,0.9501807363838577,0.9501807363813565,,1.0,0.04981926361613742,0.491146547507147,,,,,,0.9935106406901456,0.0,0.19999999999999996,1.0000000000000002,1.0000000000000002,2.542400888651437,0.9647986225136106,4,1.7886096890704288,0.8886528248213778,12,0,0.6320848884135418,0.8599475004270588,9,0,0.5602385893182259,0.9634298806324073,5,3.696845502136472,0.9961248998929387,7.5,6.206896551724139,0.9941316323364064,2,dmey,6.888888888888889,5.0,4.85912657903775,9,0.0100327042311099,0.016997849974592836,0.9878777520458452,1,1.75
dmey,1,reflect,0.678649012840104,61.28543405864008,31097270.955647178,0.5301369863013699,103.45003196883714,670,smoothed,0.6831035023160574,,8.114635392403898,62826.65568645122,0.9916215715940379,0.00013386624969442522,0.9999989195489362,608.4615007603995,,,,[],[],13,786.2362938827386,171.38432099918072,957.4772903529118,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[814.8213093363838, 836.6234018001664, 813.428997993343, 901.8841432241873, 868.9945042137356, 801.7300327047797, 768.3262434690196, 748.0156410008988, 869.4813949887111, 171.38432099918072, 803.4813101644578, 957.4772903529118, 865.4232302278242]","[0, 0, 115, 0, 233, 288, 343, 397, 288, 502, 502, 0, 614]","[58, 174, 174, 502, 502, 343, 397, 449, 502, 514, 559, 668, 668]",233994178.15488395,956.5712638775417,-956.5712638775417,0.0,,,,DWT,mdp.39015056038238,244201.07488402724,,0.0,-9.5,57.0,0.0,-5,,1.3712638775416508,484.9962938827385,10865.728179524402,484.9962938827384,,0.0,484.9962938827385,,,166.78432099918072,0.0,-23.0,2.277290352911791,1.3712638775416508,,0.13849923960049182,0.9948572143879909,0.9929750720660109,0.00011652905420256321,0.6067642771837054,0.6491046868808309,0.1094178082191775,0.05117795564398483,0.0,0.9850044109011581,0.9850044109011581,0.9850044109003945,,0.20255142392758793,0.014995589098849904,0.8451670216348046,,,,,,0.9394567751461369,0.6666666666666666,0.19999999999999996,1.0000000000000002,1.0000000000000002,2.3742560413811695,0.9009904647391045,9,1.5864849125660583,0.7882291523429236,19,0,0.651987559098063,0.8870249582506973,8,0,0.4863447919194148,0.8363563555936425,15,5.188127472091127,0.9945617112451876,12.75,11.254627725215961,0.9905984656854869,3,dmey,6.888888888888889,5.0,4.85912657903775,9,0.0100327042311099,0.016997849974592836,0.9878777520458452,1,2.5
dmey,1,periodic,0.6834502012503566,61.254817518417,31093053.746837232,0.5273972602739726,99.71009661826251,670,smoothed,0.6866347174617229,,8.112923620407594,63324.27082106485,0.9917068805024061,0.00013386314574588396,0.9999989479840727,608.7380572916786,,,,[],[],13,786.2679968174544,171.38432099918072,957.8944855805032,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[814.8204980657367, 836.6234018001664, 813.428997993343, 901.8841432241873, 868.9945042137356, 801.7300327047797, 768.3262434690196, 748.0156410008988, 869.4813949887111, 171.38432099918072, 803.4813101644578, 957.8944855805032, 865.4189844221876]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 343, 397, 449, 502, 514, 559, 668, 668]",233997375.15468395,956.5712638775417,-956.5712638775417,0.0,,,,DWT,mdp.39015056038238,247398.07468402386,,0.0,-9.5,57.0,0.0,-5,,1.3712638775416508,485.0279968174544,10865.316041373095,485.0279968174544,,0.0,485.0279968174544,,,166.78432099918072,0.0,-5.0,2.6944855805031693,1.3712638775416508,,0.13805729167859226,0.9999999999999962,0.9999999999999977,0.0,0.5991649021449845,0.6479642298071114,0.071061643835616,0.05513798192528197,0.0,1.0,1.0,1.0,,0.20190508694306145,0.0,1.0,,,,,,0.9517558328946502,0.6666666666666666,1.0,1.0000000000000002,1.0000000000000002,2.543497126585523,0.9652146264780027,3,1.5740444162804046,0.78204821625945,29,0,0.7350272988753649,0.9999999999999698,2,0,0.4819041082447126,0.8287198103355747,16,12.7148207485071,0.9866720956514601,12.5,4.2996138996139,0.9867846851422919,4,dmey,6.888888888888889,5.0,4.85912657903775,9,0.0100327042311099,0.016997849974592836,0.9878777520458452,1,3.25
dmey,1,symmetric,0.6808635113209981,61.27128567377507,31075559.411908906,0.5287671232876713,99.71009661826251,670,smoothed,0.6842330212514822,,8.110697212551523,63537.315795454575,0.9919683989144088,0.00013386160016600808,0.9999989140497616,608.4872289296763,,,,[],[],13,786.2444630711499,171.38432099918072,957.5879086745099,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[814.8211172440305, 836.6234018001664, 813.428997993343, 901.8841432241873, 868.9945042137356, 801.7300327047797, 768.3262434690196, 748.0156410008988, 869.4813949887111, 171.38432099918072, 803.4813101644578, 957.5879086745099, 865.4190034479261]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 343, 397, 449, 502, 514, 559, 668, 668]",233995863.3155959,956.5712638775417,-956.5712638775417,0.0,,,,DWT,mdp.39015056038238,245886.23559597135,,0.0,-9.5,57.0,0.0,-5,,1.3712638775416508,485.0044630711498,10865.621980075055,485.0044630711497,,0.0,485.0044630711498,,,166.78432099918072,0.0,-5.0,2.387908674509845,1.3712638775416508,,0.1127710703236744,0.9965022214153086,0.9962152473953073,6.267914514035411e-05,0.5892808122521871,0.6432332480326319,0.09023972602739752,0.05683339598927873,0.0,0.9888684630397099,0.9888684630397099,0.9888684630391092,,0.16492466628544067,0.011131536960322985,0.8862206173186964,,,,,,0.9459396935722652,0.6666666666666666,1.0,1.0000000000000002,1.0000000000000002,2.4607565404705882,0.9338159576583105,5,1.5718037012979413,0.7809349394439696,31,0,0.7201240474934935,0.9797242205769826,3,0,0.4817667614653217,0.8284836181242621,17,12.909944487358056,0.9864675634304423,14.0,6.405996758508914,0.9858962555097703,5,dmey,6.888888888888889,5.0,4.85912657903775,9,0.0100327042311099,0.016997849974592836,0.9878777520458452,1,4.0
coif17,1,symmetric,6.255127285690041e-26,311.63952475985536,32337761.500345048,0.535064935064935,106.33773517785646,670,smoothed,1.7773179279887338e-13,-7.27412485801438e-10,8.184566396126144,64010.15350718007,0.9913085228506775,0.00013447750986046272,0.9999999999999998,608.6000000000001,,,,[],[],13,784.1538461538462,171.7999999999999,955.1999999999997,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[812.4000000000002, 834.5999999999998, 811.2000000000007, 899.2000000000005, 866.6000000000001, 799.8000000000003, 766.3999999999999, 745.1999999999998, 867.2000000000005, 171.7999999999999, 801.6000000000001, 955.1999999999997, 862.7999999999998]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 342, 397, 449, 502, 514, 559, 668, 668]",233749977.07999998,955.1999999999997,-955.1999999999997,0.0,,,,DWT,mdp.39015056038238,5.960464477539063e-08,,0.0,-5.0,57.0,0.0,-5,,3.410605131648481e-13,482.9138461538461,10892.800000000003,482.9138461538462,,0.0,482.9138461538461,,,167.1999999999999,0.0,-5.0,3.410605131648481e-13,3.410605131648481e-13,,1.1368683772161603e-13,2.0792238361901124e-13,8.619852086816058e-26,0.9529846582608307,0.9172214673159884,0.9845697492809653,0.17840909090908993,0.06059624328827658,0.9999999934293785,2.2515810502358277e-09,2.2515810502358277e-09,2.2024851725559245e-09,,1.6626395154776123e-13,0.9999999977484313,1.265772270717286e-13,,,,,,2.293027882494473e-13,1.0,1.0,2.487198261039942e-13,2.487198261039942e-13,0.999999998915084,0.37948327731219533,23,1.6182885369339846,0.8040304648410148,17,0,0.33333333315703967,0.453497895475514,23,0,0.4419687441507657,0.7600438501364309,28,4.5,0.9952830188679245,22.75,22.039255158530448,0.9857180293501048,6,coif,418.65359477124184,440.0,230.04354050865192,153,0.6097104713657624,0.8047219033270335,0.33178609904585626,3,5.25
coif17,1,reflect,6.14286484348934e-26,311.7181766757782,32394819.841927126,0.5324675324675324,107.34834099429644,670,smoothed,1.789858477019125e-13,-7.307321636673701e-10,8.18948592312599,63307.69576472251,0.9908749918183983,0.00013447750986046278,0.9999999999999998,608.6000000000001,,,,[],[],13,784.1538461538462,171.7999999999999,955.1999999999997,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[812.4000000000002, 834.5999999999998, 811.2000000000007, 899.2000000000005, 866.6000000000001, 799.8000000000003, 766.3999999999999, 745.1999999999998, 867.2000000000005, 171.7999999999999, 801.6000000000001, 955.1999999999997, 862.7999999999997]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 342, 397, 449, 502, 514, 559, 668, 668]",233749977.07999998,955.1999999999997,-955.1999999999997,0.0,,,,DWT,mdp.39015056038238,5.960464477539063e-08,,0.0,-5.0,57.0,0.0,-5,,3.410605131648481e-13,482.9138461538461,10892.800000000003,482.9138461538462,,0.0,482.9138461538461,,,167.1999999999999,0.0,-5.0,3.410605131648481e-13,3.410605131648481e-13,,1.1368683772161603e-13,2.0974876214480886e-13,8.455593678529223e-26,0.9532840138806009,0.939061601846563,1.0,0.14204545454545353,0.05500607745903097,0.9999999934293785,2.2515810502358277e-09,2.2515810502358277e-09,2.2024851725559245e-09,,1.6626395154776123e-13,0.9999999977484313,1.265772270717286e-13,,,,,,2.293027882494473e-13,1.0,1.0,2.487198261039942e-13,2.487198261039942e-13,0.999999998915084,0.37948327731219533,22,1.620321822053499,0.8050406822049064,16,0,0.33333333315703967,0.453497895475514,24,0,0.4413424496759798,0.7589668254141283,30,5.773502691896258,0.993948110385853,23.0,21.86335403726708,0.9849195478554003,7,coif,418.65359477124184,440.0,230.04354050865192,153,0.6097104713657624,0.8047219033270335,0.33178609904585626,3,6.0
coif17,1,periodic,6.232490693892633e-26,311.65526988865554,32112827.005976405,0.5233766233766234,99.62760099665675,670,smoothed,1.7820935440439116e-13,-7.315780869987529e-10,8.187912840343671,62649.97065609026,0.9918355423553258,0.00013447750986046272,0.9999999999999998,608.6,,,,[],[],13,784.1538461538462,171.7999999999999,955.1999999999997,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[812.4, 834.5999999999998, 811.2000000000007, 899.2000000000005, 866.6000000000001, 799.8000000000003, 766.3999999999999, 745.1999999999998, 867.2000000000005, 171.7999999999999, 801.6000000000001, 955.1999999999997, 862.8]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 342, 397, 449, 502, 514, 559, 668, 668]",233749977.07999998,955.1999999999997,-955.1999999999997,0.0,,,,DWT,mdp.39015056038238,5.960464477539063e-08,,0.0,-5.0,57.0,0.0,-5,,3.410605131648481e-13,482.9138461538461,10892.800000000003,482.91384615384624,,0.0,482.9138461538461,,,167.1999999999999,0.0,-5.0,3.410605131648481e-13,3.410605131648481e-13,,0.0,2.086178940459865e-13,8.586731031681398e-26,0.9530445855078028,0.9320779345967152,0.9237408582331117,0.014772727272726938,0.049771894382836857,0.9999999934293785,2.2515810502358277e-09,2.2515810502358277e-09,2.202512059674101e-09,,0.0,0.9999999977484313,1.265772270717286e-13,,,,,,2.293027882494473e-13,1.0,1.0,2.487198261039942e-13,2.487198261039942e-13,0.9999999989150088,0.3794832773121668,78,1.5255539963818834,0.7579562363921202,40,0,0.333333333157028,0.4534978954754981,69,0,0.4104868571419147,0.7059051470529275,55,16.623276853055575,0.9825751814957489,60.5,56.741544765122384,0.9595789953600338,8,coif,418.65359477124184,440.0,230.04354050865192,153,0.6097104713657624,0.8047219033270335,0.33178609904585626,3,6.75
db25,1,antireflect,2.5336550240987275e-26,315.5644114540891,30451853.870406006,0.5292479108635098,106.43974310990767,670,smoothed,1.1568857397763833e-13,-7.030141802033545e-10,8.092619654016485,121446.42173004246,0.9954674433184881,0.00013447750986046278,0.9999999999999999,608.5999999999998,,,,[],[],13,784.1538461538462,171.80000000000024,955.2000000000003,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[812.4000000000001, 834.6000000000005, 811.2000000000003, 899.1999999999998, 866.6, 799.8000000000001, 766.3999999999997, 745.1999999999999, 867.1999999999999, 171.80000000000024, 801.5999999999999, 955.2000000000003, 862.7999999999997]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 342, 397, 449, 502, 514, 559, 668, 668]",233749977.07999995,955.2000000000003,-955.2000000000003,0.0,,,,DWT,mdp.39015056038238,2.9802322387695312e-08,,0.0,-5.0,57.0,0.0,-5,,2.2737367544323206e-13,482.9138461538461,10892.800000000003,482.9138461538461,,0.0,482.9138461538461,,,167.20000000000024,0.0,-5.0,2.2737367544323206e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.1756397725908723e-13,3.1747263779012664e-26,0.9679230977774667,0.5090258791250857,0.47456495846454017,0.09697075208913612,0.5176746475429371,0.999999993430199,2.2515810502358277e-09,2.2515810502358277e-09,2.202458285437748e-09,,3.3252790309552245e-13,0.9999999977484313,8.438481804781905e-14,,,,,,1.1465139412472364e-13,1.0,1.0,1.6581321740266278e-13,1.6581321740266278e-13,0.9999999989152935,0.3794832773122748,11,1.3184074373141574,0.6550375415016585,84,0,0.3333333331570928,0.4534978954755863,11,0,0.3665941907141833,0.6304239017703266,82,41.57723736212721,0.9564179901864495,47.0,19.425201897192665,0.9535758714034972,9,db,415.3801169590643,366.5,256.004173036892,342,0.6049431082646317,0.8955355361441364,0.30787916337151683,4,7.75
dmey,1,smooth,0.658136771125024,61.41872471384537,29208154.674364388,0.5438356164383562,72.45848510737794,670,smoothed,0.6714623791595131,,8.007208582028872,78040.54227979065,0.993757216147812,0.00013386313863337446,0.9999988306584552,608.8979756345593,,,,[],[],13,786.2033464405821,171.38432099918072,957.0527777255467,"[23, 83, 159, 216, 256, 310, 364, 411, 470, 511, 550, 599, 647]","[814.821530178868, 836.6234018001664, 813.428997993343, 901.8841432241873, 868.9945042137356, 801.7300327047797, 768.3262434690196, 748.0156410008988, 869.4813949887111, 171.38432099918072, 803.4813101644578, 957.0527777255467, 865.4192052646715]","[1, 1, 115, 1, 233, 288, 343, 397, 288, 502, 502, 1, 614]","[58, 174, 174, 502, 502, 343, 397, 449, 502, 514, 559, 669, 669]",234002037.41923118,956.5712638775417,-956.5712638775417,0.0,,,,DWT,mdp.39015056038238,252060.33923125267,,0.0,-18.5,57.0,0.0,-5,,1.3712638775416508,484.96334644058203,10866.156496272435,484.963346440582,,0.0,484.96334644058203,,,166.78432099918072,0.0,-5.0,1.8527777255466162,1.3712638775416508,,0.2979756345592932,0.9779033335828103,0.9629622903336281,0.0006238441809913731,0.1298452581693313,0.13823218253942052,0.30119863013698656,0.17225021924600903,0.0,0.9694201658190031,0.9694201658190031,0.969420165817474,,0.43578137504443815,0.030579834180988086,0.6876183487315704,,,,,,0.9696918555698076,0.0,1.0,1.0000000000000002,1.0000000000000002,2.4343138560000463,0.9237814010836104,8,1.1949409408911889,0.5936944483229045,129,0,0.6693276592485237,0.9106160550398797,5,0,0.38328796545559685,0.6591318160644788,71,58.95973202110064,0.9381973458898316,53.25,11.532813397656355,0.9411898679134693,10,dmey,6.888888888888889,5.0,4.85912657903775,9,0.0100327042311099,0.016997849974592836,0.9878777520458452,1,7.75
