signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus8,21.754218970159606,0.6530511811023622,524.8970855537191,-30.21694371891348,896,127,34920.63292408599,,False,"[44, 73, 108, 162, 206, 265, 306, 343, 378, 422, 478, 512, 543, 582, 616, 653, 685, 736, 788, 834, 876]","[52909.61742746261, 91981.09851837187, 89227.88948089744, 33849.982763334454, 46507.10520073141, 60410.75177373388, 31656.52671341376, 5396.457081981849, 28589.239982133076, 30669.42406100187, 60738.3268972894, 224.8735820163356, 38321.66934607961, 64867.261125276375, 58370.49160969772, 52472.99958273915, 64822.342769849776, 30699.715553382946, 85075.0342584066, 39081.681050417435, 122208.83834246904]",21,15.50951296025789,376301.2697141156,0.01620765304438755,6.080707363614345e-07,0.4439045667574169,18,66933.82445790916,224.8735820163356,147966.20907183213,"[44, 73, 143, 206, 256, 306, 337, 378, 408, 455, 512, 543, 616, 653, 720, 752, 834, 876]","[52909.61742746261, 139393.59952379818, 33849.982763334454, 115080.96026769903, 377.20251731620374, 64955.43363836307, 8242.561636641578, 55900.26680418747, 4946.192602664626, 96716.32353553848, 224.8735820163356, 101098.45166803931, 147966.20907183213, 67973.32664189147, 37761.426281004286, 93576.20119214428, 39081.681050417435, 144754.53003801405]","[0, 0, 108, 108, 255, 265, 332, 367, 405, 265, 478, 478, 108, 634, 685, 685, 108, 108]","[56, 108, 162, 582, 265, 422, 367, 422, 422, 478, 513, 582, 788, 788, 736, 788, 842, 895]",0.05,30,1782022549953.4702,127149.18824248406,-127149.18824248406,CWT,mdp.39015056038378,0.0,-0.5,,202.8735820163356,146597.54240516547,66069.57808109756,125780.52157581739,0.0,66069.57808109756,1184931.1735756982,66069.57808109757,0.0,125780.52157581739,0.0,-9.5,0.0,4.0,5.0,0.09432673301370298,0.019716873632398327,0.8068347300670424,0.5794370135640319,0.8133093418849077,0.2936105476673425,0.8265647177021336,0.04442593857637492,,0.026372376321023138,1.0,1.0,1.0,0.9104941288464243,0.26017290062887505,0.6000000000000001,,0.15384615384615385,0.725,0.11012266603590973,0.11012266603590973,0.8837209302325579,2.0419230954794476,0.8473733903734483,3,1.680527579336866,0.7343213970303473,4,0,0,0.5649876518289044,0.9786977836726319,2,1,0.11111111111111112,0.4292226814579362,0.7296433849623661,4,0.9574271077563381,0.9263517609418201,3.25,3.0,0.8381758804709101,1,gaus,6.875,6.5,4.764076885549662,8,0.6875,1.0,0.21875,1,1.0,1
smoothed,gaus6,21.911296974527655,0.6593609392575928,542.0845860786521,-31.58123714964566,896,127,39912.413596100334,,False,"[44, 73, 109, 162, 206, 265, 306, 343, 378, 422, 478, 543, 582, 616, 653, 685, 736, 788, 834, 875]","[124611.40829546128, 45746.60354206209, 37766.79016726955, 80915.38872401792, 32473.416010373505, 52725.55687239297, 34062.01298974025, 5995.000403803565, 34607.75826025941, 26291.457033469564, 63411.50731529248, 31384.368925071, 52241.344354540764, 64235.28669737171, 50253.640451523745, 71150.11876343862, 34271.65378769129, 70723.29561832683, 35912.824766413316, 134272.26592750556]",20,15.415282458317364,433244.1828891264,0.015314495595314026,6.706868692429787e-07,0.37916672409297913,18,64066.37169574028,147.16757520508872,162460.4535845354,"[44, 73, 128, 206, 256, 306, 337, 378, 408, 455, 496, 543, 616, 653, 720, 752, 834, 875]","[162460.4535845354, 45746.60354206209, 37766.79016726955, 89005.28921867048, 147.16757520508872, 51051.98531361797, 8080.609766826656, 99570.41687751308, 4765.39205320672, 57383.110525733326, 6335.08844660399, 87930.44757810663, 137281.4379256242, 57696.18835153532, 34271.65378769129, 83788.98567415305, 35912.824766413316, 154000.2453685567]","[0, 56, 109, 162, 255, 265, 332, 162, 405, 422, 478, 478, 162, 635, 685, 685, 162, 162]","[162, 162, 162, 265, 265, 367, 367, 478, 422, 478, 501, 582, 788, 788, 736, 788, 842, 895]",0.05,30,2436223867523.6064,138756.0343378044,-138756.0343378044,CWT,mdp.39015056038378,0.0,-5.0,,125.16757520508872,161091.78691786874,63202.12531892869,137387.36767113773,0.0,63202.12531892869,1133317.0238566583,63202.12531892867,0.0,137387.36767113773,0.0,-9.5,0.0,4.0,5.0,0.1651544366218187,0.022551330400739575,0.7030472281416231,0.5136495558914372,0.830176750316663,0.3391227180527381,0.7040396233879789,0.07682306085735635,,0.015358490896942047,0.9090790826991515,0.9090790826991515,0.9090790826991506,0.8368898739350672,0.3403096516867037,0.6000000000000001,,0.15384615384615385,0.5,0.13716250915622458,0.13716250915622458,0.8837209302325579,1.9483722896028208,0.8085509373029361,4,1.5980473810150206,0.6982809444940449,5,0,0,0.5276406139172772,0.9140035144925399,4,1,0.11111111111111112,0.4137650324032388,0.7033666482775295,5,0.5773502691896257,0.9555884408315672,4.5,4.444444444444445,0.8047172973388605,2,gaus,6.875,6.5,4.764076885549662,8,0.6875,1.0,0.21875,1,1.75,2
smoothed,gaus4,22.149078718563928,0.6704161979752531,581.8833353982052,-33.505309490977695,896,127,46849.551296727586,,False,"[44, 73, 109, 162, 216, 265, 306, 337, 378, 408, 441, 478, 528, 582, 616, 653, 686, 736, 787, 834, 873]","[162289.49379352515, 38500.52498329854, 15150.488704585354, 95468.72160865634, 36908.233772573476, 51450.8351597182, 39807.1805371834, 7925.07652085886, 46760.59154361786, 3828.8659955122275, 11190.73123754181, 68412.28311421671, 21746.69591945725, 49579.3771418721, 56779.84267766543, 36418.99810875151, 81361.01800528583, 25280.575822406456, 26822.337973499918, 34040.28693758986, 155826.8193926581]",21,15.286976390552319,531797.8794763802,0.015081591567636932,7.923482984944457e-07,0.2998196492460679,18,58281.11266215769,141.4311172104501,190357.70387780236,"[44, 73, 128, 202, 233, 306, 337, 378, 408, 454, 514, 543, 616, 653, 720, 753, 834, 873]","[190357.70387780236, 38500.52498329854, 15150.488704585354, 141.4311172104501, 66218.31224660244, 41059.38935259904, 7925.07652085886, 116089.88852515521, 3828.8659955122275, 42222.28470747644, 21746.69591945725, 71739.25542629299, 140560.55752208238, 47238.968057699516, 1711.3606576296952, 43771.61246752679, 34040.28693758986, 166757.32489945908]","[0, 56, 109, 162, 162, 162, 332, 162, 405, 423, 478, 478, 162, 635, 686, 686, 162, 162]","[162, 162, 162, 203, 265, 315, 368, 478, 478, 478, 528, 582, 686, 686, 723, 787, 842, 895]",0.05,30,3788828592659.028,163419.2120284333,-163419.2120284333,CWT,mdp.39015056038378,0.0,-5.0,,119.43111721045011,188989.0372111357,57416.8662853461,162050.54536176665,0.0,57416.8662853461,1029182.3612521718,57416.8662853461,0.0,162050.54536176665,0.0,-5.0,0.0,-0.5,5.0,0.2635845490871648,0.028058602180685784,0.5566750054714062,0.4240720854503107,0.8557103176064367,0.41886409736308317,0.553864587751355,0.1328942377879595,,0.014545417446308124,0.7256406438533463,0.7256406438533463,0.7256406438533459,0.6883888467328046,0.4945498399207379,0.6000000000000001,,0.8461538461538461,0.5,0.19461898356161295,0.19461898356161295,0.6744186046511627,1.8362562469989376,0.7620241355116085,6,1.5036383193525316,0.657028069560758,6,0,0,0.5320180377990104,0.9215862909255818,3,1,0.11111111111111112,0.3986598797817446,0.6776891266431089,7,1.7320508075688772,0.8667653224947017,5.5,4.9411764705882355,0.7218441997088894,3,gaus,6.875,6.5,4.764076885549662,8,0.6875,1.0,0.21875,1,2.5,3
smoothed,gaus2,22.553527871422293,0.6592115438695163,608.9410187215943,-36.277030321541545,896,127,62910.22074286734,,False,"[73, 116, 163, 216, 265, 307, 337, 378, 408, 439, 478, 528, 582, 616, 653, 685, 755, 833, 871]","[213988.46406396801, 5964.811344389545, 58896.238411983366, 23465.96965122457, 19175.02485745987, 32001.076425018604, 7162.236479390536, 83576.96682331797, 1610.556971182741, 547.5612716078867, 61955.74504332339, 20072.258849726026, 55407.31295584146, 40470.75674208626, 30590.905132353273, 58107.72596398672, 20841.170187320124, 222244.6986169285, 1108.3711294803943]",19,15.150648758122825,621850.0590137189,0.011641492260118437,1.0382316469550554e-06,0.22235190083959033,17,55270.480502282095,245.38387591539686,236592.39336144517,"[73, 116, 202, 233, 307, 337, 378, 408, 439, 514, 543, 616, 653, 706, 755, 833, 871]","[236592.39336144517, 5964.811344389545, 245.38387591539686, 44075.30348602972, 32001.076425018604, 7162.236479390536, 143578.50708494708, 1610.556971182741, 547.5612716078867, 20072.258849726026, 56964.88107449392, 99892.59213898098, 44177.52052395806, 2518.8457179809993, 20841.170187320124, 222244.6986169285, 1108.3711294803943]","[0, 110, 163, 163, 163, 332, 163, 405, 437, 478, 478, 478, 635, 685, 478, 478, 869]","[478, 163, 203, 265, 315, 368, 478, 478, 478, 528, 582, 685, 685, 709, 763, 895, 895]",0.05,30,7178260694448.084,224882.70218152815,-224882.70218152815,CWT,mdp.39015056038378,0.0,-5.5,,223.38387591539686,235223.7266947785,54406.2341254705,223514.0355148615,0.0,54406.2341254705,919720.501872129,54406.23412547052,0.0,223514.0355148615,0.0,-10.0,0.0,-1.0,6.0,0.491467224633499,0.039189051941693066,0.3458186203574752,0.3288943228005804,0.8991410263080502,0.3380451318458418,0.40724643074837313,0.1841285584342091,,0.029279462095836036,0.6301798079355884,0.6301798079355884,0.6301798079355885,0.5322909812300873,0.7501752916743227,0.8,,0.07692307692307693,0.475,0.33780716041154746,0.33780716041154746,0.6511627906976742,1.8577265322194472,0.7709340442245595,5,1.3524737781527274,0.5909753856059409,8,0,0,0.49008211227090476,0.848942938035019,5,1,0.11111111111111112,0.37368574032815965,0.6352351361281139,9,2.0615528128088303,0.8414190143993208,6.75,6.2882096069869,0.6610941225842757,5,gaus,6.875,6.5,4.764076885549662,8,0.6875,1.0,0.21875,1,4.0,4
smoothed,morl,21.50799496816687,0.6539651293588301,486.79985434408513,-28.35708662853606,896,127,28272.69237645391,,False,"[16, 75, 108, 161, 196, 232, 266, 306, 337, 367, 422, 478, 513, 543, 582, 616, 653, 684, 720, 752, 788, 834, 877]","[63922.33742190741, 67182.69635419601, 82260.63576485204, 41469.629063572145, 45650.552360089445, 26321.11474701014, 68815.0473814936, 38422.705943360284, 1355.3680308865619, 28129.188192015583, 40161.95451366923, 59087.38906215549, 28.500839712825837, 47218.593442297366, 74417.62554522311, 47502.70287659917, 44404.89785726554, 65942.48977147778, 1606.975858910544, 54400.17067526901, 86901.5460278373, 26165.702243203763, 106241.45783868573]",23,15.586721232487239,298215.86629055435,0.020856253696903703,1.7919829592000465e-07,0.5355415173813719,20,63378.69090820273,0.9883367386792088,140091.92328254235,"[16, 75, 141, 196, 232, 265, 306, 337, 378, 413, 456, 513, 543, 583, 616, 653, 720, 752, 834, 877]","[70316.6349104542, 108299.1637824738, 43382.86511352645, 115074.86092085775, 50505.29105621969, 0.9883367386792088, 79229.88723527564, 8968.978343116365, 57139.85985012634, 6852.63113862872, 98286.86215236654, 28.500839712825837, 123172.74841058164, 376.0180717026815, 116441.63436484011, 75185.85165084648, 1606.975858910544, 140091.92328254235, 46166.32759150529, 126445.81525362836]","[0, 0, 108, 108, 216, 264, 266, 332, 367, 405, 266, 478, 108, 582, 108, 635, 684, 108, 788, 788]","[55, 788, 161, 266, 266, 266, 422, 367, 422, 422, 478, 514, 582, 584, 684, 684, 722, 788, 842, 895]",0.05,30,1164022002376.8408,108637.59914209436,-108637.59914209436,CWT,mdp.39015056038378,0.0,0.5,,21.01166326132079,138723.2566158757,62514.444531391135,107268.93247542769,0.0,62514.444531391135,1247696.1514973878,62523.12099354892,0.0,107268.93247542769,0.0,-8.5,0.0,-4.0,3.0,0.0,0.00030302075419644595,0.9483218302760917,0.6333403233911228,0.7868692249250462,0.30020283975659207,1.0,0.0,,0.0005956517360536095,0.8872741662109049,0.8872741662109049,0.8875492786412535,1.0,0.21663702130094845,0.20000000000000007,,0.3076923076923077,0.7749999999999999,0.06699721567053613,0.06699721567053613,0.5116279069767441,1.7245201879230032,0.7156550222890017,7,1.7992699144526352,0.7862069111278097,3,0,0,0.48397041084251574,0.8383559656948791,7,1,0.11111111111111112,0.45307409933232556,0.770188840796407,3,2.309401076758503,0.822353763326269,5.0,4.2,0.7188691893554422,4,morl,4.0,4.0,,1,0.4,,,5,4.25,5
smoothed,fbsp,17.80131066576797,0.7329689257592801,852.0237531183891,-36.33779674036134,896,127,68898.95057698642,-2228692.67197024,True,"[5, 36, 76, 136, 175, 231, 281, 324, 378, 415, 470, 501, 541, 614, 668, 719, 750, 779, 835, 891]","[11328.508987207286, 583.1849340958579, 39822.61801153174, 15572.857282187857, 67174.05997296657, 47678.15871109972, 60729.17319240736, 26955.791972324718, 43653.907060542624, 11445.982090165722, 73808.84367545453, 6009.328493606621, 22674.751389222372, 67468.63248889042, 56803.63080183309, 3415.648868287575, 51202.252847913376, 8274.469338010487, 32077.525721682527, 9413.180237602064]",20,15.526914017079125,723656.9676885206,0.015186140390544795,1.7250424857288842e-07,0.21899922197205188,21,49803.04824412203,38.80917557630164,185209.9394485991,"[41, 72, 129, 162, 201, 232, 304, 337, 378, 410, 457, 513, 542, 573, 614, 654, 687, 725, 754, 834, 874]","[189.58045441654394, 185209.9394485991, 27379.986659442166, 265.60796395091165, 38.80917557630164, 70396.37316600131, 42425.35836090004, 6556.159689639244, 119559.60317285085, 2279.5835078339805, 42459.58848652041, 23835.77487419324, 76176.36235562446, 1600.2452817476833, 112041.04995698325, 54035.53405921292, 361.6636750898324, 24612.731194376083, 62498.76705147108, 36158.68333243647, 157782.6112596967]","[0, 0, 111, 161, 163, 163, 163, 332, 163, 407, 422, 478, 478, 572, 478, 634, 684, 684, 684, 163, 163]","[43, 163, 163, 163, 202, 265, 367, 367, 684, 478, 478, 529, 581, 581, 684, 684, 689, 735, 786, 844, 895]",0.05,30,7295562300882.885,270416.6330267418,-270416.6330267418,CWT,mdp.39015056038378,0.0,1.0,,16.80917557630164,183841.27278193244,48938.80186731044,269047.9663600751,0.0,48938.80186731044,1025986.346459896,48948.45736491461,0.0,269047.9663600751,0.0,-8.0,0.0,-12.5,2.0,0.576440505622806,0.0,0.3411958649676206,0.5915856412961431,0.3888366785626474,0.8700557809330628,0.4009010340291853,0.242050619064463,0.0,0.0,0.4568189900171213,0.4568189900171213,0.4571251456095513,0.6838311762344691,0.4660885347312294,0.0,,0.38461538461538464,0.8,0.44388510239461987,0.44388510239461987,0.11627906976744184,1.3054601865488624,0.541750189672899,9,1.4730638042074937,0.6436682646096907,7,0,0,0.3924456246484631,0.6798124911441169,11,0,0.0,0.3790073471639919,0.6442814316592508,8,1.707825127659933,0.8686288363338512,8.75,8.512859884836852,0.5977759566284641,6,fbsp,6.0,6.0,,1,0.6,,,3,5.25,6
smoothed,cgau8,15.79492397841481,0.7129499437570304,669.0321683027511,-29.61965957331476,896,127,35478.882320882316,-1920517.5484849717,True,"[6, 35, 78, 137, 177, 208, 265, 308, 342, 372, 425, 473, 504, 542, 584, 614, 682, 713, 759, 790, 831, 860, 891]","[6438.650923950481, 71.61494196268177, 61563.96981269524, 12078.70040826246, 42819.919622549474, 9721.086675560226, 42949.9114889496, 11093.26290777215, 5588.4104697451, 29977.578013529972, 15494.066034548465, 47665.090612770204, 8989.460388157122, 13833.829463290396, 43451.02022684316, 525.4422173371058, 36151.98828209561, 5595.341290804903, 12687.663399785277, 63760.45637022514, 23879.04715407447, 369.8990834655124, 7353.0537763687025]",23,16.014899701659445,353979.98176184384,0.018088716915217677,2.226355660855926e-05,0.3503479559999692,18,51561.34983445029,211.53588698044314,106616.2848904965,"[18, 74, 143, 206, 256, 306, 337, 378, 413, 455, 512, 543, 616, 653, 720, 752, 834, 876]","[44389.10257919327, 91290.8646523937, 29300.54236330281, 91390.16938604851, 576.8470500488929, 53952.56313100344, 6001.519412163049, 43179.11978508986, 3538.0748562399654, 73844.00561821701, 211.53588698044314, 84169.93616288397, 106616.2848904965, 55356.026101709234, 27401.399478443826, 83242.15565759828, 32048.916589100467, 101595.23341919195]","[0, 0, 107, 107, 254, 265, 332, 367, 405, 265, 478, 265, 107, 634, 685, 685, 788, 788]","[56, 788, 162, 582, 265, 422, 367, 422, 422, 478, 513, 582, 788, 788, 736, 788, 842, 895]",0.05,30,1572999097518.6226,112837.24662002656,-112837.24662002656,CWT,mdp.39015056038378,0.0,4.0,,189.53588698044314,105247.61822382984,50697.103457638696,111468.57995335989,0.0,50697.103457638696,908226.6303534386,50697.103457638696,0.0,111468.57995335989,0.0,-9.5,0.0,4.0,5.0,0.10224765851376985,1.0,0.8522726307524405,0.9322750880044082,0.17338612032709622,0.7256592292089249,0.6494962198192733,0.03172645667533133,0.8273094543663051,0.024481919572891885,0.5125710482875658,0.5125710482875658,0.5125710482875656,0.5159001687535621,0.031554666855077296,0.6000000000000001,,0.15384615384615385,0.95,0.07678090781492466,0.07678090781492466,0.8837209302325579,1.3002271016920932,0.5395785227443013,10,2.288545024199281,1.0,1,0,0,0.40423156664606574,0.7002286458586645,10,0,0.0,0.5882636508519499,1.0,1,5.196152422706632,0.6002959674841053,5.5,1.8181818181818181,0.5886095222035911,7,cgau,7.0,7.0,,1,0.7,,,2,5.75,7
smoothed,gaus5,22.028866056919373,0.6718662120359955,572.3762031917668,-32.69889586289559,896,127,39791.23063331192,,False,"[5, 52, 88, 132, 176, 223, 277, 310, 340, 372, 417, 470, 506, 537, 593, 629, 670, 713, 746, 800, 846, 892]","[12618.703207948216, 17314.801794417537, 147242.77205736216, 11008.101891318147, 66957.8695529491, 33203.205063345384, 53777.39116698054, 23996.896407006527, 8704.025680933726, 38792.61598812567, 40630.48928899435, 70455.66356254292, 21116.64146786609, 43903.676264069334, 62161.137495292765, 46132.76228810545, 80579.8578860493, 9467.68002027489, 51639.471722532944, 128312.60878048094, 18050.816057430242, 7094.085657874559]",22,15.378549629152786,498652.2163909681,0.015143543279517821,7.265295559886052e-07,0.02199440025292046,17,63233.90771577844,7094.085657874559,276959.41197596985,"[52, 88, 132, 210, 249, 310, 340, 417, 470, 523, 568, 629, 670, 708, 759, 839, 892]","[17314.801794417537, 276959.41197596985, 11008.101891318147, 50361.97253098938, 74443.77850640196, 63688.802669258206, 22402.492944068763, 50763.0810536105, 133544.34257614857, 21116.64146786609, 64482.0872612801, 48215.94213885319, 148173.2459518724, 9467.68002027489, 54693.77722642925, 21246.185501600154, 7094.085657874559]","[5, 5, 126, 176, 176, 176, 320, 176, 176, 506, 537, 593, 176, 698, 746, 800, 5]","[59, 800, 176, 223, 277, 372, 372, 429, 593, 537, 593, 644, 800, 713, 800, 846, 895]",0.05,30,3123163221629.8193,220562.6895776591,-220562.6895776591,CWT,mdp.39015056038378,0.0,-14.5,,7072.085657874559,275590.74530930317,62369.66133896685,219194.02291099244,0.0,62369.66133896685,1055098.7645015668,62369.66133896686,0.0,219194.02291099244,0.0,-10.0,0.0,-14.5,6.0,0.16343498788504807,0.025079172254338845,0.6180222597291202,0.4880043625188653,0.8428015970584211,0.4293230223123733,0.02804285142651597,0.11403633185747136,,1.0,0.8826833946248355,0.8826833946248355,0.8826833946248351,0.7253468817200655,0.9733591712358778,0.8,,0.07692307692307693,0.025000000000000022,0.3277430601273627,0.3277430601273627,0.023255813953488358,2.4097087761742744,1.0,1,1.3213314659064754,0.577367476686977,10,0,0,0.5772851039968117,1.0,1,1,0.11111111111111112,0.33303751757471367,0.5661364884476437,11,5.5,0.5769230769230769,5.75,1.8257261410788381,0.5673076923076923,8,gaus,6.875,6.5,4.764076885549662,8,0.6875,1.0,0.21875,1,6.25,8
smoothed,mexh,22.96519187680711,0.6123453318335208,760.0655214029098,-38.12381287475089,896,127,85780.20883526026,,False,"[74, 116, 155, 195, 232, 265, 307, 337, 376, 407, 439, 478, 528, 582, 616, 652, 684, 730, 780, 832]","[221676.52761101132, 4149.8004457941715, 41.412373518429376, 1627.1853032560539, 27477.37012066907, 1204.9927205821368, 22449.472037501284, 6516.10225428066, 103534.76918921137, 979.9713486538676, 241.4755240600498, 12103.297021982675, 35310.77195663599, 50724.534777462046, 27710.568213895414, 39123.58726062555, 2371.900750600366, 5694.256764395614, 5383.456777899322, 247870.12622258163]",20,15.40568920749369,699846.6846540992,0.0102962336335311,2.98806940433136e-07,0.16182549950780672,20,39791.74301033591,41.412373518429376,247870.12622258163,"[74, 116, 155, 195, 232, 265, 307, 337, 376, 407, 439, 479, 513, 543, 575, 616, 652, 730, 780, 832]","[244858.31219015544, 4149.8004457941715, 41.412373518429376, 1627.1853032560539, 27477.37012066907, 1204.9927205821368, 22449.472037501284, 6516.10225428066, 103534.76918921137, 979.9713486538676, 241.4755240600498, 1363.1234517755875, 12103.297021982675, 35310.77195663599, 111.31123337286408, 31564.79925248509, 43352.85401790677, 5694.256764395614, 5383.456777899322, 247870.12622258163]","[0, 111, 154, 163, 163, 264, 163, 332, 163, 405, 438, 478, 478, 528, 574, 582, 582, 582, 582, 582]","[582, 163, 163, 197, 264, 266, 315, 368, 582, 582, 582, 482, 528, 582, 582, 633, 684, 734, 784, 895]",0.05,30,10981694362906.547,260401.6415818637,-260401.6415818637,CWT,mdp.39015056038378,0.0,-4.0,,19.412373518429376,246501.45955591497,38927.496633524315,259032.97491519703,0.0,38927.496633524315,775957.1935400515,38934.816702057644,0.0,259032.97491519703,0.0,-4.0,0.0,6.5,3.0,0.8159664052987203,0.005717368724770227,0.20532615482227135,0.5069519837729809,0.9433464829753523,0.0,0.2926920568852636,0.2285039877454766,,0.0003689717828435496,0.1393814833758123,0.1393814833758123,0.1396135874071448,0.32727760309686504,0.8125283774110439,0.20000000000000007,,1.0,0.55,0.42055371716758716,0.42055371716758716,0.9999999999999998,1.2987481349034733,0.5389647694130926,11,1.3033284763268727,0.5695009110790307,12,0,0,0.4291382450653912,0.7433731480238599,8,1,0.11111111111111112,0.3692574994725488,0.627707489554681,10,1.707825127659933,0.8686288363338512,10.25,10.01897533206831,0.5400836489361565,9,mexh,9.0,9.0,,1,0.9,,,4,7.75,9
smoothed,gaus3,22.29253030771144,0.6603100393700787,593.4272264248033,-34.75326902018086,896,127,51159.80422492823,,False,"[5, 58, 95, 133, 176, 224, 277, 320, 372, 417, 470, 506, 537, 594, 629, 670, 717, 747, 799, 839, 892]","[9975.37734538893, 6266.646792739224, 150468.5899399503, 10280.834823296464, 36042.49056361936, 36685.05593611485, 67607.36230799188, 22486.236016234103, 25510.337918890928, 43780.864324335045, 83636.88020015632, 11670.553962123497, 39204.20044206022, 61767.55532662505, 31783.878361403786, 52151.177411177654, 1986.4559627278068, 48899.000737278824, 128990.97355675777, 9069.651435973177, 5989.679374585452]",21,15.239759876634228,643218.6587216256,0.014628707213421167,8.957042350679949e-07,0.007177568536331724,18,52320.458902877974,367.9906304287433,281777.90887072915,"[52, 95, 133, 210, 249, 310, 351, 417, 470, 523, 568, 629, 670, 707, 759, 797, 839, 892]","[6266.646792739224, 281777.90887072915, 10280.834823296464, 51249.07097017714, 39310.50684718792, 33071.70606124888, 28230.559202972672, 43780.864324335045, 151530.84976479202, 12699.82593713387, 51574.87932392169, 44878.282005684276, 117427.64492157834, 5362.358227740908, 48899.000737278824, 367.9906304287433, 9069.651435973177, 5989.679374585452]","[5, 5, 125, 176, 224, 277, 320, 277, 277, 506, 537, 594, 594, 698, 747, 796, 799, 5]","[58, 799, 799, 277, 277, 372, 372, 429, 799, 537, 594, 644, 799, 799, 799, 799, 845, 895]",0.05,30,5013127924936.656,283411.6490342001,-283411.6490342001,CWT,mdp.39015056038378,0.0,-14.0,,345.9906304287433,280409.24220406247,51456.21252606638,282042.98236753343,0.0,51456.21252606638,921890.5935851369,51456.21252606639,0.0,282042.98236753343,0.0,-9.5,0.0,-14.0,5.0,0.3247421473338473,0.032737235633239554,0.4617375095322023,0.3911076594219488,0.8711144892730565,0.345968559837728,0.0,0.19628601752982494,,0.04665748474611314,0.536640805858963,0.536640805858963,0.5366408058589629,0.5353856361744143,1.0,0.6000000000000001,,0.15384615384615385,0.04999999999999999,0.4741588900628585,0.4741588900628585,0.046511627906976716,1.7240172857752618,0.7154463239795985,8,1.2322992259039711,0.5384640515583169,13,0,0,0.4158867583646886,0.7204183088829286,9,1,0.11111111111111112,0.3224061467646753,0.5480640292796474,12,2.3804761428476167,0.8168864505501834,10.5,10.091644204851752,0.5045970714289378,11,gaus,6.875,6.5,4.764076885549662,8,0.6875,1.0,0.21875,1,8.5,10
