signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus8,2233496348.2725024,0.6820654928863505,501.73158419291053,-27.63574387589374,932,127,29942.559156293697,,False,15.5950543685191,294246.35315569286,0.027638721727952502,5.85514632446372e-07,0.6153690396900185,18,74931.24999577629,575.1185511394433,143531.08572649868,"[41, 97, 144, 197, 237, 291, 357, 427, 469, 529, 580, 651, 697, 730, 800, 859, 893, 925]","[74230.20891136435, 128999.8030559744, 13408.001712267756, 57583.8066303464, 135695.50144934474, 90918.60725042642, 130322.30137204505, 101735.50035858194, 5482.809082726991, 61947.72309192519, 104886.535106619, 21519.392878211893, 143531.08572649868, 29817.479187309717, 86561.53164648532, 143497.37616357396, 18049.717749131974, 575.1185511394433]","[2, 56, 137, 162, 162, 269, 323, 381, 463, 493, 493, 629, 162, 711, 767, 767, 882, 923]","[56, 767, 162, 216, 323, 323, 493, 493, 493, 549, 629, 656, 767, 767, 824, 928, 928, 928]",0.05,30,1248136170425.0225,98648.11682383427,-98648.11682383427,CWT,mdp.39015056038394,73968.81753304575,142145.8363664675,97236.4501571676,0.0,4.5,0.0,-12.0,73963.20237672867,1328433.4999239733,73963.20237672869,97236.4501571676,0.0,-3.0,,0.0,3.0,553.5861318807615,0.0,0.3060567754061194,0.04284667467000693,0.9417934425605645,0.12747075851313122,0.9833942332516854,0.16117334192924482,0.9270106856355538,0.6997432314064402,,0.060908118223573844,0.8484985568545973,0.8484985568545973,0.8484985568545975,0.9286461291788499,0.8064282409873003,0.6,,0.0,0.0,0.9722222222222221,0.0,1.0,1.0,0.0,0.4166666666666667,2.470013877274841,0.8776635712727847,4,1.9403505000300805,0.8778195368796028,3,0,0,0.5553578031894938,0.9164794530570892,3,1,0.11111111111111112,0.5181305873660377,0.8394082320314925,3,0.5,0.9642857142857143,3.25,3.2000000000000006,0.8660714285714286,2,gaus,7.0,6.0,4.27617987059879,8,0.5384615384615384,1.0,0.3230769230769231,1,1.75,1
smoothed,morl,2271211518.790486,0.6810939136899733,499.42502343478475,-27.179992047172973,932,127,28656.612776556016,,False,15.578876125865913,298901.8195082991,0.028451613338412278,1.8333111124995312e-07,0.661380656859505,19,73759.0166082233,1019.7068923865227,139647.18673104205,"[8, 41, 97, 143, 184, 237, 292, 356, 428, 469, 528, 581, 621, 696, 730, 799, 860, 892, 924]","[1019.7068923865227, 67391.56771453461, 136475.23780389916, 17554.25892960833, 72357.71901626566, 122212.78598740642, 103526.86559565955, 139647.18673104205, 105910.85815845692, 8928.370552702918, 67904.50569419519, 102409.08308203277, 29585.78711685862, 128911.76370165922, 39672.16661278119, 102861.45722887079, 125353.94860531851, 26369.649897568706, 3328.3962349955837]","[1, 1, 56, 137, 163, 163, 270, 323, 381, 462, 494, 494, 604, 494, 711, 766, 766, 879, 923]","[9, 56, 766, 163, 216, 323, 323, 766, 494, 494, 549, 628, 628, 766, 766, 824, 929, 929, 929]",0.05,30,1125343543927.4258,93578.03755825732,-93578.03755825732,CWT,mdp.39015056038394,72796.58414549276,138261.93737101086,92166.37089159065,0.0,5.0,0.0,-7.0,72790.96898917569,1381092.3155562428,72790.96898917569,92166.37089159065,0.0,11.0,,0.0,2.0,998.1744731278409,0.0,0.23978360233749135,0.0,1.0,0.09880176298860432,1.0,0.1519058747683135,1.0,0.7177094157501622,,0.11554154199867632,0.8255486469123204,0.8255486469123204,0.8255486469123203,1.0,0.7576386141000694,0.4,,0.5555555555555556,0.0,1.0,0.0,0.8920739364266521,0.8920739364266521,0.0,1.0,2.528860681996943,0.8985734524947375,3,1.96918207840294,0.8908630167943806,2,0,0,0.6059686350163046,1.0,1,1,0.11111111111111112,0.5204695264250158,0.8431974788897159,2,0.816496580927726,0.9416788156480196,2.0,1.7142857142857144,0.8994108363954384,1,morl,1.0,1.0,,1,0.07692307692307693,,,6,2.25,2
smoothed,gaus6,2013609201.5132248,0.665168463384137,458.44009878244356,-27.434726454905128,932,127,29156.362239081795,,False,15.54748948168514,264463.14500915963,0.027536433730033942,6.773508398787651e-07,0.6014520241520087,18,70810.41575427554,303.8395771191863,145608.7559195329,"[41, 97, 144, 197, 237, 291, 357, 427, 469, 529, 580, 651, 697, 730, 800, 860, 893, 924]","[74344.39842195503, 119596.4597950683, 11084.52168367263, 50039.18819678981, 127551.34641295584, 83468.6962279107, 121951.27500060297, 95416.90996293083, 4499.939820078344, 58413.93418694352, 98482.72451004796, 19228.923833039393, 145608.7559195329, 26591.336583844844, 78769.9727501303, 145115.9376585476, 14119.323035789606, 303.8395771191863]","[2, 2, 137, 162, 162, 269, 323, 381, 463, 493, 493, 629, 162, 711, 767, 767, 882, 923]","[56, 767, 162, 216, 323, 323, 493, 493, 493, 549, 629, 656, 767, 767, 824, 928, 928, 928]",0.05,30,1191681414630.2336,90377.96486980414,-90377.96486980414,CWT,mdp.39015056038394,69847.983291545,144223.50655950172,88966.29820313747,0.0,4.5,0.0,-12.0,69842.36813522792,1254258.4835769597,69842.36813522792,88966.29820313747,0.0,-3.0,,0.0,3.0,282.30715786050456,0.0,0.2655389395294518,0.052630457185704034,0.9674664762682792,0.043182399326065324,0.8865792216823771,0.0,0.9049337953933145,0.5848050990304002,,0.027571888336503956,0.7678211288494866,0.7678211288494866,0.7678211288494865,0.8281373260272247,0.8325279808701966,0.6,,0.0,0.0,0.9722222222222221,0.0,0.8239544396057221,0.8239544396057221,0.0,0.4166666666666667,2.2797805673120446,0.8100684667541017,6,1.7367070730492216,0.7856907288327363,9,0,0,0.508566556658848,0.8392621783884312,6,1,0.11111111111111112,0.4575864929963934,0.7413225129985263,9,1.7320508075688772,0.8762820851736516,7.5,7.199999999999999,0.6702838997296829,3,gaus,7.0,6.0,4.27617987059879,8,0.5384615384615384,1.0,0.3230769230769231,1,2.5,3
smoothed,gaus2,1628201358.0410404,0.7090331519718833,473.78511900466486,-27.811072888395636,932,127,31202.16678822448,,False,15.70039896881898,215956.34852217848,0.023086465818305844,1.0600744003950906e-06,0.50519114271524,18,55613.97457142075,412.22429403343995,158940.3685668018,"[42, 89, 124, 197, 248, 292, 357, 426, 468, 528, 581, 651, 697, 730, 799, 859, 892, 924]","[57429.97212533641, 88383.0144649756, 12771.178594291847, 33634.80247756578, 72879.2448767984, 66717.74730293486, 158940.3685668018, 71232.4975015317, 970.0233638052705, 62602.00672687478, 46724.57043799112, 11839.999930307695, 127588.33466538318, 25810.796812341763, 95812.23627088348, 61241.36537353786, 6061.158500178455, 412.22429403343995]","[1, 1, 113, 162, 162, 269, 162, 381, 466, 494, 550, 604, 604, 710, 767, 824, 883, 923]","[55, 162, 162, 216, 269, 322, 928, 604, 604, 604, 604, 656, 928, 767, 928, 928, 928, 928]",0.05,30,1296907986460.981,91692.66827900225,-91692.66827900225,CWT,mdp.39015056038394,54651.54210869021,157555.1192067706,90281.00161233557,0.0,0.0,0.0,-12.0,54645.926952373135,980722.5422855736,54645.92695237313,90281.00161233557,0.0,-7.5,,0.0,3.0,390.6918747747582,0.0,0.3709725416502315,0.09340396236863029,0.9194012159278466,0.3141488754923664,0.7168864252884593,0.4184059956483198,0.752232887048662,0.3976096643301515,,0.04089078948742305,0.4703061797849082,0.4703061797849081,0.4703061797849078,0.4574900187245773,1.0,0.6,,0.0,0.0,0.7222222222222222,0.0,0.8519403459966877,0.8519403459966877,0.0,0.22916666666666666,1.8631195019691635,0.6620173800846539,9,1.8337707499636329,0.8296025849203447,6,0,0,0.4109712618965992,0.6782055013219312,9,1,0.11111111111111112,0.49232714041377784,0.7976048212415149,5,2.0615528128088303,0.8527462276565121,7.25,6.79245283018868,0.6674445423996846,4,gaus,7.0,6.0,4.27617987059879,8,0.5384615384615384,1.0,0.3230769230769231,1,3.25,4
smoothed,gaus4,1795889649.9828324,0.6849548849312291,447.41853565856593,-27.263475077543212,932,127,28689.468828408506,,False,15.554613636694702,235973.23028169252,0.026643892239159587,8.272307391276944e-07,0.5799213000121757,18,65435.204919761665,277.5845421610866,147417.4513199121,"[42, 90, 125, 197, 248, 291, 357, 427, 469, 529, 580, 651, 697, 730, 800, 859, 892, 924]","[66203.23465160572, 111126.23039221091, 19534.710329355396, 42620.259531681455, 107375.0080987369, 77267.08252775048, 116939.37108607042, 85828.99008986022, 2700.643597705399, 55243.84413724822, 87252.64951028618, 15977.326298256525, 147417.4513199121, 25277.631359887197, 73384.16483185868, 133017.90773274133, 10389.598518381936, 277.5845421610866]","[1, 1, 113, 162, 162, 269, 162, 381, 463, 494, 494, 604, 162, 710, 767, 767, 882, 923]","[55, 162, 162, 216, 323, 323, 494, 494, 494, 549, 604, 656, 928, 767, 824, 928, 928, 928]",0.05,30,1145403287579.442,83429.21009322334,-83429.21009322334,CWT,mdp.39015056038394,64472.772457031126,146032.2019598809,82017.54342655667,0.0,4.5,0.0,-12.0,64467.15730071405,1157504.68855571,64467.157300714054,82017.54342655667,0.0,-12.0,,0.0,3.0,256.05212290240485,0.0,0.241476888189127,0.06859793209265323,0.989337925826644,0.05580690820898235,0.7907185894856471,0.18873398339914646,0.8707790994836341,0.47485799144491764,,0.024345527413335205,0.6625855965035286,0.6625855965035283,0.6625855965035284,0.6970337736873268,0.855248853333765,0.6,,0.0,0.0,0.9722222222222221,0.0,0.6760372749048417,0.6760372749048417,0.0,0.041666666666666685,1.995742474105214,0.7091419539296232,7,1.7236363801589143,0.779777513885495,10,0,0,0.43535655884290564,0.7184473480730428,8,1,0.11111111111111112,0.4544831092107884,0.7362948115651238,10,1.5,0.8928571428571429,8.75,8.549618320610687,0.6339285714285714,5,gaus,7.0,6.0,4.27617987059879,8,0.5384615384615384,1.0,0.3230769230769231,1,4.0,5
smoothed,gaus1,1480585622.4811625,0.7357473556148829,483.55974944161534,-28.345638152776587,932,127,32826.26042295376,,False,15.819407663531155,196798.86627930106,0.023435769257800384,1.5291844813951727e-06,0.03099225589790957,16,53907.57475127674,4953.746044579588,141211.82708783145,"[47, 104, 154, 210, 261, 313, 374, 433, 487, 543, 597, 653, 706, 760, 818, 874]","[47408.966149913744, 122951.46237695892, 8965.531586138917, 19302.122261326138, 66755.97925610047, 52128.40207316267, 41746.51246958946, 27109.081184497714, 141211.82708783145, 45273.29823771126, 43012.923196356125, 4953.746044579588, 21318.275821108495, 66245.97396653457, 41649.90234618816, 112487.19196243017]","[14, 14, 141, 176, 227, 277, 336, 336, 336, 521, 564, 648, 663, 663, 663, 336]","[64, 336, 336, 227, 336, 336, 387, 443, 663, 663, 663, 663, 714, 776, 832, 931]",0.05,20,1453808765548.7925,92757.96929698242,-92757.96929698242,CWT,mdp.39015056038394,52945.1422885462,139826.57772780026,91346.30263031575,0.0,-13.0,0.0,-8.5,52939.52713222912,842192.1960204279,52939.52713222912,91346.30263031575,0.0,-13.0,,0.0,5.0,4932.213625320906,10.0,0.45467264006026553,0.14338066694677423,0.8511289637820836,0.5250407386707665,0.6518920890724953,0.6732210492384563,0.0,0.3236778964967461,,0.5989775843085703,0.436898393747034,0.4368983937470339,0.43689839374703376,0.26977830676280984,0.7772936615948056,1.0,,0.3888888888888889,0.0,0.0,0.0,0.8746172587960377,0.8746172587960377,0.0,0.0,1.8851736062510132,0.6698538072818104,8,1.6773193625370737,0.7588235764613964,11,0,0,0.40632454269255014,0.6705372509612108,10,1,0.11111111111111112,0.4473211999778928,0.72469201158816,11,1.4142135623730951,0.8989847455447789,10.0,9.83240223463687,0.5923495156295323,7,gaus,7.0,6.0,4.27617987059879,8,0.5384615384615384,1.0,0.3230769230769231,1,5.5,6
smoothed,mexh,1480103099.2208018,0.7177266736507721,477.4327705077249,-27.77980286861204,932,127,31039.961027615223,,False,15.794164565537066,197486.81303506257,0.02524542622964401,3.249148825594022e-07,0.41053945620214766,21,35116.1246867505,79.46886678193187,155504.28292853356,"[8, 41, 89, 124, 196, 248, 292, 357, 396, 428, 465, 528, 579, 622, 667, 698, 729, 798, 858, 892, 924]","[995.8608861498201, 44662.10768788129, 55143.724767895466, 7981.21211061459, 23147.14025076198, 46947.057946225555, 37870.77669290769, 155504.28292853356, 440.7351384047288, 50180.560643080185, 643.5682440982346, 34954.87654010793, 30497.964460084255, 11813.925391782868, 79.46886678193187, 113571.57949121096, 22393.481827321637, 63866.65274062056, 33644.00280229903, 419.0007091283842, 2680.6382958700997]","[1, 1, 1, 113, 163, 163, 163, 163, 380, 380, 462, 495, 549, 604, 604, 604, 711, 766, 824, 889, 923]","[9, 57, 163, 163, 216, 268, 323, 927, 397, 927, 604, 604, 604, 628, 668, 927, 766, 927, 927, 927, 927]",0.05,30,1285607434406.4219,87050.16293050216,-87050.16293050216,CWT,mdp.39015056038394,34153.692224019964,154119.03356850237,85638.49626383549,0.09523809523809523,1.5,0.0,-3.0,34148.077067702885,717109.6184217606,34148.07706770289,85638.49626383549,0.09523809523809523,6.0,,0.0,0.0,57.93644752325014,0.0,0.36261302478781104,0.015083645818710488,0.9233948810937658,0.4803081753799624,0.6516796369318277,0.501329680070916,0.6020846825945342,0.32633279233242485,,0.0,0.06900059178634987,0.06900059178634976,0.06900059178634987,0.10028862157356633,0.9568358146183021,0.0,,1.0,0.0,0.8055555555555556,1.0,0.7531159882033759,0.7531159882033759,0.5,0.7916666666666667,1.4307980348738885,0.5084017238166187,12,1.805238697993261,0.8166946115173599,8,0,0,0.4578386940119928,0.7555485012845159,7,1,0.11111111111111112,0.47729775932068846,0.7732561598818157,7,2.3804761428476167,0.8299659897965987,8.5,8.096385542168676,0.6114115663268709,6,mexh,6.0,6.0,,1,0.46153846153846156,,,5,5.75,7
smoothed,fbsp,5246636.281195391,0.7700060829306208,683.5038702984908,-35.009897280702404,932,127,43407.64217692877,-1137997.915143898,True,16.08743261660597,348220.10746409226,0.021342785984362903,2.0971091419191897e-07,0.41918154703099836,22,52213.43992324467,169.66911376360804,143603.89212737052,"[6, 39, 91, 126, 162, 197, 248, 291, 356, 394, 428, 470, 530, 580, 612, 651, 697, 747, 800, 859, 893, 927]","[532.9296419384664, 68611.74269195655, 102940.70409965319, 22542.440401807304, 169.66911376360804, 43672.203685283086, 97222.64627277256, 78039.78266558421, 113905.13393188422, 417.3974464964376, 84131.2265431226, 7719.622319255622, 54246.449420925914, 86925.67721337549, 855.1611496151745, 15709.694152786335, 143603.89212737052, 8593.19922836267, 73761.39218354481, 126673.22565531987, 14528.036328184906, 3893.452038379168]","[0, 0, 56, 115, 161, 163, 163, 270, 163, 382, 382, 464, 493, 493, 610, 606, 163, 740, 768, 768, 881, 925]","[8, 56, 929, 163, 163, 214, 321, 321, 493, 395, 493, 493, 549, 606, 613, 657, 929, 768, 825, 929, 929, 929]",0.05,30,2034933686305.982,92678.30822747221,-92678.30822747221,CWT,mdp.39015056038394,51251.00746051413,142218.64276733933,91266.64156080554,0.0,-11.5,0.0,-7.0,51245.39230419705,1128366.6783113827,51245.392304197056,91266.64156080554,0.0,-11.5,,0.0,1.0,148.1366945049263,0.0,1.0,0.0028103757984686006,0.0,1.0,0.002309050124018941,1.0,0.6157938352624259,0.9080365249632925,0.0,0.011084294977564697,0.4037307309366677,0.40373073093666767,0.40373073093666767,0.6575511192828286,0.8073428366391682,0.2,,0.5555555555555556,0.0,0.08333333333333331,0.0,0.8729215248238585,0.8729215248238585,0.0,0.0625,1.604687423115701,0.5701893853738608,10,1.8115297818918377,0.8195407139891729,7,0,0,0.35562682548307806,0.5868733213782745,12,0,0.0,0.5032166429053562,0.8152465861885064,4,3.5,0.75,8.25,6.942148760330579,0.5803571428571428,8,fbsp,8.0,8.0,,1,0.6153846153846154,,,4,7.0,8
smoothed,cgau8,18951151.982908804,0.7670406542529823,633.8512552158389,-33.07450029602905,932,127,34838.634182457994,-1090021.8465149286,True,16.052804287148447,318850.91339496063,0.02670005194100136,9.569906015695244e-06,0.46216081102199597,18,57714.223820884035,571.7535696742416,104893.60199301786,"[41, 97, 144, 184, 237, 291, 356, 427, 469, 529, 580, 650, 696, 730, 800, 860, 893, 925]","[52734.468457310955, 101586.96339364149, 11553.857187791426, 48673.50118644821, 97780.62181027356, 73765.80386238487, 104893.60199301786, 78946.6851469196, 4703.159035473963, 49365.96299775398, 78007.35053129813, 17535.814033939252, 101499.53762921237, 26123.41361329397, 72311.64115315955, 101391.65419132184, 17410.23898299735, 571.7535696742416]","[2, 56, 137, 162, 162, 269, 323, 381, 463, 493, 493, 629, 493, 711, 767, 767, 880, 923]","[56, 767, 162, 216, 323, 323, 767, 493, 493, 549, 629, 656, 767, 767, 824, 929, 929, 929]",0.05,30,1306892269510.134,73912.85092470578,-73912.85092470578,CWT,mdp.39015056038394,56751.791358153496,103508.35263298667,72501.18425803911,0.0,4.5,0.0,-12.0,56746.17620183642,1018527.0287759126,56746.17620183642,72501.18425803911,0.0,1.5,,0.0,3.0,550.2211504155598,0.0,0.5583833363566345,0.9999999999999999,0.24718012887123397,0.9386361396895041,0.008343067417743155,0.9717140784914176,0.6839728562048115,0.794696138693038,0.3523870429157324,0.060494611072513485,0.5114247246440804,0.5114247246440804,0.5114247246440802,0.5087159419266656,0.3210632978146864,0.6,,0.0,0.0,0.9722222222222221,0.0,0.47346387697368236,0.47346387697368236,0.0,0.6041666666666667,1.5407613617171305,0.5474747051606573,11,2.2104207283053543,1.0,1,0,0,0.3698576445054908,0.6103577365774702,11,0,0.0,0.6172569765155683,1.0,1,5.773502691896258,0.5876069505788387,6.0,1.8333333333333335,0.579517761003705,9,cgau,9.0,9.0,,1,0.6923076923076923,,,2,7.25,9
smoothed,gaus7,2109328615.9059107,0.6803082018181204,478.1176361743953,-27.476149768602866,932,127,30758.76902920562,,False,15.560828678744212,277229.2279277548,0.027726695990724116,6.662063981661583e-07,0.05295079909911545,16,82669.62676344923,8217.130952124036,142427.12153244278,"[47, 104, 154, 210, 261, 312, 374, 432, 487, 543, 598, 653, 704, 735, 818, 875]","[88857.72622803139, 142427.12153244278, 28374.55907312282, 73776.81765418524, 124081.30125058329, 79457.74134832226, 99448.15368527861, 53610.041375391156, 81553.4423122018, 59629.75059910387, 133503.84832745238, 8217.130952124036, 40123.78663249154, 121225.67436584119, 74511.3207404566, 113915.6121381587]","[14, 74, 140, 175, 226, 280, 337, 409, 409, 521, 226, 648, 663, 663, 780, 663]","[74, 663, 226, 226, 337, 337, 521, 443, 521, 561, 663, 663, 714, 780, 833, 931]",0.05,30,1189500102628.2761,90716.23904859737,-90716.23904859737,CWT,mdp.39015056038394,81707.19430071868,141041.8721724116,89304.5723819307,0.0,-13.0,0.0,-8.5,81701.5791444016,1302385.0282151876,81701.5791444016,89304.5723819307,0.0,-13.0,,0.0,5.0,8195.598532865355,0.0,0.3481213739151562,0.051443182612597615,0.9621760784330214,0.06682040432977562,0.9287239143049999,0.14441131436860344,0.034833355384886966,0.6340714413667207,,1.0000000000000002,1.0,1.0,0.9999999999999999,0.8933498684657988,0.7925602178518227,1.0,,0.3888888888888889,0.0,0.0,0.0,0.8311552344283069,0.8311552344283069,0.0,0.0,2.8143060258190222,1.0,1,1.5202736177836111,0.6877756792251705,12,0,0,0.5824739629375416,0.9612279073187826,2,1,0.11111111111111112,0.39076957753391456,0.6330743797175351,12,6.075908711186061,0.566006520629567,6.75,2.4000000000000004,0.5419318317433549,10,gaus,7.0,6.0,4.27617987059879,8,0.5384615384615384,1.0,0.3230769230769231,1,7.75,10
