wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,max_autocorrelation_diff_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
rbio3.1,1,reflect,9.560899372543272e-27,324.43969144409635,21518682.34990102,0.6509635974304069,373.96326792807713,932,raw,7.236176369599775e-14,,8.533661202185279,196571.90697684608,0.5254670545548994,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.016804765730377e-14,6.1350241134074364e-27,0.96835806868427,0.9011739759317898,0.06455488652969395,0.5671153257877031,0.11498238971827573,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,121,1.3367183586437135,0.807142411775742,103,0,0,0.5999999978439701,0.9999999946299606,120,0,0,0.373740663807399,0.7414913792647561,101,10.719919153924002,0.9887631874696814,111.25,110.47427568514097,0.9360744658522411,1,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,1.5,1
rbio3.1,1,zero,9.571300148083353e-27,324.4349695616336,21560096.728367236,0.6520342612419701,375.4244746024855,932,raw,7.230077290322864e-14,,8.538101677314465,197057.49544928008,0.5313153533552571,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.010103488299566e-14,6.142783084164989e-27,0.9683405809631076,0.9027333983836913,0.06491768378777196,0.5813704496788014,0.11579532269424006,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,119,1.3436961986128306,0.8113557978979861,80,0,0,0.5999999978439701,0.9999999946299606,121,0,0,0.3761653479296676,0.7463018870531962,79,23.400498570187203,0.9754711755029484,99.75,95.63417555535763,0.9354557135376377,2,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,2.25,2
rbio3.1,1,smooth,9.543564746643136e-27,324.44757267477974,21541073.26772701,0.6509635974304069,373.96326792807713,932,raw,7.230077290322864e-14,,8.533743461608017,196780.62952643775,0.5249725201419145,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.010103488299566e-14,6.122092495478182e-27,0.9683872572050969,0.9012028640996022,0.0647510349181032,0.5671153257877031,0.11533181614213608,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,122,1.3369881606038647,0.8073053246312513,100,0,0,0.5999999978439701,0.9999999946299606,122,0,0,0.3738268997361002,0.7416624690173761,98,13.30413469565007,0.9860543661471173,110.5,109.29701069567604,0.9351131369519654,3,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,3.0,3
rbio3.1,1,constant,9.543564746643136e-27,324.44757267477974,21535528.707599167,0.6509635974304069,373.96326792807713,932,raw,7.230077290322864e-14,,8.532849719194289,196706.56773707844,0.5250331559820928,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.010103488299566e-14,6.122092495478182e-27,0.9683872572050969,0.9008889963386899,0.0647024635936954,0.5671153257877031,0.11520782787996148,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,120,1.3367573457563346,0.8071659531237797,102,0,0,0.5999999978439701,0.9999999946299606,124,0,0,0.3737574101150296,0.7415246034866433,99,12.579745625409124,0.986813683830808,111.25,110.18439566531593,0.9350997140328045,4,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,3.75,4
rbio3.1,1,symmetric,9.560899372543272e-27,324.43969144409635,21534738.104361694,0.6509635974304069,373.96326792807713,932,raw,7.236176369599775e-14,,8.532768031756882,196696.88701910296,0.5250524498911062,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.016804765730377e-14,6.1350241134074364e-27,0.96835806868427,0.9008603090427983,0.06469553776992584,0.5671153257877031,0.11519162120430909,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,124,1.3367155434137472,0.8071407118727744,104,0,0,0.5999999978439701,0.9999999946299606,123,0,0,0.37374583749843815,0.7415016437279949,100,12.526638282742368,0.9868693519048822,112.75,111.70069828428817,0.934341384547829,5,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,4.5,5
rbio3.1,1,periodic,9.526230120743001e-27,324.45546823369915,21536451.21604275,0.6509635974304069,373.96326792807713,932,raw,7.223978211045954e-14,,8.536176624511699,196799.53153210587,0.5254598003687444,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.003402210868754e-14,6.109160877548928e-27,0.9684164987912423,0.9020573512323405,0.0647105449303297,0.5671153257877031,0.11536346035239187,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,123,1.3374253618121363,0.8075693171435061,96,0,0,0.5999999978439701,0.9999999946299606,126,0,0,0.3739518830134383,0.7419104324628153,96,16.5,0.9827044025157232,110.25,108.40131147540984,0.933569182389937,6,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,5.25,6
rbio3.1,1,antisymmetric,9.585167848803461e-27,324.4286816937944,22093427.65377691,0.6509635974304069,373.96326792807713,932,raw,7.242275448876686e-14,,8.496979547744516,200962.75580233592,0.5421960293594675,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.02350604316119e-14,6.1531283785083925e-27,0.9683172935390041,0.8882919770817488,0.06958975673810452,0.5671153257877031,0.12233319395961859,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,126,1.335710650932276,0.8065339338362305,106,0,0,0.5999999978439701,0.9999999946299606,125,0,0,0.37366393530089137,0.7413391519808965,102,12.526638282742368,0.9868693519048822,114.75,113.71909502334965,0.9332931665184789,7,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,6.0,7
rbio3.1,1,antireflect,9.543564746643136e-27,324.44757267477974,21554254.292572778,0.6509635974304069,373.96326792807713,932,raw,7.230077290322864e-14,,8.533096159967714,196882.74377027416,0.5246580657803934,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534164,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534164, 1123.6018698709054, 1190.0014608366446, 1288.8015192701105, 1312.2016945705077, 553.3998831330682, 1290.200818068521, 189.80005843346572, 1530.601577703576, 1344.0014608366448, 1300.8026879394265, 1221.6024542055632, 904.7997662661365, 1309.60333070755, 1161.20111023585, 1484.4028048063578, 1398.3992987984104, 212.80005843346575, 1408.806193947374, 924.8009349354526]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,4.547473508864641e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,5.684341886080802e-14,0.0,6.010103488299566e-14,6.122092495478182e-27,0.9683872572050969,0.9009755423194606,0.06486650301999936,0.5671153257877031,0.1155027675564359,,3.5658678335469115e-14,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,1.0798967282932827e-13,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.7999999926057657,0.9999999935625635,125,1.3370006143304616,0.8073128444882622,99,0,0,0.5999999978439701,0.9999999946299606,127,0,0,0.37383534226982235,0.7416792187761803,97,16.206994374857626,0.9830115362946985,112.0,110.24050448923394,0.9328055585037434,8,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,6.75,8
db31,1,periodization,1.8757696058441433e-26,321.5128839726214,15357049.720148427,0.6587982832618026,319.5136496913259,932,raw,9.97933257250408e-14,,8.596035544745304,141608.4574114695,0.8118704607802457,3.13168462081103e-06,1.0,23,1077.2274182233075,8.199941566534221,1530.601577703576,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996023, 1317.2008180685211, 1417.4010518023847, 8.199941566534221, 1123.6018698709058, 1190.0014608366446, 1288.801519270111, 1312.2016945705082, 553.3998831330687, 1290.200818068521, 189.80005843346567, 1530.601577703576, 1344.001460836645, 1300.8026879394265, 1221.6024542055634, 904.7997662661367, 1309.6033307075504, 1161.2011102358501, 1484.4028048063578, 1398.3992987984107, 212.80005843346564, 1408.806193947374, 924.8009349354522]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681691,954.5299582943566,-954.5299582943566,DWT,mdp.39015056038394,2.2737367544323206e-13,4.547473508864641e-13,586.4700417056434,0.0,64.0,0.0,53.5,22.060751556640753,547.7693808639269,33.170298682797664,586.4700417056434,0.0,82.0,330840737.7431831,0.0,0.0,0.0,0.0,9.03080899769789e-14,1.299582754811773e-26,0.9575184949844731,0.9230788278633703,0.010577898195030015,0.6714285714285714,0.022967024525434882,,0.0,8.764291787789204e-14,5.671986684131609e-09,0.9999999932640973,0.9999999943279942,1.0798967282932827e-13,0.9999999957524105,1.0,0.9999999947115316,0.9999999947115316,1.7999999926057204,0.9999999935625383,137,1.3190976984015135,0.7965026370520666,140,0,0,0.599999997843975,0.9999999946299687,119,0,0,0.3693672595709957,0.7328146634204128,129,9.394147114027968,0.9901528856247086,131.25,130.72994861618005,0.9262871346362537,9,db,322.2514619883041,297.5,217.08509064750172,342,0.34076643847899624,0.8623082660515742,0.5027710132492303,1,7.0,9
rbio3.1,1,periodization,9.015435913274153e-27,324.6948116120279,20460128.89839858,0.6834763948497854,445.10621187760785,932,raw,6.980253285253772e-14,,8.789851822213492,192930.0840461207,0.5156202031389236,3.1316846208110312e-06,1.0,23,1077.2274182233073,8.199941566534221,1530.6015777035761,"[4, 40, 79, 110, 141, 184, 237, 292, 332, 364, 395, 431, 486, 541, 597, 630, 668, 699, 758, 807, 838, 872, 918]","[883.5998246996024, 1317.200818068521, 1417.4010518023842, 8.199941566534221, 1123.6018698709051, 1190.0014608366444, 1288.8015192701105, 1312.2016945705077, 553.3998831330684, 1290.200818068521, 189.80005843346575, 1530.6015777035761, 1344.0014608366446, 1300.8026879394263, 1221.602454205563, 904.7997662661367, 1309.60333070755, 1161.2011102358501, 1484.4028048063578, 1398.3992987984102, 212.80005843346572, 1408.806193947374, 924.8009349354525]","[0, 26, 61, 109, 109, 159, 211, 263, 322, 350, 394, 404, 461, 495, 555, 611, 611, 680, 710, 766, 837, 766, 902]","[7, 61, 404, 111, 159, 190, 263, 404, 334, 404, 397, 877, 710, 710, 611, 634, 710, 710, 877, 819, 841, 877, 930]",0.05,30,132009745.25681683,954.5299582943569,-954.5299582943569,DWT,mdp.39015056038394,4.547473508864641e-13,2.2737367544323206e-13,586.4700417056431,0.0,64.0,0.0,53.5,22.060751556640525,547.7693808639306,33.17029868279769,586.4700417056431,0.0,82.0,330840737.74318314,0.0,0.0,0.0,0.0,5.735612882285912e-14,5.728108781615794e-27,0.9693029186238544,0.9911439438328922,0.05528177163682183,1.0,0.10888554409471699,,0.0,1.7528583575578408e-13,5.671899041214228e-09,0.9999999932641537,0.9999999943280552,5.3994836414664134e-14,0.9999999957525013,1.0,0.999999994711386,0.999999994711386,1.799999992605728,0.9999999935625425,136,1.5483488265470737,0.9349299334808104,10,0,0,0.5999999978439611,0.9999999946299456,130,0,0,0.4463734540269062,0.8855928726667803,14,69.92138442565336,0.9267071442079106,72.5,21.450732299159373,0.9253556685400139,10,rbio,369.24444444444447,362.0,251.74882254290947,135,0.39045940547526736,1.0,0.42667841616731284,3,8.25,10
