signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,mexh,1981312182.4339583,0.6873809935952917,1942.845018134506,-39.24540847438314,109,53,77316.83279050632,,False,11.449846862229517,716808.4385633589,0.0377632251683766,5.895157041612389e-06,0.5316230058650333,86032.45547885158,,,,[],[],3,44291.283282247176,12855.668825299625,106539.58059176298,"[25, 58, 84]","[12855.668825299625, 106539.58059176298, 13478.600429678947]","[0, 0, 73]","[36, 108, 108]",743213635089.8676,110243.58144398285,-110243.58144398285,0.0,,,,CWT,uc1.l0063472831,743170124645.3876,,0.0,-5.0,8.0,0.0,-5.0,,109349.38144398286,44014.574191338084,129830.04984674153,44014.57419133809,,0.0,44014.574191338084,,,12851.468825299624,0.0,-9.5,105645.38059176298,109349.38144398286,,85364.05547885159,1.0,0.004746858766130013,0.35594069099106707,0.9999999999999999,1.0,0.7031576818311916,0.10927356049432407,,0.18339717233051378,0.7022833289354344,0.7022833289354344,0.7022833289354349,,1.0,0.7022833289354344,0.9999999999999998,,,,,0.0,,1.0,1.0,,0.6489274468239501,0.6489274468239501,0.5,2.9977867909383424,1.0,1,2.0057909576854183,1.0,1,0.0,0.6761834909015499,0.8795421442330192,2,0,0.646639849010339,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.1111111111111111,,,2,1.25,1.0,0.9957965328140197,1.0,0.0038740074633420996,0.31280044782635663,0.9981115800973981,0.9579524680073126,0.7031576818311918,0.1092735604943241,,0.20245583900494823,0.8035959219967452,0.8035959219967452,0.8035959219967455,,0.9992525945752047,0.8328871561235089,0.9999999999999998,,,,,0.0,,1.0,0.9500000000000001,1.0,0.6456294788217474,0.6456294788217474,0.6785714285714285,3.2890090340908973,0.9633430405929942,2,1.9646728624172198,1.0,1,0.7071067811865476,0.9646446609406726,1.5,1.3333333333333333,0.9448223304703363,1,1.5,1.5,0.7071067811865476,2,0.09375,0.13192390185661293,0.894797829443016,1,1.0
raw,mexh,1984657553.0672777,0.6913622987709884,1971.0320282796888,-36.46377912759227,109,53,77562.76247499253,,False,11.463291471576657,709096.264169462,0.03768872094002376,1.5738302171851037e-06,0.40701290801548357,86072.42232122175,,,,[],[],3,44752.11683184021,15101.165127689557,103562.94843819732,"[24, 58, 84]","[15101.165127689557, 103562.94843819732, 15592.236929633771]","[0, 0, 72]","[36, 108, 108]",742428699620.9246,110245.75056858282,-110245.75056858282,0.0,,,,CWT,uc1.l0063472831,742380847448.9246,,0.0,-4.5,12.0,0.0,-9.0,,109014.75056858282,44234.250165173544,126488.35049552063,44234.25016517355,,0.0,44234.250165173544,,,15091.165127689557,0.0,-13.5,102337.94843819732,109014.75056858282,,85427.42232122175,1.0,0.0,0.19447970618993365,1.0,1.0,0.6816104053273744,0.10202890398715486,,0.2714476057237911,0.8213707056561088,0.8213707056561088,0.8213707056561088,,0.9999999999999999,0.8442629732140412,1.0,,,,,0.0,,1.0,1.0,1.0,0.6358332508377441,0.6358332508377441,0.55,3.3071327037497538,1.0,1,1.6106955768207785,0.9835863702332961,2,0.0,0.7429635141129748,1.0,1,0,0.5683027165006376,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.14285714285714285,,,2,1.25,,1.0,0.20129672887396344,0.1984302389725991,0.3564723259044078,0.9999999999999999,1.0,0.5616881434752339,0.10659888387894939,,0.2534310209845455,0.8086308070553453,0.8086308070553453,0.8086308070553454,,0.9999999999999999,0.8111645239297512,0.9660426022272182,,,,,0.6666666666666666,,0.9988583123340077,1.0,0.2,0.6427349460246421,0.6427349460246421,0.39285714285714285,3.414161825538615,1.0,1,1.824998135939626,0.9289068785193346,2,0.7071067811865476,0.9646446609406726,1.5,1.3333333333333333,0.9448223304703363,2,1.5,1.5,0.7071067811865476,2,0.09375,0.13192390185661293,0.894797829443016,1,1.75
raw,gaus2,871984446.2542025,0.6764756794183833,1409.8239394394282,-32.52816363641938,109,53,48685.41431255633,,False,11.535944992428565,448893.1721569276,0.042330355205062196,1.553326708273627e-06,0.6309515919404262,52707.138941070356,,,,[],[],3,51618.976019204965,26832.32294274518,85319.85720414978,"[21, 58, 87]","[42704.74791071992, 26832.32294274518, 85319.85720414978]","[0, 37, 0]","[37, 72, 108]",302707481034.8162,79513.60582208214,-79513.60582208214,0.0,,,,CWT,uc1.l0063472831,302659628862.8162,,0.0,-4.5,12.0,0.0,-4.5,,78282.60582208214,51101.1093525383,147088.9280576149,51101.10935253829,,0.0,51101.1093525383,,,26822.32294274518,0.0,-13.5,84094.85720414978,78282.60582208214,,52062.138941070356,0.503941727351451,0.34341338793124665,0.4898859054131911,0.36830175680487476,0.8330097087378641,1.0,0.009909092505701295,,0.557428336276236,0.9812359547022929,0.9812359547022929,0.9812359547022924,,0.6064598950270876,0.9836406641146096,0.8061143759848829,,,,,0.0,,0.36154358129957886,1.0,1.0,0.3648670719823991,0.3648670719823991,1.0,2.9751669471209743,0.8996212772918414,2,1.5234919025706422,0.930334628153022,4,0.0,0.713473490055291,0.960307574332379,2,0,0.5069230826777614,0.8919948259251242,2,1.0,0.9,2.5,2.2857142857142856,0.825,2,gaus,0.8392857142857143,1.0,0.11249999999999998,1,1.75,,0.5064240184241144,0.1975071012196541,0.4737000262702587,0.5924714258158325,0.3719099405404844,0.8427787934186471,0.8159251818984956,0.016357262008354835,,0.5204305707966003,0.9660164606538109,0.9660164606538109,0.9660164606538106,,0.6064598950270877,0.9450780578318528,0.7787408294692064,,,,,0.6666666666666666,,0.3628025717340212,1.0,0.2,0.37690412336730295,0.37690412336730295,0.7142857142857142,3.0523701217292247,0.8940320575600385,3,1.6476145297636433,0.8386202921012069,4,0.7071067811865476,0.9646446609406726,3.5,3.428571428571429,0.8948223304703362,3,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,2.75
smoothed,gaus2,871018560.4798265,0.6686861692920201,1380.0063320530926,-35.301764052810114,109,53,48692.93739503071,,False,11.507166172672362,449984.92137616465,0.04405224962496587,3.3533094344396176e-06,0.7930895430628244,52431.290330295975,,,,[],[],3,50833.22654377021,24462.968883398156,87884.43312197561,"[21, 58, 87]","[40152.277625936855, 24462.968883398156, 87884.43312197561]","[0, 37, 0]","[37, 72, 108]",302437927957.11786,78380.83655206411,-78380.83655206411,0.0,,,,CWT,uc1.l0063472831,302394417512.6379,,0.0,-9.5,8.0,0.0,-0.5,,77486.63655206411,50556.51745286112,149455.87963131064,50556.517452861124,,0.0,50556.51745286112,,,24458.768883398156,0.0,-9.5,86990.23312197562,77486.63655206411,,51762.89033029597,0.5086908694597659,0.3427256847720486,0.567808468745557,0.37206732944525445,0.793893129770992,1.0,0.016735894020211015,,0.45389077791862603,0.9295660533736209,0.9295660533736209,0.9295660533736212,,0.6032716795379689,0.929566053373621,0.7261289829608079,,,,,0.0,,0.36241894412038084,0.0,,0.37190915729957175,0.37190915729957175,1.0,2.632233174328065,0.8780588340320711,2,1.6743717624102294,0.8347688257316556,3,0.0,0.5852148394331854,0.7612151459447383,3,0,0.5010483312338884,0.7748491405234712,2,0.5773502691896257,0.9422649730810374,2.5,2.4000000000000004,0.8461324865405186,2,gaus,0.625,1.0,0.26249999999999996,1,1.75,0.4064652736572778,0.506552604082184,0.530194757064725,0.27970536434736754,0.4989897131701233,0.37136471009522215,0.7605118829981715,1.0,0.01673589402021103,,0.4666364031832207,0.9535346331200769,0.9535346331200769,0.9535346331200771,,0.6029302882692081,0.960464366727967,0.8084676468847499,,,,,0.0,,0.36241894412038084,0.5,1.0,0.3700190469235918,0.3700190469235918,1.0,2.863320332533625,0.8386598172106006,4,1.624923749392519,0.8270708984056037,5,0.7071067811865476,0.9646446609406726,4.5,4.444444444444445,0.8698223304703363,4,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,3.5
raw,gaus4,296010991.9255962,0.6709364722174139,841.7311574571829,-27.333992574487237,109,53,23190.400702522118,,False,11.641220699224442,420903.79107204755,0.0439059546713025,1.1515013364397523e-06,0.5462389100584517,13854.30070187429,,,,[],[],3,52424.96767538701,28054.752792429954,65577.04152356977,"[20, 58, 91]","[63643.10871016131, 28054.752792429954, 65577.04152356977]","[0, 38, 38]","[38, 72, 108]",92457202843.01292,52997.65853460876,-52997.65853460876,0.0,,,,CWT,uc1.l0063472831,92409350671.01292,,0.0,-9.0,12.0,0.0,-9.0,,51766.65853460876,51907.10100872034,149506.90302616102,51907.10100872035,,0.0,51907.10100872034,,,28044.752792429954,0.0,-13.5,64352.04152356977,51766.65853460876,,13209.30070187429,0.06598557080255725,0.7966456424218821,0.9179325582175678,0.04130417144170809,0.7708737864077673,0.8795579398105555,0.0,,0.587228581654685,1.0,1.0,0.9999999999999999,,0.1481946417415505,0.9999999999999999,0.596289840826023,,,,,0.0,,0.05626916202836203,0.55,1.0,0.13107522391964632,0.13107522391964632,0.55,2.293975486362232,0.6936448252473312,3,1.6375741120108638,1.0,1,0.0,0.5535809052921368,0.7450983726341633,4,0,0.4960428098717198,0.8728496195234415,3,1.2583057392117916,0.8741694260788209,2.75,2.0869565217391304,0.7995847130394105,3,gaus,0.8392857142857143,1.0,0.11249999999999998,1,2.5,,0.07065940814621613,0.1232384212644678,0.8369972961922276,0.9344365743047601,0.046780125717763146,0.7842778793418649,0.7197510820016522,0.006650201555237531,,0.5482529072350182,0.9844894655810899,0.9844894655810899,0.9844894655810901,,0.14819464174155048,0.9607960430169206,0.5760413895132249,,,,,0.6666666666666666,,0.05867602347091347,0.55,0.2,0.1475431028752237,0.1475431028752237,0.39285714285714285,2.4016257764529754,0.703430563392846,5,1.6552477417093054,0.8425055251553607,3,1.4142135623730951,0.9292893218813453,4.0,3.75,0.8646446609406726,5,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,4.25
smoothed,gaus4,286158349.8751941,0.6692054699671109,826.6060558014228,-29.961672069763377,109,53,22692.628315871876,,False,11.61643146521515,401728.57046640787,0.044800090893850016,2.4357298859372666e-06,0.6844638660736536,13841.085614204952,,,,[],[],3,52860.54685002705,24699.00417782292,68935.13827469942,"[19, 58, 90]","[64947.4980975588, 24699.00417782292, 68935.13827469942]","[0, 38, 38]","[38, 72, 108]",89378469300.32335,53023.83748292374,-53023.83748292374,0.0,,,,CWT,uc1.l0063472831,89334958855.84335,,0.0,-9.5,8.0,0.0,-5.0,,52129.63748292374,52583.83775911796,155537.84055008116,52583.83775911796,,0.0,52583.83775911796,,,24694.80417782292,0.0,-9.5,68040.93827469942,52129.63748292374,,13172.685614204953,0.062413761785664615,0.8003830763260891,0.971682739700344,0.041296417423074494,0.7996183206106866,0.8766775354288279,0.0,,0.45939128514385796,1.0,1.0,1.0,,0.14763786340052895,1.0,0.44793967031110177,,,,,0.0,,0.0542289227165311,0.0,,0.15145255403353966,0.15145255403353966,0.5,2.023301635370654,0.6749318001822727,3,1.7336235885962124,0.8643092052806572,2,0.0,0.45477714227993055,0.591548992619953,4,0,0.4680346869457293,0.7237949960276049,3,0.816496580927726,0.9183503419072274,3.0,2.823529411764706,0.8091751709536137,3,gaus,0.625,1.0,0.26249999999999996,1,2.5,0.19220564429114823,0.06215140758604498,0.36060013562474424,0.6532088195553697,0.853914159904344,0.04121843244650661,0.7659963436928698,0.876677535428828,0.0,,0.4720085342503083,1.0000000000000002,1.0000000000000002,1.0000000000000002,,0.14776277052736636,1.0,0.6139152833694559,,,,,0.0,,0.0542289227165311,0.5,1.0,0.15068284444659105,0.15068284444659105,0.6785714285714285,2.2955434720746912,0.6723593049701294,8,1.6233866025205632,0.8262885051118598,6,1.4142135623730951,0.9292893218813453,7.0,6.857142857142858,0.7896446609406726,6,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,5.0
raw,gaus8,290528666.19655263,0.6602042582655357,797.282123364855,-26.721922521015674,109,53,22750.774457807478,,False,11.585335935305327,547091.7462665645,0.04052308971610888,8.412695932335874e-07,0.5149009052177596,5159.2550227528955,,,,[],[],3,51337.6250355067,42341.844306206964,56240.316634728995,"[20, 58, 93]","[56240.316634728995, 42341.844306206964, 55430.714165584155]","[0, 37, 37]","[37, 72, 108]",79466330036.1124,42683.69945889456,-42683.69945889456,0.0,,,,CWT,uc1.l0063472831,79418477864.1124,,0.0,-4.5,12.0,0.0,-9.0,,41452.69945889456,50819.758368840034,146244.8751065201,50819.75836884004,,0.0,50819.758368840034,,,42331.844306206964,0.0,-13.5,55015.316634728995,41452.69945889456,,4514.2550227528955,0.05843362266876731,0.8500535658293812,0.6907074284473934,0.03819168897902011,0.6504854368932037,0.8350024638016809,0.04467437551890827,,0.9355175513364224,0.9746859084801316,0.9746859084801316,0.9746859084801316,,0.045637467258167606,0.9779300401786154,0.49706012651358,,,,,0.0,,0.03740696985406693,1.0,1.0,0.04013675858735266,0.04013675858735266,0.55,2.262944588370201,0.6842618035267795,4,1.5040766954969826,0.9184785497433441,5,0.0,0.5748488141254253,0.7737241509251476,3,0,0.4525069403054794,0.7962427895678935,5,0.9574271077563381,0.9042572892243662,4.25,4.067796610169492,0.7396286446121831,4,gaus,0.8392857142857143,1.0,0.11249999999999998,1,3.25,,0.06314525019649797,0.06589883132527458,0.8798074725949463,0.7529071201361629,0.04368542137733563,0.6709323583180985,0.6841731219942521,0.05041373122435681,,0.8734251589804015,0.9595680091490238,0.9595680091490238,0.9595680091490241,,0.0456374672581676,0.939591312950992,0.48018125808056905,,,,,0.6666666666666666,,0.039884755560754034,1.0,0.2,0.058328105075129505,0.058328105075129505,0.39285714285714285,2.3668554901216305,0.6932464279862416,6,1.527101663384932,0.7772803771036336,8,1.4142135623730951,0.9292893218813453,7.0,6.857142857142858,0.7896446609406726,7,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,5.75
raw,gaus6,284123560.1013342,0.6747446771680803,820.6784861212519,-27.107193647199374,109,53,23436.99846530536,,False,11.618760160928765,512998.3783112924,0.039922398737511876,9.656833595444336e-07,0.4922802493122775,4257.444923487438,,,,[],[],3,50464.482159558356,33843.08607823071,59171.39753445341,"[19, 58, 93]","[58378.96286599093, 33843.08607823071, 59171.39753445341]","[0, 38, 38]","[38, 72, 108]",86969657324.26202,47353.94165363545,-47353.94165363545,0.0,,,,CWT,uc1.l0063472831,86921805152.26202,,0.0,-9.0,12.0,0.0,-9.0,,46122.94165363545,49946.61549289169,143625.44647867506,49946.61549289169,,0.0,49946.61549289169,,,33833.08607823071,0.0,-13.5,57946.39753445341,46122.94165363545,,3612.4449234874382,0.07022165437772347,0.8164356316049682,0.8266089420646953,0.03455531613685022,0.8135922330097082,0.802841064356334,0.03260428594189355,,0.7283358626112055,0.9543585361680235,0.9543585361680235,0.9543585361680232,,0.03500070937162481,0.9602077257178954,0.5282113410742592,,,,,0.0,,0.04830148043541393,0.55,1.0,0.08131441450028831,0.08131441450028831,0.55,2.1608098354342946,0.6533786300695722,6,1.601125037700245,0.977742030700607,3,0.0,0.5304115397653607,0.7139133075715297,6,0,0.4852655896417391,0.8538857470711997,4,1.5,0.85,4.75,4.363636363636364,0.6875,5,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.0,,0.07487429422701228,0.08889400992733575,0.8528603530924488,0.8614784195016312,0.04006981905572214,0.824497257769652,0.6584919468448572,0.038589733302124195,,0.6799945823395404,0.9395559252448087,0.9395559252448087,0.9395559252448087,,0.035000709371624805,0.9225637833440306,0.5102746584573059,,,,,0.6666666666666666,,0.05073830138365937,0.55,0.2,0.09872536126657544,0.09872536126657544,0.39285714285714285,2.2686156734452263,0.664472215838021,9,1.6202523975471037,0.8246932242722785,7,1.4142135623730951,0.9292893218813453,8.0,7.875,0.7646446609406726,8,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,6.5
smoothed,gaus6,271071197.3492614,0.6652241647914142,781.5977634211233,-29.72024048726073,109,53,22978.546065472314,,False,11.579967786327646,486486.0923771869,0.041095470703030754,2.0311271131627992e-06,0.6040100978137873,3157.078872998552,,,,[],[],3,50454.2750854207,29721.66137658721,62014.2544625563,"[19, 57, 92]","[59626.909417118586, 29721.66137658721, 62014.2544625563]","[0, 38, 38]","[38, 72, 108]",83759788419.49696,47194.35927007941,-47194.35927007941,0.0,,,,CWT,uc1.l0063472831,83716277975.01697,,0.0,-9.5,8.0,0.0,-5.0,,46300.15927007941,50177.565994511606,148319.0252562621,50177.565994511606,,0.0,50177.565994511606,,,29717.46137658721,0.0,-9.5,61120.054462556305,46300.15927007941,,2488.678872998552,0.06732133984313667,0.8210742832636678,0.836903054547778,0.032763795250570424,0.7557251908396942,0.7853385697178591,0.029394947553477598,,0.5764380271533345,0.9164003751583915,0.9164003751583915,0.9164003751583916,,0.02149199817519653,0.9164003751583915,0.34633610531589454,,,,,0.0,,0.04610151362688042,0.0,,0.10077041447464245,0.10077041447464245,0.5,1.8031649077165912,0.6014987167089957,4,1.6051765135136387,0.8002710887509092,4,0.0,0.41211615183493505,0.5360579321075649,5,0,0.42828124490156894,0.6623180516280265,5,0.5773502691896257,0.9422649730810374,4.5,4.444444444444445,0.7461324865405188,4,gaus,0.625,1.0,0.26249999999999996,1,3.25,0.09772877819636772,0.06703835680018981,0.28581811351641634,0.6700953320999766,0.7354698602199451,0.03270192344753448,0.7239488117001824,0.7853385697178592,0.02939494755347761,,0.5863235261779812,0.9448492179503336,0.9448492179503336,0.9448492179503336,,0.02174600374135646,0.9530742735892705,0.5428585863198173,,,,,0.0,,0.04610151362688042,0.5,1.0,0.10025828079293021,0.10025828079293021,0.6785714285714285,2.133969140678815,0.6250345618407124,10,1.5074729637773154,0.7672895537034129,9,0.7071067811865476,0.9646446609406726,9.5,9.473684210526315,0.7448223304703363,9,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,7.25
smoothed,gaus8,278117269.8487437,0.6529340488142634,763.6650303468008,-29.365298952648327,109,53,22426.236602434517,,False,11.54302676541629,521384.9268537434,0.04136896265676532,1.797862709818313e-06,0.6258318987127155,4763.8109463045475,,,,[],[],3,51210.99926672069,37941.58655292172,58210.44339695932,"[19, 57, 93]","[57480.96785028101, 37941.58655292172, 58210.44339695932]","[0, 37, 37]","[37, 72, 108]",77045088812.07407,42689.73707696164,-42689.73707696164,0.0,,,,CWT,uc1.l0063472831,77001578367.59407,,0.0,-9.5,8.0,0.0,-9.5,,41795.53707696164,50934.2901758116,150589.19780016207,50934.29017581159,,0.0,50934.2901758116,,,37937.38655292172,0.0,-9.5,57316.243396959326,41795.53707696164,,4095.4109463045475,0.05784133447261905,0.8514935377260641,0.7003589833088968,0.036748740344405284,0.6202290076335871,0.8101128067383153,0.041498291138672844,,0.7679930991754373,0.942690779507462,0.942690779507462,0.9426907795074619,,0.04046265333125934,0.9426907795074619,0.2904934159537691,,,,,0.0,,0.03638871594693527,0.0,,0.061606722233942535,0.061606722233942535,0.0,1.7584801025726366,0.5865927850133104,5,1.4985165225749504,0.7470950633380873,5,0.0,0.38687034206962556,0.5032195769086325,6,0,0.3951928774897555,0.6111483511178366,6,0.5773502691896257,0.9422649730810374,5.5,5.454545454545455,0.6961324865405187,5,gaus,0.625,1.0,0.26249999999999996,1,4.0,0.04326031855548357,0.05759820032117008,0.24270426224847938,0.6949211010184599,0.6154750191900166,0.03667934329174337,0.5941499085923212,0.8101128067383154,0.04149829113867286,,0.7734079006421469,0.9621930321480685,0.9621930321480685,0.9621930321480683,,0.04069724421451073,0.9678314728476327,0.5038048674800423,,,,,0.0,,0.03638871594693527,0.5,1.0,0.061293625600963686,0.061293625600963686,0.35714285714285715,2.1183032710394234,0.6204460653253429,11,1.4114249832105747,0.7184020353770445,12,0.7071067811865476,0.9646446609406726,11.5,11.478260869565217,0.6948223304703363,10,10.9375,10.5,5.359959576962001,16,0.68359375,1.0,0.22148437499999998,2,8.0
