signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,gaus8,15.213742448519168,0.6460317460317461,137.00159661128964,-8.178526501877284,72,35,2681.2431056626488,,False,"[7, 23, 27, 44, 48, 65]","[6103.806484258425, 36.58223795335607, 3644.7435434728914, 3743.6405963374264, 34.064236734507176, 6656.840827841555]",6,10.389147901654074,16684.598032264563,0.057579677310157854,5.284700941666077e-06,0.5013717130922756,4,3469.6425071037065,34.064236734507176,7704.117069468537,"[7, 24, 44, 48]","[6103.806484258425, 36.58223795335607, 7704.117069468537, 34.064236734507176]","[0, 23, 27, 47]","[65, 27, 65, 65]",0.05,20,744687614.6483463,7823.2180696831265,-7823.2180696831265,CWT,uc1.l0063473003,0.0,-12.0,,33.064236734507176,6840.25040280187,3370.561554722754,7145.75140301646,0.0,3370.561554722754,12491.436695081493,3370.5615547227535,10.0,7145.75140301646,0.0,-12.0,0.0,-12.0,10.0,0.5024809797276126,0.09811445777415174,0.804627639867315,0.3371972557662799,1.0000000000000002,0.036096256684492206,0.9134778109098649,0.7255411289156598,,0.007157414395305242,0.6892010417397899,0.6892010417397899,0.6891744613933671,0.770661368755063,0.8048542604482875,0.7142857142857142,,0.06666666666666667,0.09523809523809525,0.8974329689092713,0.8974329689092713,0.09090909090909091,2.0892377700324394,0.9076448700381984,4,2.001599921658065,0.9206059795322866,4,0,0,0.534351257782476,0.8433079629306379,5,1,0.11111111111111112,0.5466363856501165,0.9130797758160817,5,0.5773502691896257,0.9587606950578839,4.5,4.444444444444445,0.8186660618146562,1,gaus,6.5,5.5,4.750939756661683,8,0.5,1.0,0.35,1,1.0
smoothed,gaus2,15.039267863504413,0.7154761904761905,132.93193085239042,-8.309544556613904,72,35,2542.6093876157965,,False,"[7, 28, 44, 65]","[4522.1934889586955, 1742.0494270428046, 2834.7199549153993, 4762.196933423991]",4,10.359556304272663,13965.803064896832,0.05103186857452184,8.689385024601222e-06,0.48603426219550006,2,4657.04488311577,4522.1934889586955,4791.896277272844,"[7, 44]","[4522.1934889586955, 4791.896277272844]","[0, 28]","[65, 65]",0.05,10,766344542.5095999,8218.536041416703,-8218.536041416703,CWT,uc1.l0063473003,0.0,-13.0,,4521.1934889586955,3928.029610606177,4557.963930734818,7541.069374750035,0.0,4557.963930734818,7926.956432898207,4557.963930734817,20.0,7541.069374750035,0.0,-13.0,0.0,-13.0,12.0,0.44558715809296356,0.22505019792053343,0.7905125477967185,0.28481130227600016,0.9701126976024199,0.27005347593582896,0.8795541951303639,0.539835048781959,,1.0,1.0,1.0,1.0,0.3398467158310568,0.26379913509412584,0.9999999999999999,,0.0,0.0,1.0,1.0,0.0,2.3018229254625915,1.0,1,1.978737823360551,0.9100908989861645,6,0,0,0.6336371542437652,1.0,1,1,0.11111111111111112,0.5451340223865428,0.9105702877031258,6,2.886751345948129,0.7938034752894194,3.5,1.7142857142857144,0.7719017376447097,2,gaus,6.5,5.5,4.750939756661683,8,0.5,1.0,0.35,1,1.75
smoothed,gaus6,15.15359962842883,0.6440476190476191,129.5341699805453,-8.31163292363336,72,35,2739.401077985168,,False,"[7, 23, 27, 44, 48, 65]","[5639.665852582321, 36.34541982259134, 3534.2234583301633, 4002.3970568903687, 17.623129556929143, 6158.206686461595]",6,10.371054545302204,15683.485198600833,0.057957396074566195,5.991155510502146e-06,0.4947957327581236,4,3344.90381006336,17.623129556929143,7685.980838291599,"[7, 24, 44, 48]","[5639.665852582321, 36.34541982259134, 7685.980838291599, 17.623129556929143]","[0, 23, 27, 47]","[65, 27, 65, 65]",0.05,20,767156325.6809828,7861.664164524374,-7861.664164524374,CWT,uc1.l0063473003,0.0,-12.0,,16.623129556929143,6822.114171624932,3245.8228576824076,7184.197497857707,0.0,3245.8228576824076,11992.481906920108,3245.8228576824076,10.0,7184.197497857707,0.0,-12.0,0.0,-12.0,10.0,0.5263484006593085,0.12445297594224325,0.7902875597764334,0.3051666184162486,0.9896976017972408,0.029411764705882637,0.8989329538973985,0.6571605623990059,,0.003520390940087,0.6565510674108841,0.6565510674108841,0.6565216947525656,0.7235679382789938,0.8014847697629703,0.7142857142857142,,0.06666666666666667,0.09523809523809525,0.907407981650551,0.907407981650551,0.09090909090909091,2.0375193929221087,0.8851764270757855,6,1.9510471713539852,0.8973549973014385,7,0,0,0.5233427049130878,0.8259343717583734,6,1,0.11111111111111112,0.5346267491436646,0.8930193544888366,7,0.5773502691896257,0.9587606950578839,6.5,6.461538461538462,0.7472374903860848,3,gaus,6.5,5.5,4.750939756661683,8,0.5,1.0,0.35,1,2.5
smoothed,gaus4,15.06889023275625,0.6543650793650794,123.98884666273183,-8.153191390312251,72,35,2653.5760802966024,,False,"[7, 28, 44, 65]","[5171.897810696733, 2810.707983926655, 3632.22851495502, 5588.797663578258]",4,10.325483943571157,14345.928421160177,0.05748754479939908,6.881203403392133e-06,0.49860646696017746,3,4005.3259156644867,0.2907421751606307,6843.789194121566,"[7, 24, 44]","[5171.897810696733, 0.2907421751606307, 6843.789194121566]","[0, 23, 28]","[65, 28, 65]",0.05,10,740288367.1803212,7959.663703740051,-7959.663703740051,CWT,uc1.l0063473003,0.0,-12.5,,0.7092578248393693,5979.922527454899,3906.244963283534,7282.197037073383,0.0,3906.244963283534,10628.844413660127,3911.9622462778716,20.0,7282.197037073383,0.0,-12.5,0.0,-12.5,11.0,0.49112672314044403,0.15763634488269426,0.807357091415639,0.2244930612561879,0.9751869765152342,0.06417112299465254,0.9073615959043604,0.5657993420509867,,0.0,0.8294145436675285,0.8294145436675285,0.8308965641567132,0.5948621536926981,0.6450158279747047,0.857142857142857,,0.03333333333333333,0.04761904761904763,0.9328344041871555,0.9328344041871555,0.045454545454545456,2.100033737999385,0.9123350518273887,3,1.8938160185220356,0.871032383605004,8,0,0,0.5482351854236056,0.8652194426286676,4,1,0.11111111111111112,0.5185859767144693,0.8662254833195266,8,2.6299556396765835,0.8121460257373869,5.75,4.800000000000001,0.7007158700115506,4,gaus,6.5,5.5,4.750939756661683,8,0.5,1.0,0.35,1,3.25
smoothed,fbsp,11.644747437916642,0.8849206349206349,203.400226537355,-15.647181161405745,72,35,3893.5524495894215,-10171.925623393414,True,"[7, 11, 17, 22, 28, 34, 38, 44, 52, 58, 65]","[3595.978832116712, 2.5360230188707646, 15.247557815464916, 215.46806302930327, 546.141767212077, 196.72943828743246, 63.99922972679997, 408.8194789098661, 139.88569663787484, 68.36199338479037, 4062.3484683813995]",11,10.675346319691535,20702.76155666991,0.0457777569071354,9.011854255264734e-06,0.3903417334280003,4,3031.061532608862,134.32738736827696,6472.471843919611,"[7, 24, 44, 49]","[5302.457447166771, 214.98945198078673, 6472.471843919611, 134.32738736827696]","[0, 23, 28, 48]","[65, 28, 65, 65]",0.05,20,1241909452.8161283,8031.715270842864,-8031.715270842864,CWT,uc1.l0063473003,0.0,-12.0,,133.32738736827696,5608.6051772529445,2931.9805802279093,7354.248604176197,0.0,2931.9805802279093,10737.112797102114,2931.9805802279093,10.0,7354.248604176197,0.0,-12.0,0.0,-12.0,10.0,1.0,0.2370727143924345,0.0,0.8438538185417932,0.3886351234002814,0.8409090909090907,0.6678999508413098,1.0,0.0,0.029337151234829877,0.5744038064137587,0.5744038064137587,0.5743674083050745,0.6050809745345025,0.5760295903933772,0.7142857142857142,,0.06666666666666667,0.09523809523809525,0.9515285083048164,0.9515285083048164,0.09090909090909091,1.8170069175826729,0.7893773658621085,8,1.9908899019889277,0.9156800659960047,5,0,0,0.4836482767503751,0.7632890109286612,9,0,0.0,0.5531522997872121,0.9239637008084883,4,2.3804761428476167,0.8299659897965987,6.5,5.82995951417004,0.6828401377554423,5,fbsp,5.0,5.0,,1,0.38461538461538464,,,4,4.75
smoothed,morl,15.047176802960438,0.6428571428571429,116.34412928974508,-6.365055753981187,72,35,2074.8448143173846,,False,"[7, 24, 28, 44, 48, 65]","[5871.10093971849, 40.24010055317012, 2649.473296622926, 2825.7753944492833, 163.96025702577663, 7037.514044521861]",6,10.285124144298692,13983.053511168106,0.06417336851752266,4.427250689411701e-06,0.5404898847894495,4,3128.6406494465136,40.24010055317012,6400.378773185843,"[7, 25, 44, 48]","[6400.378773185843, 40.24010055317012, 5909.983467021266, 163.96025702577663]","[0, 24, 28, 47]","[65, 28, 65, 65]",0.05,20,495713699.7745987,7113.338521549736,-7113.338521549736,CWT,uc1.l0063473003,0.0,-7.5,,39.24010055317012,5536.512106519176,3029.559697065561,6435.871854883069,0.0,3029.559697065561,11127.429264452721,3029.559697065561,10.0,6435.871854883069,0.0,-12.0,0.0,-12.0,10.0,0.2536214907561502,0.06614641617107295,1.0000000000000002,0.1530441786455911,0.9714674901365095,0.025401069518716846,1.0,0.5410133328364924,,0.008523609586547812,0.5999448432802583,0.5999448432802583,0.5999106295083934,0.6419206679395396,0.5626355766127064,0.7142857142857142,,0.06666666666666667,0.5238095238095238,0.7132515177984667,0.7132515177984667,0.09090909090909091,1.7930196300358698,0.778956369841321,9,1.8847519674113011,0.8668635087159522,9,0,0,0.486254516789636,0.7674021536347126,8,1,0.11111111111111112,0.495781191702511,0.8281332733370382,9,0.5,0.9642857142857143,8.75,8.727272727272728,0.6696428571428572,6,morl,6.0,6.0,,1,0.46153846153846156,,,6,6.0
smoothed,gaus1,14.894345236657914,0.7392857142857143,127.77430320072968,-7.867468275007417,72,35,2661.146769376323,,False,"[13, 15, 17, 57, 59]","[152.93848095734393, 2777.108431760629, 55.815852746033215, 4462.362133330294, 33.155291707167635]",5,10.416709835864943,8272.412183568456,0.06068240841528231,9.342458642829302e-06,0.08837266366340685,5,2298.680923991058,33.155291707167635,7830.465539527397,"[13, 15, 17, 57, 59]","[152.93848095734393, 3421.0294550173494, 55.815852746033215, 7830.465539527397, 33.155291707167635]","[0, 0, 16, 0, 58]","[14, 35, 35, 71, 71]",0.05,30,666711726.6227839,5097.243945354866,-5097.243945354866,CWT,uc1.l0063473003,0.0,-11.5,,32.155291707167635,6966.59887286073,2199.5999716101055,4419.7772786882,0.0,2199.5999716101055,10106.271286621957,2199.5999716101055,0.0,4419.7772786882,0.0,-11.5,0.0,-2.5,9.0,0.49423365441388384,0.24939853129905673,0.8381391701706072,0.38599010006808143,0.9452876127773336,0.35026737967914456,0.0,0.1509505187123386,,0.006956341903761221,0.3827054109861926,0.3827054109861926,0.38265261832526254,0.5455395260503834,0.8283282660900304,0.5714285714285714,,0.1,0.14285714285714288,0.19016668517215907,0.19016668517215907,0.9545454545454545,1.5532727385657272,0.674801141905201,10,1.5920991735955474,0.7322622285108478,11,0,0,0.38983767612644243,0.6152380325483073,10,1,0.11111111111111112,0.4212278153345002,0.7036022652163921,11,0.5773502691896257,0.9587606950578839,10.5,10.476190476190476,0.604380347528942,7,gaus,6.5,5.5,4.750939756661683,8,0.5,1.0,0.35,1,5.5
smoothed,mexh,14.968338282805393,0.7964285714285714,142.88502512672335,-7.868947243384018,72,35,2304.800526978008,,False,"[7, 28, 44, 65]","[3393.5781798753337, 612.1033543739034, 1592.2565655459193, 3511.979327602365]",4,10.483818336283237,13151.758811075411,0.054038745611900106,1.294850441975299e-05,0.4384235711552444,2,2856.70729472332,2319.836409571306,3393.5781798753337,"[7, 44]","[3393.5781798753337, 2319.836409571306]","[0, 28]","[65, 65]",0.05,10,691170414.3974688,7296.261895781834,-7296.261895781834,CWT,uc1.l0063473003,0.0,-13.0,,2318.836409571306,2529.711513208667,2757.6263423423675,6618.795229115167,0.0,2757.6263423423675,4326.281256113307,2757.626342342367,20.0,6618.795229115167,0.0,-13.0,0.0,-13.0,12.0,0.34799289970559943,0.38384157463156254,0.837979835070974,0.5047921618967451,0.957962539302253,0.5427807486631013,0.7742481178221904,0.48423211834881147,,0.5128050521182815,0.5287671152652405,0.5287671152652405,0.5287268141863946,0.0,0.004008677069827993,0.9999999999999999,,0.0,0.0,0.7607118124311861,0.7607118124311861,0.0,1.3360088925579354,0.5804134096411613,11,2.174219987876873,1.0,1,0,0,0.3853748665639463,0.6081948698603137,11,1,0.11111111111111112,0.598673193874599,1.0,1,5.773502691896258,0.5876069505788387,6.0,1.8333333333333335,0.579517761003705,8,mexh,8.0,8.0,,1,0.6153846153846154,,,5,7.25
smoothed,cgau8,11.032440924538555,0.9321428571428572,189.6547160073894,-12.920107377680258,72,35,2892.4213049708146,-9406.542166068219,True,"[7, 15, 19, 22, 30, 34, 38, 42, 49, 52, 57, 65]","[2635.249945028186, 46.219913253824416, 3.5977140359400437, 19.43793846736662, 244.17927779441834, 65.08499297316666, 31.15629440790599, 529.0823820302326, 29.90210600470982, 96.85588838288686, 63.126243806385446, 2817.057816641996]",12,10.76354963807178,16317.980342122597,0.057025838863510044,9.880771257217978e-06,0.38679668429135367,4,2513.1445508779425,18.57792792883629,5164.530602873522,"[7, 24, 44, 49]","[4824.343232115353, 18.57792792883629, 5164.530602873522, 45.12644059405784]","[0, 23, 27, 47]","[65, 27, 65, 65]",0.05,20,668646294.7002935,5742.6642223464605,-5742.6642223464605,CWT,uc1.l0063473003,0.0,-12.0,,17.57792792883629,4300.663936206855,2414.06359849699,5065.197555679793,0.0,2414.06359849699,8665.444870178437,2414.0635984969904,10.0,5065.197555679793,0.0,-12.0,0.0,-12.0,10.0,0.5891462944420656,0.2694682671315375,0.29379842051521565,1.0,0.283747698542436,0.9999999999999999,0.6600589552521187,0.7004994707689064,0.3047635148988168,0.003731606890212692,0.43884061263958124,0.43884061263958124,0.43879262080911363,0.40954832949146847,0.3330300506515718,0.7142857142857142,,0.06666666666666667,0.09523809523809525,0.3576238876021013,0.3576238876021013,0.09090909090909091,1.2304869610924871,0.5345706428939139,12,2.1418660464203647,0.9851192880035556,2,0,0,0.31209426461877493,0.4925441359120646,12,0,0.0,0.5668314023945663,0.9468127322121216,2,5.773502691896258,0.5876069505788387,7.0,3.428571428571429,0.5438034752894194,9,cgau,9.0,9.0,,1,0.6923076923076923,,,2,7.25
smoothed,gaus7,15.139702923885224,0.6432539682539683,126.6506950184164,-8.141329589868233,72,35,2842.6534396525876,,False,"[2, 12, 15, 37, 57, 59, 61, 69]","[238.9540818284495, 2696.8332616107914, 70.50697726641238, 3707.0889454908674, 102.13902878582485, 5.167883109706054, 3156.6234029674606, 17.348304179165552]",8,10.337613294859146,15084.26331205553,0.054845572543309476,2.653064396243618e-06,0.10798221695362059,5,3261.6824603623836,5.167883109706054,8754.485975703188,"[12, 15, 57, 59, 61]","[7376.112436946785, 70.50697726641238, 102.13902878582485, 5.167883109706054, 8754.485975703188]","[2, 14, 37, 37, 37]","[37, 37, 58, 60, 69]",0.05,30,708378672.3559732,4780.391800151681,-4780.391800151681,CWT,uc1.l0063473003,0.0,-2.5,,4.167883109706054,7890.619309036521,3162.601507981431,4102.925133485014,0.0,3162.601507981431,14921.278968478584,3163.6840523246497,0.0,4102.925133485014,0.0,2.0,0.0,-7.0,9.0,0.5687220852926325,0.0,0.8086350099874492,0.24596563079172162,0.9873171117620333,0.026737967914438776,0.04337271922837671,0.616230978147058,,0.0007651006193199724,0.6347681323969412,0.6347681323969412,0.6350202737249467,0.9999999999999998,1.0,0.5714285714285714,,1.0000000000000002,1.0,0.10795796674303176,0.10795796674303176,0.5454545454545454,2.1524420161009945,0.9351032141920403,2,1.546975668973086,0.7115083467168879,12,0,0,0.6031767241256106,0.9519276451607251,2,1,0.11111111111111112,0.40656713233490827,0.6791136407889172,12,5.773502691896258,0.5876069505788387,7.0,3.428571428571429,0.5438034752894194,10,gaus,6.5,5.5,4.750939756661683,8,0.5,1.0,0.35,1,7.75
