signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,mexh,741610112.8152405,0.6798434442270058,1808.7245411262168,-32.45716457503582,73,35,44266.173654174505,,False,10.35329726113855,611868.3314180367,0.04914588116207584,2.1616567923791467e-06,0.5687754724639598,47397.14097879329,,,,[],[],2,37697.70735576419,14096.491702565574,61298.92300896281,"[21, 52]","[14096.491702565574, 61298.92300896281]","[0, 0]","[36, 72]",167178568939.8024,67461.47029436154,-67461.47029436154,0.0,,,,CWT,uc1.l0063473003,167143028670.8024,,0.0,-8.0,7.0,0.0,-8.0,,66329.47029436154,37159.70735576419,70553.41471152838,37159.70735576419,,0.0,37159.70735576419,,,13991.491702565574,0.0,-3.5,60176.92300896281,66329.47029436154,,46662.14097879329,0.9999999999999999,0.012204853211829736,0.949605968618195,1.0,1.0,0.8524144131511902,0.1310912522559661,,0.2754430638958173,0.7072010785542396,0.7072010785542396,0.7072010785542396,,1.0,0.7488197747518875,1.0,,,,,0.0,,0.9937208767974546,0.1,0.5263157894736842,0.6292636225783828,0.6292636225783828,0.1,2.924721243620953,0.9299296011201891,2,2.0755281623990576,1.0,1,0,0.5803164275527378,0.8543925881212975,2,0,0.706473783891026,1.0,1,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,mexh,0.16666666666666666,,,2,1.25,,1.0,0.2772430560142753,0.1211050841627001,0.9575611429358668,1.0,1.0,0.6726014044099206,0.13472761085140839,,0.2819826138110547,0.72207698879194,0.72207698879194,0.72207698879194,,0.9999999999999999,0.7488197747518875,0.9888254844505007,,,,,0.5,,0.9798137679260243,0.08333333333333331,0.5263157894736843,0.6384311588838593,0.6384311588838593,0.08333333333333334,3.126197630121181,0.9479492697548437,2,2.1575481448743674,0.9195540241967682,2,0.0,1.0,2.0,2.0,0.95,1,1.5,1.5,0.7071067811865476,2,0.13043478260869565,0.12605487102240268,0.8708791908671922,1,1.0,1
smoothed,mexh,738531129.602306,0.6755381604696673,1780.1180358485801,-33.89942747252736,73,35,44114.7435468298,,False,10.334564861393071,615289.7696142507,0.04976464331504489,6.573310597865544e-06,0.7488774854554902,47300.21254755587,,,,[],[],2,36952.17185653001,12196.071438355051,61708.27227470498,"[22, 53]","[12196.071438355051, 61708.27227470498]","[0, 0]","[36, 72]",166756114055.0735,67152.37287979484,-67152.37287979484,0.0,,,,CWT,uc1.l0063473003,166724068867.87347,,0.0,-2.5,6.0,0.0,-7.0,,66200.57287979484,36654.89685653001,71526.14371306002,36654.89685653002,,0.0,36654.89685653001,,,12117.071438355051,0.0,-7.0,60756.472274704975,66200.57287979484,,46625.81254755587,0.9999999999999999,0.01761251603196423,0.9701564290405769,1.0,1.0,0.8555039509162888,0.1362911174550031,,0.2334516139465278,0.7307370094117858,0.7307370094117858,0.730737009411786,,0.9999999999999999,0.7622808317919755,0.9999999999999999,,,,,0.0,,0.977189784711841,0.9999999999999999,0.1,0.6469714832389099,0.6469714832389099,0.1,2.9862226942020373,1.0,1,2.3923637514879834,1.0,1,0,0.6185054446545374,0.9644372285467796,3,0,0.7474455016804791,1.0,1,1.0,0.9,1.5,1.2000000000000002,0.875,2,mexh,0.3333333333333333,,,2,2.0,1.0,0.9955413067684629,1.0,0.015732830610106108,0.9339812849633771,0.995291089003514,0.9421052631578952,0.8555039509162888,0.1362911174550031,,0.2334516139465278,0.7088758612563064,0.7088758612563064,0.7088758612563066,,0.9992152998220294,0.7603146815825771,1.0,,,,,0.0,,0.9771897847118409,1.0,0.15789473684210528,0.6365548591270649,0.6365548591270649,0.25,2.9967950597078943,0.9087108444723961,3,2.346298409991723,1.0,1,1.4142135623730951,0.9292893218813453,2.0,1.5,0.9146446609406726,2,1.5,1.5,0.7071067811865476,2,0.13043478260869565,0.12605487102240268,0.8708791908671922,1,1.75,2
smoothed,gaus2,353639319.1137971,0.6512720156555774,1242.8523088294698,-30.60706440564256,73,35,28224.966261329413,,False,10.357389264443864,456115.3640011945,0.056109801455689,3.619794005086983e-06,0.8911610665558399,30591.253147473297,,,,[],[],2,46940.73689174988,34500.40641614763,59381.06736735214,"[15, 58]","[34500.40641614763, 59381.06736735214]","[0, 0]","[36, 72]",79085597688.16693,55373.23381583468,-55373.23381583468,0.0,,,,CWT,uc1.l0063473003,79053552500.96693,,0.0,-2.5,6.0,0.0,-7.0,,54421.43381583468,46643.46189174988,91503.27378349977,46643.461891749874,,0.0,46643.46189174988,,,34421.40641614763,0.0,-7.0,58429.267367352135,54421.43381583468,,29916.853147473295,0.5285895906745544,0.2868925123788758,1.0,0.4085722259899274,0.6536312849162023,0.9999999999999999,0.06355263146549518,,0.8109377297624629,1.0,1.0,0.9999999999999999,,0.638800254716063,0.9999999999999999,0.9551282540393118,,,,,0.0,,0.4281013955219911,0.9999999999999999,0.1,0.4727021915972941,0.4727021915972941,0.1,2.9733771477063393,0.9956983963317141,2,1.8356451681953971,0.7672935050339553,2,0,0.6413122869453157,1.0,1,0,0.5400602406856582,0.7225412949458424,2,0.5,0.95,1.75,1.6,0.8875,1,gaus,0.9791666666666666,1.0,0.014583333333333358,1,1.0,0.37924368006021,0.5276842625135831,0.5161282546801269,0.25627407761463583,0.9627120503515347,0.4066482957421046,0.6157894736842119,0.9999999999999999,0.0635526314654952,,0.8109377297624631,0.9700834255362587,0.9700834255362587,0.9700834255362585,,0.6382989880424997,0.9963878823843337,0.955128254039312,,,,,0.0,,0.4281013955219912,1.0,0.15789473684210528,0.4650914063087932,0.4650914063087932,0.25,2.977140698113167,0.9027511004236819,4,1.8233252168335967,0.7771071271535444,3,0.7071067811865476,0.9646446609406726,3.5,3.428571428571429,0.8948223304703362,3,11.5,11.5,5.609515724790035,16,1.0,1.0,0.0,3,3.0,3
smoothed,gaus4,162598060.51569882,0.6305283757338552,720.9350635914267,-27.257703966731093,73,35,19223.108245982672,,False,10.21307987402914,499277.10164642526,0.07135481551590296,2.764793070496022e-06,0.7624792322766936,14448.206137987827,,,,[],[],2,45954.21231811498,41802.587527604934,50105.837108625026,"[13, 60]","[41802.587527604934, 50105.837108625026]","[0, 36]","[36, 72]",36613268369.97281,39540.768190198825,-39540.768190198825,0.0,,,,CWT,uc1.l0063473003,36581223182.77281,,0.0,-2.5,6.0,0.0,-7.0,,38588.96819019882,45656.93731811498,89530.22463622996,45656.93731811497,,0.0,45656.93731811498,,,41723.587527604934,0.0,-2.5,49154.03710862502,38588.96819019882,,13773.806137987827,0.26152671776843395,0.5608342826004555,0.8113112740180366,0.11501673003548896,0.3575418994413419,0.8693172009139444,0.08327640198562783,,1.0,0.9734061343096767,0.9734061343096767,0.9734061343096765,,0.2898339110726669,0.9765215723945972,0.7762889199602572,,,,,0.0,,0.16209334792628696,0.9999999999999999,1.0,0.23846499017383327,0.23846499017383327,0.1,2.5938203926251466,0.8685957673756992,3,1.462039861198784,0.6111277435504681,4,0,0.6215632953307505,0.9692053434550066,2,0,0.4072960105724378,0.5449173346507747,4,0.9574271077563381,0.9042572892243662,3.25,3.0,0.7896286446121832,3,gaus,0.9791666666666666,1.0,0.014583333333333358,1,2.5,0.19954357781617332,0.26263443782501794,0.37605428472777025,0.5009795734169901,0.7810591400832199,0.11447512649064498,0.3368421052631591,0.8693172009139443,0.08327640198562783,,1.0,0.9442851572091387,0.9442851572091387,0.9442851572091385,,0.28960647835106634,0.9730720194003718,0.7762889199602574,,,,,0.0,,0.16209334792628693,1.0,0.6315789473684211,0.23462556257798306,0.23462556257798306,0.25,2.5573951440752514,0.7754726815549231,6,1.4557357773680555,0.6204393146109625,7,0.7071067811865476,0.9646446609406726,6.5,6.461538461538462,0.8198223304703363,5,11.5,11.5,5.609515724790035,16,1.0,1.0,0.0,3,4.5,4
raw,gaus8,163218370.77436158,0.6540117416829746,588.4023176959071,-24.617806825013496,73,35,16761.1420609314,,False,9.977549611390293,599485.9852171601,0.0770111953120893,8.884389627413206e-07,0.5694514093845949,9841.858553344053,,,,[],[],2,39984.380765281225,36711.12399810553,43257.637532456916,"[12, 60]","[36711.12399810553, 43257.637532456916]","[0, 36]","[36, 72]",27645547628.634487,36366.91344626387,-36366.91344626387,0.0,,,,CWT,uc1.l0063473003,27610007359.634487,,0.0,-8.0,7.0,0.0,-8.0,,35234.91344626387,39446.380765281225,75126.76153056245,39446.380765281225,,0.0,39446.380765281225,,,36606.12399810553,0.0,-3.5,42135.637532456916,35234.91344626387,,9106.858553344053,0.19014454689088728,0.6559178187967688,0.3879641155305797,0.11238417159364134,0.641304347826088,0.8532883538370424,0.12534926449843586,,0.8997424148552147,0.7701998028916206,0.7701998028916206,0.7701998028916206,,0.1887557327535883,0.8028638050074376,0.6338325741663124,,,,,0.0,,0.10738545998779013,0.1,0.5263157894736842,0.16515825375823498,0.16515825375823498,0.1,1.9782162134672494,0.6289836401781559,5,1.3487449853720646,0.64983217756635,6,0,0.42855797803109713,0.6309605288172611,6,0,0.42376465985334916,0.5998306936732916,6,0.5,0.95,5.75,5.714285714285714,0.6875,5,gaus,1.0,1.0,0.0,1,4.0,,0.1901445468908873,0.06865301968078863,0.6938514218529768,0.484579766553543,0.11542381168840098,0.6526315789473697,0.6732878519515573,0.12906920671174293,,0.8675027011824052,0.7818750067752639,0.7818750067752639,0.7818750067752639,,0.1887996316057393,0.8028638050074376,0.6409644189516024,,,,,0.5,,0.10590581020509982,0.08333333333333331,0.5263157894736843,0.18580214651897925,0.18580214651897925,0.08333333333333334,2.1851575868923585,0.6625999965055227,9,1.3759473672485287,0.5864332351712171,9,0.0,1.0,9.0,9.0,0.775,7,11.5,11.5,5.609515724790035,16,1.0,1.0,0.0,3,6.0,5
raw,gaus6,170206650.92502725,0.6371819960861057,687.367750188171,-25.602419281007606,73,35,18823.050830747292,,False,10.15192673753033,615935.8254439678,0.06958113682673564,9.431448781341286e-07,0.5561311943431176,10891.303062301808,,,,[],[],2,42378.32404093992,38355.6371974255,46401.01088445434,"[12, 60]","[38355.6371974255, 46401.01088445434]","[0, 36]","[36, 72]",34644006080.26059,37755.81027439495,-37755.81027439495,0.0,,,,CWT,uc1.l0063473003,34608465811.26059,,0.0,-8.0,7.0,0.0,-8.0,,36623.81027439495,41840.32404093992,79914.64808187984,41840.32404093992,,0.0,41840.32404093992,,,38250.6371974255,0.0,-3.5,45279.01088445434,36623.81027439495,,10156.303062301808,0.2508551865201512,0.5750683634956589,0.6486111011524435,0.12310857795044997,0.4076086956521748,0.8360662174014274,0.1329774457545028,,0.9451408325505621,0.8361538529430457,0.8361538529430457,0.8361538529430457,,0.21142513600931473,0.8594430883809627,0.6976307403354576,,,,,0.0,,0.15184075473063155,0.1,0.5263157894736842,0.18588839240667643,0.18588839240667643,0.1,2.153237513052132,0.6846325289963617,4,1.3568183571281296,0.6537219690432015,5,0,0.46228819179450736,0.680621098925085,4,0,0.42489936970382985,0.6014368535568629,5,0.5773502691896257,0.9422649730810374,4.5,4.444444444444445,0.7461324865405188,4,gaus,1.0,1.0,0.0,1,3.25,,0.25085518652015126,0.07761543649102792,0.6219152765465261,0.7040811611372924,0.1261114923193816,0.42631578947368526,0.6597605114702868,0.13658634785173257,,0.9100811300317246,0.8444782025150226,0.8444782025150226,0.8444782025150225,,0.21146780815229554,0.8594430883809627,0.7015730271857891,,,,,0.5,,0.14973778972639323,0.08333333333333331,0.5263157894736843,0.2060196721349504,0.2060196721349504,0.08333333333333334,2.3542050257971066,0.7138598384040884,7,1.3758517390778884,0.5863924781344169,10,2.1213203435596424,0.8939339828220179,8.5,8.23529411764706,0.7344669914110089,8,11.5,11.5,5.609515724790035,16,1.0,1.0,0.0,3,6.75,6
raw,morl,89986151.71561274,0.6696673189823875,425.7356702037165,-20.42745575540433,73,35,10303.283748761567,,False,9.7179952284755,329175.76259270683,0.1250206898777931,6.378335136770167e-07,0.647535692449025,7316.8371669604585,,,,[],[],2,30004.50027722692,27252.611894679823,32756.38865977402,"[12, 61]","[27252.611894679823, 32756.38865977402]","[0, 37]","[37, 72]",10740189461.948948,25301.489395097335,-25301.489395097335,0.0,,,,CWT,uc1.l0063473003,10704649192.948948,,0.0,-3.5,7.0,0.0,-3.5,,24169.489395097335,29466.50027722692,55167.00055445384,29466.50027722692,,0.0,29466.50027722692,,,27147.611894679823,0.0,1.0,31634.38865977402,24169.489395097335,,6581.8371669604585,0.0,1.0,0.0,0.0,0.8586956521739142,0.9542460465038156,0.0,,0.6386308084385655,0.49525029013206484,0.49525029013206484,0.49525029013206484,,0.13421189784981513,0.5669958577971288,0.420698356388061,,,,,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.5982675596679305,0.508177084392922,6,1.325176679471092,0.6384768481962438,7,0,0.44616341363355483,0.6568807905489862,5,0,0.4018488140968186,0.5688092371716429,7,0.9574271077563381,0.9042572892243662,6.25,6.131386861313869,0.639628644612183,6,morl,1.0,,,3,5.25,,0.0,0.02759657316482797,1.0,0.15785945477154573,0.0034244996511802184,0.8631578947368433,0.7525863227314478,0.005544596926256223,,0.6226104225538897,0.5208945491321502,0.5208945491321502,0.5208945491321503,,0.13425874823190706,0.5669958577971288,0.4384857415492836,,,,,0.5,,2.6019950701755556e-05,0.8333333333333333,1.0,0.024727911431930122,0.024727911431930122,0.8333333333333333,1.7853625693223847,0.541371130068697,11,1.3374364749186303,0.5700197678279757,11,0.0,1.0,11.0,11.0,0.725,9,11.5,11.5,3.5355339059327378,2,1.0,0.6302743551120134,0.11091769346639599,2,7.25,7
raw,gaus3,220878208.56582427,0.6430528375733855,905.650940328802,-27.51012418281881,73,35,21841.93002269466,,False,10.296810398796753,887474.5922787093,0.053544784991566674,6.693863902936269e-07,0.002071858086790628,7.0,,,,[],[],2,24867.670517253853,4118.836594021428,45616.50444048628,"[27, 70]","[45616.50444048628, 4118.836594021428]","[2, 2]","[45, 72]",51933314988.458466,57399.92017812625,-57399.92017812625,0.0,,,,CWT,uc1.l0063473003,51897774719.458466,,0.0,-8.0,7.0,0.0,-8.0,,56267.92017812625,24329.670517253853,44893.341034507706,24329.670517253853,,0.0,24329.670517253853,,,4013.836594021428,0.0,-8.0,44494.50444048628,56267.92017812625,,728.0,0.33974276941886755,0.4184210437834901,0.8651732753944117,0.2008705398575717,0.4891304347826088,0.11970499855323158,0.25889641535572117,,0.0,0.353728671579222,0.353728671579222,0.353728671579222,,0.007761195408217347,0.4455902465672203,0.6817083325052722,,,,,0.0,,0.2616651294449494,0.1,0.05263157894736842,0.4790888041878303,0.4790888041878303,0.1,1.2436169359539986,0.395414162536132,10,1.2330901041983706,0.5941090689769628,8,0,0.26205143614188253,0.38581503834099007,10,0,0.3845627824494147,0.5443411931457229,8,1.1547005383792515,0.8845299461620748,9.0,8.88888888888889,0.4922649730810374,9,gaus,1.0,1.0,0.0,1,7.0,,0.3397427694188676,0.032765850194004464,0.48253766032496204,0.886456948629283,0.20360715841507732,0.5052631578947372,0.09708571492775175,0.2606723697906579,,0.02364909706101015,0.3865630625780556,0.3865630625780556,0.38656306257805567,,0.007814888415785981,0.4455902465672203,0.6864466523027541,,,,,0.5,,0.2580222982706089,0.08333333333333331,0.05263157894736843,0.49196985010177446,0.49196985010177446,0.08333333333333334,1.4809896261521844,0.44907686612603653,16,1.2915157326462776,0.5504481983819074,14,1.4142135623730951,0.9292893218813453,15.0,14.933333333333334,0.5896446609406727,12,11.5,11.5,5.609515724790035,16,1.0,1.0,0.0,3,9.75,8
raw,gaus5,179023879.9250855,0.6461839530332681,807.8347364552487,-26.52945663745955,73,35,21065.262327854987,,False,10.298984174965351,721392.0447402257,0.06581156457184868,5.207714946873176e-07,-0.06794918204729487,7.0,,,,[],[],2,32082.86736220883,5073.496389483538,59092.238334934125,"[26, 70]","[59092.238334934125, 5073.496389483538]","[2, 45]","[45, 72]",41419098378.059685,44742.25634319476,-44742.25634319476,0.0,,,,CWT,uc1.l0063473003,41383558109.059685,,0.0,-8.0,7.0,0.0,-8.0,,43610.25634319476,31544.86736220883,59323.73472441766,31544.86736220883,,0.0,31544.86736220883,,,4968.496389483538,0.0,-8.0,57970.238334934125,43610.25634319476,,728.0,0.31687464197144766,0.4989465707470114,0.8684224871362481,0.13663973936627485,0.532608695652175,0.029172533214057106,0.1818799970425348,,0.02635433036917295,0.5525100958016099,0.5525100958016099,0.5525100958016099,,0.007761195408217347,0.6161167043314074,0.9552129448997432,,,,,0.0,,0.1948771929820627,0.1,0.05263157894736842,0.2901653932123906,0.2901653932123906,0.1,1.5434787193226094,0.490756701319052,7,1.1944259386544094,0.5754804778335547,9,0,0.3064867871976846,0.45123664763912585,7,0,0.3663635235899641,0.5185804936343906,9,1.1547005383792515,0.8845299461620748,8.0,7.875,0.5422649730810374,8,gaus,1.0,1.0,0.0,1,6.25,,0.31687464197144766,0.008418416665654155,0.5541855890209869,0.8891932415771159,0.13959631627765795,0.5473684210526328,0.025975868142468328,0.18477704597461053,,0.048366389809525456,0.5752452193268704,0.5752452193268704,0.5752452193268704,,0.007814888415785981,0.6161167043314074,0.946277536138983,,,,,0.5,,0.19217080678359993,0.08333333333333331,0.05263157894736843,0.3077181205003536,0.3077181205003536,0.08333333333333334,1.7667709882668072,0.5357336503663854,12,1.2477425839989944,0.5317919403113759,16,2.8284271247461903,0.8585786437626906,14.0,13.714285714285715,0.5792893218813453,13,11.5,11.5,5.609515724790035,16,1.0,1.0,0.0,3,10.5,9
raw,gaus7,179288940.1334194,0.6344422700587085,712.1843206278382,-25.874383875490608,73,35,19746.340694017108,,False,10.186370992650437,714780.1940691131,0.07137921626921659,4.6938611509567336e-07,-0.09051226051137526,1103.7076175662276,,,,[],[],2,30978.084450321698,5977.47529495741,55978.693605685985,"[27, 70]","[55978.693605685985, 5977.47529495741]","[2, 45]","[45, 72]",35608038642.998985,38976.77962095905,-38976.77962095905,0.0,,,,CWT,uc1.l0063473003,35572498373.998985,,0.0,-8.0,7.0,0.0,-8.0,,37844.77962095905,30440.084450321698,57114.168900643395,30440.084450321698,,0.0,30440.084450321698,,,5872.47529495741,0.0,-8.0,54856.693605685985,37844.77962095905,,368.70761756622755,0.27804044271717065,0.5527365422889714,0.7000960147289899,0.1370465080306539,0.3695652173913054,0.0,0.17881392499187138,,0.0513095645110796,0.5220729053270302,0.5220729053270302,0.5220729053270302,,0.0,0.5900058828790105,0.8920201829310079,,,,,0.0,,0.15796443925551065,0.1,0.05263157894736842,0.20411211019990477,0.20411211019990477,0.1,1.4221617386551144,0.452183366616714,8,1.0529769765216266,0.5073296501573429,10,0,0.279883898921777,0.41206954933483253,9,0,0.31661409287842324,0.4481611350595582,10,0.9574271077563381,0.9042572892243662,9.25,9.171974522292993,0.4896286446121831,10,gaus,1.0,1.0,0.0,1,7.75,,0.27804044271717065,0.0,0.6020454440374642,0.7474386943276851,0.14000169196288773,0.3894736842105275,0.0030619404214196067,0.18175560540096347,,0.07177149323096416,0.5463544174494614,0.5463544174494614,0.5463544174494616,,5.411298905075301e-05,0.5900058828790105,0.8862440652200083,,,,,0.5,,0.15577561303275167,0.08333333333333331,0.05263157894736843,0.2237927554486273,0.2237927554486273,0.08333333333333334,1.6490705208084029,0.500043625173489,13,1.1180760843960802,0.47652765719601053,19,4.242640687119285,0.7878679656440357,16.0,15.4375,0.49393398282201784,17,11.5,11.5,5.609515724790035,16,1.0,1.0,0.0,3,13.5,10
