wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
sym9,1,symmetric,1.5864854154820788e-25,307.5373015663446,5990691.034834942,0.5740740740740741,104.95332492518882,37,smoothed,3.163835559904771e-13,-2.4659074782107396e-11,4.3643578868063155,107652.3429213135,0.9903906776201612,7.348795591192966e-05,1.0,770.9999999999998,,,,[],[],3,390.19999999999965,42.59999999999991,948.5999999999995,"[5, 12, 28]","[42.59999999999991, 948.5999999999995, 179.39999999999952]","[1, 1, 21]","[7, 34, 34]",20102811.239999987,948.5999999999998,-948.5999999999998,0.0,,,,DWT,uc1.l0082986993,1.1175870895385742e-08,,0.0,11.0,1.0,0.0,11,,2.2737367544323206e-13,90.69999999999965,27.400000000001,90.7000000000001,,0.0,90.69999999999965,,,15.199999999999932,0.0,11.0,5.684341886080801e-13,2.2737367544323206e-13,,2.2737367544323206e-13,0.8228888105282636,0.8503060191360776,0.702028409646014,0.3952095808383236,0.05395270352758198,,,,,,,0.0004743833017077799,1.0,1.0,0.2002371916508539,0.2860531309297913,38,1.4495654144543664,0.6964146311642442,44,0,0.6668247944339027,0.6668247944339027,38,0,0.5648771047352522,0.6692488143630027,43,3.2015621187164243,0.992740221953024,40.75,40.561918194640334,0.9501682969175551,1,sym,289.1388888888889,343.5,140.5528626487132,72,1.0,0.9640390301983726,0.010788290940488231,6,2.25,1
sym9,1,periodic,1.482928872780266e-25,307.8304591960996,5881523.123658364,0.5370370370370371,124.26494180613469,37,smoothed,3.011164891004965e-13,-2.511091334866934e-11,4.365665968273695,105365.34168980201,0.9872796587506465,7.348795591192952e-05,1.0,770.9999999999998,,,,[],[],3,390.19999999999965,42.599999999999795,948.5999999999998,"[5, 12, 28]","[42.599999999999795, 948.5999999999998, 179.39999999999952]","[1, 1, 21]","[7, 34, 34]",20102811.239999987,948.5999999999998,-948.5999999999998,0.0,,,,DWT,uc1.l0082986993,1.1175870895385742e-08,,0.0,11.0,1.0,0.0,11,,2.2737367544323206e-13,90.69999999999965,27.400000000001,90.70000000000003,,0.0,90.69999999999965,,,15.199999999999818,0.0,11.0,2.2737367544323206e-13,2.2737367544323206e-13,,2.2737367544323206e-13,0.8262739936756858,0.8527011596661999,0.6248258246251898,0.13173652694610838,0.04772658421993703,,,,,,,0.0004743833017077799,1.0,1.0,0.2002371916508539,0.2860531309297913,37,1.3063131328175246,0.6275919454925462,58,0,0.6668247944339027,0.6668247944339027,36,0,0.49665281782662424,0.5884188024159613,67,15.459624833740307,0.9649441613747385,49.5,45.99204759006438,0.9263496317077774,2,sym,289.1388888888889,343.5,140.5528626487132,72,1.0,0.9640390301983726,0.010788290940488231,6,3.0,2
rbio5.5,1,antireflect,2.6777906050881202e-20,255.26389627108162,5633132.037436848,0.5833333333333334,144.2586857683512,37,smoothed,1.2075099728418632e-10,,4.2149534135290745,317360.06769982836,0.9966217848370355,7.348795591173511e-05,1.0,770.9999999999386,,,,[],[],3,390.20000000029603,42.60000000028617,948.6000000002334,"[5, 12, 28]","[42.60000000028617, 948.6000000002334, 179.40000000036855]","[1, 1, 21]","[7, 34, 34]",20102811.240004137,948.6000000001117,-948.6000000001117,0.0,,,,DWT,uc1.l0082986993,4.1387975215911865e-06,,0.0,11.0,1.0,0.0,11,,1.1164047464262694e-10,90.70000000029603,27.39999999911197,90.70000000029607,,0.0,90.70000000029603,,,15.200000000286195,0.0,11.0,2.333990778424777e-10,1.1164047464262694e-10,,6.139089236967266e-11,0.21927139551579367,0.5767414757557725,0.44916583676104727,0.46107784431137777,0.6248598356338845,,,,,,,0.1756799493991145,1.0,1.0,0.28783997469955724,0.41119996385651036,10,1.078891565545991,0.5183318146209667,96,0,0.7252266497997049,0.7252266497997049,6,0,0.46622327759557514,0.5523668301364588,78,46.22769732530488,0.8951752895117803,47.5,13.797678275290215,0.8937327694724434,3,rbio,219.9047619047619,215.5,123.42171144957784,126,0.7605506224009442,0.8465380552842389,0.2136531477340674,4,3.25,3
db6,1,antireflect,1.3159479132986834e-26,318.34927540878573,5623456.705145956,0.5416666666666666,150.31234577185631,37,smoothed,7.599926693974586e-14,-3.120688152336017e-11,4.246767475539051,331961.6058279104,0.9951555790029292,7.348795591192962e-05,1.0,770.9999999999998,,,,[],[],3,390.2,42.59999999999991,948.6000000000001,"[5, 12, 28]","[42.59999999999991, 948.6000000000001, 179.39999999999975]","[1, 1, 21]","[7, 34, 34]",20102811.239999995,948.6000000000001,-948.6000000000001,0.0,,,,DWT,uc1.l0082986993,3.725290298461914e-09,,0.0,11.0,1.0,0.0,11,,1.1368683772161603e-13,90.69999999999999,27.40000000000009,90.70000000000007,,0.0,90.69999999999999,,,15.199999999999932,0.0,11.0,1.1368683772161603e-13,1.1368683772161603e-13,,2.2737367544323206e-13,0.9477380654236239,0.6349940779431376,0.4423235270040705,0.1646706586826347,0.6646109810237285,,,,,,,0.00015812776723592663,1.0,1.0,0.20007906388361796,0.28582723411945427,61,1.4390142976103237,0.6913455586877318,45,0,0.666719375922412,0.666719375922412,112,0,0.570867462015439,0.6763460032449184,40,32.90896534380867,0.9253764958190279,64.5,55.13877056898174,0.8895589962088337,4,db,189.60493827160494,200.0,111.3308895828496,81,0.6557573040424418,0.7636082311095856,0.311887417837415,2,3.5,4
coif3,1,antisymmetric,2.6829457874476697e-26,315.25554343379144,5832045.880618487,0.5925925925925926,129.30643811817671,37,smoothed,1.10326162620048e-13,-3.645999058221608e-11,4.365532753514374,370926.0297136673,0.9967784080235791,7.348795591192966e-05,1.0,771.0000000000006,,,,[],[],3,390.1999999999999,42.59999999999991,948.6,"[5, 12, 28]","[42.59999999999991, 948.6, 179.39999999999975]","[1, 1, 21]","[7, 34, 34]",20102811.240000002,948.6,-948.6,0.0,,,,DWT,uc1.l0082986993,3.725290298461914e-09,,0.0,11.0,1.0,0.0,11,,0.0,90.69999999999987,27.40000000000032,90.70000000000003,,0.0,90.69999999999987,,,15.199999999999932,0.0,11.0,0.0,0.0,,5.684341886080801e-13,0.9120137714554117,0.8524572390257689,0.5898359542391598,0.5269461077844312,0.7706875097652717,,,,,,,0.00015812776723592663,1.0,1.0,0.20007906388361796,0.28582723411945427,68,1.7874083065255926,0.8587244729465872,11,0,0.666719375922412,0.666719375922412,124,0,0.7303881164540087,0.8653411102416148,11,54.13871073455665,0.8772364835951096,53.5,19.551433389544687,0.8779606454256728,5,coif,244.96296296296296,187.0,145.79582179343018,27,0.8472155506452749,1.0,0.10694911454830758,5,5.0,5
sym6,1,antireflect,3.713531291467111e-21,263.8437915285289,5541494.085653349,0.5416666666666666,140.78956219003368,37,smoothed,4.1776360149015084e-11,,4.218149697714015,312844.204095551,0.994722874307445,7.348795591181911e-05,1.0,770.9999999999842,,,,[],[],3,390.2000000001014,42.600000000084606,948.6000000001926,"[5, 12, 28]","[42.600000000084606, 948.6000000001926, 179.40000000002692]","[1, 1, 21]","[7, 34, 34]",20102811.240000516,948.6000000000502,-948.6000000000502,0.0,,,,DWT,uc1.l0082986993,5.178153514862061e-07,,0.0,11.0,1.0,0.0,11,,5.013589543523267e-11,90.7000000001014,27.399999999695865,90.70000000010141,,0.0,90.7000000001014,,,15.200000000084628,0.0,11.0,1.9258550310041755e-10,5.013589543523267e-11,,1.5802470443304628e-11,0.3183461385352121,0.5825939780563185,0.38436028458503735,0.1646706586826347,0.6125658739211046,,,,,,,0.021979759645793802,1.0,1.0,0.2109898798228969,0.3014141140327099,22,0.9853794274833009,0.47340578335053835,113,0,0.6739932532152646,0.6739932532152646,18,0,0.41250738675606147,0.4887259143417821,101,50.4942240921342,0.8855006256414191,63.5,33.3999527033019,0.8707548479681018,6,sym,289.1388888888889,343.5,140.5528626487132,72,1.0,0.9640390301983726,0.010788290940488231,6,6.0,6
bior5.5,1,antireflect,2.6771976584103926e-20,255.26485804152287,5362910.052565505,0.5833333333333334,182.6497268677882,37,smoothed,1.2072409559480815e-10,,4.2281026343383585,297174.898885916,0.9937952730902562,7.348795591173514e-05,1.0,770.9999999999386,,,,[],[],3,390.20000000029603,42.60000000028606,948.6000000002333,"[5, 12, 28]","[42.60000000028606, 948.6000000002333, 179.40000000036866]","[1, 1, 21]","[7, 34, 34]",20102811.240004137,948.6000000001115,-948.6000000001115,0.0,,,,DWT,uc1.l0082986993,4.1387975215911865e-06,,0.0,11.0,1.0,0.0,11,,1.1152678780490533e-10,90.70000000029603,27.39999999911197,90.70000000029604,,0.0,90.70000000029603,,,15.200000000286082,0.0,11.0,2.332853910047561e-10,1.1152678780490533e-10,,6.139089236967266e-11,0.21928250138089467,0.600818134958764,0.2580672297007557,0.46107784431137777,0.5699078454255917,,,,,,,0.1756799493991145,1.0,1.0,0.28783997469955724,0.41119996385651036,11,0.9734064590530844,0.4676536107958359,117,0,0.7252266497997049,0.7252266497997049,7,0,0.4218307111554768,0.4997718989425472,96,56.96417002525944,0.8708295464279832,57.75,15.82717303284426,0.8699385827378011,7,bior,199.13492063492063,185.0,120.06007517402966,126,0.6887171815599138,0.8234809043028405,0.2708537016172082,3,6.0,7
bior2.4,1,antisymmetric,1.696598884745829e-26,317.2458706344814,5210055.346047548,0.5652173913043478,100.9305233648603,37,smoothed,9.642737059284872e-14,-3.4886293853730895e-11,4.049642997546314,203316.77024939263,0.9944173441738594,7.348795591192967e-05,1.0,771.0000000000002,,,,[],[],3,390.2,42.599999999999795,948.6000000000003,"[5, 12, 28]","[42.599999999999795, 948.6000000000003, 179.39999999999986]","[1, 1, 21]","[7, 34, 34]",20102811.240000002,948.6000000000003,-948.6000000000003,0.0,,,,DWT,uc1.l0082986993,3.725290298461914e-09,,0.0,11.0,1.0,0.0,11,,2.2737367544323206e-13,90.69999999999999,27.40000000000009,90.70000000000007,,0.0,90.69999999999999,,,15.199999999999818,0.0,11.0,2.2737367544323206e-13,2.2737367544323206e-13,,2.2737367544323206e-13,0.9349967042320972,0.27405262399419056,0.14996972789275576,0.3322051549075761,0.3143890031829629,,,,,,,0.00015812776723592663,1.0,1.0,0.20007906388361796,0.28582723411945427,108,1.031646861718947,0.4956340441981261,106,0,0.666719375922412,0.666719375922412,50,0,0.40112264284191657,0.4752376240526246,105,28.194266556636414,0.9360674227740671,92.25,82.95823930102073,0.8634418746523397,8,bior,199.13492063492063,185.0,120.06007517402966,126,0.6887171815599138,0.8234809043028405,0.2708537016172082,3,6.75,8
rbio3.1,1,antireflect,3.9472723487538904e-26,313.57869148317667,5053123.982376814,0.575,428.83023196464404,37,smoothed,1.5670347902168695e-13,-2.6980817580124508e-11,4.123427440909412,138388.18446093745,0.8178307691733178,7.348795591192973e-05,1.0,771.0,,,,[],[],3,390.2,42.60000000000002,948.5999999999999,"[5, 12, 28]","[42.60000000000002, 948.5999999999999, 179.4000000000001]","[1, 1, 21]","[7, 34, 34]",20102811.239999995,948.5999999999999,-948.5999999999999,0.0,,,,DWT,uc1.l0082986993,3.725290298461914e-09,,0.0,11.0,1.0,0.0,11,,1.1368683772161603e-13,90.69999999999999,27.40000000000009,90.70000000000009,,0.0,90.69999999999999,,,15.200000000000045,0.0,11.0,1.1368683772161603e-13,1.1368683772161603e-13,,0.0,0.8926506357639165,0.40915438577169716,0.03898925006143598,0.4017964071856287,0.13762778590613176,,,,,,,0.00015812776723592663,1.0,1.0,0.20007906388361796,0.28582723411945427,45,0.9754318766116206,0.4686266820404423,116,0,0.666719375922412,0.666719375922412,51,0,0.3760436929377621,0.44552486467872343,118,39.92075483588288,0.9094767464038938,82.5,67.88252034760285,0.8612009582359605,9,rbio,219.9047619047619,215.5,123.42171144957784,126,0.7605506224009442,0.8465380552842389,0.2136531477340674,4,7.75,9
bior1.5,1,antisymmetric,1.5283949363504414e-26,317.6993065045249,5164988.857153569,0.5652173913043478,123.49639732412923,37,smoothed,8.489125323295007e-14,-3.477897969617062e-11,4.0650134280803885,201620.65318399982,0.9916069892478993,7.348795591192966e-05,1.0,771.0000000000002,,,,[],[],3,390.20000000000005,42.60000000000025,948.5999999999999,"[5, 12, 28]","[42.60000000000025, 948.5999999999999, 179.39999999999998]","[1, 1, 21]","[7, 34, 34]",20102811.240000002,948.5999999999999,-948.5999999999999,0.0,,,,DWT,uc1.l0082986993,3.725290298461914e-09,,0.0,11.0,1.0,0.0,11,,1.1368683772161603e-13,90.70000000000005,27.399999999999864,90.70000000000013,,0.0,90.70000000000005,,,15.200000000000273,0.0,11.0,1.1368683772161603e-13,1.1368683772161603e-13,,2.2737367544323206e-13,0.9402326705175077,0.30219639183713903,0.11809910398020568,0.3322051549075761,0.3097715036104379,,,,,,,0.00015812776723592663,1.0,1.0,0.20007906388361796,0.28582723411945427,118,1.0310780136263826,0.4953607525407636,107,0,0.666719375922412,0.666719375922412,58,0,0.4005009649705733,0.4745010794576597,106,26.725456029785533,0.9393980588893752,97.25,89.89630233551942,0.859438258469631,10,bior,199.13492063492063,185.0,120.06007517402966,126,0.6887171815599138,0.8234809043028405,0.2708537016172082,3,8.25,10
