signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,gaus8,6235996.553674321,0.7059961315280464,231.68138443498495,-11.149943391186213,47,22,2416.9291009077842,,False,"[1, 9, 13, 22, 28, 32, 36, 41, 45]","[321.53714236972064, 1677.1492443909888, 4981.114605871937, 6381.976353231938, 2616.748750378598, 546.7641406327534, 831.023123170728, 1104.0254519719515, 469.65481004702724]",9,8.887033330693928,53490.935074256646,0.11051519419935273,8.754735017259044e-07,0.6859173359552245,6,3679.670387042034,321.53714236972064,8919.903242639455,"[1, 13, 28, 32, 36, 41]","[321.53714236972064, 8919.903242639455, 8253.870166617819, 546.7641406327534, 831.023123170728, 3204.9245068217283]","[0, 9, 22, 30, 34, 39]","[9, 22, 45, 39, 39, 45]",0.05,10,433651563.08203846,6784.803375349408,-6784.803375349408,CWT,mdp.39015083020449,0.0,3.0,,317.870475703054,7690.569909306122,3336.0946294662763,5555.470042016075,0.0,3221.633350004997,17955.68898891887,3221.6333500049973,10.0,5555.470042016075,0.0,-6.0,0.0,-6.0,5.0,0.4796416990015828,0.005839577946352599,0.7880799482483142,0.40443536454807505,1.0,0.3000000000000002,0.9550896692117405,0.8590774171123532,,0.7394067727706806,0.9005229651235372,0.9005229651235372,0.9005229651235376,0.9005229651235374,0.8261890386938691,,0.0,0.2,1.0,1.0,0.0,2.3156487023510914,0.846333741468466,3,2.1663768688370446,1.0,1,0,0,0.6697897883598818,0.7683559174402812,5,1,0.11111111111111112,0.5934649039529968,1.0,1,1.9148542155126762,0.8527035218836403,2.5,1.5789473684210527,0.830197914787974,1,gaus,6.625,6.5,3.8890872965260113,8,0.5096153846153846,1.0,0.34326923076923077,1,1.0
smoothed,morl,6162858.531548585,0.6818181818181818,230.44226625728206,-10.78076468648655,47,22,2251.85152390669,,False,"[1, 9, 13, 22, 28, 32, 36, 41, 45]","[213.49271247382967, 2015.5129008345448, 5971.255138590249, 5537.455972305436, 2948.7152553427004, 404.3084811515846, 761.1291767127445, 1526.377862223885, 532.4080953181824]",9,8.95310551030716,53292.53302517092,0.11015798119841025,7.689109869092231e-07,0.7075814776199428,6,3843.216850297478,213.49271247382967,9943.003532885858,"[1, 13, 28, 32, 36, 41]","[213.49271247382967, 9943.003532885858, 8017.63394636341, 404.3084811515846, 761.1291767127445, 3719.733252197441]","[0, 9, 22, 31, 34, 39]","[9, 22, 45, 39, 39, 45]",0.05,10,401291896.32409555,6279.193771941184,-6279.193771941184,CWT,mdp.39015083020449,0.0,-1.5,,209.82604580716304,8713.670199552524,3499.6410927217203,5049.860438607851,0.0,3385.179813260441,18936.967768451534,3385.179813260441,10.0,5049.860438607851,0.0,-6.0,0.0,-6.0,5.0,0.3698265941019906,0.0024510181063386906,0.8281137166423503,0.4842878917961382,0.9882511114867474,0.14374999999999996,1.0,0.8543193109877865,,0.09394278425293912,0.9757150577051904,0.9757150577051904,0.9757150577051905,0.9757150577051903,1.0,,0.0,0.0,0.858955307039588,0.858955307039588,0.0,2.2377660388789837,0.8178688340302372,4,2.1440487396844663,0.9896933310756015,2,0,0,0.6104285117411706,0.7002590474230732,7,1,0.11111111111111112,0.5783193998346134,0.9744795285829019,2,2.362907813126304,0.8182378605287459,3.75,2.871794871794872,0.7648881610336038,2,morl,2.0,2.0,,1,0.15384615384615385,,,6,3.0
smoothed,gaus6,5668613.175051386,0.7021276595744681,208.12796640264085,-10.910606820228617,47,22,2353.2133748499928,,False,"[1, 9, 13, 22, 28, 32, 36, 41, 45]","[334.3369098606554, 1484.1612724836014, 4737.864285598307, 6468.579178333634, 2349.609679196383, 640.2921878227926, 770.4903746781661, 1118.4733801697707, 441.19101650127595]",9,8.799317498442747,48134.73505002376,0.11442325179546865,9.859891628791478e-07,0.6777929720019761,6,3436.029736266113,334.3369098606554,8017.646199061,"[1, 13, 28, 32, 36, 41]","[334.3369098606554, 8017.646199061, 7921.44126926575, 640.2921878227926, 770.4903746781661, 2931.971476908316]","[0, 9, 22, 30, 34, 39]","[9, 22, 45, 45, 45, 45]",0.05,10,410923504.1558426,6653.334309038701,-6653.334309038701,CWT,mdp.39015083020449,0.0,3.0,,330.67024319398877,6788.312865727667,3092.4539786903556,5424.000975705368,0.0,2977.992699229076,16493.845084263347,2977.9926992290766,10.0,5424.000975705368,0.0,-6.0,0.0,-6.0,5.0,0.4372558749066261,0.009353843086591606,0.8140336252290438,0.29842507510514654,0.9088555601318645,0.27500000000000036,0.9382476508095615,0.7306242672726797,,0.8158733614209177,0.7885067832683332,0.7885067832683332,0.7885067832683335,0.7885067832683332,0.6729077176106444,,0.0,0.2,0.9633254313870017,0.9633254313870017,0.0,2.090455536362065,0.7640291265538132,6,2.003592175386794,0.9248585526406414,3,0,0,0.6154053704435362,0.7059682996402361,6,1,0.11111111111111112,0.5459189315121337,0.9198841041413481,3,1.7320508075688772,0.8667653224947017,4.5,4.0,0.7603057381704278,3,gaus,6.625,6.5,3.8890872965260113,8,0.5096153846153846,1.0,0.34326923076923077,1,2.5
smoothed,gaus4,4948927.1874798685,0.7147001934235977,183.10772005684174,-10.42524874170706,47,22,2201.7954342341627,,False,"[1, 9, 13, 22, 28, 32, 36, 41, 45]","[338.61226060981517, 1293.6466385101114, 4488.282366381625, 5887.611121945176, 2189.3265996099635, 606.2070746037627, 694.1933208266976, 1093.1941629846215, 405.50650240150753]",9,8.66878504994289,41405.29039376816,0.1213945156645294,1.1629637772176251e-06,0.675479163575795,6,3105.1796993799057,338.61226060981517,7370.528923820837,"[1, 13, 28, 32, 36, 41]","[338.61226060981517, 6976.7100501075165, 7370.528923820837, 606.2070746037627, 694.1933208266976, 2644.826566310807]","[0, 9, 22, 30, 34, 39]","[9, 22, 45, 45, 45, 45]",0.05,10,369288920.6011602,6275.185777233031,-6275.185777233031,CWT,mdp.39015083020449,0.0,3.0,,334.94559394314854,6141.195590487504,2761.6039418041482,5045.852443899698,0.0,2647.142662342869,14508.744862946103,2647.1426623428692,10.0,5045.852443899698,0.0,-6.0,0.0,-6.0,5.0,0.33652761529389025,0.014981423027633297,0.8666658942531033,0.14066811958156017,0.7932452361612281,0.3562500000000004,0.9334510655855235,0.5692377695957951,,0.8414145665485124,0.636395229713457,0.636395229713457,0.6363952297134572,0.6363952297134571,0.5629712072220017,,0.0,0.2,0.8578372381200347,0.8578372381200347,0.0,1.7879981904224085,0.6534856503504349,8,1.8359844599922406,0.8474907973781287,7,0,0,0.533240106260401,0.6117116118848912,8,1,0.11111111111111112,0.49582283488178613,0.8354711990198093,7,0.5773502691896257,0.9555884408315672,7.5,7.466666666666667,0.6893326819542451,4,gaus,6.625,6.5,3.8890872965260113,8,0.5096153846153846,1.0,0.34326923076923077,1,3.25
smoothed,fbsp,22614.502704392733,0.7640232108317214,275.3740548592995,-18.41736652333959,47,22,3199.1483373212595,-20528.077661316227,True,"[14, 22, 33, 37, 43]","[648.9578446586211, 4157.797398015831, 500.74028773219175, 1650.8128342232894, 753.0813208253944]",5,9.260189260725848,59367.08169129077,0.09835622278967106,3.18929590470259e-06,0.5215195120947593,6,2954.337135669593,365.1579286127758,7135.712607069092,"[1, 13, 28, 32, 36, 41]","[365.1579286127758, 6651.842831313506, 7135.712607069092, 502.48784543511056, 675.3301847030318, 2395.491416884038]","[0, 9, 22, 30, 34, 39]","[9, 22, 45, 45, 45, 45]",0.05,10,647150638.952474,5870.307576870507,-5870.307576870507,CWT,mdp.39015083020449,0.0,3.0,,361.49126194610915,5906.379273735759,2610.7613780938354,4640.974243537174,0.0,2496.300098632556,13603.689480684225,2496.3000986325555,10.0,4640.974243537174,0.0,-6.0,0.0,-6.0,5.0,1.0,0.07941634821251299,0.0,0.8554185808590211,0.001882592865421806,0.675,0.6142886919698154,1.0,0.0,1.0,0.5670438797056958,0.5670438797056958,0.5670438797056956,0.5670438797056957,0.5230790772577376,,0.0,0.2,0.7448925450771104,0.7448925450771104,0.0,1.673357988247687,0.6115864317294393,9,1.6681909681139016,0.7700372876531961,9,0,0,0.4982763351122492,0.571602579283045,9,0,0.0,0.46955624598964113,0.7912114816933313,8,0.5,0.9615384615384616,8.75,8.727272727272728,0.6442307692307692,5,fbsp,5.0,5.0,,1,0.38461538461538464,,,4,4.75
smoothed,gaus2,4108750.0159484446,0.7379110251450677,179.45668938425473,-10.019481142394476,47,22,1986.7059274167093,,False,"[1, 13, 22, 28, 32, 39, 45]","[319.22421068696667, 4541.655705693467, 5202.353236705615, 1750.793872033866, 433.12996448695606, 1271.1183931982162, 364.73408079986893]",7,8.703152962604808,34526.71541219627,0.12592709758022372,1.559255461050298e-06,0.6516155727255626,6,2633.9024500979162,319.22421068696667,6702.48535464018,"[1, 13, 28, 32, 36, 41]","[319.22421068696667, 5570.946791119546, 6702.48535464018, 433.12996448695606, 531.75870768358, 2245.8696719702684]","[0, 9, 22, 30, 34, 39]","[9, 22, 45, 45, 45, 45]",0.05,10,336540122.42328507,5396.270197531659,-5396.270197531659,CWT,mdp.39015083020449,0.0,3.0,,315.55754402030004,5473.152021306847,2290.3266925221587,4166.936864198326,0.0,2175.8654130608793,11681.081367254166,2175.8654130608793,10.0,4166.936864198326,0.0,-6.0,0.0,-6.0,5.0,0.19344290819400559,0.027583022070945977,0.9106673653181784,0.18220397776513308,0.6582792139363914,0.5062500000000001,0.8839812192622325,0.40427480727292536,,0.7255891783740239,0.419720886201118,0.419720886201118,0.41972088620111797,0.41972088620111814,0.44947960130553355,,0.0,0.2,0.6126552296267871,0.6126552296267871,0.0,1.2950878866972542,0.47333456735735563,10,1.750752204735218,0.8081475711449309,8,0,0,0.3890238894306912,0.4462725659070513,10,1,0.11111111111111112,0.4652797586719209,0.7840055167083169,9,0.9574271077563381,0.9263517609418201,9.25,9.171974522292993,0.6074066497016792,6,gaus,6.625,6.5,3.8890872965260113,8,0.5096153846153846,1.0,0.34326923076923077,1,4.75
smoothed,gaus7,5891335.881199001,0.6847195357833655,213.91856615696335,-11.487395656398585,47,22,2189.601482029394,,False,"[6, 11, 16, 25, 33, 37, 43]","[1514.316687451017, 4069.173515901677, 4164.303176873141, 5615.197503134494, 539.5235263653179, 2402.6507337662338, 4410.565592428931]",7,8.863475483883978,50065.18918056337,0.11427961848837348,6.918320313634361e-07,0.23974506731136358,6,3896.0377824768243,334.88493708878866,9610.743955883732,"[6, 16, 29, 33, 37, 43]","[4106.768211683723, 9610.743955883732, 334.88493708878866, 648.490143312044, 3084.7766244986055, 5590.562822394053]","[0, 11, 25, 25, 25, 25]","[11, 25, 30, 34, 40, 46]",0.05,10,408534867.4303425,5935.5742264342525,-5935.5742264342525,CWT,mdp.39015083020449,0.0,16.5,,331.21827042212203,8381.410622550398,3552.462024901067,4706.2408931009195,0.0,3438.0007454397874,19253.893361527615,3438.0007454397874,10.0,4706.2408931009195,0.0,3.0,0.0,16.5,5.0,0.32841579196310305,0.0,0.7514865975008886,0.37596417417250416,0.9446337254122938,0.16250000000000003,0.03016291774127078,0.7769206924560047,,0.8191473093775876,1.0,1.0,1.0,1.0,0.9435535723794983,,0.6666666666666666,0.8,0.763099308726813,0.763099308726813,0.8333333333333334,2.7360940358270844,1.0,1,1.5975490899607734,0.7374289824366387,10,0,0,0.8717181362918829,1.0,1,1,0.11111111111111112,0.4157049318502025,0.700470961435534,10,5.196152422706632,0.6002959674841053,5.5,1.8181818181818181,0.5886095222035911,7,gaus,6.625,6.5,3.8890872965260113,8,0.5096153846153846,1.0,0.34326923076923077,1,5.5
smoothed,cgau8,45926.410069174206,0.7862669245647969,289.1723756268284,-16.850759160819567,47,22,2665.0793146557253,-19711.74767485182,True,"[4, 13, 23, 32, 37, 43]","[17.911951587376052, 1096.0187601482526, 3786.293026424633, 259.46750585565087, 1172.5603264136812, 647.6231814548037]",6,9.379819907662581,57357.1627139319,0.1065291624835125,5.722348236781311e-06,0.5351391669032932,6,2870.5322818164823,216.5757875692218,7254.149293830938,"[1, 13, 28, 32, 36, 41]","[216.5757875692218, 7254.149293830938, 6158.710422109494, 274.99149009418784, 688.9708165577697, 2629.79588073728]","[0, 9, 22, 30, 34, 39]","[9, 22, 45, 39, 39, 45]",0.05,10,460479326.05323005,5060.446772964986,-5060.446772964986,CWT,mdp.39015083020449,0.0,3.0,,212.90912090255517,6024.815960497605,2526.956524240725,3831.113439631653,0.0,2412.4952447794453,13100.860357565562,2412.4952447794453,10.0,3831.113439631653,0.0,-6.0,0.0,-6.0,5.0,0.644719489993183,0.1599643666212516,0.16988302823842683,1.0,0.005627416593211865,0.8187499999999999,0.6425225916617338,0.9517978375721212,0.17030803319021856,0.11236126218733189,0.5285137751453011,0.5285137751453011,0.5285137751453011,0.5285137751453011,0.5431998753615402,,0.0,0.2,0.5189740347134904,0.5189740347134904,0.0,1.2728172154257875,0.4651949818826428,11,1.879500067193622,0.86757761044715,5,0,0,0.36432402795973245,0.4179378778437432,11,0,0.0,0.5070636404300162,0.8544121767816893,5,3.4641016151377544,0.7335306449894035,8.0,6.875,0.559073014802394,8,cgau,8.0,8.0,,1,0.6153846153846154,,,2,6.5
smoothed,gaus5,5258320.987271211,0.6731141199226306,183.99552435845223,-11.055946162792488,47,22,2086.905720664833,,False,"[6, 11, 16, 25, 33, 37, 43]","[1276.5417978916057, 2872.5869297983836, 4316.736889764422, 5379.249669880448, 417.08574922321657, 2369.7389452308194, 4224.772406442054]",7,8.728851326593908,43755.36772845726,0.11849441287629121,7.939575997314246e-07,0.23528829274018997,6,3669.285887694778,312.9821426088689,8790.342248492201,"[6, 16, 29, 33, 37, 43]","[4254.408704150656, 8790.342248492201, 312.9821426088689, 635.0900250062863, 2797.4653105673588, 5225.426895343299]","[0, 11, 25, 25, 25, 25]","[11, 25, 30, 34, 40, 46]",0.05,10,369379200.2199801,5519.6103862795835,-5519.6103862795835,CWT,mdp.39015083020449,0.0,16.5,,309.3154759422023,7561.008915158868,3325.7101301190205,4290.2770529462505,0.0,3211.248850657741,17893.381992835337,3211.2488506577415,10.0,4290.2770529462505,0.0,3.0,0.0,16.5,5.0,0.2600991494979789,0.0032474702779460712,0.7982730152461982,0.2132621223985106,0.8429462419416538,0.08750000000000052,0.020923907798583885,0.6255976580693168,,0.6882986844339797,0.8957485895681736,0.8957485895681736,0.8957485895681738,0.8957485895681736,0.8041783705754104,,0.6666666666666666,0.8,0.6470621691595091,0.6470621691595091,0.8333333333333334,2.434785017010479,0.8898762195775469,2,1.3796806035977391,0.6368608451485082,11,0,0,0.7881450683273729,0.9041283363450331,2,1,0.11111111111111112,0.35092564009821803,0.5913165846215092,11,5.196152422706632,0.6002959674841053,6.5,3.384615384615385,0.5501479837420526,9,gaus,6.625,6.5,3.8890872965260113,8,0.5096153846153846,1.0,0.34326923076923077,1,7.0
smoothed,mexh,3486491.373151017,0.8143133462282398,187.18341954659653,-9.195683941125859,47,22,1803.2236139981965,,False,"[1, 13, 22, 28, 34, 39, 45]","[286.2919196560006, 3728.266054415056, 3783.2914999893173, 816.7265329008898, 398.0701360875724, 1619.3759997117936, 211.00949904168192]",7,8.810514994075396,29666.11945483789,0.14627882710181608,2.902497495557456e-06,0.5707414124419731,6,1865.8227429905771,264.5436002998632,4898.388747773177,"[1, 13, 28, 32, 36, 41]","[286.2919196560006, 3728.266054415056, 4898.388747773177, 264.5436002998632, 398.0701360875724, 1619.3759997117936]","[0, 9, 22, 30, 34, 39]","[9, 45, 45, 45, 45, 45]",0.05,10,276849564.48999894,4390.179924107415,-4390.179924107415,CWT,mdp.39015083020449,0.0,3.0,,260.8769336331966,3669.055414439844,1522.2469854148196,3160.846590774082,0.0,1407.7857059535402,7072.603124610129,1407.7857059535402,10.0,3160.846590774082,0.0,-6.0,0.0,-6.0,5.0,0.07138435935099524,0.07029650364915115,1.0,0.31195797700652533,0.558319614153034,1.0,0.716326975361407,0.2877073045665478,,0.3989238897603189,0.06658869796970035,0.06658869796970035,0.06658869796970013,0.06658869796970024,0.14298788341816698,,0.0,0.2,0.3319966093216503,0.3319966093216503,0.0,0.4371939295234197,0.15978761102458303,12,1.8792567664510054,0.8674653027752409,6,0,0,0.1520236167000534,0.17439538122578463,12,1,0.11111111111111112,0.49644353620540194,0.836517092921001,6,3.4641016151377544,0.7335306449894035,9.0,8.0,0.5206114763408556,10,mexh,10.0,10.0,,1,0.7692307692307693,,,5,8.75
