signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,max_autocorrelation_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,prominence_max_diff,fft_variance_magnitude_diff,avg_prominence_diff,upper_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,fft_peak_amplitude_diff,fft_stationarity_threshold_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,prominence_min_diff,fft_dynamic_cutoff_diff,fft_spectral_centroid_diff,fft_spectral_bandwidth_diff,prominence_threshold_diff,distance_factor_diff,fft_spectral_magnitude_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,gaus6,20.317774201434375,0.6987283478988958,766.5034555155211,-34.27606469942447,197,97,36601.34762124026,,False,"[26, 62, 86, 99, 117, 135, 149, 157, 181]","[100062.16751361899, 23370.85483842358, 15776.266378762717, 284.27689297262623, 64269.20863421932, 354.7378547742974, 6540.3493533520705, 99.47935001386213, 51914.37209244537]",9,13.379629933423331,417102.8791758733,0.016472007160693313,6.20964687692757e-07,0.3495389632288336,8,27191.354093469527,99.47935001386213,119051.03554580247,"[26, 76, 90, 97, 135, 149, 157, 181]","[119051.03554580247, 23370.85483842358, 423.73733418184383, 15776.266378762717, 354.7378547742974, 6540.3493533520705, 99.47935001386213, 51914.37209244537]","[0, 62, 86, 86, 117, 117, 156, 117]","[117, 117, 91, 117, 136, 161, 161, 196]",0.05,30,415549425330.8818,102234.2448462131,-102234.2448462131,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,118169.03554580247,,26634.397571730395,101351.2448462131,26634.397571730395,204720.8327477562,26644.20256309495,,101351.2448462131,0.0,-10.0,,,0.0,-14.5,,,,95.47935001386213,,,,0.0,0.0,,0.0,-14.5,15.0,0.1130334188373003,0.11851249958065327,0.7260739101306392,0.4527885990922925,0.7776758111411365,0.45178452671248076,0.7552712998786693,0.10207508494049643,,0.06890647263701687,0.6603372328877908,0.6603372328877908,0.6605472947872901,0.661464437850091,0.7430204308092467,0.8235294117647058,,0.14285714285714285,0.22641509433962265,0.2690378845575993,0.2690378845575993,0.3818181818181818,1.8675986829018703,0.7037221009731283,4,1.6439926913331429,0.668182352872626,5,0,0,0.4639423918128397,0.6636883237513265,6,1,0.11111111111111112,0.4315963382336529,0.6878304788819193,4,0.9574271077563381,0.9316123494459758,4.75,4.615384615384615,0.7961633175801308,1,gaus,7.0,6.5,5.0142653642240695,8,0.5833333333333334,1.0,0.29166666666666663,1,1.0,1
raw,gaus4,20.38366082959001,0.7079909990057042,753.4695821596571,-34.806804888896245,197,97,37482.683314521426,,False,"[26, 76, 86, 97, 117, 135, 149, 163, 180]","[111623.71375479325, 17388.27219034404, 2868.3451879021623, 5742.496940488096, 46380.08284942441, 314.63723759817367, 7038.805221205319, 77.84256655024728, 54387.59742262904]",9,13.303716696712732,350290.8990074845,0.015066169890832036,8.983703166487183e-07,0.36449211811011667,8,27255.306981606358,77.84256655024728,127306.36558715993,"[26, 76, 90, 97, 135, 149, 163, 180]","[127306.36558715993, 17388.27219034404, 683.9959332206317, 10844.939694143464, 314.63723759817367, 7038.805221205319, 77.84256655024728, 54387.59742262904]","[0, 62, 86, 86, 117, 117, 162, 117]","[117, 117, 91, 117, 136, 164, 164, 196]",0.05,30,470887386071.02295,112340.7998318813,-112340.7998318813,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,126424.36558715993,,26698.350459867226,111457.7998318813,26698.350459867226,205232.45585285086,26700.416786325357,,111457.7998318813,0.0,-14.5,,,0.0,-10.0,,,,73.84256655024728,,,,0.0,0.0,,0.0,-10.0,15.0,0.12143473835781401,0.17294315455643336,0.6852702089396779,0.3391992709510414,0.7852092875455945,0.4910219463533588,0.7880104723944797,0.07244758175743002,,0.052940156757679685,0.6622690320877124,0.6622690320877124,0.6622457661193442,0.6632374096417025,0.8072076182643402,0.8235294117647058,,0.30357142857142855,0.3962264150943396,0.3154874517629673,0.3154874517629673,0.21818181818181817,1.9163626034827654,0.7220966313029279,2,1.6022717726885063,0.6512253543829462,7,0,0,0.49022108267472647,0.7012810520647607,4,1,0.11111111111111112,0.4263865270514231,0.6795276583922387,5,2.0816659994661326,0.8513095714667048,4.5,3.6601307189542487,0.7649405000190668,2,gaus,7.0,6.5,5.0142653642240695,8,0.5833333333333334,1.0,0.29166666666666663,1,1.75,2
raw,gaus8,20.288004278988087,0.6820869747239521,728.6989284620535,-33.503344371028845,197,97,33398.91328170045,,False,"[25, 62, 86, 99, 118, 134, 149, 164, 182]","[92607.74441360957, 34072.64857830163, 19887.46816929576, 432.5927299129596, 62290.90525576351, 797.5350868997984, 10310.00407258526, 87.6389020327988, 50681.609469485236]",9,13.352127545490074,421719.3171502909,0.018746827017032116,4.691043336027355e-07,0.3757891637877782,9,25498.15619790783,1.899388009109316,113152.19856773244,"[25, 61, 77, 90, 97, 134, 149, 164, 182]","[113152.19856773244, 492.40354682846373, 19887.46816929576, 1.899388009109316, 34072.64857830163, 797.5350868997984, 10310.00407258526, 87.6389020327988, 50681.609469485236]","[0, 60, 62, 86, 62, 118, 118, 163, 118]","[118, 62, 86, 91, 118, 136, 163, 165, 196]",0.05,30,347879794280.52496,93170.19454935318,-93170.19454935318,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,112270.19856773244,,24941.199676168697,92287.19454935318,24941.199676168697,216673.40578117047,24962.03657789852,,92287.19454935318,0.0,-14.0,,,0.0,-14.0,,,,2.100611990890684,,,,0.0,0.0,,0.0,-8.0,14.0,0.08250626064429145,0.08871548872300418,0.7854812246877232,0.4116366484841511,0.7742719185063229,0.3812901795610731,0.8127447796558125,0.10412222574423806,,0.0,0.609191484271143,0.609191484271143,0.6097218890905494,0.70288472284973,0.6971555467910958,0.7647058823529411,,0.375,0.24528301886792453,0.22737965244845157,0.22737965244845157,0.23636363636363633,1.7545868351903406,0.6611385761321057,5,1.6348724171025089,0.6644755199126041,6,0,0,0.44202141414625545,0.632329480111975,7,1,0.11111111111111112,0.4245405351952715,0.6765857208687988,6,0.816496580927726,0.9416788156480196,6.0,5.91549295774648,0.7565536935382955,3,gaus,7.0,6.5,5.0142653642240695,8,0.5833333333333334,1.0,0.29166666666666663,1,2.5,3
raw,gaus2,21.436485452306645,0.6788424302684599,1179.0415213976457,-39.8300861758342,197,97,81020.91686043378,-411098.0793383956,False,"[29, 76, 95, 134, 148, 175]","[136853.4230365609, 18069.705257725087, 6946.411576407409, 1361.2525222456607, 51463.36854539164, 15921.891811676076]",6,13.216290755647403,343808.04357520957,0.02210777497112696,1.1276381131099234e-06,0.3879494025677438,6,38436.008791667795,1361.2525222456607,136853.4230365609,"[29, 76, 95, 134, 148, 175]","[136853.4230365609, 18069.705257725087, 6946.411576407409, 1361.2525222456607, 51463.36854539164, 15921.891811676076]","[0, 62, 86, 118, 118, 166]","[196, 196, 196, 137, 196, 196]",0.05,20,1491474386693.4119,147670.4938535629,-147670.4938535629,0.49238578680203043,16042286.62150545,0.01618679621585576,0.046804890549478166,28433787.600788847,2727937493546.406,16.0,2173360.910731047,0.015228426395939085,"[0.0, 0.005076142131979695, 0.01015228426395939, 0.015228426395939085, 0.02030456852791878, 0.025380710659898477, 0.03045685279187817, 0.035532994923857864, 0.04060913705583756, 0.04568527918781726, 0.050761421319796954, 0.055837563451776644, 0.06091370558375634, 0.06598984771573603, 0.07106598984771573, 0.07614213197969542, 0.08121827411167512, 0.08629441624365482, 0.09137055837563451, 0.09644670050761421, 0.10152284263959391, 0.10659898477157359, 0.11167512690355329, 0.11675126903553298, 0.12182741116751268, 0.12690355329949238, 0.13197969543147206, 0.13705583756345177, 0.14213197969543145, 0.14720812182741116, 0.15228426395939085, 0.15736040609137056, 0.16243654822335024, 0.16751269035532992, 0.17258883248730963, 0.17766497461928932, 0.18274111675126903, 0.1878172588832487, 0.19289340101522842, 0.1979695431472081, 0.20304568527918782, 0.2081218274111675, 0.21319796954314718, 0.2182741116751269, 0.22335025380710657, 0.22842639593908629, 0.23350253807106597, 0.23857868020304568, 0.24365482233502536]","[16042286.62150545, 2602019.3339906423, 1837590.0623836617, 2173360.910731047, 1135729.4871354213, 1109908.9768316117, 401307.91541156685, 643766.1844672721, 260109.47786563748, 176258.73727522197, 220206.32077387825, 112405.30409016882, 145533.9010861223, 96006.02308938734, 148335.79546054592, 48965.59137503028, 47320.43561068776, 93429.35699791084, 49828.79777162414, 95931.84333798154, 77702.03093221618, 51775.061224267854, 26959.782833436162, 66519.73668119208, 36298.894406948326, 4811.11471911767, 25789.142350932067, 42356.81803775246, 40433.12932818399, 10736.954959936333, 32886.42032497366, 19591.08601382005, 26927.145015156417, 5104.526287483455, 10040.285189985247, 22469.38629082447, 7419.603058684137, 20433.515466300203, 27809.704830621886, 14849.884670742824, 16117.039821942495, 8114.647189737274, 14468.150222181232, 19764.39425929124, 5300.252598117129, 10852.898982241531, 9969.518383755756, 8205.838914030126, 10923.50470342688]",3.0,0.7,50738.71150395878,15.0,CWT,mdp.39015014188836,,15961120.62150545,0.02030456852791878,135971.4230365609,2727871668385.36,37879.05226992867,146787.4938535629,37879.05226992867,217806.05275000678,37879.05226992867,0.0,146787.4938535629,0.0,-20.0,2164030.663244146,0.0,0.0,-15.5,0.0,2.0,0.0,1357.2525222456607,50669.11150395878,0.1445897367069113,0.10741059770265521,0.0,10.0,28050278.314192977,0.0,1.0,17.0,0.5364623086315021,0.21792852984677513,0.29907660103830747,0.20838342989310507,0.9055892443789127,0.3675459986699182,0.8393690043369242,0.06957278565842201,0.2579529664024141,1.0,1.0,1.0,1.0,0.7068097823429476,0.8814382986949533,0.9411764705882353,,0.6964285714285714,0.18867924528301885,0.4778621678885221,0.4778621678885221,0.018181818181818188,2.6538866412171767,1.0,1,1.576525851329548,0.6407612140000882,8,0,0,0.6990365435247157,1.0,1,0,0.0,0.4113200965395867,0.655516448852302,8,4.041451884327381,0.7113248654051871,4.5,1.7777777777777777,0.6949481469883079,5,gaus,7.0,6.5,5.0142653642240695,8,0.5833333333333334,1.0,0.29166666666666663,1,4.0,4
raw,morl,19.927266980602866,0.6750745721911141,580.8331432449824,-31.16755883204794,197,97,24743.64047039726,,False,"[17, 25, 53, 59, 78, 90, 98, 118, 134, 149, 157, 163, 176, 182, 189]","[631.0315864677832, 71676.42237175151, 202.8174701926364, 45767.52353053422, 6724.586692276744, 2065.901128868052, 21057.828569219997, 48422.248120355274, 5261.702663584499, 14712.725153999805, 562.8758970488934, 2460.2060515238268, 146.18135101145162, 43793.878996606465, 1928.1659565675582]",15,13.274151994836206,299817.5546779236,0.01991049838348087,1.7921450107110502e-07,0.4613153422757413,13,19436.057425765826,146.18135101145162,95620.56959773085,"[17, 25, 54, 78, 90, 98, 134, 149, 157, 164, 176, 182, 189]","[631.0315864677832, 95620.56959773085, 202.8174701926364, 12349.821276268944, 2065.901128868052, 69810.46821291349, 5261.702663584499, 19859.584252338227, 562.8758970488934, 435.74814535692894, 146.18135101145162, 43793.878996606465, 1928.1659565675582]","[0, 0, 53, 59, 59, 59, 118, 118, 156, 163, 118, 118, 188]","[18, 118, 59, 85, 92, 118, 137, 163, 163, 165, 177, 196, 196]",0.05,30,203871426818.96704,72484.89141042839,-72484.89141042839,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,94738.56959773085,,18879.100904026694,71601.89141042839,18879.100904026694,239858.74653495575,18879.100904026698,,71601.89141042839,0.0,-3.0,,,0.0,6.0,,,,142.18135101145162,,,,0.0,0.0,,0.0,1.5,10.0,0.0,0.031835267817246084,0.9650581571857151,0.29496147042551035,0.7330252194162803,0.3515850144092219,1.0,0.05006538075073693,,0.10336903040945838,0.4260761020101651,0.4260761020101651,0.4259304700674083,0.7832308892484482,0.5608428918817109,0.5294117647058822,,0.7142857142857143,1.0,0.1323103256919643,0.1323103256919643,0.6363636363636362,1.6498625367746758,0.6216778483115556,7,1.6632389776414818,0.6760047896373159,4,0,0,0.48918393769720975,0.6997973742983779,5,1,0.11111111111111112,0.42276075819503317,0.6737493092546801,7,1.5,0.8928571428571429,5.75,5.4368932038834945,0.7410714285714286,4,morl,4.0,4.0,,1,0.3333333333333333,,,6,4.5,5
raw,cgau8,15.396742202635558,0.8281438065832853,861.9433258245062,-32.68776081563098,197,97,33381.439049231514,-317281.0605973531,True,"[6, 16, 26, 36, 49, 86, 105, 121, 141, 183, 195]","[73.7680931461, 4472.7667138747565, 4.844975001171406, 78.96045912934642, 3193.603250395041, 6879.184658422452, 340.96810923642624, 34054.353345773314, 2339.4739195252732, 3204.425456825782, 921.4992802583292]",11,13.745338484460703,389673.9005578245,0.02105495541914069,4.166410161361471e-06,0.29438677802892754,8,22626.02784625681,86.72123814384031,78684.07303146186,"[25, 61, 77, 100, 134, 148, 164, 182]","[78684.07303146186, 257.0692250946013, 12097.204360449829, 40937.49693618863, 1653.5792668924723, 11800.585832374503, 86.72123814384031, 35491.49287944875]","[0, 60, 60, 60, 118, 118, 163, 118]","[118, 62, 86, 118, 137, 163, 165, 196]",0.05,20,290721935469.736,63904.709394885176,-63904.709394885176,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,77802.07303146186,,22069.071324517678,63021.709394885176,22069.071324517678,168198.22277005448,22070.462099876302,,63021.709394885176,0.0,-10.0,,,0.0,-14.5,,,,82.72123814384031,,,,0.0,10.0,,0.0,-7.0,15.0,0.08233968778055015,0.8141758141247826,0.8481838960716956,1.0,0.21500506160812438,1.0,0.6345183938719389,0.08991181498103194,0.9631391342828391,0.05949194739192956,0.5224342569834499,0.5224342569834499,0.5223550969658953,0.534899478993283,0.4291575353320054,0.8235294117647058,,0.4107142857142857,0.22641509433962265,0.09287594456699841,0.09287594456699841,0.3818181818181818,1.4766818915617705,0.5564223688486205,9,2.4603952562730034,1.0,1,0,0,0.38491678628506704,0.5506390042846989,9,0,0.0,0.6274748669689957,1.0,1,4.618802153517006,0.670085560463071,5.0,1.7999999999999998,0.6564713516601068,6,cgau,6.0,6.0,,1,0.5,,,2,5.0,6
raw,fbsp,18.706076087498623,0.690407661311424,1119.5688704041745,-39.0438010591246,197,97,69088.60182103224,-392359.05555835704,True,"[9, 15, 21, 27, 34, 41, 47, 53, 60, 69, 76, 82, 89, 95, 102, 109, 132, 142, 149, 155, 162, 168, 177, 187, 194]","[8359.447357092431, 10784.805675589509, 4886.160499361256, 3076.772999859313, 7188.836172340685, 107.52585816415376, 3525.571548410153, 5580.892976990814, 2391.9772682041876, 1962.9382196629958, 30063.361567202483, 2436.2329001441612, 966.1132416721302, 8982.981750437335, 23023.737672086576, 2051.4496935642965, 6689.037407717537, 1790.3275387713293, 12259.083189532408, 2831.293339419186, 2727.2561236788315, 1045.4928397733456, 981.4420094312663, 2118.6002217182395, 525.9949879784544]",25,13.442345216492518,689235.9613856209,0.01706785407011955,1.6966178030453258e-08,0.2124920164995138,24,13134.224893007731,420.96488460664114,125595.62340414814,"[15, 21, 27, 34, 41, 47, 53, 60, 69, 76, 82, 89, 95, 102, 109, 127, 133, 142, 149, 155, 162, 168, 174, 181]","[3057.9739408567693, 4039.3105361512717, 125595.62340414814, 7478.355962771981, 420.96488460664114, 3163.294461453799, 6491.096353116147, 6494.810374742774, 1972.2716481560346, 30022.204847564575, 1808.4512705061861, 1801.334831350985, 21820.060733187936, 4056.5011873202966, 2574.6623699805787, 7377.058946133842, 4661.03670215093, 1371.0739297880064, 16650.336296514208, 2368.8440810983157, 3389.596939474497, 1132.8533351049482, 2171.5773449343833, 55302.103051072336]","[0, 0, 0, 33, 40, 46, 52, 58, 65, 65, 81, 87, 87, 101, 107, 117, 117, 117, 117, 154, 161, 163, 117, 117]","[17, 22, 117, 117, 117, 117, 117, 61, 70, 117, 87, 91, 117, 117, 117, 128, 138, 144, 163, 163, 163, 169, 175, 196]",0.05,30,1244626523804.3967,149228.78681935303,-149228.78681935303,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,124713.62340414814,,12577.268371268601,148345.78681935303,12577.268371268601,302411.39743218553,12577.268371268601,,148345.78681935303,0.0,7.0,,,0.0,-3.5,,,,416.96488460664114,,,,0.0,0.0,,0.0,-3.5,1.0,0.4227176911949513,0.0,0.3595267866273235,0.5466297679937712,0.5933942649104825,0.4165373531367769,0.4552139763667964,0.22275140285633166,0.39880694520705673,0.3061385734517066,0.23571917835137748,0.23571917835137748,0.23552524375262954,1.0,0.7939061840832474,0.0,,0.5357142857142857,0.6415094339622641,0.4850240577652174,0.4850240577652174,0.9999999999999999,1.712615739287493,0.6453236218492061,6,1.5098672668137911,0.6136685814867534,9,0,0,0.4961900160997768,0.70981985233256,3,0,0.0,0.37950868758816547,0.6048189458509697,10,3.1622776601683795,0.7741230242736872,7.0,5.625,0.6370615121368436,7,fbsp,7.0,7.0,,1,0.5833333333333334,,,4,6.25,7
raw,gaus7,20.299245593840357,0.6760165367104506,742.8333662863615,-34.033015870271434,197,97,36199.527717640914,,False,"[3, 40, 49, 82, 91, 105, 130, 140, 171]","[6007.512674071826, 3774.7760909398276, 65651.72087997106, 20492.048765002, 2362.157280906732, 26252.91089880161, 57043.25526522042, 2145.395655940454, 13318.210982890872]",9,13.361381654383942,456950.7666187457,0.017134134860677323,3.262883918911042e-07,0.02615067894502546,10,19764.733656646793,243.04083729342892,126250.10594938662,"[4, 40, 49, 82, 91, 105, 126, 137, 159, 170]","[567.020144306458, 3774.7760909398276, 126250.10594938662, 20492.048765002, 2362.157280906732, 26252.91089880161, 2241.669960999927, 2145.395655940454, 13318.210982890872, 243.04083729342892]","[3, 3, 3, 73, 89, 89, 125, 130, 130, 169]","[5, 45, 130, 89, 93, 130, 130, 140, 171, 171]",0.05,20,388510761392.4547,103009.63665351269,-103009.63665351269,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,125368.10594938662,,19207.77713490766,102126.63665351269,19207.77713490766,184837.33656646794,19207.77713490766,,102126.63665351269,0.0,-18.0,,,0.0,-18.0,,,,239.04083729342892,,,,0.0,10.0,,0.0,-9.0,13.0,0.1092030765221353,0.06069311124781247,0.7447596851978024,0.4254836145384087,0.77555725033412,0.3555752604743961,0.04722908986906482,0.11974546993846652,,0.17484403298962492,0.4360042928760819,0.4360042928760819,0.43586118019019676,0.5925604389942949,0.7989949441457587,0.7058823529411764,,0.3392857142857143,0.09433962264150941,0.272601573066169,0.272601573066169,0.09090909090909088,1.5935297535271014,0.6004513262843232,8,1.307365027998701,0.5313638224043288,10,0,0,0.38749075908182234,0.5543211762978768,8,1,0.11111111111111112,0.3242252642097203,0.5167143439160897,12,1.9148542155126762,0.8632246988919516,9.5,9.230769230769232,0.5923266351602615,8,gaus,7.0,6.5,5.0142653642240695,8,0.5833333333333334,1.0,0.29166666666666663,1,6.25,8
raw,gaus5,20.30777258147761,0.6879480872887122,739.6833448753953,-34.59037145982555,197,97,38083.42884770285,,False,"[3, 40, 49, 55, 82, 91, 105, 130, 140, 160, 169]","[5267.85758898723, 1562.028295815173, 59968.22220698052, 835.6522192225893, 19039.464398031818, 2426.4070383552407, 20257.568357586653, 51824.17345219544, 2010.3443737012276, 188.4406197595763, 8700.699173671734]",11,13.315941597919833,459379.2237441128,0.015252043304645174,3.5218909106144204e-07,0.004579458860794199,11,15781.048935309342,105.88422433779851,116272.03326510984,"[4, 40, 49, 55, 82, 91, 105, 126, 137, 159, 170]","[768.6746000637067, 1562.028295815173, 116272.03326510984, 835.6522192225893, 19039.464398031818, 2426.4070383552407, 20257.568357586653, 1612.7823425069437, 2010.3443737012276, 8700.699173671734, 105.88422433779851]","[3, 3, 3, 53, 73, 89, 89, 125, 130, 130, 169]","[5, 43, 130, 130, 89, 93, 130, 130, 140, 169, 171]",0.05,30,441745623842.17633,118952.00065535976,-118952.00065535976,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,115390.03326510984,,15224.092413570212,118069.00065535976,15224.092413570212,160781.53828840275,15224.092413570212,,118069.00065535976,0.0,-17.5,,,0.0,-17.5,,,,101.88422433779851,,,,0.0,0.0,,0.0,-13.0,12.0,0.127161336308237,0.0657751711377938,0.7019097722188884,0.3574914473207779,0.7765322260152948,0.4061183772999337,0.0,0.12082235945783744,,0.0736327872851896,0.31567072887887737,0.31567072887887737,0.3154970818124495,0.5091978008589088,0.7214130160317246,0.6470588235294117,,0.19642857142857142,0.11320754716981132,0.34587242640505034,0.34587242640505034,0.1090909090909091,1.3714011001537396,0.5167519512155053,10,1.256814946936287,0.5108183100792127,12,0,0,0.3340510706479026,0.4778735442978907,11,1,0.11111111111111112,0.3139207806642898,0.5002921984440232,13,1.2909944487358056,0.9077861108045853,11.5,11.390640557583804,0.5431787696880069,10,gaus,7.0,6.5,5.0142653642240695,8,0.5833333333333334,1.0,0.29166666666666663,1,7.75,9
raw,shan,13.516340939631544,0.7348893191689779,683.5458793518659,-30.71306476081269,197,97,28058.16873116727,-312377.1406293932,True,"[6, 15, 25, 34, 40, 51, 58, 65, 72, 80, 95, 102, 111, 117, 128, 138, 146, 154, 161, 167, 173, 183, 194]","[3955.670865766595, 6566.604633149524, 7712.572550149824, 3544.067380272696, 136.25883162552782, 7960.242796166218, 12541.486910244625, 3370.233801135044, 3563.3135360845044, 35.04498903050626, 5648.620954927104, 24401.50081878861, 5906.5780303614265, 546.3858591167445, 2863.3470059688734, 481.7889959815966, 4437.853431875332, 1270.585118727984, 2227.6673977104274, 439.3383860799004, 4299.883483091329, 7391.1234285085775, 1293.3203995631193]",23,13.544927384033027,321198.80990614626,0.01855537904871888,3.960292475315229e-08,0.3261390139923041,22,10795.943995132893,239.14879346953603,64362.31238599835,"[12, 18, 25, 34, 44, 53, 64, 71, 80, 95, 102, 109, 118, 127, 133, 140, 146, 155, 162, 177, 183, 190]","[3121.925740286755, 6978.1390094909075, 59743.33603196265, 3299.051835718117, 2166.614939810672, 5483.432022678739, 3298.682786382469, 578.9816760769636, 8777.207272255406, 64362.31238599835, 2889.324766790669, 1078.0546696724668, 239.14879346953603, 5645.709140411066, 23942.672793148093, 1372.8327808449123, 8949.716761018744, 1635.838311058088, 2915.71500267583, 247.0646528706784, 27262.213031367985, 3522.7934889345415]","[0, 0, 0, 33, 43, 51, 58, 58, 58, 58, 101, 107, 117, 117, 117, 138, 138, 154, 161, 117, 117, 188]","[13, 20, 58, 58, 58, 58, 65, 72, 84, 117, 117, 117, 120, 128, 163, 141, 163, 163, 163, 178, 196, 196]",0.05,30,185638476950.02774,43696.645098782,-43696.645098782,,,,,,,,,,,,,,,,CWT,mdp.39015014188836,,,,63480.31238599835,,10238.987473393763,42813.645098782,10238.987473393763,224700.76789292364,10238.987473393761,,42813.645098782,0.0,6.0,,,0.0,-3.0,,,,235.14879346953603,,,,0.0,0.0,,0.0,1.5,1.0,0.03159569184680444,0.0044416292318024825,1.0,0.700123941014229,0.0,0.604965639547772,0.7040383004883619,0.059546812160725895,0.9999999999999998,0.17197199791042767,0.16508766663541102,0.16508766663541102,0.16487580944395153,0.7307026349875272,0.31780238288722384,0.0,,0.7142857142857143,0.660377358490566,0.0,0.0,0.9636363636363635,1.0545530311298366,0.3973617466366902,12,1.9082934677094405,0.775604433004848,3,0,0,0.33781896624271635,0.48326367107983986,10,0,0.0,0.45607911269885504,0.7268484153029678,3,4.69041575982343,0.664970302869755,7.0,4.7058823529411775,0.5824851514348774,9,shan,9.0,9.0,,1,0.75,,,7,8.5,10
