signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,mexh,4945712853.284128,0.6903791275988586,1646.1218187849754,-43.83899150976546,223,110,135078.75241472333,-446735.33675911196,False,13.551481363652645,462227.0250460293,0.0184849816546002,3.4929988623687223e-07,0.2962294239519547,149772.61012447163,,,,[],[],2,114542.21818088618,42761.265215110805,186323.17114666154,"[77, 150]","[42761.265215110805, 186323.17114666154]","[0, 0]","[117, 222]",4541044669405.734,194604.1793702672,-194604.1793702672,0.0,,,,CWT,mdp.39015067403835,4541010266321.734,,0.0,-25.5,29.0,0.0,-25.5,,193689.1793702672,114244.76656798295,219863.43636177236,114244.76656798292,,0.0,114244.76656798295,,,42758.265215110805,0.0,-21.0,185408.17114666154,193689.1793702672,,149381.61012447163,1.0,0.0,0.4881049738709558,0.9999999999999999,1.0,0.6648241661720864,0.1153950834044348,0.0,0.2772197603808053,0.7502957460217702,0.7502957460217702,0.75029574602177,,1.0,0.9778941471716338,1.0,,,,,0.8571428571428571,,1.0,0.2325581395348837,0.5588235294117647,0.6914986161444973,0.6914986161444973,0.29411764705882354,3.5047974587410224,1.0,1,1.7561401867660864,1.0,1,0,0.7022600393610768,1.0,1,0.0,0.5335405279309346,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,1.0,1.0,,1,0.125,,,2,1.25,1
raw,gaus2,2174471378.601099,0.656665307786384,1140.129563536141,-40.00903835277785,223,110,84709.25694880287,,False,13.609812075211963,292145.1235189942,0.02023078316970112,2.2515255283217033e-06,0.44422394197962156,96338.70578148347,,,,[],[],3,77846.05097901427,4660.653789257965,144386.84963441803,"[42, 59, 149]","[84490.64951336684, 4660.653789257965, 144386.84963441803]","[0, 53, 0]","[116, 116, 222]",1885270485754.77,135798.7393304924,-135798.7393304924,0.0,,,,CWT,mdp.39015067403835,1885236082670.77,,0.0,-25.0,28.0,0.0,-29.5,,134883.7393304924,77548.59936611104,224317.15293704282,77548.59936611106,,0.0,77548.59936611104,,,4657.653789257965,0.0,-16.0,143471.84963441803,134883.7393304924,,95947.70578148347,0.5423043528688212,0.28431732252833264,0.6706007032593894,0.3844732236970936,0.6293142088749435,0.9327706677966672,0.029629895017128913,,0.009683704658068698,0.4561545348866516,0.4561545348866516,0.4561545348866517,,0.6413605911248519,1.0,0.728140438459215,,,,,0.7142857142857142,,0.3874412552173213,0.25581395348837205,0.8529411764705883,0.344984507929601,0.344984507929601,0.05882352941176472,2.3382636429604755,0.6671608475202491,3,1.4975045715313833,0.8527249605790425,3,0,0.47906592740250387,0.6821773994692376,3,0.125,0.48995148200605376,0.9183022776284329,2,0.5,0.95,2.75,2.6666666666666665,0.8374999999999999,2,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,1.75,2
raw,gaus4,740668371.0638245,0.6549123522217692,690.2911887351468,-35.111140652984716,223,110,46830.61053830483,,False,13.715097253283842,288087.236439112,0.02032844848601168,1.8832583191534255e-06,0.39041453970823353,46190.80752894618,,,,[],[],2,97262.32943156904,91359.1429137292,103165.51594940889,"[33, 175]","[91359.1429137292, 103165.51594940889]","[0, 116]","[116, 222]",611775279462.5398,78425.37945873194,-78425.37945873194,0.0,,,,CWT,mdp.39015067403835,611740876378.5398,,0.0,-25.5,29.0,0.0,-30.0,,77510.37945873194,96964.87781866582,185303.6588631381,96964.87781866582,,0.0,96964.87781866582,,,91356.1429137292,0.0,-25.5,102250.51594940889,77510.37945873194,,45799.80752894618,0.1981100856652518,0.6479137172994264,1.0,0.06600796141468111,0.6100403406544148,0.835347862646325,0.027583672304801153,,0.6184658461893424,0.6117873460288419,0.6117873460288419,0.6117873460288419,,0.3047763042987084,0.8063580060063196,0.4609159109464427,,,,,0.8571428571428571,,0.09370746193949243,0.2325581395348837,0.29411764705882354,0.006909006448641272,0.006909006448641272,0.02941176470588236,1.9731978839153885,0.5629991196764311,5,1.5703739870287883,0.894219037217419,2,0,0.39618814205761155,0.5641615923612391,6,0.125,0.4773219485692715,0.8946310984478006,3,1.8257418583505538,0.8174258141649446,4.0,3.3333333333333335,0.7087129070824723,3,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,2.5,3
raw,gaus1,4036038194.7098927,0.5994292702812882,1222.0103038135019,-43.69275352733532,223,110,111257.76642407766,,False,13.472017423024484,2216496.9000831945,0.020845789593864083,1.7157540311375988e-06,-0.03359133589102966,0.0,,,,[],[],1,32065.87272917653,32065.87272917653,32065.87272917653,[109],[32065.87272917653],[3],[127],4369148621377.571,246958.64113795818,-246958.64113795818,0.0,,,,CWT,mdp.39015067403835,4369114218293.571,,0.0,-30.5,30.0,0.0,-30.5,,246043.64113795818,31768.421116273305,22844.87272917653,31768.421116273305,,0.0,31768.421116273305,,,32062.87272917653,0.0,-30.5,31150.87272917653,246043.64113795818,,391.0,0.7835443556176174,0.010856005259652912,0.23949100333387235,0.7979500829530959,0.0,0.06767827225074863,1.0000000000000002,,0.20211852150273657,0.08919967002812274,0.08919967002812274,0.08919967002812268,,0.0,0.0,0.0,,,,,1.0,,0.9603518898325608,0.0,0.0,1.0,1.0,0.0,1.4210912043924118,0.40547027927339624,7,1.1873687618848607,0.6761241333878861,7,0,0.3164335301014048,0.45059310279038395,7,0.125,0.4079671027735697,0.7646412623154654,5,1.0,0.9,6.5,6.363636363636364,0.625,4,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,3.25,4
raw,gaus6,712608130.4681002,0.6609457806767224,632.8185539165041,-34.704725523693035,223,110,43962.1353419776,,False,13.623646861653315,354495.8167056677,0.020031085038040197,1.6509759277928239e-06,0.3603745528464809,33586.53921589535,,,,[],[],4,44536.589787845915,5068.930071940085,86640.61332595239,"[32, 150, 175, 189]","[81027.52546595052, 5068.930071940085, 86640.61332595239, 5409.290287540673]","[0, 117, 117, 183]","[117, 156, 222, 222]",555657558412.07,97215.64569563916,-97215.64569563916,0.0,,,,CWT,mdp.39015067403835,555623155328.07,,0.0,-20.0,27.0,0.0,-20.0,,96300.64569563916,44239.13817494269,168925.35915138366,44239.138174942695,,0.0,44239.13817494269,,,5065.930071940085,0.0,-24.5,85725.61332595239,96300.64569563916,,33195.53921589535,0.17204493255783157,0.6780840240000184,0.7138847533773149,0.0597754372575628,0.6763783056925144,0.7809599738533749,0.06107074145183411,,0.012550551730234033,0.18915975030520626,0.18915975030520626,0.18915975030520632,,0.22017856822312068,0.7250649383205003,0.3537903305493767,,,,,0.5714285714285714,,0.08076381598557193,0.48837209302325574,0.35294117647058826,0.11763162571309038,0.11763162571309038,0.6176470588235294,1.347192584903796,0.38438528923943255,8,1.452657597883889,0.82718772045126,4,0,0.3018199719211821,0.4297837766702216,8,0.125,0.44263545259863596,0.8296191749765894,4,2.309401076758503,0.7690598923241497,6.0,5.333333333333333,0.5845299461620749,5,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.0,5
raw,gaus5,754362670.2842708,0.6572768039135752,665.9910076728966,-35.392034096732196,223,110,46523.03711207854,,False,13.666385097464122,420105.6829668574,0.018812459316649075,8.862165685762358e-07,-0.07017598718689319,15399.236772450537,,,,[],[],1,145694.5651085479,145694.5651085479,145694.5651085479,[89],[145694.5651085479],[3],[137],646000975208.733,98882.39971994836,-98882.39971994836,0.0,,,,CWT,mdp.39015067403835,645966572124.733,,0.0,-30.5,30.0,0.0,-26.0,,97967.39971994836,145397.11349564468,136473.5651085479,145397.11349564468,,0.0,145397.11349564468,,,145691.5651085479,0.0,-30.5,144779.5651085479,97967.39971994836,,15008.236772450537,0.19531523896180925,0.6270615375028303,0.8475972576236689,0.06904963350637525,0.6360376512774542,0.0014411611839099114,0.09415505253629386,,1.0,1.0,1.0,1.0,,0.0981084429430742,0.5639916928628419,0.736617933446782,,,,,1.0,,0.10160167574526884,0.0,0.0,0.12745306032792267,0.12745306032792267,0.2647058823529412,2.4540822731007403,0.7002065888230485,2,1.1858084857543263,0.6752356643793797,8,0,0.5014236962861969,0.7140142798704553,2,0.125,0.3467010760846203,0.6498120722508633,8,3.4641016151377544,0.6535898384862245,5.0,3.2,0.5767949192431123,6,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.75,6
raw,gaus7,752388753.5055144,0.6573991031390135,662.6508518440669,-34.80788409447799,223,110,43759.81923635003,,False,13.648939730062914,418465.96759900235,0.020516210835703905,7.991555757431685e-07,-0.07097198173625206,11289.040430324325,,,,[],[],1,143455.1579443352,143455.1579443352,143455.1579443352,[90],[143455.1579443352],[3],[137],564684077586.8757,92741.29672727676,-92741.29672727676,0.0,,,,CWT,mdp.39015067403835,564649674502.8757,,0.0,-30.5,30.0,0.0,-30.5,,91826.29672727676,143157.70633143198,134234.1579443352,143157.70633143198,,0.0,143157.70633143198,,,143452.1579443352,0.0,-30.5,142540.1579443352,91826.29672727676,,10898.040430324325,0.17020653413764247,0.6704260272989577,0.7930170037021106,0.06861120234019291,0.6373823397579566,0.0,0.09332821266583713,,0.9842752612766689,0.9820498437375612,0.9820498437375612,0.9820498437375612,,0.07052149408305936,0.5528764805770515,0.7221005836216092,,,,,1.0,,0.0828457976877491,0.0,0.0,0.09126629213909342,0.09126629213909342,0.0,2.3298061325871777,0.6647477236599231,4,1.1764159006113364,0.6698872387731721,9,0,0.4672358380526436,0.665331660445523,4,0.125,0.341317331414671,0.6397214710910464,9,2.886751345948129,0.7113248654051871,6.5,5.538461538461537,0.5306624327025935,7,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,5.5,7
raw,morl,443485523.1780605,0.6524256013045251,435.7093877518846,-30.368292211779675,223,110,25028.55687182316,,False,13.395469436486202,233385.748283883,0.030917157096920465,2.395825904852303e-07,0.4813566253937699,15680.334736467683,,,,[],[],8,20937.5918838238,3281.568389560787,69541.10249809612,"[15, 32, 65, 77, 150, 171, 190, 201]","[7248.639757054207, 55214.58577010718, 5818.596525983844, 11010.373042968897, 69541.10249809612, 3281.568389560787, 9555.639923831262, 5830.229162988071]","[0, 0, 54, 54, 118, 160, 182, 196]","[19, 118, 71, 118, 222, 222, 222, 222]",205502639729.59305,77252.8812694287,-77252.8812694287,0.0,,,,CWT,mdp.39015067403835,205468236645.59305,,0.0,-9.0,23.0,0.0,-13.5,,76337.8812694287,20640.140270920572,158279.7350705904,20640.140270920572,,0.0,20640.140270920572,,,3278.568389560787,0.0,-13.5,68626.10249809612,76337.8812694287,,15289.334736467683,0.0,1.0,0.0,0.0,0.5826983415508742,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0999951253573707,0.6722257880919439,0.24293975165762263,,,,,0.0,,0.0,0.9999999999999999,1.0,0.0,0.0,1.0,0.9075803325534686,0.2589537179359533,10,1.2330793366203499,0.7021531344209214,6,0,0.28679719036478135,0.4083917271239188,9,0.125,0.3627069059358392,0.6798113488068345,7,1.8257418583505538,0.8174258141649446,8.0,7.682926829268294,0.5087129070824723,8,morl,8.0,8.0,,1,1.0,,,3,6.75,8
raw,gaus8,708902777.8547472,0.6499796167957603,581.3120312790691,-33.922945826113406,223,110,39453.336176699886,,False,13.522740516347204,366734.62047537003,0.021371452361601834,1.476439716346248e-06,0.3793235637610242,25743.60986008032,,,,[],[],4,41656.53274996045,6532.152726055116,77251.0100502639,"[32, 150, 175, 190]","[74603.13900748637, 8239.829216036378, 77251.0100502639, 6532.152726055116]","[0, 117, 117, 183]","[117, 156, 222, 222]",464055313073.1595,98860.79001921022,-98860.79001921022,0.0,,,,CWT,mdp.39015067403835,464020909989.1595,,0.0,-20.0,27.0,0.0,-20.0,,97945.79001921022,41359.08113705722,157405.1309998418,41359.08113705721,,0.0,41359.08113705722,,,6529.152726055116,0.0,-24.5,76336.0100502639,97945.79001921022,,25352.60986008032,0.13107454497210416,0.7361195929252728,0.39818524287446033,0.05895243292178091,0.555804571940834,0.8152674688299706,0.06724225824180216,,0.022825053972485854,0.1660744111578895,0.1660744111578895,0.16607441115788946,,0.16753814108974102,0.6678847240515396,0.2929205799961401,,,,,0.5714285714285714,,0.059635605323120344,0.48837209302325574,0.35294117647058826,0.1273257240444938,0.1273257240444938,0.6176470588235294,1.2374664683674332,0.35307788336845874,9,1.2848886767499583,0.7316549592296884,5,0,0.285290548981545,0.406246309046867,10,0.125,0.3884137303866036,0.7279929265971014,6,2.3804761428476167,0.7619523857152384,7.5,6.923076923076923,0.5059761928576192,9,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.0,9
raw,gaus3,1157149865.1729498,0.6278842233999185,712.7631182305674,-37.148281708813144,223,110,52423.179048384816,,False,13.467819669093267,635169.1187042857,0.025344535353859002,1.0843271439862183e-06,-0.05992401802352986,4340.145000523756,,,,[],[],1,104375.48482340865,104375.48482340865,104375.48482340865,[89],[104375.48482340865],[3],[137],968030126888.5177,134922.55382971404,-134922.55382971404,0.0,,,,CWT,mdp.39015067403835,967995723804.5177,,0.0,-30.5,30.0,0.0,-26.0,,134007.55382971404,104078.03321050543,95154.48482340865,104078.03321050543,,0.0,104078.03321050543,,,104372.48482340865,0.0,-30.5,103460.48482340865,134007.55382971404,,3949.1450005237557,0.2489284279906852,0.49668615214005607,0.22635774736987369,0.15851361774263764,0.312864186463469,0.02000251946052367,0.20260254704122743,,0.7098643997593065,0.6688034406645038,0.6688034406645038,0.6688034406645038,,0.023881672795024927,0.35890600940053713,0.4687597464499343,,,,,1.0,,0.17587823666326777,0.0,0.0,0.33982153938064236,0.33982153938064236,0.2647058823529412,1.9174650414030727,0.5470972471236201,6,0.7793136034235829,0.443765030432269,10,0,0.406289239155415,0.5785452914636308,5,0.125,0.23174359974406747,0.43435050874723063,10,2.6299556396765835,0.7370044360323417,7.75,7.0588235294117645,0.4810022180161708,10,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.75,10
