signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,fft_frequency_max_diff,fft_snr_threshold_diff,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_dynamic_cutoff_percentile_diff,prominence_threshold_diff,prominence_min_diff,stft_window_diff,fft_peak_amplitude_diff,avg_prominence_diff,stft_spectral_bandwidth_diff,stft_num_peaks_diff,stft_variance_magnitude_diff,stft_noverlap_diff,fft_spectral_centroid_diff,stft_dominant_frequency_diff,stft_nperseg_diff,fft_variance_magnitude_diff,stft_snr_threshold_diff,stft_dynamic_cutoff_diff,distance_factor_diff,fft_stationarity_threshold_diff,fft_amplitude_max_diff,fft_spectral_magnitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,max_autocorrelation_diff,stft_spectral_centroid_diff,stft_amplitude_max_diff,fft_dynamic_cutoff_diff,fft_num_peaks_diff,stft_peak_amplitude_diff,prominence_max_diff,upper_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_stationarity_threshold_diff,fft_dominant_frequency_diff,fft_dynamic_cutoff_percentile_diff,stft_frequency_max_diff,stft_spectral_magnitude_diff,relative_num_peaks_diff,fft_spectral_bandwidth_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
smoothed,gaus4,20.42059750597834,0.6525479005299634,687.2478344609058,-35.59403083703579,223,110,46822.51528081873,,False,13.709990742752167,286918.4834546671,0.020416197078750035,4.981603436969015e-06,0.49496964087735273,4,51282.302813721966,1622.2807644252462,106358.76108652655,"[32, 150, 175, 189]","[93777.38225061979, 3370.7871533163197, 106358.76108652655, 1622.2807644252462]","[0, 117, 117, 183]","[117, 156, 222, 222]",0.05,20,611052798320.9742,78539.57232494297,-78539.57232494297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,77674.57232494297,0.0,-15.5,,0.0,1619.947431091913,,,51054.12099554015,,,,,,,,,,,10.0,,,,0.0,-20.0,51054.12099554015,200109.21125488786,51054.12099554016,,,,,,,105493.76108652655,77674.57232494297,0.0,-20.0,,,,,,18.0,,0.24620692525427101,0.1505127718262595,0.520385152147249,0.5688543536019961,0.8051690975687913,0.3342909375816146,0.8244463677053148,0.0704374350662446,,0.6787780111985554,0.8592873478544403,0.8592873478544403,0.8592873478544405,0.8452114648014644,0.48075606021598877,0.8,,0.04444444444444444,0.06060606060606062,0.18867061144577724,0.18867061144577724,0.2115384615384615,2.0882567663283433,0.806912811367382,3,1.6099286221391718,0.7119260997748154,4,0,0,0.5063781474383209,0.7774360446865151,3,1,0.11111111111111112,0.434482324538412,0.7817639574929077,6,1.4142135623730951,0.8989847455447789,4.0,3.6923076923076925,0.8066352299152466,1,gaus,6.75,6.5,4.166190448976482,8,0.48214285714285715,1.0,0.36249999999999993,1,1.0,1
smoothed,gaus2,21.503053848915812,0.6543416225030575,1134.4462970404336,-40.51254054640501,223,110,84815.57700293504,,False,13.602485125193427,295796.80063739966,0.020417615173543346,6.825148878196828e-06,0.5688485011809873,5,47332.72201214388,581.2188588831195,147378.95593362954,"[42, 63, 74, 149, 164]","[83442.3310475733, 4374.40084667792, 581.2188588831195, 147378.95593362954, 886.7033739555336]","[0, 52, 71, 0, 157]","[117, 117, 117, 222, 222]",0.05,20,1891913486974.833,136205.49349449866,-136205.49349449866,0.49327354260089684,18868108.102325976,0.013061784549009256,0.04140761037780009,31925003.52758563,3421342852450.4253,18.0,5189779.158410254,0.008968609865470852,"[0.0, 0.004484304932735426, 0.008968609865470852, 0.013452914798206279, 0.017937219730941704, 0.02242152466367713, 0.026905829596412557, 0.03139013452914798, 0.03587443946188341, 0.04035874439461883, 0.04484304932735426, 0.04932735426008968, 0.053811659192825115, 0.05829596412556054, 0.06278026905829596, 0.06726457399103139, 0.07174887892376682, 0.07623318385650224, 0.08071748878923767, 0.08520179372197309, 0.08968609865470852, 0.09417040358744394, 0.09865470852017937, 0.10313901345291479, 0.10762331838565023, 0.11210762331838565, 0.11659192825112108, 0.1210762331838565, 0.12556053811659193, 0.13004484304932734, 0.13452914798206278, 0.1390134529147982, 0.14349775784753363, 0.14798206278026907, 0.15246636771300448, 0.15695067264573992, 0.16143497757847533, 0.16591928251121077, 0.17040358744394618, 0.17488789237668162, 0.17937219730941703, 0.18385650224215247, 0.18834080717488788, 0.19282511210762332, 0.19730941704035873, 0.20179372197309417, 0.20627802690582958, 0.21076233183856502, 0.21524663677130046, 0.21973094170403587, 0.2242152466367713, 0.22869955156950672, 0.23318385650224216, 0.23766816143497757, 0.242152466367713]","[18868108.102325976, 954558.3435871515, 5189779.158410254, 1017614.3408884007, 1666955.6525453893, 690682.0023727163, 386797.39787650475, 503789.9797623862, 339778.7373901518, 252164.98232796625, 282788.3295483068, 255215.2510269181, 132714.30001671638, 144821.275301354, 35149.45078698854, 6689.025916915262, 95502.27343721877, 106726.89687669101, 38714.8842727308, 38957.81779578433, 34491.25344966129, 41472.39266032176, 61057.735369632945, 40663.534005355024, 29999.81069521952, 39338.75796069429, 27804.79988477943, 11692.899362831502, 20653.253748307623, 17113.704315641407, 7147.9141687676665, 19967.57607209316, 21072.64659417311, 9963.90429362773, 30735.1222895659, 14485.935390118591, 14987.193177221525, 18645.99990266397, 14377.331394717732, 11813.41073318936, 12313.995459004173, 10779.456460680338, 8896.8337212301, 6779.8793432475595, 11321.532505962332, 10348.625295247028, 12196.181452322206, 7969.375225125061, 7412.051851259169, 10043.105871935666, 8275.080902167048, 9070.276234005112, 8332.935676768657, 7152.47101364095, 8300.523866758884]",3.0,0.7,40029.05466433188,15.0,0.5,192434147548.4553,0.030874820153952993,0.0511533941452097,247365726582.4995,6.781833851184918e+19,"[0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",1.0,192434147548.4553,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[1.9216232810219386e-20, 192434147548.4553, 21519891520.716866, 9919242709.18541, 5557757751.229854, 3685422660.898029, 2380806758.1927295, 1782872223.0527694, 1345682750.5569236, 1089269535.9502473, 845908638.9498942, 703518013.23062, 606545416.4005204, 538547408.4702584, 478521269.2105044, 419775683.3603868]",3.0,0.7,boxcar,64.0,32.0,40029.05466433188,15.0,CWT,mdp.39015067403835,0.0,0.0,135340.49349449866,0.0,-15.0,0.0,0.0,578.8855255497863,,5180817.897379486,47104.540193962064,0.011287304606149746,3.0,6.7818338483115745e+19,0.0,0.0679859266515423,0.0,0.0,3421288714125.2476,0.0,39844.987997665216,10.0,0.0,18791132.768992644,31698186.10783634,0.0,-15.0,47104.540193962064,231643.6100607194,47104.540193962064,,0.028179867923943017,192431216879.3799,39844.987997665216,2.0,192431216879.3799,146513.95593362954,135340.49349449866,0.0,-19.5,0.0,0.0,0.0,0.0,247358151126.93372,17.0,0.07214189749690603,0.5711044411316725,0.2219764112964843,0.22761657991174244,0.38216359973364405,0.9160781751263282,0.3457821885609823,0.9585748688766,0.07467534639831336,,0.24041782310210813,0.7741903860210105,0.7741903860210105,0.7741903860210104,1.0,0.7409031888838584,0.7000000000000001,,0.06666666666666665,0.36363636363636365,0.4659181167141361,0.4659181167141361,0.23076923076923073,2.1948996846612747,0.8481201659570894,2,1.575228052639837,0.696581170338875,6,0,0,0.5497333887124609,0.8439988050724231,2,1,0.11111111111111112,0.4566908958239153,0.8217238352551698,5,2.0615528128088303,0.8527462276565121,3.75,2.926829268292683,0.7924445423996846,2,gaus,6.75,6.5,4.166190448976482,8,0.48214285714285715,1.0,0.36249999999999993,1,1.75,2
smoothed,mexh,22.322118560713342,0.6905421932327762,1644.2048834946293,-44.33649729750313,223,110,134970.02461827107,,False,13.549229720618937,466469.00199131476,0.018293004862502335,3.863821694277673e-06,0.385072264257591,4,57813.15864546229,86.3976945693721,188233.53591946597,"[48, 68, 78, 149]","[86.3976945693721, 880.8299883356376, 42051.870979478175, 188233.53591946597]","[0, 0, 0, 0]","[49, 70, 117, 222]",0.05,30,4550805852505.81,194672.41522367904,-194672.41522367904,0.49327354260089684,30174949.915643297,0.008428788697316902,0.032894153886673834,45983103.51468878,8501167184382.328,16.0,1380160.8630868373,0.017937219730941704,"[0.0, 0.004484304932735426, 0.008968609865470852, 0.013452914798206279, 0.017937219730941704, 0.02242152466367713, 0.026905829596412557, 0.03139013452914798, 0.03587443946188341, 0.04035874439461883, 0.04484304932735426, 0.04932735426008968, 0.053811659192825115, 0.05829596412556054, 0.06278026905829596, 0.06726457399103139, 0.07174887892376682, 0.07623318385650224, 0.08071748878923767, 0.08520179372197309, 0.08968609865470852, 0.09417040358744394, 0.09865470852017937, 0.10313901345291479, 0.10762331838565023, 0.11210762331838565, 0.11659192825112108, 0.1210762331838565, 0.12556053811659193, 0.13004484304932734, 0.13452914798206278, 0.1390134529147982, 0.14349775784753363, 0.14798206278026907, 0.15246636771300448, 0.15695067264573992, 0.16143497757847533, 0.16591928251121077, 0.17040358744394618, 0.17488789237668162, 0.17937219730941703, 0.18385650224215247, 0.18834080717488788, 0.19282511210762332, 0.19730941704035873, 0.20179372197309417, 0.20627802690582958, 0.21076233183856502, 0.21524663677130046, 0.21973094170403587, 0.2242152466367713, 0.22869955156950672, 0.23318385650224216, 0.23766816143497757, 0.242152466367713]","[30174949.915643297, 5234975.759178844, 4589205.472193558, 912616.6460411629, 1380160.8630868373, 598832.0678582857, 358619.7077994861, 416238.3252260197, 290365.77106277, 216203.27703677714, 228972.1770886765, 203251.1924708842, 114849.81608601441, 119565.22715083051, 40826.612783980105, 17031.34555592979, 80630.42692502314, 87039.9537676944, 36299.34389948052, 35574.717138894666, 31962.926344928448, 36957.46261242908, 56772.037836579264, 38624.122203349805, 29143.87533159952, 39032.03300520708, 26945.93874979191, 9266.273632018636, 18499.347939604933, 15943.608792701138, 8969.733290012995, 18703.967742180692, 20187.436729187524, 11350.824726734556, 25468.68201489489, 11406.913024045258, 12360.627055106985, 17437.289527009863, 14648.162915868605, 10275.180782057949, 10107.123397436017, 11750.864014097271, 5500.146055737254, 2940.1835794264266, 12545.441501594723, 9083.763085763456, 12943.488784766445, 8339.474973179, 7400.840834018172, 8847.078549558975, 8393.762986232905, 14584.181947948768, 11679.967487485108, 9817.846837962623, 12785.18057971945]",3.0,0.7,83036.3699494931,15.0,0.5,69481710932.20544,0.015467266384924917,0.008589318399580905,87604824854.99788,8.976238611555034e+18,"[0.015625, 0.015625, 0.015625, 0.015625, 0.015625]",2.0,69481710932.20544,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[10163949162.071331, 69481710932.20544, 7227675764.64226, 516231454.20868456, 101382420.10459049, 40903779.01359733, 32834925.24802946, 14339270.97756081, 6709921.698677684, 1741295.3274565456, 1570299.301652308, 2235175.9495770168, 1430466.0700059645, 1664402.8225137219, 1919433.872243579, 3866136.095616432]",3.0,0.7,barthann,64.0,32.0,83036.3699494931,15.0,CWT,mdp.39015067403835,0.0,0.0,193807.41522367904,0.0,-15.5,0.0,0.0,84.06436123603879,,1371199.6020560688,57584.97682728047,0.05385138035177854,2.0,8.976238582821604e+18,0.0,0.07261892250323465,0.0,0.0,8501113046057.15,0.0,82852.30328282644,0.0,0.0,30097974.582309965,45756286.09493949,0.0,-20.0,57584.97682728047,226232.63458184915,57584.97682728047,,0.04358742169297109,69478780263.13007,82852.30328282644,0.0,69478780263.13007,187368.53591946597,193807.41522367904,0.0,-15.5,0.0,0.008968609865470852,0.0,0.0,87597249399.43207,18.0,0.08065535398803228,1.0,0.10718281115390818,0.0,0.2896819987406246,1.0,0.5776965265082271,0.6249255528459156,0.1561427733104327,,0.03206335589132023,1.0,1.0,1.0,0.9734398942080154,1.0,0.8,,0.2444444444444444,0.06060606060606062,0.7470166903842557,0.7470166903842557,0.2115384615384615,2.587958372837848,1.0,1,1.520501783782315,0.672380681815853,8,0,0,0.6513437997880679,1.0,1,1,0.11111111111111112,0.46389815226433284,0.8346918502912543,4,3.3166247903554,0.7630982292603286,3.5,1.6842105263157894,0.7565491146301643,3,mexh,3.0,3.0,,1,0.21428571428571427,,,5,3.5,3
smoothed,fbsp,17.288071100859547,0.7202201386057888,1159.028066654026,-40.097780979586936,223,110,83008.89852954127,-411606.66975828167,True,13.887685657285942,616247.1879044848,0.01497915399296504,1.098829813852982e-06,0.29011203112077844,11,19840.445172592827,110.33508921516477,108399.42373957709,"[20, 34, 42, 58, 74, 148, 156, 165, 172, 190, 198]","[307.21412374927604, 94768.05767691453, 110.33508921516477, 2492.270402655471, 1377.5711033753032, 6454.662858293348, 1197.3179750923737, 736.140192672523, 108399.42373957709, 1789.408524557759, 612.49521241826]","[0, 0, 41, 52, 72, 116, 154, 157, 116, 184, 197]","[21, 116, 116, 116, 116, 157, 157, 166, 222, 222, 222]",0.05,30,1719627896287.278,127273.28337872653,-127273.28337872653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,126408.28337872653,0.0,-16.5,,0.0,108.00175588183146,,,19612.263354411007,,,,,,,,,,,0.0,,,,0.0,-4.5,19612.263354411007,213224.8968985211,19612.263354411003,,,,,,,107534.42373957709,126408.28337872653,0.0,1.5,,,,,,11.0,,0.5556546373678153,0.0,0.25230466093088477,0.8774335544494035,0.4842087038465468,0.7678244972577699,0.4525234111619583,0.2276368029011578,0.0,0.042142680438311785,0.18184670438406506,0.18184670438406506,0.18184670438406494,0.9095906141045114,0.4936977961523881,0.09999999999999998,,0.9999999999999999,1.0,0.4229736371861122,0.4229736371861122,0.17307692307692304,1.3217538826954316,0.510732280923843,6,1.578094201445205,0.6978486092254939,5,0,0,0.42583295010804606,0.6537760093004681,4,0,0.0,0.4019540297683929,0.7232358033800289,8,1.707825127659933,0.8780124908814334,5.75,5.393258426966292,0.7336491025835739,4,fbsp,4.0,4.0,,1,0.2857142857142857,,,4,4.0,4
smoothed,gaus6,20.379578032063936,0.6606196494088871,630.4194948518247,-35.19616673347511,223,110,44044.52544714467,,False,13.614624093463398,352450.97470773343,0.020129220472318576,4.115923746835119e-06,0.4524491829825282,6,30479.234271713587,182.46037037461065,89694.81314930195,"[16, 32, 150, 175, 190, 199]","[182.46037037461065, 84002.93757045979, 4024.0802673905855, 89694.81314930195, 4729.136552430238, 241.9777203243284]","[0, 0, 117, 117, 183, 197]","[17, 117, 156, 222, 222, 222]",0.05,30,556080097946.1276,96966.41459598111,-96966.41459598111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,96101.41459598111,0.0,-14.5,,0.0,180.12703704127733,,,30251.052453531767,,,,,,,,,,,0.0,,,,0.0,-19.0,30251.052453531767,177855.40563028152,30251.052453531767,,,,,,,88829.81314930195,96101.41459598111,0.0,-19.0,,,,,,16.0,,0.22245095626459668,0.11695535583372368,0.5440675503585067,0.4032437366508304,0.8009662195096208,0.3860015669887701,0.7472496532039002,0.10171823767602363,,0.07251249000222966,0.41106815228052457,0.41106815228052457,0.4110681522805245,0.7359772917818491,0.3750744996018024,0.6000000000000001,,0.08888888888888888,0.12121212121212123,0.2772635957596395,0.2772635957596395,0.24999999999999997,1.3691565190589237,0.5290488956194311,5,1.5243551850723034,0.6740846933561929,7,0,0,0.3359497449873119,0.5157794471930525,7,1,0.11111111111111112,0.409776104005191,0.7373100599511313,7,1.0,0.9285714285714286,6.5,6.363636363636364,0.7321428571428572,5,gaus,6.75,6.5,4.166190448976482,8,0.48214285714285715,1.0,0.36249999999999993,1,4.0,5
smoothed,gaus8,20.377799446919283,0.6514472075010191,580.2978676666887,-34.441044861380405,223,110,39676.76999354955,,False,13.513525360272581,366022.84634806454,0.02137930281731715,3.6067444232695e-06,0.47379970410564304,8,21790.64486790626,249.1784787889883,80350.77740706787,"[15, 32, 58, 73, 149, 175, 190, 199]","[1164.5216136795643, 77759.9955700394, 565.4860560683592, 249.1784787889883, 7053.000069645277, 80350.77740706787, 6045.543981240742, 1136.6557667198576]","[0, 0, 54, 72, 117, 117, 183, 196]","[18, 117, 117, 117, 156, 222, 222, 222]",0.05,30,467247118277.5951,98825.08945386138,-98825.08945386138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,97960.08945386138,0.0,-9.0,,0.0,246.84514545565497,,,21562.46304972444,,,,,,,,,,,0.0,,,,0.0,-18.0,21562.46304972444,169305.15894325008,21562.463049724436,,,,,,,79485.77740706787,97960.08945386138,0.0,-18.0,,,,,,14.0,,0.1851001129129285,0.09721740590787221,0.5890153018971168,0.22767896949606908,0.8007839846887543,0.32723948811700193,0.7860119376476463,0.10819653614612172,,0.10060550003196057,0.22386535835699922,0.22386535835699922,0.2238653583569991,0.6940078802696504,0.31581529623690624,0.4,,0.1333333333333333,0.18181818181818182,0.28619977430323973,0.28619977430323973,0.46153846153846145,1.1348748143283054,0.43852127848712213,9,1.44091509864123,0.6371866753441793,9,0,0,0.2942595230754975,0.4517729702366749,10,1,0.11111111111111112,0.38459991154613327,0.6920105420195197,10,0.5773502691896257,0.9587606950578839,9.5,9.473684210526317,0.6400946332432276,6,gaus,6.75,6.5,4.166190448976482,8,0.48214285714285715,1.0,0.36249999999999993,1,4.75,6
smoothed,gaus1,22.126120106107624,0.6003668976763147,1235.7119021013677,-44.230134782588514,223,110,112003.525342619,,False,13.477703373623363,2234328.574417469,0.02073934397275138,6.633956452741857e-06,0.040859161034165384,2,16468.967561858837,2385.1510816769733,30552.7840420407,"[109, 217]","[30552.7840420407, 2385.1510816769733]","[3, 3]","[127, 222]",0.05,10,4419022081546.936,247291.5202193904,-247291.5202193904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,246426.5202193904,0.0,-21.0,,0.0,2382.81774834364,,,16240.78574367702,,,,,,,,,,,20.0,,,,0.0,-21.0,16240.78574367702,27917.935123717674,16240.78574367702,,,,,,,29687.7840420407,246426.5202193904,0.0,-21.0,,,,,,20.0,,0.803602072988082,0.21456498207071373,0.006331105044198981,0.16547167424519105,0.9799178895806252,0.0,0.0,1.0000000000000002,,1.0,0.10920545054561742,0.10920545054561742,0.1092054505456174,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,1.1982849054910556,0.46302325341387385,8,1.2819435614570662,0.5668879149604129,11,0,0,0.3606346959697377,0.5536779441012255,5,1,0.11111111111111112,0.39068040993554576,0.7029511815253648,9,2.5,0.8214285714285714,8.25,7.589841878294203,0.6160714285714286,7,gaus,6.75,6.5,4.166190448976482,8,0.48214285714285715,1.0,0.36249999999999993,1,5.5,7
smoothed,gaus5,20.445429556242786,0.6562168772931105,667.7599884782067,-35.931774251156945,223,110,46822.19752604817,,False,13.660629007157645,421632.0113273094,0.018843706586566072,3.2275212693230024e-06,0.08330206337043379,5,30349.517894935758,92.69864313630387,145049.4761665677,"[51, 69, 89, 97, 217]","[1721.5169213281479, 1054.8230902738433, 145049.4761665677, 92.69864313630387, 3829.074653372809]","[3, 3, 3, 96, 3]","[54, 72, 138, 138, 222]",0.05,30,653745183193.0361,99363.38749293122,-99363.38749293122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,98498.38749293122,0.0,-19.5,,0.0,90.36530980297056,,,30121.336076753938,,,,,,,,,,,0.0,,,,0.0,-19.5,30121.336076753938,146727.5894746788,30121.336076753938,,,,,,,144184.4761665677,98498.38749293122,0.0,-19.5,,,,,,17.0,,0.24620420797561715,0.08251710823886285,0.5002813680791115,0.48313437133821996,0.8077134032183091,0.3577957691303217,0.07705591088338515,0.13474061038698926,,0.03471649782676345,0.408273306417535,0.408273306417535,0.4082733064175349,0.5831844925176993,0.7261297955601593,0.7000000000000001,,0.06666666666666665,0.09090909090909093,0.28878781565237804,0.28878781565237804,0.057692307692307654,1.4553292327197282,0.56234646120829,4,1.272046019150354,0.5625111254587696,12,0,0,0.33847453347750395,0.5196557234253795,6,1,0.11111111111111112,0.3306247881007965,0.5948931134667634,12,4.123105625617661,0.7054924553130242,8.5,6.857142857142858,0.5491747990850835,9,gaus,6.75,6.5,4.166190448976482,8,0.48214285714285715,1.0,0.36249999999999993,1,7.0,8
smoothed,morl,19.909186062696,0.6509987770077457,432.50916072291744,-30.922869246749848,223,110,25359.209274290006,,False,13.382416734303495,232945.83667928536,0.030991208422138226,1.923560218025399e-06,0.5916657357627497,9,18283.942576652786,442.80819811112815,72931.02645504984,"[14, 31, 65, 77, 149, 162, 170, 190, 201]","[5521.597508757317, 57121.01660882886, 4204.336081628126, 9577.306680371883, 72931.02645504984, 442.80819811112815, 1991.1259085209422, 8425.197754654928, 4341.067993952089]","[0, 0, 53, 53, 118, 161, 167, 183, 196]","[20, 118, 71, 118, 222, 167, 222, 222, 222]",0.05,30,208625577607.95184,77316.45799052418,-77316.45799052418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,76451.45799052418,0.0,5.0,,0.0,440.47486477779483,,,18055.760758470966,,,,,,,,,,,0.0,,,,0.0,-17.5,18055.760758470966,159535.48318987509,18055.76075847097,,,,,,,72066.02645504984,76451.45799052418,0.0,-13.0,,,,,,13.0,,0.06266354949157513,0.03197004800958807,0.7984306151589988,0.0,0.7527695973054453,0.32436667537216035,1.0,0.04467452451873745,,0.1821372127295979,0.14831057772793457,0.14831057772793457,0.1483105777279346,0.6460528262176951,0.2687597687633574,0.3,,0.3555555555555555,0.21212121212121215,0.1827900949986628,0.1827900949986628,1.0,1.0954106960316885,0.42327214669628027,11,1.4314497269548299,0.6330009958954445,10,0,0,0.3145948748807122,0.4829935818581125,8,1,0.11111111111111112,0.3713038206765076,0.6680868884428943,11,1.4142135623730951,0.8989847455447789,10.0,9.83240223463687,0.5923495156295323,8,morl,8.0,8.0,,1,0.5714285714285714,,,6,7.5,9
smoothed,cgau8,12.562265113407177,0.7176110884631064,708.8032039268793,-33.335820357885716,223,110,37835.97155009299,-346850.69493548776,True,13.913737855777574,338846.34860828513,0.02526908019889064,2.659610272329886e-05,0.37013295196708934,8,15660.94776035942,1783.033815120245,55862.823913379994,"[14, 31, 60, 76, 149, 175, 190, 200]","[2281.2726646511255, 50825.176035548306, 2735.213753581331, 1783.033815120245, 55862.823913379994, 4544.678389892815, 5346.14484089988, 1909.238669801689]","[0, 0, 53, 71, 118, 158, 183, 196]","[19, 118, 118, 118, 222, 222, 222, 222]",0.05,30,365294727475.4476,68662.6611124422,-68662.6611124422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403835,,,67797.6611124422,0.0,-9.0,,0.0,1780.7004817869117,,,15432.765942177602,,,,,,,,,,,0.0,,,,0.0,-18.0,15432.765942177602,120267.58208287536,15432.765942177604,,,,,,,54997.823913379994,67797.6611124422,0.0,-18.0,,,,,,14.0,,0.1693585323610806,0.9883824276449735,0.654802505543673,0.9226749537992863,0.0,0.7511099503786892,0.5978029421583739,0.09522430443070729,0.5009820047537727,0.7464663370940666,0.09179600036260618,0.09179600036260618,0.09179600036260618,0.45330391953647997,0.1605144544910232,0.4,,0.1333333333333333,0.18181818181818182,0.1411841768604123,0.1411841768604123,0.46153846153846145,0.9537620030353258,0.368538386492465,12,1.9795889489162806,0.8753934927168863,3,0,0,0.2578942535516824,0.3959418261685997,12,0,0.0,0.520037513452284,0.9357033913707266,3,5.196152422706632,0.6288462555209549,7.5,4.800000000000001,0.5465659849033346,10,cgau,10.0,10.0,,1,0.7142857142857143,,,2,8.0,10
