wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
coif16,1,reflect,4.0939493638757344e-26,313.1448855599565,8889763.590001708,0.6338028169014085,354.8963563236304,190,raw,1.4185144287263321e-13,-2.0950507995110226e-10,6.843304718026601,77209.07607284852,0.7331833263164826,3.883926862434345e-06,0.9999999999999998,350.5000000000002,,,,[],[],15,627.6666666666669,35.99999999999994,918.0000000000005,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[160.00000000000014, 751.0000000000002, 849.0000000000002, 826.0000000000005, 396.0000000000003, 795.0000000000005, 918.0000000000005, 457.00000000000057, 451.0000000000001, 35.99999999999994, 842.0000000000005, 848.0000000000002, 807.0000000000002, 918.0000000000001, 361.00000000000057]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.000000015,919.0000000000005,-919.0000000000005,0.0,,,,DWT,mdp.39015067403843,1.4901161193847656e-08,,0.0,45.5,10.0,0.0,32.0,,4.547473508864641e-13,50.18666666666684,5021.999999999996,51.33333333333363,,0.0,50.18666666666684,,,3.000000000000057,0.0,36.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.2821060326958494e-13,2.011867024885069e-26,0.9487425181991992,0.9908746926692991,0.002106628020562606,0.5817017535128322,0.0002555064248971485,0.9999999996985423,0.9999999994582689,6.539864265458571e-09,6.539864265458571e-09,4.615891802611744e-09,,6.735018151536114e-13,0.9999999934600886,1.4845485034396412e-13,,,,,,1.2050304310620896e-13,1.0,1.0,1.9431278852240051e-13,1.9431278852240051e-13,1.00000000187676,0.3767146840896663,118,1.6985190751189974,0.8236221258225697,101,0,0.3333333342179425,0.5188701593908394,118,0.0,0.44046013731568256,0.8053251609222657,115,8.12403840463596,0.9914031339633482,113.0,112.5308920727452,0.9359132071933143,1,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,1.5
coif6,1,periodization,2.3002751526787867e-26,315.6485123451862,6467228.026611469,0.6631578947368421,366.7436757724413,190,raw,1.0562063059348715e-13,-1.989310938199671e-10,6.297273241707314,78190.71301939058,0.7141942458952194,3.883926862434345e-06,0.9999999999999998,350.49999999999994,,,,[],[],15,627.6666666666669,36.0,918.0000000000007,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[160.0, 751.0, 849.0000000000003, 826.0000000000001, 396.00000000000057, 795.0000000000003, 918.0000000000007, 457.0000000000007, 450.9999999999997, 36.0, 842.0000000000001, 847.9999999999997, 806.9999999999999, 918.0000000000001, 360.9999999999998]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.0,919.0000000000006,-919.0000000000006,0.0,,,,DWT,mdp.39015067403843,0.0,,0.0,45.5,10.0,0.0,32.0,,5.684341886080801e-13,50.18666666666684,5021.999999999996,51.333333333333435,,0.0,50.18666666666684,,,3.0,0.0,36.5,6.821210263296962e-13,5.684341886080801e-13,,5.684341886080802e-14,9.037841530597794e-14,1.092735416501622e-26,0.9579927577669377,0.8063207223937305,0.00019708200540575522,0.770099807823445,0.00030826554350460287,0.999999999698684,0.9999999994582209,6.539864265458571e-09,6.539864265458571e-09,4.615738957762529e-09,,1.6837545378840285e-13,0.9999999934600886,2.2268227551594617e-13,,,,,,0.0,1.0,1.0,2.4289098565300066e-13,2.4289098565300066e-13,1.0000000018764437,0.3767146840895471,135,1.6862177860860112,0.8176571567079332,124,0,0.33333333421788786,0.5188701593907543,128,0.0,0.44186482940397476,0.8078934611751428,107,11.902380714238083,0.9874048881330814,123.5,122.58575804513843,0.9283585287226253,2,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,2.25
coif16,1,antireflect,3.745797643864994e-26,313.5308671063171,8690039.36016851,0.6267605633802817,340.9295174478647,190,raw,1.3152052546454227e-13,-2.1012169781897897e-10,6.825119662801889,191312.53305225156,0.8925181655196172,3.883926862434345e-06,0.9999999999999998,350.5000000000002,,,,[],[],15,627.6666666666669,35.99999999999994,918.0000000000005,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[159.99999999999994, 751.0000000000005, 849.0000000000002, 826.0000000000007, 396.0000000000002, 795.0000000000005, 918.0000000000005, 457.00000000000057, 451.0000000000001, 35.99999999999994, 842.0000000000005, 848.0000000000002, 807.0000000000002, 917.9999999999999, 361.00000000000017]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.000000015,919.0000000000005,-919.0000000000005,0.0,,,,DWT,mdp.39015067403843,1.4901161193847656e-08,,0.0,45.5,10.0,0.0,32.0,,4.547473508864641e-13,50.18666666666684,5021.999999999996,51.3333333333336,,0.0,50.18666666666684,,,3.000000000000057,0.0,36.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.1742306678798198e-13,1.8334638074125964e-26,0.950168618045081,0.9847282994906051,0.0019491968509353062,0.536505250584781,0.0063881177141350935,0.999999999698534,0.9999999994582689,6.539864265458571e-09,6.539864265458571e-09,4.6158691589303795e-09,,6.735018151536114e-13,0.9999999934600886,1.4845485034396412e-13,,,,,,1.2050304310620896e-13,1.0,1.0,1.9431278852240051e-13,1.9431278852240051e-13,1.0000000018767532,0.3767146840896637,120,1.6805972661968342,0.8149317327741291,131,0,0.3333333342179406,0.5188701593908364,120,0.0,0.4349674352980236,0.7952824561199037,146,12.311918344975057,0.9869715149788624,129.25,128.41268953169586,0.9250995141031878,3,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,3.0
coif16,1,smooth,4.1426058893198165e-26,313.09357404519824,1077967553.76354,0.5774647887323944,341.5716669884316,190,raw,1.3588194896759604e-13,-2.1089674451246987e-10,4.802455342858669,15029242.79102454,0.9990858076054845,3.883926862434346e-06,0.9999999999999998,350.5,,,,[],[],15,627.6666666666667,35.99999999999994,918.0000000000005,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[160.0, 751.0000000000003, 849.0000000000002, 826.0000000000001, 396.0, 795.0000000000005, 918.0000000000005, 457.00000000000057, 451.0000000000001, 35.99999999999994, 842.0000000000003, 848.0000000000003, 807.0000000000001, 918.0000000000003, 361.0000000000007]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.000000015,919.0000000000005,-919.0000000000005,0.0,,,,DWT,mdp.39015067403843,1.4901161193847656e-08,,0.0,45.5,10.0,0.0,32.0,,4.547473508864641e-13,50.186666666666724,5021.999999999998,51.33333333333361,,0.0,50.186666666666724,,,3.000000000000057,0.0,36.5,4.547473508864641e-13,4.547473508864641e-13,,0.0,1.2197726205374465e-13,2.0368000646815913e-26,0.9485529357075524,0.30108505368992533,0.8447994103141865,0.22012973008842235,0.8038684133846846,0.9999999996985236,0.9999999994582689,6.539785730227879e-09,6.539785730227879e-09,4.6158804807710614e-09,,0.0,0.9999999934601723,1.4845485034396412e-13,,,,,,1.2050304310620896e-13,1.0,1.0,1.9431278852240051e-13,1.9431278852240051e-13,1.0000000018764146,0.3767146840895361,143,1.9516732506952763,0.9463781097283656,3,0,0.3333333342178793,0.518870159390741,131,0.0,0.5148044428604271,0.9412542377085382,3,77.51988992080247,0.9179683704541772,70.0,5.87118679481822,0.9219471481900516,4,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,3.75
coif16,1,antisymmetric,3.925112785850882e-26,313.32778882310333,8793876.977343047,0.6232394366197183,361.47271222581236,190,raw,1.33825114732501e-13,-2.109242780434805e-10,6.869608536557191,196963.65886327878,0.8930504283911569,3.883926862434345e-06,0.9999999999999998,350.5000000000002,,,,[],[],15,627.6666666666669,35.99999999999994,918.0000000000005,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[159.99999999999994, 751.0000000000007, 849.0000000000003, 825.9999999999999, 396.00000000000034, 795.0000000000005, 918.0000000000005, 457.00000000000057, 451.0000000000001, 35.99999999999994, 842.0000000000005, 848.0000000000002, 807.0000000000003, 918.0000000000002, 361.00000000000034]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.000000015,919.0000000000005,-919.0000000000005,0.0,,,,DWT,mdp.39015067403843,1.4901161193847656e-08,,0.0,45.5,10.0,0.0,32.0,,4.547473508864641e-13,50.18666666666684,5021.999999999996,51.33333333333361,,0.0,50.18666666666684,,,3.000000000000057,0.0,36.5,4.547473508864641e-13,4.547473508864641e-13,,2.2737367544323206e-13,1.19829517233878e-13,1.9253501788796935e-26,0.949418297437467,0.9997651584277051,0.0020310460964512453,0.5139069991207548,0.006691843463231944,0.9999999996985233,0.9999999994582689,6.539864265458571e-09,6.539864265458571e-09,4.6158804807710614e-09,,6.735018151536114e-13,0.9999999934600886,1.4845485034396412e-13,,,,,,1.2050304310620896e-13,1.0,1.0,1.9431278852240051e-13,1.9431278852240051e-13,1.0000000018767565,0.37671468408966496,119,1.6787886176375981,0.8140547081984,136,0,0.3333333342179415,0.5188701593908378,119,0.0,0.4339766680305317,0.7934709645874529,154,16.713268182295565,0.9823140019234967,132.0,130.49221183800623,0.9213157311204785,5,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,4.5
db36,1,smooth,3.2438562448115677e-26,314.15569423061845,1097938938.7816217,0.5692307692307692,330.02528370413347,190,raw,1.3089412594749063e-13,-1.8240864374519325e-10,4.471083346531061,16294046.192947583,0.9990757803592187,3.883926862434349e-06,1.0,350.5000000000001,,,,[],[],15,627.6666666666666,35.999999999999986,918.0000000000005,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[160.00000000000017, 750.9999999999995, 848.9999999999999, 825.9999999999998, 396.00000000000006, 795.0000000000002, 918.0000000000005, 457.00000000000017, 450.99999999999983, 35.999999999999986, 841.9999999999995, 848.0, 807.0000000000005, 917.9999999999998, 360.99999999999955]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.0,919.0000000000005,-919.0000000000005,0.0,,,,DWT,mdp.39015067403843,0.0,,0.0,45.5,10.0,0.0,32.0,,4.547473508864641e-13,50.18666666666661,5022.0,51.333333333333286,,0.0,50.18666666666661,,,3.000000000000014,0.0,36.5,4.547473508864641e-13,4.547473508864641e-13,,1.1368683772161603e-13,1.1676898086556807e-13,1.576254219101491e-26,0.9524771892036527,0.1890841522535387,0.8605417091083766,0.16728458820331615,0.8718466134027608,0.9999999996989055,0.9999999994582329,6.539707194997186e-09,6.539707194997186e-09,4.615620078435362e-09,,3.367509075768057e-13,0.9999999934602561,1.4845485034396412e-13,,,,,,0.0,1.0,1.0,1.9431278852240051e-13,1.9431278852240051e-13,1.0000000018764286,0.3767146840895414,140,1.9119517247251774,0.9271169026335219,4,0,0.33333333421786654,0.5188701593907211,137,0.0,0.5051542814838333,0.9236101489360704,4,77.66326888132724,0.9178166466864262,71.25,7.775412992804296,0.9212099106448004,6,db,396.812865497076,361.5,258.5209568150829,342,0.535670584891808,0.9064888631706707,0.3530839316245332,2,5.0
coif5,1,periodic,1.2469914607381643e-26,318.30767543284855,7202567.306974751,0.6559633027522935,382.7841057912931,190,raw,7.161522836739961e-14,-1.9198143075272118e-10,6.475496958732553,76948.02408498207,0.7251045553384403,3.883926862434348e-06,0.9999999999999998,350.5000000000001,,,,[],[],15,627.6666666666666,35.999999999999986,918.0000000000002,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[159.99999999999994, 751.0, 849.0, 826.0000000000002, 395.9999999999999, 795.0000000000001, 918.0000000000002, 456.9999999999998, 451.0000000000002, 35.999999999999986, 842.0000000000005, 848.0000000000002, 807.0, 918.0, 361.0]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.0,919.0000000000002,-919.0000000000002,0.0,,,,DWT,mdp.39015067403843,0.0,,0.0,45.5,10.0,0.0,32.0,,2.2737367544323206e-13,50.18666666666661,5022.0,51.33333333333343,,0.0,50.18666666666661,,,3.000000000000014,0.0,36.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,5.4869998909365894e-14,5.530017637490374e-27,0.9678176628828603,0.8665588148861201,0.0007767078378707044,0.723925611350644,0.00024147590899300045,0.9999999996987772,0.9999999994582329,6.539707194997186e-09,6.539707194997186e-09,4.615733296842188e-09,,3.367509075768057e-13,0.9999999934602561,7.422742517198206e-14,,,,,,0.0,1.0,1.0,9.715639426120026e-14,9.715639426120026e-14,1.0000000018763868,0.3767146840895257,152,1.7040251938750939,0.8262920759581664,98,0,0.33333333421785355,0.5188701593907009,153,0.0,0.444915034070665,0.8134703712197575,98,31.468237955119125,0.9667002772961703,125.25,119.32085547498757,0.9170802973782439,7,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,6.0
coif5,1,symmetric,1.2246974211767183e-26,318.38602219414605,7114578.07921788,0.6467889908256881,382.7841057912931,190,raw,7.299891685282719e-14,-1.921794945403143e-10,6.5144919621573525,75172.51389033797,0.7094728915448982,3.883926862434347e-06,1.0,350.5000000000001,,,,[],[],15,627.6666666666666,35.999999999999986,918.0000000000002,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[160.0, 751.0, 849.0, 826.0000000000002, 395.9999999999999, 795.0000000000001, 918.0000000000002, 456.9999999999998, 451.0000000000002, 35.999999999999986, 842.0000000000005, 848.0000000000002, 807.0, 917.9999999999999, 361.0]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.0,919.0000000000002,-919.0000000000002,0.0,,,,DWT,mdp.39015067403843,0.0,,0.0,45.5,10.0,0.0,32.0,,2.2737367544323206e-13,50.18666666666661,5022.0,51.33333333333342,,0.0,50.18666666666661,,,3.000000000000014,0.0,36.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,5.6314845424548916e-14,5.4157763984093816e-27,0.9681071334683461,0.8797387926256232,0.0007073509698936147,0.6650457634994218,0.00014604923085302987,0.9999999996987745,0.9999999994582329,6.539707194997186e-09,6.539707194997186e-09,4.6157276359218465e-09,,3.367509075768057e-13,0.9999999934602561,7.422742517198206e-14,,,,,,0.0,1.0,1.0,9.715639426120026e-14,9.715639426120026e-14,1.000000001876385,0.376714684089525,155,1.6871640768504028,0.8181160187969325,122,0,0.333333334217853,0.5188701593907,158,0.0,0.4392181361866211,0.803054320329919,127,18.627936010197157,0.9802878984019078,140.5,138.64114540934514,0.9158053248623295,8,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,6.75
db30,1,periodic,1.7887246646107394e-26,316.74087527281915,8142996.422109835,0.6290322580645161,373.94101183999413,190,raw,9.762483219482857e-14,-1.897683121754334e-10,6.724401303228222,78326.30110340807,0.7391660343625446,3.883926862434347e-06,0.9999999999999998,350.5000000000001,,,,[],[],15,627.6666666666666,36.000000000000014,918.0000000000003,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[160.0, 751.0000000000002, 849.0000000000001, 825.9999999999999, 395.99999999999983, 794.9999999999999, 918.0000000000003, 456.99999999999994, 450.99999999999966, 36.000000000000014, 842.0000000000003, 848.0, 806.9999999999999, 917.9999999999995, 361.00000000000006]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.0,919.0000000000003,-919.0000000000003,0.0,,,,DWT,mdp.39015067403843,0.0,,0.0,45.5,10.0,0.0,32.0,,3.410605131648481e-13,50.18666666666661,5022.0,51.33333333333333,,0.0,50.18666666666661,,,2.999999999999986,0.0,36.5,3.410605131648481e-13,3.410605131648481e-13,,1.1368683772161603e-13,8.202920840422506e-14,8.306018473549922e-27,0.9620287502060401,0.950686355124575,0.0015179942389795264,0.5510847676583456,0.000315552868856033,0.9999999996988068,0.9999999994582089,6.539707194997186e-09,6.539707194997186e-09,4.61565404395741e-09,,3.367509075768057e-13,0.9999999934602561,1.1134113775797309e-13,,,,,,0.0,1.0,1.0,1.457345913918004e-13,1.457345913918004e-13,1.0000000018763935,0.3767146840895282,149,1.6738795528958292,0.8116742731490421,144,0,0.3333333342178561,0.5188701593907049,146,0.0,0.4332041774744606,0.7920585641709925,166,10.04572877727976,0.9893695991774817,151.25,150.77688566205308,0.9146583445622858,9,db,396.812865497076,361.5,258.5209568150829,342,0.535670584891808,0.9064888631706707,0.3530839316245332,2,7.25
coif15,1,reflect,3.0826624833884566e-26,314.37705045767467,8743273.542211425,0.6258992805755396,349.5066482050173,190,raw,1.1750133030306502e-13,-1.921507397639765e-10,6.799612890275807,77616.2948194607,0.7367388423946982,3.883926862434347e-06,0.9999999999999998,350.5000000000001,,,,[],[],15,627.6666666666667,35.99999999999997,917.9999999999994,"[3, 13, 27, 41, 57, 66, 82, 91, 102, 114, 134, 151, 164, 174, 185]","[159.9999999999998, 750.9999999999998, 848.9999999999998, 825.9999999999999, 396.00000000000034, 794.9999999999999, 917.9999999999994, 457.0000000000001, 450.9999999999999, 35.99999999999997, 842.0000000000005, 848.0000000000006, 807.0000000000006, 917.9999999999993, 360.9999999999998]","[0, 9, 26, 30, 56, 56, 30, 88, 101, 113, 117, 117, 158, 117, 183]","[4, 26, 30, 56, 58, 75, 189, 117, 117, 117, 139, 170, 170, 189, 189]",40725902.0,918.9999999999994,-918.9999999999994,0.0,,,,DWT,mdp.39015067403843,0.0,,0.0,45.5,10.0,0.0,32.0,,5.684341886080801e-13,50.186666666666724,5021.999999999998,51.333333333333385,,0.0,50.186666666666724,,,3.0000000000000284,0.0,36.5,5.684341886080801e-13,5.684341886080801e-13,,1.1368683772161603e-13,1.0278423334529997e-13,1.4936537779102596e-26,0.9532950419851298,0.9761072284667587,0.001991158307240172,0.5309776207302708,0.00027739282824349056,0.9999999996987748,0.9999999994582449,6.539785730227879e-09,6.539785730227879e-09,4.61569933132014e-09,,3.367509075768057e-13,0.9999999934601723,1.8556856292995513e-13,,,,,,0.0,1.0,1.0,2.4289098565300066e-13,2.4289098565300066e-13,1.0000000018764992,0.376714684089568,127,1.6735282238810236,0.8115039115945113,147,0,0.3333333342178914,0.5188701593907599,127,0.0,0.43283105525206506,0.7913763577955742,169,20.024984394500787,0.9788095403232796,142.5,140.5090739050079,0.9140079447648144,10,coif,422.22222222222223,390.0,285.18933581913126,144,0.5699715014249287,1.0,0.3010199490025499,3,8.25
