wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,antireflect,0.3632508401963136,62.136767844759156,6388669.231796424,0.524,111.85216227788344,190,smoothed,0.48301838523788143,,6.552655491483288,133190.28045337333,0.9937460595331143,0.00010087653939677936,0.9999972045954364,373.8669511381343,,,,[],[],13,406.45779352436915,90.2249982926304,771.4237526555283,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[465.77730203098963, 289.1622350290886, 317.84843110979557, 435.19793349706083, 90.2249982926304, 424.39139783319763, 690.1812004038715, 394.16999348384707, 401.4237647127986, 265.201544888818, 314.6022681307159, 771.4237526555283, 424.34649374845776]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 189, 189]",31413780.810568385,771.4237526555283,-771.4237526555283,0.0,,,,DWT,mdp.39015067403843,46971.6505683884,,0.0,36.0,7.0,0.0,45,,0.6237526555283921,130.8277935243691,228.64868418320202,130.8277935243692,,0.0,130.8277935243691,,,89.0249982926304,0.0,45.0,0.6237526555283921,0.6237526555283921,,0.4669511381343341,1.0,1.0,0.0,0.7065053220003727,0.6972293282455702,0.09685133519330438,0.8703681817621751,1.0,1.0,1.0,1.0000000000000002,,1.0,0.0,0.3809107104801331,,,,,,1.0,0.0,1.0,0.9919017233110857,0.9919017233110857,2.887216044564501,1.0,1,1.9887551319051633,1.0,1,0,0.7803928464251919,1.0,1,0,0.6244220238859175,0.9998171463865719,2,0.5,0.9994708994708995,1.25,1.1428571428571428,0.9990740740740741,1,dmey,31.77777777777778,5.0,64.92452883498227,9,0.04815028133445572,0.23293905655200667,0.8964130861002789,1,1.0
dmey,1,antisymmetric,0.3509396601067661,62.286509608439815,6370947.218261839,0.532,107.62767840017159,190,smoothed,0.4785543897394232,,6.541387676240872,131585.02683881755,0.9933280759266647,0.00010093048727395473,0.9999972946343005,373.8265789469283,,,,[],[],13,406.4573646639777,90.2249982926304,771.4505457584594,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[465.68348509176485, 289.1622349383478, 317.8484311089685, 435.19793349706174, 90.2249982926304, 424.39139783319763, 690.1812004038715, 394.16999348384707, 401.4237647127986, 265.2015448888411, 314.6022670940228, 771.4505457584594, 424.4079435278991]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 189, 189]",31412609.701318316,771.4237523152273,-771.4237523152273,0.0,,,,DWT,mdp.39015067403843,45800.54131831974,,0.0,36.0,7.0,0.0,45,,0.623752315227307,130.82736466397768,228.6542593682907,130.82736466397773,,0.0,130.82736466397768,,,89.0249982926304,0.0,45.0,0.6505457584594296,0.623752315227307,,0.4265789469283163,0.9907581250840796,0.966108323155167,0.0005695476572202818,0.6899719109657343,0.6885219447494173,0.17895575926664045,0.8568679472582859,1.0,0.9995695275183138,0.9995695275183138,0.9995695275179474,,0.9135408656089338,0.00043047248169936214,0.3972726125625913,,,,,,0.9750677432898895,0.0,1.0,0.9919011821587077,0.9919011821587077,2.8395288946014126,0.9834833454694654,2,1.9808105704802024,0.9960052591203874,2,0,0.772401886734592,0.9897603370825286,2,0,0.624536222590935,1.0,1,0.5,0.9994708994708995,1.75,1.6,0.9988095238095238,2,dmey,31.77777777777778,5.0,64.92452883498227,9,0.04815028133445572,0.23293905655200667,0.8964130861002789,1,1.75
dmey,1,symmetric,0.2692193376668379,63.43777160499676,6370538.011780455,0.532,107.62767840017159,190,smoothed,0.4289821095343396,,6.5391328521802095,33333.084466373206,0.973467012138087,0.00010087798329585186,0.9999985405934273,373.43759103154883,,,,[],[],13,406.41688069700007,90.2249982926304,772.4032192849332,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[465.35351300787227, 289.16223698334875, 317.84843110501726, 435.1979334970604, 90.2249982926304, 424.39139783319763, 690.1812004038715, 394.16999348384707, 401.4237647127986, 265.20154488965545, 314.60226740197504, 772.4032192849332, 423.25894816479246]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 188, 188]",31395552.953834374,771.428845218099,-771.428845218099,0.0,,,,DWT,mdp.39015067403843,28743.79383437708,,0.0,36.0,7.0,0.0,45,,0.6288452180990589,130.78688069700002,229.18055093900057,130.786880697,,0.0,130.78688069700002,,,89.0249982926304,0.0,45.0,1.6032192849332887,0.6288452180990589,,0.03759103154885679,0.8881279111623626,0.7411389262619249,0.004948410019119831,0.6866633784593279,0.6883208887150356,0.17895575926664045,0.030565953315929224,1.0,0.9589333809263261,0.9589333809263261,0.9589333808966517,,0.08050313722127063,0.04106661907370812,0.9790473699259348,,,,,,0.6119391906939173,0.0,1.0,0.9999999999999999,0.9999999999999999,2.5193182012822066,0.8725769607802983,8,1.485391593737545,0.7468951656781334,36,0,0.7157797049720113,0.9172043391361681,8,0,0.45981731817147725,0.7362540418614807,20,13.2664991614216,0.9859613765487603,18.0,12.203389830508474,0.9834568787505706,3,dmey,31.77777777777778,5.0,64.92452883498227,9,0.04815028133445572,0.23293905655200667,0.8964130861002789,1,2.5
dmey,1,periodic,0.2645594656691111,63.513601072050875,6379239.344344428,0.528,107.62767840017159,190,smoothed,0.4209565373282736,,6.543518524070271,33323.43245265061,0.972971006026028,0.00010089991394087578,0.9999986416058003,373.3670354279117,,,,[],[],13,406.4492789844677,90.2249982926304,772.4329511883274,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[465.62840378779356, 289.162238710981, 317.84843110656254, 435.1979334970596, 90.2249982926304, 424.39139783319763, 690.1812004038715, 394.16999348384707, 401.4237647127986, 265.20154488946014, 314.60226702412353, 772.4329511883274, 423.3755018674275]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 189, 189]",31395720.283574913,771.4275929436253,-771.4275929436253,0.0,,,,DWT,mdp.39015067403843,28911.123574916273,,0.0,36.0,7.0,0.0,45,,0.6275929436253591,130.81927898446764,228.75937320192133,130.81927898446773,,0.0,130.81927898446764,,,89.0249982926304,0.0,45.0,1.6329511883274108,0.6275929436253591,,0.03296457208830361,0.8715124521004598,0.7283106778944649,0.005236829857696246,0.6930985315445943,0.6925961274972552,0.13790354722997242,0.030484779570230557,1.0,0.9914534538626173,0.9914534538626173,0.9914534538564429,,0.07059533513508699,0.008546546137413236,0.9972039266081472,,,,,,0.6155015466791636,0.0,1.0,0.9980086125525683,0.9980086125525683,2.537435230775436,0.8788518737807773,6,1.4617849005224404,0.7350250802983963,45,0,0.7218520784372188,0.9249855143391748,6,0,0.4513061350992391,0.7226260363681741,22,18.445866745696716,0.980480564290268,19.75,9.974811083123427,0.9797905466953986,4,dmey,31.77777777777778,5.0,64.92452883498227,9,0.04815028133445572,0.23293905655200667,0.8964130861002789,1,3.25
dmey,1,reflect,0.26244347799400713,63.548476274189994,6386945.574722775,0.524,107.62767840017159,190,smoothed,0.42175028644669527,,6.551389748759992,32402.242051067977,0.9725960488392357,0.00010093192963355225,0.9999985668148561,373.39721884034276,,,,[],[],13,406.41703010230725,90.2249982926304,772.4375298419468,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[465.2596960686476, 289.1622368926081, 317.84843110419035, 435.1979334970612, 90.2249982926304, 424.39139783319763, 690.1812004038715, 394.16999348384707, 401.4237647127986, 265.20154488967864, 314.60226636528205, 772.4375298419468, 423.320397944234]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 189, 189]",31394382.896295194,771.428844877798,-771.428844877798,0.0,,,,DWT,mdp.39015067403843,27573.73629519716,,0.0,36.0,7.0,0.0,45,,0.6288448777980875,130.7870301023072,229.17860867000672,130.78703010230723,,0.0,130.7870301023072,,,89.0249982926304,0.0,45.0,1.6375298419468436,0.6288448777980875,,0.0027811596572178132,0.8731557624643723,0.7224855360339246,0.005369478820718809,0.7046480813323166,0.6963824412297792,0.09685133519330438,0.022737538678616692,1.0,0.9590833478494709,0.9590833478494709,0.9590833478199615,,0.005955997169917422,0.04091665215052809,1.0000000000000002,,,,,,0.5870293243166144,0.0,1.0,0.9999994588478028,0.9999994588478028,2.480125783413322,0.859002494143945,9,1.447010548481914,0.727596135526109,47,0,0.7092625779042974,0.908853254041568,9,0,0.4459471676790048,0.7140453212288629,24,17.95132307101624,0.9810038909301415,22.25,14.026943005181348,0.978729458692584,5,dmey,31.77777777777778,5.0,64.92452883498227,9,0.04815028133445572,0.23293905655200667,0.8964130861002789,1,4.0
coif16,1,antisymmetric,2.7741215453786136e-26,313.30757926631577,6863346.840561289,0.528169014084507,109.01046694234958,190,smoothed,1.1812772982011666e-13,-2.0507806564040772e-10,6.717210274164022,146408.9742321184,0.9942041161307017,0.00010135216729749392,1.0,373.4000000000001,,,,[],[],13,405.4615384615385,90.20000000000039,770.8000000000003,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[463.99999999999994, 288.4000000000002, 317.0, 434.19999999999993, 90.20000000000039, 423.3999999999997, 688.8000000000002, 393.4, 400.19999999999993, 264.00000000000017, 314.00000000000017, 770.8000000000003, 422.60000000000014]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 187, 187]",31366809.16000001,770.8000000000003,-770.8000000000003,0.0,,,,DWT,mdp.39015067403843,1.4901161193847656e-08,,0.0,45.0,7.0,0.0,45,,3.410605131648481e-13,129.83153846153846,241.60000000000036,129.83153846153854,,0.0,129.83153846153846,,,89.00000000000038,0.0,45.0,3.410605131648481e-13,3.410605131648481e-13,,1.1368683772161603e-13,1.959316014508007e-13,7.125660320601922e-26,0.9553363316351032,0.9479586828554978,0.9304533898617326,0.13963814773856337,0.9815378213941935,1.1085222512166967e-07,4.976405607860763e-09,4.976405607860763e-09,4.257258000549643e-09,,2.434662396923213e-13,0.999999995023568,2.0827743374701773e-13,,,,,,3.1723733387125286e-13,1.0,1.0,5.423600328803367e-13,5.423600328803367e-13,0.7000000350310737,0.24244809679168278,40,1.9608782229928385,0.9859827343924339,4,0,0.2500000100073096,0.32035148855157336,40,0,0.5649891962121839,0.9046540068857563,3,21.07723890835799,0.977696043483219,21.75,6.315789473684211,0.977340085233673,6,coif,373.4861111111111,372.5,248.12708186894616,144,0.5659131186035178,0.8902411675941526,0.33678846669929174,4,5.5
db35,1,periodic,1.7004054584219954e-26,315.4333092155345,6663154.2701805495,0.5348837209302325,113.44452087032478,190,smoothed,9.139823401040445e-14,-1.8209067587093862e-10,6.603381924256086,32262.701865439434,0.9727413114666963,0.00010135216729749404,1.0,373.4,,,,[],[],13,405.4615384615386,90.20000000000027,770.7999999999997,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[464.0, 288.4, 316.99999999999994, 434.19999999999993, 90.20000000000027, 423.39999999999986, 688.8000000000003, 393.40000000000043, 400.2000000000002, 263.9999999999999, 314.00000000000045, 770.7999999999997, 422.6000000000002]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 187, 187]",31366809.15999998,770.7999999999997,-770.7999999999997,0.0,,,,DWT,mdp.39015067403843,1.4901161193847656e-08,,0.0,45.0,7.0,0.0,45,,2.2737367544323206e-13,129.83153846153857,241.59999999999945,129.83153846153857,,0.0,129.83153846153857,,,89.00000000000027,0.0,45.0,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,1.405931368568505e-13,4.1698073172713746e-26,0.9634216144760505,0.7809368728653934,0.8320924739317299,0.20855154003726079,0.021564001231561714,1.1084767733807493e-07,4.976519722048382e-09,4.976519722048382e-09,4.2572865290965686e-09,,0.0,0.9999999950234978,1.388516224980118e-13,,,,,,3.1723733387125286e-13,1.0,1.0,3.6157335525355777e-13,3.6157335525355777e-13,0.7000000350295225,0.2424480967911455,47,1.476613858591763,0.742481482462456,40,0,0.25000001000689004,0.32035148855103573,47,0,0.4009380717917339,0.6419772901696758,47,3.5,0.9962962962962963,45.25,45.029940119760475,0.9742063492063493,7,db,358.8801169590643,327.5,242.72730728785353,342,0.5437818439590625,0.8708676208147804,0.3580924229842221,3,6.0
coif15,1,antisymmetric,2.2674552846928634e-26,314.18344680646,6672502.49637182,0.5287769784172662,109.01896847181678,190,smoothed,1.0774071693288684e-13,-1.9204418055807133e-10,6.677506525003071,140738.9237180457,0.9939014744651011,0.00010135216729749399,1.0,373.4,,,,[],[],13,405.46153846153845,90.20000000000027,770.8,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[464.0000000000001, 288.3999999999999, 317.0, 434.2000000000001, 90.20000000000027, 423.39999999999975, 688.7999999999998, 393.4000000000001, 400.2000000000006, 264.0000000000002, 313.9999999999998, 770.8, 422.5999999999998]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 187, 187]",31366809.160000008,770.8,-770.8,0.0,,,,DWT,mdp.39015067403843,1.1175870895385742e-08,,0.0,45.0,7.0,0.0,45,,0.0,129.8315384615384,241.60000000000127,129.8315384615385,,0.0,129.8315384615384,,,89.00000000000027,0.0,45.0,0.0,0.0,,0.0,1.744272173431133e-13,5.730849339815395e-26,0.958667722245596,0.889700858213232,0.836685551930306,0.14587771791335416,0.9338525142908283,1.1084767733807493e-07,4.976348550766954e-09,4.976348550766954e-09,4.257229472002718e-09,,0.0,0.9999999950236382,0.0,,,,,,2.3792800040343966e-13,1.0,1.0,0.0,0.0,0.7000000350292193,0.2424480967910405,55,1.870285931300852,0.9404304739664849,6,0,0.25000001000679,0.32035148855090756,56,0,0.5378263377990703,0.861161159824898,5,28.873286384938357,0.9694462577937161,30.5,9.932813759742006,0.9685855627592919,8,coif,373.4861111111111,372.5,248.12708186894616,144,0.5659131186035178,0.8902411675941526,0.33678846669929174,4,7.0
db38,1,antisymmetric,2.258852548926453e-26,314.1999552955361,6272747.552514765,0.5303030303030303,103.59960908343524,190,smoothed,1.0641312392659812e-13,-1.829437046296792e-10,6.601146808198173,127730.14339442832,0.9933818044109183,0.00010135216729749407,1.0,373.4,,,,[],[],13,405.46153846153845,90.20000000000016,770.7999999999997,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[464.00000000000034, 288.3999999999999, 316.9999999999999, 434.2000000000001, 90.20000000000016, 423.4000000000001, 688.8000000000001, 393.3999999999999, 400.20000000000005, 263.9999999999997, 314.0000000000001, 770.7999999999997, 422.60000000000014]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 187, 187]",31366809.15999999,770.7999999999997,-770.7999999999997,0.0,,,,DWT,mdp.39015067403843,7.450580596923828e-09,,0.0,45.0,7.0,0.0,45,,2.2737367544323206e-13,129.8315384615384,241.60000000000127,129.8315384615385,,0.0,129.8315384615384,,,89.00000000000016,0.0,45.0,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,1.716786822006364e-13,5.707166708381531e-26,0.958730512819491,0.7776572581663102,0.6402733556607609,0.16153966931168984,0.824448253564703,1.108431295544802e-07,4.976348550766954e-09,4.976348550766954e-09,4.257229472002718e-09,,0.0,0.9999999950236382,1.388516224980118e-13,,,,,,1.5861866693562643e-13,1.0,1.0,3.6157335525355777e-13,3.6157335525355777e-13,0.7000000350280291,0.2424480967906283,58,1.6785987837558387,0.8440449791059974,13,0,0.25000001000647626,0.3203514885505055,57,0,0.480378435646161,0.7691762595502872,14,25.409971795865232,0.9731111409567563,35.5,21.84158559605053,0.9677725016953094,9,db,358.8801169590643,327.5,242.72730728785353,342,0.5437818439590625,0.8708676208147804,0.3580924229842221,3,7.5
db37,1,antisymmetric,1.5014414520468524e-26,315.9737501019622,6176701.718620215,0.5343511450381679,112.17042324350827,190,smoothed,9.200593503440978e-14,-1.9022159403192562e-10,6.588350433161209,124173.50168715353,0.9930165382066163,0.00010135216729749407,1.0,373.39999999999986,,,,[],[],13,405.4615384615385,90.20000000000016,770.8,"[13, 29, 41, 50, 59, 68, 84, 100, 130, 142, 152, 165, 180]","[464.0, 288.40000000000015, 317.0000000000001, 434.20000000000033, 90.20000000000016, 423.4, 688.8000000000001, 393.39999999999975, 400.20000000000005, 263.99999999999994, 313.99999999999983, 770.8, 422.60000000000025]","[1, 24, 24, 1, 1, 1, 1, 94, 117, 137, 117, 1, 170]","[24, 35, 46, 54, 63, 73, 117, 117, 137, 147, 156, 187, 187]",31366809.159999996,770.8,-770.8,0.0,,,,DWT,mdp.39015067403843,0.0,,0.0,45.0,7.0,0.0,45,,0.0,129.83153846153846,241.60000000000036,129.8315384615385,,0.0,129.83153846153846,,,89.00000000000016,0.0,45.0,0.0,0.0,,1.1368683772161603e-13,1.4185126914037853e-13,3.622075600346464e-26,0.9654771989246707,0.7588809715758911,0.5930830120073394,0.2030856854255977,0.7945367824680875,1.108431295544802e-07,4.976405607860763e-09,4.976405607860763e-09,4.257229472002718e-09,,2.434662396923213e-13,0.999999995023568,0.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.7000000350278568,0.2424480967905686,59,1.6543172983039345,0.8318355898944441,15,0,0.2500000100064151,0.3203514885504271,65,0,0.47358052148596125,0.7582915199398319,15,27.24579478255926,0.971168471129567,38.5,24.144805876180484,0.9652138651944131,10,db,358.8801169590643,327.5,242.72730728785353,342,0.5437818439590625,0.8708676208147804,0.3580924229842221,3,8.25
