signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,avg_prominence_diff,prominence_max_diff,upper_envelope_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,lower_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,max_autocorrelation_diff,prominence_threshold_diff,relative_num_peaks_diff,prominence_min_diff,distance_factor_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
smoothed,gaus6,19.800704290911785,0.7065179154731394,540.3618719718988,-31.070508168342528,201,99,28542.01117493367,,False,13.28032736300443,264311.34395456396,0.020600566386294424,1.8020585367853156e-06,0.5845219618116891,6,26203.61458961621,3577.286291100325,70216.31698586972,"[8, 32, 59, 69, 78, 164]","[5755.612632007615, 5097.559131843864, 70216.31698586972, 4589.849292718565, 3577.286291100325, 67985.06320415718]","[1, 18, 18, 65, 74, 120]","[18, 37, 120, 120, 120, 200]",0.05,30,261441533507.64413,87686.04788563192,-87686.04788563192,CWT,mdp.39015067403850,25846.691333910043,69339.5285015586,86727.38121896525,0.0,-19.0,0.0,-14.5,25840.94792294954,149243.0208710306,25840.94792294955,86727.38121896525,0.0,-19.0,,0.0,16.0,3569.9529577669914,0.0,0.4721344502630763,0.6519622944663902,0.6312009515340699,0.9937053593889484,0.4827386132869159,0.9395092567625816,0.7095943624000414,,0.737013864419088,0.9037406606714198,0.9037406606714197,0.9037406606714198,0.8282351199620721,0.518455582533791,1.0,,0.12903225806451613,0.0,0.9996114933955984,0.9996114933955984,0.0,2.520563928342626,0.8673372201112977,2,2.2071065112387656,0.978830195014887,3,0,0,0.6602651494820768,0.8320526072381891,2,1,0.11111111111111112,0.6083412517233155,0.9997343858287356,2,0.5,0.9642857142857143,2.25,2.181818181818182,0.9017857142857143,2,gaus,0.4642857142857143,1.0,0.37499999999999994,1,1.75,0.030329170128946044,0.4721344502630764,0.035677056744457265,0.6311693191275711,0.6149918755637382,0.9929922025154053,0.4606866002214838,0.9399705732432883,0.5471720554569657,,0.7373475916762081,0.9137200723183706,0.9138011443874869,0.9138011443874868,0.4402318033365517,0.5103043285620539,1.0,,0.11594202898550729,0.0,0.9792265280180299,0.9792265280180299,0.05555555555555558,2.333264976997042,0.8782436559560227,2,2.11416877418707,0.9018028948535958,2,0.0,1.0,2.0,2.0,0.9642857142857143,1,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,1.25,1
smoothed,gaus8,19.86125136510966,0.6847077742600131,559.5915413714358,-31.08708405368274,201,99,28741.31554503674,,False,13.311085304250621,281554.93208041287,0.01975879655218626,1.4777489385666434e-06,0.5968439519257921,6,28240.39430065126,4847.818159231501,76517.1979930393,"[7, 32, 60, 69, 78, 164]","[5217.3814501149245, 6336.464706966867, 70860.84896267952, 5662.654531875465, 4847.818159231501, 76517.1979930393]","[2, 19, 19, 65, 74, 120]","[19, 37, 120, 120, 120, 200]",0.05,30,262475009615.66235,87703.19167467579,-87703.19167467579,CWT,mdp.39015067403850,27883.471044945094,75640.40950872817,86744.52500800912,0.0,-14.5,0.0,-10.0,27877.727633984592,161463.6991372409,27877.7276339846,86744.52500800912,0.0,-14.5,,0.0,16.0,4840.484825898168,0.0,0.4805639243543883,0.6505731067945145,0.6568223764660809,1.0,0.35683202785030427,0.9604106527695482,0.7834320050539597,,1.0,1.0000000000000002,0.9999999999999999,1.0,0.9575236918466974,0.6089175152498342,1.0,,0.27419354838709675,0.40909090909090906,1.0000000000000002,1.0000000000000002,0.2727272727272727,2.9060945038415213,1.0,1,2.2103441181390604,0.9802660420741295,2,0,0,0.7935377447751507,1.0,1,1,0.11111111111111112,0.6085028787111564,1.0,1,0.5,0.9642857142857143,1.25,1.1428571428571428,0.9375,1,gaus,0.4642857142857143,1.0,0.37499999999999994,1,1.0,0.023833380844900255,0.4805639243543884,0.02921709275648019,0.6298244366942767,0.6399553489793872,0.9992823256241854,0.34053156146179375,0.9607125703417319,0.6041086615545554,,1.0,1.0,1.0,0.9999999999999999,0.5089525563929814,0.599344002143112,1.0,,0.24637681159420297,0.25,0.9796071118507028,0.9796071118507028,0.3055555555555556,2.656739916278858,1.0,1,2.1125889217948455,0.901129005674007,3,1.4142135623730951,0.9494923727723894,2.0,1.5,0.939031900671909,2,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,2.0,2
smoothed,cgau8,14.865776690236622,0.7961204080607066,716.7628620531442,-36.83412752303234,201,99,32853.51539439617,-164377.76859531805,True,13.723062280928296,288494.48198602133,0.01966794950207387,1.3041083276614596e-05,0.4385238304449937,6,21579.71076743076,3435.9497469870803,60786.03351116424,"[7, 32, 60, 69, 78, 164]","[3435.9497469870803, 5941.237042916714, 5253.307170244105, 4109.657526675441, 49952.07960659698, 60786.03351116424]","[2, 19, 19, 65, 19, 120]","[19, 37, 65, 74, 120, 200]",0.05,30,259836410590.0454,63080.583921066,-63080.583921066,CWT,mdp.39015067403850,21222.787511724593,59909.245026853125,62121.91725439933,0.0,-14.5,0.0,-5.5,21217.04410076409,121499.59793791788,21217.044100764095,62121.91725439933,0.0,-14.5,,0.0,16.0,3428.616413653747,0.0,0.6544872661784825,0.16892631849383222,1.0,0.4806566927219143,1.0,0.6918573164741538,0.8131473985306364,0.3454404367137236,0.7077587528512248,0.6852124002851848,0.6852124002851846,0.6852124002851845,0.5347237900606079,0.3830647271579594,1.0,,0.41935483870967744,0.40909090909090906,0.44201099853744596,0.44201099853744596,0.2727272727272727,2.002107473461809,0.6889340559349512,5,2.254841056681131,1.0,1,0,0,0.555531624044008,0.7000695653127604,5,0,0.0,0.6011064101543508,0.9878448092596182,3,1.9148542155126762,0.8632246988919516,3.5,2.307692307692308,0.8066123494459758,5,cgau,0.35714285714285715,,,2,4.25,0.2554422622764149,0.6544872661784825,0.259548614903911,0.16353876647689447,0.9743202605589598,0.48031173772998403,0.9543189368770766,0.6942072842661131,0.6270223623798437,0.8362766451530345,0.7081296046058729,0.7178471042092021,0.7181122263492358,0.7181122263492357,0.2842217296896527,0.3770421131021542,1.0,,0.3768115942028986,0.25,0.43299711768351257,0.43299711768351257,0.3055555555555556,1.886283387454773,0.7099992648496738,5,2.3443801148257535,1.0,1,2.8284271247461903,0.8989847455447789,3.0,1.6666666666666667,0.8959209442009609,3,10.0,10.0,9.899494936611665,2,0.37037037037037035,1.0,0.4407407407407407,3,3.0,3
smoothed,gaus4,19.67705765141513,0.7097844112769486,476.033012180277,-30.706536851559306,201,99,27330.072089292476,,False,13.178800913524343,231808.2687181685,0.022221516534369108,2.3125539071832796e-06,0.5717026225197964,6,23349.118044782383,2430.313733038878,65954.89693039858,"[8, 32, 59, 68, 78, 165]","[6337.300893782507, 3998.055690497389, 65954.89693039858, 3648.16863420781, 2430.313733038878, 57725.97238676915]","[1, 17, 17, 65, 74, 120]","[17, 37, 120, 120, 120, 200]",0.05,30,240453922022.9848,84445.89186431217,-84445.89186431217,CWT,mdp.39015067403850,22992.194789076217,65078.10844608746,83487.2251976455,0.0,-19.0,0.0,-14.5,22986.451378115715,132116.04160202763,22986.45137811572,83487.2251976455,0.0,-19.0,,0.0,16.0,2422.9803997055446,0.0,0.4208761205165812,0.6824659119693997,0.5466292214840378,0.980850714161136,0.501595590368436,0.9177642233218514,0.5704150664818816,,0.49960314830252844,0.768835570036073,0.7688355700360727,0.7688355700360728,0.647040374289936,0.45727425028927116,1.0,,0.12903225806451613,0.0,0.9261842008435317,0.9261842008435317,0.0,2.177367175956692,0.7492416963999154,3,2.1075585586281407,0.934681649681431,4,0,0,0.5743187618951278,0.7237447313333044,3,1,0.11111111111111112,0.5770883235657233,0.9483740237811678,4,0.5773502691896257,0.9587606950578839,3.5,3.428571428571429,0.854380347528942,3,gaus,0.4642857142857143,1.0,0.37499999999999994,1,2.5,0.040554184666906634,0.42087612051658124,0.04584567872454516,0.6607000874767749,0.5325919255054691,0.9801467827370831,0.4786821705426354,0.9183913724864177,0.4398501466878265,,0.5002381478184521,0.7928008810472803,0.7929955736222967,0.7929955736222966,0.3439213623521062,0.4500849004695099,1.0,,0.11594202898550729,0.0,0.9072966300300832,0.9072966300300832,0.05555555555555558,2.046336150265601,0.7702433112578764,3,2.027575422266431,0.864866328392796,6,2.1213203435596424,0.9242385591585842,4.5,4.0,0.8817621367221493,5,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,4.25,4
smoothed,morl,19.74627812957394,0.6504849489924117,492.9964161075274,-30.0379685887952,201,99,25629.01625921834,,False,13.260856886872949,250440.35032397768,0.0198687127090195,7.87109306645585e-07,0.6201830410964304,9,19273.036932048228,16.643826315852493,83132.27475342489,"[7, 31, 37, 60, 69, 81, 158, 164, 181]","[4091.386541167587, 9176.559829993126, 16.643826315852493, 6728.162362258299, 5338.641595833273, 63837.05011252455, 998.0404633788858, 83132.27475342489, 138.57290353757003]","[1, 20, 36, 20, 20, 20, 119, 119, 180]","[20, 38, 38, 65, 74, 119, 159, 200, 200]",0.05,30,206383585482.80264,78722.15165749154,-78722.15165749154,CWT,mdp.39015067403850,18916.11367634206,82255.48626911377,77763.48499082487,0.0,-13.0,0.0,-13.0,18910.37026538156,165478.66572176738,18911.394757247584,77763.48499082487,0.0,-13.0,,0.0,13.0,9.310492982519165,0.0,0.34893085388710593,0.7384971144890043,0.6149820070149848,0.9880470657389331,0.15926892950391636,0.9999999999999998,0.6501982863934077,,0.0,0.576197714878873,0.5761977148788728,0.5762461329329394,1.0,0.70389036557482,0.75,,0.17741935483870966,0.5454545454545454,0.7964747844163991,0.7964747844163991,0.36363636363636365,2.1341422281177733,0.734367800254494,4,2.0760789926113388,0.9207207694129405,5,0,0,0.5718326467523268,0.7206117799908256,4,1,0.11111111111111112,0.5581849953294951,0.917308717605022,5,0.5773502691896257,0.9587606950578839,4.5,4.444444444444445,0.8186660618146562,4,morl,0.2857142857142857,,,6,4.5,0.010000150053053027,0.348930853887106,0.015460154400707204,0.7149442918492734,0.5991894293139122,0.9873379696777534,0.15199335548172754,1.0,0.5013714196053723,,0.0012689918287250301,0.6201342044667092,0.6204911415534442,0.62053449922534,0.5315299879540385,0.6928236718572627,0.7857142857142856,,0.1594202898550725,0.3333333333333333,0.7802323632240598,0.7802323632240598,0.3888888888888889,1.9243372806998729,0.7243227946057967,4,1.992893487126581,0.8500726799905924,8,2.8284271247461903,0.8989847455447789,6.0,5.333333333333333,0.8423495156295323,7,8.0,8.0,1.4142135623730951,2,0.2962962962962963,0.14285714285714288,0.7497354497354497,1,5.5,5
smoothed,fbsp,10.31371573841467,0.7568722046333987,690.0148667586997,-38.84976827696836,201,99,41022.73176910004,-171097.27110688816,True,13.656814607496706,332130.8872689317,0.01883992477368478,2.8784054899091493e-07,0.4160198248156271,13,11768.881911434435,87.89511805360598,62740.10612814847,"[1, 8, 15, 32, 59, 69, 79, 147, 158, 164, 177, 183, 193]","[236.70723607639593, 7504.903554109336, 87.89511805360598, 5873.656649994702, 62740.10612814847, 6008.823166463866, 4940.7848171483565, 1833.2429706575167, 1710.4885754490024, 58719.30974517352, 1370.5141628560832, 848.0686025418636, 1120.964121974931]","[0, 2, 14, 18, 18, 65, 75, 119, 119, 119, 175, 182, 192]","[2, 18, 18, 37, 119, 119, 119, 149, 159, 199, 199, 199, 199]",0.05,30,412480367984.4475,78582.33796911825,-78582.33796911825,CWT,mdp.39015067403850,11411.958655728267,61863.317643837356,77623.67130245158,0.0,-8.0,0.0,-2.0,11406.215244767769,145016.798181981,11406.215244767769,77623.67130245158,0.0,-11.0,,0.0,9.0,80.56178472027266,0.0,1.0,0.0,0.9448155590726333,0.007411897479162488,0.7734261676820421,0.6536844946290814,0.9999999999999998,0.0,0.014748234451467791,0.2215471846374603,0.2215471846374603,0.22154718463746012,0.7835238294730322,0.4111194048131555,0.41666666666666674,,0.532258064516129,1.0,0.793306375077028,0.793306375077028,0.4848484848484848,1.5353232737710363,0.5283115438061344,7,1.7469579932003472,0.7747588185979148,11,0,0,0.4912015824029477,0.6190021654762369,6,0,0.0,0.48659312431810203,0.7996562404909799,9,2.217355782608345,0.841617444099404,8.25,7.819464033850494,0.6261658649068449,8,fbsp,0.5714285714285714,,,4,7.0,0.0,1.0,0.005515156742646748,0.0,0.9205529416958074,0.007406578150265464,0.7380952380952379,0.65632557724109,0.7711054152210014,0.7498724882652735,0.015998510891185782,0.30225105344039177,0.30290668624330797,0.3029066862433078,0.4164664116415029,0.40465570995821004,0.49999999999999994,,0.4782608695652175,0.6111111111111112,0.7771285669019574,0.7771285669019574,0.5,1.4075685666737305,0.5298104485309313,14,1.9317937944748718,0.8240104845875016,13,0.7071067811865476,0.9747461863861947,13.5,13.481481481481481,0.7463016646216687,10,15.0,15.0,7.0710678118654755,2,0.5555555555555556,0.7142857142857143,0.39682539682539675,4,8.5,6
smoothed,gaus2,19.426877349810074,0.6824966078697422,353.8470570278443,-29.640044591907238,201,99,24057.583549175703,,False,12.935033603329922,177222.35413030026,0.02514358224190238,2.903145425039624e-06,0.5592918626629289,7,16518.284286334307,101.61363900121432,57834.4979841518,"[8, 16, 32, 59, 68, 77, 165]","[4842.397996369065, 101.61363900121432, 2942.982094918423, 57834.4979841518, 2668.3891188845155, 1587.517424346268, 45650.59174666887]","[1, 15, 1, 1, 65, 74, 120]","[15, 17, 37, 120, 120, 120, 200]",0.05,30,188228440108.297,75016.92178890739,-75016.92178890739,CWT,mdp.39015067403850,16161.361030628139,56957.70949984068,74058.25512224072,0.0,-18.5,0.0,-14.0,16155.61761966764,107649.32333767349,16155.617619667642,74058.25512224072,0.0,-9.5,,0.0,15.0,94.280305667881,0.0,0.2824679293225611,0.7718462297534043,0.34357057757047726,0.9548412808824656,0.3440673049028138,0.8967122500518147,0.3366762862546718,,0.01758781754292065,0.4460065762626472,0.44600657626264717,0.44600657626264706,0.38819491627242697,0.34068944536009693,0.9166666666666667,,0.14516129032258063,0.04545454545454547,0.7125081495559059,0.7125081495559059,0.5757575757575757,1.5570074699337775,0.5357731718206663,6,1.8437514300927071,0.8176857630960911,8,0,0,0.4327123571063805,0.5452952426717771,7,1,0.11111111111111112,0.49226511334243067,0.8089774601971911,8,0.9574271077563381,0.9316123494459758,7.25,7.148936170212766,0.7068776032944164,6,gaus,0.4642857142857143,1.0,0.37499999999999994,1,4.75,0.05238349244568177,0.28246792932256115,0.05760974601676335,0.7472298067534231,0.33474777465885974,0.9541560157622062,0.32834994462901423,0.8974999464621429,0.2596129075074734,,0.018834490574898607,0.5034402597238139,0.5039068471059058,0.5039068471059056,0.20633723917010205,0.33533306327419393,0.9285714285714285,,0.13043478260869568,0.027777777777777762,0.6979780505565494,0.6979780505565494,0.5833333333333333,1.51296939893181,0.5694834446011331,10,1.7889982013038364,0.7631007403578852,14,2.8284271247461903,0.8989847455447789,12.0,11.666666666666666,0.7352066584866752,11,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,8.75,7
raw,gaus7,19.84671272718745,0.6796823961003066,552.0966772618107,-30.51585390033575,201,99,29879.460999228824,,False,13.32826780731649,276788.80088018376,0.01972240075499987,2.286091204058284e-07,0.033969717275324204,15,10232.822902555718,21.278225666945218,104942.7713147619,"[10, 35, 41, 63, 74, 88, 96, 105, 131, 143, 151, 172, 178, 190, 196]","[5019.457742439706, 10426.053122970658, 21.278225666945218, 2753.840480922935, 1927.0869364565224, 2070.2589758051618, 4911.280255396719, 104942.7713147619, 432.91150241479045, 1166.2214412637986, 62.04248539432592, 13104.202262444458, 1473.8700069866354, 1676.5254515133056, 3504.543333897902]","[5, 27, 40, 50, 50, 50, 50, 50, 130, 141, 141, 141, 177, 185, 185]","[50, 50, 50, 66, 76, 92, 100, 141, 141, 144, 152, 185, 185, 193, 200]",0.05,30,261343414678.4431,67336.73242191767,-67336.73242191767,CWT,mdp.39015067403850,9693.408924256051,103992.77947790657,66344.73242191767,0.0,-17.5,0.0,-8.5,9665.462902555717,139308.34353833576,9667.7551029452,66344.73242191767,0.0,-17.5,,0.0,11.0,3.278225666945218,0.0,0.5392720452072389,0.6614062775155949,0.6033068792553546,0.9975826727189693,0.19624352331606204,0.018174549470440615,0.583463598467413,,0.0004139617470481638,0.5019873980766059,0.5019873980766058,0.5019297115385425,0.3796730750325572,1.0,0.6428571428571428,,0.16949152542372886,0.0,0.5178252309001709,0.5178252309001709,0.1388888888888889,1.6507319581709952,0.6723784336608485,6,1.6782228245602568,0.7996433426046577,9,0,0,0.406073296953455,0.5660402771176323,8,1,0.125,0.5079570779930105,0.7746325379019077,8,1.2583057392117916,0.9101210186277292,7.75,7.578947368421054,0.6782747950281502,7,gaus,0.49038461538461536,1.0,0.3567307692307692,1,5.5,,0.5287011910550387,0.00433531841002331,0.6761711254434265,0.6539008518680831,0.9977719335271901,0.312846068660022,0.013208503726222953,0.5883713722632341,,2.19632591710317e-05,0.22945165066484308,0.22923604872147807,0.22933305727342768,0.3843659591662554,1.0,0.6428571428571428,,0.2898550724637682,0.08333333333333334,0.5267415738834421,0.5267415738834421,0.1388888888888889,1.4315319006125253,0.5388302753464815,13,1.7572203986630028,0.7495458554482786,15,1.4142135623730951,0.9494923727723894,14.0,13.928571428571429,0.7247461863861947,12,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,9.5,8
raw,gaus5,19.768577287863213,0.6872204633398663,517.1684617007713,-30.40148725807367,201,99,29442.86866648418,,False,13.28076587707052,255242.35776367696,0.020544377884165296,2.400232950449064e-07,0.031647908967657734,15,9542.635175054844,114.31415109676891,100560.22549552895,"[10, 35, 41, 64, 74, 88, 96, 105, 130, 138, 151, 172, 183, 190, 196]","[4386.460978976115, 10856.659264139023, 122.6502496647081, 1814.8596513524194, 1833.6496390367647, 2093.861036827024, 100560.22549552895, 4654.128800402403, 166.788645401728, 508.56928749952203, 114.31415109676891, 10381.579859178571, 1985.1257146107037, 1206.480351498587, 2454.1745006093643]","[5, 27, 40, 50, 50, 50, 50, 100, 129, 136, 141, 141, 181, 185, 185]","[50, 50, 50, 66, 76, 92, 141, 141, 141, 141, 152, 185, 185, 193, 200]",0.05,30,254558230813.76056,65280.83805687499,-65280.83805687499,CWT,mdp.39015067403850,9003.221196755178,99610.23365867362,64288.83805687499,0.0,-17.5,0.0,-8.5,8975.275175054843,128955.52762582267,8976.608076764978,64288.83805687499,0.0,-17.5,,0.0,11.0,96.31415109676891,0.0,0.5203641379597216,0.6711084789970102,0.5591179837717776,0.988775807459592,0.24481865284974058,0.012796731415837037,0.5114711553688657,,0.3629155646603114,0.4380235514470599,0.4380235514470598,0.43791141302461256,0.3210121243159695,0.9377661809130255,0.6428571428571428,,0.16949152542372886,0.0,0.47132549956686576,0.47132549956686576,0.1388888888888889,1.6228513640779645,0.661022071355622,7,1.6403558402555847,0.7816003977342825,10,0,0,0.40246174517596084,0.5610060042799583,9,1,0.125,0.4949575639746493,0.7548083303619291,10,1.4142135623730951,0.8989847455447789,9.0,8.811188811188812,0.628063801343818,8,gaus,0.49038461538461536,1.0,0.3567307692307692,1,6.25,,0.5102357466925634,0.004562678801223352,0.685450249000103,0.6153477782603332,0.9896545878252018,0.35437430786267965,0.009300130100306614,0.5172271686569284,,0.019254940005137212,0.20021464143262635,0.20002651175189437,0.2000829216824504,0.3261487890334299,0.9380689067521648,0.6428571428571428,,0.2898550724637682,0.08333333333333334,0.48110171241427724,0.48110171241427724,0.1388888888888889,1.3326627128204855,0.5016157978636724,16,1.7205715027389312,0.733913196012078,17,0.7071067811865476,0.9747461863861947,16.5,16.484848484848484,0.6927302360502402,14,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,11.0,9
raw,gaus3,19.60497128591704,0.6787778280315594,435.65865607149,-29.842630423239438,201,99,27447.93111854409,,False,13.134723475974216,214759.223884513,0.02242358996118085,2.885909122111575e-07,0.029259088933485375,16,8252.907292355998,93.01466637502745,92041.20799954879,"[10, 35, 45, 64, 74, 88, 96, 105, 130, 137, 143, 151, 172, 178, 186, 196]","[3975.3285079362468, 11084.731234518276, 2059.4226718115133, 1305.5117511205299, 1612.0997378790962, 2066.741447549328, 92041.20799954879, 3199.5689852750947, 474.2372135309415, 602.681580303477, 2035.9725408858867, 93.01466637502745, 8381.704481892957, 789.3832204308228, 685.7201549135325, 1639.1904837244492]","[5, 28, 42, 50, 50, 50, 50, 100, 129, 136, 141, 141, 141, 177, 181, 181]","[50, 50, 50, 66, 76, 92, 141, 141, 141, 141, 144, 152, 181, 181, 187, 200]",0.05,30,223820963931.5363,60557.76634682102,-60557.76634682102,CWT,mdp.39015067403850,7713.493314056331,91091.21616269345,59565.76634682102,0.0,-17.0,0.0,-8.0,7685.547292355998,117862.51667769597,7685.547292355998,59565.76634682102,0.0,-12.5,,0.0,10.0,75.01466637502745,0.0,0.43396753570170005,0.718518646014089,0.4232613487929752,0.9703353145510382,0.1904145077720206,0.007263699482687347,0.3762061514660268,,0.2799250712870627,0.3184967137539141,0.3184967137539141,0.3183254037311709,0.25815709298675227,0.8167928892438485,0.5714285714285714,,0.18644067796610175,0.030303030303030276,0.36450018338342227,0.36450018338342227,0.4166666666666667,1.387427367958163,0.5651288423103692,10,1.487653523479264,0.7088404583367903,13,0,0,0.3536694331573231,0.49299263323722914,11,1,0.125,0.4394596005400767,0.6701741552982207,12,1.2909944487358056,0.9077861108045853,11.5,11.390640557583804,0.5431787696880069,11,gaus,0.49038461538461536,1.0,0.3567307692307692,1,8.5,,0.4258609065149508,0.0055301033227273064,0.7307930300624037,0.4968182067215836,0.9726578640823906,0.3078626799557031,0.005278953507996564,0.38355590311453885,,0.01485177539467377,0.1455805404322347,0.14544374713681774,0.14544374713681768,0.2637692672579266,0.8176840691063992,0.5714285714285714,,0.3043478260869566,0.1111111111111111,0.37625180270049663,0.37625180270049663,0.41666666666666663,1.1800739879170934,0.4441812240205864,19,1.5813101710220283,0.6745109980339342,22,2.1213203435596424,0.9242385591585842,20.5,20.390243902439025,0.5960478510078635,19,12.3125,12.5,7.7090314999140235,16,0.45601851851851855,0.7787297785671297,0.44716810346689806,2,14.75,10
