signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,fft_snr_threshold_diff,stft_stationarity_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
raw,mexh,2662741623.621958,0.6357361963190185,1429.6748576569257,-41.67396655894662,163,80,91256.50949555595,-326758.3566597374,False,"[38, 45, 55, 121, 131, 136, 143, 148]","[181.35059961106163, 595.5640182230854, 146512.73964430552, 18536.542344542126, 458.3673729259972, 265.2566919042438, 654.8702728608841, 7911.164159796077]",8,12.627346018088527,614720.8603033915,0.018403072605016422,6.516094528185744e-07,0.37200386342900515,8,21889.481888021124,181.35059961106163,146512.73964430552,"[38, 45, 55, 121, 131, 136, 143, 148]","[181.35059961106163, 595.5640182230854, 146512.73964430552, 18536.542344542126, 458.3673729259972, 265.2566919042438, 654.8702728608841, 7911.164159796077]","[0, 0, 0, 108, 130, 133, 133, 133]","[39, 46, 162, 162, 133, 138, 146, 162]",0.05,30,1663826925204.1204,165189.3131884399,-165189.3131884399,0.5,125838845286.76797,0.01640609723560493,0.009962089607623102,141788635234.11102,4.2381561170358755e+19,"[0.015625, 0.015625, 0.015625, 0.03125]",5.0,125838845286.76797,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[7619633358.070144, 125838845286.76797, 4443990728.16514, 2808746551.4547024, 700979881.543281, 207424740.32583034, 30259321.893035, 29605125.583819386, 31388158.86902229, 14799320.01066963, 15258703.280881334, 1278317.6411406668, 8582026.863306625, 3481512.5334102185, 4493693.344860311, 2493859.611542772]",3.0,0.7,tukey,64.0,32.0,53401.16088080075,15.0,0.49079754601226994,14937708.04777562,0.014784950973171361,0.05024682802977082,24994807.30956902,2956253885214.6167,11.0,575239.1164738612,0.03067484662576687,"[0.0, 0.006134969325153374, 0.012269938650306749, 0.018404907975460124, 0.024539877300613498, 0.03067484662576687, 0.03680981595092025, 0.04294478527607362, 0.049079754601226995, 0.05521472392638037, 0.06134969325153374, 0.06748466257668712, 0.0736196319018405, 0.07975460122699386, 0.08588957055214724, 0.09202453987730061, 0.09815950920245399, 0.10429447852760737, 0.11042944785276074, 0.11656441717791412, 0.12269938650306748, 0.12883435582822086, 0.13496932515337423, 0.1411042944785276, 0.147239263803681, 0.15337423312883436, 0.15950920245398773, 0.16564417177914112, 0.17177914110429449, 0.17791411042944785, 0.18404907975460122, 0.1901840490797546, 0.19631901840490798, 0.20245398773006135, 0.20858895705521474, 0.2147239263803681, 0.22085889570552147, 0.22699386503067484, 0.23312883435582823, 0.2392638036809816]","[14937708.04777562, 4436510.012458787, 1759403.0411580373, 678565.1989652261, 446284.15424087236, 575239.1164738612, 357258.2604959556, 122851.69798743569, 173181.6225057735, 154606.87451047252, 157649.84483101408, 104693.73312845119, 54850.50106599742, 96206.05022200623, 44359.14656917172, 30156.635854368113, 59396.75815229623, 36996.53977192217, 25462.740319246837, 17942.836029290225, 37305.55692549131, 50534.334962944406, 12867.694077848628, 22335.635855330056, 14960.323562403224, 14430.24467337577, 13745.598405200932, 14784.873844516773, 14407.082980188208, 15803.44141948658, 17624.23720773512, 16615.90438298507, 16082.316939175262, 16264.237936834865, 12295.649621380928, 3506.843802412854, 21683.484525913627, 18323.864281636026, 16709.45057374735, 18095.7557182547]",3.0,0.7,53401.16088080075,15.0,CWT,mdp.39015067403918,125834554896.08365,0.0,21391.02734256658,2956206300388.694,16.0,145683.73964430552,141771087284.51727,164359.3131884399,0.0,-13.5,3.0,564589.2124842063,0.0,-4.5,,32.0,0.0,0.0,-9.0,0.015625,14.0,,4.238156114293966e+19,14874811.04777562,0.0,0.0,0.39999999999999997,21391.02734256658,164149.855104169,21395.85540659745,0.0,164359.3131884399,0.0,53359.16088080075,0.0,2.0,0.0,53359.16088080075,176.35059961106163,0.14377361063253377,125834554896.08365,0.10363670045860349,0.12741638038325684,24707217.569372896,0.0,0.0,0.15790172502531682,1.0,0.17246960892914662,0.0,0.2757952648115181,1.0000000000000002,0.0,0.7074983644642279,0.2244259464981726,0.0,0.35792971154347364,0.7172438248433672,0.7172438248433672,0.717352728845384,0.8928501276247568,1.0,0.6363636363636364,,0.5806451612903227,0.7045454545454545,0.851198549513653,0.851198549513653,0.3939393939393939,2.501687905557428,0.8786318726422854,2,1.3624082394694632,0.6331327101153287,6,0,0,0.7017092469055385,0.9090942243677743,2,0,0.0,0.37557657607811834,0.7137707184153256,6,2.309401076758503,0.8350427802315354,4.0,2.9999999999999996,0.7746642472586249,1,mexh,1.0,1.0,,1,0.07692307692307693,,,5,2.0,1
raw,fbsp,55177666.79129509,0.7328220858895705,1199.4871680003773,-38.14823808239898,163,80,63455.19746387355,-304764.4278982859,True,"[1, 6, 12, 18, 24, 32, 38, 44, 50, 56, 61, 66, 71, 86, 92, 98, 108, 115, 125, 131, 143, 158]","[276.2234366282937, 5527.62990578734, 1911.42575421714, 5426.622588774408, 2463.2470264352887, 4381.005083480908, 2343.693706119084, 6024.399349473373, 428.8531431561423, 17894.672185778167, 1307.267794313273, 3194.9806727730756, 1994.8537408549746, 759.799181561044, 618.0663354064818, 634.4436713584728, 95.02640027131565, 3033.1705452601927, 740.9865161928756, 311.04587099341006, 290.6417207870836, 3506.4554061460803]",22,12.930151147099053,808039.5565720275,0.02236661503043999,8.777254144639485e-08,0.3100614635953539,15,11935.43099452404,44.257718152104644,101056.77240470739,"[15, 27, 32, 38, 44, 50, 56, 64, 71, 80, 89, 104, 122, 131, 152]","[2175.689468293349, 8493.88874924356, 2413.123120154094, 3110.7051718242, 6397.082839538198, 135.8502838785207, 101056.77240470739, 44.257718152104644, 1642.6766650404388, 892.8810178525455, 1901.4655974693194, 201.11174179908994, 4263.31622813359, 396.7336774289579, 45905.91023434527]","[0, 0, 31, 31, 0, 0, 0, 63, 70, 79, 88, 103, 103, 103, 103]","[16, 31, 34, 40, 48, 51, 103, 103, 103, 103, 103, 105, 126, 132, 162]",0.05,30,741746212515.2594,93918.4864226088,-93918.4864226088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,11436.976449069494,,,100227.77240470739,,93088.4864226088,0.0,-14.5,,,0.0,-1.0,,,0.0,0.0,-5.5,,7.0,,,,,,,11436.976449069494,168065.4649178606,11449.502713791046,,93088.4864226088,,,,,,,39.257718152104644,,,,,,0.0,,,0.6311694191572743,0.0,0.23165219955530364,0.9034781387605102,0.020292077260681496,0.8215444516547694,0.5690072222760537,0.3277764861255562,0.19197257944631657,0.07481546082134706,0.19937823555685258,0.19937823555685258,0.19962703039793586,0.9188206760338543,0.6059812182669083,0.0,,0.806451612903226,0.8636363636363635,0.37842062629540135,0.37842062629540135,0.3333333333333333,1.3494043506890638,0.47393188773217354,8,1.5543475492920387,0.722329950623031,5,0,0,0.413188618258123,0.5353034580767414,5,0,0.0,0.4107658415818294,0.7806467402944622,5,1.5,0.8928571428571429,5.75,5.517241379310344,0.7410714285714286,2,fbsp,2.0,2.0,,1,0.15384615384615385,,,4,2.5,2
raw,gaus2,1334117639.3783157,0.6694785276073619,1015.4381056607243,-38.50103909312958,163,80,58399.66164130633,,False,"[28, 39, 45, 56, 105, 122, 127, 150]","[1108.966915337296, 511.44278932861926, 834.1276886776031, 125504.45034206222, 11106.476782887356, 4224.163045536334, 492.2613563785926, 44935.32073414925]",8,12.532943687052665,506477.29002088297,0.01892762727953843,9.349483711376929e-07,0.48448174955726164,7,27324.42372657319,492.2613563785926,139164.68355660464,"[28, 39, 45, 56, 122, 127, 150]","[1108.966915337296, 511.44278932861926, 834.1276886776031, 139164.68355660464, 4224.163045536334, 492.2613563785926, 44935.32073414925]","[0, 0, 0, 0, 105, 126, 105]","[30, 41, 47, 105, 126, 129, 162]",0.05,30,803990297906.5486,126722.74776063704,-126722.74776063704,0.5,217520491950.1942,0.03260687140708362,0.05266377007623389,299676859109.5239,9.633860066213652e+19,"[0.015625, 0.015625, 0.015625, 0.015625]",1.0,217520491950.1942,0.015625,"[0.0, 0.015625, 0.03125, 0.046875, 0.0625, 0.078125, 0.09375, 0.109375, 0.125, 0.140625, 0.15625, 0.171875, 0.1875, 0.203125, 0.21875, 0.234375]","[1.5081570518373077e-21, 217520491950.1942, 37920375566.94902, 12676992057.577862, 8481346929.110957, 4403672198.418737, 3245513574.1547027, 2352129097.0033593, 1802929789.5153368, 1375827407.753961, 1071300022.199918, 970878962.4174552, 843670652.499083, 670099214.3222083, 597467464.4077108, 505746565.1029545]",3.0,0.3,boxcar,64.0,32.0,12710.766041174005,15.0,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,217516201559.5099,0.0,26825.969181118646,,16.0,138335.68355660464,299659311159.9302,125892.74776063704,0.0,-18.5,1.0,,0.0,-9.5,,32.0,0.0,0.0,-5.0,0.015625,15.0,,9.633860063471742e+19,,,,0.0,26825.969181118646,180304.96608601234,26825.96918111865,0.0,125892.74776063704,,12668.766041174005,,,,,487.2613563785926,,217516201559.5099,,0.08471469991464604,,0.0,0.0,0.14170095085383813,0.5640993394508299,0.2591389125013089,0.2084719885195681,0.08010925828415039,0.500812457429781,0.285528877352368,0.9589770117663472,0.1665576098301746,,1.0000000000000002,1.0,1.0,0.9999999999999999,1.0,0.9363060059305005,0.7272727272727273,,0.838709677419355,0.4772727272727272,0.5960290258592074,0.5960290258592074,0.0909090909090909,2.8472537628690513,1.0,1,1.226940926133904,0.5701789017490608,7,0,0,0.7718773567102345,1.0,1,1,0.11111111111111112,0.37240637633626045,0.7077458598607939,7,3.4641016151377544,0.7525641703473033,4.0,1.75,0.7334249423165088,3,gaus,8.0,8.0,3.927922024247863,8,0.6153846153846154,1.0,0.26923076923076916,1,2.5,3
raw,gaus6,538814284.3585263,0.6562883435582823,690.0327920203399,-33.963003397811114,163,80,35795.51007645243,,False,"[27, 34, 44, 56, 65, 102, 122, 152]","[11099.949311946679, 1157.9056893622255, 2918.86025171628, 50739.73931512552, 307.47073206722416, 72496.33866161857, 2446.1901712055733, 47301.28510501306]",8,12.661087866103678,491628.23854956904,0.02523059624201868,6.600704815459328e-07,0.4677949725295436,8,18402.19403792081,81.9061957696249,81903.98484628579,"[27, 34, 44, 56, 65, 104, 122, 152]","[11099.949311946679, 1157.9056893622255, 2918.86025171628, 81903.98484628579, 307.47073206722416, 81.9061957696249, 2446.1901712055733, 47301.28510501306]","[0, 31, 41, 0, 64, 102, 102, 102]","[41, 41, 48, 102, 102, 105, 125, 162]",0.05,30,282722809409.0524,76775.94108824109,-76775.94108824109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,17903.739492466266,,,81074.98484628579,,75945.94108824109,0.0,-18.0,,,0.0,-9.0,,,0.0,0.0,-4.5,,14.0,,,,,,,17903.739492466266,136251.55230336648,17913.42903675164,,75945.94108824109,,,,,,,76.9061957696249,,,,,,0.0,,,0.26421772445290825,0.1750577160330154,0.5066361714603871,0.3457385322974647,0.2020029130452677,0.17391304347826084,0.9216686282323825,0.15861912528555236,,0.15256435936429621,0.5358155403362311,0.5358155403362311,0.5360861198376226,0.7078127367983157,0.43996213477047474,0.6363636363636364,,0.870967741935484,0.49999999999999994,0.26470485576721886,0.26470485576721886,0.1212121212121212,1.6237384990350245,0.5702823261523606,5,1.2113153764918538,0.5629174610844291,8,0,0,0.46383413687407093,0.6009168851006934,4,1,0.11111111111111112,0.3379261762300993,0.6422173930488491,8,2.0615528128088303,0.8527462276565121,6.25,5.714285714285714,0.7031588281139703,4,gaus,8.0,8.0,3.927922024247863,8,0.6153846153846154,1.0,0.26923076923076916,1,3.25,4
raw,gaus4,606113217.886565,0.6566717791411043,716.5275084811085,-34.821458961019445,163,80,39899.32381419449,,False,"[27, 34, 39, 44, 56, 105, 122, 152]","[5532.494975789516, 367.650237558184, 2328.9447964436913, 2659.0616906462383, 69978.95494477982, 63054.34376864879, 2124.7150562669062, 44059.49498033422]",8,12.599497282475989,485158.0569999063,0.022672607562836813,7.647491870386317e-07,0.48869267220420337,7,22797.82273723995,367.650237558184,102512.39742364088,"[27, 34, 39, 44, 56, 122, 152]","[5532.494975789516, 367.650237558184, 2328.9447964436913, 2659.0616906462383, 102512.39742364088, 2124.7150562669062, 44059.49498033422]","[0, 31, 31, 31, 0, 105, 105]","[31, 36, 41, 48, 105, 125, 162]",0.05,30,345057437003.68567,72283.5201606725,-72283.5201606725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,22299.368191785405,,,101683.39742364088,,71453.5201606725,0.0,-18.5,,,0.0,-14.0,,,0.0,0.0,-5.0,,15.0,,,,,,,22299.368191785405,148618.75916067965,22299.368191785405,,71453.5201606725,,,,,,,362.650237558184,,,,,,0.0,,,0.31866162993610436,0.2070774278244948,0.4502327584464552,0.21806779347626148,0.22728831331190746,0.17715768981181024,0.9683918146898237,0.1551600870882558,,0.7426621779260816,0.7645008133987531,0.7645008133987531,0.7643822081142967,0.7898390774337135,0.6185987827243368,0.7272727272727273,,0.838709677419355,0.27272727272727265,0.23490419913478672,0.23490419913478672,0.0909090909090909,2.129229017689877,0.7478184928428534,3,1.1708232624260932,0.5441001336681348,9,0,0,0.5703259199661628,0.7388815269784694,3,1,0.11111111111111112,0.3346991337675836,0.6360845068053057,9,3.4641016151377544,0.7525641703473033,6.0,4.5,0.6619963708879373,5,gaus,8.0,8.0,3.927922024247863,8,0.6153846153846154,1.0,0.26923076923076916,1,4.0,5
raw,cgau8,6901171.6900936775,0.6570552147239264,659.753877281541,-31.365540213100434,163,80,27960.607838832053,-242676.65225423852,True,"[5, 18, 25, 34, 45, 58, 68, 73, 80, 86, 111, 126, 158]","[212.55074770182182, 3138.0488792610086, 2574.8363065035956, 119.3350295919081, 617.3691687141363, 3873.922524264428, 420.2127499192684, 2844.4474132130235, 162.34521726831372, 557.5885411138879, 26463.927354507665, 293.0842809892274, 5405.323716246494]",13,12.963914993678939,375217.5486106853,0.03589612114022916,3.3569682848182787e-06,0.3644655834119607,10,10737.197699014505,154.57373621305396,42646.19485332999,"[13, 20, 25, 34, 45, 56, 66, 122, 127, 152]","[1116.282743375863, 1131.9446723687488, 14950.60584458246, 154.57373621305396, 1044.9927452085722, 42646.19485332999, 2224.232678678258, 5645.490922562347, 541.8963323079861, 37915.76246151777]","[0, 0, 0, 32, 41, 0, 63, 104, 126, 104]","[16, 22, 41, 41, 48, 104, 104, 129, 129, 162]",0.05,30,157203867895.09653,55704.49138301077,-55704.49138301077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,10238.743153559959,,,41817.19485332999,,54874.49138301077,0.0,-3.5,,,0.0,1.0,,,0.0,0.0,-3.5,,12.0,,,,,,,10238.743153559959,96405.97699014505,10239.769085628812,,54874.49138301077,,,,,,,149.57373621305396,,,,,,0.0,,,0.1602747328468167,1.0,0.6772982244246416,0.9734670069348625,0.002153743737227126,0.18040233614535964,0.6906442384939969,0.09638454655209544,0.7339016986931934,0.30263208020814236,0.13703941507853337,0.13703941507853337,0.13665820082600338,0.44353424844077805,0.09967003395509327,0.4545454545454546,,0.9354838709677421,0.9545454545454544,0.12492653856643257,0.12492653856643257,1.0,1.106404604351374,0.38858658078881564,11,1.9228048577987331,0.8935579038446629,3,0,0,0.40425010423154994,0.5237232323467508,7,0,0.0,0.5016140586475769,0.9533007376201171,3,3.8297084310253524,0.7264493977839034,6.0,4.4423076923076925,0.6489389846062374,6,cgau,6.0,6.0,,1,0.46153846153846156,,,2,5.0,6
raw,gaus8,488767748.36842984,0.6604294478527607,613.5227235293594,-32.860981975886446,163,80,30573.80576369359,,False,"[15, 20, 26, 34, 44, 56, 66, 104, 122, 127, 152]","[77.08818216049985, 368.683732123809, 15463.280888881261, 668.9973977958216, 2230.0476054602623, 41580.55241174407, 1263.7271166638457, 66504.68315828365, 4385.113469487597, 152.22061111710354, 50364.80849111758]",11,12.575656273169448,452933.9136100523,0.029167983512854656,6.246189693804674e-07,0.46840678810121955,11,13138.720268928173,77.08818216049985,69393.6807816355,"[15, 20, 26, 34, 44, 56, 66, 103, 122, 127, 152]","[77.08818216049985, 368.683732123809, 15463.280888881261, 668.9973977958216, 2230.0476054602623, 69393.6807816355, 1263.7271166638457, 158.27468176664843, 4385.113469487597, 152.22061111710354, 50364.80849111758]","[0, 0, 0, 32, 41, 0, 64, 102, 104, 126, 104]","[16, 22, 41, 41, 48, 104, 104, 104, 126, 128, 162]",0.05,30,219513689289.26773,75867.10934129932,-75867.10934129932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,12640.265723473627,,,68564.6807816355,,75037.10934129932,0.0,-12.0,,,0.0,-3.0,,,0.0,0.0,-7.5,,11.0,,,,,,,12640.265723473627,133559.9229582099,12677.812033858401,,75037.10934129932,,,,,,,72.08818216049985,,,,,,0.0,,,0.19494314372560212,0.1642136078949997,0.5790426792343171,0.16864791314506086,0.18319954383673248,0.20895522388059634,0.9230365286940607,0.13793266587833986,,0.1426145479780295,0.26198009643125636,0.26198009643125636,0.2635627584262924,0.6899603220956791,0.3315210418622154,0.36363636363636365,,0.6774193548387097,0.7727272727272727,0.25867608347184906,0.25867608347184906,0.48484848484848486,1.280691270328578,0.4497987805056344,9,1.1390661288988662,0.5293420902028242,10,0,0,0.3973002088516047,0.5147193467948207,9,1,0.11111111111111112,0.31444085773065805,0.59758433091115,10,0.5773502691896257,0.9587606950578839,9.5,9.473684210526317,0.6400946332432276,7,gaus,8.0,8.0,3.927922024247863,8,0.6153846153846154,1.0,0.26923076923076916,1,5.5,7
raw,gaus3,787483644.8932978,0.6811349693251534,916.3974549476256,-36.158207023592766,163,80,44074.58666350116,,False,"[5, 16, 49, 76, 115, 127, 134]","[6831.290043471032, 367.5898799267743, 1.9702960701288248, 69439.21673864564, 32744.83980395338, 401.53662049148625, 6852.5187500335815]",7,12.65458469253305,759294.0500542345,0.028421362881489894,6.916044057039929e-07,0.05556379454899221,6,18589.552383744824,1.9702960701288248,103371.14115190387,"[15, 48, 76, 124, 132, 137]","[367.5898799267743, 1.9702960701288248, 103371.14115190387, 6852.5187500335815, 542.6603328582605, 401.43389167631904]","[5, 5, 5, 115, 131, 134]","[16, 49, 115, 134, 134, 138]",0.05,30,463420413247.17896,108985.90905487408,-108985.90905487408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,18091.09783829028,,,102542.14115190387,,108155.90905487408,0.0,-19.0,,,0.0,-19.0,,,0.0,0.0,-14.5,,16.0,,,,,,,18091.09783829028,100571.31430246893,18168.696668798115,,108155.90905487408,,,,,,,3.029703929871175,,,,,,0.0,,,0.3740534265580008,0.18470349029477182,0.3624039222197876,0.3322581441351516,0.29543239231853746,0.3841661258922775,0.0,0.30171654210429394,,0.0,0.5455629729348817,0.5455629729348817,0.5493732630924429,0.4711611314697436,0.6260424953583154,0.8181818181818181,,0.22580645161290336,0.045454545454545414,0.47837098612129936,0.47837098612129936,0.060606060606060594,1.5986200096518957,0.5614603202915911,6,0.9732677638131773,0.45229296118385237,12,0,0,0.4037078069906826,0.5230206631676539,8,1,0.11111111111111112,0.273786199884797,0.520321513723281,12,3.0,0.7857142857142857,9.5,8.727272727272728,0.5535714285714286,9,gaus,8.0,8.0,3.927922024247863,8,0.6153846153846154,1.0,0.26923076923076916,1,7.0,8
raw,morl,291387976.9339082,0.6602760736196319,471.7199857505469,-29.442137362866376,163,80,18478.655273714856,,False,"[12, 20, 25, 32, 41, 47, 57, 66, 85, 104, 121, 152]","[4191.325494108536, 2376.3195052620413, 18186.171568616788, 216.84218736713547, 4247.880681325696, 86.75146416324014, 27079.641488874186, 5103.683016228828, 93.82294703891966, 48426.506434964416, 10564.998691457702, 48389.9086099437]",12,12.494297588367422,271214.35023591045,0.03990879223442351,3.9412181186557586e-07,0.5028299435239735,12,11909.134155965929,40.05295658636169,48389.9086099437,"[12, 20, 25, 32, 37, 44, 57, 66, 83, 103, 121, 152]","[4191.325494108536, 2376.3195052620413, 23585.994212507412, 216.84218736713547, 76.69458144776877, 1374.1326162215066, 45741.92415504694, 5103.683016228828, 265.4117158472245, 40.05295658636169, 11547.320821023684, 48389.9086099437]","[0, 0, 0, 31, 36, 41, 0, 63, 82, 102, 104, 104]","[16, 22, 41, 41, 41, 47, 104, 104, 104, 104, 129, 162]",0.05,30,100491684255.62982,59927.54412231126,-59927.54412231126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,11410.679610511383,,,47560.9086099437,,59097.54412231126,0.0,-7.0,,,0.0,2.0,,,0.0,0.0,-2.5,,10.0,,,,,,,11410.679610511383,131943.60987159115,11456.421981227026,,59097.54412231126,,,,,,,35.05295658636169,,,,,,0.0,,,0.034480882969159965,0.09370783962394649,0.8036722500625856,0.0,0.10904047082288709,0.20765736534717694,1.0,0.040783164572619074,,0.06613209296532237,0.19801012643806504,0.19801012643806504,0.19998719081821015,0.6792400156153163,0.14945736077789706,0.27272727272727276,,1.0,0.9999999999999999,0.15294033038461358,0.15294033038461358,0.787878787878788,1.1408333480150175,0.4006784933933849,10,1.0745564141948452,0.4993634029664432,11,0,0,0.40477696953568026,0.5244058087943562,6,1,0.11111111111111112,0.28061219111924135,0.5332940817097697,11,2.3804761428476167,0.8299659897965987,9.5,8.91891891891892,0.5756972806125851,8,morl,8.0,8.0,,1,0.6153846153846154,,,6,7.5,9
raw,gaus1,2125443097.452324,0.6911042944785276,1523.2798669945284,-41.44675550095074,163,80,85960.40115791796,,False,"[4, 93, 98, 132, 137]","[3361.3576070991403, 53.64033559372183, 39497.458363946425, 909.0209767566121, 39.68239686918969]",5,12.723254792162948,2065443.4731055852,0.026867885269426343,9.903746785835175e-07,0.07120295507024324,4,10124.950518291487,39.68239686918969,39497.458363946425,"[93, 98, 132, 137]","[53.64033559372183, 39497.458363946425, 909.0209767566121, 39.68239686918969]","[4, 4, 115, 115]","[94, 115, 133, 138]",0.05,30,1566577696097.555,187620.99174044598,-187620.99174044598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015067403918,,,9626.495972836941,,,38668.458363946425,,186790.99174044598,0.0,-20.0,,,0.0,-20.0,,,0.0,0.0,-15.5,,18.0,,,,,,,9626.495972836941,29533.80207316595,9866.442097229958,,186790.99174044598,,,,,,,34.68239686918969,,,,,,0.0,,,0.9297383263008969,0.2760930234804996,0.014928529436722793,0.4746039677706545,0.7981274355378223,0.46852693056456823,0.034966117058248036,0.9999999999999999,,0.06536683998093337,0.10518688082624547,0.10518688082624547,0.1172258539358848,0.0,0.07237633873998706,1.0,,0.16129032258064524,0.0,1.0,1.0,0.0,0.9702071382988506,0.34075190309739584,12,1.6084694432998174,0.7474812528810555,4,0,0,0.3022194264074951,0.3915381424007096,13,1,0.11111111111111112,0.4940674857131209,0.9389587282188707,4,4.924428900898052,0.648255078507282,8.25,6.058252427184466,0.5294846821107839,10,gaus,8.0,8.0,3.927922024247863,8,0.6153846153846154,1.0,0.26923076923076916,1,7.75,10
