wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,smooth,2.1001199715040806,55.939275920825544,279018743.96116495,0.5714285714285714,298.5270494366628,163,raw,1.022086366619932,,4.5671845748338304,5088581.518020192,0.9985209743188153,7.729460769213945e-06,0.9999868897315971,369.66489105922255,,,,[],[],13,545.3336696057164,140.09636050759542,894.34835962832,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[140.09636050759542, 611.0019065627164, 894.34835962832, 583.846399691684, 693.027621571686, 757.2158522070766, 754.2671832623855, 244.20845962929576, 293.4314019829625, 744.2771217575802, 419.5787949666485, 666.614280237238, 287.4239628691251]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 73, 40, 64, 73, 162, 113, 118, 162, 139, 162, 162]",37189508.76165154,909.1233327601973,-909.1233327601973,0.0,,,,DWT,mdp.39015067403959,101287.76165153831,,0.0,26.5,12.0,0.0,35.5,,1.123332760197286,115.85366960571639,3647.662295125687,115.85366960571645,,0.0,115.85366960571639,,,132.09636050759542,0.0,40,2.348359628320054,1.123332760197286,,0.6648910592225548,1.0,1.0,0.0,0.2731691179263822,0.19493886441804464,0.1081770272567574,0.22711966353068697,0.7069267082520647,0.6318064266874558,0.6318064266874558,0.6318064264206443,,0.9999999999361369,0.3681935733125473,0.9976983131542624,,,,,,1.0,0.0,0.9999957738811455,0.9999957738811455,2.863648049168218,0.994646368609066,3,1.2681726674871912,0.7732339990297386,23,0,0.7243844929284416,0.8931634796036404,6,0,0.4004863818759817,0.846224749552984,13,8.88350531415762,0.9903229789606126,11.25,6.447439353099731,0.9890340384999141,1,dmey,290.77777777777777,210.0,187.50385181228793,9,0.48691709590865473,0.6850538527531109,0.4536418770380084,2,1.25
coif8,1,reflect,2.5704747058016803e-26,315.06158362398656,7564772.38035739,0.6,304.4629679296408,163,raw,1.1721775561097611e-13,-1.7792578521636053e-10,6.365247465854482,62890.95971664417,0.8380754544802897,7.772472971104548e-06,1.0,369.00000000000017,,,,[],[],13,544.3076923076924,140.0000000000001,892.0000000000003,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[140.0000000000001, 612.0000000000001, 892.0000000000003, 581.9999999999998, 692.0000000000002, 755.0, 756.0000000000002, 243.00000000000023, 293.0000000000001, 742.0000000000003, 419.0, 664.0000000000002, 285.9999999999998]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,908.0000000000005,-908.0000000000005,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,4.547473508864641e-13,114.82769230769236,3660.999999999999,114.8276923076924,,0.0,114.82769230769236,,,132.0000000000001,0.0,40,3.410605131648481e-13,4.547473508864641e-13,,1.7053025658242404e-13,1.047900772463932e-13,1.1861209252112506e-26,0.9449433238279343,0.9224152628983039,0.0011890506273616493,0.26997223324077746,0.0002414686289233741,0.6190717507118009,5.201139725148831e-09,5.201139725148831e-09,4.4763759737207695e-09,,2.5647849253820834e-13,0.9999999947988818,1.448992286209242e-13,,,,,,0.0,1.0,4.048180959222141e-13,4.048180959222141e-13,0.7857215270769403,0.27290890857626493,235,1.1368536318075049,0.6931657672261555,220,0,0.23809743276277717,0.29357327994610105,233,0,0.30553733417477225,0.6455981171694347,232,6.782329983125268,0.9926118409769877,230.0,229.84590420507618,0.8710335893338098,2,coif,346.9316239316239,320.0,233.4954672267613,117,0.58094858587426,0.8530863119772876,0.3374100962948317,3,2.25
sym9,1,reflect,3.0006495591443653e-25,304.38956419183717,6360929.9456090825,0.6333333333333333,304.0202864090063,163,raw,4.1490464778924156e-13,-1.4603052100881203e-10,6.094473766521001,61222.997751954084,0.8426359992022474,7.772472971104538e-06,0.9999999999999998,369.0000000000003,,,,[],[],13,544.307692307693,139.99999999999994,892.0000000000003,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999994, 611.9999999999999, 892.0000000000003, 582.0000000000007, 692.0000000000006, 755.0000000000002, 755.9999999999998, 243.00000000000082, 293.00000000000097, 742.0000000000007, 419.00000000000017, 664.0000000000034, 286.0000000000013]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,908.0000000000002,-908.0000000000002,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,2.2737367544323206e-13,114.82769230769293,3660.999999999992,114.82769230769296,,0.0,114.82769230769293,,,131.99999999999994,0.0,40,3.410605131648481e-13,2.2737367544323206e-13,,2.8421709430404007e-13,3.9604422356939644e-13,1.4250146437045522e-25,0.9060255880159954,0.8246440551558103,0.00032981012258099265,0.4587333068888007,0.0001661706782589734,0.6190717507116453,5.2014897722417314e-09,5.2014897722417314e-09,4.476717269636595e-09,,4.274641542303472e-13,0.9999999947985372,1.448992286209242e-13,,,,,,0.0,1.0,2.0240904796110705e-13,2.0240904796110705e-13,0.7857215270770385,0.272908908576299,228,1.1396620764757357,0.6948781404364792,204,0,0.23809743276280515,0.2935732799461356,228,0,0.31284270440883466,0.6610343101999026,155,34.41293361513953,0.9625131442100876,203.75,198.75279133239601,0.8702816265712747,3,sym,597.1812865497076,623.0,225.72434229956318,171,1.0,0.8246941535221517,0.05259175394335449,7,4.0
sym9,1,symmetric,3.009161126329827e-25,304.3772625426638,6328442.8921907125,0.6333333333333333,304.0202864090063,163,raw,4.176073256798628e-13,-1.46265999312335e-10,6.085288341055877,62986.00293807785,0.8413352517900116,7.772472971104538e-06,0.9999999999999998,369.0000000000003,,,,[],[],13,544.307692307693,139.9999999999997,892.0000000000003,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.9999999999997, 611.9999999999998, 892.0000000000003, 582.0000000000007, 692.0000000000006, 755.0000000000002, 755.9999999999998, 243.00000000000082, 293.00000000000097, 742.0000000000007, 419.00000000000017, 664.0000000000034, 286.00000000000114]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,908.0000000000002,-908.0000000000002,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,2.2737367544323206e-13,114.82769230769293,3660.999999999992,114.82769230769291,,0.0,114.82769230769293,,,131.9999999999997,0.0,40,3.410605131648481e-13,2.2737367544323206e-13,,2.8421709430404007e-13,3.9868849902290737e-13,1.4290675393966805e-25,0.9059807274968009,0.8213273735742369,0.0003066225430670071,0.4587333068888007,0.0002457592302380323,0.6190717507114122,5.2014897722417314e-09,5.2014897722417314e-09,4.4766910161046086e-09,,4.274641542303472e-13,0.9999999947985372,1.448992286209242e-13,,,,,,0.0,1.0,2.0240904796110705e-13,2.0240904796110705e-13,0.7857215270769606,0.272908908576272,231,1.1379970610044674,0.6938629422664649,215,0,0.23809743276278156,0.2935732799461065,229,0,0.31237054139050613,0.6600366332500357,164,31.31958918419376,0.9658828004529479,209.75,205.71327136979954,0.8686984808364957,4,sym,597.1812865497076,623.0,225.72434229956318,171,1.0,0.8246941535221517,0.05259175394335449,7,4.75
sym9,1,periodic,3.002752671996959e-25,304.3865213494325,6306528.685866826,0.6333333333333333,293.6051219443584,163,raw,4.2000486251831713e-13,-1.4588930064007968e-10,6.077080700044672,62976.536009258896,0.8429564309355614,7.772472971104538e-06,0.9999999999999998,369.0000000000003,,,,[],[],13,544.307692307693,139.9999999999997,892.0000000000003,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.9999999999997, 611.9999999999997, 892.0000000000003, 582.0000000000007, 692.0000000000006, 755.0000000000002, 755.9999999999998, 243.00000000000082, 293.00000000000097, 742.0000000000007, 419.00000000000017, 664.0000000000033, 286.0000000000012]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,908.0000000000002,-908.0000000000002,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,2.2737367544323206e-13,114.82769230769293,3660.999999999992,114.82769230769291,,0.0,114.82769230769293,,,131.9999999999997,0.0,40,3.410605131648481e-13,2.2737367544323206e-13,,2.8421709430404007e-13,4.0103422724779614e-13,1.4260160688046086e-25,0.9060144916590618,0.8183637512713409,0.00029098131531153236,0.4587333068888007,0.0002453318581790505,0.6190717507114122,5.2014897722417314e-09,5.2014897722417314e-09,4.4766910161046086e-09,,4.274641542303472e-13,0.9999999947985372,1.448992286209242e-13,,,,,,0.0,1.0,2.0240904796110705e-13,2.0240904796110705e-13,0.7857215270769606,0.272908908576272,230,1.1365275167876756,0.6929669274093142,222,0,0.23809743276278156,0.2935732799461065,230,0,0.3119496947132993,0.6591473873477123,168,29.905406423142512,0.9674233045499537,212.5,208.8496092323424,0.8679709115342361,5,sym,597.1812865497076,623.0,225.72434229956318,171,1.0,0.8246941535221517,0.05259175394335449,7,5.5
coif11,1,symmetric,4.712777006654199e-26,312.4289480620482,7976799.422772937,0.5964912280701754,284.1462713762581,163,raw,1.5477190081694695e-13,-1.8440027282906734e-10,6.4442731920843945,63228.76327239616,0.8526011643368266,7.772472971104548e-06,0.9999999999999998,369.0000000000001,,,,[],[],13,544.3076923076925,140.00000000000023,892.0000000000001,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[140.00000000000023, 612.0000000000002, 892.0000000000001, 582.0000000000001, 692.0000000000001, 755.0000000000002, 756.0000000000001, 243.00000000000028, 292.99999999999966, 742.0000000000002, 419.00000000000017, 664.0000000000005, 285.99999999999983]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.00000001,908.0000000000003,-908.0000000000003,0.0,,,,DWT,mdp.39015067403959,7.450580596923828e-09,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769247,3660.999999999998,114.82769230769242,,0.0,114.82769230769247,,,132.00000000000023,0.0,40,1.1368683772161603e-13,3.410605131648481e-13,,1.1368683772161603e-13,1.4153271116896845e-13,2.206206601230144e-26,0.9353428713606176,0.9509499422827681,0.0014831342330641132,0.25010264654098546,0.00025671832646668633,0.6190717507119045,5.201209734567411e-09,5.201209734567411e-09,4.4763847248980984e-09,,1.709856616921389e-13,0.9999999947988387,4.829974287364139e-14,,,,,,7.355854720687939e-14,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270768998,0.27290890857625083,240,1.13756600702131,0.6936001187537528,217,0,0.2380974327627679,0.2935732799460896,239,0,0.3054479018205776,0.6454091472694452,233,10.626225419530053,0.9884245910462636,232.25,231.87185936704208,0.8677144741723692,6,coif,346.9316239316239,320.0,233.4954672267613,117,0.58094858587426,0.8530863119772876,0.3374100962948317,3,5.25
sym9,1,antisymmetric,2.9837967800118692e-25,304.4140245609841,6328595.1696613245,0.6333333333333333,304.0202864090063,163,raw,4.1791246673202973e-13,-1.4554402127942126e-10,6.0851419179885635,95055.79790956079,0.8981258042534865,7.772472971104538e-06,0.9999999999999998,369.0000000000003,,,,[],[],13,544.307692307693,139.99999999999963,892.0000000000003,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999963, 612.0000000000002, 892.0000000000003, 582.0000000000007, 692.0000000000006, 755.0000000000002, 755.9999999999998, 243.00000000000082, 293.00000000000097, 742.0000000000007, 419.00000000000017, 664.0000000000034, 286.00000000000125]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,908.0000000000002,-908.0000000000002,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,2.2737367544323206e-13,114.82769230769293,3660.999999999992,114.82769230769296,,0.0,114.82769230769293,,,131.99999999999963,0.0,40,3.410605131648481e-13,2.2737367544323206e-13,,2.8421709430404007e-13,3.989870462515296e-13,1.4169899692282524e-25,0.9061147878333661,0.8212745030031,0.00030673123085449375,0.4587333068888007,0.001693507974334155,0.6190717507113603,5.2014897722417314e-09,5.2014897722417314e-09,4.476717269636595e-09,,4.274641542303472e-13,0.9999999947985372,1.448992286209242e-13,,,,,,0.0,1.0,2.0240904796110705e-13,2.0240904796110705e-13,0.785721527076953,0.2729089085762693,233,1.1386302157623704,0.6942489912627962,212,0,0.23809743276277923,0.2935732799461036,232,0,0.3125889767044078,0.6604981854454789,161,33.74907406137241,0.9632363027653895,209.5,204.80942107662625,0.8675113975700586,7,sym,597.1812865497076,623.0,225.72434229956318,171,1.0,0.8246941535221517,0.05259175394335449,7,7.0
db31,1,smooth,2.238343938226322e-26,315.66244877138814,801577677.9906979,0.5803571428571429,307.7855264741541,163,raw,1.0801993246708759e-13,-1.6579604356081843e-10,4.276339686625297,13346405.509860834,0.9994476134792434,7.772472971104554e-06,0.9999999999999999,369.00000000000017,,,,[],[],13,544.3076923076923,140.00000000000028,891.9999999999994,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[140.00000000000028, 612.0, 891.9999999999994, 581.9999999999998, 692.0, 755.0, 755.9999999999999, 242.99999999999997, 293.00000000000034, 742.0000000000002, 418.99999999999994, 664.0000000000002, 286.0000000000001]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,907.9999999999997,-907.9999999999997,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,3.410605131648481e-13,114.82769230769225,3661.000000000001,114.82769230769236,,0.0,114.82769230769225,,,132.00000000000028,0.0,40,5.684341886080801e-13,3.410605131648481e-13,,1.7053025658242404e-13,9.579101078363812e-14,1.0279724517516651e-26,0.9471345034086922,0.168150587486108,0.5679144210963176,0.1587380291267641,0.5999082742400775,0.6190717507119563,5.201069715730251e-09,5.201069715730251e-09,4.4763497201887834e-09,,2.5647849253820834e-13,0.999999994798968,2.41498714368207e-13,,,,,,0.0,1.0,3.036135719416606e-13,3.036135719416606e-13,0.7857215270769881,0.2729089085762815,229,1.2397717276831934,0.7559172938019232,26,0,0.2380974327627744,0.2935732799460976,235,0,0.3488351164797222,0.7370860095056893,25,119.24868972026485,0.8700994665356592,128.75,45.93283686208725,0.8649244609366749,8,db,420.3859649122807,404.0,270.7046038748452,342,0.7039503319688988,0.9890315854850842,0.2105252919762456,5,7.25
sym9,1,antireflect,3.0215258192717355e-25,304.3594538734754,6344399.755022999,0.6388888888888888,299.7662982735836,163,raw,4.193509888351023e-13,-1.4535161962925372e-10,6.0781746602516025,96253.85343566311,0.8993108069618456,7.772472971104538e-06,0.9999999999999998,369.0000000000003,,,,[],[],13,544.307692307693,139.99999999999946,892.0000000000003,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.99999999999946, 611.9999999999999, 892.0000000000003, 582.0000000000007, 692.0000000000006, 755.0000000000002, 755.9999999999998, 243.00000000000082, 293.00000000000097, 742.0000000000007, 419.00000000000017, 664.0000000000034, 286.00000000000114]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,908.0000000000002,-908.0000000000002,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,2.2737367544323206e-13,114.82769230769293,3660.999999999992,114.82769230769291,,0.0,114.82769230769293,,,131.99999999999946,0.0,40,3.410605131648481e-13,2.2737367544323206e-13,,2.8421709430404007e-13,4.003944831864628e-13,1.4349551520615194e-25,0.9059157844851204,0.8187587593940542,0.00031801172696597476,0.49019348583013783,0.0017475926164347484,0.6190717507112048,5.2014897722417314e-09,5.2014897722417314e-09,4.4766910161046086e-09,,4.274641542303472e-13,0.9999999947985372,1.448992286209242e-13,,,,,,0.0,1.0,2.0240904796110705e-13,2.0240904796110705e-13,0.7857215270768985,0.2729089085762504,241,1.1498642876303313,0.7010986628718388,165,0,0.23809743276276268,0.2935732799460832,241,0,0.3167048048647305,0.669194899770339,118,60.5660796155736,0.9340238784144078,191.25,175.17784642953808,0.8628452725405372,9,sym,597.1812865497076,623.0,225.72434229956318,171,1.0,0.8246941535221517,0.05259175394335449,7,8.5
db31,1,reflect,1.8982529349644143e-26,316.3781761701171,7871286.459598508,0.6026785714285714,296.076273973013,163,raw,9.781950300893642e-14,-1.652546988140112e-10,6.451815889144163,62258.13737914613,0.8485254783859625,7.772472971104554e-06,0.9999999999999999,369.00000000000017,,,,[],[],13,544.3076923076923,139.9999999999999,891.9999999999995,"[3, 12, 30, 39, 54, 69, 82, 96, 116, 128, 136, 147, 155]","[139.9999999999999, 612.0000000000002, 891.9999999999995, 581.9999999999999, 692.0, 755.0, 755.9999999999999, 242.99999999999997, 293.00000000000034, 742.0, 419.0000000000002, 664.0000000000001, 286.0000000000001]","[2, 2, 23, 36, 36, 64, 73, 91, 113, 113, 131, 145, 154]","[4, 23, 162, 40, 64, 162, 162, 113, 118, 162, 139, 162, 162]",37088221.0,907.9999999999995,-907.9999999999995,0.0,,,,DWT,mdp.39015067403959,0.0,,0.0,35.5,12.0,0.0,35.5,,4.547473508864641e-13,114.82769230769225,3661.0,114.82769230769233,,0.0,114.82769230769225,,,131.9999999999999,0.0,40,4.547473508864641e-13,4.547473508864641e-13,,1.7053025658242404e-13,8.581100342683874e-14,8.660336064111589e-27,0.9497445520498321,0.9536734660333559,0.0014078245337861887,0.2851405338017793,0.00021290069622647255,0.6190717507115935,5.201069715730251e-09,5.201069715730251e-09,4.4763322178341255e-09,,2.5647849253820834e-13,0.9999999947989249,1.9319897149456557e-13,,,,,,0.0,1.0,4.048180959222141e-13,4.048180959222141e-13,0.7857215270768686,0.27290890857624,246,1.1615287503126983,0.7082107536443761,132,0,0.23809743276274992,0.29357327994606747,246,0,0.31288275387358083,0.6611189344213699,154,60.14149981501958,0.9344863836437696,194.5,180.18549346016644,0.8613063726497715,10,db,420.3859649122807,404.0,270.7046038748452,342,0.7039503319688988,0.9890315854850842,0.2105252919762456,5,8.75
