signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,mexh,5187301201.125229,0.6960561155757885,1824.7018998205815,-46.05821704353099,209,103,137356.0105293191,,False,13.40070705105433,565964.5589442713,0.018587056750461475,4.786734055920165e-06,0.44387710954792964,149355.54880646287,,,,[],[],2,114810.84199014884,47066.537449995696,182555.14653030198,"[87, 162]","[182555.14653030198, 47066.537449995696]","[0, 120]","[208, 208]",4383190946498.898,198328.62746438707,-198328.62746438707,0.0,,,,CWT,mdp.39015067403975,4383153441583.258,,0.0,-20.0,19.0,0.0,-20.0,,197609.62746438707,114580.39437110123,224782.28398029768,114580.39437110123,,0.0,114580.39437110123,,,47055.73744999569,0.0,-20.0,181836.14653030198,197609.62746438707,,148953.14880646288,1.0,0.0,0.5848717741252247,1.0,1.0000000000000002,0.6848914238771183,0.09080271074223027,,0.34822083855871366,0.8971428867613609,0.8971428867613609,0.8971428867613609,,1.0,0.8764123228297012,1.0,,,,,0.5,,1.0,0.09090909090909091,0.09090909090909091,0.6393454150231016,0.6393454150231016,0.0909090909090909,3.3422028134405672,1.0,1,1.956213521797916,0.9499331397785368,2,0,0.6405342803175695,1.0,1,0.0,0.60902906396289,0.9650564707947988,2,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,mexh,0.1111111111111111,,,2,1.25,0.5116666029585462,0.9980035857901544,0.6403222935062436,0.0,0.547775852008493,0.9991848432118127,0.978757302177376,0.6848914238771182,0.09080271074223029,,0.34609929690328983,0.8711282197959058,0.8711282197959058,0.8711282197959058,,0.9999999999999999,0.8802059981773445,1.0,,,,,0.09999999999999998,,1.0,0.6296296296296295,0.6296296296296295,0.6393454150231016,0.6393454150231016,0.6296296296296295,3.375538203837067,0.9591942958145813,2,1.9667586861177622,0.9838056167406027,2,0.0,1.0,2.0,2.0,0.95,1,1.5,1.5,0.7071067811865476,2,0.09375,0.1310149851500118,0.8950705044549964,1,1.0
raw,mexh,5191033168.948261,0.6979142472244159,1834.2813150881677,-44.492682513543976,209,103,137567.44673704877,-462239.2192239804,False,13.406877548232352,561804.6823995536,0.018851792910096397,2.740490806061473e-07,0.286982435339191,149116.9423547671,,,,[],[],2,114269.39912963228,49467.85205460536,179070.9462046592,"[88, 163]","[179070.9462046592, 49467.85205460536]","[0, 120]","[208, 208]",4373128001293.786,198365.309661928,-198365.309661928,0.0,,,,CWT,mdp.39015067403975,4373083034330.786,,0.0,-19.0,27.0,0.0,-28.0,,197505.309661928,113790.50257790813,214650.79825926456,113790.50257790815,,0.0,113790.50257790813,,,49460.85205460536,0.0,-23.5,178211.9462046592,197505.309661928,,148752.9423547671,1.0,0.0,0.5058064577096115,0.9999999999999999,1.0,0.6483528326160916,0.08712339302233273,0.0,0.36592951525993644,0.8590978158425084,0.8590978158425084,0.8590978158425088,,0.9999999999999999,0.870278996337477,1.0,,,,,0.6666666666666666,,1.0000000000000002,0.9047619047619048,0.47619047619047616,0.6402552203739159,0.6402552203739159,0.09090909090909088,3.4971521980982656,1.0,1,1.7470937191101754,1.0,1,0,0.7308957527429223,1.0,1,0.0,0.5301603354185045,0.9387045223763213,2,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.1111111111111111,,,2,1.25,,1.0000000000000002,0.017320569613733627,0.1203924402264871,0.568413167192386,0.9999999999999999,1.0,0.4905133756070529,0.08892953183573717,0.0,0.3659295152599364,0.8621293980423554,0.8621293980423554,0.8621293980423557,,0.9986526172785566,0.8352092782630804,0.9748685121316777,,,,,0.9000000000000001,,0.997524243283243,0.7037037037037036,0.37037037037037035,0.6387542552048119,0.6387542552048119,0.03703703703703709,3.51913915519112,1.0,1,1.7934153815933214,0.8970963941912174,3,1.4142135623730951,0.9292893218813453,2.0,1.5,0.9146446609406726,2,1.5,1.5,0.7071067811865476,2,0.09375,0.1310149851500118,0.8950705044549964,1,1.75
raw,gaus2,2327234604.0726957,0.6955451293724161,1355.1839276995122,-40.7666913394481,209,103,86379.27371862595,,False,13.502350441840294,382585.35222194664,0.018136561673903727,1.2966135416721178e-06,0.4459735272822675,103524.25549379335,,,,[],[],3,85523.28323211193,10197.167736369214,135580.8316436555,"[35, 79, 165]","[10197.167736369214, 110791.85031631109, 135580.8316436555]","[0, 0, 0]","[55, 120, 208]",1860119452976.6448,134729.84519998974,-134729.84519998974,0.0,,,,CWT,mdp.39015067403975,1860074486013.6448,,0.0,-23.0,26.0,0.0,-23.0,,133869.84519998974,85044.38668038779,242681.8496963358,85044.38668038779,,0.0,85044.38668038779,,,10190.167736369214,0.0,-18.5,134721.8316436555,133869.84519998974,,103160.25549379335,0.5166731512670862,0.3257537581735881,0.8714366106214849,0.37309120224947445,0.9726980728051396,0.9324717371832979,0.005076483931172382,,0.04214193210152676,0.5244074019554855,0.5244074019554855,0.5244074019554856,,0.6927487578422716,1.0000000000000002,0.6861920633903548,,,,,0.33333333333333337,,0.3806567075143081,0.5238095238095238,0.9523809523809523,0.27805059726226233,0.27805059726226233,1.0,2.4565806256211484,0.7024517340014612,3,1.7368166242876026,0.9941176053063673,2,0,0.552899047911661,0.7564677258510928,2,0.125,0.5647787166044633,1.0,1,0.816496580927726,0.9183503419072274,2.0,1.7142857142857144,0.8591751709536137,2,gaus,0.625,1.0,0.26249999999999996,1,1.75,,0.5166731512670861,0.1584913859947253,0.406927908540608,0.8877236117256231,0.37447348132212765,0.9729155602761554,0.6874886923288006,0.008227649143855292,,0.042141932101526766,0.5346400187401844,0.5346400187401844,0.5346400187401844,,0.6918153601356536,0.9597029019176777,0.6732926641443099,,,,,0.8000000000000002,,0.3797142941139009,0.40740740740740733,0.7407407407407407,0.2781376708700024,0.2781376708700024,0.40740740740740744,2.4736325712966925,0.7029084279454566,3,1.7452574135263081,0.8730069724387893,4,0.7071067811865476,0.9646446609406726,3.5,3.428571428571429,0.8948223304703362,3,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,2.75
smoothed,gaus2,2330211067.591447,0.6925256654433967,1348.477283782609,-42.33151843029313,209,103,86435.51274015699,,False,13.485979769589093,384527.2427858662,0.018721158135531886,7.3920433509066815e-06,0.6759660622526085,103173.03420743867,,,,[],[],3,85531.52201044977,7613.999034391047,139962.2849055747,"[34, 79, 165]","[7613.999034391047, 109018.28209138355, 139962.2849055747]","[0, 0, 0]","[55, 119, 208]",1864065591394.934,134451.93816573758,-134451.93816573758,0.0,,,,CWT,mdp.39015067403975,1864028086479.2942,,0.0,-15.0,18.0,0.0,-19.5,,133732.93816573758,85301.07439140216,251755.1660313493,85301.07439140216,,0.0,85301.07439140216,,,7603.199034391047,0.0,-19.5,139243.2849055747,133732.93816573758,,102770.63420743868,0.5177776549155244,0.32576831031377645,0.889381331144155,0.37542965076348034,0.9587628865979387,0.972428256336829,0.00910207616204918,,0.01213404335374195,0.5536177120993573,0.5536177120993573,0.5536177120993573,,0.6891128791333633,1.0,0.7046460214615426,,,,,0.0,,0.3806042759211504,1.0,0.18181818181818182,0.27736183073933207,0.27736183073933207,0.1818181818181818,2.154567928994759,0.6446550521501058,3,2.059317061255468,1.0,1,0,0.45469359866306425,0.7098661424297734,3,0.0,0.6310812707792192,1.0,1,1.1547005383792515,0.8845299461620748,2.0,1.5,0.8422649730810374,2,gaus,0.625,1.0,0.26249999999999996,1,1.75,1.0,0.5172041690286038,1.0,0.2865898716651706,0.8329716665787131,0.3751236167351737,0.9383961763143919,0.9724282563368289,0.009102076162049166,,0.02081232304933643,0.5375643268259889,0.5375643268259889,0.5375643268259889,,0.6891932219143615,1.0,0.7046460214615426,,,,,0.0,,0.3806862660175996,0.9999999999999999,0.6666666666666666,0.277361830739332,0.277361830739332,0.6666666666666666,2.2882590780506753,0.6502326214282376,5,1.999133418889935,1.0,1,2.8284271247461903,0.8585786437626906,3.0,1.6666666666666667,0.8542893218813452,4,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,3.5
raw,gaus4,903742171.31469,0.6657221164119478,819.2815020377475,-36.38745239791177,209,103,50789.78285604783,,False,13.535920755169922,417117.38040198915,0.017505375074822,9.640903353020113e-07,0.4012644852760706,40970.40503588408,,,,[],[],3,72892.42281444966,10534.230478760837,115293.68962066167,"[18, 79, 168]","[92849.34834392645, 10534.230478760837, 115293.68962066167]","[0, 56, 118]","[118, 118, 208]",679964099909.7349,97596.34576279767,-97596.34576279767,0.0,,,,CWT,mdp.39015067403975,679919132946.7349,,0.0,-23.0,26.0,0.0,-23.0,,96736.34576279767,72413.52626272551,204789.26844334896,72413.52626272551,,0.0,72413.52626272551,,,10527.230478760837,0.0,-23.0,114434.68962066167,96736.34576279767,,40606.40503588408,0.18063153359833517,0.7086192767672397,1.0,0.06147713114385959,0.6290149892933616,0.8525761664075603,0.02088530418517947,,0.044921021201358144,0.37734656368407016,0.37734656368407016,0.37734656368407016,,0.27119544352349967,0.82464219429884,0.5398078507433053,,,,,0.33333333333333337,,0.08980162765294346,0.5238095238095238,0.5238095238095238,0.06669164385178414,0.06669164385178414,1.0,1.6805836674213164,0.4805577716449429,6,1.6110901756662146,0.9221544088011319,3,0,0.3869102497948649,0.5293644796030887,4,0.125,0.48706491448507655,0.862399556083462,3,1.4142135623730951,0.8585786437626906,4.0,3.6923076923076925,0.7292893218813452,3,gaus,0.625,1.0,0.26249999999999996,1,2.5,,0.18063153359833517,0.1125846737078953,0.7436993130721905,1.0,0.06354649199105342,0.6319702602230484,0.6320983078621693,0.023777309353704437,,0.04492102120135815,0.3907432692461286,0.3907432692461286,0.3907432692461286,,0.27083003946876194,0.791411506912358,0.532614440585192,,,,,0.8000000000000002,,0.08957930067010597,0.40740740740740733,0.4074074074074074,0.06770539313518384,0.06770539313518384,0.40740740740740744,1.7174080127171685,0.4880193527396612,9,1.5810960470062794,0.7908907089774025,6,2.1213203435596424,0.8939339828220179,7.5,7.199999999999999,0.7594669914110089,5,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,4.25
raw,gaus6,897217063.9598129,0.6502996237283412,765.5216773929797,-36.11596223310698,209,103,46614.63582355471,,False,13.475606009599705,509610.9062697882,0.01723676872008096,8.116700186531521e-07,0.38362822195670676,24823.99762509754,,,,[],[],3,70000.79599240229,15543.017869247615,106738.77018105403,"[17, 79, 167]","[87720.5999269052, 15543.017869247615, 106738.77018105403]","[0, 56, 118]","[118, 118, 208]",637136252502.3604,105836.18209847341,-105836.18209847341,0.0,,,,CWT,mdp.39015067403975,637091285539.3604,,0.0,-23.0,26.0,0.0,-23.0,,104976.18209847341,69521.89944067814,196114.38797720685,69521.89944067814,,0.0,69521.89944067814,,,15536.017869247615,0.0,-23.0,105879.77018105403,104976.18209847341,,24459.99762509754,0.1412091330863027,0.7323549587267626,0.7690141273371371,0.0600487320737536,0.45128479657387555,0.8210599616081714,0.06322899501850454,,0.08621857411838034,0.34367941430889715,0.34367941430889715,0.3436794143088972,,0.16238405128253441,0.7844969217161591,0.47807884302962556,,,,,0.33333333333333337,,0.07924649442782136,0.5238095238095238,0.5238095238095238,0.1135916993428576,0.1135916993428576,1.0,1.570812118173973,0.44916893208942205,7,1.4305366461476143,0.8188093348971633,4,0,0.3735427790813793,0.5110753177584346,6,0.125,0.42777867206064396,0.757427040863925,4,1.5,0.85,5.25,4.9411764705882355,0.6625,4,gaus,0.625,1.0,0.26249999999999996,1,3.25,,0.1412091330863027,0.09154218557767214,0.7645773983601666,0.7982764794055329,0.06212124241597619,0.45565586829527366,0.6102486022549921,0.06542684384836198,,0.08621857411838035,0.3578004857235905,0.3578004857235905,0.3578004857235905,,0.16216525781759833,0.752883972316483,0.47329160111912494,,,,,0.8000000000000002,,0.07905029938696223,0.40740740740740733,0.4074074074074074,0.11439982146966243,0.11439982146966243,0.40740740740740744,1.610304466257658,0.4575847658318031,11,1.4113032212854981,0.705957495357742,9,1.4142135623730951,0.9292893218813453,10.0,9.9,0.7146446609406727,6,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,5.0
raw,gaus8,896521181.1069738,0.642123844474381,706.9287157062132,-35.49708033963947,209,103,41962.8615889198,,False,13.401808021719962,526656.8483379387,0.018383328587898744,7.335998536843741e-07,0.40599798895592626,21013.927929030102,,,,[],[],3,72798.54148272093,29955.62005622158,104742.54734076909,"[17, 88, 167]","[83697.45705117214, 29955.62005622158, 104742.54734076909]","[0, 56, 118]","[118, 118, 208]",552451985820.4989,106598.34034116122,-106598.34034116122,0.0,,,,CWT,mdp.39015067403975,552407018857.4989,,0.0,-23.0,26.0,0.0,-27.5,,105738.34034116122,72319.64493099679,204507.6244481628,72319.6449309968,,0.0,72319.64493099679,,,29948.62005622158,0.0,-23.0,103883.54734076909,105738.34034116122,,20649.927929030102,0.09728634293253276,0.7864621997916981,0.48639181881192006,0.05989639765749988,0.3570663811563162,0.8610349917659453,0.07103265580583558,,0.2050507694355592,0.3762535053423947,0.3762535053423947,0.37625350534239493,,0.13670781398610327,0.8233388132318439,0.4636748669342265,,,,,0.33333333333333337,,0.058375641209433726,0.5238095238095238,0.5238095238095238,0.11792980296759496,0.11792980296759496,0.18181818181818177,1.462822748965539,0.4182897014779668,8,1.2898609424807275,0.7382894966491412,5,0,0.3296098992521503,0.4509670469628298,8,0.125,0.38220296970310685,0.676730475965826,6,1.5,0.85,6.75,6.486486486486486,0.5874999999999999,6,gaus,0.625,1.0,0.26249999999999996,1,4.75,,0.09728634293253274,0.08076415705891057,0.8121705366393718,0.5514580639890451,0.061969243883787876,0.36218799787573,0.6379626828730468,0.07310257623611964,,0.20505076943555917,0.38967372861095173,0.38967372861095173,0.3896737286109519,,0.1365236162396521,0.7901606483200573,0.45944908536795953,,,,,0.8000000000000002,,0.05823111732361447,0.40740740740740733,0.4074074074074074,0.11871890524668259,0.11871890524668259,0.07407407407407407,1.5981876786011358,0.45414165457016153,12,1.2767324287114312,0.6386429323063222,11,0.7071067811865476,0.9646446609406726,11.5,11.478260869565217,0.6948223304703363,7,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,5.75
smoothed,gaus8,885141620.0126544,0.6333906257258327,687.1626477071105,-37.04931183821491,209,103,42114.65457907716,,False,13.373588749233003,518740.1295055715,0.01842736578228465,3.808976113253519e-06,0.5965468397402726,21622.80890732267,,,,[],[],3,74480.16044870969,27215.319232354017,110042.60082518347,"[17, 87, 168]","[86182.56128859162, 27215.319232354017, 110042.60082518347]","[0, 56, 119]","[119, 119, 208]",551989825342.9557,106135.71324513904,-106135.71324513904,0.0,,,,CWT,mdp.39015067403975,551952320427.3157,,0.0,-19.5,18.0,0.0,-15.0,,105416.71324513904,74249.71282966208,218601.0813461291,74249.7128296621,,0.0,74249.71282966208,,,27204.519232354018,0.0,-19.5,109323.60082518347,105416.71324513904,,21220.408907322668,0.09805457508457156,0.7875109127654826,0.4880321023449548,0.05953218608356903,0.2680412371134029,0.8740351557110203,0.06953770344097437,,0.17911303004713575,0.42395551661865694,0.42395551661865694,0.4239555166186571,,0.14014072008782058,0.8480905263590848,0.4971723417727603,,,,,0.0,,0.05799463781263439,0.18181818181818182,0.18181818181818182,0.11689627276057232,0.11689627276057232,0.9999999999999999,1.4901151324549473,0.4458482071951153,5,1.3588700496070447,0.6598644158168661,6,0,0.3279861939352083,0.512050961226613,5,0.0,0.3716427118604814,0.5888983385635903,6,0.5773502691896257,0.9422649730810374,5.5,5.454545454545455,0.6961324865405187,3,gaus,0.625,1.0,0.26249999999999996,1,2.5,0.3283978223398759,0.09871959642189056,0.5053372708061987,0.6928011236175683,0.4570783075817678,0.05948365801796738,0.2623473181094005,0.8740351557110202,0.06953770344097439,,0.1824256028735779,0.41166197705461244,0.41166197705461244,0.4116619770546126,,0.14036293413651693,0.8527535739898845,0.4971723417727603,,,,,0.0,,0.058119332103374374,0.6666666666666666,0.6666666666666666,0.11689627276057231,0.11689627276057231,1.0,1.579519393650055,0.4488368671980728,13,1.3375467880433936,0.6690632928271978,10,2.1213203435596424,0.8939339828220179,11.5,11.304347826086955,0.659466991411009,8,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,6.5
raw,gaus5,907411673.3485807,0.6486737585357922,787.9858708423185,-36.568308483475846,209,103,48834.372455889075,,False,13.496809101743544,568567.946352974,0.016515355024372687,4.655688116735587e-07,-0.042832215317882574,14794.592311188011,,,,[],[],2,87370.28578163071,12113.950121912665,162626.62144134875,"[52, 99]","[12113.950121912665, 162626.62144134875]","[3, 3]","[60, 137]",701167095118.3728,109294.65617838949,-109294.65617838949,0.0,,,,CWT,mdp.39015067403975,701122128155.3728,,0.0,-28.0,27.0,0.0,-23.5,,108434.65617838949,86891.38922990656,160852.57156326142,86891.38922990656,,0.0,86891.38922990656,,,12106.950121912665,0.0,-28.0,161767.62144134875,108434.65617838949,,14430.592311188011,0.16216823844716516,0.6928074976168619,0.850215079039637,0.06228041498393984,0.4325481798715197,0.05897026967065755,0.09021962657144764,,0.057945841476427125,0.5459120132202773,0.5459120132202773,0.5459120132202774,,0.09479542132969528,0.6213136666588325,0.8813440784186738,,,,,0.6666666666666666,,0.0950272099025025,0.04761904761904767,0.04761904761904767,0.13327687507386335,0.13327687507386335,0.9090909090909091,1.866264160534233,0.5336525420738332,4,1.1532779475615051,0.6601122395133383,7,0,0.3804079770421688,0.5204681729433576,5,0.125,0.32935132945731843,0.5831510993144879,8,1.8257418583505538,0.8174258141649446,6.0,5.5721393034825875,0.6087129070824724,5,gaus,0.625,1.0,0.26249999999999996,1,4.0,,0.16216823844716516,0.04376095339127056,0.7297911525980489,0.8691905213086814,0.06434800466051757,0.4370685077004778,0.08190340583648759,0.09197500764262849,,0.057945841476427125,0.5556819473495241,0.5556819473495241,0.5556819473495241,,0.0946676956169237,0.5962765288935941,0.8608377436424679,,,,,0.9000000000000001,,0.0947919456493117,0.03703703703703698,0.03703703703703709,0.13399869012341092,0.13399869012341092,0.3703703703703704,1.8358654194894948,0.5216802571678332,8,1.210801480566797,0.6056631684138033,13,3.5355339059327378,0.8232233047033631,10.5,9.904761904761905,0.6491116523516816,9,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,7.25
smoothed,gaus5,903758254.9936811,0.6444000557439494,779.4877649862781,-38.16338704268442,209,103,49102.84182955831,,False,13.475189563988975,565373.8319686387,0.016615813796950422,3.6711251205161945e-06,-0.054241727578407256,14493.127040605832,,,,[],[],2,84819.79197771527,8935.381232709615,160704.20272272092,"[53, 98]","[8935.381232709615, 160704.20272272092]","[3, 3]","[59, 138]",707649799073.9366,109723.7187733205,-109723.7187733205,0.0,,,,CWT,mdp.39015067403975,707612294158.2966,,0.0,-20.0,19.0,0.0,-20.0,,109004.7187733205,84589.34435866766,164800.18395543055,84589.34435866764,,0.0,84589.34435866766,,,8924.581232709616,0.0,-20.0,159985.20272272092,109004.7187733205,,14090.727040605832,0.16423342623739148,0.690124342348085,0.8508494210104856,0.0636018505562566,0.3966359196961477,0.06776807118539807,0.0905367083024087,,0.023390584152093552,0.5452672045063928,0.5452672045063928,0.5452672045063927,,0.09214579630587699,0.6015789401811893,0.8484778213482937,,,,,0.5,,0.09626789084621225,0.09090909090909091,0.09090909090909091,0.1372291847474271,0.1372291847474271,0.0909090909090909,1.6082481939047746,0.48119407578656004,4,1.233314350119759,0.5988948342747502,7,0,0.3103463063267837,0.48451162703254164,8,0.0,0.32828863465982905,0.5202002497308771,7,1.7320508075688772,0.8267949192431123,6.5,6.054054054054055,0.5883974596215562,6,gaus,0.625,1.0,0.26249999999999996,1,4.75,0.302559337942459,0.16470316885599515,0.4863061603729536,0.6071267230260852,0.7968836711637277,0.0635500050760344,0.38821030270844376,0.06776807118539807,0.0905367083024087,,0.03170714588855637,0.5294559608998972,0.5294559608998972,0.529455960899897,,0.09238041371705324,0.6138089633293204,0.8484778213482937,,,,,0.09999999999999998,,0.09638751886415495,0.6296296296296295,0.6296296296296295,0.1372291847474271,0.1372291847474271,0.6296296296296295,1.658293392956708,0.4712213185746127,10,1.208401703582717,0.604462759796047,14,2.8284271247461903,0.8585786437626906,12.0,11.666666666666666,0.6292893218813453,10,10.9375,10.5,5.39714430663723,16,0.68359375,1.0,0.22148437499999998,2,8.0
