signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,mexh,3965888387.1942096,0.69789104610393,1699.3371661346816,-43.119909726938914,197,97,119486.52532130737,-410439.4748324957,False,13.229967392564339,469894.22790773836,0.020123452071603244,2.837658586686871e-07,0.2580266728962694,131615.26096895838,,,,[],[],2,93278.27859684589,47670.20927455359,138886.3479191382,"[81, 160]","[138886.3479191382, 47670.20927455359]","[0, 124]","[196, 196]",3098170932433.997,167992.63495492813,-167992.63495492813,0.0,,,,CWT,mdp.39015067403991,3098132326786.997,,0.0,-16.0,24.0,0.0,-25.0,,167119.63495492813,92835.50936607666,175044.55719369178,92835.50936607667,,0.0,92835.50936607666,,,47657.20927455359,0.0,-20.5,138014.3479191382,167119.63495492813,,131268.26096895838,1.0,0.0,0.697439534783199,1.0,1.0,0.5179815528185534,0.08297521751937162,0.0,0.41873268232959016,0.7874623967734262,0.7874623967734262,0.7874623967734264,,0.9999999999999999,0.8957944217836166,1.0,,,,,0.75,,0.9999999999999999,0.8636363636363636,0.45454545454545453,0.5848253719652649,0.5848253719652649,0.07692307692307693,3.4633661186756717,1.0,1,1.7891024755267693,1.0,1,0,0.7136907095334938,1.0,1,0.0,0.5372995381401405,1.0,1,0.0,1.0,1.0,1.0,0.95,1,mexh,1.0,1.0,,1,0.125,,,2,1.25
raw,gaus2,1763020075.3391268,0.662619707990999,1185.0596721239035,-39.356715056412085,197,97,74863.98648978115,,False,13.318669274608181,319249.52234463097,0.019045331376840193,1.0872192124428478e-06,0.43092996716359283,85329.61339198495,,,,[],[],2,101754.22330849059,91190.0339499303,112318.4126670509,"[81, 169]","[91190.0339499303, 112318.4126670509]","[0, 0]","[122, 196]",1307043526436.9172,126241.06895219474,-126241.06895219474,0.0,,,,CWT,mdp.39015067403991,1307004920789.9172,,0.0,-20.5,24.0,0.0,-25.0,,125368.06895219474,101311.45407772136,191996.44661698118,101311.45407772137,,0.0,101311.45407772136,,,91177.0339499303,0.0,-20.5,111446.4126670509,125368.06895219474,,84982.61339198495,0.5171714151145691,0.33860811574708927,1.0,0.36662693108689254,0.5542328042328045,0.9180647783434494,0.0,,0.83139562791147,0.9022565588309684,0.9022565588309684,0.9022565588309686,,0.6464619479341263,1.0,0.7290514334619845,,,,,0.75,,0.37313733529258175,0.4545454545454546,0.45454545454545453,0.303857313478986,0.303857313478986,0.07692307692307693,2.963611581350959,0.8557026545273794,2,1.630548792556572,0.9113780875388292,2,0,0.6164674738617877,0.8637739928893619,2,0.125,0.5215648635035436,0.9707152649133807,2,0.0,1.0,2.0,2.0,0.9,2,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,1.75
raw,gaus4,682092995.5103601,0.681929980637396,737.2811304082795,-34.986051641086455,197,97,42662.81780145067,,False,13.281175317175194,350166.7744404423,0.019440316878834418,1.0068649710018261e-06,0.39668676305439576,33780.828944699664,,,,[],[],3,57686.83140960947,6306.2564958856965,96452.0522261546,"[28, 81, 170]","[70302.1855067881, 6306.2564958856965, 96452.0522261546]","[0, 68, 122]","[122, 122, 196]",478788884120.78284,100931.59638184235,-100931.59638184235,0.0,,,,CWT,mdp.39015067403991,478750278473.78284,,0.0,-20.0,23.0,0.0,-20.0,,100058.59638184235,57244.062178840235,161548.4942288284,57244.062178840235,,0.0,57244.062178840235,,,6293.2564958856965,0.0,-20.0,95580.0522261546,100058.59638184235,,33433.828944699664,0.16874559451874277,0.7318756007430127,0.8721088105195272,0.05583663184930997,0.7982804232804233,0.8388289742463143,0.017029245788372727,,0.026512108789167696,0.3054287715822501,0.3054287715822501,0.3054287715822501,,0.2527231154040335,0.8128322805271871,0.5672410565227911,,,,,0.5,,0.08326297437320669,0.5,0.5,0.13353667523183405,0.13353667523183405,0.846153846153846,1.6635146797978877,0.4803173048404093,5,1.6153772173118932,0.9028980952230108,3,0,0.3765775033557608,0.5276480390250727,4,0.125,0.49127932584938616,0.9143490566732049,3,0.9574271077563381,0.9042572892243662,3.75,3.582089552238806,0.764628644612183,3,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,2.5
raw,gaus1,3119016262.6485844,0.6187660264796693,1242.5160001738866,-42.7573968096144,197,97,98048.14641285923,,False,13.121481943641763,2134788.065861404,0.024051119380515823,4.950747043293714e-07,0.07739382178113215,14095.661367621811,,,,[],[],1,40831.07642775102,40831.07642775102,40831.07642775102,[112],[40831.07642775102],[3],[131],2832649422697.656,229687.1598715355,-229687.1598715355,0.0,,,,CWT,mdp.39015067403991,2832610817050.656,,0.0,-21.0,25.0,0.0,-25.5,,228814.1598715355,40388.30719698178,29319.076427751017,40388.30719698178,,0.0,40388.30719698178,,,40818.07642775102,0.0,-25.5,39959.07642775102,228814.1598715355,,13748.661367621811,0.7680306315675036,0.03261851342174926,0.327397691938824,0.7565056460189745,0.0,0.10001280319965045,0.9999999999999999,,0.3538827725048349,0.07714244659816222,0.07714244659816222,0.07714244659816222,,0.10236428574270579,0.0,0.0,,,,,1.0,,0.9070722045940649,0.4090909090909091,0.0,0.9999999999999998,0.9999999999999998,0.0,1.5212203697672728,0.4392317524746589,7,1.2319370877820601,0.688578270185076,5,0,0.35741696512335736,0.5008009216723364,5,0.125,0.42011646944952885,0.7819036489474005,4,1.2583057392117916,0.8741694260788209,5.25,5.045045045045045,0.6745847130394105,4,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,3.25
raw,gaus6,681464413.0107574,0.6635093411481501,683.9786177613237,-34.78609579124949,197,97,39064.83714047766,,False,13.20600457775876,429152.98712101026,0.017763075230453666,6.798394694434967e-07,0.3827158774676454,19801.382466848736,,,,[],[],3,53561.31305697558,9520.32604551343,92395.52381778936,"[28, 81, 170]","[58768.089307623944, 9520.32604551343, 92395.52381778936]","[0, 68, 122]","[122, 122, 196]",455919600334.3494,96328.13201989997,-96328.13201989997,0.0,,,,CWT,mdp.39015067403991,455880994687.3494,,0.0,-20.0,23.0,0.0,-20.0,,95455.13201989997,53118.54382620635,149171.93917092675,53118.543826206354,,0.0,53118.54382620635,,,9507.32604551343,0.0,-20.0,91523.52381778936,95455.13201989997,,19454.382466848736,0.1298144185598484,0.7498674080965306,0.6157028204269428,0.05565590056151767,0.5654761904761907,0.8065015568152474,0.060534911345639486,,0.05698850472016593,0.2495547140635664,0.2495547140635664,0.24955471406356652,,0.14594560368143047,0.7367519071875828,0.5258712418594199,,,,,0.5,,0.0752591326999041,0.5,0.5,0.10255756311898427,0.10255756311898427,0.846153846153846,1.4938635312657913,0.43133283634391434,8,1.397549194374934,0.7811454142465767,4,0,0.34576782176650134,0.484478524307138,7,0.125,0.41997188661170237,0.7816345572628497,5,1.8257418583505538,0.8174258141649446,6.0,5.5721393034825875,0.6087129070824724,5,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.0
raw,gaus8,684379393.2872676,0.6426291276361924,627.097168803665,-34.24645374177182,197,97,35436.12215131249,,False,13.145327008654085,445386.0373982592,0.01862352865883695,4.854238465098737e-07,0.40374036931187507,15762.951196407368,,,,[],[],3,53614.5330133577,19495.228960449207,91191.55067319194,"[22, 81, 170]","[50156.81940643194, 19495.228960449207, 91191.55067319194]","[0, 58, 122]","[122, 122, 196]",402559554954.6091,95140.28167403297,-95140.28167403297,0.0,,,,CWT,mdp.39015067403991,402520949307.6091,,0.0,-20.0,23.0,0.0,-20.0,,94267.28167403297,53171.76378258847,149331.5990400731,53171.76378258847,,0.0,53171.76378258847,,,19482.228960449207,0.0,-20.0,90319.55067319194,94267.28167403297,,15415.951196407368,0.09055068841248767,0.7984238059312321,0.4087327639465087,0.05649402147579039,0.30158730158730207,0.8551504073053733,0.06947608768982487,,0.15157236045659872,0.2502754998291025,0.2502754998291025,0.2502754998291025,,0.11509934356636112,0.7377333581967835,0.5135927266272922,,,,,0.5,,0.05658406797605645,0.5,0.5,0.09456389875131345,0.09456389875131345,0.846153846153846,1.489280734897713,0.43000961604001225,9,1.2293184014266352,0.6871145830060318,6,0,0.3471921428547767,0.48647423627206793,6,0.125,0.3623807251926456,0.6744482350515776,6,1.5,0.85,6.75,6.545454545454546,0.5874999999999999,6,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.75
raw,gaus5,665159161.6673473,0.6535663823329321,677.3482209654102,-34.981447675061126,197,97,40497.37996349705,,False,13.229609080843995,458370.66658360104,0.016722114578307943,2.4321277042628104e-07,0.056371612398921356,7554.076814432155,,,,[],[],2,70097.33881880261,5263.867410910447,134930.81022669477,"[56, 102]","[5263.867410910447, 134930.81022669477]","[3, 3]","[61, 133]",472549163156.58136,104440.5663855225,-104440.5663855225,0.0,,,,CWT,mdp.39015067403991,472510557509.58136,,0.0,-25.0,24.0,0.0,-25.0,,103567.5663855225,69654.56958803338,128682.67763760523,69654.56958803338,,0.0,69654.56958803338,,,5250.867410910447,0.0,-25.0,134058.81022669477,103567.5663855225,,7207.076814432155,0.1453149400930956,0.73228986054015,0.6962173401882032,0.05096778233529542,0.4398148148148143,0.05136923412865835,0.07662803124492563,,0.01662798463524695,0.47351077862861296,0.47351077862861296,0.47351077862861296,,0.052398493290243264,0.6108016197598481,0.9596601219671207,,,,,0.75,,0.08107918326066288,0.04545454545454547,0.04545454545454547,0.15715036409696687,0.15715036409696687,0.07692307692307693,1.670453475409575,0.4823207879761572,4,1.0836857916891274,0.6057147684455891,8,0,0.31237375963036174,0.4376878603821897,8,0.125,0.3069788576207347,0.5713365373127629,8,2.0,0.8,7.0,6.4,0.55,7,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,5.5
raw,morl,487893473.9667031,0.643885080328641,493.8304964908087,-32.00619302755062,197,97,27067.51735781948,,False,13.025498512921644,321440.5284635418,0.02311835131005144,1.7108798554004073e-07,0.4663397740165407,13350.20194161014,,,,[],[],5,35135.184750269436,3510.2644189809944,81209.90687518094,"[15, 81, 92, 169, 181]","[41337.38281593528, 44812.04975708261, 4806.319884167326, 81209.90687518094, 3510.2644189809944]","[0, 57, 89, 123, 179]","[57, 123, 123, 196, 196]",240882555189.40503,81088.18307797825,-81088.18307797825,0.0,,,,CWT,mdp.39015067403991,240843949542.40503,,0.0,-14.5,21.0,0.0,-19.0,,80215.18307797825,34692.4155195002,164163.92375134717,34692.4155195002,,0.0,34692.4155195002,,,3497.2644189809944,0.0,-14.5,80337.90687518094,80215.18307797825,,13003.20194161014,0.0,1.0,0.0,0.0,0.3174603174603182,1.0,0.0012068078239015484,,0.0,0.0,0.0,0.0,,0.09667033335869672,0.828909682808011,0.41179663095396823,,,,,0.0,,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,1.068688323560338,0.30856926092728104,10,1.127466850113688,0.6301857302957035,7,0,0.309812617651477,0.43409927229399836,9,0.125,0.3249881607548885,0.6048547182449352,7,1.5,0.85,8.25,8.05111821086262,0.5125,8,morl,8.0,8.0,,1,1.0,,,3,6.75
raw,gaus7,682786463.9757487,0.6528860746245225,689.0529683317479,-34.65701707642022,197,97,38848.30770007309,,False,13.225864278960012,470679.31567046046,0.01746533420328616,2.4873886356954675e-07,0.03417145693581318,11072.009413946578,,,,[],[],2,66583.20078362836,8671.458791781304,124494.94277547541,"[48, 102]","[8671.458791781304, 124494.94277547541]","[3, 3]","[61, 133]",438521678803.9052,94458.34638582177,-94458.34638582177,0.0,,,,CWT,mdp.39015067403991,438483073156.9052,,0.0,-25.0,24.0,0.0,-25.0,,93585.34638582177,66140.43155285913,121654.40156725672,66140.43155285913,,0.0,66140.43155285913,,,8658.458791781304,0.0,-25.0,123622.94277547541,93585.34638582177,,10725.009413946578,0.12747150831685905,0.7614817688293694,0.6834438908086007,0.056036019278759945,0.43121693121693205,0.0,0.08340764445160373,,0.048939390001850075,0.4259169652159145,0.4259169652159145,0.4259169652159145,,0.07926909149161966,0.567597847396347,0.8532317036628992,,,,,0.75,,0.06917017028749903,0.04545454545454547,0.04545454545454547,0.08997480060995419,0.08997480060995419,0.07692307692307693,1.5431069368335668,0.4455512019109383,6,1.0707202991037739,0.5984678428151632,9,0,0.28526720482428836,0.3997070453821014,10,0.125,0.29990110898601785,0.5581637200436165,9,1.7320508075688772,0.8267949192431123,8.5,8.181818181818182,0.4883974596215562,9,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.0
raw,gaus3,920601331.4249809,0.6250457899419122,692.8359426897252,-36.265616314861944,197,97,45365.697830754376,,False,13.111684584920477,628734.6796316333,0.026470945338592896,2.890055474158108e-07,0.08091823536545528,0.0,,,,[],[],1,108971.21055266183,108971.21055266183,108971.21055266183,[102],[108971.21055266183],[3],[133],635193215388.1248,133870.28185965857,-133870.28185965857,0.0,,,,CWT,mdp.39015067403991,635154609741.1248,,0.0,-25.5,25.0,0.0,-25.5,,132997.28185965857,108528.44132189259,97459.21055266183,108528.44132189259,,0.0,108528.44132189259,,,108958.21055266183,0.0,-25.5,108099.21055266183,132997.28185965857,,347.0,0.19799152659336033,0.6167417793234046,0.2939790840772333,0.12441302194336276,0.07936507936507925,0.10816799053066617,0.1704646582096334,,1.0,1.0,1.0,0.9999999999999999,,0.0,0.4188667055881749,0.6949155622999422,,,,,1.0,,0.13800170236193335,0.0,0.0,0.35519826529497867,0.35519826529497867,0.0,2.367971291243016,0.6837195982469464,3,0.7818376698245004,0.4369999374095675,10,0,0.49729860720285785,0.6967984878602647,3,0.125,0.2210533057203914,0.41141540245049574,10,4.041451884327381,0.5958548115672619,6.5,4.615384615384616,0.47292740578363096,10,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.75
