signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,mexh,6071764944.345482,0.6514609560087332,1729.867080420222,-44.45706047491807,209,103,141731.4994342105,,False,13.282673579965433,855479.3254310368,0.017622457064918048,3.7862797608167305e-07,0.3661007256217731,157410.11810967803,,,,[],[],2,126523.52749821395,20296.419958361716,232750.6350380662,"[42, 93]","[20296.419958361716, 232750.6350380662]","[0, 0]","[57, 208]",5136283588969.642,246321.43232920382,-246321.43232920382,0.0,,,,CWT,uc1.b3747696,5136234135362.642,,0.0,-24.5,28.0,0.0,-24.5,,245385.43232920382,126107.16083154728,240556.0549964279,126107.16083154728,,0.0,126107.16083154728,,,20285.419958361716,0.0,-29.0,231815.6350380662,245385.43232920382,,157034.11810967803,1.0,0.0,0.5042063295481675,1.0,0.32597793380140466,0.6807016445982415,0.16428052104796037,,0.5231802041075521,1.0,1.0,1.0,,1.0,0.8270629178775217,1.0,,,,,0.75,,1.0000000000000002,0.909090909090909,0.25,0.7949927125288758,0.7949927125288758,0.7692307692307692,3.858237849937821,1.0,1,1.5204872045531264,0.8901048456906955,2,0,0.8298964446688936,1.0,1,0,0.5250237755708249,0.9046881812464288,2,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,mexh,1.0,1.0,,1,0.125,,,2,1.25
raw,gaus4,861158064.1456572,0.6513680494263019,670.3863377937947,-33.93792719530134,209,103,35753.24145008255,,False,13.274774352251493,405484.3883558059,0.026177224949937593,8.991909268749882e-07,0.6088367412921615,19512.8946809551,,,,[],[],4,75454.38923630783,20362.176548645395,135063.77609909035,"[26, 95, 159, 186]","[135063.77609909035, 101166.57819572333, 20362.176548645395, 45225.02610177228]","[0, 62, 134, 134]","[134, 134, 170, 208]",460780870116.56104,106363.15280474334,-106363.15280474334,0.0,,,,CWT,uc1.b3747696,460731416509.56104,,0.0,-28.0,26.0,0.0,-23.5,,105427.15280474334,75038.02256964117,289326.55694523134,75038.02256964118,,0.0,75038.02256964117,,,20351.176548645395,0.0,-28.0,134128.77609909035,105427.15280474334,,19136.8946809551,0.0037995336789121946,0.9547313238745305,0.48461863635629365,0.022758858934769612,0.32397191574724293,1.0,0.0,,0.5254054282541006,0.521461391701708,0.521461391701708,0.5214613917017082,,0.11975692614806212,0.9999999999999999,0.541260074798733,,,,,0.25,,0.010906404116848541,0.27272727272727265,0.75,0.08235782155419416,0.08235782155419416,0.9230769230769231,1.882729824049379,0.48797660934245435,4,1.3572561683728206,0.7945481479190064,3,0,0.43730234623824676,0.5269360400895785,5,0,0.39855432408453567,0.6867639207232403,3,0.9574271077563381,0.9042572892243662,3.75,3.582089552238806,0.764628644612183,2,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,1.75
raw,gaus2,2769196433.2485204,0.6413341385237145,1163.32395079712,-40.489879425843085,209,103,86985.8663610122,,False,13.249437980588562,587949.3926783078,0.022764402236014097,1.1411922078562141e-06,0.5208563794337561,81146.51680391809,,,,[],[],4,72717.42456749846,17010.11659358435,185583.28792547138,"[34, 96, 147, 185]","[68322.71999556165, 185583.28792547138, 19953.573755376427, 17010.11659358435]","[0, 0, 135, 173]","[59, 208, 208, 208]",2067060629728.3528,171438.12505642424,-171438.12505642424,0.0,,,,CWT,uc1.b3747696,2067011176121.3528,,0.0,-28.0,26.0,0.0,-23.5,,170502.12505642424,72301.05790083179,278378.6982699938,72301.05790083179,,0.0,72301.05790083179,,,16999.11659358435,0.0,-28.0,184648.28792547138,170502.12505642424,,80770.51680391809,0.48538854823664634,0.36006692893345615,0.4217921053711241,0.3806084599291966,0.10732196589769452,0.8842693995307782,0.06661285164216774,,0.41197064216648005,0.49581491893655844,0.49581491893655844,0.49581491893655844,,0.5131844922816768,0.961179593009473,0.778500961937053,,,,,0.25,,0.3507117938180186,0.27272727272727265,0.75,0.4137043907841492,0.4137043907841492,0.9230769230769231,2.4239829084177282,0.6282616579630499,2,1.1861386913094842,0.6943746673002024,5,0,0.5375860869567766,0.6477749006037241,2,0,0.38658003707729494,0.6661305771712739,4,1.5,0.85,3.25,2.7586206896551726,0.7625,3,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,2.5
raw,gaus5,791441084.7463948,0.6826775677056719,631.7983373497563,-33.95337931647756,209,103,36612.94499599484,,False,13.196642688393691,484497.3081358924,0.02460541817175013,4.2481673756059053e-07,-0.030497027639609264,2201.449104002292,,,,[],[],3,79761.71282357036,31578.88390624417,124284.2361242357,"[48, 125, 164]","[124284.2361242357, 83422.01844023122, 31578.88390624417]","[6, 76, 142]","[76, 142, 180]",454736841742.6687,122541.55576353217,-122541.55576353217,0.0,,,,CWT,uc1.b3747696,454687388135.6687,,0.0,-24.0,27.0,0.0,-28.5,,121605.55576353217,79345.34615690369,226794.13847071107,79345.3461569037,,0.0,79345.34615690369,,,31567.88390624417,0.0,-28.5,123349.2361242357,121605.55576353217,,1825.4491040022922,0.011880786283233967,0.9533288676345448,0.29087576482007854,0.009683548886212732,1.0,0.15901140418353954,0.02884539927351058,,0.9049824098040875,0.5618227665964267,0.5618227665964267,0.5618227665964268,,0.009252307646052019,0.7782640416455544,0.4906390863108342,,,,,0.5,,0.009627801554209154,0.9999999999999999,0.5,0.16473447313818262,0.16473447313818262,0.15384615384615385,1.867689851480839,0.4840784638279723,5,1.2009839347016629,0.7030651863912325,4,0,0.4543963604908955,0.5475338078742914,4,0,0.3505179672973029,0.603990670676998,5,0.5773502691896257,0.9422649730810374,4.5,4.444444444444445,0.7461324865405188,4,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,3.25
raw,gaus3,1465391097.8364985,0.6613555070376737,892.1192389493807,-37.08832581077885,209,103,54037.07321829392,,False,13.335100326485282,902935.9379830234,0.031593884982179424,4.532398013222011e-07,-0.107584778866487,23803.4952165777,,,,[],[],3,57767.86981363092,27286.704126446144,81715.36312089869,"[49, 125, 164]","[81715.36312089869, 64301.54219354791, 27286.704126446144]","[6, 6, 142]","[76, 142, 180]",936244152366.0009,167694.41882080352,-167694.41882080352,0.0,,,,CWT,uc1.b3747696,936194698759.0009,,0.0,-24.0,27.0,0.0,-28.5,,166758.41882080352,57351.50314696425,160812.60944089276,57351.503146964256,,0.0,57351.50314696425,,,27275.704126446144,0.0,-28.5,80780.36312089869,166758.41882080352,,23427.4952165777,0.17566838753718564,0.6687967168175395,0.6342087884045793,0.13608181591261378,0.5396188565697105,0.05760909632912803,0.1816055982763474,,0.7597336667331622,0.3557315071134299,0.3557315071134299,0.35573150711342993,,0.1471452325275547,0.5442977577558655,0.29073459731859363,,,,,0.5,,0.11148974580846993,0.9999999999999999,0.5,0.39464231246961456,0.39464231246961456,0.15384615384615385,1.633538278884354,0.42338972930626345,8,1.1506572689803505,0.6736035711327459,7,0,0.41883759287638,0.5046865733272119,6,0,0.3419413228353006,0.5892119325692046,6,0.9574271077563381,0.9042572892243662,6.75,6.653465346534654,0.6146286446121831,5,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.0
raw,gaus8,792134072.7740616,0.6489524782830863,589.0572553251898,-33.86607074699382,209,103,37410.5075977837,,False,13.124877603648184,466376.14123766276,0.026440466359871805,6.489206930746571e-07,0.5058352026609156,10903.3731092936,,,,[],[],4,73376.770896569,19420.35799017563,121144.85659824696,"[26, 96, 160, 186]","[121144.85659824696, 114200.10404034506, 19420.35799017563, 38741.76495750831]","[0, 62, 134, 62]","[62, 134, 168, 208]",450414953470.323,98887.78855651556,-98887.78855651556,0.0,,,,CWT,uc1.b3747696,450365499863.323,,0.0,-28.0,26.0,0.0,-23.5,,97951.78855651556,72960.40422990233,281016.083586276,72960.40422990233,,0.0,72960.40422990233,,,19409.35799017563,0.0,-28.0,120209.85659824696,97951.78855651556,,10527.3731092936,0.019377911174089546,0.9612531161361132,0.11292008196223635,0.009813517702988193,0.27181544633901694,0.8645103331783015,0.022229869864697424,,0.49353398557537825,0.5019932623634997,0.5019932623634997,0.5019932623634997,,0.06479953437322997,0.9705315927389262,0.4758964817827254,,,,,0.25,,0.008713514413478276,0.27272727272727265,0.75,0.044295011664474124,0.044295011664474124,0.9230769230769231,1.7644308100078445,0.45731519896739387,7,1.1073543026193133,0.6482536832314738,8,0,0.41456065107909873,0.4995329884133885,8,0,0.32313146805106335,0.5567999655192182,8,0.5,0.95,7.75,7.724137931034484,0.5874999999999999,6,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,4.75
raw,gaus7,770346240.7324864,0.6698564593301436,585.4914673552045,-33.897834838672495,209,103,38664.15155759906,,False,13.087133196865274,467855.7298350784,0.02720685305271818,4.293593572793675e-07,0.002468101701115618,0.0,,,,[],[],3,91991.49608095932,34386.70565217752,149895.5172034407,"[48, 125, 164]","[149895.5172034407, 91692.26538725976, 34386.70565217752]","[6, 76, 142]","[76, 180, 180]",448951590108.7559,105407.71309807594,-105407.71309807594,0.0,,,,CWT,uc1.b3747696,448902136501.7559,,0.0,-24.0,27.0,0.0,-28.5,,104471.71309807594,91575.12941429265,263483.48824287794,91575.12941429266,,0.0,91575.12941429265,,,34375.70565217752,0.0,-28.5,148960.5172034407,104471.71309807594,,376.0,0.031162221664980276,0.9583701625225473,0.019325380486776733,0.00572724400489835,0.7231695085255787,0.202374197113257,0.02277002613245434,,1.0,0.6764208126759735,0.6764208126759735,0.6764208126759736,,0.0,0.9083621304704371,0.6109103008241656,,,,,0.5,,0.008403942712548736,0.9999999999999999,0.5,0.07749294558181694,0.07749294558181694,0.15384615384615385,2.084383327413909,0.540242309697807,3,0.9762225689673759,0.5714881628128291,9,0,0.49041220407463293,0.5909318050763481,3,0,0.2804141057786419,0.48319207463872504,9,3.4641016151377544,0.6535898384862245,6.0,4.5,0.5267949192431123,7,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,5.5
raw,morl,786270837.8510989,0.6477446927114786,597.2877618667047,-33.86787504515782,209,103,37831.68631829515,,False,13.16444910734065,471027.57400217495,0.024642036402430057,1.9652804324788525e-07,0.533286440836304,11022.605197202687,,,,[],[],5,59434.23687252031,4836.158851905773,121272.8263141069,"[23, 97, 160, 186, 200]","[112213.79296170459, 121272.8263141069, 23626.98728324235, 35221.41895164192, 4836.158851905773]","[0, 61, 134, 134, 196]","[61, 134, 168, 208, 208]",450273312104.61456,90188.44797890699,-90188.44797890699,0.0,,,,CWT,uc1.b3747696,450223858497.61456,,0.0,-27.5,25.0,0.0,-23.0,,89252.44797890699,59017.870205853644,284680.18436260155,59017.870205853644,,0.0,59017.870205853644,,,4825.158851905773,0.0,-27.5,120337.8263141069,89252.44797890699,,10646.605197202687,0.023337010387070256,0.9610893554983319,0.21104543060881797,0.008713877196961418,0.24573721163490514,0.9006200764273037,0.02392797741039603,,0.0,0.3713460445897724,0.3713460445897724,0.3713460445897724,,0.06556063178297677,0.9835242598540941,0.47649743075906925,,,,,0.0,,0.008683550455341872,0.3636363636363636,1.0,0.0,0.0,1.0,1.4377080129201725,0.372633328695208,10,1.161648476507052,0.6800379081335525,6,0,0.3579957407326546,0.4313739901313655,9,0,0.3392101341662553,0.5845057188230689,7,1.8257418583505538,0.8174258141649446,8.0,7.682926829268294,0.5087129070824723,8,morl,8.0,8.0,,1,1.0,,,3,6.75
raw,gaus1,5068573995.25284,0.6484414920797138,1777.7462034461198,-44.41830035364217,209,103,140263.81373204174,,False,13.4826147911977,3144670.593784619,0.02164442386761872,7.137210753715658e-07,-0.15138018924907098,59885.466601574866,,,,[],[],1,19804.57655816208,19804.57655816208,19804.57655816208,[126],[19804.57655816208],[5],[141],5064023435195.511,286583.93927043973,-286583.93927043973,0.0,,,,CWT,uc1.b3747696,5063973981588.511,,0.0,-29.5,29.0,0.0,-29.5,,285647.93927043973,19388.209891495415,7313.57655816208,19388.209891495415,,0.0,19388.209891495415,,,19793.57655816208,0.0,-29.5,18869.57655816208,285647.93927043973,,59509.466601574866,0.9862036873531902,0.003517923094575659,0.9999999999999999,0.81185311225014,0.26078234704112274,0.0,1.0,,0.5065360653874146,0.0,0.0,0.0,,0.37746825581151755,0.0,0.0,,,,,1.0,,0.9847135036308874,0.0,0.0,1.0,1.0,0.0,1.6330516993374267,0.4232636148556121,9,1.7082113550042215,1.0,1,0,0.3477655589164158,0.4190469318797539,10,0,0.5803367242484327,1.0,1,4.924428900898052,0.5075571099101948,5.25,1.809045226130653,0.49127855495509737,9,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.0
raw,gaus6,739808827.0251826,0.6363636363636364,561.2062282916028,-33.43916149478663,209,103,35349.037703892616,,False,13.079339753317418,419168.6142211343,0.027952122103669926,7.369018892075728e-07,0.5291780431671275,12748.783760877835,,,,[],[],4,73609.94758868474,18191.234487578116,125482.73817041938,"[26, 96, 160, 186]","[125482.73817041938, 111007.32364795511, 18191.234487578116, 39758.494048786335]","[0, 62, 134, 134]","[62, 134, 168, 208]",409225666126.2807,101177.55860328449,-101177.55860328449,0.0,,,,CWT,uc1.b3747696,409176212519.2807,,0.0,-28.0,26.0,0.0,-23.5,,100241.55860328449,73193.58092201807,281948.79035473894,73193.58092201807,,0.0,73193.58092201807,,,18180.234487578116,0.0,-28.0,124547.73817041938,100241.55860328449,,12372.783760877835,0.0,0.9999999999999999,0.0,0.0,0.0,0.8952158325804169,0.004995726773962109,,0.45194005125988157,0.5041782228607851,0.5041782228607851,0.5041782228607851,,0.07657939406931187,0.9738389113140599,0.49626728180193214,,,,,0.25,,0.0,0.27272727272727265,0.75,0.0559539862759124,0.0559539862759124,0.9230769230769231,1.7719549159438,0.45926533947935755,6,0.9600846237417515,0.5620408861755745,10,0,0.41563374824168303,0.5008260378889919,7,0,0.2714587941934827,0.46776084099285015,10,2.0615528128088303,0.793844718719117,8.25,7.850467289719627,0.4844223593595585,10,gaus,5.75,5.5,2.8157719063467175,8,0.71875,1.0,0.196875,1,7.75
