signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
smoothed,mexh,4835560674.974989,0.7141025641025641,1980.138737441271,-44.574947735222494,195,96,132751.5097211555,-468635.17972283676,False,13.285216399310386,591927.2425237029,0.018330446967053767,4.922116535879272e-06,0.4240303945156338,132204.97882892808,,,,[],[],3,75036.94155057432,9802.66594121288,168230.7825861252,"[33, 86, 129]","[47077.376124384915, 9802.66594121288, 168230.7825861252]","[0, 68, 0]","[68, 96, 194]",3724700922802.8115,194436.10590919276,-194436.10590919276,0.0,,,,CWT,uva.x030718200,3724657231708.7715,,0.0,-20.5,19.0,0.0,-20.5,,193622.50590919275,74842.94155057432,220842.82465172297,74842.94155057434,,0.0,74842.94155057432,,,9801.26594121288,0.0,-20.5,167417.1825861252,193622.50590919275,,131716.5788289281,1.0,0.0,0.6278471348326724,1.0,1.0,0.6242193299333568,0.06343019510918954,0.0,0.0,0.5328927898480597,0.5328927898480597,0.5328927898480598,,1.0,0.7661989244723535,0.8567853947241448,,,,,0.5,,0.9999999999999999,0.0909090909090909,0.5,0.6666344943426008,0.6666344943426008,0.034482758620689724,2.8237369290135907,1.0,1,2.0383606267697774,1.0,1,0,0.54859453763969,1.0,1,0.0,0.5718615730736992,0.9762960308888945,2,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.14285714285714285,,,2,1.25,0.8312574977880756,0.9972825039797827,0.887280562003341,0.0,0.5977297989071896,0.9974863100497796,0.9801249290176036,0.6242193299333567,0.06343019510918954,0.0,0.0,0.5078177672211226,0.5078177672211226,0.5078177672211228,,0.9938385252260106,0.7709176428241048,0.8331745771721881,,,,,0.125,,1.0000000000000002,0.4482758620689656,0.65,0.6655143980136289,0.6655143980136289,0.3170731707317073,2.745449342668852,0.9021246941287873,2,2.0300867558974818,0.9613685232714979,2,0.0,1.0,2.0,2.0,0.95,1,2.0,2.0,1.4142135623730951,2,0.16666666666666666,0.24501023449542625,0.8098302629847055,1,1.0,1
raw,gaus2,2250098969.0566907,0.7006410256410256,1485.626999765639,-39.94503403803742,195,96,83908.00060102229,-426038.1200258029,False,13.432962537279456,460501.2687888055,0.018220157999234786,8.296040968684328e-07,0.4709408469174731,90707.25703671393,,,,[],[],4,70477.85602919881,13462.769058976137,129278.12805552623,"[31, 84, 131, 168]","[129278.12805552623, 13462.769058976137, 120047.84526448831, 19122.681737804553]","[0, 70, 95, 151]","[194, 95, 194, 194]",1688688272274.7717,144523.0755709021,-144523.0755709021,0.0,,,,CWT,uva.x030718200,1688636583699.7717,,0.0,-12.5,24.0,0.0,-17.0,,143591.0755709021,69955.03460062738,267272.42411679524,69955.03460062738,,0.0,69955.03460062738,,,13456.769058976137,0.0,-17.0,128349.12805552623,143591.0755709021,,90310.25703671393,0.4931971479679703,0.3232844440072821,0.9999999999999999,0.3713711858477829,0.8296735905044506,0.8685257749805545,0.0,1.0,0.033690298677209685,0.4493017379259372,0.4493017379259372,0.44930173792593736,,0.6804717131178479,1.0,0.595146147824172,,,,,0.0,,0.4020849851870939,0.9999999999999999,0.9999999999999999,0.387968283180007,0.387968283180007,1.0,2.3085173900730664,0.7869354568955338,4,2.106895149912654,1.0,1,0,0.5596596374960108,0.9003443546270564,2,0.0,0.610756517913505,1.0,1,1.4142135623730951,0.8585786437626906,2.0,1.4545454545454546,0.8292893218813453,2,gaus,0.8392857142857143,1.0,0.11249999999999998,1,1.75,,0.49425302275318894,0.11581992964815024,0.3909485324992212,1.0,0.37388100948281394,0.8370244179443491,0.678702849113647,0.0021025396749072695,1.0,0.07550166489374059,0.46175406761872473,0.46175406761872473,0.46175406761872484,,0.680471713117848,0.9615894587683975,0.6054052664245545,,,,,0.75,,0.4022717932260508,1.0,1.0,0.3906140081461601,0.3906140081461601,0.4878048780487805,2.51690485496162,0.8270274694729195,4,2.111663432654503,1.0,1,2.1213203435596424,0.8939339828220179,2.5,1.6,0.8844669914110089,2,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,2.25,2
raw,gaus4,1074172265.434204,0.6946581196581196,995.3072101250975,-36.54759325586758,195,96,56213.26035804083,,False,13.369935693422098,597939.0148599638,0.01956701157728782,8.1444775604053e-07,0.4404180845413675,42351.45242865294,,,,[],[],4,64356.40135609264,12097.071600451622,113277.61647980104,"[27, 84, 133, 170]","[113277.61647980104, 12097.071600451622, 86904.45031534442, 45146.46702877343]","[0, 76, 95, 150]","[95, 95, 194, 194]",772919217460.2551,117351.74739722014,-117351.74739722014,0.0,,,,CWT,uva.x030718200,772867528885.2551,,0.0,-17.0,24.0,0.0,-21.5,,116419.74739722014,63833.57992752121,242786.60542437056,63833.579927521205,,0.0,63833.57992752121,,,12091.071600451622,0.0,-17.0,112348.61647980104,116419.74739722014,,41954.45242865294,0.2073791115184318,0.642034854821942,0.8137157127788299,0.08660439023107448,0.7632047477744804,0.8208501215572657,0.0652413873621818,,0.0042071354205091005,0.390278439852649,0.390278439852649,0.39027843985264904,,0.3145105825205733,0.8954277382720082,0.49943681651862754,,,,,0.0,,0.13271767683032912,0.6896551724137929,0.9999999999999999,0.23802577657954546,0.23802577657954546,0.55,1.6477349714375036,0.5616856421211022,7,1.5573132005312178,0.7391507833675443,3,0,0.4094887139066342,0.6587590513027838,6,0.125,0.479325760863458,0.7848066239242981,3,2.0615528128088303,0.793844718719117,4.75,4.097560975609757,0.6594223593595585,4,gaus,0.8392857142857143,1.0,0.11249999999999998,1,3.25,,0.20903046057266408,0.11296287778733519,0.677827419431789,0.8283960481048094,0.09025115575935092,0.7734241908006809,0.6432525939102078,0.06623548459581148,,0.047294212037608446,0.4040653979940467,0.4040653979940467,0.4040653979940468,,0.3145105825205734,0.8610338742111907,0.512121238412408,,,,,0.75,,0.1334233434381605,0.6896551724137931,1.0,0.24131968140680388,0.24131968140680388,0.26829268292682923,1.907543567486558,0.626798000098343,10,1.5557829628218334,0.7367570696936819,6,2.8284271247461903,0.8585786437626906,8.0,7.5,0.7292893218813452,5,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,4.5,3
raw,gaus6,1104644558.5265567,0.6608440170940171,927.773961084362,-36.25247298359125,195,96,53243.370734112264,,False,13.29747054217507,720789.92427159,0.019032829366217974,6.879986702631444e-07,0.4436597991875522,30523.27850502601,,,,[],[],4,63772.53336791259,14913.233401734942,110620.99424393135,"[27, 84, 132, 180]","[110620.99424393135, 14913.233401734942, 72418.73860970204, 57137.16721628203]","[0, 71, 95, 150]","[95, 95, 194, 194]",720773783848.5818,111285.04830861243,-111285.04830861243,0.0,,,,CWT,uva.x030718200,720722095273.5818,,0.0,-17.0,24.0,0.0,-17.0,,110353.04830861243,63249.71193934116,240451.13347165036,63249.71193934116,,0.0,63249.71193934116,,,14907.233401734942,0.0,-17.0,109691.99424393135,110353.04830861243,,30126.27850502601,0.17672895869750974,0.6697232573752713,0.5995352426448961,0.0939836743584534,0.3875370919881304,0.8259135840992304,0.12355843633772647,,0.06500343962848804,0.38464876257133124,0.38464876257133124,0.3846487625713314,,0.22499388567152284,0.8854535737416713,0.4835458535001526,,,,,0.0,,0.117379448243955,0.6896551724137929,0.9999999999999999,0.20454724868713037,0.20454724868713037,1.0,1.6721557154976268,0.5700102705026426,6,1.3364157455061254,0.6343057676892604,4,0,0.43064801130627417,0.692798765238339,5,0.125,0.4047471779287454,0.6626980900858196,4,0.9574271077563381,0.9042572892243662,4.75,4.615384615384615,0.7146286446121831,3,gaus,0.8392857142857143,1.0,0.11249999999999998,1,2.5,,0.17844416438434968,0.0891265442078249,0.7027472872529434,0.6310943022516251,0.09760097782375156,0.4139693356047697,0.6470176401431771,0.12356173471271588,,0.10545991392795395,0.39856301836808555,0.39856301836808555,0.39856301836808566,,0.2249938856715229,0.8514428227387971,0.4966329571849168,,,,,0.75,,0.1181146595332919,0.6896551724137931,1.0,0.2079858763688435,0.2079858763688435,0.4878048780487805,1.8856576966726004,0.6196065417796873,11,1.340086709151372,0.6346118838960965,9,1.4142135623730951,0.9292893218813453,10.0,9.9,0.7146446609406727,6,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,5.25,4
smoothed,gaus5,1036998118.0061572,0.6727564102564103,944.4617304006346,-37.59636060990697,195,96,50077.03828293495,,False,13.31011373547836,735520.4158773441,0.018487608520189294,2.7539644681546806e-06,-0.11123775298200932,3505.959423552354,,,,[],[],2,113285.29277160062,36258.5198055029,190312.06573769834,"[56, 142]","[190312.06573769834, 36258.5198055029]","[2, 107]","[107, 160]",741885873749.6127,121711.6417912297,-121711.6417912297,0.0,,,,CWT,uva.x030718200,741842182655.5726,,0.0,-21.0,20.0,0.0,-21.0,,120898.0417912297,113091.29277160062,222302.58554320125,113091.29277160062,,0.0,113091.29277160062,,,36257.1198055029,0.0,-21.0,189498.46573769834,120898.0417912297,,3017.559423552354,0.14623212823638046,0.6518246228906346,0.6990510079624218,0.08148970718727483,0.5515643105446122,0.002539280229918117,0.1304354636104566,,0.620749102324534,0.911144200921685,0.911144200921685,0.911144200921685,,0.01927299034492752,0.7723171876090426,0.9891688688472504,,,,,1.0,,0.12431502492255816,0.0,0.0,0.266373478793857,0.266373478793857,0.0,2.4653409389063095,0.8730774151002519,3,1.1648750899034925,0.5714764475947952,7,0,0.4851430524572203,0.8843381024983084,4,0.11111111111111112,0.30476346718105446,0.5202996273548453,7,2.0615528128088303,0.793844718719117,5.25,4.602739726027398,0.6344223593595585,4,gaus,0.8392857142857143,1.0,0.11249999999999998,1,3.25,0.2194156612311822,0.1458347430098702,0.4785722220445,0.5892698166747287,0.6655180779420234,0.08128486732927177,0.5406019307211816,0.002539280229918228,0.1304354636104566,,0.5464257445803002,0.8682707338946157,0.8682707338946157,0.8682707338946158,,0.01983263223957793,0.7769124233785226,0.9619099008089971,,,,,0.25,,0.12431502492255816,0.4137931034482759,0.6,0.2659259112613267,0.2659259112613267,0.2926829268292683,2.2531426347692842,0.7403580822379567,7,1.1837161219814185,0.5605609794044725,11,2.8284271247461903,0.8585786437626906,9.0,8.555555555555555,0.7042893218813453,7,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,6.0,5
raw,gaus8,1077113830.4174283,0.6444444444444445,833.7274553057356,-35.45482860898467,195,96,47798.52876824682,,False,13.197882353464127,718925.0837246886,0.020716968812698886,5.567308151794828e-07,0.4749939763097962,23846.940940335477,,,,[],[],4,67391.20044584936,21080.85355632742,109799.91686483579,"[27, 84, 132, 180]","[109799.91686483579, 21080.85355632742, 72216.39341602544, 66467.63794620881]","[0, 71, 96, 150]","[96, 96, 150, 194]",600088732799.5992,102647.66945328141,-102647.66945328141,0.0,,,,CWT,uva.x030718200,600037044224.5992,,0.0,-21.5,24.0,0.0,-17.0,,101715.66945328141,66868.37901727793,254925.80178339744,66868.37901727794,,0.0,66868.37901727793,,,21074.85355632742,0.0,-21.5,108870.91686483579,101715.66945328141,,23449.940940335477,0.1205365544428392,0.7445588434505841,0.305188998818195,0.08731673057659994,0.2053412462908017,0.874856643393022,0.12267320074585274,,0.1981522207059793,0.4195400877505273,0.4195400877505273,0.4195400877505276,,0.17446675530471878,0.947270939219027,0.47863446260296605,,,,,0.0,,0.08188075215998698,0.37931034482758613,0.5499999999999999,0.15688265799256884,0.15688265799256884,1.0,1.6338422975104039,0.5569498589940897,8,1.1602975732724703,0.5507144355620036,5,0,0.38443578957549907,0.6184555213048801,8,0.125,0.3452460311025564,0.5652760485995336,6,1.5,0.85,6.75,6.486486486486486,0.5874999999999999,6,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.75,,0.12236883157577583,0.06438184666568922,0.770100140481783,0.35994433346119775,0.09096065205987695,0.2396365701306079,0.6834103021796544,0.12269153915509395,,0.23284746499885958,0.4326653846663996,0.4326653846663996,0.43266538466639987,,0.1744667553047188,0.9108857497506558,0.4918460224129129,,,,,0.75,,0.08268434146727786,0.37931034482758624,0.55,0.16052733283513387,0.16052733283513387,0.4878048780487805,1.843897463393769,0.6058845848351856,12,1.1618331451081891,0.5501980699867908,12,0.0,1.0,12.0,12.0,0.7,8,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,6.75,6
raw,morl,716544842.9564147,0.6468482905982906,649.735416075026,-32.73217736443386,195,96,36118.969960320464,,False,13.099006933912976,484700.33011121745,0.026072218293237026,2.1519231369894288e-07,0.5551128768888739,17022.76737204951,,,,[],[],4,68774.56375324549,30812.8766040909,94967.05861595698,"[28, 85, 129, 183]","[94967.05861595698, 30812.8766040909, 94022.60269875622, 55295.71709417783]","[0, 68, 68, 152]","[68, 96, 152, 194]",321718430662.78516,74218.7050340453,-74218.7050340453,0.0,,,,CWT,uva.x030718200,321666742087.78516,,0.0,-21.5,24.0,0.0,-26.0,,73286.7050340453,68251.74232467405,260459.25501298194,68251.74232467407,,0.0,68251.74232467405,,,30806.8766040909,0.0,-21.5,94038.05861595698,73286.7050340453,,16625.76737204951,0.0,1.0,0.012949439806389074,0.0,0.23204747774480755,1.0,0.011487239704289498,,0.4082506012398205,0.4328785292152355,0.4328785292152355,0.4328785292152358,,0.12282078860673828,0.970902810656625,0.3899096154234609,,,,,0.0,,0.0,0.37931034482758613,0.5499999999999999,0.0,0.0,0.1,1.3668134984918288,0.4659241509515364,9,1.1038886068828333,0.5239409312459604,6,0,0.30141641059999563,0.48489929502481105,9,0.125,0.3161048796079266,0.5175628426984601,7,1.5,0.85,7.75,7.522388059701494,0.5375,7,morl,1.0,,,3,6.0,,0.0020834034003265056,0.0,1.0,0.09073502990360555,0.003992536737940963,0.2651902328222603,0.7764633305114126,0.013394612713738277,,0.4338550744083136,0.4457022187316566,0.4457022187316566,0.44570221873165683,,0.12282078860673831,0.93360990821602,0.40536948959456154,,,,,0.75,,0.0009613090029111926,0.37931034482758624,0.55,0.0043228559786081255,0.0043228559786081255,0.04878048780487804,1.667085541326278,0.54778611671397,16,1.0700080747598357,0.5067133607625925,16,0.0,1.0,16.0,16.0,0.6,11,12.0,12.0,1.4142135623730951,2,1.0,0.24501023449542625,0.2264969296513721,2,8.75,7
smoothed,gaus3,1239939039.8268113,0.652724358974359,953.715523367685,-38.38795220478443,195,96,54369.79287420519,,False,13.217712971079536,874137.2352134543,0.02116781266377385,3.4097449752381966e-06,-0.11342407989614152,14380.02899041656,,,,[],[],2,83628.96526208172,19110.7496042002,148147.18091996326,"[57, 142]","[148147.18091996326, 19110.7496042002]","[2, 107]","[107, 159]",890255616958.6222,151846.07457875993,-151846.07457875993,0.0,,,,CWT,uva.x030718200,890211925864.5822,,0.0,-21.0,20.0,0.0,-21.0,,151032.47457875992,83434.96526208172,162989.93052416344,83434.96526208172,,0.0,83434.96526208172,,,19109.349604200197,0.0,-21.0,147333.58091996325,151032.47457875992,,13891.62899041656,0.19056281324270705,0.5778871791718859,0.43479413080265833,0.130561776616064,0.3342989571263036,0.0,0.19511860265866937,,0.21840098632991511,0.6178623372692077,0.6178623372692077,0.6178623372692077,,0.10213682084157627,0.5237213847891453,0.7363785803546777,,,,,1.0,,0.16787292333314469,0.0,0.0,0.43222741552356014,0.43222741552356014,0.0,1.9595422203099575,0.6939535337643793,5,1.0196882363909765,0.5002491821120449,10,0,0.39046803846451467,0.7117607115529997,9,0.11111111111111112,0.27790658826826486,0.47444890837107306,8,2.160246899469287,0.7839753100530713,8.0,7.461139896373057,0.49198765502653563,9,gaus,0.8392857142857143,1.0,0.11249999999999998,1,7.0,0.404473690972275,0.1900449595561186,0.6021903789151815,0.5224280583619942,0.41393739646508443,0.13023358479030128,0.3276547416240772,0.0,0.19511860265866937,,0.19225146057481327,0.5887891120679904,0.5887891120679904,0.5887891120679906,,0.10212858047450102,0.5333339352749379,0.7160858671303575,,,,,0.25,,0.1678729233331447,0.4137931034482759,0.6,0.431501175964225,0.431501175964225,0.2926829268292683,1.7798126582364773,0.5848270171895829,13,1.0323222648993782,0.48886685678014496,18,3.5355339059327378,0.8232233047033631,15.5,15.096774193548386,0.5241116523516816,14,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,11.25,8
smoothed,gaus7,1069805456.4609005,0.6575854700854701,913.6246777450258,-37.15578499472589,195,96,47731.479633461764,,False,13.258126905093642,755631.9933562774,0.019467864680919676,2.4113574509387115e-06,-0.09815709062637559,2291.705555910191,,,,[],[],2,122270.28981768122,52421.904157136436,192118.67547822598,"[55, 141]","[192118.67547822598, 52421.904157136436]","[3, 107]","[107, 161]",670295122427.1005,111499.36995470397,-111499.36995470397,0.0,,,,CWT,uva.x030718200,670251431333.0604,,0.0,-21.0,20.0,0.0,-21.0,,110685.76995470397,122076.28981768122,240272.57963536243,122076.2898176812,,0.0,122076.28981768122,,,52420.504157136435,0.0,-21.0,191305.07547822598,110685.76995470397,,1803.3055559101908,0.12200986734471081,0.6929759374853104,0.5503739105349162,0.08942267593493675,0.3870220162224795,0.0177316410334164,0.13982018307508695,,1.0,1.0,1.0,1.0,,0.010019993934567456,0.8476344214535863,1.0,,,,,1.0,,0.10329764896841422,0.0,0.0,0.2101671616222742,0.2101671616222742,0.0,2.664542896827194,0.9436229237395681,2,1.0269364464990383,0.503805083856256,9,0,0.5272347419715084,0.9610645126725443,2,0.11111111111111112,0.2597056794137679,0.4433758726752021,10,4.349329450233296,0.5650670549766704,5.75,3.3027522935779814,0.49503352748833523,8,gaus,0.8392857142857143,1.0,0.11249999999999998,1,6.25,0.12273364812373036,0.12167830601577433,0.41398895440887606,0.6264718902932291,0.5239729045756881,0.0891978950531173,0.3793299261783076,0.0177316410334164,0.13982018307508695,,0.8802682799444844,0.9529454646326018,0.9529454646326018,0.9529454646326019,,0.010643048448424092,0.8507095580843292,0.9724425536460523,,,,,0.25,,0.1032976489684142,0.4137931034482759,0.6,0.20981403338153454,0.20981403338153454,0.2926829268292683,2.434119315789592,0.7998250447028988,6,1.0579214122324596,0.5009895970507863,17,7.7781745930520225,0.6110912703473989,11.5,8.869565217391305,0.5180456351736995,16,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,12.75,9
raw,gaus1,3671291198.1102595,0.6259615384615385,1345.1895957407853,-42.81622406956803,195,96,101912.37361102455,,False,13.094625660897993,2567104.939066152,0.024117799590621915,6.542850083664359e-07,-0.052523581974348345,0.0,,,,[],[],2,23879.64289908279,17976.606071586863,29782.679726578717,"[60, 91]","[29782.679726578717, 17976.606071586863]","[1, 78]","[105, 105]",3239202968970.4976,255430.34934837557,-255430.34934837557,0.0,,,,CWT,uva.x030718200,3239151280395.4976,,0.0,-27.0,26.0,0.0,-27.0,,254498.34934837557,23356.821470511364,33120.28579816558,23356.821470511364,,0.0,23356.821470511364,,,17970.606071586863,0.0,-27.0,28853.679726578717,254498.34934837557,,397.0,0.6790076844119088,0.05390726843431071,0.0,0.715532395705704,0.0,0.050889796174024005,1.0,,0.13113662013461375,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,1.0,,0.8581584550436694,0.0,0.0,1.0,1.0,0.0,1.2684202135622187,0.4323835049228381,10,1.0141687827066206,0.48135702564442523,8,0,0.28494964822702035,0.45840862900532486,10,0.125,0.3507981635322782,0.5743666309623535,5,2.362907813126304,0.7637092186873696,8.25,7.619047619047619,0.46935460934368484,10,gaus,0.8392857142857143,1.0,0.11249999999999998,1,7.75,,0.6796764408936836,0.0827713373969862,0.14850610208507714,0.0788060847480383,0.716668143066603,0.043157296990346206,0.07073207092927425,0.9851126734857631,,0.16873157019871252,0.022611892120176613,0.022611892120176613,0.02261189212017667,,0.0,0.0,0.025340301309340063,,,,,1.0,,0.8574667688462062,0.0,0.0,1.0,1.0,0.0,1.3123737090455458,0.4312316794395782,19,1.1551759252077214,0.5470454748347787,13,4.242640687119285,0.7878679656440357,16.0,15.4375,0.49393398282201784,17,11.375,11.0,5.772059135756205,16,0.9479166666666666,1.0,0.036458333333333356,3,13.5,10
