wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,spectral_centroid_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_spectral_centroid_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
rbio3.1,1,antisymmetric,1.0457080055921715e-26,316.9646009659335,3338613.8957700026,0.7685185185185185,577.2513054040635,105,raw,8.106954261339047e-14,-9.865064320990789e-11,6.082976697898783,47329.91315693587,0.6749020733282435,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8869574512060473,0.8820177341298667,0.0002719603777258369,0.6825672921498347,0.0014949733305840412,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,234,1.2469442241695923,0.7773052100728622,25,0,3.9483555099301135e-05,3.948355509930114e-05,255,0,0.49066188223881174,0.7518060578897935,23,127.59669535950634,0.8312213024345154,134.25,43.633190105346486,0.8268209686775752,12,rbio,0.4699412738820169,1.0,0.37104110828258813,3,9.75,,,,,6.005196340197472e-13,0.8869574512060473,0.8820177341298667,0.0006168046434127132,0.7063155346609078,0.002310590094250463,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,241,1.2569421900125115,0.7714657231654949,231,7.0710678118654755,0.9953233678492953,236.0,235.89406779661016,0.9196193558823196,1,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,2.0
rbio3.1,1,periodic,1.044938678385556e-26,316.96779724561344,3309235.3310884126,0.7685185185185185,570.56803262867,105,raw,8.106954261339048e-14,-9.87078196956761e-11,6.068808092183832,39121.3368966478,0.764648351827778,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8869894626017414,0.8775247170981809,0.00023403452600443122,0.6825672921498347,0.0009933069824040013,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,231,1.244497293026033,0.7757798713370059,27,0,3.9483555099301135e-05,3.948355509930114e-05,244,0,0.489661762671633,0.7502736463118077,25,122.227588266043,0.8383232959443876,131.75,46.803112235906966,0.8320254045859504,5,rbio,0.4699412738820169,1.0,0.37104110828258813,3,4.5,,,,,6.005196340197472e-13,0.8869894626017414,0.8775247170981808,0.0005788918737615996,0.7063155346609078,0.001809333526164077,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,247,1.2544954293220252,0.7699639898157056,246,0.7071067811865476,0.9995323367849296,246.5,246.498985801217,0.9182516181279146,2,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,2.75
rbio3.1,1,symmetric,1.0528723652037788e-26,316.93494802552885,3333230.1475482346,0.7685185185185185,577.2513054040635,105,raw,8.140789629708577e-14,-9.869149941721411e-11,6.075799002702059,40017.72424232681,0.7789343874555444,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8866604709340283,0.8797416099002893,0.00026501030242511575,0.6825672921498347,0.0010480896087696856,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,230,1.245445745365216,0.7763711062378641,26,0,3.9483555099301135e-05,3.948355509930114e-05,242,0,0.4900564945790694,0.750878465740411,24,121.92210628101861,0.8387273726441553,130.5,45.1425169811615,0.8330541625125538,3,rbio,0.4699412738820169,1.0,0.37104110828258813,3,3.0,,,,,6.005196340197472e-13,0.8866604709340283,0.8797416099002893,0.0006098569654575885,0.7063155346609078,0.0018640714040034866,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,255,1.2554438584194352,0.7705461013442376,242,9.192388155425117,0.993920378204084,248.5,248.32997987927564,0.914784263176116,3,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,3.5
rbio3.1,1,reflect,1.0555169274765197e-26,316.9240532689637,3347876.4935675077,0.7777777777777778,588.1280042346053,105,raw,8.174624998078105e-14,-9.859768557163327e-11,6.102508497327885,36763.615912208494,0.8094750576440684,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8865513577154353,0.8882114774847141,0.0002839178002354305,0.709572000843348,0.0008492150913396174,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,233,1.260346998645611,0.7856600716839169,22,0,3.9483555099301135e-05,3.948355509930114e-05,240,0,0.4970935937870145,0.7616609088158027,19,124.74640943396594,0.8349915219127435,128.5,37.54295034520088,0.8325089884695993,4,rbio,0.4699412738820169,1.0,0.37104110828258813,3,3.75,,,,,6.005196340197472e-13,0.8865513577154353,0.8882114774847141,0.0006287579413520022,0.7312999273783587,0.0016653593348194958,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,248,1.2695370470277456,0.779195991552243,134,80.61017305526642,0.9466863934819667,191.0,173.9895287958115,0.9101818210796077,4,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,4.25
rbio3.1,1,smooth,1.0424383649640556e-26,316.9782014305668,3522134.2628924893,0.7777777777777778,601.4945497853918,105,raw,8.039283524599991e-14,-9.873990514108777e-11,6.096067138527306,64813.44744513031,0.5963053538017035,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8870936626451575,0.8861688534340171,0.0005088734572714458,0.709572000843348,0.0025634778460468985,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,232,1.2604492525084967,0.7857238134767177,21,0,3.9483555099301135e-05,3.948355509930114e-05,248,0,0.4971813736451681,0.7617954076051106,18,127.47908325159334,0.8313768740058289,129.75,35.86890436985434,0.8298749449394224,9,rbio,0.4699412738820169,1.0,0.37104110828258813,3,7.5,,,,,6.005196340197472e-13,0.8870936626451575,0.8861688534340171,0.0008536360026166795,0.7312999273783587,0.003378221814713207,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,249,1.2696387019828204,0.7792583836925125,131,83.43860018001261,0.9448157406216848,190.0,171.67894736842106,0.9095771824801546,5,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,5.0
rbio3.1,1,antireflect,1.0424383649640556e-26,316.9782014305668,3396971.01562724,0.7962962962962963,596.907990037573,105,raw,8.039283524599991e-14,-9.873990514108777e-11,6.096928603371014,55476.852537722894,0.6067897223932704,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8870936626451575,0.8864420331873991,0.0003472956944297464,0.7635814182303745,0.001992872746805113,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,236,1.2818805784188807,0.7990834176723303,16,0,3.9483555099301135e-05,3.948355509930114e-05,243,0,0.5078914565008332,0.778205700441903,15,129.35867449331207,0.8288906422046136,127.5,29.08685149845621,0.83011992427691,7,rbio,0.4699412738820169,1.0,0.37104110828258813,3,6.0,,,,,6.005196340197472e-13,0.8870936626451575,0.8864420331873991,0.0006921139740974859,0.7812687128132605,0.002808082807350726,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,243,1.2894539894162675,0.7914202915121747,36,146.37110370561533,0.9031937144804132,139.5,62.70967741935484,0.9054659048592542,6,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,5.75
rbio3.7,1,periodic,2.3311816434211173e-27,323.4829441479344,3567871.239330125,0.7333333333333333,545.2875014159815,105,raw,3.0147313217249946e-14,-1.0676526329689317e-10,6.204367867033068,35672.70352542067,0.7324260625386693,7.355511509768726e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666667,79.99999999999989,711.0,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[161.99999999999997, 518.9999999999999, 207.00000000000009, 134.0, 337.9999999999999, 711.0, 79.99999999999989, 430.0, 255.99999999999994, 395.0, 319.0, 293.99999999999994, 697.0, 373.9999999999999, 602.0]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460484.0,726.0,-726.0,0.0,,,,DWT,inu.30000003214412,0.0,,1.0,60.0,0.0,1.0,60,,0.0,0.0,0.0,4.5474735088646414e-14,,0.0,0.0,,,1.1368683772161603e-13,1.0,60.0,0.0,0.0,,1.1368683772161603e-13,0.9522399933379704,0.920512177506259,0.000567916974385343,0.5799493991144843,0.0007825440858070438,,,,,,,0.0,0.0,0.0,332,1.2641768205232211,0.7880474603428602,20,0,0.0,0.0,525,0,0.49081040620378125,0.7520336305231035,22,248.11472480823596,0.6718059195658255,224.75,39.85200735806113,0.6872587798887329,119,rbio,0.4699412738820169,1.0,0.37104110828258813,3,90.0,,,,,6.004641228685159e-13,0.9522399933379704,0.920512177506259,0.0009126591533734319,0.6113748423345945,0.0015987427886920433,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.5454545454545456,261,1.2772458483820932,0.7839273754287852,87,123.03657992645927,0.9186266005777386,174.0,130.5,0.9017736177491867,7,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,6.5
rbio3.1,1,zero,1.0397938026913147e-26,316.9892330478618,3293311.4485826427,0.7685185185185185,567.9471413442022,105,raw,8.005448156230461e-14,-9.877709761241271e-11,6.042972115062197,40212.27563443071,0.7161735734036422,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8872041465519932,0.8693318512952133,0.00021347781013732282,0.6825672921498347,0.0010599795983751038,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,229,1.2405460611831551,0.7733167995827579,28,0,3.9483555099301135e-05,3.948355509930114e-05,241,0,0.4880753494811107,0.747842899008779,26,120.19151384353223,0.8410165160799838,131.0,48.372264825729616,0.8338680463997803,2,rbio,0.4699412738820169,1.0,0.37104110828258813,3,2.25,,,,,6.005196340197472e-13,0.8872041465519932,0.8693318512952133,0.0005583422486884944,0.7063155346609078,0.0018759516814145913,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,220,1.250544179240256,0.767538855210502,291,50.204581464244875,0.9667959117299968,255.5,250.56751467710373,0.8989072151242576,8,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,7.25
rbio3.1,1,periodization,1.1289944373732056e-26,316.6317872730492,3266521.5274383854,0.8207547169811321,589.1763607483925,105,raw,8.781123976101898e-14,-9.846501392019059e-11,6.080173996457652,37784.593672125295,0.7695035215884326,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,80.00000000000006,710.9999999999999,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 206.99999999999997, 134.0, 337.9999999999999, 710.9999999999999, 80.00000000000006, 429.9999999999999, 256.0, 394.99999999999983, 318.9999999999998, 293.9999999999999, 696.9999999999998, 373.9999999999999, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460484.0,725.9999999999999,-725.9999999999999,0.0,,,,DWT,inu.30000003214412,0.0,,1.0,60.0,0.0,1.0,60,,1.1368683772161603e-13,5.684341886080802e-14,9.094947017729282e-13,1.0800249583553524e-13,,0.0,5.684341886080802e-14,,,5.684341886080802e-14,1.0,60.0,1.1368683772161603e-13,1.1368683772161603e-13,,1.1368683772161603e-13,0.883624253900972,0.8811289674041158,0.0001788937319852018,0.8349146110056926,0.0009116120488812563,,,,,,,0.0,0.0,0.0,345,1.305158972130463,0.8135944249518984,11,0,0.0,0.0,517,0,0.5201516676183294,0.7969911437844434,9,253.00527003733868,0.6653369443950546,220.5,19.337404911190212,0.686835138864194,122,rbio,0.4699412738820169,1.0,0.37104110828258813,3,92.25,,,,,6.005196340197472e-13,0.883624253900972,0.8811289674041158,0.0005237700999017229,0.8472652218782251,0.0017277053241604612,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.5454545454545456,258,1.3105980919737263,0.8043977780662803,13,173.24116139070415,0.8854225123077354,135.5,24.752767527675275,0.8979030550956666,9,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,8.0
rbio3.1,1,constant,1.0521030379971632e-26,316.9381225479008,3292823.1504527354,0.7685185185185185,567.9471413442022,105,raw,8.113721335012954e-14,-9.866318873008617e-11,6.04236734054922,39992.26481052811,0.7185379261551483,7.355511509768729e-06,1.0,394.9999999999999,,,,[],[],15,367.8666666666666,79.99999999999983,710.9999999999998,"[1, 7, 15, 25, 30, 38, 44, 49, 55, 61, 69, 76, 85, 95, 101]","[162.0, 518.9999999999998, 207.0, 134.0, 337.9999999999999, 710.9999999999998, 79.99999999999983, 429.99999999999983, 255.99999999999986, 394.9999999999999, 318.9999999999999, 293.9999999999998, 696.9999999999998, 374.0, 601.9999999999999]","[0, 0, 10, 22, 22, 0, 43, 43, 50, 50, 67, 67, 50, 90, 90]","[2, 22, 22, 26, 33, 104, 47, 50, 60, 67, 73, 77, 104, 97, 104]",18460483.999999996,725.9999999999998,-725.9999999999998,0.0,,,,DWT,inu.30000003214412,3.725290298461914e-09,,1.0,60.0,0.0,1.0,60,,2.2737367544323206e-13,5.684341886080802e-14,9.094947017729282e-13,1.2316074086508405e-13,,0.0,5.684341886080802e-14,,,1.7053025658242404e-13,1.0,60.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,0.8866922644258264,0.8691400708023547,0.00021284744842049223,0.6825672921498347,0.0010465336580454433,,,,,,,3.9483555099301135e-05,1.9741777549650567e-05,3.948355509930114e-05,239,1.2401373481040354,0.7730620209008676,29,0,3.9483555099301135e-05,3.948355509930114e-05,254,0,0.4879318016968963,0.7476229510208151,27,126.30221692432798,0.8329335754969207,137.25,50.225446995222626,0.8256929782246508,13,rbio,0.4699412738820169,1.0,0.37104110828258813,3,10.5,,,,,6.005196340197472e-13,0.8866922644258264,0.8691400708023547,0.000557712104407421,0.7063155346609078,0.001862516724238789,,,,,,,3.9483555099301135e-05,1.0,1.0,1.0,1.0,1.0,0.6000197417775497,0.5454724925250453,250,1.2501354706631156,0.7672880046459072,302,36.76955262170047,0.9756815128163356,276.0,273.5507246376812,0.8965709151383265,10,649.6074074074074,611.5,479.16667279420994,270,0.6107531493093834,1.0,0.2724727954834316,5,8.75
