signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
raw,gaus8,522012813.3171806,0.6559856512281683,247.74008136069855,-28.44906072252305,619,127,16540.996415036294,,False,14.862212433882945,95505.76040613846,0.015557767167158676,2.921916683590428e-07,0.1821941865723864,2697.23514471186,,,,[],[],11,30846.123888021088,5305.2500203694035,69382.81819161137,"[23, 82, 123, 168, 237, 292, 354, 387, 443, 551, 599]","[69382.81819161137, 21605.012915755462, 5305.2500203694035, 23933.88492984677, 64781.76147247323, 9840.793032615187, 24685.523352817178, 34033.644273781094, 11632.884015880429, 10150.670652103809, 63955.11991097806]","[0, 65, 118, 139, 139, 286, 313, 313, 438, 497, 139]","[139, 139, 139, 210, 497, 313, 377, 497, 497, 557, 618]",369001394311.5187,80824.02437980527,-80824.02437980527,0.0,,,,CWT,txu.059172014718840,368918171040.5187,,0.0,-74.5,78.0,0.0,-70.0,,79904.02437980527,30385.629505998615,298323.36276823195,30385.62950599862,,1620251.3218215576,30385.629505998615,,,5301.2500203694035,0.0,-74.5,68463.81819161137,79904.02437980527,,2692.23514471186,0.0692616627718287,0.8346643653208636,0.8934356511409858,0.028427791914147287,0.9064594324825322,0.6932143167286055,0.026797953562560414,,0.37822320012762606,0.7969269617565509,0.7969269617565509,0.7969269617565514,,0.04377125111445516,0.7994031818393803,0.45031632367003593,,,,,0.2727272727272727,,0.030440791972809952,0.7222222222222221,0.6842105263157895,0.06621435953042151,0.06621435953042151,0.7608695652173914,1.9210608407178815,0.6032431529612732,4,1.6330975206611127,0.8595250108742699,2,0,0.47609956710982,0.6973410324746236,3,0,0.4931801677030748,0.8630652934803809,2,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,1,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,1.0
raw,mexh,2902658230.2561026,0.5751211631663974,447.5985707541769,-37.850237153256614,619,127,60959.44290717912,,False,14.914383011092564,192298.30225650757,0.012695433044598988,2.8366106249962455e-08,0.07145373036963318,61424.54276533093,,,,[],[],8,34507.14805819945,5662.8513366521365,123336.77366502887,"[86, 169, 234, 301, 357, 467, 510, 548]","[123336.77366502887, 6859.87036556362, 18928.49539304274, 6598.301917331053, 11533.931012163222, 5662.8513366521365, 6360.707250163687, 96776.25352565023]","[0, 155, 214, 300, 315, 315, 315, 0]","[315, 315, 315, 315, 375, 473, 512, 618]",3209921294368.414,126438.35454661935,-126438.35454661935,0.0,,,,CWT,txu.059172014718840,3209838071097.414,,0.0,-76.0,81.0,0.0,-80.5,,125518.35454661935,34046.653676176975,235073.18446559558,34046.65367617697,,1620251.3218215576,34046.653676176975,,,5658.8513366521365,0.0,-71.5,122417.77366502887,125518.35454661935,,61419.54276533093,1.0,0.15095334507677127,0.949209695093205,0.6471632667876124,0.0,0.2297286702219014,0.16897713994444857,,0.4204551667618844,1.0,1.0,1.0,,1.0,0.6249720658446816,1.0000000000000002,,,,,0.5454545454545454,,0.6078878381720164,0.6388888888888888,0.8421052631578947,0.2870935925235543,0.2870935925235543,0.30434782608695654,3.1845547376502243,1.0,1,1.3482408120530114,0.7096004273963218,5,0,0.6827356271009986,1.0,1,0,0.4494331595891341,0.7865080292809846,4,2.0615528128088303,0.793844718719117,2.75,1.6326530612244896,0.7594223593595585,2,mexh,2.0,2.0,,1,0.32,,,2,2.0
raw,morl,412634096.10697323,0.6643303270451452,243.54506135899828,-26.175659496152658,619,127,13235.56100023495,,False,14.96189184021584,77262.2881531646,0.01862611486180266,1.673533551925271e-08,0.25549437780378015,231.19501948199877,,,,[],[],14,29431.817359379307,2102.6259184505925,59467.522927632424,"[20, 86, 124, 169, 200, 234, 292, 353, 385, 420, 467, 505, 536, 599]","[59467.522927632424, 40106.77394724437, 10375.983105868912, 41706.50143162738, 2102.6259184505925, 54199.67585842585, 18912.396597330237, 32493.591980501442, 18044.55364037209, 11585.562214986716, 41356.068080277204, 21095.35576692416, 7060.872861029409, 53537.95870063953]","[0, 64, 118, 118, 199, 118, 269, 314, 375, 411, 375, 497, 528, 118]","[118, 118, 132, 210, 210, 497, 314, 375, 411, 423, 497, 558, 537, 618]",219239000931.44354,67149.92918997507,-67149.92918997507,0.0,,,,CWT,txu.059172014718840,219155777660.44354,,0.0,-73.0,75.0,0.0,-68.5,,66229.92918997507,28971.322977356835,371061.4430313103,28971.32297735684,,1620251.3218215576,28971.322977356835,,,2098.6259184505925,0.0,-68.5,58548.522927632424,66229.92918997507,,226.19501948199877,0.0,1.0,1.0,0.0,0.9999999999999999,1.0,0.0,,0.0,0.7184769132377945,0.7184769132377945,0.7184769132377951,,0.003617895559940046,1.0,0.3492991525511118,,,,,0.0,,0.0,0.8055555555555555,1.0,0.0,0.0,0.8260869565217392,1.6688606928294445,0.5240483616434367,7,1.9,1.0,1,0,0.43857073570726657,0.6423727110441064,5,0,0.5714285714285715,1.0,1,3.0,0.7,3.5,1.7073170731707317,0.675,3,morl,3.0,3.0,,1,0.48,,,3,3.0
raw,gaus4,797892620.750151,0.6410008522763411,245.87082987065764,-31.396478049985973,619,127,23282.909836135837,,False,14.574229694298788,132689.4570229939,0.016349321684515417,4.252844348968298e-07,0.12337191198043766,1.0,,,,[],[],12,26581.127464195666,4430.634694111843,82305.38884670302,"[30, 81, 168, 239, 292, 353, 386, 420, 464, 509, 552, 597]","[82305.38884670302, 14040.130300927616, 18109.283340221773, 48013.539197675316, 8238.940055054954, 25330.8718099872, 22083.371433386816, 5442.356148709762, 9966.01635778191, 4430.634694111843, 6538.108510417129, 74474.8888753706]","[0, 65, 140, 140, 277, 313, 375, 412, 438, 488, 140, 140]","[140, 140, 210, 488, 313, 488, 488, 438, 488, 513, 556, 618]",726721685358.9666,97637.59699736052,-97637.59699736052,0.0,,,,CWT,txu.059172014718840,726638462087.9666,,0.0,-69.5,77.0,0.0,-65.0,,96717.59699736052,26120.633082173194,277989.529570348,26120.63308217319,,1620251.3218215576,26120.633082173194,,,4426.634694111843,0.0,-74.0,81386.38884670302,96717.59699736052,,4.0,0.2105308376944694,0.6203101594518063,0.5855616954722374,0.10012961800109306,0.7384856694709829,0.4470235306049845,0.08141732433834004,,0.27493296154495633,0.5603522379569321,0.5603522379569321,0.5603522379569322,,0.0,0.7433266092139856,0.5819716598357823,,,,,0.1818181818181818,,0.10315122827435169,0.9999999999999999,0.7105263157894737,0.14763107682208162,0.14763107682208162,0.9782608695652175,1.7995061602348819,0.5650730819476122,5,1.2849616134818127,0.6762955860430594,7,0,0.46787904953977927,0.6853004749824853,4,0,0.3976369764334164,0.6958647087584786,6,1.2909944487358056,0.8709005551264195,5.5,5.266457680250784,0.6604502775632097,4,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,3.25
raw,gaus7,541930068.0286416,0.6492310432116826,248.31026222679503,-28.87262305641038,619,127,17855.429406045863,,False,14.85665940430476,102337.7455331554,0.015284375323815026,2.509552814021457e-07,0.01656474311626581,2289.0676756347616,,,,[],[],10,29018.507771236258,10570.176562721306,93270.24836557539,"[46, 93, 196, 243, 309, 371, 422, 470, 511, 554]","[21072.70874137312, 93270.24836557539, 25174.876160045038, 33534.68951802647, 14532.241904558734, 18891.439390205396, 11179.061946168733, 51106.802414445614, 10852.832709242759, 10570.176562721306]","[3, 3, 159, 220, 288, 328, 381, 220, 501, 543]","[67, 563, 220, 381, 381, 381, 441, 563, 563, 563]",402949904323.32965,103162.39858483133,-103162.39858483133,0.0,,,,CWT,txu.059172014718840,402866681052.32965,,0.0,-79.5,79.0,0.0,-84.0,,102242.39858483133,28558.013389213786,249201.07771236257,28558.013389213786,,1620251.3218215576,28558.013389213786,,,10566.176562721306,0.0,-84.0,92351.24836557539,102242.39858483133,,2284.0676756347616,0.09680412031064661,0.803860323127553,0.8874990690227316,0.033604334361160414,0.8307429060316561,0.0,0.03683350039460927,,1.0,0.6955510788543333,0.6955510788543333,0.6955510788543336,,0.03712525482917103,0.66393391942075,0.6936818067173192,,,,,0.3636363636363636,,0.03734118604192532,0.4444444444444444,0.18421052631578944,0.17438394006959704,0.17438394006959704,0.15217391304347827,1.9505454556405861,0.6125017832413922,3,1.318939694232178,0.6941787864379885,6,0,0.42942632365367406,0.6289789291897434,6,0,0.38419203617833675,0.6723360633120892,7,1.7320508075688772,0.8267949192431123,5.5,4.9411764705882355,0.6383974596215561,5,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,4.0
raw,gaus6,610725626.4131328,0.639779680205564,241.45739943506413,-29.677368846452318,619,127,18991.460421888558,,False,14.74174395818181,108644.36701200697,0.014913506160473329,3.486850042350618e-07,0.15531931112932154,358.5420972606052,,,,[],[],13,25778.729611922907,3390.1823901173157,74861.7250812196,"[24, 82, 121, 168, 237, 292, 354, 387, 420, 464, 509, 551, 599]","[74861.7250812196, 16698.647481722026, 3390.1823901173157, 17676.09396301527, 64143.00826934068, 9012.38080307874, 23512.90627680018, 30773.191939677614, 5274.459692654795, 6604.407232129235, 7056.567545752567, 7729.562057216577, 68390.35222227316]","[0, 65, 118, 139, 139, 286, 313, 313, 410, 460, 491, 491, 139]","[139, 139, 139, 210, 491, 313, 375, 491, 491, 491, 514, 556, 618]",489311837742.85425,88049.63733440051,-88049.63733440051,0.0,,,,CWT,txu.059172014718840,489228614471.85425,,0.0,-73.5,76.0,0.0,-64.5,,87129.63733440051,25318.235229900434,294139.4849549978,25318.23522990043,,1620251.3218215576,25318.235229900434,,,3386.1823901173157,0.0,-78.0,73942.7250812196,87129.63733440051,,353.5420972606052,0.12060836611902025,0.7453342897953842,0.7646463139708177,0.051484465599245355,0.7247968059318413,0.5807340231969416,0.04609733718967778,,0.15205772315491325,0.5158440997511391,0.5158440997511391,0.5158440997511391,,0.00569142730849432,0.7878648985375374,0.5061355060622006,,,,,0.09090909090909088,,0.05489516331392031,0.7777777777777777,0.5,0.1012030975318265,0.1012030975318265,1.0,1.5917931574877202,0.4998479500660902,8,1.4320997400253526,0.7537367052765014,3,0,0.40180500581292905,0.5885221011814712,7,0,0.43338594311470413,0.7584254004507321,5,2.217355782608345,0.7782644217391654,5.75,4.992570579494799,0.6016322108695827,6,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,4.75
raw,gaus2,1538388300.2638528,0.606515461819292,248.35659440867298,-35.044018547879766,619,127,37971.119364111895,,False,14.576530738244617,157549.44660267685,0.013693222428361665,4.408120192779589e-07,0.08967417483283203,24312.15303525056,,,,[],[],9,32047.1388398515,6113.32327707396,108364.34636963982,"[35, 82, 167, 235, 292, 353, 386, 469, 581]","[10969.318134467598, 108364.34636963982, 13040.983501068371, 29530.40684808452, 6182.836347932262, 17276.499690387347, 6113.32327707396, 7894.436603688835, 89052.09878632078]","[0, 0, 140, 210, 286, 313, 313, 313, 313]","[52, 313, 210, 313, 313, 375, 412, 488, 618]",1684333512981.5173,117585.53665188079,-117585.53665188079,0.0,,,,CWT,txu.059172014718840,1684250289710.5173,,0.0,-71.0,80.0,0.0,-71.0,,116665.53665188079,31586.64445782903,247440.24955866352,31586.644457829032,,1620251.3218215576,31586.64445782903,,,6109.32327707396,0.0,-80.0,107445.34636963982,116665.53665188079,,24307.15303525056,0.5183056653293274,0.3550387167157811,0.588021674507068,0.2925862277278722,0.35191786681876513,0.305987291246575,0.11793432269721782,,0.4736549596354729,0.8635459579463874,0.8635459579463874,0.863545957946388,,0.3957166531624254,0.6590779138225521,0.8474606948258423,,,,,0.4545454545454545,,0.2977959703717939,0.9166666666666665,0.39473684210526316,0.24422540572202248,0.24422540572202248,0.7173913043478262,2.5734404219874465,0.8081005459137756,2,1.11915467305076,0.5890287752898737,9,0,0.5882953674833221,0.8616737491513597,2,0,0.3613988235775153,0.6324479412606516,8,3.774917217635375,0.6225082782364625,5.25,3.235955056179775,0.5487541391182312,7,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,5.5
raw,gaus1,4260232162.834564,0.6030045921158078,207.64650557225605,-39.92587874430408,619,127,56152.39307562001,,False,14.026500150592028,758040.8487392958,0.0231637685478573,3.4758048895021126e-07,0.06867272857656462,1.0,,,,[],[],3,16479.032647873875,9793.252901141423,25182.22078900347,"[205, 262, 359]","[14461.624253476726, 25182.22078900347, 9793.252901141423]","[3, 3, 347]","[221, 383, 383]",5139031939099.5625,273662.46343185304,-273662.46343185304,0.0,,,,CWT,txu.059172014718840,5138948715828.5625,,0.0,-87.5,86.0,0.0,-87.5,,272742.46343185304,16018.538265851403,8453.097943621622,16018.5382658514,,1620251.3218215576,16018.538265851403,,,9789.252901141423,0.0,-87.5,24263.22078900347,272742.46343185304,,4.0,0.8992737044959529,0.0,0.0,1.0,0.31256238414373333,0.2180892526305854,0.9999999999999999,,0.9082469424489876,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.5724740827346961,0.493781458407266,9,1.3820427660585133,0.7273909295044807,4,0,0.350589067317785,0.5135063315890525,9,0,0.48998933446718174,0.8574813353175679,3,3.2015621187164243,0.6798437881283576,6.25,4.9655172413793105,0.5274218940641788,8,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,6.25
raw,gaus5,649635957.8529084,0.6439265770292445,237.3536547051822,-30.19388021128091,619,127,19141.54917651636,,False,14.710864219425563,121438.82300877392,0.015973834800600276,2.2266871850521815e-07,0.027862668301026232,903.6712135778735,,,,[],[],10,24501.173467550318,3288.1276993905267,95039.36510147733,"[48, 93, 196, 245, 308, 371, 404, 436, 470, 510]","[9904.870984443427, 95039.36510147733, 15994.022585136612, 44472.42382059785, 13444.389581916665, 17602.36331445816, 13730.400068500234, 3288.1276993905267, 21822.913328008024, 9712.858191574305]","[3, 3, 159, 220, 288, 325, 381, 432, 381, 501]","[67, 531, 220, 531, 531, 381, 441, 441, 531, 531]",546342532355.3219,119705.19728982869,-119705.19728982869,0.0,,,,CWT,txu.059172014718840,546259309084.3219,,0.0,-79.5,79.0,0.0,-79.5,,118785.19728982869,24040.679085527845,204027.73467550316,24040.679085527838,,1620251.3218215576,24040.679085527845,,,3284.1276993905267,0.0,-84.0,94120.36510147733,118785.19728982869,,898.6712135778735,0.12375330631731463,0.707770425866594,0.7316336850381544,0.06159735441064583,0.7712819050335092,0.04728557510053735,0.06489119577675091,,0.14000527788305167,0.4449794466637248,0.4449794466637248,0.44497944666372463,,0.014567504792661628,0.5393550352090938,0.7117055935317366,,,,,0.3636363636363636,,0.06648725577171855,0.4444444444444444,0.18421052631578944,0.25448948313373665,0.25448948313373665,0.34782608695652173,1.4882218331902408,0.46732493418792653,10,1.21178723750387,0.6377827565809843,8,0,0.3325825282000022,0.48713222951642243,10,0,0.35831620679192955,0.6270533618858766,9,0.9574271077563381,0.9042572892243662,9.25,9.171974522292993,0.4896286446121831,9,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,7.0
raw,gaus3,957606306.2363908,0.6214366580590996,259.58461276627276,-32.48431406067278,619,127,25567.57815939957,,False,14.546205051519774,176891.03727185554,0.019441879710001008,2.3091614250017329e-07,0.04622163664981435,1.0,,,,[],[],8,25042.26240180985,8526.717311579145,96850.66098571013,"[114, 179, 245, 308, 360, 391, 470, 512]","[96850.66098571013, 12217.69974460546, 36322.774400529444, 9584.795665925061, 12154.385047492397, 13899.526749682303, 10781.53930895489, 8526.717311579145]","[3, 160, 220, 288, 346, 381, 441, 500]","[500, 220, 500, 500, 500, 500, 500, 522]",925996885658.6921,151918.46088984693,-151918.46088984693,0.0,,,,CWT,txu.059172014718840,925913662387.6921,,0.0,-85.0,81.0,0.0,-80.5,,150998.46088984693,24581.768019787378,159354.0992144788,24581.768019787385,,1620251.3218215576,24581.768019787378,,,8522.717311579145,0.0,-85.0,95931.66098571013,150998.46088984693,,4.0,0.2584034799015422,0.5411960747194443,0.5556013664572501,0.14163958934331214,0.5191786681876519,0.12412396466572884,0.1463453094540953,,0.7586717414527895,0.4749930627264234,0.4749930627264234,0.47499306272642405,,0.0,0.41615424276671065,0.7301591021175335,,,,,0.5454545454545454,,0.14365602244032843,0.13888888888888895,0.13157894736842102,0.4104764488560614,0.4104764488560614,0.30434782608695654,1.7703687091192695,0.5559234665332099,6,1.0667183436254006,0.5614307071712635,10,0,0.38677452874768353,0.5665070246736474,8,0,0.32664120753271786,0.5716221131822562,10,1.9148542155126762,0.8085145784487324,8.5,8.135593220338984,0.4792572892243662,10,gaus,6.25,6.5,2.9154759474226504,8,1.0,1.0,0.0,1,7.75
