signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_spectral_magnitude_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
raw,gaus1,4260232162.834564,0.6030045921158078,207.64650557225605,-39.92587874430408,619,127,56152.39307562001,,False,14.026500150592028,758040.8487392958,0.0231637685478573,3.4758048895021126e-07,0.06867272857656462,1.0,,,,[],[],3,16479.032647873875,9793.252901141423,25182.22078900347,"[205, 262, 359]","[14461.624253476726, 25182.22078900347, 9793.252901141423]","[3, 3, 347]","[221, 383, 383]",5139031939099.5625,273662.46343185304,-273662.46343185304,0.0,,,,CWT,txu.059172014718840,5138948715828.5625,,0.0,-87.5,86.0,0.0,-87.5,,272742.46343185304,16018.538265851403,8453.097943621622,16018.5382658514,,1620251.3218215576,16018.538265851403,,,9789.252901141423,0.0,-87.5,24263.22078900347,272742.46343185304,,4.0,0.8992737044959529,0.0,0.0,1.0,0.31256238414373333,0.2180892526305854,0.9999999999999999,,0.9082469424489876,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.5724740827346961,0.493781458407266,9,1.3820427660585133,0.7273909295044807,4,0,0.350589067317785,0.5135063315890525,9,0,0.48998933446718174,0.8574813353175679,3,3.2015621187164243,0.6798437881283576,6.25,4.9655172413793105,0.5274218940641788,8,gaus,1.0,1.0,0.0,1,6.25,,0.8998084107413543,0.039129165398169435,0.2356702767152507,0.0018274505238502492,0.9793652877463513,0.33967949595945796,0.12616464820169396,0.9785940225198313,,0.672784805194119,0.0,0.0,0.0,,1.0,0.0,0.0,0.013918303957368261,,,,,1.0,,0.967767792115119,0.0,0.0,0.9984330273948865,0.9984330273948865,0.0,2.092051700552434,0.6540841754999968,6,1.4914550746785016,0.851760004849931,6,0.0,1.0,6.0,6.0,0.85,1,11.0625,11.5,5.836308764964376,16,0.9619565217391305,0.6349066930468915,0.1361584268685412,2,1.25
raw,gaus8,522012813.3171806,0.6559856512281683,247.74008136069855,-28.44906072252305,619,127,16540.996415036294,,False,14.862212433882945,95505.76040613846,0.015557767167158676,2.921916683590428e-07,0.1821941865723864,2697.23514471186,,,,[],[],11,30846.123888021088,5305.2500203694035,69382.81819161137,"[23, 82, 123, 168, 237, 292, 354, 387, 443, 551, 599]","[69382.81819161137, 21605.012915755462, 5305.2500203694035, 23933.88492984677, 64781.76147247323, 9840.793032615187, 24685.523352817178, 34033.644273781094, 11632.884015880429, 10150.670652103809, 63955.11991097806]","[0, 65, 118, 139, 139, 286, 313, 313, 438, 497, 139]","[139, 139, 139, 210, 497, 313, 377, 497, 497, 557, 618]",369001394311.5187,80824.02437980527,-80824.02437980527,0.0,,,,CWT,txu.059172014718840,368918171040.5187,,0.0,-74.5,78.0,0.0,-70.0,,79904.02437980527,30385.629505998615,298323.36276823195,30385.62950599862,,1620251.3218215576,30385.629505998615,,,5301.2500203694035,0.0,-74.5,68463.81819161137,79904.02437980527,,2692.23514471186,0.0692616627718287,0.8346643653208636,0.8934356511409858,0.028427791914147287,0.9064594324825322,0.6932143167286055,0.026797953562560414,,0.37822320012762606,0.7969269617565509,0.7969269617565509,0.7969269617565514,,0.04377125111445516,0.7994031818393803,0.45031632367003593,,,,,0.2727272727272727,,0.030440791972809952,0.7222222222222221,0.6842105263157895,0.06621435953042151,0.06621435953042151,0.7608695652173914,1.9210608407178815,0.6032431529612732,4,1.6330975206611127,0.8595250108742699,2,0,0.47609956710982,0.6973410324746236,3,0,0.4931801677030748,0.8630652934803809,2,0.9574271077563381,0.9042572892243662,2.75,2.5263157894736845,0.8146286446121831,1,gaus,1.0,1.0,0.0,1,1.0,,0.07420249375603225,0.03257831132143397,0.8736290600965873,0.8936303922161319,0.046428595071762425,0.9101492946171756,0.40102453167000596,0.04682980428920276,,0.28922212153261795,0.31007395403105587,0.31007395403105587,0.310073954031056,,1.0,0.04352267421787917,0.7994031818393803,0.45796698815759984,,,,,0.6521739130434783,,0.031153282804433906,0.3611111111111111,0.4193548387096774,0.07386542526080817,0.07386542526080817,0.4320987654320988,2.0867383419875956,0.6524229432488529,8,1.569442623455693,0.8962981716726989,5,2.1213203435596424,0.8939339828220179,6.5,6.153846153846153,0.784466991411009,2,11.0625,11.5,5.836308764964376,16,0.9619565217391305,0.6349066930468915,0.1361584268685412,2,2.0
raw,gaus6,610725626.4131328,0.639779680205564,241.45739943506413,-29.677368846452318,619,127,18991.460421888558,,False,14.74174395818181,108644.36701200697,0.014913506160473329,3.486850042350618e-07,0.15531931112932154,358.5420972606052,,,,[],[],13,25778.729611922907,3390.1823901173157,74861.7250812196,"[24, 82, 121, 168, 237, 292, 354, 387, 420, 464, 509, 551, 599]","[74861.7250812196, 16698.647481722026, 3390.1823901173157, 17676.09396301527, 64143.00826934068, 9012.38080307874, 23512.90627680018, 30773.191939677614, 5274.459692654795, 6604.407232129235, 7056.567545752567, 7729.562057216577, 68390.35222227316]","[0, 65, 118, 139, 139, 286, 313, 313, 410, 460, 491, 491, 139]","[139, 139, 139, 210, 491, 313, 375, 491, 491, 491, 514, 556, 618]",489311837742.85425,88049.63733440051,-88049.63733440051,0.0,,,,CWT,txu.059172014718840,489228614471.85425,,0.0,-73.5,76.0,0.0,-64.5,,87129.63733440051,25318.235229900434,294139.4849549978,25318.23522990043,,1620251.3218215576,25318.235229900434,,,3386.1823901173157,0.0,-78.0,73942.7250812196,87129.63733440051,,353.5420972606052,0.12060836611902025,0.7453342897953842,0.7646463139708177,0.051484465599245355,0.7247968059318413,0.5807340231969416,0.04609733718967778,,0.15205772315491325,0.5158440997511391,0.5158440997511391,0.5158440997511391,,0.00569142730849432,0.7878648985375374,0.5061355060622006,,,,,0.09090909090909088,,0.05489516331392031,0.7777777777777777,0.5,0.1012030975318265,0.1012030975318265,1.0,1.5917931574877202,0.4998479500660902,8,1.4320997400253526,0.7537367052765014,3,0,0.40180500581292905,0.5885221011814712,7,0,0.43338594311470413,0.7584254004507321,5,2.217355782608345,0.7782644217391654,5.75,4.992570579494799,0.6016322108695827,6,gaus,1.0,1.0,0.0,1,4.75,,0.12527662276875506,0.03925979678514165,0.8053514281891918,0.7650764111876418,0.06856839766474875,0.7356526503218742,0.3359546738394442,0.06530744227145086,,0.1255527792512676,0.2007082547701383,0.2007082547701383,0.20070825477013826,,1.0,0.005659105697815796,0.7878648985375374,0.5130092622025786,,,,,0.5652173913043479,,0.05477671789176592,0.3888888888888889,0.3064516129032258,0.10850876543831266,0.10850876543831266,0.5679012345679013,1.9515630150232097,0.6101601051640697,9,1.4041600937789869,0.801906425874129,9,0.0,1.0,9.0,9.0,0.775,3,11.0625,11.5,5.836308764964376,16,0.9619565217391305,0.6349066930468915,0.1361584268685412,2,2.75
raw,mexh,2902658230.2561026,0.5751211631663974,447.5985707541769,-37.850237153256614,619,127,60959.44290717912,,False,14.914383011092564,192298.30225650757,0.012695433044598988,2.8366106249962455e-08,0.07145373036963318,61424.54276533093,,,,[],[],8,34507.14805819945,5662.8513366521365,123336.77366502887,"[86, 169, 234, 301, 357, 467, 510, 548]","[123336.77366502887, 6859.87036556362, 18928.49539304274, 6598.301917331053, 11533.931012163222, 5662.8513366521365, 6360.707250163687, 96776.25352565023]","[0, 155, 214, 300, 315, 315, 315, 0]","[315, 315, 315, 315, 375, 473, 512, 618]",3209921294368.414,126438.35454661935,-126438.35454661935,0.0,,,,CWT,txu.059172014718840,3209838071097.414,,0.0,-76.0,81.0,0.0,-80.5,,125518.35454661935,34046.653676176975,235073.18446559558,34046.65367617697,,1620251.3218215576,34046.653676176975,,,5658.8513366521365,0.0,-71.5,122417.77366502887,125518.35454661935,,61419.54276533093,1.0,0.15095334507677127,0.949209695093205,0.6471632667876124,0.0,0.2297286702219014,0.16897713994444857,,0.4204551667618844,1.0,1.0,1.0,,1.0,0.6249720658446816,1.0000000000000002,,,,,0.5454545454545454,,0.6078878381720164,0.6388888888888888,0.8421052631578947,0.2870935925235543,0.2870935925235543,0.30434782608695654,3.1845547376502243,1.0,1,1.3482408120530114,0.7096004273963218,5,0,0.6827356271009986,1.0,1,0,0.4494331595891341,0.7865080292809846,4,2.0615528128088303,0.793844718719117,2.75,1.6326530612244896,0.7594223593595585,2,mexh,0.32,,,2,2.0,,0.9999999999999999,0.0013755750897680857,0.35104840518668656,0.9493025118625134,0.6405594509822518,0.03944665114367896,0.13289805210843486,0.18295516379984256,,0.31978416086239125,0.38908704173793374,0.38908704173793374,0.3890870417379336,,1.0,0.9943210008796414,0.6249720658446816,1.0,,,,,0.782608695652174,,0.5889792281938432,0.3194444444444444,0.5161290322580645,0.29256420789252535,0.29256420789252535,0.17283950617283952,3.1984441436046396,1.0,1,1.4480926438821076,0.8269960110210166,8,4.949747468305833,0.7525126265847084,4.5,1.7777777777777777,0.7637563132923542,4,5.0,5.0,1.4142135623730951,2,0.43478260869565216,0.15384615384615385,0.6494983277591974,1,3.25
raw,morl,412634096.10697323,0.6643303270451452,243.54506135899828,-26.175659496152658,619,127,13235.56100023495,,False,14.96189184021584,77262.2881531646,0.01862611486180266,1.673533551925271e-08,0.25549437780378015,231.19501948199877,,,,[],[],14,29431.817359379307,2102.6259184505925,59467.522927632424,"[20, 86, 124, 169, 200, 234, 292, 353, 385, 420, 467, 505, 536, 599]","[59467.522927632424, 40106.77394724437, 10375.983105868912, 41706.50143162738, 2102.6259184505925, 54199.67585842585, 18912.396597330237, 32493.591980501442, 18044.55364037209, 11585.562214986716, 41356.068080277204, 21095.35576692416, 7060.872861029409, 53537.95870063953]","[0, 64, 118, 118, 199, 118, 269, 314, 375, 411, 375, 497, 528, 118]","[118, 118, 132, 210, 210, 497, 314, 375, 411, 423, 497, 558, 537, 618]",219239000931.44354,67149.92918997507,-67149.92918997507,0.0,,,,CWT,txu.059172014718840,219155777660.44354,,0.0,-73.0,75.0,0.0,-68.5,,66229.92918997507,28971.322977356835,371061.4430313103,28971.32297735684,,1620251.3218215576,28971.322977356835,,,2098.6259184505925,0.0,-68.5,58548.522927632424,66229.92918997507,,226.19501948199877,0.0,1.0,1.0,0.0,0.9999999999999999,1.0,0.0,,0.0,0.7184769132377945,0.7184769132377945,0.7184769132377951,,0.003617895559940046,1.0,0.3492991525511118,,,,,0.0,,0.0,0.8055555555555555,1.0,0.0,0.0,0.8260869565217392,1.6688606928294445,0.5240483616434367,7,1.9,1.0,1,0,0.43857073570726657,0.6423727110441064,5,0,0.5714285714285715,1.0,1,3.0,0.7,3.5,1.7073170731707317,0.675,3,morl,0.48,,,3,3.0,,0.005308507006295482,0.0,1.0,0.9999999999999999,0.019131261998930796,1.0,0.5785000713235524,0.02117287688876815,,0.01551305139056064,0.27955005672869554,0.27955005672869554,0.2795500567286957,,1.0,0.003597349534237597,1.0,0.35835580473122236,,,,,0.5217391304347826,,0.0017468399584571748,0.4027777777777778,0.6129032258064516,0.008304713075193787,0.008304713075193787,0.46913580246913583,1.9455117618411937,0.6082681686754755,10,1.7510273623862822,1.0,1,6.363961030678928,0.6818019484660536,5.5,1.8181818181818181,0.7034009742330267,5,11.5,11.5,9.192388155425117,2,1.0,1.0,0.0,3,4.5
smoothed,mexh,2820292969.5411315,0.5714576469540661,439.5431655587975,-41.92946987623833,619,127,60951.04670414808,,False,14.930768485373758,177407.0710282205,0.011644770523192264,1.1131510325476286e-06,0.12542636920883768,61938.033605967015,,,,[],[],4,62522.31659564641,7070.1138436232595,119624.20097108463,"[86, 232, 355, 546]","[119624.20097108463, 13439.580673205317, 7070.1138436232595, 109955.37089467241]","[0, 214, 313, 0]","[313, 313, 375, 618]",3192145570940.723,125165.53927461992,-125165.53927461992,0.0,,,,CWT,txu.059172014718840,3192085052992.563,,0.0,-74.0,72.0,0.0,-65.0,,124592.53927461992,62352.940279856935,237216.66638258562,62352.940279856935,,675693.7714042913,62352.940279856935,,,7068.1138436232595,0.0,-69.5,119051.20097108463,124592.53927461992,,61770.313605967014,1.0,0.15900286916992307,1.0,0.6200037888505938,0.0,0.22945211400815113,0.16201270102579657,,0.4402253734723966,1.0,1.0,1.0,,0.9999999999999999,0.6626004254793473,0.9999999999999999,,,,,0.8181818181818181,,0.5854933523310092,0.04255319148936168,0.29729729729729737,0.2881253687779825,0.2881253687779825,0.3571428571428572,3.2040509960380548,1.0,1,1.381460039833543,0.7530064691205364,8,0,0.6271246466392895,1.0,1,0,0.40442164158710525,0.7411076921726463,7,3.774917217635375,0.6225082782364625,4.25,1.763779527559055,0.5987541391182312,7,mexh,1.0,,,2,5.75,0.0649016596423776,0.999825000997515,0.12967344604951392,0.12429719765304115,0.9667877331009151,0.6200037888505938,0.0,0.26357742747698454,0.16201270102579657,,0.44022537347239654,1.0,1.0,1.0,,0.0,1.0,0.630883352625662,0.9661786884599399,,,,,0.3913043478260869,,0.5854933523310091,0.375,0.5806451612903225,0.2881253687779825,0.2881253687779825,0.5555555555555556,3.101792822631796,0.9697817699377055,2,1.3770596650828004,0.7864295525377499,11,6.363961030678928,0.6818019484660536,6.5,3.3846153846153846,0.6784009742330268,6,5.0,5.0,1.4142135623730951,2,0.43478260869565216,0.15384615384615385,0.6494983277591974,1,4.75
smoothed,gaus2,1507722203.9722612,0.5948634449772938,224.1864711460705,-39.1026001232072,619,127,37971.674197268905,,False,14.548255539867045,151408.17543359118,0.013557649603281683,8.471941319709152e-06,0.17244610297941093,24461.36741286086,,,,[],[],10,29580.519974415896,3990.489469673521,109982.14608096359,"[36, 81, 167, 237, 292, 355, 388, 467, 550, 583]","[9028.964191978026, 109982.14608096359, 11013.201121417937, 28059.63940015809, 4618.09361469611, 15022.825650383696, 3990.489469673521, 5711.750171486754, 6275.150684152206, 102102.93935924904]","[0, 0, 140, 211, 285, 314, 314, 314, 314, 314]","[52, 314, 211, 314, 314, 375, 395, 488, 557, 618]",1667108704264.3696,115644.16462022514,-115644.16462022514,0.0,,,,CWT,txu.059172014718840,1667048186316.2097,,0.0,-71.0,66.0,0.0,-62.0,,115071.16462022514,29411.14365862642,282932.599744159,29411.143658626417,,675693.7714042913,29411.14365862642,,,3988.489469673521,0.0,-62.0,109409.14608096359,115071.16462022514,,24293.64741286086,0.520965475703858,0.36001420443084986,0.5777913550271542,0.2924292635383572,0.32156588605382763,0.34857250355520464,0.12544884040139445,,0.17702835223110477,0.2511006607692893,0.2511006607692893,0.2511006607692892,,0.39297050586989685,0.804801185603479,0.8997430256253666,,,,,0.2727272727272727,,0.28604628524178827,0.17021276595744678,0.7027027027027029,0.24247495500929417,0.24247495500929417,0.4642857142857143,1.8571091823497419,0.5796128665386838,2,1.4256433666565935,0.7770899242807977,7,0,0.3863406930408021,0.6160508841602237,3,0,0.4433484410888307,0.8124415367937619,6,2.3804761428476167,0.7619523857152384,4.5,3.5,0.6559761928576192,5,gaus,0.7857142857142857,1.0,0.15,1,4.0,1.0,0.5208743072652808,1.0000000000000002,0.2814336430509418,0.5586015943320084,0.29242926353835713,0.25202027119572684,0.3774223231738535,0.12544884040139445,,0.17702835223110472,0.28904237047727144,0.28904237047727144,0.2890423704772714,,0.0,0.39325072187106097,0.7569585904984086,0.869312536449695,,,,,0.13043478260869562,,0.28604628524178827,0.4583333333333333,0.8225806451612903,0.24247495500929417,0.24247495500929417,0.6296296296296297,1.8692119249519363,0.5844128710796677,12,1.352594480853722,0.7724576496682611,13,0.7071067811865476,0.9646446609406726,12.5,12.48,0.6698223304703363,7,11.0625,11.5,5.836308764964376,16,0.9619565217391305,0.6349066930468915,0.1361584268685412,2,5.75
raw,gaus7,541930068.0286416,0.6492310432116826,248.31026222679503,-28.87262305641038,619,127,17855.429406045863,,False,14.85665940430476,102337.7455331554,0.015284375323815026,2.509552814021457e-07,0.01656474311626581,2289.0676756347616,,,,[],[],10,29018.507771236258,10570.176562721306,93270.24836557539,"[46, 93, 196, 243, 309, 371, 422, 470, 511, 554]","[21072.70874137312, 93270.24836557539, 25174.876160045038, 33534.68951802647, 14532.241904558734, 18891.439390205396, 11179.061946168733, 51106.802414445614, 10852.832709242759, 10570.176562721306]","[3, 3, 159, 220, 288, 328, 381, 220, 501, 543]","[67, 563, 220, 381, 381, 381, 441, 563, 563, 563]",402949904323.32965,103162.39858483133,-103162.39858483133,0.0,,,,CWT,txu.059172014718840,402866681052.32965,,0.0,-79.5,79.0,0.0,-84.0,,102242.39858483133,28558.013389213786,249201.07771236257,28558.013389213786,,1620251.3218215576,28558.013389213786,,,10566.176562721306,0.0,-84.0,92351.24836557539,102242.39858483133,,2284.0676756347616,0.09680412031064661,0.803860323127553,0.8874990690227316,0.033604334361160414,0.8307429060316561,0.0,0.03683350039460927,,1.0,0.6955510788543333,0.6955510788543333,0.6955510788543336,,0.03712525482917103,0.66393391942075,0.6936818067173192,,,,,0.3636363636363636,,0.03734118604192532,0.4444444444444444,0.18421052631578944,0.17438394006959704,0.17438394006959704,0.15217391304347827,1.9505454556405861,0.6125017832413922,3,1.318939694232178,0.6941787864379885,6,0,0.42942632365367406,0.6289789291897434,6,0,0.38419203617833675,0.6723360633120892,7,1.7320508075688772,0.8267949192431123,5.5,4.9411764705882355,0.6383974596215561,5,gaus,1.0,1.0,0.0,1,4.0,,0.10159874196603474,0.027701270237632636,0.8500846150509225,0.8877046589079797,0.051399287265110234,0.8374195315710183,0.0,0.056438049034177165,,0.7391838099524312,0.2706299116490608,0.2706299116490608,0.27062991164906086,,1.0,0.036914420539653076,0.6639339194207499,0.6979452364390992,,,,,0.6956521739130435,,0.037819208053336925,0.2222222222222222,0.11290322580645168,0.18096718970073025,0.18096718970073025,0.0864197530864198,2.185072696561964,0.6831673771546286,4,1.375935778020277,0.7857877081630328,12,5.656854249492381,0.717157287525381,8.0,6.0,0.6585786437626905,8,11.0625,11.5,5.836308764964376,16,0.9619565217391305,0.6349066930468915,0.1361584268685412,2,6.5
smoothed,gaus4,766537916.9947641,0.6292216300103036,226.21190862778008,-35.41810071010871,619,127,23213.99404555617,,False,14.519770914722148,126374.94324488912,0.016631477135544567,6.580408964360778e-06,0.23103195763904982,0.0,,,,[],[],10,30469.352101859527,4995.353674213518,85790.57233534272,"[28, 81, 168, 237, 292, 354, 387, 465, 551, 591]","[83009.13793367853, 12374.624524985338, 15507.880806815381, 45315.73428922007, 6149.9442180697715, 23402.14033434736, 19821.040696217777, 8327.092205704794, 4995.353674213518, 85790.57233534272]","[0, 64, 140, 140, 285, 313, 375, 429, 140, 140]","[140, 140, 211, 490, 313, 490, 490, 490, 557, 618]",713149180433.5896,94273.36854824897,-94273.36854824897,0.0,,,,CWT,txu.059172014718840,713088662485.4296,,0.0,-57.5,66.0,0.0,-53.0,,93700.36854824897,30299.975786070052,291820.9210185953,30299.975786070052,,675693.7714042913,30299.975786070052,,,4993.353674213518,0.0,-62.0,85217.57233534272,93700.36854824897,,167.72,0.21332268480197436,0.6220093479994168,0.5463507067399314,0.10745402460690397,0.7936036350926253,0.49699465037243795,0.09024305216340953,,0.26290806783022674,0.27130738478568867,0.27130738478568867,0.27130738478568867,,0.00219002829522681,0.8324485712853107,0.6482018327224172,,,,,0.2727272727272727,,0.0987325305549777,0.7446808510638296,0.7027027027027029,0.14001226252384819,0.14001226252384819,0.7857142857142858,1.5808125747051132,0.4933793427944359,4,1.5443329100290553,0.8417852403951858,5,0,0.3888752015929296,0.6200923591137432,2,0,0.4537020939987566,0.8314147346263984,5,1.4142135623730951,0.8585786437626906,4.0,3.4782608695652177,0.7292893218813452,2,gaus,0.7857142857142857,1.0,0.15,1,1.75,0.7596386502133534,0.21328535354492661,0.7762878445675616,0.48624291670925085,0.5282051612471811,0.10745402460690397,0.6219695932064103,0.5192712869638754,0.09024305216340953,,0.26290806783022663,0.30822535523177336,0.30822535523177336,0.3082253552317734,,0.0,0.0026506357663570145,0.7814707711882569,0.6262787965970745,,,,,0.13043478260869562,,0.0987325305549777,0.8333333333333333,0.8225806451612903,0.14001226252384819,0.14001226252384819,0.8518518518518519,1.5549821933838475,0.4861683129571198,14,1.3990408753198176,0.7989828744955869,10,2.8284271247461903,0.8585786437626906,12.0,11.666666666666666,0.6292893218813453,9,11.0625,11.5,5.836308764964376,16,0.9619565217391305,0.6349066930468915,0.1361584268685412,2,7.25
smoothed,gaus7,522584757.54668236,0.6348695508376477,224.08503112287096,-33.10802118595477,619,127,18058.252286192692,,False,14.772687393031227,98155.60748246346,0.015508489027795325,4.332305183387698e-06,0.034856002919892375,2842.339027763038,,,,[],[],10,26250.92206990965,7439.994410003806,89508.79019657167,"[46, 92, 198, 244, 309, 361, 423, 472, 510, 554]","[19351.28372616567, 89508.79019657167, 22264.19345083815, 31305.42133656784, 11080.388038884044, 17564.027601691603, 7439.994410003806, 46966.87838113388, 7527.057297230072, 9501.186260009756]","[3, 3, 159, 220, 288, 330, 382, 220, 501, 543]","[68, 563, 220, 382, 382, 382, 440, 563, 563, 563]",415532995906.30975,104049.75424380516,-104049.75424380516,0.0,,,,CWT,txu.059172014718840,415472477958.1498,,0.0,-71.0,66.0,0.0,-71.0,,103476.75424380516,26081.545754120176,249636.6206990965,26081.545754120172,,675693.7714042913,26081.545754120176,,,7437.994410003806,0.0,-71.0,88935.79019657167,103476.75424380516,,2674.619027763038,0.10584462810782062,0.7862730779470757,0.8255138693270814,0.04657133355443992,0.8711988815099624,0.0,0.05055644870846576,,0.47183684664746584,0.17540552794882744,0.17540552794882744,0.17540552794882736,,0.042795605131145394,0.7012330599822089,0.6868634330846461,,,,,0.2727272727272727,,0.04029440651853658,0.17021276595744678,0.21621621621621626,0.18688533163035892,0.18688533163035892,0.1428571428571429,1.2860686500383003,0.40138832110618056,5,1.4504520544750683,0.7906126479782232,6,0,0.26035885687352023,0.41516285202433423,8,0,0.39499064895533276,0.7238252807843705,8,1.5,0.85,6.75,6.486486486486486,0.5874999999999999,8,gaus,0.7857142857142857,1.0,0.15,1,6.25,0.4739669524878165,0.10582610540348336,0.5104038690409177,0.6146526832444079,0.7980966823700941,0.0465713335544399,0.6827831803862491,0.04428707688284328,0.050556448708465755,,0.4718368466474658,0.2171822026585564,0.2171822026585564,0.21718220265855637,,0.0,0.04323746831970622,0.6651350583151915,0.6636328109288152,,,,,0.13043478260869562,,0.04029440651853659,0.4583333333333333,0.532258064516129,0.18688533163035892,0.18688533163035892,0.40740740740740744,1.3506335753901146,0.42227830618544226,15,1.2870452926332554,0.7350229472595352,15,0.0,1.0,15.0,15.0,0.625,10,11.0625,11.5,5.836308764964376,16,0.9619565217391305,0.6349066930468915,0.1361584268685412,2,8.0
