wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,antisymmetric,0.5588125361195102,59.935416702625474,3893111.8942588815,0.6894736842105263,403.34649705182045,130,raw,0.5802607992390808,,6.66271077339413,123702.77101909097,0.819737914370973,3.463452631789939e-06,0.9999968519037029,282.5193388237443,,,,[],[],15,543.9114472640075,363.28474268355365,742.4992067194446,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[363.28474268355365, 742.4992067194446, 654.5968937638766, 628.4615322869395, 466.5930826028099, 598.4879364848445, 415.750001345751, 730.9358518154498, 392.4858408309821, 712.6304181736906, 378.0823829967783, 404.06284718729046, 616.9371540761438, 454.85744601799627, 599.0063719745617]","[1, 1, 18, 31, 42, 42, 54, 24, 76, 78, 88, 91, 91, 112, 112]","[7, 24, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",18014691.282381263,743.6250937478073,-743.6250937478073,0.0,,,,DWT,txu.059172014879442,40638.28238126263,,0.0,53.5,2.0,0.0,58,,1.625093747807341,35.32321196988988,487.3282910398866,35.32321196988986,,0.0,35.32321196988988,,,353.28474268355365,0.0,53.5,1.4992067194446008,1.625093747807341,,0.019338823744305955,1.0,1.0,0.0,0.9172779712887089,0.8078997555549664,0.45328481792396086,0.9917619554971403,0.7848492856856637,0.9720843940447277,0.9720843940447277,0.9720843938999089,,0.8836724299605616,0.027915605955209144,0.5355080772182707,,,,,,0.9924627131584579,0.0,0.0,0.9443730829737915,0.9443730829737915,2.7078593866382743,0.9341830888726133,8,2.340607572790278,1.0,1,0,0.6691172883262592,0.8592310382579529,8,0,0.7386035000378253,1.0,1,4.041451884327381,0.9952731556908452,4.5,1.7777777777777777,0.9950049988980542,1,dmey,37.77777777777778,5.0,46.356708731794626,9,0.07048092868988391,0.1526740963460316,0.9048611210132718,1,1.0
dmey,1,antireflect,0.5576003459659307,59.94484776007829,3872927.368582774,0.6894736842105263,423.6428451548324,130,raw,0.5790224411039802,,6.678923928614408,123646.41524735512,0.8090676348219501,3.4633628004610594e-06,0.9999969112198842,282.51859893934386,,,,[],[],15,543.9510229283272,363.6369291633882,741.8801293578449,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[363.6369291633882, 741.8801293578449, 654.6123766030521, 628.4615322611153, 466.5930826028889, 598.4879364837755, 415.750001345751, 731.3622730490933, 392.4858408309831, 712.6304181737103, 378.0823829539273, 404.0628601290708, 616.9456364281875, 454.78684877378157, 599.4870957683382]","[1, 1, 18, 31, 42, 42, 54, 24, 76, 78, 88, 91, 91, 112, 112]","[7, 24, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",18014999.910994705,743.5720754908418,-743.5720754908418,0.0,,,,DWT,txu.059172014879442,40946.91099470481,,0.0,53.5,2.0,0.0,58,,1.5720754908418257,35.36278763420961,486.73465607509206,35.362787634209546,,0.0,35.36278763420961,,,353.6369291633882,0.0,53.5,0.8801293578449076,1.5720754908418257,,0.018598939343860366,0.9978658593916313,0.9978307749464655,3.52005556222279e-05,0.9314567253709338,0.7918488267135272,0.45328481792396086,0.9911044570269337,0.9999999999999999,1.0,1.0,1.0,,0.8498639907981657,0.0,0.31437717961768646,,,,,,1.0,0.0,0.0,0.9135631590220342,0.9135631590220342,2.64754584881674,0.9133755508811723,9,2.33748782914133,0.998667122295418,2,0,0.6659472907049934,0.8551603612706511,9,0,0.737632380275582,0.9986851947463103,2,4.041451884327381,0.9952731556908452,5.5,3.2727272727272725,0.9944202035764167,2,dmey,37.77777777777778,5.0,46.356708731794626,9,0.07048092868988391,0.1526740963460316,0.9048611210132718,1,1.75
dmey,1,periodic,0.4656272093330184,60.72769459796989,3905144.69921587,0.6894736842105263,423.6428617411015,130,raw,0.5436021449345855,,6.686595643632752,43697.53971966173,0.5406803584300419,3.463342196163781e-06,0.9999978146307652,282.5204481322744,,,,[],[],15,543.9429564470881,363.48371691508294,743.2818194727727,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[363.48371691508294, 743.2818194727727, 654.6458382228184, 628.4615289714445, 466.5930826027677, 598.4879364854985, 415.750001345751, 731.4682629118533, 392.48584083098206, 712.6304181737289, 378.0823829934267, 404.0628023575823, 616.9328562787741, 454.8254072453931, 597.9524518984454]","[1, 1, 18, 31, 42, 42, 54, 24, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",18002733.80364265,743.7208175212807,-743.7208175212807,0.0,,,,DWT,txu.059172014879442,28680.803642649204,,0.0,58.0,2.0,0.0,58,,1.720817521280651,35.35472115297051,486.8556532936782,35.354721152970455,,0.0,35.35472115297051,,,353.48371691508294,0.0,53.5,2.2818194727726677,1.720817521280651,,0.020448132274395903,0.9368238310212096,0.8332440295030125,0.0029571044671318214,0.9381658056922009,0.8174683577221282,0.45328481792396086,0.058347052859380515,0.906402640214738,0.9943101217481267,0.9943101217481267,0.9943101217186081,,0.9343614158741537,0.005689878251857405,0.81505288268477,,,,,,0.7004387619461248,1.0,0.0,0.9999999999998679,0.9999999999998679,2.89457137100728,0.9985967652799078,3,1.8652376597089506,0.7969031978672824,23,0,0.7787396620155201,0.9999999999999754,2,0,0.577184428455575,0.7814536871623494,12,9.763879010584539,0.9885802584671526,10.0,4.166037735849057,0.988442176017202,3,dmey,37.77777777777778,5.0,46.356708731794626,9,0.07048092868988391,0.1526740963460316,0.9048611210132718,1,2.5
dmey,1,reflect,0.4461659718651567,60.913113660686165,3906343.6487778323,0.6894736842105263,423.64271701916124,130,raw,0.5350180225748622,,6.695776739568541,43108.12721240737,0.5494386073007099,3.4634302923356685e-06,0.9999978686356064,282.52188460688444,,,,[],[],15,543.8851951346036,363.09023322925765,743.7995968375161,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[363.09023322925765, 743.7995968375161, 654.5887388964629, 628.4615306018031, 466.59308260273065, 598.4879364863432, 415.750001345751, 731.4724898679208, 392.48584083098103, 712.6304181737332, 378.0823830349783, 404.0628370725372, 616.9211117556508, 454.0285179758165, 597.8232083075711]","[1, 1, 18, 31, 42, 42, 54, 24, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",18001673.1547517,743.6353668621307,-743.6353668621307,0.0,,,,DWT,txu.059172014879442,27620.154751699418,,0.0,58.0,2.0,0.0,58,,1.6353668621306952,35.296959840485954,487.7220729809469,35.296959840485925,,0.0,35.296959840485954,,,353.09023322925765,0.0,53.5,2.7995968375161056,1.6353668621306952,,0.021884606884441382,0.9220302720370767,0.798417972086685,0.0036491640864544372,0.9461948721946948,0.8184217739387062,0.45328481792396086,0.051470422304895444,0.6660234634896,0.9535668501822588,0.9535668501822588,0.9535668499413508,,0.9999999999999999,0.046433149817742825,1.0,,,,,,0.6745357361699692,1.0,0.0,0.9503429863460605,0.9503429863460605,2.8986388416709206,1.0,1,1.8420597824732496,0.7870006932761047,29,0,0.7623649060396083,0.9789727468952206,3,0,0.5704956135103535,0.7723976578517937,16,12.996794476587935,0.9847990707876164,12.25,2.7965846308387743,0.9852357927037497,4,dmey,37.77777777777778,5.0,46.356708731794626,9,0.07048092868988391,0.1526740963460316,0.9048611210132718,1,3.25
dmey,1,symmetric,0.4454813141909475,60.91978318378101,3884813.50243608,0.6842105263157895,401.3170539056749,130,raw,0.539296225489421,,6.67371681507017,44055.220774637586,0.5151430750385694,3.4633358374083637e-06,0.999997916422454,282.5211447224841,,,,[],[],15,543.898386178416,363.442419709092,743.2132244752892,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[363.442419709092, 743.2132244752892, 654.6037882405384, 628.4615305980975, 466.59308260280966, 598.4879364850875, 415.750001345751, 731.4708702677509, 392.48584083098194, 712.630418173753, 378.082382992127, 404.06285001431763, 616.9295941076945, 453.95792073160146, 598.3039321013478]","[1, 1, 18, 31, 42, 42, 54, 24, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",18002143.18403424,743.6014813728399,-743.6014813728399,0.0,,,,DWT,txu.059172014879442,28090.1840342395,,0.0,58.0,2.0,0.0,58,,1.601481372839885,35.310150884298366,487.5242073237605,35.31015088429831,,0.0,35.310150884298366,,,353.442419709092,0.0,53.5,2.2132244752891665,1.601481372839885,,0.02114472248410948,0.9294031687072791,0.797192771093587,0.003674057468755376,0.9269029922191272,0.8013007946091646,0.43577915938458023,0.06252009031809536,0.881174177803832,0.9628714566250237,0.9628714566250237,0.9628714564323755,,0.9661915608427987,0.03712854337496696,0.7905511413753461,,,,,,0.686014728629275,1.0,0.0,0.9306514799127763,0.9306514799127763,2.8431401433221803,0.9808535311295463,4,1.8227626410448052,0.7787561922957716,35,0,0.7592481234611828,0.9749704047384611,4,0,0.5652532905429414,0.7653000432762553,20,14.885675440951054,0.9825898532854374,15.75,6.91358024691358,0.9820844003269292,5,dmey,37.77777777777778,5.0,46.356708731794626,9,0.07048092868988391,0.1526740963460316,0.9048611210132718,1,4.0
db26,1,antireflect,1.10906561481103e-26,316.958505698125,3734237.8054585783,0.6444444444444445,377.25952363869675,130,raw,7.089030217544998e-14,-1.3261258757779992e-10,6.569320513374883,117558.40010096435,0.8119479040462335,3.4812953671601187e-06,1.0,282.5,,,,[],[],15,542.5333333333333,362.0000000000001,740.9999999999998,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[362.0000000000001, 740.9999999999998, 653.0, 627.0000000000002, 466.00000000000017, 596.0000000000001, 414.0, 729.0000000000002, 392.0000000000001, 710.9999999999999, 378.0000000000001, 403.00000000000006, 616.0, 453.0, 597.0000000000001]","[1, 1, 18, 31, 42, 42, 54, 64, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",17974053.0,741.9999999999998,-741.9999999999998,0.0,,,,DWT,txu.059172014879442,0.0,,0.0,58.0,2.0,0.0,58,,2.2737367544323206e-13,33.94509803921568,508.0,33.94509803921578,,0.0,33.94509803921568,,,352.0000000000001,0.0,58.0,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,9.805603974788943e-14,1.8233784337760083e-26,0.9593150699910038,0.835606173757788,0.6815615529634291,0.30351418375370487,0.9200760508486232,2.9802936344985875e-09,5.533382738196122e-09,5.533382738196122e-09,3.4467865629168316e-10,,0.0,0.9999999944666066,8.121657818593818e-14,,,,,,0.0,1.0,1.0,1.32131194988059e-13,1.32131194988059e-13,0.700000001550918,0.2414926590673169,32,1.8236089991961715,0.7791177899258935,34,0,0.2500000007382241,0.3210315499934501,32,0,0.5285818616163783,0.7156503612415981,35,1.5,0.9982456140350877,33.25,33.19965126416739,0.9796783625730994,6,db,393.94276094276097,392.0,229.80031010299462,297,0.7349678375797779,0.756838775763844,0.25847088096500226,2,5.0
db29,1,antisymmetric,1.4604970799261813e-26,315.7630711756291,3798592.6586452005,0.7150537634408602,427.77719331645926,130,raw,8.864020628607246e-14,-1.291134976710889e-10,6.688023537121893,120945.8850873611,0.8080874041057932,3.48129536716012e-06,1.0,282.5,,,,[],[],15,542.5333333333333,362.0,740.9999999999998,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[362.0, 740.9999999999998, 652.9999999999999, 627.0, 466.0, 596.0, 414.0000000000001, 729.0000000000002, 392.00000000000006, 711.0, 377.9999999999998, 402.9999999999998, 615.9999999999998, 453.0, 597.0000000000002]","[1, 1, 18, 31, 42, 42, 54, 64, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",17974053.0,741.9999999999998,-741.9999999999998,0.0,,,,DWT,txu.059172014879442,0.0,,0.0,58.0,2.0,0.0,58,,2.2737367544323206e-13,33.94509803921568,508.0,33.94509803921572,,0.0,33.94509803921568,,,352.0,0.0,58.0,2.2737367544323206e-13,2.2737367544323206e-13,,0.0,1.286455679977713e-13,2.452268164052196e-26,0.9548532204462808,0.9394145293590673,0.7327371508286022,0.5383660830831009,0.9595975785963586,2.98022418321143e-09,5.533382738196122e-09,5.533382738196122e-09,3.4463856047730886e-10,,0.0,0.9999999944666066,8.121657818593818e-14,,,,,,0.0,1.0,1.0,1.32131194988059e-13,1.32131194988059e-13,0.7000000015508852,0.24149265906730558,38,2.008173237033426,0.8579709219001835,10,0,0.250000000738215,0.32103154999343847,39,0,0.5892812231876484,0.7978316148751938,10,16.45954636879968,0.9807490685745033,24.25,15.875736475629353,0.976193247737544,7,db,393.94276094276097,392.0,229.80031010299462,297,0.7349678375797779,0.756838775763844,0.25847088096500226,2,5.75
db16,1,antisymmetric,6.3925404136192785e-27,319.3513432824273,3394354.064906242,0.70625,400.7257984851703,130,raw,5.430186215212767e-14,-1.3262702047712026e-10,6.429171536194023,99024.00097122526,0.7618921144191768,3.4812953671601196e-06,1.0,282.5000000000001,,,,[],[],15,542.5333333333333,361.99999999999966,741.0000000000002,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[361.99999999999966, 741.0000000000002, 653.0, 627.0000000000002, 466.00000000000017, 596.0, 414.0, 729.0, 391.9999999999998, 711.0000000000001, 378.0, 403.0, 616.0, 453.0, 597.0000000000001]","[1, 1, 18, 31, 42, 42, 54, 64, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",17974053.0,742.0000000000002,-742.0000000000002,0.0,,,,DWT,txu.059172014879442,0.0,,0.0,58.0,2.0,0.0,58,,2.2737367544323206e-13,33.94509803921568,508.0,33.945098039215715,,0.0,33.94509803921568,,,351.99999999999966,0.0,58.0,2.2737367544323206e-13,2.2737367544323206e-13,,1.1368683772161603e-13,6.946813574838472e-14,9.826464474974721e-27,0.9682461164725993,0.7130428691249279,0.41128273534299015,0.5090841045182365,0.7038366365234976,2.980015829349958e-09,5.533382738196122e-09,5.533382738196122e-09,3.446335485005121e-10,,5.194831157896668e-12,0.9999999944666066,8.121657818593818e-14,,,,,,0.0,1.0,1.0,1.32131194988059e-13,1.32131194988059e-13,0.7000000015534186,0.24149265906817957,12,1.628278768534233,0.6956650006020164,72,0,0.2500000007386301,0.32103154999397154,12,0,0.47221320885461743,0.6393324819479389,67,33.26033673912518,0.9610990213577484,40.75,20.46235418875928,0.956719101322149,8,db,393.94276094276097,392.0,229.80031010299462,297,0.7349678375797779,0.756838775763844,0.25847088096500226,2,6.5
db13,1,antireflect,5.407174256907713e-27,320.0783744475643,3308341.6891750535,0.7337662337662337,421.9213999021267,130,raw,4.876099524153692e-14,-1.324769183241909e-10,6.384698861335808,92744.42143382946,0.7550600434652711,3.4812953671601196e-06,0.9999999999999999,282.50000000000006,,,,[],[],15,542.5333333333333,361.9999999999999,741.0,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[361.9999999999999, 741.0, 653.0, 627.0, 466.0, 596.0, 414.00000000000006, 729.0000000000001, 392.0, 711.0, 378.0000000000001, 402.9999999999998, 616.0000000000001, 453.0, 596.9999999999998]","[1, 1, 18, 31, 42, 42, 54, 64, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",17974053.0,742.0,-742.0,0.0,,,,DWT,txu.059172014879442,0.0,,0.0,58.0,2.0,0.0,58,,0.0,33.94509803921568,508.0,33.94509803921569,,0.0,33.94509803921568,,,351.9999999999999,0.0,58.0,0.0,0.0,,5.684341886080802e-14,5.991921064805596e-14,8.063142979801909e-27,0.9709596935126807,0.6741505553447753,0.3428848673673939,0.600605165112514,0.630573263275226,2.980154731924273e-09,5.533382738196122e-09,5.533382738196122e-09,3.4461350059332496e-10,,2.597415578948334e-12,0.9999999944666066,0.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.7000000015520621,0.2414926590677116,29,1.583564898818807,0.6765614694354818,88,0,0.25000000073839473,0.3210315499936693,29,0,0.45988193494466434,0.6226370913773261,79,31.67938341150808,0.9629480895771836,56.25,43.01658932095802,0.9485793079464866,9,db,393.94276094276097,392.0,229.80031010299462,297,0.7349678375797779,0.756838775763844,0.25847088096500226,2,7.25
sym18,1,antireflect,1.2353099305856703e-18,236.49031877855913,3427486.0408229255,0.7012195121951219,416.25728182386837,130,raw,9.110744944798359e-10,-1.5065051516046418e-09,6.44331639109175,102885.58866109047,0.7873307948310784,3.4812953671373395e-06,1.0,282.50000000014717,,,,[],[],15,542.5333333358137,362.0000000012309,741.0000000023696,"[6, 15, 23, 36, 44, 51, 58, 70, 77, 83, 89, 97, 106, 117, 125]","[362.0000000012309, 741.0000000023696, 653.0000000036968, 627.0000000012406, 466.00000000341316, 596.0000000044633, 414.00000000189635, 729.0000000045065, 392.00000000190863, 711.0000000017211, 378.0000000012343, 403.0000000014301, 616.0000000034158, 453.0000000024015, 597.0000000022769]","[1, 1, 18, 31, 42, 42, 54, 24, 76, 78, 88, 91, 91, 112, 112]","[7, 129, 24, 64, 45, 64, 64, 129, 78, 129, 129, 102, 129, 124, 129]",17974053.00004858,742.0000000020636,-742.0000000020636,0.0,,,,DWT,txu.059172014879442,4.858151078224182e-05,,0.0,58.0,2.0,0.0,58,,2.063643478322774e-09,33.9450980416961,507.9999999627944,33.945098041696056,,0.0,33.9450980416961,,,352.0000000012309,0.0,53.5,2.369574758631643e-09,2.063643478322774e-09,,1.4716761143063195e-10,1.570087973284404e-09,2.210598098357787e-18,0.6589749539785306,0.7254128499459834,0.4376296010731301,0.49235232417648067,0.7488894841813284,3.732173269264661e-09,7.283003685153645e-09,7.283003685153645e-09,2.094199372791738e-09,,6.7247089338972375e-09,0.9999999927170177,8.463985695647548e-10,,,,,,1.1864511779294975e-09,1.0,0.0,1.1992227257116234e-09,1.1992227257116234e-09,0.6000000073346913,0.2069937098437628,73,1.473402921710825,0.6294959218449235,127,0,0.16666666868878346,0.214021035293638,74,0,0.4376084592750774,0.5924808902918368,95,25.289984842489197,0.9704210703596617,92.25,87.69530667899176,0.9312631667587783,10,sym,439.53216374269005,465.0,303.6317871941317,171,0.8200226935497948,1.0,0.1259841145151436,6,9.0
