wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
dmey,1,antisymmetric,0.1641060444388892,62.26186135596295,3013482.560011097,0.5263157894736842,113.66812564318828,130,smoothed,0.3033347890522297,,6.3871542744797045,88817.3205638464,0.9897194302031962,9.317728420492833e-05,0.9999959524224189,315.4040686235066,,,,[],[],13,197.61987061375743,34.928621489490126,526.0130036608138,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.41849716363703, 421.8587155587473, 34.928621489490126, 201.64618431546512, 144.90786870528194, 179.59478777915572, 526.0130036608138, 49.48600484597688, 253.47723858329476, 253.99103953944405, 85.34301800316928, 61.96805799920824, 256.42528033516203]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 129, 82, 129, 129, 111, 114, 129]",13280803.63313681,526.0039204228191,-526.0039204228191,0.0,,,,DWT,txu.059172014879442,17486.43313681148,,0.0,31.0,3.0,0.0,49,,0.4039204228190556,28.894870613757405,130.54168202115397,28.894870613757377,,0.0,28.894870613757405,,,33.72862148949014,0.0,49.0,0.41300366081372886,0.4039204228190556,,0.4040686235065891,0.9856415324205721,0.954713212711761,0.0007681348727703874,0.9225905685836704,0.7903752889523061,0.13038452646990828,0.9667100478976559,0.9999979884206259,0.992792688614262,0.992792688614262,0.9927926885960437,,0.9974837679829204,0.007207311385784232,0.36235064682906243,,,,,,0.9667174822774424,0.0,1.0,0.9999999999997187,0.9999999999997187,2.8603924205110505,1.0,1,2.164302026791904,0.9607279421003697,2,0,0.77601127189332,1.0,1,0,0.6787404731298063,0.9617330829424734,2,0.5773502691896257,0.9993247365272636,1.5,1.3333333333333333,0.9987851752811756,1,dmey,57.111111111111114,5.0,138.00040257590234,9,0.08011221945137158,0.5380670184336334,0.7825013408539498,1,1.0,1
dmey,1,antireflect,0.17189040882000942,62.060590686022806,3035982.0523501085,0.531578947368421,130.00677577719884,130,smoothed,0.3077536600018158,,6.408686800721567,90640.18339292723,0.9898492955712884,9.317943615561141e-05,0.9999958195303292,315.40508791869735,,,,[],[],13,197.62358884073157,34.928620981123686,526.0039204228191,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.46614783988326, 421.85851248207604, 34.928620981123686, 201.6461845288184, 144.90786870528368, 179.59478777915575, 526.0039204228191, 49.486004845993534, 253.47723858332512, 253.99103807090674, 85.35034504783965, 62.042295951912024, 256.3536896903738]","[0, 0, 31, 31, 47, 55, 0, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 128, 82, 128, 128, 111, 114, 128]",13281405.66271779,526.0039204228191,-526.0039204228191,0.0,,,,DWT,txu.059172014879442,18088.462717790157,,0.0,31.0,3.0,0.0,49,,0.4039204228190556,28.89858884073155,130.4933450704898,28.898588840731577,,0.0,28.89858884073155,,,33.7286209811237,0.0,35.5,0.4039204228190556,0.4039204228190556,,0.4050879186973475,1.0,1.0,0.0,0.9535728208578498,0.8132349448248627,0.1839870540186485,0.9894358910610744,0.9999964414572236,0.9999999999999999,0.9999999999999999,1.0,,0.9999999999999999,0.0,0.3543814265170987,,,,,,1.0,0.0,0.0,0.9999999999997187,0.9999999999997187,2.7771896456956036,0.9709121118421291,2,2.2527730608732455,1.0,1,0,0.69619815566448,0.8971495400651704,9,0,0.7057472443946338,1.0,1,3.8622100754188224,0.9954827952334283,3.25,1.5319148936170213,0.9958408128213925,2,dmey,57.111111111111114,5.0,138.00040257590234,9,0.08011221945137158,0.5380670184336334,0.7825013408539498,1,1.75,2
dmey,1,periodic,0.09868605092490959,64.47054942748531,3021257.515143818,0.5263157894736842,113.66812564318828,130,smoothed,0.24658015621883295,,6.393162606361363,12503.969204036239,0.9219707447750457,9.314644278774801e-05,0.9999987815005694,315.1307436533571,,,,[],[],13,197.61855118112834,34.92862215053967,526.7397900470936,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.41227133209054, 421.85926181018436, 34.92862215053967, 201.64618303349232, 144.9078687052736, 179.59478777915572, 526.7397900470936, 49.48600484597091, 253.47723858287952, 253.9910408490026, 85.34434405158405, 61.9338729352836, 255.71987923211807]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 129, 82, 129, 129, 111, 114, 129]",13270906.657331044,526.0039204228191,-526.0039204228191,0.0,,,,DWT,txu.059172014879442,7589.457331044599,,0.0,31.0,3.0,0.0,49,,0.4039204228190556,28.893551181128316,130.5588346453319,28.89355118112833,,0.0,28.893551181128316,,,33.72862215053968,0.0,49.0,1.1397900470935838,0.4039204228190556,,0.1307436533571149,0.801225747298584,0.5741219164138829,0.009197432252825655,0.9312357062704244,0.798274702684873,0.13038452646990828,0.015302609767819629,1.0,0.9902351358138347,0.9902351358138347,0.9902351357892735,,0.3227537710271659,0.00976486418617728,0.9999999999999002,,,,,,0.41957447957035643,0.0,1.0,0.9999999999997187,0.9999999999997187,2.56725817961677,0.8975195715132305,7,1.51338939236234,0.6717895462473716,54,0,0.7268998768499983,0.9367130390728743,6,0,0.4656775201654741,0.6598361153572999,35,23.27373340628157,0.9727792591739397,25.5,11.216617210682493,0.9714773488852155,3,dmey,57.111111111111114,5.0,138.00040257590234,9,0.08011221945137158,0.5380670184336334,0.7825013408539498,1,2.5,3
dmey,1,symmetric,0.09527144922451775,64.62347941552026,3013512.205863597,0.531578947368421,113.66812564318828,130,smoothed,0.23858981455017614,,6.3837752190582995,12446.055370435208,0.927069538707455,9.31632959019834e-05,0.9999988429182392,315.1360458963344,,,,[],[],13,197.58825567663285,34.9286216215325,526.6055603455075,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.25300163885538, 421.8598052610978, 34.9286216215325, 201.64618285228713, 144.90786870527, 179.59478777915572, 526.6055603455075, 49.48600484597608, 253.47723858269802, 253.99104062899292, 85.34719803300237, 61.954110929921455, 255.59590257193017]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 128, 82, 128, 128, 111, 114, 128]",13270801.212516254,526.0039204228191,-526.0039204228191,0.0,,,,DWT,txu.059172014879442,7484.012516254559,,0.0,31.0,3.0,0.0,49,,0.4039204228190556,28.863255676632832,130.95267620377308,28.86325567663283,,0.0,28.863255676632832,,,33.72862162153251,0.0,49.0,1.0055603455074333,0.4039204228190556,,0.13604589633439446,0.7752623138544126,0.5542569238070681,0.009781078429076606,0.917728586931426,0.7904054093646238,0.1839870540186485,0.014580591260221328,0.9999983902266915,0.9315111428985632,0.9315111428985632,0.9315111427264255,,0.3358428875684099,0.06848885710142916,0.8822329586676679,,,,,,0.4137450834279007,0.0,1.0,0.9999999999997187,0.9999999999997187,2.4885144390076643,0.869990572329602,8,1.5044955517575835,0.6678415939395129,55,0,0.7079034671262574,0.9122334852161458,7,0,0.46371456538078254,0.6570547303780708,39,23.725864929790582,0.972250450374514,27.25,12.833676113144048,0.9701895526726372,4,dmey,57.111111111111114,5.0,138.00040257590234,9,0.08011221945137158,0.5380670184336334,0.7825013408539498,1,3.25,4
dmey,1,reflect,0.09086851696453199,64.82897272971873,3034387.4102257253,0.5210526315789473,133.03355342898058,130,smoothed,0.2328252787905165,,6.408365172239753,11573.981648468527,0.9123974563187601,9.316113422719556e-05,0.9999988761647343,315.1364160894791,,,,[],[],13,197.5859278028905,34.92862212989888,526.6327181755157,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.20535096260937, 421.86000833776916, 34.92862212989888, 201.64618263893396, 144.9078687052683, 179.59478777915572, 526.6327181755157, 49.486004845959314, 253.47723858266767, 253.99104209753037, 85.33987098833217, 61.879872977217644, 255.66749321671858]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 129, 82, 129, 129, 111, 114, 129]",13270199.622521453,526.0039204228191,-526.0039204228191,0.0,,,,DWT,txu.059172014879442,6882.422521453351,,0.0,31.0,3.0,0.0,49,,0.4039204228190556,28.860927802890473,130.9829385624239,28.860927802890505,,0.0,28.860927802890473,,,33.728622129898895,0.0,49.0,1.0327181755156971,0.4039204228190556,,0.13641608947909845,0.7565313075046393,0.5286421597826474,0.010565328716532596,0.9531100430745936,0.8116147762604334,0.07678199892116802,0.0037083466150513583,0.9999999371899209,0.9269988549063186,0.9269988549063186,0.9269988547229128,,0.33675674633243924,0.07300114509369482,0.9060600047780567,,,,,,0.38048686772505164,0.0,1.0,0.9999999999997187,0.9999999999997187,2.48245133248215,0.8678708958537319,9,1.465042433232901,0.6503284590348416,71,0,0.706441772137846,0.9103498850142503,8,0,0.44870770869643806,0.635790946773479,42,30.138568866708543,0.9647502118518029,32.5,14.598266190719023,0.9633692579726851,5,dmey,57.111111111111114,5.0,138.00040257590234,9,0.08011221945137158,0.5380670184336334,0.7825013408539498,1,4.0,5
db28,1,antisymmetric,7.94185261219193e-27,315.4138889009678,2895361.1483209827,0.532608695652174,129.6279610525645,130,smoothed,7.027199335250493e-14,-1.2424921091991361e-10,6.331596521547859,83204.94743179803,0.9891227234219219,9.362663045656731e-05,0.9999999999999999,315.00000000000006,,,,[],[],13,197.10769230769236,34.60000000000025,525.5999999999999,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.0, 420.8000000000002, 34.60000000000025, 201.19999999999987, 144.60000000000014, 178.99999999999994, 525.5999999999999, 49.400000000000205, 253.20000000000016, 253.40000000000023, 84.5999999999998, 61.799999999999955, 255.19999999999987]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 127, 82, 127, 127, 111, 114, 127]",13263317.199999997,525.5999999999999,-525.5999999999999,0.0,,,,DWT,txu.059172014879442,1.862645149230957e-09,,0.0,49.0,3.0,0.0,49,,1.1368683772161603e-13,28.382692307692338,137.19999999999982,28.382692307692345,,0.0,28.382692307692338,,,33.40000000000026,0.0,49.0,1.1368683772161603e-13,1.1368683772161603e-13,,5.684341886080802e-14,1.6751035591778577e-13,3.992988763086335e-26,0.9669044354459927,0.8426508393672023,0.6703630334875568,0.19447450506079378,0.8967399384968133,8.195555835165108e-10,4.762307283048495e-09,4.762307283048495e-09,2.2498008350392194e-09,,1.403236587346297e-13,0.9999999952376885,9.974366595979785e-14,,,,,,1.0297420948873835e-13,1.0,1.0,2.814585034550541e-13,2.814585034550541e-13,0.7000000013973195,0.24472166699150127,79,1.7731353751180683,0.7870901006028301,21,0,0.2500000006527138,0.3221602697120125,73,0,0.5101618216940753,0.7228676069882143,21,31.848600178553113,0.9627501752297625,48.5,32.89610213228304,0.953012514515466,6,db,379.996632996633,314.0,254.2644996837658,297,0.53303767097408,0.9913836386318876,0.3294585387285778,3,5.25,6
db26,1,antisymmetric,7.741474357064781e-27,315.52487033536715,2874021.9111211393,0.5388888888888889,127.76963079016932,130,smoothed,6.310849279053888e-14,-1.3154217715083432e-10,6.29599259673567,81946.67447469333,0.9892340919935406,9.36266304565673e-05,1.0,315.00000000000006,,,,[],[],13,197.1076923076923,34.60000000000022,525.6000000000001,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[98.99999999999994, 420.80000000000007, 34.60000000000022, 201.2, 144.6000000000001, 179.0, 525.6000000000001, 49.39999999999998, 253.19999999999993, 253.39999999999998, 84.59999999999994, 61.799999999999955, 255.20000000000007]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 127, 82, 127, 127, 111, 114, 127]",13263317.2,525.6000000000001,-525.6000000000001,0.0,,,,DWT,txu.059172014879442,0.0,,0.0,49.0,3.0,0.0,49,,1.1368683772161603e-13,28.38269230769228,137.20000000000027,28.382692307692317,,0.0,28.38269230769228,,,33.40000000000023,0.0,49.0,1.1368683772161603e-13,1.1368683772161603e-13,,5.684341886080802e-14,1.4423362035621936e-13,3.876415501958677e-26,0.9673279880183451,0.7914218396626711,0.6486822056883677,0.258435008947454,0.8810529030140877,8.194690960129738e-10,4.762197099290804e-09,4.762197099290804e-09,2.2497457431602353e-09,,1.403236587346297e-13,0.9999999952377563,9.974366595979785e-14,,,,,,0.0,1.0,1.0,2.814585034550541e-13,2.814585034550541e-13,0.7000000013971934,0.24472166699145717,91,1.7562439802711864,0.7795920551315592,23,0,0.25000000065268074,0.32216026971196987,75,0,0.50670284933301,0.7179664580449657,22,35.53753883806062,0.9584356270899875,52.75,35.31848200429023,0.9483698603286195,8,db,379.996632996633,314.0,254.2644996837658,297,0.53303767097408,0.9913836386318876,0.3294585387285778,3,6.75,7
sym19,1,antisymmetric,5.317976426570295e-20,247.15564305236356,2707231.3207335817,0.5421686746987951,115.4621499340154,130,smoothed,1.8635842799485934e-10,,6.162934677675848,70260.47117604794,0.9881361788001362,9.362663045625793e-05,1.0,315.00000000020054,,,,[],[],13,197.10769230816427,34.59999999994696,525.600000000779,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.00000000029235, 420.80000000092076, 34.59999999994696, 201.200000000565, 144.60000000042314, 179.0000000006393, 525.600000000779, 49.39999999997025, 253.20000000068904, 253.40000000081818, 84.6000000003587, 61.80000000012265, 255.20000000061026]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 127, 82, 127, 127, 111, 114, 127]",13263317.200006329,525.600000000637,-525.600000000637,0.0,,,,DWT,txu.059172014879442,6.329268217086792e-06,,0.0,49.0,3.0,0.0,49,,6.369873517542146e-10,28.382692308164252,137.19999999386482,28.382692308167506,,0.0,28.382692308164252,,,33.39999999994697,0.0,49.0,7.78982212068513e-10,6.369873517542146e-10,,2.0054358174093068e-10,6.054833204113335e-10,3.093817947870545e-19,0.7064018048041578,0.5999703597441575,0.4792216933536412,0.2918379227010531,0.735359645625787,6.573915143846559e-10,5.67705283940051e-09,5.67705283940051e-09,3.170840640863422e-09,,4.950618680157735e-10,0.999999994322926,6.83443599156535e-10,,,,,,3.4990636384273294e-10,1.0,1.0,1.5770119948586681e-09,1.5770119948586681e-09,0.7000000031111749,0.24472166759066918,22,1.374316136943775,0.6100552962094846,92,0,0.2500000011823083,0.3221602703944697,22,0,0.40182734669061154,0.5693643863041725,73,35.78058132562969,0.9581513668706085,52.25,34.638846559606144,0.9485201278797487,7,sym,459.9766081871345,477.0,256.4743755854712,171,0.6452290326814543,1.0,0.248339677122982,7,7.0,8
coif7,1,antireflect,1.1014202726367676e-26,313.993576473017,2839307.6198925474,0.5352941176470588,113.48251324968942,130,smoothed,7.701958728909208e-14,-1.34097755122298e-10,6.23562541080062,80130.03491936774,0.9890478029947001,9.362663045656731e-05,1.0,315.0000000000001,,,,[],[],13,197.10769230769236,34.60000000000002,525.6000000000001,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[99.00000000000011, 420.8000000000002, 34.60000000000002, 201.20000000000007, 144.60000000000008, 179.00000000000006, 525.6000000000001, 49.39999999999981, 253.19999999999993, 253.4000000000002, 84.60000000000008, 61.799999999999926, 255.2000000000001]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 127, 82, 127, 127, 111, 114, 127]",13263317.200000001,525.6000000000001,-525.6000000000001,0.0,,,,DWT,txu.059172014879442,1.862645149230957e-09,,0.0,49.0,3.0,0.0,49,,1.1368683772161603e-13,28.382692307692338,137.19999999999982,28.382692307692352,,0.0,28.382692307692338,,,33.400000000000034,0.0,49.0,1.1368683772161603e-13,1.1368683772161603e-13,,1.1368683772161603e-13,1.894356644146782e-13,5.78037767865572e-26,0.9614839163685598,0.7045620182597432,0.613412220953228,0.22182413228834738,0.858404646129279,8.188636834882149e-10,4.762307283048495e-09,4.762307283048495e-09,2.2498146080089653e-09,,2.806473174692594e-13,0.9999999952376885,9.974366595979785e-14,,,,,,1.0297420948873835e-13,1.0,1.0,2.814585034550541e-13,2.814585034550541e-13,0.7000000013971863,0.2447216669914547,92,1.667968980794729,0.7404070164742524,33,0,0.250000000652669,0.3221602697119547,82,0,0.47995527628562107,0.6800668087585812,33,31.44307024873154,0.9632244792412497,60.0,47.80643302928468,0.9465245203223792,9,coif,346.050505050505,332.0,215.30454812571855,99,0.4854199727952845,0.8394778138526645,0.4083626748875015,2,7.25,9
db27,1,reflect,6.060806198491415e-27,316.5878031595558,2897832.3257609424,0.5274725274725275,134.07360774575005,130,smoothed,5.795022581458814e-14,-1.2495460222083944e-10,6.336715453386966,11794.215115544435,0.9226292706439362,9.362663045656739e-05,1.0,314.99999999999994,,,,[],[],13,197.10769230769228,34.60000000000011,525.6000000000001,"[13, 25, 32, 38, 50, 60, 72, 81, 87, 98, 106, 113, 119]","[98.99999999999994, 420.80000000000007, 34.60000000000011, 201.2000000000001, 144.59999999999997, 179.00000000000006, 525.6000000000001, 49.40000000000015, 253.20000000000005, 253.39999999999995, 84.59999999999994, 61.799999999999955, 255.19999999999965]","[1, 1, 31, 31, 47, 55, 1, 78, 78, 92, 103, 111, 111]","[19, 66, 33, 66, 66, 66, 127, 82, 127, 127, 111, 114, 127]",13263317.199999996,525.6000000000001,-525.6000000000001,0.0,,,,DWT,txu.059172014879442,3.725290298461914e-09,,0.0,49.0,3.0,0.0,49,,1.1368683772161603e-13,28.382692307692253,137.20000000000073,28.38269230769232,,0.0,28.382692307692253,,,33.40000000000012,0.0,49.0,1.1368683772161603e-13,1.1368683772161603e-13,,5.684341886080802e-14,1.2747259474917828e-13,2.898659866777639e-26,0.9713845938313753,0.8500162564962526,0.6728737686199916,0.14216530175534609,0.006454022895381641,8.191231459988259e-10,4.762142007411958e-09,4.762142007411958e-09,2.2497526296451084e-09,,1.403236587346297e-13,0.9999999952378241,9.974366595979785e-14,,,,,,2.059484189774767e-13,1.0,1.0,2.814585034550541e-13,2.814585034550541e-13,0.7000000013971955,0.24472166699145792,90,1.4037234987172766,0.6231091462773216,82,0,0.2500000006526661,0.322160269711951,84,0,0.377556277656925,0.5349737893497268,95,5.909032633745278,0.9930888507207658,87.75,87.45595081638564,0.9452286358866987,10,db,379.996632996633,314.0,254.2644996837658,297,0.53303767097408,0.9913836386318876,0.3294585387285778,3,8.25,10
