signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,gaus8,13.183591124793788,0.6753731343283582,54.73103832725227,-5.942680790388458,67,32,912.1203643445357,,False,"[7, 26, 41, 60]","[2203.031124370301, 1324.4711610185027, 1187.5957841245902, 2462.8823845238417]",4,10.143986351236393,2514.2314310666634,0.059819057244086773,2.535294844472824e-05,0.46365113750411374,2,2458.749523360268,2316.1641714237494,2601.334875296787,"[7, 41]","[2316.1641714237494, 2601.334875296787]","[0, 26]","[60, 60]",0.05,10,82895246.37130998,2742.1572103582726,-2742.1572103582726,CWT,uc1.b4952555,0.0,-7.0,,2315.364171423749,2341.334875296787,2384.5661900269347,2452.090543691606,0.0,2384.5661900269347,4324.03238005387,2384.5661900269347,10.0,2452.090543691606,0.0,-7.0,0.0,-2.5,6.0,0.458045251757023,0.12780944192891724,0.8272680779596814,0.27854110265141224,1.0,0.12727272727272715,0.911992461170676,0.6894004049227043,,1.0,1.0,1.0,1.0,0.7214441603601822,0.7708394514787247,1.0,,0.09523809523809525,0.0952380952380952,0.8486734729860645,0.8486734729860645,0.30000000000000004,2.7646588141614985,1.0,1,2.00285404355374,0.8686736760946355,5,0,0,0.7233422290239354,1.0,1,1,0.11111111111111112,0.5469856279023371,0.8455406682490373,3,1.9148542155126762,0.8632246988919516,2.5,1.5789473684210524,0.8423266351602615,1,gaus,6.375,5.5,4.596194077712559,8,0.45535714285714285,1.0,0.38125000000000003,1,1.0
smoothed,gaus6,13.114663407390191,0.6623134328358209,50.601484256289595,-6.017834013529766,67,32,924.6923048864312,,False,"[7, 26, 41, 60]","[2178.4656007529534, 1211.44287587376, 1191.368222476885, 2306.4816317709556]",4,10.11618125329051,2340.3454302440564,0.06015371628263509,2.8014406981234815e-05,0.4611120827297875,2,2357.095739908669,2178.4656007529534,2535.7258790643846,"[7, 41]","[2178.4656007529534, 2535.7258790643846]","[0, 26]","[60, 60]",0.05,10,84295407.27869262,2753.6753132919607,-2753.6753132919607,CWT,uc1.b4952555,0.0,-7.0,,2177.665600752953,2275.7258790643846,2282.912406575336,2463.608646625294,0.0,2282.912406575336,4120.724813150671,2282.912406575336,10.0,2463.608646625294,0.0,-7.0,0.0,-2.5,6.0,0.4731882277962316,0.15308930141754723,0.8194633243940965,0.22598136355364096,0.9861926711518441,0.08099173553718991,0.9057329614697514,0.6132994848721369,,0.9405236038733615,0.9537134566347738,0.9537134566347738,0.9537134566347738,0.6709359697556608,0.737024686633634,1.0,,0.09523809523809525,0.0952380952380952,0.856746181523502,0.856746181523502,0.30000000000000004,2.6662256119849723,0.9643958951924488,2,1.9256579435049652,0.8351923446789152,6,0,0,0.7011327653075143,0.9692960498844508,2,1,0.11111111111111112,0.5266868282184992,0.8141624020317938,6,2.309401076758503,0.8350427802315354,4.0,2.9999999999999996,0.7746642472586249,2,gaus,6.375,5.5,4.596194077712559,8,0.45535714285714285,1.0,0.38125000000000003,1,1.75
smoothed,gaus2,13.104891771111747,0.7098880597014925,56.534689544419635,-6.661746164162525,67,32,924.5344175203435,,False,"[6, 27, 38, 60]","[1796.7632114010767, 582.6567402583715, 669.570880739586, 1844.8758379434828]",4,10.182819657135411,2332.372090366667,0.04758247334063568,4.047236786508152e-05,0.44448167790820603,2,1591.034432807626,1385.3056542141753,1796.7632114010767,"[6, 38]","[1796.7632114010767, 1385.3056542141753]","[0, 27]","[60, 60]",0.05,10,97369765.16232502,2958.0691941318532,-2958.0691941318532,CWT,uc1.b4952555,0.0,-7.0,,1384.5056542141754,1536.7632114010767,1516.8510994742926,2668.0025274651866,0.0,1516.8510994742926,2588.6021989485853,1516.8510994742926,10.0,2668.0025274651866,0.0,-7.0,0.0,-7.0,6.0,0.4729980515387483,0.2714212221815194,0.7525922649303532,0.3519473690248975,0.9842352554624337,0.2495867768595038,0.864734234282164,0.6098099658903057,,0.5979325737536223,0.6048987966429272,0.6048987966429272,0.6048987966429272,0.2903070428231874,0.3561645870853498,1.0,,0.09523809523809525,0.0952380952380952,1.0,1.0,0.0,1.8660721231066089,0.6749737484958249,6,2.0326248441307473,0.8815858055934097,3,0,0,0.5207980653389276,0.7199884707985083,6,1,0.11111111111111112,0.5641100869656851,0.8720119790499342,2,2.0615528128088303,0.8527462276565121,4.25,3.428571428571429,0.7745873995425417,3,gaus,6.375,5.5,4.596194077712559,8,0.45535714285714285,1.0,0.38125000000000003,1,2.5
smoothed,gaus4,13.049016313181376,0.675839552238806,49.88758885579479,-5.947770961346233,67,32,905.1284113046399,,False,"[7, 26, 41, 60]","[2031.6351601232664, 1055.54937156634, 987.9470719477462, 2129.838641438836]",4,10.113866359545781,2191.0765821267323,0.05816177433773955,3.1684841844029305e-05,0.4674514265490049,2,2088.647722510432,2031.6351601232664,2145.6602848975976,"[7, 41]","[2031.6351601232664, 2145.6602848975976]","[0, 26]","[60, 60]",0.05,10,83019211.34629038,2805.4547337814593,-2805.4547337814593,CWT,uc1.b4952555,0.0,-7.0,,2030.8351601232664,1885.6602848975976,2014.4643891770984,2515.3880671147926,0.0,2014.4643891770984,3583.828778354197,2014.4643891770986,10.0,2515.3880671147926,0.0,-7.0,0.0,-2.5,6.0,0.4496234033560085,0.1879529208656289,0.826739457519046,0.2216055396849828,0.9730425038198893,0.12892561983471063,0.921361265806344,0.5479722209010403,,0.8771028624103404,0.8314796314222695,0.8314796314222695,0.8314796314222697,0.5375535891912243,0.5359855441631629,1.0,,0.09523809523809525,0.0952380952380952,0.8930368946952496,0.8930368946952496,0.30000000000000004,2.384494470606057,0.8624914070379629,3,1.9239442361471926,0.8344490790999689,7,0,0,0.6434692391581854,0.8895778696986499,3,1,0.11111111111111112,0.5265973109179007,0.8140240245053894,7,2.309401076758503,0.8350427802315354,5.0,4.2,0.7389499615443391,4,gaus,6.375,5.5,4.596194077712559,8,0.45535714285714285,1.0,0.38125000000000003,1,3.25
smoothed,fbsp,9.524747482302457,0.8600746268656716,76.6557100597857,-13.908577719502684,67,32,1362.059851382432,-4060.9163258598555,True,"[6, 11, 14, 22, 25, 29, 38, 42, 45, 51, 60]","[1226.4874160453933, 1.117172144672395, 64.17414746209715, 139.88787957216596, 8.71138586420841, 48.38016544453626, 84.63676657925248, 60.99345420411498, 130.4551765955955, 12.39206689358275, 1480.5243302405265]",11,10.404635063253636,3223.9327252063968,0.04843524792229298,2.703333520090216e-05,0.3635247385806992,4,997.0225414032988,7.3630503063888,1980.6174042513842,"[7, 26, 39, 44]","[1980.6174042513842, 7.3630503063888, 1961.430361027969, 38.6793500274531]","[0, 25, 27, 43]","[60, 27, 60, 60]",0.05,20,143128184.95050827,2862.116379952923,-2862.116379952923,CWT,uc1.b4952555,0.0,-6.0,,6.563050306388789,1720.6174042513842,922.8392080699655,2572.0497132862565,0.0,922.8392080699655,3394.6234989465283,922.8392080699655,0.0,2572.0497132862565,0.0,-6.0,0.0,3.0,4.0,1.0,0.14377059274150536,0.0,0.7712431361583559,0.26707485350115046,0.7818181818181815,0.6651521131588563,1.0,0.0,0.0027552981250617255,0.33442428760473025,0.33442428760473025,0.33442428760473025,0.4905488639797207,0.45092272474981143,0.6,,0.1904761904761905,0.19047619047619047,0.9327494200500801,0.9327494200500801,0.6666666666666667,1.5570725820951452,0.5632060542585955,7,1.8410782906430199,0.7985086341455057,9,0,0,0.45505146978233263,0.6290956777075917,7,0,0.0,0.5143398752642276,0.7950762500028447,8,0.9574271077563381,0.9316123494459758,7.75,7.665399239543728,0.6890204604372736,5,fbsp,5.0,5.0,,1,0.35714285714285715,,,4,4.75
smoothed,morl,13.055247601680792,0.6394589552238806,45.39823432189622,-4.2794174251023716,67,32,728.3315111817753,,False,"[7, 19, 25, 38, 40, 43, 48, 51, 60]","[1972.3360539135624, 40.52545361429793, 1010.4098478267032, 956.2539069373756, 33.24420316643875, 12.815309169705415, 8.964559346633905, 10.440497902935363, 2446.7615136974873]",9,10.038019939178524,2188.251972436825,0.06513685368788481,2.071611790451687e-05,0.4993498310607719,7,650.0930860920008,8.964559346633905,2371.5476144383674,"[7, 20, 38, 40, 43, 48, 51]","[2371.5476144383674, 40.52545361429793, 2073.1139650056275, 33.24420316643875, 12.815309169705415, 8.964559346633905, 10.440497902935363]","[0, 19, 25, 39, 42, 47, 50]","[60, 25, 60, 60, 60, 60, 60]",0.05,30,57193741.222786516,2520.6121972232286,-2520.6121972232286,CWT,uc1.b4952555,0.0,-4.5,,8.164559346633894,2111.5476144383674,575.9097527586675,2230.545530556562,0.0,575.9097527586675,3957.184935977339,578.9571386307888,10.0,2230.545530556562,0.0,-4.5,0.0,4.5,1.0,0.2366705013401965,0.08376651474396386,1.0,0.07823369924903936,0.9742907309874218,0.0,1.0,0.5467360351519357,,0.0034470408614895053,0.1764551030579832,0.1764551030579832,0.17784268503999257,0.6303073625005085,0.6524074888435836,0.0,,0.33333333333333337,0.3333333333333333,0.693398916988561,0.693398916988561,0.7666666666666668,1.298976972072705,0.46985073363082436,10,1.8410877340042529,0.7985127299004326,8,0,0,0.3864204958893329,0.5342153138366629,8,1,0.11111111111111112,0.484406629628514,0.7488048760825725,9,0.9574271077563381,0.9316123494459758,8.75,8.674698795180724,0.6533061747229879,6,morl,6.0,6.0,,1,0.42857142857142855,,,6,6.0
smoothed,gaus1,12.98960408467044,0.7481343283582089,56.05151561637663,-6.5302802624151255,67,32,1070.2775688607703,,False,"[16, 32, 46, 51, 56]","[1307.368218656072, 9.149327496338174, 1242.5933166667105, 41.23340246800808, 85.19490005608941]",5,10.256757166681954,1404.2730555957414,0.05842688772776507,4.2618215579474544e-05,0.09371760873616192,5,847.4931281865386,9.149327496338174,2828.6832036785654,"[16, 32, 46, 51, 56]","[2828.6832036785654, 9.149327496338174, 1273.2048072336925, 41.23340246800808, 85.19490005608941]","[0, 31, 33, 48, 53]","[66, 33, 66, 66, 66]",0.05,20,90465061.1194467,1686.2312644212807,-1686.2312644212807,CWT,uc1.b4952555,0.0,-5.5,,8.349327496338162,2568.6832036785654,773.3097948532052,1396.164597754614,0.0,773.3097948532052,3643.998974266026,773.3097948532053,0.0,1396.164597754614,0.0,-5.5,0.0,8.0,3.0,0.6485465312083855,0.2918035531326743,0.7662451586124589,0.4917108116449809,0.9611412802257728,0.38512396694214845,0.0,0.20362896161173444,,0.0035268481071991935,0.2663382859407603,0.2663382859407603,0.2663382859407604,0.5525018165008014,0.8880143924719173,0.39999999999999997,,0.2380952380952381,0.23809523809523808,0.10860521280966168,0.10860521280966168,1.0,1.4120817490081154,0.5107616685917861,9,1.7037793378267232,0.7389596188536801,11,0,0,0.3613715680593332,0.4995858855730866,9,1,0.11111111111111112,0.4629694773667138,0.7156669230465647,10,0.9574271077563381,0.9316123494459758,9.75,9.682151589242054,0.6175918890087022,7,gaus,6.375,5.5,4.596194077712559,8,0.45535714285714285,1.0,0.38125000000000003,1,5.5
smoothed,cgau8,8.622411130964258,0.9216417910447762,73.03590848818804,-11.171838489685515,67,32,1009.9698710877841,-3716.8264243519297,True,"[6, 17, 32, 37, 46, 52, 60]","[954.441597801409, 79.6355519705678, 279.3959294314059, 52.44996995508461, 0.5432059022738258, 91.08020715202258, 1110.3582618084065]",7,10.525651778977396,2531.431960151537,0.058381973881146826,3.9996135515020566e-05,0.3599109693680511,4,892.4788558477906,2.4504623531495326,1803.668598429989,"[7, 21, 38, 41]","[1803.668598429989, 2.4504623531495326, 2.73073472639976, 1761.0656278816236]","[0, 20, 25, 25]","[60, 25, 39, 60]",0.05,20,77083950.13799511,2079.2828295430354,-2079.2828295430354,CWT,uc1.b4952555,0.0,-1.5,,1.6504623531495213,1543.668598429989,818.2955225144572,1789.2161628763688,0.0,818.2955225144572,2976.4487567244955,824.9134884845905,0.0,1789.2161628763688,0.0,-6.0,0.0,-1.5,4.0,0.575905555910035,0.2668977299954328,0.284213695290614,1.0,0.0863223898496912,1.0,0.6562431335123721,0.6969281879674751,0.33732081295019334,0.0006333950022446434,0.2868218701567893,0.2868218701567893,0.2898352628556653,0.3866607012916908,0.35972361179165513,0.6,,0.1904761904761905,0.6190476190476191,0.38408380018460103,0.38408380018460103,0.3666666666666667,1.1803451103526743,0.4269406063079305,11,2.0427272516428707,0.8859674006972602,2,0,0,0.3462378989845427,0.4786640197292915,11,0,0.0,0.5448701672750903,0.8422705494357214,4,4.69041575982343,0.664970302869755,7.0,4.292682926829268,0.5824851514348774,8,cgau,8.0,8.0,,1,0.5714285714285714,,,2,6.5
smoothed,gaus7,13.121163463882553,0.648320895522388,48.90959056202929,-6.037095839356665,67,32,991.779777765483,,False,"[3, 15, 32, 52, 57, 64]","[123.78998396091538, 1018.243989227564, 1475.0825100389843, 131.06074756201497, 882.7318362674299, 38.00511576823715]",6,10.076976829931011,2310.510625812446,0.05763424913209612,1.1897196033570644e-05,0.12703381731534596,3,2012.917677328546,131.06074756201497,3045.9629433441196,"[15, 52, 57]","[2861.7293410795037, 131.06074756201497, 3045.9629433441196]","[3, 32, 32]","[32, 53, 64]",0.05,20,80318063.6630633,1651.889770563119,-1651.889770563119,CWT,uc1.b4952555,0.0,2.5,,130.26074756201496,2785.9629433441196,1938.7343439952126,1361.8231038964525,0.0,1938.7343439952126,5445.286365318971,1938.7343439952128,0.0,1361.8231038964525,0.0,2.5,0.0,-6.5,5.0,0.5539954819311899,0.0,0.8174629603708597,0.15187357701520562,0.9874947368650625,0.031404958677685696,0.08213402867320163,0.6002423321626986,,0.05618427132419283,0.7969970779811486,0.7969970779811486,0.7969970779811487,1.0,1.0,0.8,,1.0,1.0,0.08453624309709734,0.08453624309709734,0.03333333333333338,2.2946338154857977,0.8299880635295477,4,1.511873105547441,0.6557264482709021,12,0,0,0.6207984437329306,0.8582361416540335,4,1,0.11111111111111112,0.39752045390643237,0.6144945919835371,12,4.618802153517006,0.670085560463071,8.0,5.999999999999999,0.5493284945172499,9,gaus,6.375,5.5,4.596194077712559,8,0.45535714285714285,1.0,0.38125000000000003,1,7.0
smoothed,mexh,13.099644228338041,0.8129664179104478,63.277846784503545,-6.778424578527257,67,32,917.6807946180156,,False,"[7, 28, 38, 49, 60]","[1371.2472553537152, 240.6208288962407, 348.4113897381061, 9.016108596035679, 1394.4010209589142]",5,10.32590538250208,2352.2163919016475,0.0474217026565443,5.865541201830688e-05,0.3903842440056038,4,503.3783681060012,7.416108967040671,1371.2472553537152,"[7, 38, 44, 50]","[1371.2472553537152, 625.833999507213, 7.416108967040671, 9.016108596035679]","[0, 28, 43, 49]","[60, 60, 60, 60]",0.05,10,99531684.56229267,2695.528139325276,-2695.528139325276,CWT,uc1.b4952555,0.0,-1.5,,6.61610896704066,1111.2472553537152,429.19503477266784,2405.461472658609,0.0,429.19503477266784,1420.046805757338,433.22434095699225,10.0,2405.461472658609,0.0,-6.0,0.0,-1.5,4.0,0.464742822598883,0.44413283687097727,0.7404750697858727,0.622421093250744,0.9831840883637603,0.6148760330578511,0.7313685130074119,0.6184947915659132,,0.002778215849650343,0.1096507311419167,0.1096507311419167,0.11148541598196801,0.0,0.13685438851734666,0.6,,0.1904761904761905,0.6190476190476191,0.8159924922735298,0.8159924922735298,0.3666666666666667,0.889179433688435,0.3216235685697502,12,2.3056460655722044,1.0,1,0,0,0.3232162452808612,0.4468372401221524,12,1,0.11111111111111112,0.6469063505071211,1.0,1,6.3508529610858835,0.5463676456367226,6.5,1.8461538461538458,0.5410409656755042,10,mexh,10.0,10.0,,1,0.7142857142857143,,,5,8.75
