signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,smoothness_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
smoothed,gaus2,1699009265.7911878,0.6774922465257489,356.30257341077004,-31.393395914365215,1927,127,25914.981986806495,,False,16.9178505334835,117441.60231779973,0.011074687786583548,6.7220179331576505e-06,0.5055247298059753,-388.6367266212613,,,,[],[],15,59223.7100845105,5549.9662678005325,147291.78068714964,"[9, 154, 292, 392, 528, 650, 749, 911, 1007, 1190, 1290, 1526, 1628, 1770, 1871]","[5549.9662678005325, 29724.36724646694, 89127.18108812091, 32154.982164122368, 21895.637280725277, 41090.93920310662, 95319.28110444863, 9882.341792383031, 147291.78068714964, 89954.47791014871, 32198.022522385523, 120170.13121296532, 24840.565644765677, 129460.67999337538, 19695.29714969312]","[0, 78, 78, 365, 502, 579, 579, 867, 867, 1116, 1256, 1406, 1598, 1406, 1855]","[78, 211, 867, 579, 579, 708, 867, 919, 1406, 1406, 1406, 1662, 1662, 1888, 1888]",2038705702826.7493,86602.13397231835,-86602.13397231835,0.0,,,,CWT,uiug.30112070958894,2038671099292.1555,,0.0,-211.0,226.0,0.0,-206.5,,86116.46375702211,59065.33531533965,850187.3318974839,59065.33531533966,,0.0,59065.33531533965,,,5548.616601433051,0.0,-220.0,146480.99478947115,86116.46375702211,,395.7849026836877,0.7820825226017745,0.9971433178414602,0.15215317386468052,0.7549864492322316,0.9957812214318631,0.7911184210526334,0.796770594378283,0.9881894159789113,,0.28001727889533706,0.12669498250745698,0.12669498250745698,0.1266949825074588,,0.6707262942398466,0.6814276109335451,1.0,,,,,0.0,,0.776646305244889,0.8363636363636364,0.4461538461538461,0.9421274577977518,0.9421274577977518,1.0,2.467533504505303,1.0,1,2.530874864347757,1.0,1,0,0.5682624882106413,1.0,1,0,0.7822781395477296,1.0,1,0.0,1.0,1.0,1.0,0.95,1,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,1.0
smoothed,mexh,1700730250.205852,0.6808878392017292,363.3460866921785,-31.50150039117268,1927,127,26894.648926177957,,False,16.95994913121264,117785.31519464991,0.011076112063752567,1.0604028644965727e-06,0.44568913235396485,464.11671860203217,,,,[],[],11,60289.73076159221,4432.698587775189,128938.26207987613,"[38, 154, 292, 392, 743, 1006, 1193, 1386, 1526, 1771, 1871]","[4432.698587775189, 15294.409680772005, 85307.42806339999, 15145.31629207319, 100014.55827856286, 128938.26207987613, 64566.74770057373, 24186.146304812733, 106553.3431177935, 106653.09570318053, 12095.03256869439]","[1, 1, 1, 366, 504, 867, 1116, 1354, 1407, 1407, 1856]","[64, 187, 867, 504, 867, 1407, 1407, 1407, 1664, 1889, 1889]",2088962162153.972,83404.02936551863,-83404.02936551863,0.0,,,,CWT,uiug.30112070958894,2088927558619.3782,,0.0,-226.5,230.0,0.0,-217.5,,82918.35915022239,60131.35599242136,625018.7190073407,60131.35599242136,,0.0,60131.35599242136,,,4431.348921407707,0.0,-222.0,128127.47618219764,82918.35915022239,,456.9685425396058,0.8661106391758664,0.05970511140862744,0.12868702183423547,1.0,1.0000000000000002,0.9277960526315793,0.7089489383957048,1.0,,0.15297494040502513,0.2438154365512959,0.2438154365512959,0.24381543655129728,,0.9999999999999999,0.0,0.6480216024974357,,,,,1.0,,0.8090144210723083,0.2727272727272727,0.3846153846153846,0.8081041817807051,0.8081041817807051,0.5217391304347827,2.3871681513360503,0.9674308968763671,3,2.409654934686803,0.9521035467345421,2,0,0.509767673211965,0.8970637404153384,4,0,0.7114059704307517,0.9094028510652844,3,0.816496580927726,0.9183503419072274,3.0,2.823529411764706,0.8091751709536137,2,mexh,2.0,2.0,,1,0.2,,,2,2.0
smoothed,gaus4,1581274679.32994,0.6655565952543425,324.63673171413876,-29.959335516607695,1927,127,21498.09589671407,,False,16.84823223232706,108849.65247317447,0.014071848766173517,5.253185853998141e-06,0.5640987245436616,-388.6367266212613,,,,[],[],15,61946.82868400751,4487.892325198407,133656.50353057458,"[5, 153, 292, 393, 528, 648, 750, 908, 1007, 1190, 1291, 1483, 1629, 1771, 1922]","[6454.1723403144715, 30112.322181669948, 98340.4735490691, 49786.6742764871, 24299.210594215216, 58636.97017553795, 85538.43197293367, 17652.125162562734, 133656.50353057458, 96844.8474754509, 47472.747177737125, 109114.12359849634, 40566.630700799724, 126239.30519906542, 4487.892325198407]","[0, 79, 211, 339, 502, 579, 579, 867, 867, 1116, 1254, 1407, 1598, 867, 1888]","[79, 211, 867, 579, 579, 708, 867, 920, 1407, 1407, 1407, 1662, 1662, 1888, 1926]",1467298987389.439,84908.9887955123,-84908.9887955123,0.0,,,,CWT,uiug.30112070958894,1467264383854.8452,,0.0,-224.5,226.0,0.0,-206.5,,84423.31858021606,61788.45391483666,891034.110889939,61788.45391483667,,0.0,61788.45391483666,,,4486.542658830926,0.0,-220.0,132845.7176328961,84423.31858021606,,395.7849026836877,0.40323681049589294,0.7539372197334987,0.46344351362140146,0.3498084127925067,0.7071695722740261,0.31069078947368317,0.8827405760351736,0.6929547815513035,,0.15925091311740758,0.42587575230397606,0.42587575230397606,0.42587575230397867,,0.6707262942398466,0.8050421887643331,0.738506653368764,,,,,0.0,,0.40862677109076795,0.34545454545454546,0.4461538461538461,0.8711726607327853,0.8711726607327853,1.0,2.370144308194611,0.9605317633447021,4,1.9082617685989889,0.753992935597302,4,0,0.5424095564690724,0.9545052994383366,3,0,0.5704977094971857,0.7292773256159455,4,0.5,0.95,3.75,3.6923076923076925,0.7875,3,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,2.5
smoothed,gaus6,1446022528.9502373,0.6668805086442555,311.18212904918727,-28.898232839486752,1927,127,19244.520082033087,,False,16.841454062289394,99497.64119959177,0.017051632481824723,4.244656811705142e-06,0.6044171046314444,-388.6367266212613,,,,[],[],15,62991.52692440702,5596.306343872636,114539.18831534227,"[5, 153, 292, 393, 528, 647, 751, 906, 1007, 1189, 1292, 1481, 1629, 1771, 1922]","[7287.734653340506, 33478.973165735966, 101715.16164100768, 60331.38328680815, 28550.08967050297, 70263.19522633843, 79863.70836920108, 25558.410421467648, 109516.95475534961, 90376.49170590195, 58249.604637350974, 92124.81089988576, 67420.89077399962, 114539.18831534227, 5596.306343872636]","[0, 79, 211, 336, 500, 336, 708, 833, 833, 1116, 1254, 1116, 1549, 1116, 1838]","[79, 211, 1116, 579, 579, 708, 833, 921, 1116, 1416, 1416, 1662, 1662, 1838, 1926]",1150557197726.5276,78475.82872465753,-78475.82872465753,0.0,,,,CWT,uiug.30112070958894,1150522594191.9338,,0.0,-224.5,226.0,0.0,-206.5,,77990.1585093613,62833.152155236174,906704.5844959317,62833.152155236174,,0.0,62833.152155236174,,,5594.956677505154,0.0,-224.5,113728.40241766378,77990.1585093613,,395.7849026836877,0.20994282082011584,0.5869471214882362,0.6937762202453769,0.31035950954586045,0.3756158008079135,0.36398026315789683,0.9419165023503393,0.37160308846079537,,0.2852865189666917,0.5406535749906295,0.5406535749906295,0.5406535749906316,,0.6707262942398466,0.8524657317460479,0.3718803885095451,,,,,0.0,,0.20462642820072016,0.34545454545454546,0.3076923076923077,0.6015776055851708,0.6015776055851708,1.0,2.127969322078408,0.8623872049530807,7,1.6693203116042312,0.6595823187941136,5,0,0.4902320107822813,0.8626858554854391,5,0,0.4817676658595669,0.6158521394169324,5,1.0,0.9,5.5,5.384615384615384,0.675,4,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,3.25
smoothed,gaus8,1399646570.640743,0.6687356218511088,309.65892974743576,-28.39145648569747,1927,127,18424.519289321906,,False,16.836898565679512,96284.65867412575,0.018953371253965,3.6551834449773556e-06,0.6198176624681213,-388.6367266212613,,,,[],[],15,65749.83787714882,8035.250587629005,108032.67288738332,"[5, 153, 292, 393, 529, 647, 786, 905, 1007, 1182, 1292, 1481, 1629, 1771, 1873]","[8035.250587629005, 37447.015982842684, 101552.29249485384, 64767.729001639265, 33421.4322027465, 75595.22887871567, 70535.31639579058, 32605.045035012896, 102982.82410714519, 82467.22064099679, 64479.820031833995, 85679.57931137295, 80551.42620800747, 108032.67288738332, 38094.7143912623]","[0, 87, 211, 325, 500, 325, 708, 833, 708, 1116, 1254, 1427, 1549, 708, 1838]","[87, 211, 708, 579, 579, 708, 833, 921, 1549, 1427, 1427, 1549, 1662, 1838, 1888]",1024426084485.397,71538.86537998664,-71538.86537998664,0.0,,,,CWT,uiug.30112070958894,1024391480950.8031,,0.0,-212.5,226.0,0.0,-211.0,,71053.1951646904,65591.46310797798,948079.2487870588,65591.46310797796,,0.0,65591.46310797798,,,8033.900921261524,0.0,-220.0,107221.88698970483,71053.1951646904,,395.7849026836877,0.13960960916249895,0.48934337256789445,0.8037817566916958,0.28384655044259033,0.2619309252647036,0.43865131578947514,0.9645201454969994,0.26119931068250146,,0.5626141332115305,0.8437008217509776,0.8437008217509776,0.8437008217509789,,0.6707262942398466,0.977677848475814,0.24710034373104062,,,,,0.0,,0.1233905724026021,0.7818181818181819,0.4461538461538461,0.3108696183960626,0.3108696183960626,0.8043478260869565,2.345577124337011,0.9505755930180401,5,1.6095919951753728,0.6359824493299031,6,0,0.5547621962974914,0.9762428592538986,2,0,0.45536037326229484,0.582095229614315,7,2.160246899469287,0.7839753100530713,5.0,3.9622641509433962,0.6419876550265357,5,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,4.0
smoothed,gaus3,1648168117.2919266,0.6578378532989552,333.7014395663561,-30.6587050187893,1927,127,23530.027089573305,,False,16.865877038610126,113577.23947099404,0.012553797397982097,4.376660291507164e-06,-0.02556618772806876,419.53915188650967,,,,[],[],14,62922.921007030156,7428.5418744866765,125871.5644941834,"[43, 178, 314, 492, 659, 810, 915, 1039, 1135, 1239, 1343, 1543, 1644, 1833]","[10561.921579164962, 40313.92181382638, 110007.7179963312, 32538.20680206665, 42066.19314636466, 125871.5644941834, 18001.46158521172, 106694.67938806882, 7428.5418744866765, 36861.01308383241, 96921.22855434257, 122389.19121025603, 52133.18732920541, 79132.06524108133]","[2, 95, 274, 430, 597, 597, 891, 940, 1122, 1165, 1165, 1455, 1608, 1455]","[95, 274, 597, 597, 729, 1455, 940, 1455, 1165, 1268, 1455, 1746, 1746, 1905]",1713844977359.047,81651.76606289392,-81651.76606289392,0.0,,,,CWT,uiug.30112070958894,1713810373824.4534,,0.0,-234.0,227.0,0.0,-220.5,,81166.09584759768,62764.54623785931,842752.5747282485,62764.54623785931,,0.0,62764.54623785931,,,7427.192208119195,0.0,-234.0,125060.77859650491,81166.09584759768,,412.3909758240833,0.5775198696482747,0.608803977499778,0.31163193700298664,0.4525010646437325,0.8711504892529212,0.0,0.017280026200134246,0.8554030551406904,,0.49362646349007144,0.5331160512202,0.5331160512202,0.5331160512202021,,0.7600956624882659,0.658927810669754,0.5892093755378957,,,,,0.25,,0.5674168901511315,0.0,0.015384615384615385,0.7346719157557309,0.7346719157557309,0.391304347826087,2.3893853519746973,0.9683294462312588,2,1.5537753258308644,0.6139281509800346,7,0,0.485332653622849,0.8540642109794652,6,0,0.46178630242356467,0.5903096086649491,6,2.217355782608345,0.7782644217391654,5.25,4.097560975609756,0.6266322108695828,6,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,4.75
smoothed,gaus1,1692486902.1628175,0.6826816601220125,348.91579465309434,-32.09433909558625,1927,127,28455.63810076363,,False,16.921710880943117,116917.74606299886,0.009840648204048482,6.7392707340827474e-06,-0.017659892410427338,-388.6367266212613,,,,[],[],13,58070.54284196463,4949.83878296992,140657.2198205057,"[42, 178, 315, 442, 702, 810, 914, 1043, 1239, 1341, 1544, 1643, 1833]","[4989.605652399407, 27383.264014985027, 118718.27688967987, 16120.921132569609, 16023.52220240547, 140657.2198205057, 4949.83878296992, 76697.3186834007, 24112.42155299543, 115743.59432539178, 30544.932999958957, 104356.83442798957, 74619.30646028859]","[3, 95, 95, 431, 599, 599, 894, 940, 1165, 940, 1455, 1455, 1455]","[95, 223, 1455, 599, 717, 1455, 940, 1165, 1268, 1455, 1608, 1746, 1926]",2385496536618.082,87983.10636252227,-87983.10636252227,0.0,,,,CWT,uiug.30112070958894,2385461933083.4883,,0.0,-230.0,228.0,0.0,-225.5,,87497.43614722604,57912.16807279378,716748.7375753665,57912.16807279377,,0.0,57912.16807279378,,,4948.489116602439,0.0,-234.5,139846.43392282721,87497.43614722604,,395.7849026836877,0.9999999999999999,1.0,0.0,0.7774536450367994,0.9797924607815622,1.0,0.028884221312240443,0.9701887860083468,,0.2117779478663927,0.0,0.0,0.0,,0.6707262942398466,0.27760248909201235,0.8727643373489644,,,,,0.5,,0.9999999999999999,0.14545454545454545,0.0,1.0,1.0,0.17391304347826086,2.123408007941436,0.8605386731586212,8,2.2782522558374154,0.900183682698415,3,0,0.4180170469628589,0.7356055619281173,9,0,0.7195398891423685,0.9198005834067754,2,3.5118845842842465,0.6488115415715754,5.5,3.74025974025974,0.5494057707857877,7,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,5.5
smoothed,gaus7,1410124727.3031342,0.6718288392466769,311.53928754431485,-28.619834844212527,1927,127,18763.30077441656,,False,16.847920848560474,97076.87359231578,0.018165233054691473,3.5406687133898145e-06,-0.037339601473267744,-388.6367266212613,,,,[],[],15,66241.5749122379,3094.369636089109,120507.84004111875,"[43, 178, 314, 492, 658, 813, 915, 1038, 1207, 1303, 1400, 1541, 1644, 1787, 1924]","[16280.06201092582, 53209.37224046839, 120507.84004111875, 54743.2526698662, 76087.89771509726, 102503.83144810371, 45212.649438158856, 84031.28492322017, 68628.99636403001, 10035.087907255995, 89616.91516821986, 77919.2813257324, 113509.29302568478, 78243.48976959745, 3094.369636089109]","[2, 95, 274, 372, 372, 730, 882, 996, 1165, 1268, 1165, 1455, 1455, 1746, 1905]","[95, 274, 1746, 597, 730, 1746, 996, 1165, 1268, 1310, 1455, 1608, 1746, 1905, 1926]",1071506385140.7395,72143.8793786586,-72143.8793786586,0.0,,,,CWT,uiug.30112070958894,1071471781606.1456,,0.0,-229.0,226.0,0.0,-224.5,,71658.20916336236,66083.20014306706,955455.304313395,66083.20014306706,,0.0,66083.20014306706,,,3093.019969721628,0.0,-233.5,119697.05414344025,71658.20916336236,,395.7849026836877,0.16866761753107926,0.4703822663662768,0.7542078496746676,0.3479961614012927,0.2876168189800757,0.5631578947368419,0.0,0.2884212202594343,,0.0007961539501709081,0.8977264762790562,0.8977264762790562,0.8977264762790592,,0.6707262942398466,0.9999999999999999,0.48634544094135274,,,,,0.0,,0.15371305522773793,0.1818181818181818,0.03076923076923077,0.33622399797632596,0.33622399797632596,0.21739130434782608,2.162811671359508,0.8765075195171924,6,1.302677811163202,0.5147144291936064,9,0,0.43622764900601224,0.7676516716414212,8,0,0.36005622861870856,0.4602662536714542,9,1.4142135623730951,0.8585786437626906,8.0,7.783783783783784,0.5292893218813453,8,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,6.25
smoothed,gaus5,1502086017.9650702,0.6650539985044682,315.9091425372275,-29.370992544817685,1927,127,20477.309413020008,,False,16.843799409321946,103379.55945457179,0.015629687336535067,3.758985043613118e-06,-0.03238304902193505,278.3027930270427,,,,[],[],14,67172.46005859948,3087.367898814584,119969.38843019013,"[43, 178, 314, 492, 658, 812, 915, 1039, 1210, 1344, 1541, 1644, 1787, 1924]","[14076.992736892127, 48202.560277071825, 116357.57240633722, 54472.5132804438, 65132.3051125998, 107471.06636427902, 31973.910392445083, 90502.42663278899, 53036.83395581632, 89899.5345314714, 67937.28820494501, 119969.38843019013, 78294.6805962972, 3087.367898814584]","[2, 95, 274, 372, 597, 730, 884, 995, 1165, 1165, 1455, 1455, 1455, 1905]","[95, 274, 1455, 597, 730, 1455, 995, 1455, 1268, 1455, 1608, 1746, 1905, 1926]",1273944364967.0479,70850.2262080147,-70850.2262080147,0.0,,,,CWT,uiug.30112070958894,1273909761432.454,,0.0,-225.0,227.0,0.0,-229.5,,70364.55599271847,67014.08528942864,902246.1214502191,67014.0852894286,,0.0,67014.08528942864,,,3086.018232447103,0.0,-234.0,119158.60253251164,70364.55599271847,,271.1546169646163,0.3156817831677956,0.5065306209537128,0.5911546503827126,0.3240094132297181,0.5130484491778897,0.2904605263157906,0.007274810694247069,0.5049926842582868,,0.0,1.0,1.0,1.0,,0.0,0.8389730882435641,0.4760191738531323,,,,,0.25,,0.2840950213790493,0.32727272727272727,0.015384615384615385,0.2820107506701247,0.2820107506701247,0.0,1.946613676271657,0.7888904741181696,9,1.340976651177214,0.529847077809911,8,0,0.41112615196238134,0.7234793084036663,10,0,0.3816441172725191,0.4878624340610679,8,0.9574271077563381,0.9042572892243662,8.75,8.674698795180722,0.514628644612183,9,gaus,5.375,5.5,2.669269563007828,8,0.5375,1.0,0.32375,1,7.0
smoothed,morl,1292795966.1781807,0.6649436723886422,288.79242472103516,-27.487513201540633,1927,127,16796.83888791158,,False,16.788127623393088,88683.20845408042,0.020620470710849065,6.998165814673742e-07,0.6439911794434627,-388.6367266212613,,,,[],[],15,64011.52304519794,11881.819365169991,95147.9027176507,"[27, 154, 292, 393, 529, 648, 797, 895, 1007, 1183, 1384, 1481, 1629, 1772, 1873]","[11881.819365169991, 39067.4494270439, 90250.31261468967, 80008.93762174752, 41051.82730082694, 69936.7171087307, 60249.21239568133, 51896.69404344367, 95147.9027176507, 66083.46423104132, 72464.09003620828, 70951.84827372583, 77470.59764166689, 90630.6646359085, 43081.30826443387]","[1, 88, 212, 323, 498, 580, 708, 708, 708, 1116, 1255, 1428, 1549, 1549, 1838]","[88, 212, 1549, 708, 580, 708, 823, 983, 1549, 1255, 1549, 1549, 1662, 1838, 1888]",832843314688.7982,64120.79899441294,-64120.79899441294,0.0,,,,CWT,uiug.30112070958894,832808711154.2043,,0.0,-206.5,226.0,0.0,-224.5,,63635.128779116705,63853.14827602709,922004.5263077954,63853.14827602711,,0.0,63853.14827602709,,,11880.46969880251,0.0,-202.0,94337.1168199722,63635.128779116705,,395.7849026836877,0.0,0.0,1.0,0.0,0.0,0.2860197368421069,1.0,0.0,,1.0,0.6527174508218387,0.6527174508218387,0.6527174508218435,,0.6707262942398466,0.8987679346261942,0.0,,,,,0.0,,0.0,1.0,0.9999999999999999,0.0,0.0,0.21739130434782608,1.915671081042242,0.7763505855318874,10,1.1144078947368428,0.4403251659872333,10,0,0.48178842040567066,0.8478272460368407,7,0,0.28575246710526336,0.36528243940252475,10,1.5,0.85,9.25,9.03225806451613,0.46249999999999997,10,morl,10.0,10.0,,1,1.0,,,3,8.25
