Issue Number,Dates,Page Number,Type of Page,Original Volumes,Notes
Vol. 1 no. 2-3,Summer 1968,1,cover_page,no.2-3 Summ. 1968,record 000534608
,,3,toc,,3-5
,,200,end_of_issue,,
Vol. 1,January 1970,1,cover_page,no.4 Jan. 1970,
,,2,toc,,2-5
,,276,end_of_issue,,
no. 5,April 1970,1,cover_page,no.5 Apr. 1970,
,,2,toc,,2-5
,,276,end_of_issue,,
no. 6,October 1970,1,cover_page,no.6 Oct. 1970,
,,2,toc,,2-4
,,212,end_of_issue,,
no. 7,January 1971,1,cover_page,no.7 1971,Michigan
,,2,toc,,2-5
,,212,end_of_issue,,
no. 8,April 1971,1,cover_page,no.8 1971,
,,2,toc,,2-5
,,204,end_of_issue,,
no. 9,July 1971,1,cover_page,no.9 1971,
,,2,toc,,2-5
,,220,end_of_issue,,
no. 10,October 1971,1,cover_page,no.10 1971,
,,2,toc,,2-5
,,204,end_of_issue,,
no. 11,January 1972,1,cover_page,no.11 1972,
,,2,toc,,2-5
,,200,end_of_issue,,
no. 12,April 1972,1,cover_page,no.12 1972,
,,2,toc,,2-5
,,224,end_of_issue,,
no. 13,July 1972,1,cover_page,no.13 1972,
,,2,toc,,2-5
,,212,end_of_issue,,
no. 14,October 1972,1,cover_page,no.14 1972,
,,2,toc,,2-5
,,204,end_of_issue,,
no. 15,January 1973,1,scanner_page,no.15-18 1973,
,,7,cover_page,,
,,8,toc,,8-11
,,210,end_of_issue,,
no. 16,April 1973,1,cover_page,no.16 1973,
,,2,toc,,2-5
,,212,end_of_issue,,
no. 17,July 1973,1,cover_page,no.17 1973,
,,2,toc,,2-5
,,204,end_of_issue,,
no. 18,October 1973,1,cover_page,no.18 1973,
,,2,toc,,2-5
,,196,end_of_issue,,
no. 19,January 1974,1,cover_page,no.19 1974,
,,2,toc,,2-5
,,228,end_of_issue,,
no. 20,April-June 1974,1,cover_page,no. 20 1974,
,,2,toc,,2-5
,,198,end_of_issue,,
no. 21,July-September 1974,1,cover_page,no.21 1974,
,,2,toc,,2-5
,,194,end_of_issue,,
no. 22,October-Decmeber 1974,1,cover_page,no.22 1974,
,,2,toc,,2-5
,,198,end_of_issue,,
no. 23,January-March 1975,1,cover_page,no.23 1975,
,,2,toc,,2-5
,,196,end_of_issue,,
no. 24-25,April-September 1975,1,cover_page,no.24-25 1975,
,,2,toc,,2-5
,,210,end_of_issue,,
no. 26,October-December 1975,1,cover_page,no.26 1975,
,,2,toc,,2-5
,,164,end_of_issue,,
no. 27-28,January-June 1976,1,cover_page,no.27-28 1976,
,,2,toc,,2-5
,,164,end_of_issue,,
no. 29,July-September 1976,1,cover_page,no.29 1976,
,,2,toc,,2-5
,,164,end_of_issue,,
no. 30,October-December 1976,1,cover_page,no.30 1976,
,,2,toc,,
,,164,end_of_issue,,
no. 31,January-March 1977,1,cover_page,no.31 1977,
,,2,toc,,2-5
,,164,end_of_issue,,
