issue_number,dates,page_number,type_of_page,original_volumes,notes,start_issue,end_issue,link,htid,original_source,record_url,periodical_name,publication_type,id,metadata_schema_version,enumeration_chronology,type_of_resource,title,date_created,pub_date,language,access_profile,isbn,issn,lccn,oclc,page_count,feature_schema_version,access_rights,alternate_title,category,genre_ld,genre,contributor_ld,contributor,handle_url,source_institution_ld,source_institution,lcc,type,is_part_of,last_rights_update_date,pub_place_ld,pub_place,main_entity_of_page,publisher_ld,publisher,lowercase_periodical_name,publication_directory,volume_directory
5.0,July 23 1961,1,scanner_page,v.2-3 1961-1962,Record 000507426,1961-07-23,1961-07-23,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
5.0,July 23 1961,7,cover_page,v.2-3 1961-1962,vol 2 and half of the issue in french,1961-07-23,1961-07-23,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
5.0,July 23 1961,12,toc,v.2-3 1961-1962,,1961-07-23,1961-07-23,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
1.0,August-September 1961,207,cover_page,v.2-3 1961-1962,vol 3,1961-08-01,1961-09-01,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
1.0,August-September 1961,210,toc,v.2-3 1961-1962,,1961-08-01,1961-09-01,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
2.0,September-October 1961,347,cover_page,v.2-3 1961-1962,,1961-09-01,1961-10-01,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
2.0,September-October 1961,350,toc,v.2-3 1961-1962,,1961-09-01,1961-10-01,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
3.0,October-November 1961,459,cover_page,v.2-3 1961-1962,,1961-10-01,1961-11-01,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
3.0,October-November 1961,462,toc,v.2-3 1961-1962,,1961-10-01,1961-11-01,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
4.0,November-December 1961,577,cover_page,v.2-3 1961-1962,,1961-11-01,1961-12-01,https://babel.hathitrust.org/cgi/pt?id=inu.30000125592190,inu.30000125592190,Indiana University,https://catalog.hathitrust.org/Record/000507426,Scribe,Information Bulletin,inu.30000125592190,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.2-3 1961-1962,http://id.loc.gov/ontologies/bibframe/Text,The Scribe.,20200209.0,1962.0,"['eng', 'fre', 'ger', 'ita', 'spa']",google,,,64001098ne,4797465.0,810.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],,,http://hdl.handle.net/2027/inu.30000125592190,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS36.S3,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/4797465', 'type': 'CreativeWorkSeries', 'journalTitle': 'The Scribe.'}",20180415.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000507426', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/4797465.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/4797465.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/General%20Organisation%20of%20Press%20and%20Editing,%20etc.', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'General Organisation of Press and Editing, etc.'}","General Organisation of Press and Editing, etc.",scribe,datasets/ht_ef_datasets/scribe/volumes,inu_30000125592190
